TF,Target,Label
875,91,0
955,389,1
955,91,1
955,12,1
875,387,1
955,875,0
955,776,1
955,753,1
955,190,1
955,922,1
955,480,0
955,280,1
955,204,1
955,991,0
875,1111,0
875,1003,1
955,990,1
955,1111,1
955,649,0
12,12,0
12,21,0
12,53,0
12,91,0
12,116,0
12,190,0
12,204,0
12,222,0
12,280,0
12,296,0
12,324,0
12,389,0
12,480,0
12,532,0
12,564,0
12,635,0
12,649,0
12,705,0
12,732,0
12,776,0
12,792,0
12,794,0
12,795,0
12,851,0
12,875,0
12,922,0
12,955,0
12,989,0
12,1020,0
12,1111,0
21,12,0
21,21,0
21,53,0
21,91,0
21,116,0
21,190,0
21,204,0
21,222,0
21,280,0
21,296,0
21,324,0
21,389,0
21,480,0
21,532,0
21,564,0
21,635,0
21,649,0
21,705,0
21,732,0
21,776,0
21,792,0
21,794,0
21,795,0
21,851,0
21,875,0
21,922,0
21,955,0
21,989,0
21,1020,0
21,1111,0
25,12,0
25,21,0
25,53,0
25,91,0
25,116,0
25,190,0
25,204,0
25,222,0
25,280,0
25,296,0
25,324,0
25,389,0
25,480,0
25,532,0
25,564,0
25,635,0
25,649,0
25,705,0
25,732,0
25,776,0
25,792,0
25,794,0
25,795,0
25,851,0
25,875,0
25,922,0
25,955,0
25,989,0
25,1020,0
25,1111,0
53,12,0
53,21,0
53,53,0
53,91,0
53,116,0
53,190,0
53,204,0
53,222,0
53,280,0
53,296,0
53,324,0
53,389,0
53,480,0
53,532,0
53,564,0
53,635,0
53,649,0
53,705,0
53,732,0
53,776,0
53,792,0
53,794,0
53,795,0
53,851,0
53,875,0
53,922,0
53,955,0
53,989,0
53,1020,0
53,1111,0
70,12,0
70,21,0
70,53,0
70,91,0
70,116,0
70,190,0
70,204,0
70,222,0
70,280,0
70,296,0
70,324,0
70,389,0
70,480,0
70,532,0
70,564,0
70,635,0
70,649,0
70,705,0
70,732,0
70,776,0
70,792,0
70,794,0
70,795,0
70,851,0
70,875,0
70,922,0
70,955,0
70,989,0
70,1020,0
70,1111,0
75,12,0
75,21,0
75,53,0
75,91,0
75,116,0
75,190,0
75,204,0
75,222,0
75,280,0
75,296,0
75,324,0
75,389,0
75,480,0
75,532,0
75,564,0
75,635,0
75,649,0
75,705,0
75,732,0
75,776,0
75,792,0
75,794,0
75,795,0
75,851,0
75,875,0
75,922,0
75,955,0
75,989,0
75,1020,0
75,1111,0
91,12,0
91,21,0
91,53,0
91,91,0
91,116,0
91,190,0
91,204,0
91,222,0
91,280,0
91,296,0
91,324,0
91,389,0
91,480,0
91,532,0
91,564,0
91,635,0
91,649,0
91,705,0
91,732,0
91,776,0
91,792,0
91,794,0
91,795,0
91,851,0
91,875,0
91,922,0
91,955,0
91,989,0
91,1020,0
91,1111,0
116,12,0
116,21,0
116,53,0
116,91,0
116,116,0
116,190,0
116,204,0
116,222,0
116,280,0
116,296,0
116,324,0
116,389,0
116,480,0
116,532,0
116,564,0
116,635,0
116,649,0
116,705,0
116,732,0
116,776,0
116,792,0
116,794,0
116,795,0
116,851,0
116,875,0
116,922,0
116,955,0
116,989,0
116,1020,0
116,1111,0
185,12,0
185,21,0
185,53,0
185,91,0
185,116,0
185,190,0
185,204,0
185,222,0
185,280,0
185,296,0
185,324,0
185,389,0
185,480,0
185,532,0
185,564,0
185,635,0
185,649,0
185,705,0
185,732,0
185,776,0
185,792,0
185,794,0
185,795,0
185,851,0
185,875,0
185,922,0
185,955,0
185,989,0
185,1020,0
185,1111,0
190,12,0
190,21,0
190,53,0
190,91,0
190,116,0
190,190,0
190,204,0
190,222,0
190,280,0
190,296,0
190,324,0
190,389,0
190,480,0
190,532,0
190,564,0
190,635,0
190,649,0
190,705,0
190,732,0
190,776,0
190,792,0
190,794,0
190,795,0
190,851,0
190,875,0
190,922,0
190,955,0
190,989,0
190,1020,0
190,1111,0
204,12,0
204,21,0
204,53,0
204,91,0
204,116,0
204,190,0
204,204,0
204,222,0
204,280,0
204,296,0
204,324,0
204,389,0
204,480,0
204,532,0
204,564,0
204,635,0
204,649,0
204,705,0
204,732,0
204,776,0
204,792,0
204,794,0
204,795,0
204,851,0
204,875,0
204,922,0
204,955,0
204,989,0
204,1020,0
204,1111,0
222,12,0
222,21,0
222,53,0
222,91,0
222,116,0
222,190,0
222,204,0
222,222,0
222,280,0
222,296,0
222,324,0
222,389,0
222,480,0
222,532,0
222,564,0
222,635,0
222,649,0
222,705,0
222,732,0
222,776,0
222,792,0
222,794,0
222,795,0
222,851,0
222,875,0
222,922,0
222,955,0
222,989,0
222,1020,0
222,1111,0
280,12,0
280,21,0
280,53,0
280,91,0
280,116,0
280,190,0
280,204,0
280,222,0
280,280,0
280,296,0
280,324,0
280,389,0
280,480,0
280,532,0
280,564,0
280,635,0
280,649,0
280,705,0
280,732,0
280,776,0
280,792,0
280,794,0
280,795,0
280,851,0
280,875,0
280,922,0
280,955,0
280,989,0
280,1020,0
280,1111,0
296,12,0
296,21,0
296,53,0
296,91,0
296,116,0
296,190,0
296,204,0
296,222,0
296,280,0
296,296,0
296,324,0
296,389,0
296,480,0
296,532,0
296,564,0
296,635,0
296,649,0
296,705,0
296,732,0
296,776,0
296,792,0
296,794,0
296,795,0
296,851,0
296,875,0
296,922,0
296,955,0
296,989,0
296,1020,0
296,1111,0
324,12,0
324,21,0
324,53,0
324,91,0
324,116,0
324,190,0
324,204,0
324,222,0
324,280,0
324,296,0
324,324,0
324,389,0
324,480,0
324,532,0
324,564,0
324,635,0
324,649,0
324,705,0
324,732,0
324,776,0
324,792,0
324,794,0
324,795,0
324,851,0
324,875,0
324,922,0
324,955,0
324,989,0
324,1020,0
324,1111,0
387,12,0
387,21,0
387,53,0
387,91,0
387,116,0
387,190,0
387,204,0
387,222,0
387,280,0
387,296,0
387,324,0
387,389,0
387,480,0
387,532,0
387,564,0
387,635,0
387,649,0
387,705,0
387,732,0
387,776,0
387,792,0
387,794,0
387,795,0
387,851,0
387,875,0
387,922,0
387,955,0
387,989,0
387,1020,0
387,1111,0
389,12,0
389,21,0
389,53,0
389,91,0
389,116,0
389,190,0
389,204,0
389,222,0
389,280,0
389,296,0
389,324,0
389,389,0
389,480,0
389,532,0
389,564,0
389,635,0
389,649,0
389,705,0
389,732,0
389,776,0
389,792,0
389,794,0
389,795,0
389,851,0
389,875,0
389,922,0
389,955,0
389,989,0
389,1020,0
389,1111,0
480,12,0
480,21,0
480,53,0
480,91,0
480,116,0
480,190,0
480,204,0
480,222,0
480,280,0
480,296,0
480,324,0
480,389,0
480,480,0
480,532,0
480,564,0
480,635,0
480,649,0
480,705,0
480,732,0
480,776,0
480,792,0
480,794,0
480,795,0
480,851,0
480,875,0
480,922,0
480,955,0
480,989,0
480,1020,0
480,1111,0
532,12,0
532,21,0
532,53,0
532,91,0
532,116,0
532,190,0
532,204,0
532,222,0
532,280,0
532,296,0
532,324,0
532,389,0
532,480,0
532,532,0
532,564,0
532,635,0
532,649,0
532,705,0
532,732,0
532,776,0
532,792,0
532,794,0
532,795,0
532,851,0
532,875,0
532,922,0
532,955,0
532,989,0
532,1020,0
532,1111,0
559,12,0
559,21,0
559,53,0
559,91,0
559,116,0
559,190,0
559,204,0
559,222,0
559,280,0
559,296,0
559,324,0
559,389,0
559,480,0
559,532,0
559,564,0
559,635,0
559,649,0
559,705,0
559,732,0
559,776,0
559,792,0
559,794,0
559,795,0
559,851,0
559,875,0
559,922,0
559,955,0
559,989,0
559,1020,0
559,1111,0
560,12,0
560,21,0
560,53,0
560,91,0
560,116,0
560,190,0
560,204,0
560,222,0
560,280,0
560,296,0
560,324,0
560,389,0
560,480,0
560,532,0
560,564,0
560,635,0
560,649,0
560,705,0
560,732,0
560,776,0
560,792,0
560,794,0
560,795,0
560,851,0
560,875,0
560,922,0
560,955,0
560,989,0
560,1020,0
560,1111,0
564,12,0
564,21,0
564,53,0
564,91,0
564,116,0
564,190,0
564,204,0
564,222,0
564,280,0
564,296,0
564,324,0
564,389,0
564,480,0
564,532,0
564,564,0
564,635,0
564,649,0
564,705,0
564,732,0
564,776,0
564,792,0
564,794,0
564,795,0
564,851,0
564,875,0
564,922,0
564,955,0
564,989,0
564,1020,0
564,1111,0
635,12,0
635,21,0
635,53,0
635,91,0
635,116,0
635,190,0
635,204,0
635,222,0
635,280,0
635,296,0
635,324,0
635,389,0
635,480,0
635,532,0
635,564,0
635,635,0
635,649,0
635,705,0
635,732,0
635,776,0
635,792,0
635,794,0
635,795,0
635,851,0
635,875,0
635,922,0
635,955,0
635,989,0
635,1020,0
635,1111,0
649,12,0
649,21,0
649,53,0
649,91,0
649,116,0
649,190,0
649,204,0
649,222,0
649,280,0
649,296,0
649,324,0
649,389,0
649,480,0
649,532,0
649,564,0
649,635,0
649,649,0
649,705,0
649,732,0
649,776,0
649,792,0
649,794,0
649,795,0
649,851,0
649,875,0
649,922,0
649,955,0
649,989,0
649,1020,0
649,1111,0
682,12,0
682,21,0
682,53,0
682,91,0
682,116,0
682,190,0
682,204,0
682,222,0
682,280,0
682,296,0
682,324,0
682,389,0
682,480,0
682,532,0
682,564,0
682,635,0
682,649,0
682,705,0
682,732,0
682,776,0
682,792,0
682,794,0
682,795,0
682,851,0
682,875,0
682,922,0
682,955,0
682,989,0
682,1020,0
682,1111,0
705,12,0
705,21,0
705,53,0
705,91,0
705,116,0
705,190,0
705,204,0
705,222,0
705,280,0
705,296,0
705,324,0
705,389,0
705,480,0
705,532,0
705,564,0
705,635,0
705,649,0
705,705,0
705,732,0
705,776,0
705,792,0
705,794,0
705,795,0
705,851,0
705,875,0
705,922,0
705,955,0
705,989,0
705,1020,0
705,1111,0
732,12,0
732,21,0
732,53,0
732,91,0
732,116,0
732,190,0
732,204,0
732,222,0
732,280,0
732,296,0
732,324,0
732,389,0
732,480,0
732,532,0
732,564,0
732,635,0
732,649,0
732,705,0
732,732,0
732,776,0
732,792,0
732,794,0
732,795,0
732,851,0
732,875,0
732,922,0
732,955,0
732,989,0
732,1020,0
732,1111,0
753,12,0
753,21,0
753,53,0
753,91,0
753,116,0
753,190,0
753,204,0
753,222,0
753,280,0
753,296,0
753,324,0
753,389,0
753,480,0
753,532,0
753,564,0
753,635,0
753,649,0
753,705,0
753,732,0
753,776,0
753,792,0
753,794,0
753,795,0
753,851,0
753,875,0
753,922,0
753,955,0
753,989,0
753,1020,0
753,1111,0
760,12,0
760,21,0
760,53,0
760,91,0
760,116,0
760,190,0
760,204,0
760,222,0
760,280,0
760,296,0
760,324,0
760,389,0
760,480,0
760,532,0
760,564,0
760,635,0
760,649,0
760,705,0
760,732,0
760,776,0
760,792,0
760,794,0
760,795,0
760,851,0
760,875,0
760,922,0
760,955,0
760,989,0
760,1020,0
760,1111,0
776,12,0
776,21,0
776,53,0
776,91,0
776,116,0
776,190,0
776,204,0
776,222,0
776,280,0
776,296,0
776,324,0
776,389,0
776,480,0
776,532,0
776,564,0
776,635,0
776,649,0
776,705,0
776,732,0
776,776,0
776,792,0
776,794,0
776,795,0
776,851,0
776,875,0
776,922,0
776,955,0
776,989,0
776,1020,0
776,1111,0
789,12,0
789,21,0
789,53,0
789,91,0
789,116,0
789,190,0
789,204,0
789,222,0
789,280,0
789,296,0
789,324,0
789,389,0
789,480,0
789,532,0
789,564,0
789,635,0
789,649,0
789,705,0
789,732,0
789,776,0
789,792,0
789,794,0
789,795,0
789,851,0
789,875,0
789,922,0
789,955,0
789,989,0
789,1020,0
789,1111,0
792,12,0
792,21,0
792,53,0
792,91,0
792,116,0
792,190,0
792,204,0
792,222,0
792,280,0
792,296,0
792,324,0
792,389,0
792,480,0
792,532,0
792,564,0
792,635,0
792,649,0
792,705,0
792,732,0
792,776,0
792,792,0
792,794,0
792,795,0
792,851,0
792,875,0
792,922,0
792,955,0
792,989,0
792,1020,0
792,1111,0
794,12,0
794,21,0
794,53,0
794,91,0
794,116,0
794,190,0
794,204,0
794,222,0
794,280,0
794,296,0
794,324,0
794,389,0
794,480,0
794,532,0
794,564,0
794,635,0
794,649,0
794,705,0
794,732,0
794,776,0
794,792,0
794,794,0
794,795,0
794,851,0
794,875,0
794,922,0
794,955,0
794,989,0
794,1020,0
794,1111,0
795,12,0
795,21,0
795,53,0
795,91,0
795,116,0
795,190,0
795,204,0
795,222,0
795,280,0
795,296,0
795,324,0
795,389,0
795,480,0
795,532,0
795,564,0
795,635,0
795,649,0
795,705,0
795,732,0
795,776,0
795,792,0
795,794,0
795,795,0
795,851,0
795,875,0
795,922,0
795,955,0
795,989,0
795,1020,0
795,1111,0
851,12,0
851,21,0
851,53,0
851,91,0
851,116,0
