,Gene,index
12,PITX2,12
21,MCM4,21
25,CKB,25
53,CTCF,53
70,RANBP17,70
75,SNORD33,75
91,HES1,91
116,ZFP275,116
185,MIR5121,185
190,JUN,190
204,SP8,204
222,PARP1,222
280,HSF2BP,280
296,MEF2D,296
324,POLR2H,324
387,SFI1,387
389,BTBD11,389
480,SIRT1,480
532,HDAC2,532
559,GM28960,559
560,GLUL,560
564,NFATC4,564
635,DR1,635
649,HDAC11,649
682,MIR466B-6,682
705,PSIP1,705
732,ATF4,732
753,ADAM23,753
760,VEGFA,760
776,ARNT2,776
789,GM23988,789
792,TRIM13,792
794,YEATS4,794
795,ZSWIM4,795
851,GATA4,851
871,GM15181,871
875,TCF7L2,875
921,GM26431,921
922,PURA,922
948,GM24761,948
955,NRIP1,955
985,ZFYVE21,985
989,NR2C1,989
990,PDK1,990
991,PFKP,991
999,GM10259,999
1003,FGF10,1003
1020,RBL1,1020
1041,GM24494,1041
1111,AIRE,1111
