,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
CSRP2,0.45071387,0.49088648,0.4553899,0.4893475,0.49390185,0.43652317,0.44243848,0.522897,0.48017812,0.5218662,0.4667961,0.4989986,0.48770177,0.53312176,0.51448727,0.5001892,0.49209896,0.4665033,0.53350246,0.46047875,0.46564475,0.50358105,0.43345925,0.4647955,0.48533413,0.5430989,0.51629114,0.46744558,0.48373666,0.4888546,0.51811916,0.5389036,0.52993673,0.49459535,0.5170963,0.5134956,0.51947963,0.49253976,0.49894875,0.5267587,0.50804245,0.53125006,0.4818291,0.4975655,0.506107,0.47800165,0.481481,0.46520984,0.47695944,0.504327,0.49724644,0.48940235,0.4515923,0.5046525,0.50457966,0.479312,0.4700481,0.469936,0.5056322,0.40223286,0.5042761,0.5025909,0.44862542,0.4915664,0.5162907,0.41934794,0.502263,0.47285914,0.41619936,0.4804437,0.525388,0.43548146,0.5176236,0.47070485,0.5212815,0.50527817,0.5447251,0.51414776,0.48043013,0.4881967,0.47543472,0.48622847,0.43378896,0.536227,0.45242572,0.48717886,0.49948937,0.5044926,0.5121318,0.5113152,0.53133184,0.5124635,0.534069,0.4428989,0.43800148,0.4625628,0.5103998,0.46964446,0.47206843,0.4834533,0.49942714,0.46698466,0.48675087,0.5099878,0.49834368,0.42969522,0.4727666,0.46217096,0.44598833,0.41246766,0.5071348,0.49505815,0.4716275,0.50443304,0.4819147,0.48648924,0.46751487,0.45548287,0.52570355,0.48081532,0.47374374,0.5083687,0.47869536,0.51864743,0.53275204,0.5211418,0.49951968,0.460676
TEAD4,0.40095374,0.45663878,0.4205264,0.46184555,0.46727747,0.4243137,0.41389814,0.46955714,0.44450578,0.52009475,0.4517225,0.4690271,0.51593524,0.48398125,0.49783635,0.4359478,0.46725956,0.43808722,0.48898044,0.46082228,0.45330894,0.4960568,0.40078676,0.4836541,0.49217921,0.552007,0.5180181,0.49234787,0.4929751,0.51936406,0.49014533,0.50460386,0.49058208,0.48980796,0.49194992,0.48557988,0.4761733,0.47612754,0.47054937,0.474746,0.4997512,0.5344153,0.4646965,0.50785756,0.50080234,0.48426473,0.46664873,0.46433863,0.46144882,0.4948837,0.48504406,0.4882398,0.43264204,0.45709983,0.47465014,0.44320527,0.4571019,0.44876528,0.47521546,0.36435482,0.45975566,0.52310133,0.42430365,0.46438274,0.49391803,0.3951499,0.470232,0.42945394,0.40257794,0.4440314,0.46365568,0.45269752,0.4995399,0.46696547,0.44036293,0.52144843,0.5591811,0.51729864,0.45383564,0.47103125,0.45982996,0.497998,0.40072367,0.55237114,0.40344867,0.49420267,0.4748817,0.50458986,0.47544193,0.5009591,0.49764118,0.4808392,0.51220995,0.44577366,0.40473756,0.47613898,0.52802974,0.45196384,0.45948792,0.45247218,0.48833883,0.47305614,0.504097,0.5312076,0.49442703,0.40357816,0.48035496,0.44613725,0.4326324,0.4070339,0.47047475,0.44678813,0.4805361,0.49306804,0.4671608,0.47767493,0.47314158,0.45577365,0.52304834,0.47223666,0.45401505,0.49867576,0.4764008,0.5275369,0.4947286,0.46046507,0.46466857,0.41153824
SNORA68,0.46271968,0.5165972,0.46364465,0.4875542,0.5030179,0.41329026,0.4645924,0.5657274,0.50134087,0.49879768,0.45286202,0.5111142,0.43605825,0.5533052,0.51252943,0.55071986,0.5058365,0.4825553,0.5668659,0.43737704,0.47936755,0.5188593,0.40395832,0.45071855,0.4768475,0.5047828,0.4993157,0.45462283,0.45609286,0.44785458,0.5220319,0.5470522,0.50607353,0.47456938,0.52808166,0.53685594,0.54604816,0.48135298,0.51011837,0.56703305,0.4771481,0.5200273,0.4478232,0.47446385,0.4927671,0.47898057,0.5097457,0.51814634,0.4717445,0.50720066,0.51837003,0.4765195,0.45168388,0.52332103,0.51530194,0.49683467,0.4600705,0.44101351,0.5241151,0.41948047,0.5214215,0.4677814,0.4523693,0.5143281,0.4758643,0.4229841,0.50107384,0.5237541,0.44129905,0.5500722,0.5529435,0.41838747,0.5264736,0.46760973,0.5510755,0.46157852,0.49499354,0.50165373,0.4758171,0.498727,0.47201,0.47872984,0.44237515,0.53108615,0.46991995,0.4794402,0.5006516,0.49468023,0.52098566,0.5195948,0.51157343,0.52070284,0.5322149,0.45020878,0.41723436,0.42875558,0.4769443,0.47751656,0.47723258,0.48023728,0.47559297,0.44636738,0.47733572,0.4795261,0.48537803,0.4658879,0.45913732,0.46354547,0.47203666,0.42447332,0.5261336,0.4791959,0.47054678,0.5107234,0.48998708,0.4748178,0.42449015,0.4328516,0.4980573,0.47625777,0.48751193,0.4863225,0.47931835,0.5189588,0.53818405,0.5132195,0.50076735,0.48564464
CELF3,0.4210577,0.49483663,0.43897364,0.46373755,0.4761526,0.42179346,0.44202694,0.5114339,0.46632177,0.5041957,0.44568408,0.48600537,0.47647634,0.50701946,0.4990054,0.48830044,0.48365617,0.456883,0.5170144,0.45643276,0.4663461,0.50490415,0.40167522,0.46942738,0.48528486,0.5245828,0.509072,0.47976586,0.47357082,0.49034634,0.49824202,0.51767063,0.49541438,0.4792465,0.5037863,0.5055805,0.50306463,0.47798815,0.48712647,0.5139419,0.48291382,0.5177218,0.4538411,0.48758158,0.4923367,0.48608133,0.48525417,0.49457458,0.4626732,0.49713847,0.50350577,0.4767932,0.447466,0.48835406,0.49463442,0.4707532,0.4569834,0.43893316,0.4964508,0.38707304,0.4768319,0.49927995,0.43264934,0.4928721,0.47655815,0.4151046,0.48038468,0.47604993,0.4258354,0.49125278,0.4982348,0.43493703,0.5083671,0.46573746,0.48785642,0.48819444,0.5221097,0.5032767,0.4546946,0.48115107,0.457605,0.49149668,0.41957077,0.53873986,0.43049967,0.48501933,0.4848466,0.49485442,0.4895281,0.5037252,0.4974713,0.4964378,0.51926845,0.45383927,0.4038403,0.45523223,0.5072219,0.46543145,0.46204984,0.46133646,0.47737494,0.46011657,0.4948714,0.5018155,0.49256277,0.4351196,0.46959472,0.45274597,0.45071468,0.4226177,0.48515323,0.45423743,0.47612137,0.5013344,0.4731841,0.4726779,0.44790527,0.4438792,0.5084553,0.47299862,0.46597734,0.48374486,0.4724631,0.5169213,0.5059009,0.4744207,0.47638142,0.44407934
SMARCD1,0.43096608,0.4827134,0.4457495,0.47512332,0.48091093,0.43784776,0.44052553,0.50340194,0.46873075,0.51784796,0.4581107,0.48914477,0.49623415,0.5055768,0.50028825,0.474577,0.48657143,0.45728913,0.51214445,0.4664736,0.4641648,0.49940905,0.4263368,0.47272122,0.4805106,0.5346648,0.5148094,0.48392704,0.48074314,0.50106347,0.49780986,0.517557,0.51270914,0.49436694,0.50405383,0.4990124,0.49772257,0.4840461,0.48920012,0.50545883,0.49351174,0.5152861,0.47011942,0.49347088,0.49451393,0.48351353,0.4787704,0.47410214,0.46719825,0.49744782,0.49613214,0.48585537,0.45889777,0.49080607,0.49548402,0.4646413,0.46237487,0.46129784,0.50077474,0.392767,0.48235518,0.5060433,0.43987665,0.48611757,0.49795318,0.42284495,0.48622486,0.4621012,0.41614652,0.46937028,0.4961792,0.44299135,0.5070457,0.46989253,0.49180904,0.50230205,0.5387909,0.50596297,0.46543616,0.48493454,0.4683357,0.49319977,0.42888904,0.5353936,0.43935668,0.4875652,0.48837647,0.49422765,0.49256855,0.50683504,0.50756216,0.5016345,0.515353,0.4522707,0.42726567,0.46760306,0.5134964,0.4658546,0.4624886,0.4678684,0.48893186,0.46411717,0.49529377,0.5139952,0.49377692,0.4311748,0.47580707,0.45445764,0.44632125,0.41299263,0.48590165,0.46855608,0.47947878,0.4989889,0.47666612,0.48254403,0.4707491,0.4522828,0.5200203,0.4772162,0.46323696,0.4964852,0.472432,0.5162973,0.5083528,0.4873988,0.48011854,0.44276276
CTSZ,0.45233956,0.49276468,0.46287328,0.484807,0.4915809,0.4401953,0.4539321,0.52661777,0.48212352,0.51494443,0.4641829,0.5055221,0.4752425,0.52642596,0.50939465,0.5027819,0.4947937,0.46554837,0.53407055,0.46534672,0.4677254,0.50638574,0.4327667,0.4593429,0.48007387,0.5221724,0.51577777,0.4709006,0.48014426,0.48387206,0.50899804,0.53092545,0.52296525,0.49355763,0.51479554,0.5091986,0.521623,0.48660618,0.50361633,0.52676016,0.4923686,0.51436734,0.47585812,0.49253258,0.50002927,0.4798886,0.48786533,0.47837338,0.47173867,0.500377,0.49986616,0.48956704,0.46025482,0.5065957,0.50194216,0.48043618,0.46285582,0.46669966,0.50809586,0.40989742,0.4977545,0.49781123,0.45141456,0.49585018,0.50047225,0.4321228,0.49783912,0.48309904,0.4239256,0.48718637,0.52240145,0.440984,0.51505584,0.47033757,0.5176977,0.48945016,0.53211784,0.50026757,0.4735872,0.49347237,0.47564498,0.4890904,0.4445715,0.52704847,0.45787156,0.4824992,0.50008386,0.5019408,0.50492597,0.5079156,0.518855,0.5121708,0.52577686,0.4500618,0.43737885,0.4633913,0.5046703,0.47666645,0.4720752,0.48105466,0.49240535,0.46405247,0.4882843,0.50850344,0.49375284,0.4465967,0.47476095,0.45660976,0.45215875,0.42012605,0.5026076,0.48026597,0.47824147,0.49943417,0.485675,0.48171285,0.46178374,0.4471784,0.516402,0.4775417,0.47550595,0.49901205,0.47477716,0.5156594,0.5214581,0.5144773,0.4914865,0.46167794
RNF19A,0.41137594,0.4707936,0.42885026,0.4649024,0.46968058,0.42700943,0.4249441,0.48426887,0.45408788,0.5160527,0.4523869,0.47611752,0.50311315,0.4914006,0.50003266,0.4560605,0.47408983,0.4458192,0.49915266,0.46042812,0.45559064,0.49782085,0.40767232,0.47808152,0.48672527,0.5427988,0.5173133,0.490804,0.4860003,0.50971425,0.49175075,0.50806415,0.49587733,0.48771164,0.49636334,0.49032077,0.48357007,0.4781278,0.47631943,0.48863432,0.49277064,0.5240869,0.46510574,0.50010467,0.49685237,0.48339832,0.47309446,0.47292662,0.46011734,0.4944846,0.48884207,0.48348802,0.44234017,0.4691484,0.483443,0.45534694,0.45713457,0.4506077,0.48277885,0.37607786,0.4634732,0.5146311,0.42859995,0.47331366,0.48835304,0.40645644,0.4739784,0.44625232,0.41088852,0.45908573,0.47507712,0.44827577,0.50318396,0.4652861,0.45992798,0.5092403,0.5475537,0.5090964,0.45632306,0.47564217,0.45976862,0.495553,0.40859368,0.5437964,0.416146,0.4895395,0.4807157,0.49881312,0.47918648,0.5013793,0.50062996,0.4874483,0.51379025,0.4481397,0.40869424,0.47184342,0.52322656,0.45587763,0.45966482,0.45619935,0.48552817,0.46940473,0.5022507,0.52249223,0.49330604,0.41598248,0.4778286,0.44834056,0.43861654,0.41586202,0.47489166,0.4504979,0.4793337,0.4945948,0.46679342,0.47819677,0.46419835,0.45345554,0.5203513,0.47234482,0.45664218,0.49452257,0.4731476,0.5222265,0.49802065,0.46774063,0.4673009,0.4234627
HEXIM1,0.442083,0.5027991,0.45781827,0.4755198,0.48498386,0.43030092,0.45671502,0.5279458,0.4804697,0.50725937,0.45190492,0.4990801,0.46892118,0.5213837,0.4991863,0.5069357,0.49583986,0.46887013,0.5310207,0.46070445,0.47442788,0.5070463,0.41914126,0.46318835,0.47820178,0.51679206,0.5097349,0.47224048,0.46626255,0.47970998,0.5020935,0.526464,0.51144594,0.48732987,0.5103024,0.5132863,0.5148575,0.4827228,0.4998502,0.5292196,0.4816025,0.5074667,0.4614147,0.48300195,0.49018067,0.48485175,0.4937431,0.4969743,0.46773717,0.5005879,0.50730157,0.47911718,0.46235767,0.50984895,0.50652343,0.4807886,0.45808983,0.45171434,0.51113683,0.40582284,0.4928972,0.48887876,0.44607845,0.50351936,0.48395064,0.4328022,0.48983714,0.48840472,0.42729807,0.50394243,0.51983315,0.4319205,0.5111535,0.47254387,0.5135545,0.48035586,0.515115,0.49947566,0.4651215,0.49353972,0.46592093,0.48984218,0.43428567,0.528946,0.45347083,0.48140338,0.49299526,0.4905119,0.4989674,0.5076181,0.5050247,0.50979716,0.51728135,0.45894134,0.4232803,0.4530581,0.498869,0.47570595,0.4644605,0.47113183,0.48142415,0.45667788,0.4871166,0.4936695,0.49170458,0.45192352,0.46995693,0.4589889,0.4589384,0.42212176,0.4974004,0.46689713,0.4780944,0.5021218,0.48179367,0.47872478,0.44997314,0.44437748,0.5072663,0.4756437,0.4713855,0.48795113,0.46917778,0.5099183,0.51610345,0.4937063,0.48595187,0.4619604
MSANTD3,0.4505064,0.5087536,0.4681247,0.48128527,0.49016228,0.42640328,0.45942706,0.53818965,0.49016425,0.50559133,0.45465142,0.5036572,0.45766917,0.53092074,0.5061885,0.5225246,0.5003702,0.47674355,0.5419325,0.45965448,0.47682312,0.509214,0.42674714,0.46019387,0.475871,0.5118038,0.5060168,0.46810612,0.466602,0.4696904,0.50759554,0.534477,0.5186908,0.4844651,0.5137813,0.5207311,0.52754486,0.483097,0.5040834,0.5413672,0.48181492,0.50974923,0.45803908,0.47868282,0.49337846,0.48271057,0.49850258,0.49894834,0.4708342,0.5024719,0.5114855,0.48083276,0.46709314,0.5209106,0.5088947,0.48793423,0.45993185,0.4523256,0.51726985,0.41342524,0.50316435,0.48090237,0.45170957,0.50582767,0.48692808,0.43820265,0.49083307,0.49983954,0.4327977,0.51254004,0.5289487,0.42327434,0.51390755,0.47136676,0.5322518,0.47720265,0.50916326,0.5020257,0.46858087,0.49510399,0.46983242,0.48557854,0.442277,0.5225185,0.46597755,0.4819216,0.49900076,0.48966163,0.5040029,0.511211,0.50773364,0.5161033,0.5232238,0.4559444,0.42651784,0.45065555,0.49070594,0.47790167,0.46679544,0.47766024,0.48606473,0.45216128,0.48241997,0.4880112,0.49215427,0.45845813,0.46452346,0.46340647,0.46519744,0.4256767,0.5088694,0.47889006,0.47545972,0.5049332,0.48649326,0.47728324,0.44782472,0.44178745,0.50650626,0.4764353,0.47395933,0.48650646,0.46880987,0.50738764,0.52164316,0.5020421,0.49109307,0.4726885
HIST1H2AI,0.44212213,0.48767114,0.45557836,0.47969705,0.48812523,0.4379864,0.4470633,0.51576227,0.47495282,0.51794714,0.46066773,0.4954584,0.48629206,0.51775575,0.5025276,0.48802578,0.49180347,0.46320492,0.52545434,0.4632636,0.47019246,0.49741927,0.42780617,0.46497044,0.48216918,0.5282621,0.51654685,0.4784109,0.4755246,0.49039233,0.50326484,0.5258688,0.5133822,0.4929414,0.5091736,0.50339645,0.5079165,0.48646048,0.4950324,0.5182363,0.4898281,0.51157063,0.472095,0.49387085,0.49334496,0.47792727,0.4844653,0.47899517,0.467528,0.49916562,0.49814662,0.48563024,0.4576818,0.5006101,0.5029063,0.47147247,0.46369705,0.4653109,0.50486356,0.4014059,0.4919358,0.5008421,0.4459256,0.49135172,0.49964982,0.42588547,0.49076712,0.46831965,0.41832694,0.4823092,0.51110095,0.43977502,0.5093037,0.4712969,0.50468886,0.49568102,0.53431445,0.50422376,0.4699873,0.4916443,0.47115916,0.49152964,0.4334691,0.5334835,0.44871873,0.4836373,0.49414626,0.49376065,0.5001678,0.5087613,0.51264167,0.5092703,0.5168896,0.45809275,0.4362239,0.46423018,0.5070884,0.4704986,0.46643752,0.47502834,0.48867667,0.46053877,0.49215415,0.5113204,0.49321613,0.43964478,0.47489867,0.4576736,0.45335472,0.412729,0.4957601,0.4768704,0.48095912,0.49778405,0.47952318,0.485239,0.46301073,0.44666827,0.5181057,0.47695607,0.4721451,0.49816674,0.47046354,0.5139152,0.51480263,0.5003036,0.48832837,0.45368057
