,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
CSRP2,-0.0024587773,0.020617828,0.012673724,-0.022885531,0.009546801,0.0105939545,-0.027044978,-0.015517386,-0.014478397,0.026133249,-0.029779594,-0.028521322,-0.018148296,0.020450074,-0.009853452,0.025284395,0.0016968828,0.0020295978,-0.005512908,-0.0186928,-0.0059847757,-0.014573779,0.014712155,-0.0010552034,-0.004404027,-0.031170793,0.02117407,-0.0220581,0.013390053,0.017742436,0.018749,-0.022149578,0.023340307,0.016227573,0.023115257,0.015429545,-0.01867915,0.02140744,0.0075721163,-0.040968686,-0.010140661,0.027360447,-0.007351864,-0.0146700535,-0.018352333,-0.007876561,-0.0046430677,-0.0438734,-0.022144975,-0.0034968033,-0.006982483,-0.009635884,-0.0009199828,0.02216118,0.0048699677,-0.037598215,0.014237702,-0.025051024,-0.008325934,-0.00900336,0.021654442,-0.02215083,-0.0008561164,-0.0051770993
TEAD4,-0.10484661,0.07025701,0.08385604,-0.046763938,0.08143076,0.11851817,-0.1257837,-0.0867978,-0.09423056,0.09033804,-0.11161876,-0.11174016,-0.10176027,0.09737311,-0.09687941,0.11333649,0.1144414,0.12310921,-0.11952984,-0.07674107,-0.10709585,-0.13427994,0.040167958,0.09082591,-0.10783078,-0.10316394,0.09360065,-0.09931834,0.12297697,0.10204758,0.08152557,-0.11912792,0.017007656,0.13238168,0.103650145,0.11739267,-0.11145425,0.11201921,-0.09772572,-0.12762065,0.1119277,0.105620235,0.12111816,-0.1048786,-0.09828877,-0.10625484,0.053659488,-0.07269383,-0.11453415,-0.117986195,-0.10369429,-0.102372035,-0.06259884,0.10438617,0.098762505,-0.099570826,0.11861481,-0.005698379,-0.11153866,-0.10410333,0.11753155,-0.109088734,0.14372376,-0.09454197
SNORA68,0.13911773,-0.08544387,-0.11253407,0.048704177,-0.11061889,-0.13893096,0.14195667,0.10776634,0.11864628,-0.13021581,0.13103616,0.12814945,0.10329108,-0.12486783,0.11316081,-0.1421441,-0.12816899,-0.1378232,0.15931265,0.113718525,0.15275717,0.15362808,-0.056163847,-0.11768578,0.13485412,0.11864112,-0.10406071,0.11938022,-0.14694841,-0.15105687,-0.10712085,0.14230582,-0.01008486,-0.14402689,-0.13543761,-0.13553141,0.14022823,-0.137669,0.12947676,0.14820111,-0.13549587,-0.1321483,-0.13785255,0.12784106,0.12902285,0.123643704,-0.08813975,0.09389986,0.1400917,0.14050758,0.1350024,0.12545623,0.07654603,-0.14101471,-0.13926026,0.12111316,-0.1319224,0.0066219456,0.122441575,0.15760681,-0.14596091,0.13253255,-0.17142875,0.12586102
CELF3,0.025737906,-0.010407757,-0.018049035,0.0010963902,-0.022966797,-0.024323067,0.025820363,0.009985788,0.019286945,-0.030503292,0.020786189,0.023989119,-0.001551142,-0.02504437,0.008073358,-0.025752768,-0.0109009305,-0.016395006,0.03342971,0.03462757,0.030138154,0.013615847,-0.011406872,-0.02197811,0.027817996,0.0063358434,-0.013911746,0.01800625,-0.018858798,-0.031355374,-0.024382906,0.014460616,0.003260769,-0.009263463,-0.02043026,-0.01878963,0.024843179,-0.020637657,0.024232913,0.021707412,-0.019323768,-0.016615506,-0.008656548,0.022612484,0.0319431,0.025116704,-0.021371072,0.013836039,0.019171115,0.023483362,0.022837695,0.019044409,0.0070435964,-0.02041254,-0.024680894,0.021073297,-0.012789242,-0.00010718033,0.009296626,0.033573363,-0.025064647,0.02070278,-0.013929784,0.023173135
SMARCD1,-0.015072744,0.019400015,0.016956508,-0.02381493,0.019400429,0.020284122,-0.031042717,-0.025626946,-0.022961393,0.021943005,-0.032433458,-0.02749157,-0.03390938,0.018693935,-0.024658635,0.028841376,0.016635107,0.016062874,-0.013707213,-0.01056934,-0.016397826,-0.032211717,0.008042552,0.0113827735,-0.015074048,-0.03637288,0.030209795,-0.026624113,0.025349189,0.01604461,0.018337429,-0.030385345,0.012571938,0.03964544,0.024818791,0.022620946,-0.026509529,0.02372016,-0.006821066,-0.03725686,0.012724363,0.027199917,0.023657922,-0.013355328,-0.0146486815,-0.020710267,0.004038781,-0.026589304,-0.026995135,-0.022747613,-0.02133213,-0.016789988,-0.014912911,0.02422591,0.016302228,-0.034255445,0.032501914,-0.015185658,-0.024003647,-0.013547938,0.030464672,-0.02574557,0.022911085,-0.017674003
CTSZ,0.01670606,-0.010595392,-0.004084073,-0.022571564,-0.01649198,-0.015964342,0.006682027,0.0018271636,0.007159129,-0.012265701,0.0030035526,0.0028576674,0.0016792379,-0.014860708,0.009591733,-0.009339079,-0.020834979,-0.023054523,0.027644264,0.0071936976,0.016961798,0.009172127,0.0031481385,-0.019485157,0.02009399,0.00059654936,0.0060274303,0.0012687445,-0.020323334,-0.020004787,-0.008498067,0.012790747,0.02388379,-0.0012589246,-0.0062592924,-0.010275931,0.019113302,-0.011762634,0.026253117,-0.0141300075,-0.03541032,-0.00641419,-0.018370977,0.018247018,0.010136161,0.013284924,-0.020257603,-0.011710284,0.00618482,0.016272563,0.021099487,0.015614798,0.009631876,-0.015466737,-0.020735702,-0.015130743,-0.00794512,-0.027946044,0.012567624,0.021530967,-0.003380932,0.013343297,-0.03068033,0.021928726
RNF19A,-0.061546955,0.04600033,0.055643775,-0.038768034,0.048312094,0.07241164,-0.07656108,-0.059254356,-0.060933817,0.052895762,-0.070381455,-0.069369,-0.07260306,0.058957916,-0.06689068,0.068572044,0.07335881,0.07527177,-0.06868012,-0.04005482,-0.06072247,-0.09038796,0.02681785,0.05424609,-0.065249205,-0.07350315,0.062259413,-0.06872653,0.08021283,0.06154077,0.048291013,-0.077857494,0.014384463,0.09259206,0.06752832,0.074791916,-0.068799645,0.07088513,-0.05769658,-0.082091205,0.06750823,0.07118481,0.07870367,-0.06313235,-0.059352003,-0.0641921,0.029670242,-0.052317984,-0.07547131,-0.07258984,-0.06334808,-0.063721254,-0.042989057,0.06724953,0.06184777,-0.06836091,0.081112586,-0.0077661574,-0.075760916,-0.061269823,0.07607262,-0.07091373,0.09498114,-0.056342486
HEXIM1,0.05879726,-0.03142081,-0.048095986,0.0059471503,-0.044638135,-0.061580755,0.05975536,0.0397693,0.048634335,-0.05269278,0.050572686,0.054347098,0.031976186,-0.054511882,0.041021436,-0.05376066,-0.05491814,-0.060096174,0.07513314,0.052733272,0.061507747,0.058297195,-0.022340469,-0.05260093,0.060733642,0.039366435,-0.03587006,0.046613917,-0.05839297,-0.06591922,-0.044942223,0.05490207,0.0055187866,-0.048314475,-0.051598117,-0.0539767,0.058058806,-0.055569436,0.06036372,0.053652126,-0.059762865,-0.052577972,-0.0516886,0.060503975,0.06321232,0.05401746,-0.038682684,0.03444349,0.05422175,0.059217475,0.050795116,0.052779783,0.025515042,-0.05432549,-0.059185266,0.045700207,-0.053547256,-0.007918779,0.04828621,0.06928522,-0.056006707,0.05357642,-0.07277349,0.05275671
MSANTD3,0.08666008,-0.046983194,-0.069218695,0.019910984,-0.060169116,-0.09599799,0.08936393,0.05929037,0.07416934,-0.07576729,0.07936496,0.07637255,0.05113241,-0.082601696,0.06834901,-0.0868487,-0.09013649,-0.09934825,0.109267026,0.072188154,0.10001542,0.097048566,-0.041117877,-0.07907249,0.08772783,0.060828704,-0.054922424,0.07541393,-0.09280114,-0.09286919,-0.07109554,0.08327625,0.0029518679,-0.08297031,-0.0838924,-0.083755225,0.092729956,-0.08209704,0.09415202,0.08442344,-0.09043302,-0.07906011,-0.092543796,0.08515568,0.08543679,0.07962284,-0.06243467,0.046104804,0.080096796,0.0985291,0.08171865,0.08027935,0.044874415,-0.086051166,-0.09263562,0.06727868,-0.08675576,-0.006402243,0.07640104,0.10095596,-0.0883089,0.08559686,-0.11619549,0.07989057
HIST1H2AI,-0.0010774247,0.0011647344,0.0006740019,-0.012377584,0.005617555,0.0011820477,-0.008150682,-0.0050421692,-0.0035789944,0.00028564408,-0.0085798465,-0.00889477,-0.0068210997,0.0013980865,-0.0045766085,0.009239588,-0.008302563,0.00054252334,0.008818617,-0.005472034,0.0038343966,-0.0069284625,-0.00033532456,-0.008894756,0.000539314,-0.009842306,0.010718126,-0.011323288,0.0048692375,-0.0077017695,0.0030761994,-0.003973834,0.012082316,0.010619029,0.007369671,0.00066901976,-0.010047227,-0.002274301,0.011197466,-0.01762288,-0.0047686845,0.00018306822,-0.0016625975,0.005342798,-0.0038035936,-0.0066710804,-0.00586335,-0.0071120737,-6.4147636e-05,-0.0015076175,-0.0005200021,0.002127517,0.0019169375,0.0060989177,-0.0019992068,-0.014973594,0.012085278,-0.014274787,-0.0016581081,0.0077275224,0.009525597,0.0005307868,-0.0070001613,9.0010464e-05
TMED9,0.043617375,-0.032003284,-0.028577339,-0.0042550396,-0.03446109,-0.04370083,0.035311725,0.026375776,0.0333156,-0.04255213,0.030665427,0.02977729,0.02461985,-0.04199973,0.029093504,-0.04161887,-0.046994135,-0.046992145,0.055422515,0.02621829,0.049865264,0.04301291,-0.014907446,-0.042245626,0.045211352,0.027631368,-0.017821833,0.02697064,-0.04700566,-0.052768853,-0.030416807,0.03826575,0.010388933,-0.032564677,-0.032835305,-0.036909148,0.043149833,-0.042410836,0.0506272,0.0236683,-0.05563654,-0.03853154,-0.04561158,0.043759298,0.038007744,0.035918556,-0.032935,0.015580729,0.039654605,0.043589994,0.04260834,0.042448,0.027119728,-0.04600785,-0.04451953,0.014455944,-0.031633295,-0.017222542,0.03612015,0.053061247,-0.03519042,0.04290588,-0.063214496,0.045285515
MSC,-0.27921787,0.13108876,0.16659588,-0.012608413,0.17922153,0.2786358,-0.30336958,-0.17535329,-0.22869967,0.21996978,-0.22268859,-0.2753161,-0.15819311,0.2744823,-0.18108284,0.25240582,0.25228867,0.27965847,-0.2857805,-0.21057363,-0.23680526,-0.28670028,0.083739266,0.19987714,-0.25218457,-0.18230176,0.14927454,-0.21859682,0.28994167,0.26848087,0.18360455,-0.2815948,-0.015707593,0.26574668,0.19619036,0.24578011,-0.23287442,0.28047514,-0.24979025,-0.26518056,0.2821988,0.20192942,0.27819306,-0.28335848,-0.24672379,-0.24532157,0.16903389,-0.0982783,-0.25017905,-0.2614662,-0.2355473,-0.26195598,-0.094742835,0.27304563,0.19713706,-0.17262554,0.22834331,0.052262377,-0.2333572,-0.22302473,0.2611555,-0.1925448,0.3249932,-0.23468341
