TF_gene,Target_gene
RFX2,RAD51
TLE1,RAD51
TAF1,RAD51
DCP1A,RAD51
POLR1C,RAD51
GLI1,RAD51
POLR3F,RAD51
ERCC8,RAD51
ELF4,RAD51
ZFP446,RAD51
RLIM,TADA3
PRRX2,TADA3
ZFP277,TADA3
POU2F1,TADA3
RBMXL2,TADA3
IRF1,TADA3
HEXIM1,TADA3
HES6,TADA3
RBFOX2,TADA3
SIX1,TADA3
SOX2,SPP1
SUZ12,SPP1
PRDM14,SPP1
KLF4,SPP1
JARID2,SPP1
NANOG,SPP1
POU5F1,SPP1
MEF2C,SPP1
MYC,SPP1
TBX3,SPP1
NME2,CITED2
ETV1,CITED2
PREB,CITED2
DTX1,CITED2
MDM2,CITED2
HSF2BP,CITED2
TCF12,CITED2
TRRAP,CITED2
SMARCA5,CITED2
CTNNBL1,CITED2
NRF1,TRIP11
HIST1H1B,TRIP11
HIF3A,TRIP11
BARD1,TRIP11
NCOR1,TRIP11
MSC,TRIP11
SSBP4,TRIP11
EOMES,TRIP11
CREB3L2,TRIP11
TAF1A,TRIP11
PEG3,RFXAP
ZFP281,RFXAP
SFPQ,RFXAP
HDAC11,RFXAP
POLR1C,RFXAP
BMP4,RFXAP
EGR1,RFXAP
TOX4,RFXAP
HTT,RFXAP
HSF2BP,RFXAP
TLE1,ZBTB24
SOS2,ZBTB24
MEN1,ZBTB24
DTX1,ZBTB24
PDCD11,ZBTB24
XRCC6,ZBTB24
NCOR1,ZBTB24
TOP2B,ZBTB24
SMARCA2,ZBTB24
EPAS1,ZBTB24
CIC,TCOF1
ZBTB32,TCOF1
RUNX3,TCOF1
AGAP3,TCOF1
ZBTB3,TCOF1
HOPX,TCOF1
SMARCAD1,TCOF1
POLR1A,TCOF1
ZSWIM4,TCOF1
SND1,TCOF1
TRP53BP1,ZFP275
MBD2,ZFP275
SALL4,ZFP275
POLR1C,ZFP275
TAF1A,ZFP275
IRF1,ZFP275
TAF1,ZFP275
PML,ZFP275
TCEA3,ZFP275
TAF9,ZFP275
ATF1,SRSF3
TRP53,SRSF3
HDAC10,SRSF3
PHF2,SRSF3
THRAP3,SRSF3
SRRT,SRSF3
TLE1,SRSF3
HSPB1,SRSF3
ANKRD49,SRSF3
MATR3,SRSF3
