,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
HOPX,0.39421248,0.04646165,0.18655294,0.5373419,0.46342722,0.0,0.10933589,0.0,0.47840902,0.0,0.0,0.0,0.0,0.0,0.20531236,0.24540356,0.0,0.0,0.0,0.64812094,0.0,0.10963237,0.501856,0.0,0.0,0.0,0.16878644,0.3319439,0.1709035,0.34063554,0.0,0.14950368,0.0,0.06734431,0.0,0.0,0.29900968,0.0,0.0,0.0,0.0,0.028733838,0.39627177,0.3200566,0.07608225,0.083015695,0.0,0.28859207,0.0,0.0,0.20110957,0.0,0.33373472,0.14105682,0.35876542,0.2744148,0.0,0.7039683,0.0,0.37040597,0.13663834,0.0,0.02539169,0.0019843448,0.1221537,0.0,0.16150665,0.0,0.23158881,0.0,0.0,0.0,0.36764935,0.21404158,0.066565864,0.52777654,0.15334123,0.0,0.0,0.039751098,0.0,0.0,0.0,0.19465378,0.0,0.0,0.0,0.01504039,0.0,0.0,0.0,0.0,0.0,0.0,0.02030937,0.29809994,0.4621265,0.049605943,0.0,0.0,0.06596321,0.021836154,0.24649584,0.0,0.0,0.0,0.0,0.0,0.08815045,0.0,0.17298293,0.0,0.0,0.0,0.0,0.20001948,0.52555203,0.0,0.05619184,0.5435858,0.0,0.29965743,0.0,0.0,0.0,0.024820814,0.27358204,0.0
NFXL1,0.5305063,0.0,0.41050404,0.748789,0.46797705,0.0,0.16086674,0.0,0.93376124,0.0,0.0,0.0,0.0,0.0,0.33035558,0.17635673,0.0,0.0,0.0,1.0342065,0.0,0.35822627,0.64550465,0.0,0.0,0.0,0.15857893,0.6175646,0.5725692,0.698001,0.0,0.0,0.0,0.28972366,0.0,0.0,0.56691915,0.07694632,0.003917698,0.0,0.0,0.13677077,0.48303115,0.51939595,0.17213807,0.0,0.094685376,0.588929,0.0,0.0,0.39189917,0.0,0.392879,0.21108857,0.41649666,0.40326038,0.0,0.9365843,0.0,0.72136813,0.0,0.0,0.0,0.0,0.0,0.0,0.39387304,0.0,0.34498394,0.0,0.0,0.0,0.5099327,0.43793264,0.010347813,0.6544782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030326296,0.0,0.0,0.0,0.060229816,0.0,0.0,0.0,0.0,0.0,0.0,0.18029386,0.5105285,0.76069164,0.11223554,0.0,0.0,0.26923776,0.0,0.60416687,0.0,0.0,0.0,0.0,0.14356422,0.1271655,0.0,0.5088306,0.0,0.0,0.0,0.0,0.39149016,0.96846426,0.0,0.19444412,0.8043024,0.0,0.5958181,0.0,0.0,0.0,0.0,0.55017114,0.0
HDAC3,0.4809187,0.0,0.36247137,0.6704709,0.41661605,0.0,0.14065251,0.0,0.802406,0.0,0.0,0.0,0.0,0.0,0.3283965,0.15585148,0.0,0.0,0.0,0.9205476,0.0,0.29687116,0.63357216,0.0,0.0,0.0,0.15502107,0.52607125,0.5229326,0.63765305,0.0,0.0,0.0,0.26917255,0.0,0.0,0.53319544,0.049349025,0.0,0.0,0.0,0.11149642,0.44735277,0.44785276,0.17290282,0.0,0.07635224,0.5124538,0.0,0.0,0.3483691,0.0,0.35534215,0.18551601,0.3659186,0.33278835,0.0,0.87031466,0.0,0.63779205,0.009949215,0.0,0.0,0.0,0.0,0.0,0.3283082,0.0,0.33403906,0.0,0.0,0.0,0.4532563,0.35859165,0.0,0.63418365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028787497,0.0,0.0,0.0,0.06782335,0.0,0.0,0.0,0.0,0.0,0.0,0.11300194,0.47185314,0.6584939,0.10643398,0.0,0.0,0.22399409,0.0,0.5148082,0.0,0.0,0.0,0.0,0.08101547,0.13443705,0.0,0.43195525,0.0,0.0,0.0,0.0,0.35609862,0.8717849,0.0,0.16397971,0.7025001,0.0,0.52161324,0.0,0.0,0.0,0.0,0.48438403,0.0
CDC5L,0.33892065,0.016807359,0.18211901,0.5250447,0.36363044,0.0,0.13825482,0.0,0.4262655,0.0,0.0,0.0,0.0,0.0,0.274193,0.18867548,0.0,0.0,0.0,0.55859184,0.0,0.1514909,0.42359406,0.0,0.0,0.0,0.15877312,0.29529813,0.21163672,0.31634417,0.0,0.0,0.0,0.085154146,0.0,0.0,0.2718631,0.027150284,0.0,0.0,0.0,0.013794344,0.30333322,0.2875607,0.05335488,0.052347653,0.0,0.32138848,0.0,0.0,0.19023369,0.0,0.23783202,0.15284182,0.33335575,0.24002644,0.0,0.5958848,0.0,0.39472198,0.064201705,0.0,0.0,0.0,0.0235957,0.0,0.22584836,0.0,0.22319198,0.0,0.0,0.0,0.3269452,0.25781465,0.08995144,0.38633493,0.023816464,0.0,0.0,0.0053571537,0.0,0.0,0.0,0.13717242,0.0,0.0,0.0,0.052003846,0.0,0.0,0.0,0.0,0.0,0.0,0.013193186,0.32672036,0.46066272,0.082266904,0.0,0.0,0.0798852,0.0,0.30201277,0.0,0.0,0.0,0.0,0.010590855,0.0757662,0.0,0.2148126,0.0,0.0,0.0,0.0,0.15854545,0.5051502,0.0,0.10496495,0.4778853,0.0,0.28272703,0.0,0.0,0.0,0.03489297,0.24412015,0.0
SPP1,0.0,0.7550217,0.0,0.10893777,0.017128833,0.031398535,0.0048398674,0.2360534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48247778,0.0,0.39679635,0.06723337,0.0,0.0,0.0,0.0,0.8573475,0.0,0.0,0.39124733,0.0,0.0,0.014809739,0.0,0.07124914,0.0,0.0,0.4951239,0.120268375,0.0,0.0,0.0,0.31712124,0.70953166,0.63239294,0.0,0.000870198,0.0,0.84537476,0.0,0.0,0.24476954,0.12019248,0.0,0.59606326,0.5485003,0.0,0.029092249,0.0,0.0,0.0,0.7936449,0.0,0.0,0.0,0.0,0.28271204,0.4873812,0.7545987,0.047424257,0.61587846,0.045335762,0.0,0.3893903,0.0,0.0,0.040754426,0.039819993,0.0,0.0,0.0,0.0,0.62751305,0.42561606,0.0,0.6170479,0.0,0.0,1.0499781,0.09255721,0.05203958,0.0,0.0,0.4867202,0.0,0.81223875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024226584,0.5189251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67144907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029474014,0.0,0.0
SPOCK1,0.0,0.426886,0.0,0.08871423,0.0,0.0033383071,0.049398366,0.21469915,0.04022181,0.0,0.0,0.0,0.0,0.0,0.09820383,0.26264554,0.0,0.3189317,0.05643557,0.0,0.0,0.0,0.0,0.5169663,0.0,0.0,0.25225562,0.0,0.11705732,0.06440823,0.0,0.04460431,0.0,0.0,0.3120903,0.051991567,0.0,0.0,0.0,0.18480027,0.5381186,0.36275128,0.0,0.0048713014,0.0,0.41754404,0.0,0.045776464,0.12000901,0.08838497,0.0,0.45765328,0.2731125,0.0,0.0,0.0,0.0,0.0,0.40481403,0.0,0.0,0.00038056076,0.0,0.2774995,0.2551416,0.44894412,0.0,0.19841754,0.0020158514,0.0,0.27933636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41496667,0.14970176,0.0,0.31099907,0.0,0.0,0.44160855,0.0,0.016257815,0.0,0.0,0.2812323,0.0,0.51312184,0.059664045,0.0,0.057416677,0.0,0.0,0.0,0.0,0.0,0.0,0.12943687,0.26824707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4622339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACH2,0.43569186,0.0,0.2719826,0.55639714,0.4526502,0.0,0.11370892,0.0,0.59358263,0.0,0.0,0.0,0.0,0.0,0.22230989,0.2004304,0.0,0.0,0.0,0.74583346,0.0,0.13893174,0.5602837,0.0,0.0,0.0,0.13158816,0.37251762,0.24819462,0.40821454,0.0,0.10992865,0.0,0.12200934,0.0,0.0,0.36526275,0.0,0.0,0.0,0.0,0.06047606,0.45984465,0.33072838,0.14565724,0.04078138,0.013742153,0.32089016,0.0,0.0,0.26365843,0.0,0.36442736,0.15954784,0.35792533,0.28863037,0.0,0.77723724,0.0,0.4212028,0.09353348,0.0,0.013077844,0.02528449,0.14242373,0.0,0.15235136,0.0,0.27387998,0.0,0.0,0.0,0.38352984,0.24243984,0.0,0.6479035,0.06999952,0.0,0.0,0.00837335,0.0,0.0,0.0,0.10931818,0.0,0.0,0.0,0.0115234405,0.0,0.0,0.0,0.0,0.0,0.0,0.038568165,0.3120234,0.47844717,0.046896316,0.0,0.0,0.09564726,0.02530463,0.25868672,0.0,0.0,0.0,0.0,0.0,0.120582104,0.0,0.20208663,0.0,0.0,0.0,0.0,0.26394102,0.62219596,0.0,0.08266809,0.58251685,0.0,0.35658136,0.0,0.0,0.0,0.0,0.30498123,0.0
TMED2,0.0,0.51306593,0.0,0.609911,0.0,0.21978311,0.13153487,0.31613597,0.23072216,0.0,0.0,0.0,0.0,0.0,0.2805011,0.442787,0.0,0.27252644,0.38826,0.0,0.0,0.0,0.074359685,0.43869072,0.0,0.0,0.6065358,0.0,0.34864068,0.35417113,0.0,0.0,0.0,0.0,0.45853457,0.0,0.05936133,0.0,0.0,0.028929885,0.6022341,0.13972907,0.0,0.04447752,0.0,0.36720958,0.0,0.2600949,0.2169025,0.2122519,0.0,0.4458502,0.28379613,0.051979125,0.007853184,0.0,0.0,0.0,0.23366226,0.0006676223,0.0,0.0,0.0,0.25018403,0.08746034,0.38736042,0.105550215,0.0,0.17139462,0.081843674,0.45407265,0.0,0.0,0.018562146,0.081743926,0.0,0.13105649,0.0,0.0,0.44332296,0.0,0.0,0.056565486,0.0070446096,0.0,0.48800334,0.0,0.2026087,0.0,0.0,0.31598958,0.0,0.5188069,0.1563409,0.0,0.24317339,0.0,0.051901884,0.0,0.0,0.0,0.0,0.3248499,0.11556071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58627963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18899834,0.0,0.11229436
DNMT1,0.44322363,0.0,0.26908806,0.6682345,0.41239896,0.0,0.16383713,0.0,0.6110945,0.0,0.0,0.0,0.0,0.0,0.38986805,0.22127682,0.0,0.0,0.0,0.7390918,0.0,0.22381517,0.52638966,0.0,0.0,0.0,0.19919536,0.3952135,0.3631634,0.43854395,0.0,0.0,0.0,0.14780864,0.0,0.0,0.3521685,0.08570017,0.0,0.0,0.0,0.013782229,0.37974524,0.3646288,0.077226184,0.05953995,0.0,0.43755373,0.0,0.0,0.26992992,0.0,0.2761199,0.18645164,0.41492096,0.30586356,0.0,0.7344857,0.0,0.5727939,0.029325068,0.0,0.0,0.0,0.0,0.0,0.35709438,0.0,0.3143917,0.0,0.0,0.0,0.4247709,0.36738285,0.11944337,0.47334307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10967773,0.0,0.0,0.0,0.105631575,0.0,0.0,0.0,0.0,0.0,0.0,0.058482837,0.43109354,0.6157984,0.12000648,0.0,0.0,0.15655124,0.0,0.4632295,0.0,0.0,0.0,0.0,0.037979722,0.100380465,0.0,0.34525284,0.0,0.0,0.0,0.0,0.23455672,0.7016299,0.0,0.17620611,0.6398767,0.0,0.42602047,0.0,0.0,0.0,0.0,0.36738712,0.0
TSPAN9,0.0,0.44332942,0.0,0.34056935,0.0016573966,0.060416833,0.11464366,0.29288357,0.20072037,0.0,0.0,0.0,0.0,0.0,0.23020582,0.3416829,0.0,0.27989882,0.20555654,0.0,0.0,0.0,0.0,0.49911168,0.0,0.0,0.42552978,0.013050713,0.2885285,0.2294832,0.0,0.0,0.0,0.0,0.3648472,0.0,0.034094393,0.0,0.0,0.14048979,0.6267859,0.2467011,0.0,0.02394503,0.0,0.383467,0.0,0.13212681,0.19265828,0.1455688,0.0,0.54164803,0.29483712,0.0,0.0,0.0,0.0,0.0,0.31322837,0.0,0.0,0.0,0.0,0.31083697,0.16479594,0.42416632,0.0,0.0,0.0688863,0.051654253,0.37513447,0.0,0.0,0.0,0.0,0.0,0.030225711,0.0,0.0,0.40671307,0.0,0.0,0.1974298,0.0,0.0,0.4102116,0.0,0.08804706,0.0,0.0,0.28046992,0.0,0.50852126,0.11962381,0.0,0.1987639,0.0,0.0,0.0,0.0,0.0,0.0,0.2703783,0.19949153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5627938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004513623,0.0,0.025085386
