TF_gene,Target_gene
PRDM14,UTF1
FOXJ2,UTF1
CBX8,UTF1
MYCN,UTF1
TBX3,UTF1
SMAD4,UTF1
SMAD7,UTF1
ZFP42,UTF1
KLF4,UTF1
AES,UTF1
WBP11,SSB
TCF7,SSB
SRRT,SSB
HEXIM1,SSB
PBX4,SSB
TULP3,SSB
EPAS1,SSB
POLR1B,SSB
DNAJC2,SSB
LDB1,SSB
HIVEP2,RUVBL1
BARD1,RUVBL1
TWIST1,RUVBL1
ELF1,RUVBL1
FOXD3,RUVBL1
TCF7L2,RUVBL1
SRSF1,RUVBL1
HEXIM1,RUVBL1
HMGB2,RUVBL1
CALCOCO1,RUVBL1
KLF4,RAB11A
PRDM14,RAB11A
ASH1L,SKIL
YEATS4,SKIL
RYBP,SKIL
CTCF,SKIL
GATA6,SKIL
NCOR1,SKIL
CREBZF,SKIL
DDB1,SKIL
WBP11,SKIL
TGFB1,SKIL
SMAD7,NOTCH2
HNRNPD,NOTCH2
PAX8,NOTCH2
CITED2,NOTCH2
CELF3,NOTCH2
SPEN,NOTCH2
UTF1,NOTCH2
POLR3B,NOTCH2
POU4F2,NOTCH2
ZFP398,NOTCH2
CNOT8,CUX1
PMS1,CUX1
HEXIM1,CUX1
ABT1,CUX1
ZBTB32,CUX1
TMF1,CUX1
PER1,CUX1
TWIST1,CUX1
ILF2,CUX1
PSIP1,CUX1
GATA3,NPHS1
SOX2,NPHS1
NR5A2,NPHS1
SUZ12,NPHS1
ESRRB,NPHS1
SMAD7,NPHS1
EOMES,NPHS1
POLR1E,SMAD7
RBMXL2,SMAD7
MAPK8,SMAD7
ZFP276,SMAD7
KPNA2,SMAD7
FOXJ2,SMAD7
NDN,SMAD7
NCOA6,SMAD7
DNMT3A,SMAD7
DTX1,SMAD7
ZFP296,MSC
NPAS2,MSC
TEAD3,MSC
MEF2C,MSC
AES,MSC
NACC1,MSC
TSG101,MSC
ABTB1,MSC
PBX4,MSC
DDB2,MSC
NR0B1,EOMES
TAX1BP3,EOMES
CSF1,EOMES
POLR2J,EOMES
IKBKB,EOMES
ARID3B,EOMES
MEN1,EOMES
ELF2,EOMES
RBPJ,EOMES
KLF2,EOMES
JARID2,KPNA2
SOX17,KPNA2
GATA3,KPNA2
ESRRB,KPNA2
SMAD4,KPNA2
MEF2C,KPNA2
PRDM14,KPNA2
OTX2,KPNA2
RHOX6,KPNA2
NR0B1,KPNA2
BRCA2,SNAI1
EOMES,SNAI1
GATA4,SNAI1
TAF10,SNAI1
CALCOCO1,SNAI1
ETV1,SNAI1
POLR1B,SNAI1
HCFC1,SNAI1
GATA6,SNAI1
SNAI1,SNAI1
DR1,NR3C1
NR3C1,NR3C1
TSHZ3,NR3C1
NFIC,NR3C1
CHD7,NR3C1
TWIST1,NR3C1
PKNOX2,NR3C1
ZFP36L1,NR3C1
CREBZF,NR3C1
PLRG1,NR3C1
HDAC4,TAF6
CSF1,TAF6
ATF7,TAF6
ATM,TAF6
NFKBIA,TAF6
ABTB1,TAF6
ZSWIM4,TAF6
AATF,TAF6
ERCC8,TAF6
CREB5,TAF6
ZFP42,NANOG
VEZF1,NANOG
POLR2I,NANOG
BMP4,NANOG
NCOA3,NANOG
NR5A2,NANOG
PBXIP1,NANOG
MED4,NANOG
SRF,NANOG
RAD54B,NANOG
GATA3,CTSZ
POU5F1,CTSZ
EOMES,CTSZ
ARID3B,SMARCA5
HDGF,SMARCA5
SIX5,SMARCA5
NOTCH1,SMARCA5
PAWR,SMARCA5
EOMES,SMARCA5
ETV3,SMARCA5
ZFP592,SMARCA5
ECD,SMARCA5
PITX1,SMARCA5
GATA3,SERPINH1
POU5F1,SERPINH1
SOX2,SERPINH1
NR0B1,SERPINH1
KLF4,SERPINH1
MYBL2,SERPINH1
SUZ12,SERPINH1
