,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
HOPX,0.44865382,0.4083847,0.31428528,0.5303611,0.43903726,0.46039993,0.37086624,0.23699965,0.4616094,0.6583085,0.32074687,0.54497284,0.36638528,0.4969339,0.5043682,0.5185123,0.3596824,0.4084548,0.36878493,0.3244489,0.39015508,0.5910971,0.37449464,0.4031465,0.5792853,0.56793314,0.47426975,0.37127835,0.70668334,0.5245396,0.3426172,0.35547155,0.48082387,0.3016494,0.5503741,0.42003173,0.36351687,0.52084917,0.37142596,0.633778,0.64282715,0.44515425,0.48355648,0.3513416,0.5905052,0.3428765,0.46357304,0.325091,0.6955743,0.656584,0.40389758,0.65723425,0.46631324,0.5841155,0.3772805,0.42872375,0.43264428,0.32574734,0.46854654,0.39697382,0.4002501,0.50687575,0.5786649,0.5513141,0.44045258,0.3208842,0.5856905,0.534957,0.6182353,0.24039504,0.63932735,0.32768095,0.43981475,0.39843512,0.3164941,0.54456484,0.6215553,0.51609665,0.3669167,0.50242627,0.4547647,0.4425546,0.5657215,0.51536906,0.5045502,0.6051034,0.45125157,0.41325456,0.5328056,0.41723844,0.4375507,0.3533729,0.44555944,0.54432124,0.34899747,0.38432747,0.3186707,0.38756683,0.55911624,0.32106826,0.3423262,0.5260574,0.5013647,0.50291693,0.48641315,0.5480299,0.40990922,0.4828864,0.43866673,0.47726607,0.4787828,0.38027635,0.5223574,0.55403733,0.5124603,0.63114524,0.40488374,0.43126428,0.38380685,0.5125901,0.53191906,0.5050381,0.44866514,0.50644547,0.6774708,0.45731702,0.5073406,0.38862985
NFXL1,0.45432293,0.43593314,0.3443661,0.5115995,0.44064507,0.46750757,0.37973818,0.27085975,0.4808619,0.6394985,0.32889065,0.5311653,0.38490644,0.5062759,0.49309766,0.535146,0.3561723,0.4088871,0.3808051,0.37348664,0.43526343,0.5550125,0.40010348,0.41925037,0.55645096,0.5553254,0.48921245,0.3845104,0.6746494,0.5353313,0.3647971,0.36972776,0.48410767,0.30006596,0.51695746,0.4371331,0.3945618,0.5210349,0.38833636,0.6267474,0.62013066,0.44960433,0.48040769,0.38264608,0.5920164,0.3575675,0.47514936,0.36203504,0.65693736,0.6344393,0.3994385,0.62065554,0.47653812,0.57514024,0.39938205,0.43255588,0.42528418,0.35505977,0.46251807,0.409646,0.41716093,0.5079992,0.5526107,0.54006433,0.46457234,0.35144597,0.5789376,0.5205377,0.5823776,0.2580049,0.61442804,0.35422873,0.46076366,0.42060027,0.3406246,0.53717536,0.6077862,0.51257026,0.3949967,0.4947889,0.42453858,0.46770197,0.5465737,0.5036463,0.50086385,0.589485,0.44877288,0.44095615,0.52260125,0.4406768,0.42070547,0.3875694,0.4370775,0.5426629,0.34756786,0.39046544,0.32272306,0.3768426,0.5531284,0.34484848,0.3716562,0.5443548,0.4912119,0.5112389,0.4558437,0.52864563,0.40742013,0.47514614,0.4347782,0.4664568,0.4935743,0.3774164,0.5258762,0.53416955,0.5121142,0.61479837,0.38617823,0.43712476,0.38604176,0.46729568,0.55563086,0.5067635,0.44087267,0.4882365,0.6517434,0.46189368,0.51172,0.40147397
HDAC3,0.44393423,0.4018277,0.29345375,0.532385,0.43411386,0.4610656,0.35360894,0.2091379,0.45919806,0.6838418,0.29166502,0.5575442,0.35055003,0.50428885,0.5119945,0.5230031,0.33982062,0.3922626,0.35535768,0.3048709,0.38480186,0.6056235,0.34633484,0.40122762,0.5912435,0.56716406,0.47775495,0.356075,0.72782284,0.5328312,0.32561803,0.34386092,0.47689632,0.27270648,0.5513015,0.41183227,0.3484333,0.52668464,0.34800464,0.6464719,0.67149425,0.43128446,0.481239,0.34266847,0.6052455,0.32576063,0.4546128,0.30722076,0.7203954,0.6839225,0.38715428,0.6776604,0.46735942,0.6068306,0.3582066,0.42469952,0.4133167,0.30061787,0.45437238,0.37940946,0.38973543,0.5069376,0.58470166,0.5528259,0.432121,0.30089325,0.5959608,0.5389172,0.63217396,0.21252301,0.65321213,0.30891815,0.4394638,0.38857722,0.2979693,0.5568575,0.6326014,0.52495587,0.3493922,0.50372845,0.4541729,0.44059685,0.5742715,0.5104405,0.4961242,0.62287545,0.44808897,0.41311365,0.5419416,0.40331277,0.4310887,0.33659235,0.44323373,0.55403024,0.32140172,0.37383223,0.29462016,0.376684,0.5691485,0.296747,0.33119425,0.5311752,0.4943777,0.5087609,0.48417953,0.5545999,0.3962173,0.48706242,0.42665598,0.4697153,0.4785745,0.36521822,0.5300334,0.5518063,0.51573145,0.6484162,0.39532998,0.4317091,0.3679471,0.5024922,0.5434478,0.5100262,0.44770655,0.50752443,0.69632596,0.4562576,0.5163448,0.3712181
CDC5L,0.45198095,0.4317698,0.33192694,0.52139115,0.44167268,0.46764684,0.39035577,0.2749628,0.46792763,0.6437652,0.3439921,0.53661984,0.37985873,0.49723434,0.5052095,0.5141959,0.379983,0.42660722,0.37938914,0.34956494,0.4127697,0.5764574,0.3887428,0.41674158,0.56994075,0.55698985,0.4731854,0.38304096,0.68038905,0.5255972,0.35256526,0.3700124,0.49098948,0.3193082,0.54050773,0.4279309,0.3829143,0.5201475,0.38660932,0.62329584,0.62973094,0.4553594,0.49232307,0.37208894,0.5804056,0.3640114,0.46859282,0.34528434,0.66901964,0.63131386,0.412082,0.6355632,0.4638372,0.5778816,0.38845438,0.43234926,0.4321708,0.3406657,0.47290578,0.40582374,0.40960848,0.5033126,0.5589896,0.5438978,0.45250946,0.3509483,0.57591194,0.52732563,0.60699344,0.26662907,0.61959547,0.34217072,0.4495201,0.41532612,0.33632773,0.53944147,0.6100029,0.51542634,0.38641506,0.49696347,0.45604265,0.4479362,0.54933965,0.51390845,0.5047666,0.59292865,0.4631322,0.41986635,0.52865237,0.42644903,0.4344839,0.37450922,0.4439171,0.5315601,0.36700416,0.39329088,0.3396008,0.4045888,0.5541968,0.34193876,0.35787448,0.5255791,0.50071025,0.5054665,0.48545915,0.53472507,0.40905145,0.4840298,0.4472887,0.47355476,0.49028364,0.38538957,0.5281914,0.5503478,0.5077109,0.61295265,0.41202727,0.442244,0.38539004,0.50241184,0.5402079,0.5102855,0.45284623,0.50270754,0.65951735,0.46289688,0.50548327,0.4003598
SPP1,0.29158714,0.3694847,0.41811442,0.37761968,0.42762995,0.4274545,0.3927305,0.49779302,0.57707345,0.45671123,0.51374227,0.34258038,0.5154539,0.47552714,0.398677,0.4976068,0.4659229,0.49391612,0.5216176,0.5300966,0.44705003,0.31695238,0.625209,0.4821442,0.3400558,0.502417,0.4160858,0.39803582,0.32548553,0.3538217,0.5898259,0.464845,0.31698784,0.44629043,0.43957746,0.5133457,0.55313975,0.53004134,0.56870854,0.49865702,0.37886092,0.52205193,0.53865236,0.47227484,0.50443953,0.51123416,0.43896827,0.6033724,0.40884858,0.43447313,0.46926808,0.38211748,0.5055816,0.33162796,0.47408304,0.3762014,0.44604483,0.4987403,0.40599233,0.6268702,0.38495722,0.50974494,0.49015513,0.52141243,0.5685546,0.49551633,0.4480687,0.44580492,0.32368308,0.46380714,0.45897117,0.4402962,0.5104883,0.5475102,0.5014594,0.46117696,0.43068364,0.4020847,0.5943977,0.5601263,0.31431136,0.52656645,0.52898675,0.49776083,0.44379514,0.59701574,0.4592563,0.4087437,0.52427834,0.5383456,0.46468654,0.5753748,0.45267636,0.4313544,0.52103233,0.57327867,0.34940585,0.36628717,0.49834555,0.4611435,0.4672808,0.4095483,0.3155034,0.44675186,0.35070536,0.3923332,0.50944155,0.48590988,0.5655836,0.50000507,0.40614137,0.3771186,0.37636626,0.5307895,0.35340354,0.500996,0.32571113,0.3907556,0.51385546,0.3715175,0.38346642,0.4450734,0.47393385,0.49070787,0.4682625,0.39042786,0.4256154,0.31413117
SPOCK1,0.315695,0.4130793,0.44400406,0.39248204,0.43969992,0.45343497,0.4208502,0.50523156,0.57385415,0.4670185,0.5116754,0.37209693,0.5158626,0.4779253,0.41632465,0.4960528,0.4730924,0.48560277,0.5219586,0.5097585,0.46439877,0.34650588,0.6122618,0.48719424,0.36454794,0.5020118,0.429007,0.42542905,0.3495199,0.3831894,0.5631829,0.4773393,0.36286765,0.47493383,0.4581347,0.5016757,0.53742313,0.51774335,0.55495554,0.4941186,0.39946362,0.5192895,0.53374755,0.4714602,0.50466466,0.5307843,0.440524,0.5798453,0.41961983,0.44141462,0.4925238,0.39187402,0.5101821,0.36003903,0.48360074,0.41555852,0.4744033,0.50331086,0.42207325,0.5969248,0.4238873,0.5063186,0.48128888,0.51561415,0.55980617,0.5163127,0.45762795,0.46092194,0.35954317,0.4624393,0.46463287,0.45049772,0.5036018,0.51705974,0.5121451,0.46563038,0.44651997,0.41606712,0.58987117,0.5451313,0.342193,0.51989514,0.5201514,0.5008839,0.45074606,0.56533617,0.46492013,0.42202935,0.52007467,0.52295613,0.47873634,0.56914055,0.45816895,0.43213746,0.51703364,0.55294883,0.38368747,0.40541035,0.49827126,0.46952686,0.4653078,0.41793028,0.3447303,0.4608479,0.37343985,0.41658637,0.5150042,0.49022543,0.5633216,0.5103617,0.4128226,0.39977536,0.39104185,0.5241535,0.39334616,0.49894568,0.3655821,0.42155224,0.52367085,0.39376,0.4043755,0.4496262,0.48616445,0.48843208,0.44477218,0.4030172,0.43722054,0.36557966
BACH2,0.46096262,0.45217907,0.38190505,0.5165635,0.45322102,0.4691273,0.4213147,0.34219953,0.47569105,0.5941073,0.39955083,0.5154176,0.4165672,0.49094313,0.49169663,0.5124962,0.41504955,0.45322052,0.40819016,0.39752004,0.43602842,0.5455487,0.4404956,0.42488894,0.5430322,0.54985774,0.47260818,0.41571826,0.63242394,0.51202327,0.3893602,0.39869797,0.4958053,0.37243643,0.52992916,0.44784117,0.41701263,0.51013535,0.43144414,0.5962355,0.57807374,0.47704515,0.49554878,0.39737716,0.55762744,0.4032766,0.48284093,0.38660312,0.61136556,0.57848865,0.43729112,0.5888767,0.46676275,0.5417512,0.4259129,0.4411587,0.4615808,0.39465684,0.4906111,0.43874776,0.4361125,0.50055057,0.54121304,0.53458196,0.4735688,0.3953839,0.5558458,0.5148359,0.5750518,0.33087912,0.58847237,0.38241234,0.45774427,0.44122434,0.3762186,0.518109,0.58531713,0.50234514,0.42186907,0.49544528,0.44914985,0.4597833,0.529297,0.5190391,0.5145895,0.55973375,0.47082394,0.4281002,0.5151581,0.45267072,0.44542372,0.41152275,0.44856706,0.51352346,0.4152412,0.41455114,0.38776222,0.42721415,0.53592056,0.39332628,0.38838443,0.52000093,0.50606894,0.4971489,0.48047933,0.5215936,0.43080723,0.4813156,0.46971914,0.48098648,0.49272773,0.4117577,0.5196589,0.5428291,0.50398093,0.578427,0.42517176,0.44814274,0.41628528,0.5074543,0.52839494,0.502525,0.45808128,0.49498805,0.6163408,0.46905684,0.494454,0.43386555
TMED2,0.20346709,0.2998102,0.37822163,0.33187342,0.3886083,0.4036958,0.32574162,0.50280577,0.62486017,0.4285016,0.5153912,0.27296448,0.5251077,0.47603095,0.34027374,0.48859674,0.4548381,0.4930946,0.5432369,0.5486393,0.4244329,0.2313557,0.68634945,0.50379425,0.26375502,0.5175415,0.38668713,0.3422006,0.22247347,0.29006672,0.6426126,0.45231023,0.22415116,0.45475543,0.42420945,0.51560384,0.566386,0.5470773,0.6199544,0.52831846,0.3084575,0.52732307,0.5587554,0.48770902,0.49592382,0.52028435,0.40790856,0.6563289,0.37561867,0.42705446,0.45459723,0.33462766,0.51608586,0.24721538,0.46157518,0.30228633,0.38126767,0.4629004,0.3571761,0.6819839,0.312994,0.5119756,0.5015089,0.51944023,0.62564164,0.48844898,0.4403268,0.42399332,0.2440938,0.4365236,0.44135892,0.4214637,0.5090355,0.57342094,0.49882266,0.4297691,0.3801689,0.3370551,0.6461434,0.60215014,0.25501916,0.5570962,0.55576473,0.4843966,0.40400103,0.65315217,0.4458717,0.36278415,0.528589,0.5664082,0.45374504,0.61149126,0.43886918,0.40289393,0.5295567,0.62377363,0.29457402,0.2922775,0.5029112,0.42181623,0.4593152,0.36356387,0.22728583,0.4213176,0.3006913,0.3262286,0.5236228,0.48620975,0.6010403,0.4985686,0.35029882,0.32190296,0.3079488,0.5574108,0.27831727,0.4909056,0.25312033,0.3169203,0.5320137,0.3211559,0.31944704,0.42894763,0.48244938,0.48951003,0.45018864,0.35627878,0.35511106,0.23635182
DNMT1,0.44269276,0.40441442,0.29003844,0.5266942,0.43130526,0.46445,0.34532532,0.20234233,0.46178326,0.6930209,0.27894354,0.559516,0.34513518,0.510145,0.51261044,0.5263288,0.32772854,0.38311955,0.35112646,0.304389,0.3913921,0.6056335,0.34059954,0.40359285,0.593778,0.56294054,0.4839985,0.35050604,0.7322764,0.54134804,0.32103604,0.3411386,0.4758983,0.26061118,0.54512155,0.41029105,0.3482822,0.5286273,0.33977386,0.64826614,0.6794618,0.4241965,0.47686845,0.34401914,0.6135436,0.32029828,0.45428452,0.30548784,0.72701395,0.6918537,0.37891775,0.680126,0.47075757,0.61512905,0.35342348,0.42416263,0.40390402,0.2954587,0.44575775,0.37621382,0.3885785,0.50781006,0.5829947,0.55016756,0.4311265,0.29711193,0.60140145,0.53963286,0.6335444,0.2017009,0.655512,0.3063376,0.4440905,0.38534594,0.2950296,0.56107545,0.63491064,0.52874154,0.34609044,0.50259936,0.44627827,0.44595215,0.5766094,0.5073115,0.49171484,0.62616444,0.44615993,0.41960043,0.5440173,0.40266812,0.4256374,0.3351892,0.44317403,0.55897415,0.30552304,0.3690087,0.28300014,0.3675798,0.5716566,0.28938845,0.3299615,0.5384708,0.49153966,0.51745886,0.47700176,0.5523055,0.3912303,0.48740056,0.4174629,0.4636282,0.48040137,0.35966566,0.5331083,0.5460873,0.5187457,0.6527224,0.38657776,0.43054217,0.36093876,0.48819795,0.55308527,0.5125717,0.44443756,0.5044281,0.7009333,0.45569438,0.5223353,0.3670394
TSPAN9,0.2444241,0.355113,0.41268036,0.35472146,0.40987957,0.42893645,0.37439817,0.5129496,0.6024375,0.44059092,0.52004945,0.3121701,0.5202672,0.47384024,0.3738304,0.48969132,0.4625782,0.491431,0.5332451,0.5260355,0.4402134,0.28254914,0.6581029,0.49377215,0.30579126,0.5050673,0.40017694,0.3723301,0.2688753,0.32970196,0.60512084,0.4657521,0.2834749,0.4738231,0.44241604,0.5039368,0.5519581,0.5326078,0.58974755,0.5033653,0.3476713,0.5289026,0.55348873,0.47468367,0.49362814,0.53180456,0.4182863,0.62007344,0.39380303,0.42466348,0.4791949,0.3564184,0.5129592,0.29544652,0.47405365,0.36304548,0.4362946,0.48762348,0.3872434,0.64725137,0.36672527,0.50705093,0.49066764,0.5231631,0.59568715,0.5134208,0.44390914,0.4397083,0.29316744,0.4461925,0.45108405,0.4389157,0.5049835,0.5440645,0.5136036,0.44529283,0.40689266,0.36804518,0.6240643,0.5749528,0.29176217,0.537617,0.5327548,0.49327037,0.4236721,0.6102175,0.4520926,0.3875915,0.5241789,0.54116017,0.4736736,0.5998653,0.44952574,0.41273516,0.52974063,0.59884036,0.3324621,0.34756154,0.4963285,0.4453126,0.4614875,0.38019723,0.27594653,0.4359735,0.33401528,0.36857986,0.522537,0.48816842,0.58815265,0.50904596,0.37038007,0.36159754,0.33768612,0.5405412,0.32930955,0.49360955,0.3052407,0.3702861,0.53157175,0.35791793,0.35202673,0.433239,0.48813,0.49418974,0.43676928,0.37445852,0.38869503,0.2957836
