,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
HOPX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50703937,0.0,0.0,0.0,0.0,0.0,0.025640637,0.2039435,0.0,0.85901654,0.0,0.0,0.0,0.15046072,0.0,0.0,1.0541041,0.0,0.0,0.0,0.7712802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6104794,0.0,0.8298768,0.4930695,0.0,0.5317155,0.85961145,0.0,0.0,0.0,0.0,0.0,0.96151924,0.0,1.03761,0.0,0.78942436,0.0,0.0,0.0,0.0,0.3420254,0.9272769,0.0,0.0,0.0,1.0254453,0.0,0.0,0.0,0.0,0.0,0.0,1.7639443,0.0,0.0,0.0,0.0,0.0,0.5546302,0.0,0.0,0.0,0.557172,0.62501705,0.0,0.0,0.3324116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3909298,0.0,1.6207597,0.078961946,0.0,1.4820827,0.96831644,0.0,0.20781907,0.48105472,0.834256,0.0,0.50478625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9802851,0.0,2.75633,0.0,0.3938968,0.0,0.8187681,0.0632768,0.0,0.0,0.8929594,1.405355,0.97948074,0.0,0.0
NFXL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40017664,0.0,0.0,0.0,0.0,0.0,0.10334934,0.3973379,0.0,0.73103225,0.0,0.0,0.0,0.27698934,0.0,0.0,0.97726,0.0,0.0,0.0,0.78714716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113565505,0.0,0.7134327,0.2593495,0.0,0.41747147,0.5782156,0.0,0.0,0.0,0.0,0.17189491,0.98034406,0.062497247,1.1260893,0.0,0.48060334,0.026231423,0.0,0.0,0.0,0.2389435,0.72358406,0.0,0.0,0.0,0.79408896,0.0,0.0,0.0,0.0,0.0,0.0,1.4340144,0.0,0.0,0.0,0.0,0.052302457,0.9090178,0.0,0.036333036,0.0,0.4088943,0.27776366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8797372,0.0,1.115319,0.085359685,0.0,1.4903748,0.83939314,0.0,0.0,0.30650425,0.6560852,0.0,0.15683228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66459227,0.0,2.8682547,0.0,0.17299296,0.0,0.6240401,0.03320988,0.0,0.0,1.0573578,1.5571578,1.0583626,0.0,0.0
HDAC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5428068,0.0,0.0,0.0,0.0,0.0,0.05749429,0.36206222,0.0,1.0577283,0.0,0.0,0.0,0.24999301,0.0,0.0,1.2633774,0.0,0.0,0.0,0.8675219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5752243,0.0,0.9169136,0.59323275,0.0,0.6211766,0.9188133,0.0,0.0,0.0,0.0,0.0,1.1494979,0.0,1.2893171,0.0,0.84210414,0.0,0.0,0.0,0.0,0.4502469,1.0499701,0.0,0.0,0.0,1.1467302,0.0,0.0,0.0,0.0,0.0,0.0,2.0088062,0.0,0.0,0.0,0.0,0.0,0.786883,0.0,0.0,0.0,0.6611556,0.610534,0.0,0.0,0.30205962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.487554,0.0,1.7935014,0.19796914,0.0,1.7304556,1.1887146,0.0,0.070216335,0.5536531,0.94312555,0.0,0.50772244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0805559,0.0,3.3110921,0.0,0.44225457,0.0,0.9144173,0.14462703,0.0,0.0,1.0653763,1.7330651,1.1545051,0.0,0.0
CDC5L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44278538,0.0,0.0,0.0,0.0,0.0,0.009144507,0.29523534,0.0,0.84174323,0.0,0.0,0.0,0.23686005,0.0,0.0,0.9331276,0.0,0.0,0.0,0.578818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4614068,0.0,0.76779234,0.4992549,0.0,0.5028088,0.6311844,0.0,0.0,0.0,0.0,0.0,0.7645198,0.0,0.9873335,0.0,0.7122644,0.0,0.0,0.0,0.0,0.35630137,0.7810736,0.0,0.0,0.0,0.9291795,0.0,0.0,0.0,0.0,0.0,0.0,1.4632856,0.0,0.0,0.0,0.0,0.0,0.5662372,0.0,0.0,0.0,0.54373664,0.4290681,0.0,0.0,0.2699087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0903106,0.0,1.2954937,0.24292067,0.0,1.2631444,0.958121,0.0,0.09271059,0.44139862,0.7069725,0.0,0.4153933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80373794,0.0,2.422698,0.0,0.3864116,0.0,0.62659794,0.18796596,0.0,0.0,0.74237835,1.172003,0.78065324,0.0,0.0
SPP1,0.49939758,0.0,0.0,0.0,0.0,0.02186621,0.0,0.0,0.0,0.22978431,0.23519638,0.0,0.0,0.0,0.0,0.0,0.0,0.041389197,0.34469548,0.0,0.38887063,0.0,0.59735525,0.7408325,0.01262852,0.29263,0.4330749,0.0,0.0,0.0,0.5790766,0.4489637,0.0,0.26002195,0.0,0.0,0.0,0.0,0.34343255,0.0,0.0,0.0,0.0,0.0,0.0,0.84832025,0.23185924,0.0,0.4861955,0.0,0.34119108,0.08803643,0.26946533,0.0,0.8404341,0.0,0.0,0.0318664,0.0,0.0,0.0,0.0,0.56251395,0.0,0.7757273,0.0,0.0,0.0,0.0,0.0,0.0,0.13060418,0.0,0.44969776,0.384882,0.08180077,0.29092777,0.035276942,0.3360271,0.0,0.0,0.0,0.5205276,0.0,0.0,0.19122668,0.57975405,0.0,0.0,0.0,0.3647594,0.99861044,0.0720126,0.0,0.0,0.0,0.0,0.0,0.058404174,0.0,0.0,0.0,0.16093925,0.0,0.0,0.0,0.5265568,0.0,0.25550473,0.0,0.0,0.0,0.0,0.0,0.0,0.27205858,0.0,0.0,0.69208914,0.0,0.0,0.5256236,0.0,0.10296543,0.2197768,0.0,0.0,0.0
SPOCK1,0.30227056,0.0,0.0,0.0,0.0,0.035356015,0.0,0.0,0.0,0.40061596,0.25305268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23469798,0.0,0.16949391,0.0,0.3404659,0.41254795,0.0,0.13703898,0.4140458,0.0,0.0,0.0,0.34218344,0.42459923,0.0,0.20011777,0.0,0.0,0.0,0.0,0.27580944,0.0,0.0,0.0,0.0,0.0,0.0,0.5570951,0.2661214,0.0,0.33641085,0.0,0.14358494,0.0,0.25560686,0.0,0.4962394,0.0,0.0,0.006546259,0.0,0.0,0.0,0.0,0.43231204,0.0,0.566006,0.0,0.0,0.0,0.1453544,0.0,0.0,0.12691799,0.0,0.40529406,0.32591274,0.011191368,0.0,0.0,0.33564323,0.0,0.0,0.0,0.43997052,0.0,0.0,0.18654583,0.28281096,0.0,0.0,0.0,0.4177528,0.53695977,0.11318135,0.0,0.0,0.0,0.0,0.14433318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5248437,0.0,0.12567472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6606947,0.0,0.040253077,0.37210536,0.0,0.0,0.0,0.0,0.0,0.0
BACH2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31841087,0.0,0.0,0.0,0.0,0.0,0.0,0.08860022,0.0,0.4774129,0.0,0.0,0.0,0.06621145,0.0,0.0,0.6249351,0.0,0.0,0.0,0.3933439,0.0,0.0,0.0,0.025022887,0.0,0.0,0.0,0.0,0.37674314,0.0,0.54623127,0.30101383,0.0,0.28549865,0.46165437,0.0,0.0,0.0,0.0,0.0,0.48261166,0.0,0.57938486,0.0,0.51593757,0.0,0.0,0.0,0.0,0.2101414,0.564951,0.0,0.0,0.0,0.6655116,0.0,0.0,0.0,0.0,0.0,0.0,0.9581986,0.0,0.0,0.0,0.0,0.0,0.30623743,0.0,0.0,0.0,0.3462059,0.35117346,0.0,0.0,0.24039467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7573114,0.0,0.8614778,0.10488204,0.0,0.8288448,0.57591695,0.0,0.15375471,0.277159,0.45936278,0.0,0.31383374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57493883,0.0,1.515499,0.0,0.22142749,0.0,0.45708916,0.05870946,0.0,0.0,0.45099568,0.7237774,0.5015895,0.0,0.0
TMED2,0.8006201,0.0,0.0,0.0,0.0,0.19494936,0.0,0.0,0.0,0.7264916,0.47329548,0.0,0.0,0.0,0.0,0.0,0.0,0.0920129,0.7215146,0.0,0.768228,0.0,0.59123975,1.0979755,0.021698933,0.44800332,0.6245774,0.0,0.0,0.0,0.94167435,0.57841533,0.0,0.2964371,0.0,0.0,0.0,0.0,0.6765729,0.0,0.0,0.0,0.0,0.0,0.0,1.1168802,0.4681907,0.11482729,0.8396082,0.13027449,0.42794755,0.0,0.6469424,0.0,1.3655831,0.0,0.0,0.06469626,0.0,0.0,0.0,0.0,1.0119022,0.0,1.2296368,0.0,0.0,0.0,0.0,0.0,0.08318255,0.45924014,0.0,0.5859448,0.58112246,0.28793165,0.39040038,0.0,0.7451739,0.0,0.0,0.0,0.52465963,0.0,0.0,0.3769679,0.71853787,0.0,0.0,0.0,0.47962892,1.4395015,0.055373285,0.0,0.0,0.0,0.0,0.27507713,0.05753663,0.0,0.0,0.0,0.20186555,0.0,0.0,0.0,1.0362025,0.0,0.40298375,0.0,0.0,0.0,0.0,0.0,0.0,0.5824869,0.0,0.0,1.0910352,0.0,0.14842294,0.53728473,0.0,0.20094626,0.22088222,0.0,0.0,0.0
DNMT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.528045,0.0,0.0,0.0,0.0,0.0,0.06438722,0.45700902,0.0,1.1064972,0.0,0.0,0.0,0.31821913,0.0,0.0,1.3395959,0.0,0.0,0.0,0.93590516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48553222,0.0,0.9762423,0.5756034,0.0,0.6448656,0.892634,0.0,0.0,0.0,0.0,0.0,1.2613857,0.0,1.4484515,0.0,0.7731746,0.0,0.0,0.0,0.0,0.44326693,1.07522,0.0,0.0,0.0,1.1607096,0.0,0.0,0.0,0.0,0.0,0.0,2.098249,0.0,0.0,0.0,0.0,0.0011600032,0.9656091,0.0,0.0,0.0,0.6770775,0.52856785,0.0,0.0,0.23444301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.434623,0.0,1.7547535,0.22137451,0.0,1.9115266,1.2101089,0.0,0.0,0.54080915,0.9524499,0.0,0.4477593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0601288,0.0,3.6100457,0.0,0.3790827,0.0,0.9648254,0.18500465,0.0,0.0,1.2269056,1.8945637,1.2650433,0.0,0.0
TSPAN9,0.5309253,0.0,0.0,0.0,0.0,0.07318288,0.0,0.0,0.0,0.6209762,0.4150752,0.0,0.0,0.0,0.0,0.0,0.0,0.043175217,0.46120048,0.0,0.41131717,0.0,0.51123834,0.7097136,0.0,0.21960223,0.55866224,0.0,0.0,0.0,0.64305013,0.5948197,0.0,0.31002903,0.0,0.0,0.0,0.0,0.44835892,0.0,0.0,0.0,0.0,0.0,0.0,0.8652243,0.38693675,0.0,0.5168543,0.0,0.29248327,0.0,0.45869198,0.0,0.9013442,0.0,0.0,0.030449234,0.0,0.0,0.0,0.0,0.7457509,0.0,0.8794484,0.0,0.0,0.0,0.03796231,0.0,0.0,0.28874987,0.0,0.53320324,0.45841682,0.15545896,0.065690756,0.0,0.5675553,0.0,0.0,0.0,0.5881408,0.0,0.0,0.29002097,0.50932944,0.0,0.0,0.0,0.5296402,0.9751651,0.15755136,0.0,0.0,0.0,0.0,0.2359927,0.0,0.0,0.0,0.0,0.044833295,0.0,0.0,0.0,0.85329676,0.0,0.26334047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91274273,0.0,0.100544795,0.49851763,0.0,0.016405277,0.0,0.0,0.0,0.0
