,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
HOPX,-0.11799415,-0.03542895,0.23653737,0.15474465,-0.16555583,0.21418422,0.21394002,0.2527138,-0.15369897,-0.19612189,-0.12266589,-0.1849975,-0.10948645,-0.21098645,0.1406306,-0.12889457,0.20384002,-0.15030323,0.16724469,-0.22617549,0.21455047,0.28823552,-0.16414715,0.14290056,-0.2562098,0.15653892,0.020685866,0.20313689,-0.20239195,0.08242972,0.14413679,-0.17859277,-0.2251888,-0.18683341,0.1595433,0.1481735,-0.25593325,-0.21500582,0.08340499,0.22187425,-0.13537455,0.114829645,0.24127673,0.30778146,0.19680353,0.08695006,0.23305523,0.2391398,0.17794976,0.19514315,0.16234525,0.25506735,-0.2693952,0.24377215,0.20203878,0.13782984,0.21264324,-0.19860058,-0.21414265,-0.07975319,-0.19872813,0.197299,-0.24696729,0.2714938
NFXL1,-0.09811029,-0.03690888,0.16883096,0.12581278,-0.14024724,0.1705829,0.19337507,0.22475012,-0.14333436,-0.13506402,-0.07717358,-0.16733025,-0.09882999,-0.20817159,0.11026624,-0.113577224,0.13627179,-0.0903225,0.14263994,-0.16944435,0.17031114,0.23266143,-0.099267215,0.13606471,-0.21748829,0.11411323,-0.0043674856,0.14189087,-0.16712338,0.05256512,0.099114746,-0.13893272,-0.1620875,-0.10860316,0.14439023,0.109587416,-0.19976586,-0.15092891,0.09729971,0.1618007,-0.12098291,0.06708863,0.19569735,0.23973861,0.15740663,0.087561965,0.1992017,0.22335911,0.13822956,0.15609092,0.13456962,0.17232348,-0.21772465,0.19191454,0.15892753,0.0829351,0.16497271,-0.1698025,-0.14954512,-0.06524279,-0.12927766,0.15257332,-0.21068218,0.22252315
HDAC3,-0.13760403,-0.04600337,0.26359326,0.17979313,-0.19488104,0.23982011,0.2465108,0.29924673,-0.17245112,-0.22771417,-0.16134381,-0.21742563,-0.12744349,-0.23313035,0.15091133,-0.15436223,0.23948741,-0.17583202,0.18025646,-0.2627852,0.23477249,0.33218756,-0.19436042,0.1637895,-0.293889,0.1713143,0.023348294,0.24082267,-0.22945479,0.10704587,0.16380715,-0.21217142,-0.2537129,-0.2241044,0.17389238,0.17208494,-0.29052293,-0.24049076,0.106463045,0.25328976,-0.17014283,0.131548,0.27378714,0.34535107,0.23432176,0.10689994,0.2783781,0.27479598,0.19896862,0.2248611,0.1886526,0.27867052,-0.3087177,0.28380862,0.22224033,0.15125504,0.23472479,-0.21417168,-0.24648134,-0.095372126,-0.21499635,0.22015762,-0.27848268,0.30081052
CDC5L,-0.116695814,-0.03343869,0.19266514,0.13072671,-0.15028395,0.18594912,0.18824849,0.22721565,-0.13051733,-0.1587158,-0.1046145,-0.16533601,-0.09986255,-0.19785593,0.13794045,-0.11520324,0.17104243,-0.124367625,0.14998564,-0.19615492,0.18682346,0.266924,-0.13220516,0.13613334,-0.20805717,0.13936034,0.020507202,0.16851452,-0.171548,0.071520746,0.13067327,-0.15440188,-0.17618656,-0.15184566,0.1459364,0.119858205,-0.22399211,-0.18603465,0.06522969,0.19178443,-0.112738855,0.094438374,0.2183091,0.26403144,0.16639301,0.07154149,0.2098375,0.21902409,0.14647862,0.18333471,0.16547641,0.2104395,-0.2304241,0.21425748,0.16100955,0.11114999,0.1872653,-0.17200041,-0.17021886,-0.060803622,-0.1709012,0.16357523,-0.21527015,0.25808272
SPP1,0.10724542,0.016589176,-0.24283998,-0.15808438,0.0800038,-0.102453485,-0.16641252,-0.19699329,0.20727596,0.16537733,0.24899444,0.14094022,0.101503946,0.037227694,-0.068183765,0.20214123,-0.16260488,0.11243112,-0.11098791,0.12969439,-0.09369196,-0.15088344,0.18975703,-0.09274633,0.117024995,-0.06672527,0.076640934,-0.11842403,0.16801105,-0.15130009,-0.08156037,0.14695825,0.28156283,0.23423797,-0.0657768,-0.13667594,0.18143964,0.145799,-0.10064253,-0.25486678,0.17423216,-0.07037793,-0.22560576,-0.22402209,-0.14683811,-0.049588747,-0.21851358,-0.15856132,-0.2009283,-0.2205049,-0.10076548,-0.15582724,0.1573169,-0.18004225,-0.12937322,-0.24441764,-0.049820717,0.13235158,0.1569569,-0.0027841758,0.16879165,-0.20180506,0.10979159,-0.17442772
SPOCK1,0.07363494,0.021047097,-0.20363578,-0.1262642,0.08465243,-0.08610001,-0.16520129,-0.15103143,0.16726135,0.16181359,0.22153339,0.13947946,0.09231948,0.02915183,-0.026193943,0.21070436,-0.16309986,0.102055125,-0.09645348,0.10407201,-0.088533625,-0.13946635,0.17218827,-0.08517503,0.13038479,-0.047500208,0.0410532,-0.0943031,0.1213222,-0.1401796,-0.09214239,0.13123335,0.2683985,0.21370462,-0.049411714,-0.117727146,0.16394031,0.12940246,-0.10287772,-0.23706049,0.17528336,-0.07078115,-0.19165924,-0.21018058,-0.1660633,-0.058584988,-0.1933462,-0.1395508,-0.16258454,-0.17124818,-0.06912649,-0.13574488,0.14302644,-0.16782276,-0.14525835,-0.18647355,-0.024901677,0.111763865,0.13002086,0.025403796,0.14507063,-0.18081287,0.12027426,-0.13709939
BACH2,-0.08568396,-0.01266597,0.12896875,0.07966105,-0.09523734,0.1358985,0.1289191,0.14896856,-0.09275893,-0.08898203,-0.036297485,-0.11011297,-0.062731184,-0.15522231,0.11543788,-0.055556007,0.09974849,-0.06677154,0.12116845,-0.12160421,0.13203108,0.18499818,-0.065670386,0.0962943,-0.12693027,0.107902676,0.008883797,0.097917184,-0.115914285,0.031591803,0.08997004,-0.09379056,-0.10541621,-0.080837674,0.1161874,0.06922231,-0.15430164,-0.12774184,0.024752587,0.12531336,-0.049633488,0.053185366,0.15384993,0.18565863,0.09314746,0.037518516,0.13323191,0.15422146,0.10146115,0.133393,0.12603949,0.15072574,-0.15368912,0.13836701,0.10929477,0.0765518,0.1432327,-0.1353184,-0.10166103,-0.022509003,-0.12551634,0.10759704,-0.15234277,0.19889212
TMED2,0.1472069,0.0019264985,-0.33990094,-0.21594432,0.1258067,-0.15164828,-0.24819471,-0.29730636,0.29117778,0.20094602,0.31781265,0.1954459,0.13271013,0.0827485,-0.115185335,0.22875014,-0.23632424,0.15000762,-0.18240047,0.14995107,-0.12287727,-0.23247412,0.23045717,-0.1291651,0.12953147,-0.11230521,0.08755469,-0.1633018,0.252094,-0.16614564,-0.13179359,0.22298612,0.3417546,0.3164171,-0.12493817,-0.18597256,0.28187764,0.21307781,-0.09955967,-0.348782,0.22930154,-0.060300395,-0.31339964,-0.29362282,-0.18045823,-0.08442617,-0.30065835,-0.23880053,-0.2968957,-0.31269234,-0.14409666,-0.24474947,0.2479634,-0.269243,-0.1616246,-0.33283255,-0.1074588,0.21002719,0.18037383,-0.0052677337,0.2603648,-0.24908388,0.15324031,-0.2748547
DNMT1,-0.1394018,-0.050888218,0.26471308,0.18412161,-0.20209335,0.24276318,0.25471884,0.31422853,-0.18111354,-0.22840963,-0.167593,-0.23206347,-0.13349807,-0.24298793,0.15186504,-0.16406134,0.2421129,-0.1713139,0.18480219,-0.26630706,0.23777418,0.3393319,-0.194855,0.17567231,-0.30828705,0.1677931,0.017796285,0.24184063,-0.23573585,0.11321957,0.1639642,-0.21966855,-0.2550266,-0.2246257,0.17536667,0.17665626,-0.29473335,-0.24080169,0.11897376,0.25672984,-0.18561155,0.12801939,0.28127384,0.34450534,0.24239464,0.11516002,0.29184934,0.28622773,0.20044288,0.22766003,0.19416454,0.27082545,-0.31660992,0.28926194,0.22296205,0.15147004,0.23361576,-0.21715152,-0.24690248,-0.09907205,-0.20788221,0.22392714,-0.2852912,0.30430305
TSPAN9,0.11279737,0.01752292,-0.28800893,-0.18168813,0.12315403,-0.13186486,-0.23424609,-0.23947269,0.24524659,0.1998254,0.27783525,0.18795492,0.11764482,0.06742777,-0.06706107,0.24425009,-0.21295299,0.13138473,-0.15440434,0.13123754,-0.117647894,-0.20909092,0.20575593,-0.12195364,0.15078402,-0.09096071,0.05873096,-0.130925,0.1965407,-0.1573335,-0.11544218,0.19563362,0.3438008,0.28021127,-0.10043768,-0.15548718,0.24116999,0.18166934,-0.12242127,-0.30781114,0.22150537,-0.07450051,-0.2720748,-0.28378645,-0.19530731,-0.08628123,-0.27820635,-0.21193945,-0.25186038,-0.25517505,-0.11520742,-0.20336856,0.22034648,-0.23543598,-0.17778118,-0.26838687,-0.08192104,0.1747579,0.17200719,0.02820264,0.21043728,-0.23236023,0.15997945,-0.22744742
