TF_gene,Target_gene
RBM14,TCF4
FLI1,TCF4
MCM3,TCF4
SOX7,TCF4
PHF17,TCF4
PRIC285,TCF4
CALCOCO1,TCF4
MAFG,TCF4
DNMT3B,TCF4
JUND,TCF4
TFAP2A,TGFBR3
MEIS2,TGFBR3
GATA3,TGFBR3
GATA2,TGFBR3
GATA2,B4GALT4
GATA3,B4GALT4
ETV1,MAFF
MAFF,MAFF
TBX3,MAFF
SETBP1,MAFF
GATA2,MAFF
MEIS1,MAFF
TEAD1,MAFF
STAT2,MAFF
HOXB3,MAFF
CDCA7L,MAFF
MXI1,GYPB
NONO,U2AF1
SNAPC4,U2AF1
HDGF,U2AF1
MITF,U2AF1
MLL3,U2AF1
RBM14,U2AF1
GCM1,U2AF1
NPM1,U2AF1
APBB2,U2AF1
DNMT3A,U2AF1
MXI1,SLC6A15
STAT2,FASTKD3
TFAP2A,FASTKD3
EGR1,FASTKD3
CUX1,FASTKD3
TP53,MEF2D
TBX20,MEF2D
ZNF160,MEF2D
POLR2G,MEF2D
SMAD2,MEF2D
TLE1,MEF2D
ASH2L,MEF2D
SFPQ,MEF2D
MAPK10,MEF2D
PRDM1,MEF2D
SMARCD3,LMO2
HLX,LMO2
POU3F1,LMO2
ARID3A,LMO2
SFPQ,LMO2
WDR5,LMO2
RXRG,LMO2
SMARCD1,LMO2
CCND1,LMO2
BCL11A,LMO2
SHOX2,CTBP1
TFAP2A,CTBP1
E2F4,CTBP1
NRIP1,CTBP1
SRSF2,CTBP1
SERTAD2,CTBP1
PA2G4,CTBP1
SIRT1,CTBP1
POU2AF1,CTBP1
POLR2F,CTBP1
EGR1,DYNC2LI1
ATF6,DYNC2LI1
TFAP2A,SH3RF1
GATA2,SH3RF1
GATA3,SH3RF1
ARID3A,HNRNPAB
TFDP1,HNRNPAB
ZNF24,HNRNPAB
EZH2,HNRNPAB
HOXB3,HNRNPAB
ATRX,HNRNPAB
IFI16,HNRNPAB
CBFA2T2,HNRNPAB
ZNF585B,HNRNPAB
HELZ,HNRNPAB
ZNF107,SOX3
TFDP1,SOX3
OTX2,SOX3
KLF5,SOX3
SMG6,SOX3
MAFF,SOX3
MYBBP1A,SOX3
ZEB2,SOX3
ELK3,SOX3
ZNF219,SOX3
PHF17,DAXX
BCLAF1,DAXX
SIRT1,DAXX
PATZ1,DAXX
RUVBL2,DAXX
HELZ,DAXX
SRSF2,DAXX
SRC,DAXX
TFDP1,DAXX
SALL3,DAXX
MXI1,FARSB
RAI14,CTNNB1
YAF2,CTNNB1
RBPJ,CTNNB1
ESRRG,CTNNB1
JUND,CTNNB1
SCD5,CTNNB1
OTX2,CTNNB1
KHDRBS2,CTNNB1
PDGFA,CTNNB1
EGR1,CTNNB1
TFAP2A,SATB1
DAB2,SATB1
TRIM28,SATB1
MLLT6,SATB1
MYCN,SATB1
FLI1,SATB1
NR2C1,SATB1
POLR3E,SATB1
SOX2,SATB1
SOX3,SATB1
MEIS1,UTP15
TP53,UTP15
PATZ1,RMI1
POU2F1,RMI1
FUBP1,POLR2G
SERTAD2,POLR2G
MXD4,POLR2G
PSMD9,POLR2G
KHDRBS2,POLR2G
HIF3A,POLR2G
TLE2,POLR2G
TLR4,POLR2G
SNRPD1,POLR2G
ZHX3,POLR2G
MXI1,AMN1
TFAP2A,AMN1
PRDM14,BCAR3
RUNX1,BCAR3
MIF,BCAR3
GATA2,BCAR3
PATZ1,BCAR3
GATA3,BCAR3
EGR1,BCAR3
MITF,BCAR3
ETS1,BCAR3
FOXN3,AIP
SATB2,AIP
MXI1,AIP
KAT7,AIP
POLR1A,AIP
LEF1,AIP
SOS2,AIP
MLL3,AIP
WWTR1,AIP
NPM1,AIP
SOX7,ANKZF1
MKI67IP,ANKZF1
LHX1,ANKZF1
ARID5B,ANKZF1
ALS2CR8,ANKZF1
MECOM,ANKZF1
NKX3-1,ANKZF1
POLR2H,ANKZF1
BMP4,ANKZF1
POU5F1,ANKZF1
SATB2,NANOG
TGFB1I1,NANOG
KLF8,NANOG
NFIC,NANOG
SATB1,NANOG
NKX3-1,NANOG
POU3F1,NANOG
BMP4,NANOG
CRABP2,NANOG
EZH2,NANOG
LIMD1,ASXL1
PARP1,ASXL1
HOXB3,ASXL1
CENPK,ASXL1
EGF,ASXL1
POLR2I,ASXL1
MITF,ASXL1
ZNF24,ASXL1
PRIC285,ASXL1
POLR1A,ASXL1
ZBTB2,SETBP1
TCOF1,SETBP1
ILF3,SETBP1
NFYB,SETBP1
CREB3L2,SETBP1
FOXN3,SETBP1
POLR2H,SETBP1
PGR,SETBP1
NFATC1,SETBP1
CITED2,SETBP1
ZEB1,ACTC1
CUX1,ACTC1
TFAP2A,ACTC1
IRF1,ACTC1
NFKBIB,GATA3
POLR2I,GATA3
TCF4,GATA3
POLR2K,GATA3
HNRNPK,GATA3
ZNF238,GATA3
LMX1B,GATA3
UHRF1,GATA3
LMO3,GATA3
E2F4,GATA3
EGR1,HOPX
SERTAD2,HOPX
ZRANB2,HOPX
CEBPZ,HOPX
ETV3,HOPX
ZNF585B,HOPX
ASB4,HOPX
HDAC9,HOPX
BMPR1A,HOPX
WDR5,HOPX
FOXJ2,PCDH10
JUND,PCDH10
MEIS1,PCDH10
TFAP2A,TBC1D4
NFAT5,TBC1D4
STAT3,PRICKLE1
STAT2,PRICKLE1
EGR1,PRICKLE1
PBX1,PRICKLE1
LMO2,GYPA
ZEB1,JPH1
EHMT2,BTG2
MKI67IP,BTG2
DNMT1,BTG2
PHF17,BTG2
KLF5,BTG2
SOX7,BTG2
HDAC9,BTG2
FOXH1,BTG2
H1F0,BTG2
FUS,BTG2
MXI1,POLR3G
MIF,POLR3G
EGR1,POLR3G
SNRPD1,TRIP6
ESPL1,TRIP6
ASH2L,TRIP6
PDGFA,TRIP6
POLR2I,TRIP6
GATAD2A,TRIP6
NCOA6,TRIP6
ZKSCAN1,TRIP6
GATA3,TRIP6
ZNF8,TRIP6
DNMT1,SNAI1
TLE2,SNAI1
TFAP4,SNAI1
ETV1,SNAI1
SIX6,SNAI1
TCF19,SNAI1
SOX4,SNAI1
ASB9,SNAI1
KLF7,SNAI1
IRF1,SNAI1
MIF,TIMP3
EGR1,TIMP3
TP53,TIMP3
STAT3,TIMP3
DNMT1,TIMP3
PLAGL2,ZIC2
LMO2,ZIC2
CXXC1,ZIC2
PGR,ZIC2
NKX3-1,ZIC2
HOXB3,ZIC2
ASB4,ZIC2
CBFA2T2,ZIC2
ALS2CR8,ZIC2
SRC,ZIC2
ID3,MCM5
FUBP1,MCM5
RAI14,MCM5
SRSF10,MCM5
ZBTB38,MCM5
ARID3A,MCM5
DAB2,MCM5
ELK3,MCM5
MCM6,MCM5
HNRNPAB,MCM5
SMARCC1,ATF6
MCM6,ATF6
PDGFA,ATF6
TRPS1,ATF6
FOXN3,ATF6
BCL11B,ATF6
HNRNPD,ATF6
RBBP4,ATF6
MED16,ATF6
RUNX1,ATF6
TRIM25,FOXN3
YAF2,FOXN3
SHOX,FOXN3
GRHL1,FOXN3
RUNX1,FOXN3
CCND1,FOXN3
SFMBT1,FOXN3
CALCOCO1,FOXN3
SHOX2,FOXN3
SOS2,FOXN3
SATB1,CRX
EZH2,CRX
PARP1,CRX
PA2G4,CRX
PRDM1,CRX
TLR4,CRX
ESRRG,CRX
PARN,CRX
ZBTB2,CRX
DNMT3B,CRX
DACH1,MITF
