,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
SLC39A11,0.45313826,0.5383821,0.5004612,0.5475891,0.5063,0.45002025,0.48833802,0.4473398,0.52463514,0.4844802,0.49745113,0.43687382,0.41099545,0.5220958,0.49198315,0.5173788,0.5355151,0.51754487,0.47513822,0.5020874,0.48798668,0.4808534,0.49827883,0.4883652,0.4362108,0.48213094,0.48233533,0.5167177,0.4512493,0.5056056,0.48769787,0.48127446,0.54684204,0.46483523,0.4553709,0.5131788,0.37020826,0.48245606,0.48825532,0.4530165,0.47120214,0.34385154,0.46348432,0.4414897,0.46842366,0.48175207,0.38563064,0.5028373,0.49977276,0.4878371,0.49195257,0.48446667,0.49983507,0.4948815,0.49329758,0.44325945,0.52588767,0.49322483,0.4870701,0.5174505,0.5269288,0.46355438,0.492177,0.49873197,0.53545856,0.4858005,0.52852064,0.53294843,0.5148384,0.5131462,0.50493646,0.4547572,0.42714357,0.47701716,0.52686894,0.54534894,0.465679,0.4308777,0.45219794,0.4982572,0.44220468,0.50914675,0.46508032,0.48064837,0.52374506,0.46947977,0.47844458,0.45450145,0.49270886,0.5418033,0.40473363,0.43955615,0.5465855,0.4402925,0.503317,0.5042804,0.51164764,0.45092997,0.49694085,0.48041108,0.48866996,0.5009509,0.5160498,0.52239096,0.47767732,0.47806093,0.45694107,0.469089,0.50989544,0.49262676,0.43624094,0.5081817,0.45423076,0.50072426,0.4550408,0.49956813,0.48483223,0.5091193,0.5096327,0.4715012,0.50439113,0.4651443,0.46028462,0.50616366,0.45752224,0.5447871,0.49022552,0.48458517
C4orf46,0.45241982,0.5602229,0.5248826,0.55093646,0.50018775,0.42727065,0.47557703,0.43480664,0.54998034,0.4996118,0.49138376,0.40610653,0.3884957,0.5240463,0.48653445,0.4768126,0.5324152,0.52382416,0.47085905,0.47036183,0.51063484,0.48720556,0.4934974,0.45641807,0.40584043,0.4917674,0.48821023,0.53724647,0.41899213,0.52105904,0.4788092,0.47282988,0.54658186,0.48323327,0.46346182,0.5347126,0.33530554,0.46296182,0.48686162,0.43017668,0.44941512,0.32085973,0.4664344,0.44869435,0.43610466,0.47956997,0.35909334,0.48623952,0.49975777,0.47221115,0.48238719,0.4657477,0.52784055,0.50806266,0.48928988,0.41859636,0.51303333,0.48705718,0.48251855,0.49495545,0.55580705,0.43531603,0.51338595,0.5101985,0.55759734,0.4733473,0.54234594,0.4952603,0.5585878,0.49460968,0.50181425,0.44648126,0.39132664,0.48845762,0.5256124,0.54661304,0.49364695,0.40363395,0.42350313,0.52014107,0.41261417,0.52678424,0.45477813,0.48033533,0.5062906,0.4960548,0.4725365,0.42931944,0.49932542,0.5450423,0.38577068,0.42300674,0.5749947,0.41597763,0.5059702,0.48588622,0.51871693,0.44646016,0.51073617,0.47951558,0.52510494,0.4828724,0.51776004,0.5157783,0.45307052,0.4799385,0.4793141,0.4599998,0.49517927,0.49451873,0.4478606,0.5301507,0.41887015,0.50166947,0.44909444,0.5064096,0.50617117,0.4943561,0.5251277,0.44146934,0.5009916,0.4583199,0.43250075,0.51887554,0.43070126,0.5720515,0.48821843,0.51083136
ZNF83,0.42513332,0.6002818,0.53141624,0.65309536,0.49590886,0.47918385,0.38562292,0.4313007,0.6119781,0.42858636,0.5518138,0.4684695,0.33611035,0.4979682,0.49163824,0.6810949,0.61935365,0.5387477,0.52667177,0.5770214,0.47638413,0.5260004,0.45641264,0.5924036,0.3753438,0.456446,0.42474997,0.5774655,0.5757663,0.49125147,0.46116084,0.5556104,0.5196779,0.33477053,0.42667127,0.55327404,0.3115052,0.5238642,0.4744827,0.5821501,0.44841668,0.31602466,0.46805394,0.34306788,0.4124752,0.5651237,0.36900637,0.52725947,0.4703169,0.6267426,0.48336092,0.55145776,0.4414709,0.45134774,0.5141802,0.46513107,0.630755,0.5087423,0.48179755,0.51163363,0.5428147,0.5225308,0.4603791,0.45877308,0.5660837,0.48179734,0.5580703,0.7114018,0.46811366,0.53504854,0.50823,0.45706683,0.42185947,0.55778825,0.4975014,0.55297554,0.43195036,0.33999565,0.5106571,0.4344045,0.5540185,0.47271428,0.44656807,0.55737156,0.52683794,0.40461603,0.43660623,0.48640835,0.56355107,0.57732093,0.42280868,0.33279723,0.54869175,0.4048045,0.5087465,0.49268672,0.48788077,0.44233745,0.44134387,0.52299124,0.3592626,0.63921636,0.5382581,0.59610265,0.48730475,0.49092647,0.3723456,0.58675236,0.5201973,0.45308608,0.25358948,0.5031065,0.5068595,0.44921738,0.37311378,0.48400852,0.4502122,0.47121927,0.4805378,0.4476497,0.43934834,0.4223498,0.542116,0.49924144,0.4170016,0.46084365,0.47486717,0.42367524
FAM46A,0.44885796,0.5312874,0.49600664,0.554418,0.5084607,0.4634036,0.4885717,0.45015442,0.51827836,0.4787234,0.4982832,0.44374722,0.41077885,0.52199763,0.49529827,0.5325709,0.5400724,0.509074,0.47978976,0.5159542,0.4767371,0.47779623,0.497579,0.5007141,0.44415575,0.47236663,0.4795995,0.5166099,0.46048513,0.49744973,0.49184263,0.47843722,0.5426689,0.45826748,0.4518721,0.50382483,0.37708768,0.48688677,0.48823854,0.47254935,0.47803783,0.3561354,0.46459198,0.43896157,0.4744339,0.48402944,0.39057496,0.5073231,0.50421894,0.50099784,0.49292195,0.49741203,0.4886771,0.49541387,0.495786,0.44923094,0.5414003,0.49484125,0.49552986,0.52569574,0.5214448,0.4669752,0.48292956,0.49123415,0.54232216,0.4854547,0.53045106,0.55019957,0.4988651,0.52629036,0.5009708,0.453104,0.43808964,0.47588018,0.53392774,0.54327005,0.456552,0.43642506,0.46152312,0.49179476,0.45299247,0.50332373,0.45941427,0.48025882,0.52841616,0.4547442,0.4781305,0.46063778,0.4961365,0.5400134,0.41138768,0.44311684,0.534934,0.44573405,0.5010667,0.5178898,0.51016235,0.454119,0.49497414,0.4858579,0.47015968,0.5169325,0.5102529,0.5227728,0.48275146,0.4786224,0.44663218,0.4774624,0.5153767,0.48720744,0.43227515,0.5004662,0.46794903,0.4945267,0.45720336,0.49414328,0.48211074,0.5146544,0.5024731,0.4767632,0.49642986,0.46868593,0.47033662,0.50457454,0.45871353,0.53371376,0.49743274,0.4753836
NKX3-1,0.43364924,0.5934174,0.5239302,0.62914866,0.5028782,0.4648008,0.41198397,0.44073927,0.5960756,0.434513,0.5278035,0.45681733,0.34666732,0.5028136,0.48273146,0.6551353,0.6043735,0.53264093,0.5055561,0.55533725,0.4813668,0.5193779,0.48225036,0.5690349,0.3927148,0.45296338,0.4214345,0.55119014,0.54531777,0.49277145,0.46465817,0.53728175,0.5255343,0.36141506,0.4259435,0.5523112,0.32422996,0.5243926,0.47300622,0.5623587,0.45414123,0.32585275,0.46993345,0.36170614,0.4351185,0.543796,0.37621084,0.5229911,0.47325087,0.60287595,0.4885562,0.53956014,0.45117968,0.45713806,0.50466216,0.47479597,0.61634815,0.5020503,0.4773789,0.52657557,0.5369813,0.51013756,0.46041456,0.46524957,0.55963886,0.48864666,0.55353206,0.6931898,0.45559528,0.5346269,0.50972825,0.45890906,0.42451876,0.5371698,0.50091463,0.54662615,0.42826614,0.35735622,0.5083151,0.4528823,0.53720903,0.47587886,0.4598549,0.5365186,0.53051263,0.4155396,0.4450207,0.48171946,0.54065406,0.5769993,0.43078887,0.35137266,0.5278946,0.428233,0.5127375,0.4963926,0.48020825,0.44522163,0.44984072,0.52225274,0.36892727,0.59839237,0.54031545,0.5845047,0.4899987,0.4956024,0.3923355,0.56150514,0.5251007,0.4602878,0.2832841,0.49505758,0.48564363,0.45582125,0.39347005,0.48391777,0.4550391,0.47704124,0.4792315,0.4582237,0.45533642,0.431816,0.5338308,0.49702075,0.43292108,0.46832013,0.4682211,0.4272498
ERCC-00022,0.43374,0.53181195,0.5055977,0.56425184,0.5060065,0.46520627,0.47713372,0.44048497,0.5356236,0.4695365,0.48767987,0.4368435,0.41003457,0.52004725,0.4903868,0.5450131,0.54907906,0.5109134,0.48616117,0.52305496,0.48595402,0.48962379,0.49233034,0.5128928,0.43672815,0.47340074,0.4845254,0.5296243,0.46812892,0.50266635,0.49291286,0.48707464,0.538464,0.44368407,0.44706902,0.5065881,0.3518178,0.47689825,0.47900984,0.48036933,0.46817866,0.35240418,0.45691428,0.42951092,0.46280932,0.48927385,0.37309322,0.514451,0.5049987,0.52536553,0.49881798,0.5022764,0.476931,0.49553776,0.4928671,0.44756734,0.5582407,0.48894247,0.49851975,0.5229373,0.5294385,0.45058593,0.47806203,0.49273375,0.5665469,0.47869435,0.5431618,0.5652609,0.5058163,0.53374803,0.50034016,0.44227856,0.4327746,0.47913492,0.54568654,0.54449505,0.45756567,0.41685465,0.45990792,0.4848865,0.451188,0.49871892,0.4427299,0.4943611,0.52515054,0.44308737,0.47596464,0.45441154,0.5069674,0.5448748,0.397227,0.43771958,0.5416905,0.42451265,0.4987277,0.5184005,0.5041103,0.44918746,0.4961156,0.4877657,0.46439642,0.53458995,0.508346,0.53993773,0.48245034,0.47903222,0.423556,0.48465627,0.5202665,0.4906002,0.40953848,0.4991679,0.45998487,0.49136886,0.4478034,0.4830567,0.4757422,0.5078026,0.49869817,0.46819255,0.47624305,0.45508707,0.46936858,0.51139784,0.44643727,0.53543466,0.5069587,0.46393472
PIP4K2A,0.44087657,0.5475039,0.5221911,0.55824125,0.50335675,0.43767342,0.47170505,0.43207562,0.5487298,0.4922616,0.48136768,0.41433638,0.39842415,0.52580416,0.48282942,0.49621114,0.5430759,0.5198617,0.477255,0.4873992,0.5022495,0.4915675,0.4886795,0.47519532,0.41498277,0.4870982,0.49021533,0.54448384,0.43377078,0.51690227,0.4820685,0.48332873,0.5425845,0.4651219,0.45559973,0.5282668,0.333044,0.46254966,0.48586157,0.4492058,0.45181468,0.33240354,0.4630418,0.4373342,0.44328105,0.48183253,0.35779133,0.49153775,0.50370896,0.49724603,0.48740804,0.47870257,0.508552,0.50462174,0.49333864,0.42540598,0.5284062,0.48594517,0.48677516,0.5001512,0.54866105,0.4347311,0.500218,0.5050556,0.57042533,0.4669176,0.5445625,0.5156204,0.54571706,0.511949,0.49824893,0.4370581,0.40755296,0.48634675,0.5368865,0.5475198,0.48080662,0.39526612,0.43056127,0.5038032,0.42173946,0.51788646,0.44925624,0.48991427,0.5142557,0.47970438,0.47292155,0.4385912,0.5045858,0.54706186,0.38734004,0.4299986,0.56617314,0.40859574,0.5034116,0.4915241,0.51533467,0.4457375,0.5086132,0.48140326,0.5049548,0.49990895,0.5080355,0.5300799,0.45756817,0.4789727,0.45738053,0.47468594,0.5011448,0.49183813,0.42990565,0.52026284,0.4291187,0.50236493,0.4456046,0.49347585,0.49635184,0.4956471,0.5169657,0.44589317,0.48260614,0.44600546,0.44201726,0.5222609,0.42712072,0.5659715,0.49966612,0.49158108
ARHGAP28,0.45179442,0.53994507,0.5073817,0.5586576,0.5023647,0.44447196,0.47533557,0.44077688,0.5317937,0.4852855,0.49301693,0.43012962,0.402841,0.5252981,0.49236897,0.5200972,0.53761846,0.5139629,0.47854355,0.5043818,0.49491248,0.48633885,0.48873168,0.49277297,0.42948613,0.48148385,0.4855863,0.52489465,0.4470536,0.50172746,0.48693937,0.4855982,0.5474006,0.45863256,0.4540842,0.5141121,0.35594553,0.47687382,0.48855305,0.45706773,0.46358582,0.33944649,0.4628268,0.43901342,0.45648274,0.4816725,0.37713027,0.5024398,0.50081635,0.49593762,0.49453363,0.4875991,0.4936271,0.49364713,0.49188668,0.44259942,0.53232914,0.49430588,0.49074933,0.5100281,0.53644085,0.45833617,0.49168384,0.49830642,0.55222714,0.48299396,0.54167664,0.5395207,0.5231301,0.5132494,0.49900872,0.44897863,0.42447692,0.48066953,0.53154796,0.5432584,0.4680383,0.4208104,0.44832608,0.4922572,0.44090027,0.50953925,0.45701882,0.48724467,0.5196365,0.4667307,0.47486392,0.4504207,0.49489847,0.5424273,0.39639884,0.43034267,0.5471096,0.42979324,0.497657,0.50583506,0.5166408,0.4427122,0.49906144,0.48229393,0.4860288,0.5063277,0.5099382,0.5226202,0.46783036,0.47819677,0.44717887,0.47612238,0.5012167,0.49494436,0.4293965,0.51203996,0.45034805,0.49487486,0.4552019,0.49117628,0.4842143,0.5094942,0.51415765,0.4666619,0.4928708,0.45843115,0.45896426,0.51114833,0.4479975,0.54681045,0.4969735,0.48262092
ZBTB2,0.4392287,0.6015484,0.52489823,0.6585138,0.49646604,0.46982706,0.38444117,0.4228778,0.60630244,0.43461862,0.5586698,0.46870288,0.33137998,0.5062794,0.5014539,0.6904373,0.6127454,0.5371738,0.5309836,0.56790036,0.4824385,0.531629,0.44895387,0.58329695,0.38137448,0.44835255,0.422003,0.5760347,0.56461316,0.49491072,0.456671,0.5586686,0.5237354,0.3293506,0.42412704,0.5452199,0.32343578,0.5312686,0.4833595,0.5775529,0.4415897,0.31680188,0.46955797,0.3322087,0.41603357,0.56971055,0.38899884,0.5317185,0.4633087,0.61656415,0.4844688,0.5617361,0.44819838,0.4343523,0.5207284,0.473194,0.6292614,0.51392263,0.47693583,0.50800645,0.54275614,0.5254328,0.4576742,0.46533588,0.5636435,0.4851044,0.56500524,0.7175117,0.45654604,0.53400743,0.50548416,0.46860722,0.42074674,0.56578434,0.49950612,0.54149276,0.42337677,0.34519777,0.5145069,0.43333384,0.5658423,0.47052068,0.45301113,0.5552937,0.53100544,0.4034259,0.44271958,0.48275068,0.5613057,0.5735546,0.42027962,0.3192371,0.5398175,0.41184044,0.49387935,0.49808323,0.48637077,0.43702602,0.443465,0.5298785,0.3622689,0.63451564,0.5299829,0.59116316,0.47512525,0.48130307,0.37778038,0.5884102,0.51421356,0.4474371,0.25802985,0.5174207,0.5136714,0.43908954,0.3848135,0.48831373,0.44092134,0.48551795,0.48947313,0.45654127,0.44639316,0.42230716,0.54854333,0.5025171,0.43119016,0.47069407,0.47120604,0.41003188
FAM89A,0.45448542,0.5476081,0.515934,0.5518748,0.50281453,0.43181288,0.4747631,0.43888617,0.5331045,0.4957441,0.48929274,0.41843694,0.39889273,0.5286164,0.49192286,0.49096906,0.5352831,0.5238381,0.47305652,0.48762745,0.50451523,0.48596323,0.49189788,0.47096595,0.421343,0.49294287,0.4829252,0.5248195,0.4294731,0.51236486,0.48241043,0.47074562,0.552745,0.4753543,0.45658097,0.5225417,0.3474424,0.4742098,0.48656166,0.4395885,0.45232803,0.3313427,0.46529976,0.44413295,0.45176882,0.48288703,0.3685055,0.49254844,0.4985747,0.48232195,0.49177873,0.4782634,0.5072351,0.4977342,0.49094555,0.43140873,0.5201947,0.49589914,0.4883756,0.49993932,0.54434234,0.44799942,0.508269,0.501028,0.5514298,0.4745054,0.5373236,0.5175911,0.53688973,0.49789727,0.5004395,0.4510157,0.40729842,0.47827604,0.5302418,0.5416462,0.47851342,0.41748005,0.4388169,0.50450236,0.42159536,0.5205798,0.4548735,0.4810701,0.5091585,0.48450673,0.4767107,0.43902698,0.49349374,0.5447397,0.39420077,0.43184027,0.5592238,0.42659247,0.5029911,0.500393,0.52045715,0.44526476,0.50911164,0.4775951,0.5062649,0.49481812,0.5155114,0.5131008,0.45868924,0.48190382,0.4694546,0.466265,0.49910882,0.4980566,0.44528517,0.5186,0.43231377,0.5020137,0.45612273,0.50490075,0.49658018,0.50311816,0.51878345,0.45912609,0.5071782,0.46098924,0.44606057,0.5126407,0.4453282,0.5624973,0.4890874,0.50530416
