,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
SLC39A11,0.0,0.19706436,0.10781595,0.12353196,0.0,0.20503208,0.0,0.0,0.046522018,0.15185153,0.18742542,0.0,0.14094551,0.0,0.0,0.03785807,0.44913232,0.0,0.0,0.0,0.0,0.0,0.0,0.151711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19803643,0.0,0.0,0.0,0.0,0.0920557,0.62234807,0.11562782,0.0,0.0,0.0,0.0,0.18945214,0.051359404,0.0,0.2641151,0.0,0.18702653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3000261,0.0,0.12886325,0.0,0.0,0.0,0.029841594,0.0,0.082427286,0.0,0.0,0.0,0.17224011,0.25142363,0.0,0.0,0.0,0.0,0.095976,0.2648481,0.0,0.04888495,0.0,0.0,0.36565503,0.13922632,0.0,0.10419217,0.0,0.044459376,0.10504742,0.0,0.0,0.0,0.0,0.14013632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20243055,0.2544231,0.0,0.29204714,0.0,0.0,0.21469066,0.0,0.025793597,0.0,0.19342047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099858865,0.23499075
C4orf46,0.0,0.22812091,0.043117628,0.10252498,0.0,0.15698105,0.0,0.0,0.0,0.10350317,0.32157353,0.0,0.55824757,0.0,0.057307467,0.0,0.44540808,0.0,0.0,0.0,0.0,0.0,0.0,0.427514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21019927,0.0,0.0,0.081832215,0.0,0.3147751,1.1963754,0.2990154,0.0,0.0,0.0,0.0,0.5449619,0.09093672,0.0,0.7193298,0.0,0.50658107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051319584,0.30369776,0.0,0.19189055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15045838,0.0,0.2377708,0.28112942,0.0,0.0,0.0,0.0,0.31415594,0.2844243,0.0,0.01964594,0.0,0.0,0.34432825,0.16204238,0.0,0.30573183,0.0,0.33238024,0.0,0.0,0.0,0.0,0.0,0.12948664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22042976,0.2611005,0.0,0.37011743,0.0,0.0,0.56564754,0.0,0.0,0.0,0.21133913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2995171,0.25115734
ZNF83,0.0,0.8058498,0.0,1.4864281,0.0,0.09103197,0.0,0.0,0.92369163,0.74206805,0.021940187,0.0,0.0,0.0,0.0,1.1334798,2.7193575,1.2239114,0.0,0.0,0.0,0.0,0.48235905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7883566,0.0,0.0,0.7942064,1.3040723,0.0,0.0,0.0,0.0,0.0,0.52365005,0.0,0.0,0.0,0.0,0.0,0.0,0.26479363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0033702,0.0,0.0,0.0,0.0,0.0,0.84228224,0.0,1.9799404,0.0,0.0,0.0,0.91116595,1.759969,0.94675225,0.0,0.0,0.0,0.0,0.09158097,0.0,0.1962024,0.0,0.0,1.0733829,0.17474923,0.0,0.0,0.44898537,0.0,0.8648647,0.0,0.7456609,0.0,0.45253706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3651781,0.54118955,1.0578275,0.0,1.2565893,0.0,0.0,0.0,0.51052475,0.37389845,0.0,0.2825579,0.0,0.0,0.0,0.0,1.2169081,0.0,0.0,0.0,0.0,0.0,0.19928563
FAM46A,0.0,0.18553384,0.059979036,0.16960616,0.0,0.31027776,0.0,0.0,0.021258421,0.28705278,0.16596651,0.0,0.008361267,0.0,0.0,0.06644918,0.5346514,0.0,0.0,0.0,0.0,0.0,0.0,0.03370662,0.0,0.0796514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15240034,0.0,0.0,0.0,0.0,0.042139277,0.5187618,0.057780273,0.0,0.0,0.0,0.0,0.12860821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38290012,0.0,0.18234137,0.0,0.0,0.0,0.0,0.0,0.1378412,0.0,0.0,0.0,0.20710775,0.29540592,0.0,0.0,0.0,0.0,0.05676873,0.36405915,0.0,0.12563795,0.0,0.0,0.36582264,0.11724891,0.0,0.10956645,0.06835747,0.0,0.12741728,0.0,0.0,0.0,0.0,0.10854073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2737288,0.26839614,0.0,0.4157331,0.0,0.0,0.221392,0.0,0.09379327,0.0,0.35457915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32544598
NKX3-1,0.0,0.7469855,0.0,1.4202342,0.0,0.34893858,0.0,0.0,0.58944565,0.6958164,0.038627528,0.0,0.0,0.0,0.0,0.5753633,2.2958543,1.0712414,0.0,0.0,0.0,0.0,0.30220732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59590745,0.0,0.023605675,0.6181077,0.89249146,0.0,0.0,0.0,0.0,0.0,0.38563278,0.0,0.0,0.0,0.0,0.0,0.0,0.09410141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93491143,0.0,0.0,0.0,0.0,0.0,0.82038635,0.10672063,1.7720466,0.0,0.0,0.0,0.83553964,1.3854971,0.732832,0.0,0.0,0.0,0.0,0.117018305,0.0,0.15293916,0.0,0.0,0.9520016,0.25536442,0.0,0.0,0.2858866,0.0,0.6056029,0.0,0.43827802,0.0,0.1959871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21779478,0.28843915,0.890601,0.0,1.1750605,0.0,0.0,0.0,0.39382094,0.30732578,0.0,0.22107175,0.0,0.0,0.0,0.0,1.1288038,0.0,0.0,0.0,0.0,0.0,0.07199271
ERCC-00022,0.0,0.37423837,0.14201473,0.3030292,0.0,0.36926037,0.0,0.0,0.09910007,0.29184458,0.34755853,0.0,0.0,0.0,0.0,0.09773873,0.85555375,0.0,0.0,0.0,0.0,0.0,0.0,0.17438503,0.0,0.074644655,0.084857464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30700505,0.0,0.0,0.0,0.0,0.070598006,0.7492155,0.0,0.0,0.0,0.0,0.0,0.2179373,0.10470368,0.0,0.0250756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011771649,0.0,0.59545016,0.0,0.32461727,0.0,0.0,0.0,0.02192561,0.0,0.1933859,0.0,0.0,0.0,0.31346118,0.4116418,0.0,0.0,0.0,0.0,0.07446918,0.5988334,0.0,0.16908187,0.0,0.0,0.55728114,0.19033325,0.0,0.30012202,0.06458602,0.0,0.19619331,0.0,0.0,0.0,0.0,0.2210396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44604886,0.54530036,0.0,0.613628,0.0,0.0,0.3110569,0.0,0.110930406,0.0,0.44957125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45950955
PIP4K2A,0.0,0.29658017,0.09440038,0.23498695,0.0,0.17859133,0.0,0.0,0.0,0.14224,0.46052036,0.0,0.42036128,0.0,0.0,0.0,0.70873135,0.0,0.0,0.0,0.0,0.0,0.0,0.35486057,0.0,0.0,0.04557298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29069966,0.0,0.0,0.0,0.0,0.29775518,1.2245992,0.19878736,0.0,0.0,0.0,0.0,0.49014184,0.11129439,0.0,0.5558405,0.0,0.34938565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49532625,0.0,0.310208,0.0,0.0,0.0,0.0,0.0,0.018983841,0.0,0.006454386,0.0,0.29808858,0.39163616,0.0,0.0,0.0,0.0,0.26837972,0.44194236,0.0,0.0010034889,0.0,0.0,0.47777152,0.16471922,0.0,0.4173029,0.0,0.15484338,0.03579375,0.0,0.0,0.0,0.0,0.18299787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.369541,0.38264108,0.0,0.5114737,0.0,0.0,0.59811413,0.0,0.0,0.0,0.36560255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21016678,0.38704556
ARHGAP28,0.0,0.21244335,0.06531082,0.16220103,0.0,0.24682689,0.0,0.0,0.011672609,0.1894191,0.23601091,0.0,0.16395956,0.0,0.0,0.042142324,0.59308165,0.0,0.0,0.0,0.0,0.0,0.0,0.17703344,0.0,0.0050127283,0.09634836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3367625,0.0,0.0,0.0,0.0,0.15609948,0.7510898,0.07246193,0.0,0.0,0.0,0.0,0.35829872,0.09935526,0.0,0.32797706,0.0,0.18101203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033207152,0.0,0.3904447,0.0,0.21755359,0.0,0.0,0.0,0.05014345,0.0,0.06389633,0.0,0.0,0.0,0.24551363,0.33830482,0.0,0.0,0.0,0.0,0.10769591,0.40007758,0.0,0.13380285,0.0,0.0,0.44898802,0.12494494,0.0,0.26101205,0.048715528,0.063477054,0.105189204,0.0,0.0,0.0,0.0,0.086544015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39756685,0.36221716,0.0,0.36218,0.0,0.0,0.36465672,0.0,0.0,0.0,0.27701077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112602636,0.2545575
ZBTB2,0.0,0.5196618,0.0,1.3345797,0.0,0.057635456,0.0,0.0,0.7395845,0.76451045,0.0,0.0,0.0,0.0,0.0,0.9919889,2.713174,1.266617,0.0,0.0,0.0,0.0,0.5386387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7037247,0.0,0.0,0.95383984,1.3213322,0.0,0.0,0.0,0.0,0.0,0.34793365,0.0,0.0,0.0,0.0,0.0,0.0,0.19697762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93051934,0.0,0.0,0.0,0.0,0.0,0.98036814,0.03351684,2.0593507,0.0,0.0,0.0,1.1073154,1.6898944,0.77399695,0.0,0.0,0.0,0.0,0.033714682,0.0,0.35061362,0.0,0.0,1.2459652,0.24689546,0.0,0.0,0.50925046,0.0,0.9015495,0.0,0.8492365,0.0,0.5011961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33908767,0.59581625,0.91706616,0.0,1.2311045,0.0,0.0,0.0,0.5924175,0.34842694,0.0,0.22935343,0.0,0.0,0.0,0.0,1.0573342,0.0,0.0,0.0,0.0,0.0,0.0
FAM89A,0.0,0.19559875,0.0046101287,0.062333927,0.0,0.21053891,0.0,0.0,0.022997513,0.17434624,0.324153,0.0,0.41981936,0.0,0.0,0.0,0.49046367,0.0,0.0,0.0,0.0,0.0,0.0,0.38431957,0.0,0.0,0.046950735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17803109,0.0,0.0,0.0,0.0,0.14386073,0.88482976,0.19285515,0.0,0.0,0.0,0.0,0.5187237,0.109404914,0.0,0.5188405,0.0,0.36548135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039519455,0.26828516,0.0,0.08959454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058302134,0.0,0.1878779,0.2596376,0.0,0.0,0.0,0.0,0.16315955,0.33948666,0.0,0.004398456,0.0,0.0,0.28110167,0.0863341,0.0,0.32285324,0.009362478,0.24156502,0.04746455,0.0,0.0,0.0,0.0,0.055152148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29614186,0.28631282,0.0,0.28919062,0.0,0.0,0.3693953,0.0,0.0,0.0,0.19352764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15311186,0.16111088
