,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
SLC39A11,-0.0033657756,-0.030757261,0.03404666,-0.004660234,0.015426107,-0.03822373,0.023285551,-0.02535439,-0.020470534,0.003583733,-0.00271146,0.03720492,0.0070692524,0.015634805,-0.021731712,-0.05042394,-0.05074657,0.0040078517,0.03225897,0.032684036,0.008473463,-0.040354226,0.003518276,0.02154249,0.00022255816,0.028565139,0.016461417,0.0009197928,-0.0020949543,-0.017665815,0.02386221,0.045321908,-0.016065154,0.018193595,-0.0014789477,0.0007532332,0.02455958,0.017691609,0.045588292,0.02872004,-0.017641127,0.025504237,0.03950365,-0.015853904,0.02342967,0.0074776486,-0.001984585,-0.050807346,0.012894176,-0.022582255,-0.02826234,-0.019995723,-0.027432192,0.012242541,0.0030068718,-0.009416376,0.037211187,0.00017042458,-0.030722406,-0.038743652,0.042339683,-0.0007632002,0.033743814,-0.027159465
C4orf46,-0.08463387,-0.08914229,0.15023127,-0.10167816,0.096388854,-0.10537048,0.07757254,-0.12089226,-0.10462868,0.10274191,-0.02265954,0.13370833,0.06376432,0.059241764,-0.10625945,-0.07274324,-0.15522023,-0.009451328,0.12650687,0.08123216,0.08361034,-0.10538098,0.092490375,0.09007395,0.08462043,0.09592199,-0.08803473,-0.0848924,-0.1355013,-0.094165206,0.090214595,0.07851636,-0.14558025,0.111547805,0.094627336,-0.061033398,0.10006607,0.11206269,0.15836242,0.12689121,-0.13094717,0.09145063,0.08766827,0.05601857,0.10035501,0.07157682,0.047684375,-0.086039655,-0.06721219,-0.08253624,-0.02327462,-0.11150853,-0.057787653,0.10715957,-0.06642037,0.024248935,0.093883306,0.07598783,-0.12621996,-0.07854983,0.101508036,0.079544894,0.091368794,-0.11042867
ZNF83,0.20939644,0.16945282,-0.25013936,0.19828713,-0.2109986,0.2042772,-0.15023664,0.1422226,0.17477535,-0.18687312,0.089041114,-0.23709159,-0.19996366,-0.17347911,0.22465156,-0.038697906,0.21518394,0.20463742,-0.22027412,-0.16799352,-0.18937798,0.15032744,-0.15597048,-0.22424683,-0.20844853,-0.118925326,0.10100538,0.28626648,0.18329984,0.16634141,-0.17939234,-0.11415453,0.23048452,-0.2649283,-0.22363664,0.19030215,-0.2449547,-0.23114341,-0.18802613,-0.23614378,0.26370454,-0.15104061,-0.18711358,-0.19885829,-0.13865921,-0.19969471,-0.14587916,0.14870507,0.1360928,0.2049214,0.047347933,0.20032728,0.0181512,-0.22146773,0.22889364,-0.09894575,-0.18299933,-0.1450393,0.22087267,0.20804986,-0.20092759,-0.12023215,-0.24062492,0.1869602
FAM46A,0.030297846,-0.011899013,-0.0076278355,0.03461761,-0.020089269,0.0010195132,0.0022181366,0.019983962,0.027783237,-0.02488286,0.011885285,-0.008364052,-0.026161537,-0.0018829666,0.0074042827,-0.034784712,-0.0017807744,0.010203503,0.012132671,0.008888463,-0.024206929,-0.008307617,-0.027973762,-0.0067409724,-0.03078612,0.00075564906,0.058371622,0.035053853,0.048666745,0.008479945,-0.001012329,0.02087127,0.026282027,-0.030841623,-0.04926975,0.01722425,3.9808452e-05,-0.029196024,9.354204e-05,-0.009291366,0.031678654,-0.0004400164,0.011470769,-0.04862738,-0.0036170706,-0.011842139,-0.022473346,-0.02963043,0.033759832,0.007602036,-0.04035653,0.013547245,-0.016163353,-0.022257816,0.03748025,-0.020438194,0.018168826,-0.029483035,0.0005533723,-0.015502397,0.013898715,-0.038123902,0.018156486,0.013949472
NKX3-1,0.18751636,0.11771782,-0.22137146,0.17831907,-0.17618155,0.16759573,-0.13309322,0.09669231,0.14720494,-0.15584943,0.08827548,-0.20423907,-0.1446934,-0.12611374,0.1904644,-0.047888674,0.18073213,0.17031686,-0.19336842,-0.14672767,-0.16561513,0.112222254,-0.14223799,-0.18621185,-0.17849794,-0.090145424,0.098033905,0.24768278,0.18413311,0.13862394,-0.17165594,-0.10064988,0.2086992,-0.20858446,-0.20317893,0.16995293,-0.19375145,-0.18644044,-0.16404822,-0.17780064,0.22234046,-0.1218815,-0.13105023,-0.17628941,-0.12434498,-0.17215489,-0.14095655,0.12182338,0.14956194,0.16623,0.016225487,0.17392892,0.020245096,-0.18300815,0.17951782,-0.08085986,-0.14971058,-0.110652186,0.19899471,0.15979351,-0.16374086,-0.13014701,-0.19437377,0.171941
ERCC-00022,0.03376469,0.012046397,-0.018164491,0.054180786,-0.028582685,0.024521535,-0.015010354,0.04042244,0.045018487,-0.02469398,0.0351851,-0.034829795,-0.044234857,-0.021816384,0.005312443,-0.025900686,0.013456263,0.012365101,0.0024895035,-0.02202682,-0.062309965,0.012359783,-0.04404369,-0.025521822,-0.019013304,-0.01378132,0.08040263,0.045440078,0.0664517,0.038508803,0.00011987984,0.016083237,0.056356993,-0.047836214,-0.06890679,0.030769639,-0.021371715,-0.048156638,-0.02822575,-0.022189448,0.05248202,-0.007109195,0.005855765,-0.047735207,-0.025414146,-0.014855258,-0.046440255,-0.017206457,0.047606856,0.012542389,-0.04721421,0.027799334,-0.018810142,-0.036632754,0.04497231,-0.02631449,0.0036597326,-0.032485943,0.02024125,-0.0020745508,-0.004668519,-0.050732993,0.004097935,0.03344181
PIP4K2A,-0.05240827,-0.05919963,0.10402204,-0.045349985,0.053467758,-0.06421761,0.041685224,-0.06612007,-0.058150228,0.0702949,0.0035134628,0.075493336,0.014529318,0.034153134,-0.07523994,-0.056324624,-0.10213871,0.0042030774,0.09397493,0.041153476,0.027077548,-0.07206482,0.04700844,0.055806063,0.0625756,0.050203368,-0.031080276,-0.045860358,-0.06746154,-0.045210052,0.07127921,0.060322624,-0.08623403,0.063933335,0.040735185,-0.03314867,0.05534801,0.054280903,0.09633612,0.07677244,-0.080332085,0.059458114,0.06274764,0.030535437,0.059240557,0.047021538,0.018434357,-0.0628469,-0.036823615,-0.053773575,-0.029190157,-0.052414536,-0.046233695,0.053077996,-0.02382379,0.009577454,0.06226837,0.033883356,-0.07401414,-0.05021366,0.056849524,0.036217734,0.075343184,-0.069219895
ARHGAP28,-0.014269939,-0.034036264,0.041046865,0.0021005794,0.015264794,-0.03229331,0.01744887,-0.021086875,-0.017716084,0.00710978,-0.006497301,0.031119123,-0.006007187,0.009302922,-0.024055183,-0.04534165,-0.05857506,0.014990959,0.043073174,0.035072513,0.0033007823,-0.03840075,0.0126592815,0.024461359,0.014697969,0.027579792,0.006156251,0.0016998649,-0.007965319,-0.019630227,0.030985292,0.03909302,-0.0168457,0.018256769,-0.003685072,0.0029157102,0.030196913,0.014024872,0.040979218,0.034678794,-0.010608181,0.024289958,0.035032667,-0.019943379,0.024410225,0.015140612,-0.0003979653,-0.0471511,0.0049615167,-0.020137131,-0.023809277,-0.019059468,-0.024600964,0.0046318024,0.0081800595,-0.008122244,0.040506043,0.0022496283,-0.03280219,-0.019281298,0.03932464,0.009980343,0.038811997,-0.027402
ZBTB2,0.21541923,0.17397547,-0.24267511,0.2106354,-0.23105574,0.2027935,-0.15380207,0.14042053,0.1772101,-0.21407332,0.04949613,-0.24443425,-0.21082631,-0.18318287,0.21687895,-0.049493004,0.20866401,0.23972772,-0.23361649,-0.1586556,-0.15908031,0.15020132,-0.14598264,-0.23547521,-0.21516094,-0.11981765,0.08081083,0.3143942,0.16435549,0.15855299,-0.1926336,-0.11566666,0.23040494,-0.27301356,-0.22294226,0.1958123,-0.2564901,-0.23909204,-0.19213921,-0.22488536,0.26817542,-0.16887556,-0.18821722,-0.23579443,-0.1484831,-0.22120984,-0.13246065,0.14193359,0.1282244,0.21314609,0.09142219,0.19961783,0.055180598,-0.23781453,0.25787118,-0.07588187,-0.16860776,-0.1583356,0.24842389,0.22376686,-0.20704998,-0.09964637,-0.24330556,0.1605434
FAM89A,-0.057793304,-0.07371297,0.087659955,-0.05325511,0.05948452,-0.08034367,0.056513257,-0.078564,-0.07803555,0.061762255,-0.028824728,0.09264675,0.045610182,0.043296635,-0.070645764,-0.05962252,-0.11782126,-0.011323647,0.09177309,0.06864574,0.04205005,-0.08179858,0.06116131,0.06657594,0.037887357,0.070006676,-0.047200583,-0.057906494,-0.07338288,-0.07180065,0.06763066,0.05270116,-0.08935064,0.065973036,0.05338952,-0.03483142,0.074535675,0.07110478,0.105755314,0.08794962,-0.08319475,0.059059687,0.06704544,0.029330857,0.06582478,0.057644174,0.02333605,-0.064681664,-0.034958586,-0.060310833,-0.025188237,-0.069222584,-0.041298132,0.06535433,-0.048605487,0.006476729,0.07333732,0.03522876,-0.08850478,-0.05360206,0.081025794,0.055454038,0.07255696,-0.06756134
