TF_gene,Target_gene
FOXA1,TFPI
NRIP1,PITX1
MEIS3,PITX1
MLXIPL,PITX1
ETS1,PITX1
SUV39H2,PITX1
DNMT3B,PITX1
FXR1,PITX1
ERCC8,PITX1
NR3C1,PITX1
PBX1,PITX1
CREB1,MAP1B
SOX2,MAP1B
BPTF,MEF2C
THRB,MEF2C
POLR2F,MEF2C
EZH2,MEF2C
TOPORS,MEF2C
TARBP2,MEF2C
CSDE1,MEF2C
ZNF239,MEF2C
PMS1,MEF2C
SUB1,MEF2C
ENO1,EHMT1
ZNF589,EHMT1
ZNF300,EHMT1
EGF,EHMT1
E2F8,EHMT1
POLR2I,EHMT1
PHB2,EHMT1
MCM3,EHMT1
ZBTB16,EHMT1
CEBPZ,EHMT1
PPARA,HMGCS2
CEBPA,HMGCS2
RAI14,TCF3
SALL4,TCF3
TBX3,TCF3
NFKBIZ,TCF3
PAWR,TCF3
GMEB1,TCF3
BCOR,TCF3
PTRF,TCF3
GLIS3,TCF3
MYBL2,TCF3
MYC,UCP2
SRF,FEN1
TOPORS,FEN1
APEX1,FEN1
MYC,FEN1
E2F4,FEN1
COPS2,NIF3L1
MLXIPL,NIF3L1
NFYB,NIF3L1
POU2F1,NIF3L1
TRIP13,NIF3L1
HIST1H1C,F10
HNF4A,F10
ETS1,DPYSL2
NFYB,DPYSL2
POU2F1,DPYSL2
TCF3,DPYSL2
HNF4A,DPYSL2
POU5F1,DPYSL2
ETS1,DDIT4
TP53,DDIT4
NR3C1,DDIT4
EPAS1,DDIT4
REST,DDIT4
CDX2,MEP1A
HNF4A,MEP1A
PBX1,UGP2
MYC,PPT1
TCF3,PPT1
SRF,CCDC82
BPTF,CCDC82
EGR1,CCDC82
EGR1,ALG6
ETS1,ANPEP
ATF3,GPM6B
CREB1,GPM6B
TCF3,GPM6B
PBX1,GPM6B
CXXC1,SMAD5
AFF4,SMAD5
NR1I3,SMAD5
ZNF567,SMAD5
THRB,SMAD5
RUVBL2,SMAD5
ARID2,SMAD5
SMARCE1,SMAD5
ZBTB3,SMAD5
TAF7,SMAD5
TFAP2C,ACOT7
MYC,ACOT7
SRF,ACOT7
HNF4A,ACOT7
FOXM1,CENPF
MYC,CENPF
NFYB,CENPF
SMAD2,TNNT1
HNF4A,DR1
RFC1,DR1
MIS18BP1,DR1
RFXANK,DR1
MAF,DR1
NFKBIZ,DR1
MED21,DR1
GATA4,DR1
BCOR,DR1
MYCBP,DR1
HIST1H1B,BCOR
HIF1AN,BCOR
SRRM1,BCOR
PCGF6,BCOR
TAF1B,BCOR
MCM2,BCOR
GTF2H2,BCOR
APEX1,BCOR
EYA3,BCOR
NPM1,BCOR
ATF3,ASNS
TFAP2C,ASNS
PAX6,ASNS
DDIT3,ASNS
ABT1,TARBP2
MAFF,TARBP2
SUPT16H,TARBP2
ILF3,TARBP2
RFC1,TARBP2
IVNS1ABP,TARBP2
ZNF202,TARBP2
PCGF6,TARBP2
CBX3,TARBP2
KNTC1,TARBP2
SMARCD2,PWP1
HMGB2,PWP1
MED21,PWP1
JARID2,PWP1
ZNF227,PWP1
MEF2C,PWP1
RBBP7,PWP1
CNOT7,PWP1
RFX5,PWP1
SP100,PWP1
FOXA1,ACAD11
NFIB,WFDC2
MYC,ACADSB
JUN,GYG1
POU2F1,GYG1
MYC,GYG1
NME2,TERF1
ZHX1,TERF1
ZBTB16,TERF1
TFAP2C,TERF1
MYC,PARPBP
EGR1,PLCD1
JUN,PLCD1
POU2F1,PLCD1
POLR2D,TRIM27
PITX1,TRIM27
HINFP,TRIM27
PIAS2,TRIM27
TCEB3,TRIM27
PPARA,TRIM27
SALL3,TRIM27
AES,TRIM27
SRSF10,TRIM27
SUB1,TRIM27
POU5F1,L1TD1
NANOG,L1TD1
SOX2,L1TD1
FUBP1,ETS1
TGIF2,ETS1
SP100,ETS1
ZNF33A,ETS1
PDGFA,ETS1
DPF2,ETS1
EGFR,ETS1
GLI1,ETS1
ARID2,ETS1
RFXANK,ETS1
REST,NDUFAF5
E2F4,PRC1
NR3C1,PRC1
TFAP2C,PRC1
TP53,PRC1
POU2F1,NUP93
TCF3,NUP93
FOXA1,UTRN
FOXP1,UTRN
TP53,UTRN
ETS1,UTRN
CEBPA,UTRN
SRF,UTRN
TFAP2C,UTRN
STAT2,UTRN
HNF4A,UTRN
JUN,NEDD1
ATF3,NEDD1
HNF4A,MTTP
ZNF300,TCF25
TRERF1,TCF25
FXR1,TCF25
ZNHIT3,TCF25
MAZ,TCF25
POLR1E,TCF25
RBBP7,TCF25
EWSR1,TCF25
SMARCA4,TCF25
EZH2,TCF25
E2F4,RRM2
JUN,RRM2
TFAP2C,RRM2
FOXA2,RRM2
FOXA1,RRM2
MYC,RRM2
TP53,RRM2
REST,RRM2
TFAP2C,THYN1
EGR1,THYN1
REST,THYN1
STAT2,TTF2
CREB3L3,TTF2
SERTAD3,TTF2
TCEB1,TTF2
NR2F2,TTF2
MCM4,TTF2
GEMIN2,TTF2
XRCC5,TTF2
ZNF107,TTF2
TAF1A,TTF2
SMAD2,FOXA2
NONO,FOXA2
CDX2,FOXA2
RUVBL2,FOXA2
TRIP13,FOXA2
E2F8,FOXA2
COPS5,FOXA2
TCERG1,FOXA2
CREB3L2,FOXA2
THRAP3,FOXA2
E2F3,AURKA
BRCA1,AURKA
TP53,AURKA
HNF4A,AURKA
OTX2,AURKA
NFYB,AURKA
TFAP2C,DOT1L
HNF4A,DOT1L
E2F5,DOT1L
BTF3,DOT1L
SNRPB,DOT1L
ZNRD1,DOT1L
DNMT1,DOT1L
RBPJ,DOT1L
RFX6,DOT1L
KLF6,DOT1L
MCM5,THAP1
POLR1C,THAP1
HIST1H1C,THAP1
TCOF1,THAP1
MEF2C,THAP1
DDX20,THAP1
POU5F1,THAP1
JAG1,THAP1
TBL1X,THAP1
ZFHX3,THAP1
JARID2,IRF3
TCF3,IRF3
ZNF202,IRF3
BCOR,IRF3
PAX6,IRF3
RAD51,IRF3
ZNF232,IRF3
ETV1,IRF3
E2F7,IRF3
ZNF354A,IRF3
MYC,LCMT1
CREB1,LCMT1
EGR1,LCMT1
MYC,MPHOSPH9
BCL11B,NFKBIZ
ZNF208,NFKBIZ
DDIT3,NFKBIZ
PREB,NFKBIZ
CENPK,NFKBIZ
