,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
MTAP,0.42498004,0.5634091,0.44484577,0.44023687,0.44660917,0.57353497,0.46414286,0.47338632,0.5033143,0.45415747,0.47328413,0.4539035,0.45269692,0.5037585,0.45745662,0.45118847,0.51813143,0.5506112,0.53292364,0.4705491,0.5226527,0.5436204,0.4237731,0.4946791,0.39712018,0.4234368,0.40640798,0.5142726,0.425071,0.49770284,0.441369,0.5400487,0.5435164,0.5107256,0.4986358,0.45034602,0.5297325,0.45156556,0.4467706,0.57540613,0.4241228,0.49267936,0.4912218,0.4765203,0.4036477,0.48331207,0.47517696,0.4870536,0.42818683,0.4421907,0.47256878,0.39178276,0.49976492,0.4597345,0.47396156,0.5516923,0.46963716,0.4439238,0.4745638,0.53630143,0.4379644,0.45961186,0.45249867,0.47730517,0.5343226,0.47752348,0.46611178,0.40477452,0.5205457,0.5360146,0.4933202,0.48640186,0.53771144,0.5242453,0.5703097,0.5283055,0.46506345,0.48929235,0.5052644,0.47394967,0.54678226,0.42720476,0.48120075,0.4956414,0.45799226,0.44103438,0.54724985,0.4431369,0.5495078,0.4884855,0.4407927,0.42373246,0.4368445,0.4713113,0.45546854,0.49059758,0.4936164,0.4762097,0.45285514,0.41407305,0.4706687,0.45820254,0.5624563,0.47159505,0.47996795,0.5013731,0.41504523,0.48225126,0.47510275,0.5468697,0.45751745,0.47117513,0.46307498,0.5263091,0.5460372,0.5189868,0.41408926,0.49293423,0.51425666,0.47258496,0.503126,0.46743935,0.5444483,0.46234742,0.4728326,0.43419603,0.47061774,0.4571617
TAF7,0.41000584,0.534128,0.4748056,0.4920314,0.3766056,0.50214684,0.5048112,0.40684032,0.494481,0.4232575,0.48732162,0.52921146,0.44847596,0.53789485,0.44071972,0.36878228,0.6019684,0.549417,0.50216305,0.4937954,0.538423,0.5046465,0.42257538,0.50712836,0.4345763,0.49151966,0.5331506,0.5162667,0.47424382,0.58368415,0.48911512,0.5076535,0.5459539,0.4804538,0.47078088,0.41169232,0.4799764,0.47787777,0.590091,0.6658676,0.52065974,0.40527835,0.46841374,0.4493707,0.5030631,0.43145937,0.4545156,0.4575459,0.43584493,0.43504527,0.55098647,0.46352297,0.5817496,0.48616478,0.50269246,0.5509277,0.453548,0.5462516,0.40862027,0.44557723,0.44280306,0.51409554,0.53417295,0.5766888,0.57218564,0.54402244,0.528799,0.41522047,0.5286,0.44907233,0.47656882,0.4292913,0.57408285,0.5503218,0.5074534,0.48607397,0.43070444,0.54896945,0.44485304,0.4593614,0.43282163,0.42835286,0.3921017,0.5687679,0.35020754,0.4537635,0.59183145,0.46737596,0.5266591,0.6132607,0.45304292,0.39370027,0.4983519,0.4206621,0.5616453,0.43485802,0.4790357,0.6276662,0.5110079,0.5005125,0.5746385,0.51214415,0.5181597,0.57827765,0.43595666,0.5067935,0.38362557,0.47324494,0.62234294,0.55892116,0.5750267,0.49433845,0.5037952,0.5632087,0.58786875,0.4487819,0.4059411,0.43017107,0.5991141,0.42826167,0.46417594,0.37273324,0.5072623,0.4919676,0.4844426,0.47232088,0.5033385,0.41747054
P4HA2,0.43184838,0.5643825,0.45067516,0.44205812,0.44938293,0.5704947,0.47008654,0.47845155,0.5002452,0.456709,0.47216234,0.46057913,0.4543326,0.50561893,0.45964018,0.45047513,0.50922227,0.5488292,0.5262898,0.4746498,0.53035367,0.54189646,0.4281918,0.49563602,0.3998899,0.42278114,0.40584922,0.5165288,0.4273065,0.4941385,0.4373608,0.53950185,0.5439254,0.5117472,0.49492612,0.4557744,0.5287703,0.4513247,0.44477734,0.57521796,0.4231033,0.4949028,0.49000493,0.4772934,0.40130538,0.48001206,0.4791786,0.48957655,0.42955625,0.44267532,0.48141614,0.39456284,0.49843007,0.4565187,0.47220796,0.5527151,0.46853596,0.44807842,0.47723007,0.5363419,0.43720424,0.46169722,0.45570567,0.4741893,0.5332725,0.47857067,0.4632817,0.40613464,0.52475667,0.53277946,0.4887187,0.48840308,0.53299725,0.526793,0.56842756,0.52643716,0.46813372,0.49249753,0.50462604,0.46955565,0.54743916,0.43121216,0.4834838,0.49317217,0.46211687,0.44821724,0.5493525,0.4392142,0.5432069,0.49029475,0.43955752,0.42862254,0.4395273,0.4727569,0.4562433,0.48937705,0.49629745,0.48242188,0.45742574,0.41730428,0.4710695,0.45996267,0.5705627,0.47172213,0.4798635,0.5016935,0.421965,0.48064998,0.47418267,0.5427473,0.46071953,0.47391108,0.45846584,0.52695763,0.5504003,0.51882696,0.41797364,0.49487486,0.5098191,0.47802448,0.5010844,0.47474924,0.54132533,0.46399796,0.4728248,0.4352434,0.4759173,0.45758224
EYA3,0.41362673,0.5311929,0.47461236,0.4895355,0.38381675,0.5050146,0.50454825,0.41179958,0.4986121,0.4273928,0.48697117,0.52618223,0.45148793,0.5360696,0.4427524,0.37726045,0.5935804,0.5449387,0.50281453,0.49228343,0.5359996,0.5056494,0.42411718,0.50822693,0.4345889,0.49049786,0.5317167,0.51438236,0.4745669,0.57947254,0.48911586,0.50313705,0.542688,0.48381528,0.47376412,0.41717744,0.48174974,0.48015684,0.5838716,0.655778,0.52127135,0.41088337,0.4691547,0.45328537,0.4975754,0.43463704,0.4550252,0.4593176,0.43730876,0.43631515,0.546057,0.4619303,0.57856536,0.48459455,0.5009539,0.54978704,0.4514511,0.54645944,0.41593212,0.4508045,0.4462958,0.5133254,0.5336527,0.57198656,0.5713131,0.5396449,0.52596045,0.41719532,0.52590585,0.45212412,0.4769743,0.43047953,0.57522076,0.5488001,0.5074866,0.48746032,0.4340181,0.547032,0.446363,0.46646485,0.43665156,0.43376037,0.3964689,0.5668736,0.3585008,0.4572179,0.5894305,0.46372023,0.5240886,0.6086412,0.4554414,0.39708072,0.49772197,0.4245797,0.5555933,0.43951875,0.48017362,0.620976,0.50880444,0.49696392,0.5688538,0.51423264,0.52087426,0.57492787,0.4397006,0.50856286,0.38766584,0.47335184,0.6132817,0.55479413,0.5690616,0.4947468,0.4994689,0.5623424,0.5853778,0.44854414,0.4108725,0.4367036,0.59787446,0.43253356,0.46821597,0.38025722,0.5061024,0.49340236,0.48454183,0.4764225,0.5039153,0.42374113
ZNF202,0.41607642,0.531017,0.4741775,0.4925136,0.38305575,0.5089691,0.5073156,0.42274433,0.49970275,0.44060162,0.48304024,0.5250784,0.46702573,0.53949535,0.43981978,0.3804766,0.5856382,0.54715157,0.50784135,0.49237478,0.53367394,0.49950886,0.42399564,0.5095283,0.4339037,0.48466158,0.5261833,0.5112843,0.4695998,0.57335657,0.48492372,0.49909768,0.5562053,0.49398416,0.4738688,0.41783345,0.47772095,0.48281947,0.573463,0.6520039,0.51569176,0.41040763,0.46568936,0.45044315,0.49198154,0.43834138,0.46033442,0.46100554,0.4347029,0.4369173,0.54354674,0.45168227,0.5793105,0.48389107,0.49896348,0.54868937,0.4485455,0.5386364,0.42756322,0.45649764,0.4441241,0.5078871,0.5224387,0.56630915,0.5701189,0.53091955,0.51784617,0.41987386,0.5253616,0.46037254,0.47614217,0.43808705,0.56568426,0.5484536,0.5014879,0.48876777,0.4239049,0.54259115,0.4490206,0.4631927,0.44291124,0.4352566,0.39792472,0.56281257,0.35742223,0.462051,0.59560037,0.46021765,0.5138067,0.60283595,0.4437428,0.4038579,0.49994516,0.4267948,0.55639684,0.43845206,0.4765569,0.6105876,0.500491,0.4977692,0.5679163,0.51431525,0.5220344,0.5661247,0.44280183,0.50241,0.39321193,0.47535917,0.61456627,0.5569853,0.55988413,0.49825865,0.503546,0.55953664,0.58498454,0.45159927,0.41258,0.4429155,0.58349496,0.42701036,0.46697935,0.38975003,0.51565915,0.4962072,0.48486003,0.48186076,0.50202847,0.42265478
PPIL1,0.40123096,0.62375927,0.40466553,0.4171106,0.42662525,0.6371877,0.42794278,0.46141878,0.47281393,0.41857785,0.42819446,0.42642608,0.42479753,0.5037524,0.44151288,0.4198511,0.5041045,0.5957313,0.5663517,0.48018,0.53394115,0.5736772,0.36342487,0.49631023,0.36827022,0.39244422,0.32950988,0.56013,0.36243027,0.46251267,0.40110052,0.60768706,0.5778455,0.53973836,0.49986818,0.43223342,0.5730933,0.43522498,0.4210804,0.6077601,0.37247434,0.5064146,0.4846999,0.4474187,0.324751,0.4947258,0.45981625,0.48573327,0.37252238,0.4075337,0.46567127,0.33044276,0.5029527,0.4166428,0.4443047,0.57757753,0.47486606,0.3764708,0.4662608,0.5510763,0.39026496,0.4357676,0.42761862,0.42865774,0.53215474,0.47388816,0.4387145,0.34370002,0.53936,0.5542216,0.48646477,0.5047694,0.5250304,0.5354755,0.63055307,0.5694161,0.48356214,0.48646516,0.53557545,0.43405312,0.6220535,0.38321987,0.50126594,0.48777476,0.43708614,0.40485284,0.5872003,0.42177275,0.5976394,0.47293016,0.40848792,0.3871779,0.39721337,0.47590414,0.42624763,0.48891762,0.48944262,0.45517996,0.42209712,0.3514397,0.41037747,0.40515047,0.6129001,0.4429034,0.48192957,0.49287632,0.36749843,0.47040367,0.42032874,0.5731606,0.42258626,0.47805363,0.4240475,0.53508717,0.5751277,0.544775,0.37678984,0.4881975,0.48826185,0.46365473,0.49306455,0.47512782,0.58291584,0.44000924,0.45302144,0.41585776,0.44432646,0.44096687
HIPK2,0.41313806,0.5263578,0.4504461,0.4845345,0.3677692,0.4961974,0.51502275,0.44221398,0.48792446,0.4429773,0.48789856,0.5048461,0.46794584,0.521648,0.3967299,0.3853879,0.5634311,0.5596007,0.5280947,0.46686473,0.52736104,0.49043763,0.39642665,0.49603972,0.42688873,0.46851188,0.49090746,0.4998439,0.4482018,0.5512613,0.4990637,0.5330436,0.5483255,0.49377835,0.5011271,0.3929726,0.46914765,0.48900688,0.5384059,0.6628436,0.48445866,0.4084435,0.47705948,0.42769915,0.45420536,0.45023102,0.47381595,0.43971905,0.41909495,0.44695476,0.53049314,0.41107082,0.5592081,0.4897533,0.5077612,0.5749021,0.45277306,0.48080346,0.4443626,0.48853165,0.42486453,0.48031417,0.5073532,0.5520331,0.58304906,0.5420117,0.489901,0.37807456,0.48432428,0.50272125,0.47237197,0.46197456,0.5889576,0.53044915,0.53761446,0.4826927,0.40112036,0.49387097,0.47848153,0.42660695,0.4656973,0.4249145,0.3866842,0.5468788,0.38268268,0.47961536,0.5759443,0.46237433,0.5079254,0.55492455,0.44004127,0.39575875,0.50524646,0.43316492,0.5472718,0.45318913,0.46670318,0.5573854,0.49748537,0.4949533,0.5711937,0.47747275,0.5369564,0.5302271,0.46908477,0.4995549,0.37132317,0.4896514,0.5930692,0.60635537,0.54541975,0.4882492,0.5195365,0.53692794,0.56589514,0.45294783,0.40946853,0.4641443,0.58476055,0.42458633,0.45355204,0.39302766,0.52819926,0.4914314,0.5026309,0.46520385,0.50530756,0.4233425
TFRC,0.41965365,0.57159764,0.44286758,0.4353042,0.44288525,0.57908887,0.45715198,0.47436225,0.4960141,0.44904262,0.46738994,0.4463625,0.44710946,0.499469,0.458494,0.44368896,0.51526475,0.5544174,0.5294137,0.4764089,0.5265451,0.5492851,0.41432533,0.49456245,0.39621317,0.4167323,0.39233452,0.5214155,0.4179401,0.4942029,0.43518668,0.5466866,0.54332554,0.51613784,0.49345124,0.45159692,0.5327037,0.44557014,0.44448105,0.5772284,0.4208207,0.4924225,0.48507726,0.46968815,0.38794717,0.48127076,0.47363338,0.48995885,0.42188594,0.43671224,0.47515637,0.3885906,0.49539724,0.4539246,0.468839,0.5524721,0.4635513,0.43109652,0.4735672,0.5402689,0.43037966,0.4542217,0.45474645,0.4724295,0.5352496,0.4764194,0.46224332,0.39296955,0.52227825,0.5369406,0.49131125,0.48747924,0.5332337,0.5211463,0.5766941,0.53424853,0.46646276,0.48937106,0.50818396,0.4658611,0.55781317,0.4200238,0.48690552,0.49013662,0.45275858,0.43914935,0.55133235,0.43948177,0.5575252,0.48734483,0.43671215,0.41896233,0.4321336,0.47265813,0.45005658,0.4931512,0.49596927,0.47793674,0.45221764,0.4075026,0.46286234,0.4459145,0.57009685,0.4676795,0.47605658,0.49912,0.4071121,0.47784647,0.4697175,0.5492773,0.4528062,0.4704532,0.4547119,0.52815324,0.5537213,0.52279174,0.40732685,0.49190897,0.50936157,0.4681485,0.49873993,0.46711573,0.5481916,0.46532214,0.46910274,0.43194902,0.4691797,0.4531413
NUDT15,0.412542,0.60095114,0.4213322,0.4239745,0.43738842,0.613512,0.44541776,0.47444013,0.4843621,0.4318897,0.44408512,0.43523517,0.43510768,0.50221235,0.45351985,0.4375023,0.50929767,0.57787156,0.55209464,0.47712672,0.52728933,0.5606535,0.38556513,0.49407086,0.3786579,0.4022828,0.3565735,0.5407433,0.38712475,0.47652873,0.41383973,0.58447117,0.5649945,0.529721,0.49975562,0.44141757,0.55880547,0.4435773,0.43108577,0.5938185,0.39066613,0.50068986,0.48368728,0.4547389,0.35366645,0.490956,0.46353713,0.4897875,0.39318535,0.42199537,0.4646829,0.35458875,0.50104845,0.43268853,0.45113364,0.56869245,0.47506216,0.39575312,0.46702513,0.54670507,0.40701133,0.44290695,0.44253576,0.44801378,0.53313005,0.47628003,0.4436105,0.36663273,0.5326609,0.55081356,0.48811615,0.50032157,0.52543974,0.53201497,0.6028097,0.5506143,0.47637883,0.48558855,0.52398586,0.44685268,0.5970555,0.40088865,0.494788,0.4878454,0.446787,0.42132255,0.5706201,0.4315769,0.57956016,0.47780368,0.4234753,0.40130782,0.41779166,0.47394395,0.43676177,0.49073958,0.49265417,0.46198362,0.43569922,0.37357524,0.43478474,0.42770383,0.594176,0.4558315,0.4794593,0.49901417,0.3838491,0.4720602,0.43920052,0.5647732,0.43520683,0.47636193,0.43931994,0.52834684,0.5665336,0.5336036,0.39010054,0.48881385,0.49810642,0.4686898,0.49735612,0.47373876,0.56900567,0.4517734,0.46394217,0.42406368,0.45238316,0.44886595
SMOX,0.44974163,0.5235189,0.46634343,0.4573172,0.45844448,0.52707183,0.48887545,0.4738774,0.5218927,0.47324988,0.51168996,0.46815342,0.4702009,0.5036627,0.45793524,0.46461308,0.52766055,0.5232449,0.5036403,0.46854815,0.52398676,0.52643996,0.45588937,0.4896614,0.41852418,0.44037336,0.45864186,0.478581,0.46058697,0.5173229,0.471501,0.49908027,0.5134594,0.49289113,0.4979278,0.45974186,0.49824196,0.46513948,0.465428,0.55967873,0.45380127,0.47763756,0.49487847,0.491193,0.46253577,0.46811324,0.48356962,0.48324966,0.4606293,0.46527126,0.47977176,0.42985463,0.49133846,0.4827038,0.49141487,0.53737545,0.45739502,0.4883783,0.4705324,0.52834874,0.4650109,0.47441673,0.4696567,0.5067634,0.54086894,0.4811206,0.48130164,0.43786028,0.5023935,0.51334554,0.49807328,0.4682627,0.5508737,0.515661,0.5322313,0.50113165,0.45730543,0.4914649,0.48076627,0.50160164,0.49805814,0.45147112,0.4570845,0.49927032,0.46341845,0.4671769,0.5270281,0.4625673,0.5140612,0.5012125,0.4634305,0.44368112,0.4627178,0.46961486,0.47440818,0.49189904,0.4967522,0.4958332,0.48001155,0.45728928,0.5128052,0.48168096,0.53093624,0.48976105,0.47367895,0.506572,0.43806636,0.49672028,0.51708406,0.5319323,0.4849327,0.46808022,0.4895988,0.5189631,0.53443545,0.5051858,0.43506524,0.4881595,0.53826207,0.4778017,0.49931276,0.45559388,0.5147784,0.48673573,0.48524687,0.44780177,0.49350083,0.46280596
