,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
MTAP,0.0,0.0,0.0,0.2579233,0.0,0.0,0.34078234,0.0,0.0,0.19880311,0.4430546,0.25432238,0.0,0.0,0.14631115,0.0,0.21444772,0.0,0.1437256,0.0,0.23092277,0.011893924,0.0,0.0,0.31204298,0.4344667,0.043908622,0.26295266,0.0,0.32613355,0.0,0.054446742,0.0,0.08998517,0.0,0.0,0.018727273,0.2739902,0.31057894,0.0,0.0,0.0,0.109932736,0.0,0.28663987,0.0,0.0,0.0,0.028241947,0.28498998,0.0,0.0,0.0,0.0054007694,0.025230799,0.0,0.0,0.2929851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25382853,0.35077095,0.08031191,0.0,0.0,0.0,0.052328054,0.07346526,0.0,0.082638204,0.0,0.026684217,0.030608155,0.016515553,0.17052118,0.0,0.057656977,0.0,0.0,0.0,0.08092949,0.06121495,0.5330484,0.0,0.0,0.0,0.0,0.23595814,0.0,0.0,0.0,0.31175208,0.039968096,0.0,0.2656509,0.09115831,0.083735436,0.0,0.21056646,0.019679997,0.0,0.0,0.58453953,0.0,0.0,0.0764969,0.0,0.0,0.0,0.0,0.040290054,0.0,0.050036676,0.0,0.0,0.0,0.12252979,0.079892166,0.20575103,0.0,0.17634535,0.17023414,0.0
TAF7,1.2842768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39837646,0.0,0.0,0.0,0.0,0.4087617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8966333,0.0,0.0,0.0,0.0,0.3385654,0.0,0.31560633,0.0,0.0,0.0,0.0,0.0,0.0,0.6833428,0.0,0.0,0.1636588,0.0,0.0,0.0,0.0,0.05404386,0.0,0.0,0.62819254,0.31674796,0.0,0.0,0.0,0.917082,0.0,0.0,0.1410988,0.078333735,0.0,0.0,0.0,0.54321593,0.0,0.0,0.039509892,0.0,0.0,0.0,1.1103984,0.0,0.024758086,0.0,0.67817855,0.8683517,0.0,0.6586262,0.0,0.0,0.65335023,0.0,0.0,0.5240539,0.0,0.68319345,0.29839227,0.0,0.0,0.0,0.0,0.0,0.0,0.44946006,0.0,0.9570608,0.16689265,0.6391765,0.0,0.0,0.76709884,0.2613249,0.0,1.1191944,0.7897029,0.7555145,0.0,0.0,0.5112421,0.0,0.0,0.0,0.16592124,0.518664,0.52326024,0.0,0.5942407,0.0,0.22089589,0.0,0.0,0.0,0.0,0.44578448,0.0,0.0,0.0
P4HA2,0.0,0.0,0.0,0.29443204,0.0,0.0,0.36261827,0.0,0.0,0.26729387,0.397369,0.1950739,0.0,0.0,0.10155133,0.0,0.20988151,0.0,0.068940625,0.0,0.19158398,0.02601133,0.0,0.0,0.3582609,0.445097,0.061721217,0.31322193,0.0,0.31182078,0.0,0.0,0.0,0.0,0.030019477,0.0,0.0062091947,0.18094152,0.32279116,0.0,0.0,0.0,0.06693091,0.0,0.25532448,0.0,0.0,0.0,0.055565994,0.29503164,0.0,0.04341526,0.0,0.0,0.0362968,0.0,0.0,0.22164297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25541228,0.33998647,0.027476676,0.0,0.0,0.0,0.0873358,0.00031829276,0.0,0.07486008,0.0,0.023385387,0.039249852,0.0,0.16290867,0.0,0.07203342,0.0,0.0,0.0,0.05401087,0.0,0.4551256,0.0,0.0,0.0,0.0,0.28200305,0.0,0.033609923,0.0,0.28653485,0.038701702,0.0,0.24729803,0.11167932,0.023563828,0.0,0.27058366,0.064734265,0.033541553,0.0,0.5586442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02017356,0.0,0.0,0.0,0.13459612,0.06740123,0.18497571,0.0,0.20971942,0.14066291,0.0
EYA3,1.1985898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32910895,0.0,0.0,0.0,0.0,0.36809573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.791271,0.0,0.0,0.0,0.0,0.34332103,0.0,0.30042976,0.0,0.0,0.0,0.0,0.0,0.0,0.6156348,0.0,0.0,0.13616243,0.0,0.0,0.0,0.0,0.117051214,0.0,0.0,0.6020803,0.25155368,0.0,0.0,0.0,0.84026855,0.0,0.0,0.16252485,0.06062676,0.0,0.0,0.0,0.54123193,0.0,0.0,0.0007247329,0.0,0.0,0.0,1.0548474,0.0,0.049249455,0.0,0.6522896,0.8591718,0.0,0.690903,0.0,0.0,0.6265442,0.0,0.0,0.5697477,0.0,0.6156222,0.27183434,0.0,0.0,0.0,0.0,0.0,0.0,0.3287183,0.0,0.9183352,0.1307064,0.58081365,0.0,0.0,0.6984217,0.29322344,0.0,1.0213603,0.7597362,0.6441249,0.0,0.0,0.4599445,0.0,0.0,0.0,0.18803269,0.4917868,0.49232253,0.0,0.5369996,0.0,0.18555054,0.0,0.0,0.0,0.0,0.5000861,0.0,0.0,0.0
ZNF202,1.2027396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30226773,0.019747535,0.0,0.0,0.0,0.37207142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6694077,0.0,0.0,0.0,0.0,0.28375334,0.0,0.18080264,0.0,0.0,0.0,0.0,0.0,0.0,0.698207,0.0,0.0,0.15639475,0.0,0.0,0.0,0.0,0.11861974,0.0,0.0,0.5643689,0.1869742,0.0,0.0,0.0,0.91973805,0.0,0.0,0.0,0.07143522,0.0,0.0,0.0,0.4736494,0.0,0.0296279,0.091213256,0.0,0.0,0.0,1.0859967,0.0,0.0,0.0,0.80253077,0.7848202,0.0,0.73202187,0.0,0.0,0.6810832,0.0,0.0,0.39198524,0.0,0.5430935,0.30980706,0.0,0.0,0.0,0.0,0.0,0.0,0.2794227,0.0,1.0049988,0.158616,0.5317365,0.0,0.0,0.5758798,0.22720347,0.0,0.9823076,0.6146277,0.5365896,0.03163003,0.0,0.33201864,0.0,0.0,0.0,0.3103931,0.4690316,0.42027214,0.0,0.45117792,0.0,0.12378371,0.0,0.0,0.0,0.0,0.31727138,0.0,0.0,0.0
PPIL1,0.0,0.0,0.0,0.79033715,0.0,0.0,0.63306904,0.052523047,0.0,0.49954784,0.6585616,0.55130345,0.0,0.0,0.18431143,0.0,0.42798463,0.0,0.0,0.0,0.48010033,0.0,0.0,0.0,0.9226017,1.0149752,0.0,0.7500994,0.05141557,0.5575706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3656902,0.6146187,0.0,0.0,0.0,0.15990868,0.0,0.56516695,0.0,0.0,0.0,0.0,0.5135725,0.0,0.0,0.0,0.0,0.2026788,0.0,0.0,0.4676915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4049742,0.75662696,0.30404824,0.0,0.0,0.0,0.0,0.0,0.0,0.26382554,0.0,0.0,0.006077856,0.0,0.37582955,0.0,0.0,0.0,0.0,0.0,0.26395857,0.0,0.9241035,0.0,0.0,0.0,0.0,0.6189217,0.0,0.0,0.0,0.5922207,0.0,0.0,0.668515,0.17497142,0.0,0.0,0.54540265,0.0,0.0,0.0,1.0358903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27961102,0.15753059,0.4240362,0.0,0.41041657,0.39083964,0.0
HIPK2,0.8515374,0.0,0.0,0.0,0.0,0.0,0.23382123,0.2738744,0.0,0.0,0.0,0.0,0.0,0.43780324,0.79510236,0.0,0.0,0.0,0.39844337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.531834,0.0,0.0,0.0,0.0,0.22274847,0.0,0.14207956,0.0,0.0,0.1426074,0.0,0.0,0.0,0.80161643,0.0,0.0,0.30070806,0.4361479,0.0,0.0,0.0,0.018417805,0.0,0.0,0.45486572,0.5321418,0.0,0.0,0.0,0.8195709,0.039031595,0.0,0.0,0.31743792,0.0,0.0,0.0,0.37351438,0.25495413,0.28602198,0.6727802,0.0,0.0,0.0,0.8769015,0.0,0.0,0.0,0.61728626,0.468199,0.11981717,0.36098447,0.0,0.0,0.6027234,0.0,0.0,0.12764408,0.0,0.59887785,0.59278345,0.0,0.0,0.0,0.0,0.0,0.0,0.108264714,0.0,1.104703,0.88928455,0.40571088,0.0,0.0,0.18330131,0.23411441,0.0,0.64165324,0.0,0.20671673,0.36750355,0.0,0.0,0.0,0.0,0.0,0.59364104,0.14916803,0.6378973,0.0,0.5037654,0.0,0.70012015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFRC,0.0,0.0,0.0,0.2910341,0.0,0.0,0.4956442,0.0,0.0,0.25527948,0.43483707,0.2688655,0.0,0.0,0.15735446,0.0,0.23085281,0.0,0.12441942,0.0,0.24098478,0.0,0.0,0.0,0.4385127,0.5623171,0.07211277,0.33147642,0.0,0.3713808,0.0,0.0,0.0,0.041763075,0.0,0.0,0.0,0.30194274,0.36639255,0.0,0.0,0.0,0.118329406,0.0,0.25105214,0.0,0.0,0.0,0.07762623,0.3054806,0.0,0.0,0.0,0.0,0.029237915,0.0,0.0065972097,0.2773205,0.0,0.0117764175,0.0,0.0,0.0,0.0,0.0,0.31575063,0.43051597,0.067275,0.0,0.0,0.0,0.012997445,0.006857902,0.0,0.11885889,0.0,0.051101513,0.020177484,0.0,0.13777374,0.0,0.09697063,0.0,0.0,0.0,0.11151844,0.019641053,0.5651541,0.0,0.0,0.0,0.0,0.31122652,0.0,0.009545159,0.0,0.31157127,0.0,0.0,0.33377457,0.089860246,0.09665479,0.0,0.33556873,0.114658356,0.0,0.0,0.67182416,0.0,0.0,0.036868412,0.0,0.0,0.0,0.0,0.041109677,0.0,0.090076104,0.0,0.0,0.0,0.09508286,0.10998398,0.24391693,0.0,0.19425502,0.23565443,0.0
NUDT15,0.0,0.0,0.0,0.58953226,0.0,0.0,0.5330384,0.0,0.0,0.33565748,0.5461854,0.42949775,0.0,0.0,0.20040895,0.0,0.26308414,0.0,0.0,0.0,0.3022721,0.033724345,0.0,0.0,0.666786,0.80145127,0.0,0.54696214,0.02973374,0.5053973,0.0,0.0,0.0,0.03189069,0.0,0.0,0.0,0.34491652,0.44495445,0.0,0.0,0.0,0.17221598,0.0,0.45808882,0.0,0.0,0.0,0.0,0.46481904,0.0,0.0,0.0,0.0,0.13203517,0.0018679909,0.0,0.47492468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3759314,0.5571776,0.24436373,0.0,0.0,0.0,0.0,0.0,0.0,0.20488505,0.0,0.0,0.0,0.0,0.2667296,0.0,0.0,0.0,0.0,0.0,0.24150147,0.0,0.73221076,0.0,0.0,0.0,0.0,0.52816045,0.0,0.0,0.0,0.4893207,0.0,0.0,0.5284335,0.10045296,0.0,0.0,0.43885714,0.021274868,0.0,0.0,0.82116747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22317274,0.16932335,0.35576832,0.0,0.2724035,0.30828974,0.0
SMOX,0.0,0.0,0.0,0.0,0.0,0.0,0.17085877,0.0,0.0,0.02318095,0.23182048,0.019422285,0.15336742,0.0,0.10640944,0.0,0.08021192,0.0,0.23854694,0.0,0.046125766,0.012487896,0.0,0.0,0.004355293,0.082383215,0.10156895,0.0,0.0,0.20994943,0.0,0.10473798,0.0,0.14173138,0.032136172,0.0,0.1405687,0.16414824,0.112816796,0.0,0.0,0.0,0.072756134,0.0,0.105783604,0.0,0.0,0.0,0.12053707,0.09329754,0.0,0.0650242,0.0,0.11104698,0.0,0.0,0.06399012,0.19591296,0.0,0.009983771,0.057362676,0.0,0.0,0.0,0.0,0.18689567,0.095945135,0.0,0.0,0.0,0.0,0.19350502,0.061016183,0.0,0.0,0.0,0.075263016,0.06997755,0.030120388,0.0,0.0,0.14672494,0.0,0.0,0.0,0.0,0.07703331,0.27079663,0.0,0.0,0.0,0.0,0.05022149,0.0,0.052583784,0.0,0.1215318,0.14372274,0.0,0.003786208,0.040866196,0.23119995,0.015762053,0.004172094,0.04291335,0.0,0.0,0.26808208,0.0,0.03353548,0.13549325,0.0,0.0,0.06315207,0.0,0.10859725,0.0,0.1759279,0.0,0.0,0.0,0.0,0.04345183,0.096489504,0.0,0.063209936,0.034947373,0.0
