,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
MTAP,0.03553607,-0.021967761,0.024928063,0.03462647,0.016128842,-0.027725618,-0.06308405,-0.04471413,-0.03232328,0.018758643,-0.0070332475,0.030072287,-0.026753105,0.045078628,-0.018464379,0.038000237,0.037100837,0.017882515,-0.031232506,0.03538333,0.02377346,0.038403153,-0.03345044,-0.044884376,0.038020846,-0.044499516,-0.028127745,-0.041902665,0.053593352,-0.019924272,-0.032750033,0.031424593,-0.025245026,0.022543937,0.036774084,-0.018821795,-0.024810102,0.03352324,-0.036573503,0.026297197,-0.026281446,-0.043023273,0.027906539,0.016961869,0.018443823,0.004297469,0.02461046,0.050319806,0.03152859,-0.04655696,0.015422918,-0.037782367,0.044107515,0.027162902,0.045414675,0.03253755,0.043605067,-0.0036347806,-0.015879385,-0.028772825,0.0070382357,0.021842606,0.04281647,-0.03193521
TAF7,-0.1484001,0.21187454,-0.1917114,-0.20745955,-0.15163544,0.23113649,0.24023607,0.24270749,0.25334716,-0.22295244,-0.18929893,-0.19372901,0.1578801,-0.25501442,0.16205063,-0.2725798,-0.26129872,-0.23503692,0.23922849,-0.1961666,-0.16442305,-0.18849657,0.20781966,0.20702577,-0.19827738,0.22461362,0.21362427,0.170458,-0.27467102,0.21020882,0.238774,-0.18451612,0.16056742,-0.24199927,-0.19215351,0.19800124,0.08786551,-0.24418479,0.17485198,-0.21610638,0.17262879,0.25227395,0.16149226,-0.14779696,-0.18899432,-0.070548415,-0.22371611,-0.1894032,-0.1779085,0.2322455,-0.17387454,0.22466928,-0.23369144,-0.21987334,-0.17529902,-0.21405357,-0.23032513,0.02441942,0.18169689,0.25980875,-0.062189303,-0.22053376,-0.31327024,0.18895832
P4HA2,0.037983656,-0.025158703,0.02807501,0.02502957,0.008839171,-0.03148744,-0.06228505,-0.039683953,-0.032151878,0.009794693,-0.007161148,0.028498344,-0.022521794,0.048968963,-0.02737866,0.039267365,0.03689223,0.024122048,-0.033008195,0.03459344,0.027079139,0.039437566,-0.027894035,-0.03725812,0.038831845,-0.046660483,-0.025960587,-0.03916026,0.047276124,-0.013153199,-0.03652724,0.03209244,-0.032102514,0.027005143,0.03154546,-0.015916042,-0.028021399,0.03147494,-0.039537895,0.023913192,-0.021681324,-0.043992,0.0302436,0.01994991,0.02273349,-0.00058265403,0.0221868,0.04925139,0.03235357,-0.04563647,0.022926308,-0.035300914,0.046869174,0.02906758,0.041331217,0.03013055,0.03794055,0.0012179613,-0.012557305,-0.027985165,0.0037392452,0.025780968,0.0416818,-0.03345223
EYA3,-0.13202345,0.2047387,-0.18089724,-0.1993435,-0.14954215,0.2201608,0.23477337,0.22805977,0.24487728,-0.22091316,-0.18670285,-0.18487632,0.14579204,-0.24064414,0.15762083,-0.26451072,-0.2529665,-0.22443497,0.23389062,-0.19383992,-0.15665162,-0.17612483,0.20030947,0.19829285,-0.1977837,0.21620959,0.20267192,0.16018303,-0.26914653,0.20928249,0.217092,-0.1738442,0.15177108,-0.23595679,-0.19015265,0.18717718,0.08326808,-0.23913044,0.16257335,-0.21004236,0.1662535,0.23511162,0.16351122,-0.14196265,-0.17813842,-0.07260539,-0.22198951,-0.1794802,-0.17134975,0.22659805,-0.16474396,0.21263307,-0.22751419,-0.21146524,-0.17517611,-0.20437503,-0.22630957,0.022036593,0.1806085,0.2503391,-0.065129876,-0.21284235,-0.30005637,0.18322903
ZNF202,-0.1343619,0.17819086,-0.18811443,-0.18166688,-0.15207708,0.21374449,0.2158522,0.22406423,0.22718275,-0.20933086,-0.16732615,-0.17730412,0.15211147,-0.24014126,0.16174428,-0.24411319,-0.23398843,-0.20226538,0.21148834,-0.18113416,-0.1321654,-0.17423958,0.17610762,0.18481012,-0.17769982,0.20730549,0.19393778,0.15185037,-0.25874782,0.18188317,0.21334761,-0.18530634,0.15410113,-0.21679416,-0.18834758,0.18706675,0.07954454,-0.22938174,0.15409982,-0.20745455,0.15715787,0.23169532,0.14569719,-0.1301829,-0.1627463,-0.08528933,-0.21727183,-0.17719883,-0.16037913,0.22318572,-0.15057668,0.20761035,-0.20882347,-0.20261326,-0.16718769,-0.19341528,-0.21211822,0.0138048865,0.16265668,0.23918596,-0.083351254,-0.2045944,-0.27443662,0.16863039
PPIL1,0.12404998,-0.16117153,0.19637907,0.1705573,0.13822389,-0.19035111,-0.16227233,-0.18092307,-0.112935595,0.10458177,0.10832933,0.16816002,-0.105242334,0.23842849,-0.15487276,0.16875204,0.18087423,0.16166002,-0.23035777,0.19371311,0.039430268,0.14223062,-0.18224816,-0.19047374,0.15631531,-0.17827734,-0.19231248,-0.13581775,0.24251291,-0.08557308,-0.18417925,0.17147566,-0.124596864,0.20521575,0.156861,-0.16299218,-0.13123037,0.2009598,-0.16494542,0.18772553,-0.16808885,-0.18168452,-0.0006758459,0.124035865,0.124680415,0.053626183,0.16383362,0.110433504,0.16600364,-0.24217519,0.13689306,-0.15263377,0.19074446,0.19466905,0.18979326,0.18073004,0.20024928,0.03214215,-0.15078165,-0.1939216,0.12688974,0.1649659,0.18870427,-0.11303711
HIPK2,-0.2432046,0.09141561,-0.22758192,-0.1719672,-0.16250001,0.14727318,0.09876633,0.13846987,0.11809185,-0.061271273,-0.0542339,-0.12800947,0.20639378,-0.24887104,0.15516606,-0.1667139,-0.1738384,-0.17164856,0.18812156,-0.1224069,-0.07009231,-0.19698432,0.04570038,0.14113367,-0.0828118,0.15265915,0.19489521,0.15026052,-0.16426025,-0.012089994,0.20669097,-0.2023737,0.20041464,-0.13492066,-0.07698779,0.19164027,0.0934406,-0.14736553,0.16142775,-0.18935484,0.11604328,0.24157026,0.02578926,-0.045652874,-0.08439085,-0.10851461,-0.11266662,-0.14110446,-0.11245683,0.18955864,-0.0896625,0.13307698,-0.12520595,-0.19320568,-0.10096892,-0.1438201,-0.10927593,-0.093610875,-0.014158189,0.20298018,-0.13763702,-0.18696076,-0.12413117,0.10929474
TFRC,0.042659607,-0.039592363,0.05293452,0.048576623,0.035721336,-0.04808942,-0.07430657,-0.053494632,-0.041005522,0.03150012,0.011176825,0.04840038,-0.0298885,0.07208677,-0.044723663,0.057606522,0.05018087,0.04277272,-0.061692752,0.056218848,0.024620686,0.054893553,-0.055456996,-0.05095934,0.048174333,-0.057154886,-0.0537126,-0.049909465,0.07113705,-0.019919988,-0.050926752,0.043409828,-0.039357793,0.055209704,0.04406444,-0.038996078,-0.035568126,0.054141365,-0.05245677,0.03894633,-0.04320001,-0.058190707,0.021602444,0.03283072,0.039154153,0.0066775642,0.045795828,0.05977033,0.05409077,-0.078357145,0.035721533,-0.05755877,0.06764433,0.04745661,0.060084537,0.047585487,0.06382643,0.008729028,-0.024674177,-0.052510142,0.017457299,0.045817055,0.057147197,-0.03982582
NUDT15,0.08739537,-0.10649977,0.13508937,0.109708525,0.09582314,-0.12494378,-0.12894711,-0.12150461,-0.082288265,0.07277942,0.0608828,0.11847351,-0.068772845,0.15871112,-0.106100395,0.118383065,0.1265681,0.106294855,-0.14837015,0.12920102,0.03357003,0.10091813,-0.12499176,-0.13019362,0.107161365,-0.12322636,-0.12186318,-0.10543348,0.16674146,-0.069754735,-0.1213742,0.113781184,-0.08474974,0.13479993,0.10445473,-0.10301541,-0.089597344,0.13514242,-0.109408766,0.12331666,-0.10360093,-0.12277185,0.009967431,0.0807924,0.08578257,0.02841365,0.11203736,0.08887551,0.12165409,-0.1648642,0.08881714,-0.10678001,0.13749333,0.12234628,0.12959245,0.12046618,0.13987434,0.02540301,-0.08920385,-0.12775056,0.07326852,0.10712219,0.12746747,-0.07642903
SMOX,-0.039893024,0.056706555,-0.08359318,-0.047922887,-0.059981912,0.060975723,0.007406123,0.04166947,0.024320703,-0.033570822,-0.08352613,-0.057109475,0.033775218,-0.07127456,0.06108287,-0.043644138,-0.04944204,-0.06933977,0.100896716,-0.06638696,0.015777878,-0.037692215,0.052304998,0.06408712,-0.03588696,0.04163087,0.07646464,0.023684377,-0.056245618,0.008192569,0.05509665,-0.06442332,0.04603012,-0.083076105,-0.03575746,0.067501076,0.048178963,-0.07300791,0.057697617,-0.07637845,0.06106002,0.04730182,0.05032126,-0.030932471,-0.038249433,-0.03815426,-0.059655465,0.0028160028,-0.050227303,0.068544656,-0.06409781,0.034728043,-0.048849154,-0.08031237,-0.039343137,-0.07160361,-0.057159994,-0.026155964,0.05515323,0.0718013,-0.059625097,-0.06437535,-0.052003417,0.026727961
