,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
CNOT6L,0.4473053,0.4785923,0.43025342,0.46763298,0.40568253,0.5045265,0.5039551,0.45148152,0.5421889,0.53626585,0.4982161,0.50366586,0.46935782,0.48410735,0.5018738,0.4522999,0.49317253,0.52106506,0.50303406,0.42142466,0.46085116,0.529228,0.4838117,0.4611354,0.55795985,0.53365123,0.48365292,0.4714058,0.41096503,0.49144152,0.4729302,0.47445816,0.49537823,0.47942364,0.5149477,0.49513435,0.48238024,0.46154153,0.4952838,0.48664677,0.5045594,0.48836052,0.49941167,0.47836727,0.47636217,0.4489567,0.47405726,0.5096596,0.53470683,0.48407772,0.52958894,0.46521223,0.53141373,0.47627443,0.4789803,0.3938234,0.3972674,0.50751996,0.480597,0.42842093,0.4912265,0.48308846,0.54814184,0.4939282,0.45756766,0.50208807,0.47596484,0.43297035,0.4382357,0.50341797,0.5138792,0.5083743,0.5045308,0.6121176,0.4343677,0.46932268,0.45561662,0.5081911,0.45313495,0.5031356,0.4172634,0.49995482,0.4089036,0.5091437,0.49366218,0.46335518,0.46051127,0.46703556,0.47731882,0.47301665,0.47113407,0.4685525,0.4965977,0.47539407,0.478784,0.52852476,0.52075815,0.47496083,0.47957385,0.50692457,0.48156312,0.46375826,0.47602227,0.51024735,0.37719768,0.48301536,0.50759333,0.4982785,0.5431093,0.49855414,0.521104,0.4831824,0.48356083,0.5299589,0.46190333,0.4893105,0.4041261,0.50703436,0.4953261,0.5122238,0.5394495,0.50800484,0.51050663,0.506142,0.5061096,0.5002813,0.45134276,0.5106966
OST4,0.4600378,0.50931567,0.45283133,0.49581015,0.45909527,0.496275,0.50661314,0.44845274,0.5498302,0.52833015,0.510916,0.5081882,0.5275509,0.49033046,0.5103766,0.49720746,0.5205236,0.49140203,0.52275634,0.44223332,0.49119958,0.5101891,0.4859002,0.46950153,0.53085446,0.52153474,0.47341046,0.47770843,0.4367751,0.5135492,0.4584537,0.49041063,0.49889138,0.47134632,0.50886863,0.49334398,0.47536513,0.49530065,0.50664854,0.4748177,0.5024549,0.4656692,0.50590384,0.48256862,0.49669546,0.43722388,0.47178403,0.52452135,0.50830793,0.49267894,0.52382946,0.46241236,0.5266005,0.50431556,0.512175,0.41092873,0.41338062,0.5132796,0.465976,0.4598352,0.5231882,0.50028086,0.5255316,0.48749095,0.453043,0.5235519,0.48557606,0.4585778,0.49688405,0.51047045,0.51635313,0.49944666,0.4917698,0.5788063,0.428506,0.51105356,0.48293555,0.5047817,0.47362658,0.53145957,0.4278588,0.50280994,0.46849462,0.5080183,0.4924892,0.50238395,0.48730633,0.4859836,0.4995792,0.54709476,0.49871963,0.49317795,0.5023403,0.46243438,0.46727097,0.52063125,0.494749,0.48104438,0.49704486,0.53413457,0.47987255,0.46962106,0.481993,0.5046102,0.44955623,0.49625635,0.51452005,0.4925785,0.5369438,0.5064631,0.5204321,0.4923611,0.49548343,0.52629906,0.46441987,0.4778042,0.42080307,0.48447123,0.51963514,0.5121883,0.5262858,0.5140383,0.4929452,0.49330756,0.50749636,0.5084191,0.4632656,0.49107695
XBP1,0.4897736,0.53699446,0.44030485,0.5345352,0.43066737,0.4976981,0.5652268,0.5014814,0.5479139,0.5674827,0.48042375,0.48123232,0.51353866,0.47274178,0.5294319,0.48718077,0.49764088,0.4750822,0.5330016,0.41690528,0.488357,0.5387704,0.48898888,0.45934737,0.559971,0.50996894,0.4860814,0.4659995,0.4036459,0.45055428,0.48679832,0.48727882,0.4664958,0.47319543,0.54520535,0.48299968,0.4604651,0.47040772,0.5236953,0.43942392,0.5279076,0.4252722,0.54490334,0.46405792,0.45751914,0.40171224,0.43279636,0.4980374,0.4825171,0.47003773,0.53539383,0.49313852,0.5363233,0.4399006,0.50120765,0.42631486,0.36389565,0.5072197,0.46325967,0.4536306,0.5103795,0.5096525,0.5722637,0.48525563,0.46078706,0.50099504,0.48884103,0.44662595,0.47387278,0.5337921,0.5176826,0.51114434,0.5264136,0.65400356,0.38386637,0.5224763,0.48029622,0.53044856,0.464845,0.5357036,0.43701997,0.49129233,0.47389615,0.5648123,0.51717913,0.495512,0.4503293,0.46739134,0.45803097,0.54401577,0.4932146,0.44951496,0.5193221,0.43650958,0.4675084,0.4910685,0.53532934,0.4735459,0.4690097,0.5719709,0.487672,0.44639212,0.44246933,0.5239759,0.39121512,0.48132282,0.51743674,0.5071468,0.55013436,0.57163155,0.54170907,0.50067765,0.47206795,0.5656654,0.46207085,0.47761118,0.4002344,0.4753861,0.5169926,0.500598,0.5316526,0.5209022,0.4900012,0.53298557,0.52723914,0.54184985,0.41718763,0.51629925
DYNLT1B,0.47044244,0.52822167,0.44384742,0.51921564,0.46870247,0.49739462,0.5340488,0.44707268,0.551356,0.54408014,0.51889986,0.4984771,0.54794633,0.4784722,0.51454055,0.50856423,0.533292,0.47108802,0.53515726,0.43255678,0.5127851,0.51302224,0.4911638,0.4637376,0.52931917,0.51930285,0.47112635,0.47194442,0.43995574,0.5038334,0.45826176,0.4957378,0.49491394,0.47182268,0.516147,0.49469638,0.4707167,0.48895204,0.5260513,0.46072146,0.51659,0.4487217,0.5200652,0.48119086,0.4966939,0.41303623,0.46959347,0.53176636,0.49703968,0.4852787,0.53522485,0.46541974,0.5402806,0.5112096,0.53217447,0.4218756,0.40384412,0.52136713,0.4697716,0.4649219,0.53224695,0.5120975,0.5451043,0.47590944,0.4518336,0.5401377,0.488023,0.46235865,0.51996875,0.52262205,0.5142158,0.5043992,0.4961035,0.5990226,0.39242864,0.53089136,0.49648127,0.5125292,0.48084816,0.5409173,0.43304196,0.4954715,0.49175784,0.5320042,0.49993843,0.5148316,0.49379247,0.49175918,0.49945134,0.5919426,0.5049933,0.4858044,0.5107457,0.44770885,0.453276,0.5156727,0.49369997,0.4815358,0.50383586,0.57335484,0.48035598,0.44874033,0.46332622,0.5096092,0.4598992,0.49784538,0.5261136,0.48974884,0.5435238,0.5316507,0.53205913,0.5116187,0.48594776,0.5371294,0.4606428,0.47731552,0.4097665,0.47637618,0.5334433,0.5059048,0.5257536,0.51547813,0.48531625,0.50044864,0.5159208,0.5186424,0.450832,0.49069145
MBD2,0.4309363,0.45247522,0.42783505,0.45516345,0.38925266,0.5051036,0.50995713,0.41524392,0.5528747,0.53369963,0.51452845,0.5143573,0.4422281,0.47691056,0.48514834,0.42959347,0.48741862,0.54059136,0.49504682,0.40195948,0.44868127,0.5389832,0.47320473,0.45853388,0.5700589,0.55835235,0.48250723,0.47000396,0.40023947,0.5171605,0.46555364,0.4654732,0.50194603,0.47707582,0.50703615,0.49763077,0.49907106,0.44709703,0.4825443,0.49312022,0.5092951,0.5134531,0.49011567,0.49320674,0.47753167,0.45914733,0.5011614,0.53004944,0.5782614,0.4834392,0.54518783,0.45119235,0.5420115,0.49410778,0.46524462,0.38321555,0.39343154,0.50650203,0.49339274,0.4072283,0.48306304,0.45606676,0.56909657,0.49198776,0.44157457,0.52514064,0.4538565,0.42408022,0.41376495,0.4892101,0.50151145,0.5237851,0.5080445,0.61615175,0.43141663,0.4367439,0.4315624,0.5115676,0.44886604,0.49638978,0.4017474,0.5056626,0.3892849,0.4950809,0.48267546,0.44269162,0.46178597,0.45370358,0.4727902,0.4370098,0.44603845,0.4550099,0.48879603,0.4959308,0.4796696,0.54789275,0.52539986,0.46390513,0.47974926,0.4944788,0.48912334,0.46245918,0.4711203,0.52196383,0.35286838,0.48573333,0.5141469,0.5060608,0.53335845,0.47447103,0.52799344,0.47527578,0.4736037,0.528514,0.44941953,0.4927941,0.39113528,0.52552664,0.50349104,0.50332963,0.547393,0.4883283,0.5166091,0.49340004,0.509705,0.47975585,0.4532469,0.5037853
SMARCA5,0.4477678,0.47907975,0.44259018,0.46501517,0.42845583,0.4951042,0.48787746,0.4437036,0.53875685,0.52394706,0.5042826,0.5142274,0.48266023,0.48992193,0.48785222,0.46232826,0.50774956,0.5217686,0.50106734,0.43998802,0.47045228,0.52164114,0.48970354,0.46753863,0.5485034,0.52699673,0.47383446,0.46897277,0.42555204,0.5097782,0.47026107,0.47793925,0.50363445,0.47082326,0.5077865,0.5034331,0.49181113,0.4796695,0.4905705,0.4839271,0.5079836,0.4889903,0.4879818,0.4841948,0.479005,0.4555944,0.48373756,0.5077099,0.5376868,0.49463058,0.5256996,0.45716706,0.52561504,0.4793575,0.48032174,0.40046197,0.41810912,0.5099178,0.47521606,0.43947512,0.5009256,0.49040094,0.5438535,0.49734497,0.46755984,0.5040575,0.47728878,0.4509623,0.44936788,0.5029342,0.508426,0.50194204,0.4982992,0.5907391,0.44602406,0.47905022,0.45001602,0.5039839,0.45721272,0.49906263,0.42249587,0.50462264,0.41724238,0.50364923,0.4957002,0.47613087,0.46587974,0.48173988,0.48977846,0.476801,0.47436458,0.47918862,0.49988893,0.4884371,0.4819489,0.53592384,0.5089557,0.4779324,0.48395216,0.50100565,0.4826779,0.4653853,0.4828575,0.5015935,0.4002606,0.4910926,0.49608895,0.49336326,0.5462722,0.48570144,0.51875675,0.48637158,0.4831342,0.5233861,0.4662695,0.49091786,0.41895717,0.50374466,0.4899453,0.5242053,0.53400993,0.51082176,0.5144065,0.49789745,0.49863112,0.49193203,0.4658641,0.50167745
H2-K1,0.42708948,0.4624193,0.44339103,0.47404203,0.442103,0.49244374,0.4812813,0.37632847,0.5701025,0.5175848,0.53345054,0.52770823,0.5007753,0.4870003,0.49981898,0.45557043,0.51189417,0.51845974,0.5164133,0.41902193,0.47799274,0.49701694,0.4883734,0.47232425,0.5340038,0.5424787,0.48943645,0.48337936,0.43393582,0.55698866,0.44216213,0.46805143,0.51829803,0.4667912,0.51300746,0.5122948,0.5055692,0.48145416,0.49000168,0.49192458,0.5176566,0.5014715,0.47124934,0.5116029,0.4997997,0.45010176,0.5074228,0.55670404,0.56642723,0.49387965,0.5539792,0.42557892,0.5529231,0.52232313,0.4987851,0.37142134,0.41730472,0.50950015,0.48198706,0.4252523,0.5227446,0.4658676,0.5551779,0.48238292,0.44275305,0.56040394,0.45661405,0.44140026,0.47492588,0.48910382,0.50113827,0.50782293,0.4929773,0.56351405,0.43038163,0.46005926,0.45459485,0.49452174,0.4757778,0.5208589,0.39417353,0.5222389,0.42536807,0.48864058,0.48574042,0.47682703,0.48311767,0.47507444,0.49261698,0.5069826,0.4783359,0.46834293,0.47958976,0.48737937,0.46943447,0.55879563,0.50081724,0.48216087,0.50283486,0.51923114,0.47063038,0.45961156,0.48623434,0.5218681,0.40902266,0.50127417,0.5301593,0.48258805,0.5231346,0.4561767,0.5384034,0.50158966,0.48065135,0.51066226,0.4555337,0.46014294,0.4058897,0.49675846,0.52768856,0.49883875,0.54241014,0.48945564,0.5063716,0.46731886,0.49853227,0.46348143,0.47705013,0.47057235
HNRNPAB,0.44920948,0.47088122,0.42751402,0.46301082,0.40609026,0.49798983,0.49125203,0.4397053,0.54117036,0.54048634,0.50897366,0.51992965,0.48162672,0.47576416,0.4821303,0.4416705,0.5062568,0.5337058,0.49164632,0.4239649,0.45823973,0.5283725,0.49894723,0.4604455,0.567871,0.5444458,0.47529566,0.45314717,0.41628686,0.50202024,0.46681944,0.46682176,0.4999771,0.48402765,0.5184607,0.49902463,0.5077528,0.46761608,0.4879146,0.47845522,0.52356523,0.5016844,0.4842849,0.47728795,0.4612358,0.45172158,0.4930845,0.51646864,0.55636233,0.4891671,0.53401613,0.45761243,0.5340479,0.47354943,0.47723147,0.38396034,0.39958736,0.5096884,0.48499817,0.42685825,0.49470362,0.48152375,0.5671976,0.5041773,0.4736773,0.50754076,0.46401218,0.4254646,0.42829272,0.4926591,0.5081574,0.50647396,0.49937904,0.6196034,0.44999632,0.47112614,0.43143454,0.502791,0.44275847,0.48796067,0.4017425,0.5004858,0.39472824,0.5116324,0.49665776,0.45985386,0.45419866,0.49017972,0.48493505,0.4537121,0.45689666,0.48333207,0.50364375,0.493492,0.49182993,0.55033106,0.51565933,0.47514668,0.47845244,0.48846114,0.48509085,0.44869596,0.48629478,0.5061491,0.36415878,0.49114877,0.49782145,0.5029428,0.5627009,0.4917094,0.51988137,0.489785,0.46994072,0.5332957,0.45695966,0.49930656,0.39867404,0.5149066,0.4814394,0.5360813,0.54575,0.5099494,0.52755535,0.5015818,0.5017747,0.4944673,0.4509493,0.51309454
PYCARD,0.4990441,0.55777514,0.4543322,0.5427146,0.4815648,0.48698926,0.5662652,0.49758098,0.54623485,0.56313634,0.5106267,0.48613536,0.5655767,0.47607845,0.5171268,0.53036517,0.52427024,0.4574328,0.54882246,0.42898598,0.52220666,0.5329356,0.48281503,0.45763215,0.5309613,0.51348597,0.46279988,0.46897817,0.42952377,0.4792522,0.47422642,0.5102702,0.46173593,0.46671528,0.51025915,0.4762231,0.44908866,0.49587315,0.5308855,0.43445945,0.51429206,0.4143457,0.5574337,0.465599,0.49457598,0.38750792,0.44214955,0.5185452,0.46921432,0.47644266,0.5294885,0.4811295,0.53213274,0.49231508,0.5238414,0.44353503,0.38108286,0.51516706,0.45616278,0.48541206,0.5366901,0.5313799,0.54898256,0.4913676,0.46275112,0.5418948,0.49079219,0.4697726,0.53733623,0.5332653,0.5181467,0.50426805,0.50459146,0.620848,0.36925945,0.56488603,0.5076082,0.52764237,0.4766441,0.5676856,0.4552648,0.48528638,0.52300656,0.5565472,0.49768788,0.5283364,0.4768382,0.49167415,0.48394302,0.625129,0.5025584,0.4772961,0.5387028,0.4226257,0.4583319,0.4872478,0.501768,0.47994262,0.4957919,0.59595656,0.49752283,0.45169312,0.45376146,0.5160435,0.46821713,0.49148864,0.52479106,0.50888693,0.5530858,0.56881905,0.539948,0.49595413,0.4849103,0.55681306,0.45409158,0.4778962,0.40878442,0.46064055,0.5398998,0.5077748,0.5214316,0.52570206,0.4689584,0.5045679,0.5324958,0.5454971,0.43125108,0.5012987
PCNA,0.4155855,0.44839013,0.4427981,0.47095463,0.44289142,0.48812565,0.47386572,0.36988607,0.5753074,0.51424056,0.54363436,0.5346687,0.4896752,0.48558602,0.49661922,0.44642887,0.49982798,0.53078747,0.51516706,0.41599205,0.47424597,0.4964597,0.49254033,0.4723094,0.5383702,0.5462636,0.49097568,0.4875252,0.43537912,0.56541306,0.43319902,0.46016675,0.5192643,0.4657989,0.50786227,0.5194329,0.50755817,0.47949445,0.48301175,0.48867878,0.5165038,0.50788987,0.46460024,0.5209292,0.5017254,0.45174995,0.5100942,0.5606733,0.58081657,0.49821585,0.56134146,0.41886276,0.5597759,0.51933074,0.49398935,0.36400306,0.41514185,0.511239,0.48204562,0.41505662,0.5254848,0.4566718,0.5572376,0.48276013,0.44207516,0.56591976,0.44320452,0.43324003,0.4696392,0.48417222,0.49579006,0.5177721,0.49427733,0.5662344,0.43056786,0.4538462,0.4455654,0.49091625,0.47848684,0.5228131,0.38385987,0.52907306,0.41708288,0.48392713,0.48325065,0.47749993,0.47781014,0.47090715,0.48825115,0.49898064,0.47287375,0.46189144,0.47908938,0.49244076,0.47089002,0.5675088,0.5037319,0.48195744,0.5024356,0.513561,0.46833697,0.45676252,0.48878676,0.53033626,0.39561957,0.5040798,0.5340785,0.47949457,0.5216765,0.44379634,0.5440121,0.50317967,0.47452384,0.50078934,0.45305124,0.45432344,0.4008977,0.49564576,0.5327637,0.49387214,0.5485173,0.47990584,0.50810647,0.4558803,0.50095844,0.45203194,0.48097092,0.46911147
