,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
CNOT6L,0.0,0.123639524,0.0,0.0,0.0,0.07025796,0.06301476,0.044946022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07762736,0.0,0.0,0.20249692,0.0,0.27572113,0.0,0.0,0.0,0.0,0.13941142,0.0,0.0,0.22772041,0.0,0.19410248,0.0,0.0,0.0,0.0,0.02330909,0.0,0.11480303,0.14522964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22904153,0.0,0.19923718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33771807,0.149592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25713265,0.067210756,0.0,0.056971297,0.15639816,0.033917874,0.0,0.0,0.0,0.0,0.20081314,0.018093191,0.0,0.0,0.0,0.0,0.0,0.0,0.118074946,0.030399255,0.05502042,0.24123625,0.0,0.15041113,0.0,0.06801002,0.08138228,0.17316696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3441708,0.0,0.0,0.0,0.025635839,0.0,0.0060946494,0.0049444847,0.059966937,0.0,0.0,0.0,0.13371532,0.0,0.092507794,0.07311778,0.0,0.0,0.25230706
OST4,0.07034304,0.1263697,0.0,0.07253233,0.0,0.048224587,0.061990123,0.0,0.032266274,0.053871844,0.16223623,0.117961034,0.0,0.0,0.09433378,0.0,0.009280411,0.0,0.07131054,0.0,0.0,0.0,0.0,0.014669594,0.0,0.0,0.0,0.0,0.002655942,0.0,0.0,0.11343385,0.0,0.03157407,0.0078060944,0.0,0.0,0.0,0.14974797,0.0,0.13083556,0.009958856,0.0,0.0,0.0,0.0,0.0,0.08577004,0.0,0.0,0.028012926,0.00010834634,0.02574531,0.0,0.07987607,0.0,0.060279127,0.0,0.03868059,0.0,0.0,0.0,0.0,0.015900731,0.0,0.0,0.09286027,0.0,0.0,0.028323654,0.04823803,0.083390236,0.0,0.0,0.0,0.0,0.0,0.0,0.19305949,0.07982666,0.0,0.0,0.0,0.008726858,0.0,0.0,0.09227124,0.041363977,0.0,0.0,0.03518276,0.0,0.043185756,0.0,0.110304505,0.02391591,0.0,0.06389715,0.17950767,0.025753258,0.0,0.0,0.0,0.11825851,0.0,0.04770586,0.09206387,0.029340565,0.0,0.07889662,0.01880065,0.10403393,0.039212402,0.0,0.0,0.052928362,0.0,0.0,0.09027177,0.0,0.0,0.01784591,0.028474364,0.07171966,0.0070872754,0.0,0.01844142,0.0
XBP1,0.0,0.4531071,0.0,0.0,0.0,0.0,0.0,0.0,0.01617299,0.17838342,0.0,0.0,0.0,0.0,0.05578521,0.0,0.0,0.0,0.41480514,0.0,0.0,0.0048120576,0.0,0.4060346,0.0,0.040001336,0.0,0.0,0.26935256,0.0,0.0,0.24635792,0.05374919,0.5950358,0.0,0.0,0.0,0.0,0.42530835,0.0,0.29524457,0.23481786,0.0,0.0,0.0,0.0,0.0,0.3072316,0.0,0.37903163,0.0,0.0,0.0,0.0,0.41044205,0.0,0.0,0.062077742,0.02053307,0.0,0.0,0.111414105,0.41129816,0.0,0.0,0.0,0.23747738,0.0,0.0,0.0,0.0,0.12131645,0.0,0.24273326,0.2702846,0.0,0.16523793,0.033190086,0.39548126,0.0,0.0,0.0,0.0,0.043561034,0.16772546,0.0,0.26474577,0.07851495,0.0,0.14252906,0.19134966,0.023980014,0.0,0.0,0.6857673,0.18759605,0.05869525,0.0,0.41451782,0.25897202,0.0,0.0,0.0,0.16319025,0.0,0.0,0.0,0.0,0.0,0.70107114,0.0928331,0.29908597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45925564,0.0,0.48691392,0.0,0.0,0.0,0.3127215
DYNLT1B,0.1779126,0.1567573,0.0,0.089257866,0.0,0.0,0.1780622,0.0,0.030083619,0.26381034,0.16511875,0.029192284,0.0,0.0,0.15081203,0.0,0.0,0.0,0.15587576,0.0,0.0,0.0,0.0,0.0,0.029411562,0.01745082,0.0,0.0,0.0,0.0,0.0,0.060640734,0.009691309,0.19739456,0.07234521,0.0,0.0,0.0,0.33287147,0.0,0.24061047,0.017344039,0.0,0.0,0.0,0.0,0.0,0.31340498,0.0,0.0,0.12381152,0.0,0.081462674,0.0,0.28902882,0.0,0.13878445,0.0,0.15172815,0.0,0.0,0.0,0.0,0.0,0.0,0.092807844,0.11705965,0.0,0.0,0.03269915,0.07696122,0.06501163,0.0,0.0,0.0,0.0,0.03158768,0.0,0.23240015,0.119653895,0.0,0.0,0.0,0.0,0.0,0.0,0.26910436,0.09656837,0.0,0.0,0.10789336,0.0,0.11840052,0.0,0.1677602,0.0,0.0,0.0045582177,0.29412714,0.113926254,0.0,0.0,0.0,0.29637223,0.0,0.11953363,0.1764031,0.085312605,0.0,0.2420333,0.2448838,0.22390142,0.04997166,0.0,0.0,0.2038703,0.0,0.03405992,0.12061736,0.0,0.0,0.0,0.0,0.036848947,0.012368072,0.080539025,0.0,0.0
MBD2,0.0,0.08387512,0.0,0.0,0.0,0.23601454,0.18567875,0.23802221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013743449,0.0,0.0,0.3856923,0.0,0.16558093,0.0,0.0,0.0,0.0,0.040308997,0.0,0.12979247,0.41103104,0.0,0.1645894,0.0,0.0,0.10592525,0.0,0.0,0.0,0.0,0.25784338,0.11125292,0.0,0.0,0.0,0.0,0.0,0.0,0.12759787,0.0,0.37010944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38376886,0.28647164,0.008063927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35798657,0.1146704,0.0,0.076221086,0.32293013,0.0,0.0,0.07592888,0.0,0.0,0.34405804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23166752,0.1912451,0.0,0.15902007,0.0,0.19412538,0.0,0.0,0.0,0.4256713,0.0,0.0,0.0,0.0,0.0,0.0,0.08934575,0.0,0.23077714,0.0,0.0,0.0,0.16241898,0.0,0.14906487,0.0,0.2722126,0.0,0.0,0.022910397,0.105005994,0.12627533,0.110714436,0.2059234,0.06905235,0.0,0.3455553
SMARCA5,0.0,0.0,0.0,0.079299115,0.0,0.102573425,0.08713349,0.0,0.0,0.039975513,0.0,0.0,0.0,0.0,0.0015335046,0.0,0.0,0.0,0.0,0.0,0.0,0.15025839,0.0,0.20163271,0.0,0.0,0.0,0.0,0.16785946,0.0,0.005741544,0.15481804,0.0026076809,0.016356843,0.0,0.0,0.023339517,0.0,0.0,0.0,0.016851947,0.0,0.017750533,0.0,0.0,0.0,0.0,0.0,0.0,0.13676433,0.027956722,0.15323201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28391838,0.09698669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12838934,0.0,0.0,0.0,0.110512346,0.05095861,0.00015559793,0.0,0.0,0.0,0.29310754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15530397,0.0,0.1190352,0.0018254071,0.0,0.0807475,0.0,0.00893987,0.078338854,0.11537253,0.0,0.0,0.0,0.0,0.0,0.07276322,0.0162808,0.0,0.20671625,0.0,0.0,0.0,0.0829788,0.0,0.053071976,0.15845671,0.04549671,0.0,0.0,0.0,0.0,0.0,0.0,0.080574185,0.0,0.0,0.11061229
H2-K1,0.30525234,0.0,0.0,0.057409253,0.0,0.21889529,0.27503613,0.1000591,0.0,0.0,0.12393132,0.09151791,0.0,0.0,0.0,0.0,0.0,0.0,0.029059216,0.0,0.06948048,0.10789188,0.0,0.0,0.0,0.0,0.06249962,0.0,0.0,0.0,0.18948,0.22478558,0.0,0.0,0.0,0.0,0.14785132,0.0,0.030101404,0.0,0.030312818,0.09495639,0.06072903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017475994,0.17788675,0.0,0.0,0.015276222,0.13169119,0.20343187,0.0,0.0,0.0,0.0,0.0,0.0,0.2011112,0.16607991,0.0,0.0,0.19104633,0.0,0.0,0.11324657,0.0,0.0,0.0,0.0,0.0,0.0,0.0075801685,0.0,0.049340345,0.09426922,0.0,0.13083804,0.11890426,0.0,0.0,0.0072934367,0.0,0.0033598319,0.0,0.0,0.11457345,0.17995107,0.0,0.0,0.0,0.0,0.039832346,0.0,0.0,0.122335896,0.0,0.0,0.067981616,0.0,0.04035182,0.08406785,0.24670523,0.0,0.015735762,0.0,0.0,0.15001622,0.112658665,0.0,0.24717128,0.0,0.109455585,0.117096394,0.0,0.08386594,0.0,0.24053243,0.0,0.15464787,0.106485024,0.0,0.03545428
HNRNPAB,0.0,0.0,0.0,0.13694301,0.0,0.2051144,0.2271086,0.07019471,0.0,0.12836727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21225779,0.0,0.2516041,0.016882874,0.0,0.0,0.0,0.17885551,0.0,0.0,0.26475114,0.0,0.0,0.0,0.0,0.23381352,0.0,0.0,0.0,0.006983064,0.0,0.036330864,0.0,0.0,0.0,0.0,0.0,0.0,0.20051362,0.11861182,0.13887438,0.0,0.0,0.0,0.0,0.0038186982,0.0,0.0,0.0,0.0,0.0,0.51557803,0.07180302,0.0,0.0,0.0,0.0,0.0,0.0,0.09334191,0.0,0.052815743,0.08881414,0.0,0.0,0.0,0.15498362,0.009288564,0.0,0.0,0.0,0.0,0.4555396,0.0,0.061964482,0.0,0.0,0.0,0.0,0.0,0.24310753,0.0,0.35061547,0.0,0.0,0.095625736,0.0,0.0,0.13859503,0.13132013,0.0,0.0,0.0,0.0,0.0,0.22159997,0.102465995,0.0,0.20221028,0.0,0.0,0.0,0.14851737,0.0,0.11348926,0.3121939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14639632,0.0,0.0,0.13814807
PYCARD,0.0,0.32178605,0.08470891,0.09146991,0.0,0.0,0.0,0.0,0.17237675,0.2815489,0.15417439,0.0,0.0,0.0,0.27642074,0.0,0.099223614,0.0,0.2181319,0.0,0.0,0.0,0.0,0.08874941,0.028850727,0.18299586,0.0,0.0,0.077935494,0.0,0.0,0.0,0.10028914,0.2621317,0.20079203,0.0,0.0,0.0,0.45075887,0.0,0.29825586,0.019875016,0.0,0.0,0.0,0.0,0.0,0.4437325,0.0,0.0,0.10371787,0.0,0.09264192,0.0,0.3720968,0.0,0.0,0.0,0.22223297,0.0,0.0,0.0,0.0,0.0,0.0,0.108348235,0.22066605,0.0,0.0,0.16745678,0.0,0.21246798,0.0,0.0,0.0,0.0,0.03178217,0.0,0.44482362,0.084070526,0.0,0.0,0.0,0.0,0.13995522,0.0,0.35111555,0.21921793,0.0,0.0,0.27728555,0.0,0.0,0.0,0.38432324,0.14916982,0.0,0.023293223,0.5518212,0.14754246,0.0,0.013770433,0.0,0.38641,0.0,0.11359209,0.1440066,0.0,0.0,0.37621266,0.22213939,0.36787385,0.0,0.0,0.0,0.051196042,0.0,0.0,0.04233794,0.0,0.0,0.1507672,0.0,0.2039216,0.0,0.0,0.12537697,0.0
PCNA,0.2596122,0.0,0.0,0.018525487,0.0,0.23885286,0.30356348,0.16314003,0.0,0.0,0.077295445,0.12092694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1468941,0.1516099,0.0,0.0,0.0,0.0,0.076000765,0.0,0.0,0.0,0.24733725,0.19825555,0.0,0.0,0.0,0.0,0.14714916,0.0,0.0,0.0,0.0,0.08127039,0.07759571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23626879,0.0,0.0,0.0,0.20768145,0.15543026,0.0,0.0,0.0,0.0,0.0,0.0,0.26776677,0.13873582,0.0,0.0,0.28078842,0.0,0.0,0.11333934,0.0,0.0,0.0,0.0,0.0,0.0,0.01812448,0.0,0.051937077,0.20545696,0.0,0.21099076,0.1623621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1702501,0.1680032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1740452,0.0,0.0,0.0,0.0,0.0,0.08425236,0.24491438,0.0,0.0,0.0,0.0,0.17307717,0.18896937,0.0,0.23216182,0.014418513,0.10831909,0.092140034,0.0,0.015412383,0.0,0.18288678,0.0,0.16970617,0.13533181,0.0,0.09198091
