,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
CNOT6L,-0.009493753,0.063526645,-0.11221565,0.02774828,-0.07811921,-0.00097527914,-0.044898417,0.048585713,0.059986763,-0.026906788,-0.05402143,-0.012826212,0.09494235,-0.0548911,-0.033127505,-0.06667062,0.031940468,-0.078109905,0.010627519,0.074004374,0.006373983,-0.052176006,0.07056653,0.008241463,-0.02554388,0.003264226,0.057955593,-0.03605691,-0.070670545,0.014188947,0.010438234,0.091599844,0.035540484,-0.10008913,0.04871638,0.121425055,0.05336716,0.08263203,-0.055879917,-0.041283734,0.060426474,-0.037427202,0.0472474,-0.016420448,-0.011318553,0.065646864,0.06439361,0.025464568,-0.045766205,-0.028385185,0.062731855,-0.0065157637,0.13665062,-0.034186132,0.017502327,-0.06758506,0.028218625,0.019900277,-0.064137846,0.017625593,0.016492933,-0.04865471,0.05091074,-0.025601167
OST4,-0.012530521,0.034959562,-0.054699097,0.018759754,-0.037470654,-0.0061797258,-0.023402497,0.034418695,0.027273739,-0.020444836,-0.038951617,-0.011541361,0.05827765,-0.035667717,-0.036497183,-0.04800918,0.0264102,-0.06118776,0.027801892,0.048466742,-0.0020680055,-0.037874594,0.027336244,0.0021785032,-0.0032921098,-0.01811035,0.035272934,-0.022006925,-0.045238964,-0.002432527,0.004090287,0.0567144,0.030076288,-0.041586965,0.02778786,0.08976594,0.033874266,0.036578603,-0.03262129,-0.023940738,0.05395942,-0.018057022,0.033838354,-0.011063086,-0.009290803,0.028732553,0.018070713,0.005957734,-0.03540267,-0.021327088,0.020768182,-0.002251206,0.082038626,-0.018653736,0.004355248,-0.048498098,0.01891693,0.021436319,-0.02524577,0.016106386,-0.0068992227,-0.031705726,0.031624317,-0.023342364
XBP1,0.071852,-0.10321733,0.0647748,0.09372625,0.1167493,0.09049757,0.1304412,-0.10510387,-0.092919126,0.09008113,0.12157076,0.08128463,-0.06435702,0.12831542,0.05417949,0.09069913,0.090290464,-0.09785121,-0.079053506,-0.02341583,-0.050343454,0.08875243,-0.08227138,0.038066495,-0.100534305,-0.0011083186,-0.06462838,0.10104482,0.07120466,0.094424054,0.13755919,-0.014148459,-0.08891225,0.06459549,-0.065419786,0.12966388,-0.048555017,-0.09130763,0.088218525,0.13993308,-0.067746535,0.12092047,-0.08960424,0.07118853,0.09825823,-0.048377786,-0.10229363,-0.11407748,0.11945373,0.08419871,-0.027952006,-0.036346123,0.047336686,0.13438216,-0.105556265,0.03694087,-0.0612674,-0.096638456,0.069758534,-0.09347272,-0.098251514,0.041042652,-0.06763896,0.10355134
DYNLT1B,-0.0063387975,-0.0072492994,0.006811198,0.029356856,0.04332717,0.001986226,0.028998088,-0.011390895,-0.005215349,0.003429179,0.011308342,0.008967176,0.007211335,0.004765941,-0.023552354,-0.01568779,0.028949015,-0.048574887,0.020760067,0.024163352,-0.015063547,-0.0060644373,-0.03480285,0.029457249,-0.01433127,-0.021226682,0.008011349,0.003766507,-0.0085731335,0.0027959626,0.024188224,0.032982975,0.009552918,0.0109258,-0.0020298045,0.08326589,0.01716192,-0.0071102586,-0.0002438724,0.023182653,0.022736922,0.0236586,-0.0051907003,0.018001318,0.007254388,0.028760336,-0.02934352,-0.02709778,0.006331768,0.007733818,-0.037775803,-0.005704224,0.031660594,0.009571435,-0.029942214,-0.014529195,-0.002157526,-0.0043146275,0.018037517,-0.022070548,-0.03271662,-0.024605904,-2.8632581e-05,0.0026780628
MBD2,-0.10778177,0.12419681,-0.12047367,-0.046728052,-0.11371492,-0.1041711,-0.1447395,0.15280136,0.1313686,-0.13293292,-0.11618247,-0.0876785,0.12687087,-0.13753869,-0.1229134,-0.124676384,-0.0870392,0.03916665,0.09342766,0.12878832,0.08411693,-0.11456345,0.07268284,0.09981963,0.07964052,-0.087784305,0.13340138,-0.13016483,-0.124723405,-0.09706323,-0.08848412,0.12349755,0.12921515,-0.1584265,0.13764672,0.092647515,0.13475695,0.13194327,-0.10952139,-0.1285617,0.14057288,-0.117322154,0.1426438,-0.09070511,-0.11845726,0.13437214,0.119534746,0.10678391,-0.13961583,-0.13080971,-0.058275916,0.05843422,0.015399527,-0.103853576,0.114761755,-0.12144309,0.09490191,0.11445397,-0.10322179,0.09093024,0.08012955,-0.13153526,0.10613918,-0.10455996
SMARCA5,-0.025638655,0.07930273,-0.13331617,0.004147946,-0.09089643,-0.022093443,-0.06146497,0.07608391,0.0882397,-0.03868994,-0.066997826,-0.04100482,0.121128604,-0.07813893,-0.04926358,-0.089522734,0.010608438,-0.0593796,0.027369026,0.076929,0.019828193,-0.0724322,0.08739559,0.009863548,-0.002823472,0.0002785027,0.07287498,-0.07486607,-0.09184061,-0.0048356485,-0.009421386,0.10227093,0.06361298,-0.10655843,0.060325556,0.11805912,0.0543627,0.09911365,-0.06875554,-0.059293084,0.084089056,-0.0548761,0.07130441,-0.027102273,-0.035915647,0.07149463,0.06968027,0.05061379,-0.07537595,-0.04497164,0.05973114,-0.0016121324,0.12753774,-0.06157142,0.036519986,-0.076925956,0.039114766,0.042064093,-0.07162374,0.043769863,0.029275075,-0.055781256,0.06549535,-0.047311403
H2-K1,-0.19155149,0.16808034,-0.13635659,-0.12630397,-0.116796374,-0.18427512,-0.1932416,0.18343791,0.1889861,-0.20610361,-0.1784141,-0.1728833,0.13647193,-0.2146802,-0.1965983,-0.18145508,-0.18213674,0.12511998,0.20358495,0.1524357,0.13448632,-0.15243368,0.0645808,0.14008546,0.17109998,-0.14248776,0.17510408,-0.1987675,-0.16051313,-0.16775225,-0.17458051,0.09673939,0.20214751,-0.12102436,0.17439376,0.040582888,0.19776902,0.11771365,-0.15805912,-0.20081529,0.22437473,-0.16237855,0.20506325,-0.17809622,-0.17531335,0.1370334,0.12155442,0.16488823,-0.19019908,-0.19652507,-0.13155258,0.121287,-0.047025107,-0.16280206,0.15666635,-0.18472692,0.14310867,0.19318767,-0.07682079,0.18287924,0.13041428,-0.18008278,0.15119144,-0.17244454
HNRNPAB,-0.008956499,0.09399546,-0.17255236,0.013421397,-0.12324329,-0.007150879,-0.07663636,0.08331239,0.09341499,-0.023764744,-0.06926106,-0.0119251795,0.15167408,-0.08354598,-0.040971287,-0.1120001,0.049274802,-0.08831973,-0.0041987896,0.0981279,0.021689594,-0.079785824,0.12678105,-0.024898142,-0.045269515,0.049877852,0.08391623,-0.0812026,-0.11518757,0.019390384,0.0009589344,0.11924011,0.071003884,-0.14444652,0.05767633,0.15779555,0.052696392,0.14573509,-0.0840323,-0.065452375,0.0735504,-0.06677186,0.06787814,-0.0098885065,-0.024100486,0.062007785,0.107776925,0.06161132,-0.06352049,-0.024653062,0.1466492,-0.01184932,0.21045096,-0.08302499,0.026105862,-0.07901111,0.038360693,0.01799167,-0.11371298,0.047993634,0.038288556,-0.057550076,0.09697188,-0.04043006
PYCARD,0.09099677,-0.10854897,0.098316506,0.094169125,0.118515775,0.10595574,0.12291623,-0.10124962,-0.110130794,0.089388214,0.09588682,0.106638454,-0.07789891,0.12824424,0.05284539,0.074250035,0.113970615,-0.114118166,-0.08229843,-0.042865563,-0.08147959,0.065003365,-0.087990955,-0.009475559,-0.09156066,0.005985871,-0.07930006,0.111871034,0.07261822,0.086537056,0.1217449,-0.013056897,-0.09168017,0.07270977,-0.08046163,0.08280244,-0.07108764,-0.09248273,0.09424378,0.13923189,-0.09009658,0.10369004,-0.10279237,0.10370807,0.09098813,-0.03537156,-0.11103102,-0.12526102,0.100880116,0.09959154,-0.019626904,-0.054009072,0.04229847,0.12259764,-0.11416124,0.06284447,-0.087612584,-0.09663086,0.072969094,-0.119368196,-0.11628625,0.068429634,-0.09089283,0.09352632
PCNA,-0.23679982,0.19142292,-0.14676918,-0.16164738,-0.12521286,-0.22445369,-0.23564942,0.21998507,0.22603254,-0.25362635,-0.21282312,-0.21286109,0.15259333,-0.2483647,-0.23885785,-0.20741937,-0.23862016,0.17157924,0.2446135,0.17922494,0.18003559,-0.17631002,0.06664173,0.18484934,0.21516287,-0.18277493,0.20861775,-0.23908234,-0.18581553,-0.2055965,-0.21749432,0.110092275,0.24370039,-0.13888738,0.20076019,0.028532922,0.23031685,0.131343,-0.17594406,-0.23964992,0.2621984,-0.19175303,0.24056013,-0.21925873,-0.22177625,0.16123497,0.13548286,0.20380564,-0.23301303,-0.2349883,-0.1883004,0.15543059,-0.096600816,-0.1858308,0.1972523,-0.21697854,0.16312408,0.2370749,-0.0861385,0.21928948,0.15619445,-0.21426313,0.17781278,-0.20564628
