TF_gene,Target_gene
CTCF,ELF1
MLL3,ELF1
UBP1,ELF1
ETS2,ELF1
TARBP2,ELF1
CIITA,ELF1
TRPS1,ELF1
TAF6,ELF1
NOTCH2,ELF1
ZFML,ELF1
CTCFL,HMG20B
KDM2B,HMG20B
TOB1,HMG20B
DPF2,HMG20B
BUB3,HMG20B
HHEX,HMG20B
HMGB2,HMG20B
POLR2A,HMG20B
MYEF2,HMG20B
SNAPC5,HMG20B
ZFX,PLD3
MAPK14,IL1A
NFKB1,IL1A
MAPK1,IL1A
FOS,IL1A
MAPK3,IL1A
REL,IL1A
NFKBIZ,IL1A
RELA,IL1A
CEBPA,PRR13
CTCF,PRR13
KLF4,PRR13
MEF2A,SRSF1
XBP1,SRSF1
TCF12,SRSF1
DAZAP2,SRSF1
HIF1A,SRSF1
BCLAF1,SRSF1
STAT1,SRSF1
EDF1,SRSF1
TAF7,SRSF1
RBM39,SRSF1
HIF1A,ITGB2
SFPI1,ITGB2
BIN1,MCM7
MAFF,MCM7
CNOT6,MCM7
CIITA,MCM7
HDGF,MCM7
GTF2I,MCM7
SUPT5H,MCM7
UBP1,MCM7
ING1,MCM7
ELL2,MCM7
HNRNPD,YBX1
PHB2,YBX1
BACH1,YBX1
REL,YBX1
MED8,YBX1
SNAPC5,YBX1
ZFML,YBX1
ZMYM2,YBX1
GTF2A2,YBX1
CIITA,YBX1
PHB2,TAF12
CCRN4L,TAF12
SMARCA4,TAF12
SP1,TAF12
MCM5,TAF12
TCERG1,TAF12
SRSF5,TAF12
VDR,TAF12
PA2G4,TAF12
RNF4,TAF12
ARID1A,SIRT2
ZFML,SIRT2
STAT6,SIRT2
SRSF3,SIRT2
AGAP3,SIRT2
ATF2,SIRT2
TCEB2,SIRT2
SUPT6H,SIRT2
DPF2,SIRT2
KDM6B,SIRT2
AHR,TIMM23
TCF12,TAF7
EHMT1,TAF7
THRAP3,TAF7
ZNRD1,TAF7
LASS5,TAF7
NFKBIA,TAF7
RBBP7,TAF7
NAP1L4,TAF7
POLR2D,TAF7
ZMYM2,TAF7
KLF4,CYBA
CTCF,CYBA
NME2,DNMT1
TGIF1,DNMT1
CHD4,DNMT1
BAZ1A,DNMT1
NFIL3,DNMT1
MED15,DNMT1
SUPT6H,DNMT1
DDB1,DNMT1
MED21,DNMT1
AFF4,DNMT1
KDM2B,HDGF
TCEB2,HDGF
CREBBP,HDGF
DOT1L,HDGF
MCM6,HDGF
MTA2,HDGF
TAF12,HDGF
H1F0,HDGF
AIP,HDGF
SMARCC2,HDGF
EHMT1,PARP1
DENND4A,PARP1
TSG101,PARP1
MED21,PARP1
HMGB2,PARP1
NME2,PARP1
TOX4,PARP1
NFAT5,PARP1
TRPS1,PARP1
POLR2F,PARP1
EGR1,RPL10
EGR2,RPL10
BACH1,SH3BGRL3
NFKB1,SQSTM1
NFE2L2,SQSTM1
CTCF,SQSTM1
ZFX,SQSTM1
BACH1,SQSTM1
NFKBIA,SQSTM1
RELA,SQSTM1
EGR1,HDAC1
ZFML,HDAC1
CNOT6,HDAC1
SUPT4H1,HDAC1
UBE2K,HDAC1
CBFA2T3,HDAC1
TCF12,HDAC1
CTCFL,HDAC1
ASH1L,HDAC1
CBX3,HDAC1
ZFX,COX8A
POLR2K,MED21
NFKB1,MED21
ILK,MED21
CCRN4L,MED21
STAT3,MED21
SND1,MED21
LASS2,MED21
XBP1,MED21
ARL6IP5,MED21
GTF2I,MED21
UBP1,MBD2
SMARCA4,MBD2
BATF3,MBD2
DNMT3A,MBD2
ZFP91,MBD2
HIF1A,MBD2
PCBP2,MBD2
FOS,MBD2
FOSB,MBD2
DEK,MBD2
ZFX,PTGES3
TAF9,APEX1
CTCF,APEX1
ZFHX3,APEX1
TCEB2,APEX1
MED8,APEX1
CSDE1,APEX1
MBD2,APEX1
DDB1,APEX1
ETV3,APEX1
GTF2F1,APEX1
BHLHE40,TCEB2
AEBP2,TCEB2
CIITA,TCEB2
CREM,TCEB2
EGR1,TCEB2
ZFP91,TCEB2
TOB1,TCEB2
CDC5L,TCEB2
HBP1,TCEB2
DNAJC2,TCEB2
BACH1,PLP2
JUN,PLP2
FOSB,PLP2
FOS,PLP2
JUNB,PLP2
SMARCC2,JUN
ING1,JUN
BUB3,JUN
MCM4,JUN
ARL6IP5,JUN
CNOT2,JUN
EGR2,JUN
SRSF1,JUN
ELF1,JUN
HMGA1,JUN
STAT1,GNGT2
KLF4,GNGT2
CTCF,UBE2L6
IRF1,B2M
IRF2,B2M
STAT1,B2M
IRF5,B2M
IRF4,B2M
XBP1,SUPT16H
CTCF,SUPT16H
SRRT,SUPT16H
BTG1,SUPT16H
RFC1,SUPT16H
SUB1,SUPT16H
RBPJ,SUPT16H
CREB3,SUPT16H
KLF4,SUPT16H
WBP11,SUPT16H
JUNB,EEF1A1
FOS,EEF1A1
TRP53,EEF1A1
JUN,EEF1A1
ZFX,EEF1A1
BACH1,EEF1A1
FOSB,EEF1A1
CTCF,BOLA2
AHR,BOLA2
TOX4,MKL2
TSG101,MKL2
ZMYND11,MKL2
SRSF3,MKL2
SFPQ,MKL2
AEBP2,MKL2
BATF3,MKL2
KDM5A,MKL2
SIRT7,MKL2
SRRM1,MKL2
AIP,RBPJ
THRAP3,RBPJ
RNPS1,RBPJ
SMARCA4,RBPJ
NME2,RBPJ
SFPQ,RBPJ
KLF10,RBPJ
CSDE1,RBPJ
CNOT2,RBPJ
GTF2B,RBPJ
KLF4,PRDX2
CEBPA,PRDX2
NFE2L2,PRDX2
ILK,ELL2
APEX1,ELL2
SERTAD2,ELL2
FUBP3,ELL2
MYST2,ELL2
ETS2,ELL2
CDC5L,ELL2
VDR,ELL2
SRSF3,ELL2
HMGA1,ELL2
CTCF,COX5A
ZFX,COX5A
BAZ1A,TRP53
HSBP1,TRP53
HBP1,TRP53
NFKBIZ,TRP53
PHB2,TRP53
DOT1L,TRP53
ZFP148,TRP53
TAF7,TRP53
ZMYND11,TRP53
FLI1,TRP53
RFX7,NFX1
CNOT6L,NFX1
RUNX1,NFX1
SKI,NFX1
UBTF,NFX1
SIRT7,NFX1
CSDE1,NFX1
PBRM1,NFX1
BCLAF1,NFX1
SUPT4H1,NFX1
ZFX,SRSF5
PA2G4,SRSF5
CNOT6,SRSF5
TCEA1,SRSF5
USF2,SRSF5
FUBP3,SRSF5
GATAD2A,SRSF5
HBP1,SRSF5
SRSF3,SRSF5
TCEB1,SRSF5
MCM6,AES
SSB,AES
PBRM1,AES
MYD88,AES
