TF_gene,Target_gene
ESRRB,BARD1
SIRT1,BARD1
PCBD1,BARD1
TRP53,BARD1
MYCN,BARD1
E2F1,BARD1
TWIST1,BARD1
KLF4,BARD1
SSBP4,BARD1
TFCP2L1,BARD1
KLF4,MRPL23-PS1
SOX7,MRPL23-PS1
HDAC1,MRPL23-PS1
HDAC3,SNORA43
EZH2,SNORA43
XRCC6,SNORA43
CTCF,SNORA43
IRF1,SNORA43
HMGB2,UTF1
POU5F1,UTF1
SP1,UTF1
TFAP2C,UTF1
SNAI1,UTF1
KLF4,UTF1
SOX2,UTF1
SMAD3,GM26448
NR3C1,GM26448
FOXO3,GM26448
CTCF,GM26448
POU5F1,GM26448
PITX2,GM26448
MEF2A,GM26448
MYC,GM26448
RELA,GM26448
ESRRB,GM26448
SMAD4,SINHCAF
MYC,SINHCAF
HDAC1,SINHCAF
SMARCD1,SINHCAF
POLR2E,GTF2H3
POLR1A,GTF2H3
POLR2I,GTF2H3
POLR2K,GTF2H3
POLR1B,GTF2H3
TFCP2L1,GTF2H3
E2F1,GTF2H3
TCEA1,GTF2H3
POLR2H,GTF2H3
GTF2H4,GTF2H3
KLF4,DDB1
ERCC8,DDB1
ORC2,DDB1
ERCC3,DDB1
DDB2,DDB1
MYBBP1A,DDB1
POU5F1,DDB1
GTF2H4,DDB1
FOXO3,DDB1
CTCF,DDB1
MYCN,MFSD10
KLF4,MFSD10
CTCF,MFSD10
MCM4,MFSD10
EZH2,MFSD10
FOXO3,MFSD10
NFATC3,MFSD10
ESRRB,MFSD10
NRIP1,MFSD10
NFATC1,MFSD10
SMARCA4,KIT
STAT5A,KIT
E2F1,KIT
SNAI1,KIT
POU2F1,KIT
POLR3F,KIT
ETS1,KIT
FIZ1,KIT
TFAP2C,KIT
SMURF2,KIT
SSB,ARHGAP45
POLR2I,ARHGAP45
PAX6,ARHGAP45
SMAD3,ARHGAP45
ESRRB,ARHGAP45
ESRRB,ATF1
MEF2A,ATF1
CHD4,ATF1
MTA3,ATF1
SREBF1,ATF1
POLR2K,ATF1
MYCN,ATF1
JUN,ATF1
E2F4,MYCN
CHD7,MYCN
TRP53,MYCN
RBL1,MYCN
ESRRB,MYCN
E2F1,MYCN
HDAC4,MYCN
KLF10,MYCN
HES6,MYCN
TGFB1,MYCN
MYCN,SERBP1
SMAD7,SERBP1
CTCF,SERBP1
JUN,SERBP1
EGR1,SERBP1
ELK1,SERBP1
TFAP2C,SERBP1
DDIT3,SERBP1
ESRRB,AQP8
RBBP4,AQP8
HDAC1,AQP8
NCOA3,AQP8
MYC,ZFYVE21
TCEA1,ZFYVE21
NFIC,ARFGAP1
LMO4,ARFGAP1
CTCF,ARFGAP1
CITED2,ARFGAP1
FOXP1,MRPS5
EHMT2,MRPS5
RB1,MRPS5
NANOG,MRPS5
E2F1,MRPS5
ESRRB,MRPS5
MYCN,MRPS5
PAX6,MRPS5
SMARCA4,MRPS5
HDAC1,MRPS5
CTCF,APP
MAML1,APP
IRF1,APP
SP1,APP
JUN,APP
DAB2,APP
IRF2,APP
ESRRB,APP
STAT5B,APP
APBB1,APP
APEX1,SRM
NOTCH2,SRM
JUND,SRM
POU2F1,SRM
NFYB,SRM
ERCC8,SRM
MYBBP1A,SRM
MYC,SRM
STAT5A,SRM
MYCN,SRM
AIRE,MCM6
MYCN,MCM6
ORC2,MCM6
KNTC1,MCM6
