,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
BRWD1,0.441503,0.38534805,0.30284488,0.7747892,0.37675866,0.5062813,0.331223,0.3604796,0.526149,0.2003416,0.41557726,0.34608912,0.66651815,0.50901186,0.26323608,0.3758917,0.8535121,0.828112,0.70823574,0.6855549,0.8103952,0.307087,0.7698997,0.5444232,0.43081278,0.28398305,0.7669364,0.46413162,0.5943258,0.38832375,0.6767472,0.5922284,0.4314904,0.4060766,0.34174344,0.44185647,0.2978946,0.3129823,0.21971123,0.4252603,0.37047935,0.42403087,0.41662836,0.3042018,0.5430813,0.76089513,0.79215175,0.56965387,0.4808646,0.34658438,0.61835563,0.74188554,0.60729164,0.57449824,0.7248406,0.1612768,0.6068053,0.7715849,0.39317206,0.54752195,0.48123068,0.37743288,0.53850245,0.27619237,0.65102965,0.86365354,0.34437135,0.4648515,0.7518174,0.7614024,0.26246703,0.7684186,0.37549767,0.3854902,0.65717655,0.6951487,0.26574335,0.31200537,0.27803075,0.65850925,0.29744703,0.5315171,0.31702057,0.36374807,0.6560625,0.33815968,0.3083769,0.32630968,0.750888,0.5100185,0.4003014,0.27844343,0.3465653,0.43023908,0.42751047,0.56065196,0.49072734,0.17839426,0.27975416,0.59361434,0.37180036,0.34244856,0.49831188,0.6505619,0.77208287,0.47368672,0.34562555,0.3094059,0.24240398,0.6697244,0.64837015,0.3656609,0.6767687,0.74125254,0.5390653,0.2070552,0.4680145,0.43505135,0.74275637,0.5289529,0.7410969,0.6309666,0.773039,0.09970513,0.7762716,0.31485054,0.2156667,0.65769494
CNOT6,0.40099728,0.4030867,0.33459374,0.7167649,0.36276165,0.49909374,0.37406966,0.40321308,0.5624944,0.23922709,0.44348657,0.37712586,0.6135066,0.5651796,0.29344556,0.4339263,0.793388,0.77502424,0.63201404,0.6517217,0.70030934,0.29282477,0.7145502,0.55809665,0.40957186,0.37400588,0.70565265,0.4893622,0.5233199,0.36550948,0.6235534,0.6388731,0.43656227,0.48905757,0.36519676,0.42959407,0.34215406,0.35628524,0.24603482,0.42354795,0.43886575,0.41564426,0.39799836,0.34617746,0.55074704,0.69833726,0.7364799,0.5716157,0.487834,0.34319603,0.58071554,0.68642783,0.5737652,0.5937143,0.6616405,0.20251006,0.6067327,0.710552,0.46389192,0.52324194,0.48469865,0.37657535,0.520466,0.31974548,0.5744223,0.7671029,0.34204787,0.41552243,0.67671204,0.6614227,0.33983907,0.6693179,0.35122824,0.41130254,0.59003925,0.6197633,0.33533168,0.3687544,0.3008993,0.62889624,0.3332233,0.49838898,0.38163453,0.36417848,0.59718496,0.3876786,0.359609,0.4005728,0.6300061,0.3930176,0.38350993,0.3622258,0.3865693,0.47764772,0.42574206,0.5663106,0.52133524,0.22915126,0.34871885,0.5748339,0.40872353,0.30848002,0.5240348,0.5855751,0.69783986,0.41270232,0.3919937,0.3801958,0.31950885,0.5818883,0.5557241,0.3418014,0.59703785,0.66283846,0.5723631,0.27297363,0.4731044,0.46421888,0.71003896,0.48599938,0.66412187,0.6340202,0.6879073,0.17326005,0.65575707,0.31831166,0.27031618,0.6224879
CHD4,0.39166057,0.40495214,0.33530772,0.71650004,0.3602984,0.5081693,0.37500602,0.4024926,0.5682405,0.23403996,0.44385362,0.37306905,0.6139875,0.5768148,0.28676805,0.439335,0.7958478,0.776399,0.6271241,0.66419303,0.7034916,0.28448066,0.7210672,0.55653244,0.41142756,0.37688106,0.70823544,0.49405178,0.5112891,0.35486066,0.61655724,0.64537436,0.44129694,0.50075066,0.3671818,0.4263695,0.33529955,0.34672403,0.23599717,0.4090341,0.44592455,0.4069182,0.395978,0.34048185,0.5486178,0.69985586,0.74171823,0.57945853,0.48435086,0.34032768,0.57927597,0.6862933,0.5832349,0.59421915,0.6630302,0.19421154,0.6162855,0.7111653,0.47168213,0.51923513,0.4876997,0.3652401,0.527146,0.3211585,0.5784184,0.76530266,0.33605212,0.40515235,0.6822979,0.6554706,0.34728825,0.66694504,0.34255674,0.40606353,0.59247893,0.61127573,0.34473804,0.36676282,0.29633605,0.63254666,0.32917592,0.50133556,0.38409454,0.36090243,0.59228337,0.39319935,0.36858526,0.41249275,0.6238544,0.38339558,0.36712807,0.36732084,0.38156807,0.4830746,0.4228696,0.565854,0.53009814,0.21367374,0.35239044,0.5780322,0.41348067,0.29251632,0.5283561,0.5861986,0.70151466,0.39781442,0.40313154,0.38554078,0.31683496,0.5759288,0.54698217,0.3372321,0.5970236,0.65465647,0.57655334,0.27182963,0.46172965,0.46368054,0.7069605,0.48384655,0.67119044,0.63948697,0.6797798,0.17423782,0.64957416,0.31425253,0.2648706,0.6234206
SUN1,0.4768735,0.4525857,0.4958053,0.54300153,0.4857505,0.49749544,0.51307684,0.4654654,0.5072992,0.4474663,0.5115019,0.48433676,0.54398125,0.49211118,0.463446,0.42756274,0.5945642,0.57157147,0.5459169,0.5905875,0.5527674,0.43441853,0.5658652,0.49813455,0.5161376,0.45487064,0.5501293,0.50851244,0.48154786,0.48097846,0.51828897,0.538768,0.47415805,0.4637882,0.47453868,0.44669458,0.45203057,0.46274862,0.4797585,0.52646893,0.5303577,0.48186287,0.4199574,0.46229422,0.5459521,0.54595405,0.5540703,0.5207619,0.5067976,0.4243323,0.5310724,0.5411633,0.5219539,0.5203993,0.53023934,0.4525836,0.5455526,0.53777075,0.4971714,0.48065668,0.4773231,0.5717571,0.49975526,0.47321048,0.539491,0.57357794,0.4472659,0.45780948,0.5267134,0.5416693,0.46062523,0.5470998,0.48326012,0.49759242,0.51067066,0.55513334,0.45663124,0.4574993,0.4191147,0.53599405,0.46864748,0.50510204,0.46890652,0.43360043,0.51598734,0.44632125,0.4422272,0.46518084,0.48915192,0.47928768,0.49999034,0.48657727,0.4754538,0.4675325,0.4188719,0.4974934,0.5234781,0.4579995,0.4995181,0.47268093,0.56135637,0.4923671,0.4719238,0.52832687,0.5748335,0.48938814,0.51314324,0.4246999,0.46013933,0.53576154,0.5060799,0.47740176,0.5382851,0.5312788,0.5354317,0.4703954,0.48364434,0.5000578,0.54593444,0.49149913,0.51605904,0.5244686,0.5477111,0.37065455,0.5103526,0.45796466,0.46465474,0.51039845
SGK1,0.46388322,0.44676396,0.46966955,0.5724183,0.45776418,0.49808103,0.49212676,0.46469256,0.51711166,0.41150782,0.4992246,0.4693193,0.5515827,0.5070884,0.43449792,0.43787685,0.62133527,0.60261476,0.5569521,0.60066843,0.5672667,0.40786093,0.58589035,0.50369626,0.5022065,0.449802,0.5680139,0.5099484,0.481956,0.45862895,0.5242955,0.5636166,0.47698882,0.47678095,0.4594576,0.44580057,0.43435204,0.4436932,0.43650973,0.49628007,0.5197375,0.47827268,0.42279893,0.44493854,0.54920655,0.5620124,0.58154684,0.52972,0.50237644,0.41068405,0.5416462,0.559066,0.5285056,0.5288678,0.54707205,0.40858173,0.5574668,0.5653923,0.4980191,0.49043006,0.4821064,0.530687,0.49844974,0.45396304,0.54237473,0.5981116,0.43255952,0.44125244,0.54766613,0.551794,0.45045254,0.5668098,0.45599386,0.4839585,0.5239225,0.5551677,0.4434388,0.44763547,0.40237316,0.54700285,0.44542766,0.5060519,0.45798245,0.42753893,0.5248126,0.44280687,0.43279055,0.4653358,0.5054457,0.4581753,0.4759858,0.47220296,0.4651476,0.4785763,0.4235537,0.5115977,0.53198683,0.4124516,0.4773589,0.4929032,0.53168947,0.4571587,0.48492074,0.536818,0.588553,0.46802905,0.49576092,0.42371064,0.440932,0.5328473,0.50490755,0.44989938,0.54398024,0.53949857,0.5390744,0.44328403,0.48083284,0.49725562,0.5688505,0.48441505,0.53530985,0.5418393,0.5588266,0.3484049,0.5294502,0.43925843,0.43912056,0.52412105
TUBB4B,0.48224914,0.4584452,0.49101934,0.5521198,0.48584524,0.4950863,0.50607574,0.46785477,0.5072676,0.43913293,0.5127868,0.48282358,0.55352974,0.48772728,0.46759275,0.43426818,0.60733145,0.5843208,0.5541994,0.60136294,0.575664,0.43401664,0.56463146,0.49112007,0.5174303,0.44979593,0.54934615,0.5103658,0.4901647,0.47766536,0.5166841,0.54649264,0.47543222,0.4599089,0.47523594,0.44679698,0.44439527,0.46146694,0.47257677,0.5251228,0.5226281,0.48927316,0.42769098,0.4573654,0.5571534,0.55059415,0.5732131,0.51392204,0.49608308,0.42285058,0.5342273,0.54428905,0.520589,0.51606476,0.5405871,0.44581664,0.5513766,0.54882085,0.50030285,0.48430997,0.4900079,0.566451,0.4965856,0.46677107,0.546323,0.5998303,0.45181626,0.45603976,0.5373057,0.55258423,0.4574772,0.56043565,0.47453856,0.49511743,0.52148503,0.55268806,0.44549578,0.45545962,0.4252332,0.53847647,0.45920277,0.503147,0.45647866,0.43383458,0.5189776,0.44539413,0.4356188,0.463412,0.5147578,0.4791663,0.5024752,0.47135645,0.462189,0.47128,0.41409078,0.4977399,0.52185756,0.43168768,0.50124824,0.4798841,0.56057835,0.49975878,0.46998975,0.54330736,0.5778336,0.48427922,0.5063567,0.41393852,0.45406806,0.53929085,0.5166726,0.47690782,0.55661666,0.5297945,0.52693903,0.45244095,0.4810808,0.49718696,0.54361457,0.49156362,0.53029525,0.52910405,0.5521595,0.3559339,0.5238401,0.4597986,0.45934495,0.5289478
CELF3,0.4854623,0.471378,0.48725787,0.5059886,0.50971067,0.4869991,0.5041234,0.45790574,0.5035159,0.4910736,0.5245956,0.5018483,0.52535033,0.48062822,0.5033429,0.4426135,0.5596651,0.52372795,0.5171053,0.5630553,0.53419197,0.46395454,0.5291908,0.48615572,0.5319801,0.46790504,0.5099918,0.50184864,0.4884587,0.49906808,0.50479937,0.5188451,0.47991648,0.46182984,0.4695626,0.44252264,0.4920216,0.49016923,0.51695555,0.5305762,0.56133866,0.44264257,0.424077,0.4869482,0.5525474,0.5321107,0.5104021,0.50523204,0.49370274,0.40806532,0.50836945,0.5015795,0.5114893,0.4995003,0.49250552,0.50150156,0.54055977,0.5001669,0.5172616,0.47438323,0.489784,0.59090203,0.47124365,0.4941702,0.52678996,0.5384552,0.44915435,0.48189902,0.5069865,0.49973896,0.48544106,0.5128439,0.4850067,0.49620363,0.4858865,0.5313703,0.46257138,0.4669921,0.4551684,0.5076079,0.48414767,0.4841582,0.49143514,0.45312342,0.49763387,0.4478056,0.46738234,0.48910952,0.47427166,0.47160923,0.49760494,0.51278114,0.48088083,0.48464736,0.3921378,0.46956775,0.48314917,0.49725115,0.5254301,0.45619676,0.5896712,0.5206775,0.46788338,0.5184751,0.54874605,0.47528648,0.52516407,0.44346237,0.48016268,0.52112454,0.48510477,0.47738004,0.52100164,0.4928722,0.52082056,0.5030492,0.48537046,0.4979819,0.5230536,0.49933782,0.47846866,0.51043755,0.5133654,0.4242669,0.46191138,0.46948165,0.4844266,0.49696082
MFSD1,0.4968252,0.45354623,0.5137871,0.49794793,0.5274571,0.48912734,0.5309144,0.4619595,0.5018306,0.50790274,0.540607,0.50829065,0.5295193,0.47001892,0.51982415,0.41986552,0.5611034,0.5261705,0.52043426,0.57365334,0.53018296,0.46110833,0.53071856,0.48105067,0.53351605,0.4659629,0.50848246,0.5031669,0.49005565,0.5048534,0.5078759,0.5223128,0.47042915,0.44626716,0.48541528,0.43915403,0.48779985,0.50181377,0.5342784,0.5569275,0.5582225,0.4544267,0.40890738,0.4920541,0.56205827,0.52588254,0.51974374,0.5085117,0.4925378,0.4314209,0.5185905,0.5030938,0.5095271,0.49704543,0.4963925,0.51693434,0.5467906,0.49569285,0.5046409,0.46222332,0.47945237,0.62786174,0.48280215,0.49687457,0.5331323,0.53623044,0.46134153,0.47979352,0.49445203,0.5063332,0.48256347,0.52070796,0.5102031,0.5033654,0.49040976,0.53954464,0.46965814,0.47115502,0.45190164,0.5129342,0.48426256,0.49699843,0.48801517,0.4367074,0.5008171,0.44546908,0.45712143,0.4841782,0.45530364,0.48783445,0.5230903,0.5154237,0.49237636,0.4608829,0.38605228,0.47126356,0.4923136,0.5200704,0.5395205,0.44390398,0.6137199,0.54978186,0.449107,0.5257445,0.5523608,0.48982146,0.5401287,0.41677007,0.48664513,0.53009367,0.5024092,0.49642825,0.529291,0.4932974,0.5258308,0.5022316,0.48099452,0.50944406,0.5135928,0.50748324,0.47795907,0.5064581,0.5221483,0.40393987,0.4598847,0.4727859,0.4952741,0.48977318
TSG101,0.46395546,0.41572618,0.42141762,0.6194803,0.42943537,0.49338207,0.46110314,0.411606,0.5305434,0.33304602,0.47664973,0.4273592,0.59186727,0.5150008,0.3657762,0.41663823,0.6880707,0.6709388,0.58663565,0.61770827,0.6079028,0.37209052,0.63666713,0.53709716,0.47258273,0.40848747,0.6434072,0.49820617,0.5098418,0.43964452,0.586906,0.5638081,0.4563785,0.4721449,0.4206098,0.42841107,0.3908427,0.3983485,0.36914116,0.4845308,0.47240728,0.47787434,0.38628608,0.4051931,0.5327083,0.6200962,0.6362079,0.5420295,0.5229161,0.41154778,0.5733392,0.62013483,0.55749923,0.55506796,0.6011524,0.3388038,0.56130034,0.62608165,0.4601319,0.50706923,0.4492805,0.49710906,0.52338576,0.4012895,0.5720035,0.6662648,0.38298577,0.44397658,0.5744344,0.61098784,0.3921904,0.62126046,0.44888526,0.44847682,0.5519961,0.61898947,0.4246386,0.4086799,0.3562228,0.6023013,0.40230793,0.5435687,0.42630765,0.399377,0.5671382,0.4111068,0.39446622,0.40321186,0.52419907,0.49079522,0.45252404,0.43329063,0.4323947,0.4597084,0.4372099,0.5211978,0.54528266,0.36325923,0.41365227,0.52469134,0.4824596,0.399631,0.4889852,0.5397674,0.63371724,0.48043147,0.45934677,0.39423174,0.3813506,0.5761091,0.53909224,0.43630248,0.57436126,0.6104242,0.5542626,0.3911113,0.48014015,0.49646464,0.60977733,0.5069225,0.5812719,0.54937726,0.63931984,0.25139874,0.58865815,0.38725328,0.36797357,0.5419855
CTCF,0.44036615,0.414766,0.41631833,0.6302875,0.4218086,0.49468297,0.45907724,0.41177332,0.5353629,0.3188496,0.4649551,0.4176304,0.58776665,0.5350921,0.36267647,0.41344446,0.68972915,0.6765275,0.5836589,0.6196186,0.60223305,0.35480458,0.65589833,0.5340715,0.447413,0.41660058,0.6492767,0.49359792,0.5044954,0.42831764,0.5888953,0.5831305,0.4514984,0.47300622,0.4085503,0.42705348,0.39707696,0.3921107,0.34653497,0.4810775,0.46085587,0.46744826,0.39112186,0.3964085,0.53053725,0.6206177,0.64438164,0.5604404,0.5176325,0.3996234,0.57188886,0.6320304,0.5555799,0.57081676,0.6086759,0.30766842,0.5711219,0.62648493,0.45564902,0.50391257,0.44106466,0.47540215,0.53034353,0.39418697,0.55664504,0.663741,0.37338203,0.43171954,0.5879742,0.617479,0.37720543,0.62952375,0.44797108,0.45219392,0.54447347,0.61951613,0.41133693,0.40461466,0.3379152,0.607478,0.39306667,0.5417179,0.41661718,0.40061077,0.5619768,0.4254134,0.38989848,0.41091758,0.5152525,0.46733245,0.4460379,0.43701732,0.43180236,0.45518717,0.43074274,0.5416555,0.549621,0.34746924,0.40098363,0.53669596,0.46968433,0.38427263,0.49888948,0.5307592,0.64452523,0.4740492,0.45408,0.39756116,0.37875986,0.5713841,0.53534687,0.41671193,0.5588244,0.6185975,0.56093735,0.37101203,0.48566493,0.49886876,0.6394252,0.5013266,0.5937774,0.5650546,0.63776475,0.24746622,0.5869051,0.3798606,0.3553504,0.5524894
