,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
BRWD1,0.0,0.0,0.0,1.4211286,1.1816319,0.0,0.0,0.56220263,0.0,0.0,0.0,0.0,0.7895428,0.0,0.39705682,0.0,1.5587121,1.6890812,1.2317276,0.0,1.1735862,0.0,0.58392316,0.0,0.0,0.0,0.49240494,0.0,0.66135174,0.58209586,0.4096909,0.7633101,0.0,0.0,0.0,0.0,0.97619975,0.0,0.0,1.3148276,0.0,0.0,0.0,0.0,0.42264742,0.56397355,1.6733153,0.9460631,0.41375294,0.0,1.0192727,1.0617208,0.31148213,0.0,0.59745985,0.21892823,0.48784348,0.5236732,0.0,0.4959951,0.0,0.0,0.22464609,0.9606709,0.48117125,1.4232233,0.0,0.0,0.41451874,0.63417345,0.09561443,1.2718843,0.61902076,0.0,0.0,1.3971853,0.0,0.0,0.0,0.095332235,0.0,0.81742567,0.0,0.0,0.0,0.0,0.0,0.0,0.17736489,0.2471208,0.0,1.6539946,0.0,0.0,0.0,0.30009088,0.0,0.046437826,0.0,0.0,0.0,0.0,0.0,0.0,1.1013707,0.9253105,0.0,0.0,0.0,1.3817768,0.0,0.0,0.84924966,0.9914727,0.0,0.0,0.0,0.0,0.7161666,0.81953967,0.6782689,1.3785975,1.0377622,0.76796114,0.6162381,0.0,0.0,0.0
CNOT6,0.38179827,0.0,0.0,1.1848613,0.5582559,0.20479839,0.0,0.14355597,0.0,0.0,0.19378105,0.0,0.5743498,0.0,0.09395607,0.0,1.3974434,1.1723346,0.92598754,0.31695074,1.4892411,0.050054416,0.56110626,0.0,0.0,0.0,0.5468497,0.0,0.31279868,0.3249284,0.38625985,0.45809388,0.0,0.0,0.0,0.28306013,0.31617215,0.0,0.0,0.33097923,0.0,0.0,0.0,0.0,0.0,0.7780754,1.5464964,0.5001191,0.0,0.09628392,0.64841807,0.6889654,0.16283076,0.0,0.5561064,0.43367726,0.23192112,0.8606197,0.0,0.0,0.0,0.0,0.21712054,0.48818707,0.3052508,1.0077804,0.25375265,0.0,0.5579492,0.9320909,0.0,1.254949,0.21869239,0.29551712,0.42623103,0.76313114,0.0,0.0,0.0014936216,0.18129638,0.0,0.20829426,0.0,0.0,0.37421817,0.0,0.09169956,0.0,0.7820231,0.20518976,0.0,0.64437443,0.0,0.0,0.09949805,0.18718165,0.0,0.014973638,0.0,0.0,0.0,0.0,0.0,0.29604447,0.5790022,0.24268869,0.0,0.0,0.0,0.67141145,0.14535093,0.0,0.31922537,1.0889863,0.0,0.0,0.0,0.0,0.5342618,0.38734215,0.39943707,1.0297517,1.0462255,0.11633246,0.7098352,0.0,0.0,0.37380758
CHD4,0.4520591,0.0,0.0,1.1644866,0.5273509,0.26259518,0.0,0.11547147,0.0,0.0,0.18441963,0.0,0.6387672,0.0,0.05620478,0.0,1.5040942,1.1497581,0.94692916,0.4172284,1.4568825,0.02679418,0.48280326,0.0,0.0,0.0,0.6169761,0.0,0.36036253,0.25225937,0.49780816,0.4659276,0.0,0.0,0.0,0.40327626,0.208172,0.0,0.0,0.3673467,0.0,0.0,0.0,0.0,0.0,0.7824271,1.5284779,0.5975361,0.0,0.13218069,0.67740566,0.67973727,0.1893389,0.0,0.584559,0.25106776,0.29955864,0.9178214,0.0,0.0,0.0,0.0,0.2267552,0.34764165,0.3218319,0.9470565,0.3467492,0.0,0.59615,1.0420333,0.0,1.3227262,0.19889998,0.3287273,0.4990785,0.7936146,0.0,0.0,0.07548395,0.10786766,0.0,0.1652284,0.0,0.0,0.56759053,0.0,0.090990916,0.0,0.7979396,0.15368566,0.0,0.7091041,0.0,0.0,0.1692326,0.09050189,0.0,0.09141974,0.0,0.0,0.0,0.0,0.0,0.3742685,0.5750813,0.17988433,0.0,0.0,0.0,0.60735923,0.22097865,0.0,0.27932197,1.1715738,0.0,0.0,0.0,0.0,0.5476005,0.33096054,0.3265512,1.0341125,1.1338428,0.102705255,0.7348037,0.0,0.0,0.4252487
SUN1,0.2057547,0.0,0.01668296,0.22603802,0.05369806,0.042239778,0.0,0.0,0.0,0.0,0.014044635,0.0,0.20213835,0.0,0.0,0.0,0.23048644,0.17575444,0.15114096,0.2666209,0.31799033,0.12214876,0.12278568,0.11754794,0.0,0.0,0.113639355,0.01692202,0.05886443,0.19441655,0.0,0.13154547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12381553,0.0,0.05656962,0.0,0.0,0.03381268,0.18837732,0.30591607,0.08865162,0.08611874,0.0,0.13819566,0.10736094,0.17196108,0.1699556,0.15767363,0.0,0.021841,0.15616675,0.0,0.10812351,0.0,0.0,0.04663421,0.0,0.16291766,0.14773855,0.04633809,0.0,0.11841293,0.2480336,0.0,0.2973761,0.0,0.024394665,0.09126597,0.0949616,0.0,0.11664185,0.043147277,0.107332855,0.0,0.13388284,0.0,0.0,0.21651809,0.0,0.0,0.08074513,0.2507578,0.21813732,0.0,0.055054,0.0057182815,0.0,0.0,0.0,0.0208821,0.0,0.0,0.0,0.0,0.0,0.0,0.14155284,0.0774958,0.31171542,0.0,0.0,0.0,0.04137262,0.14562723,0.100304484,0.058655884,0.22306894,0.0,0.0,0.0,0.0,0.11613277,0.0,0.0,0.22380358,0.26833537,0.0,0.0012409538,0.131733,0.0,0.11752106
SGK1,0.29689202,0.0,0.0,0.34723434,0.04131077,0.05495327,0.0,0.0,0.011067972,0.0,0.0046798857,0.0,0.21597438,0.0,0.0,0.0,0.30597642,0.28564805,0.26478472,0.32926452,0.49212492,0.082135946,0.20183171,0.08454037,0.0,0.0,0.20172164,0.084015675,0.14463656,0.13981438,0.038469672,0.23204178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115515314,0.0,0.0,0.0,0.0,0.0,0.2799357,0.50240195,0.17300794,0.042902596,0.0,0.27278718,0.18904006,0.17510426,0.11397778,0.19016996,0.0,0.103748634,0.25815296,0.0,0.074753605,0.0014841929,0.0,0.08055921,0.0,0.22344524,0.19750759,0.10605509,0.0,0.18168949,0.37329155,0.0,0.44510582,0.0,0.07205865,0.1987786,0.19675754,0.0,0.09135796,0.048396412,0.07212308,0.0,0.077660605,0.0,0.0,0.2893472,0.0,0.037867997,0.051982477,0.39144254,0.16683832,0.0,0.14055425,0.0044735726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.201062,0.13622779,0.23600005,0.0,0.0,0.0,0.16630161,0.20267564,0.05828811,0.00967852,0.3781237,0.0,0.0,0.0,0.0,0.17438164,0.0,0.0,0.34788722,0.392058,0.0,0.11306615,0.046356425,0.0,0.21870224
TUBB4B,0.19443199,0.0035701478,0.0,0.29797727,0.10247508,0.0,0.0,0.012179822,0.0,0.0,0.0,0.0,0.08070854,0.0,0.0,0.0,0.11445657,0.2144483,0.2829605,0.27704638,0.23669916,0.06674847,0.103065565,0.059736036,0.0,0.0,0.10873444,0.056837685,0.18725662,0.18772267,0.0,0.23363298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30192888,0.0,0.038604468,0.0,0.0,0.093247995,0.1644825,0.39163667,0.17488259,0.1065917,0.0,0.28107032,0.10442627,0.10059905,0.28774726,0.21728921,0.0,0.16246362,0.14982426,0.0,0.19613284,0.0,0.0,0.022270769,0.013081808,0.14198014,0.047704346,0.032236226,0.0,0.094675615,0.23765793,0.0,0.30430654,0.0,0.0,0.16484031,0.21545608,0.0,0.11805014,0.0,0.027856827,0.0,0.1822152,0.0,0.0,0.13948587,0.0,0.0,0.035250463,0.12595698,0.1567524,0.0,0.22097605,0.0,0.0,0.0,0.0,0.030782595,0.0,0.0,0.0,0.0,0.0,0.0,0.116909474,0.077139884,0.2864823,0.0,0.0,0.0,0.2394377,0.07292242,0.17283386,0.0,0.26813233,0.0,0.0,0.0,0.0,0.25118998,0.0,0.0,0.27886516,0.3747806,0.09929858,0.0,0.07753029,0.0,0.14694345
CELF3,0.10868472,0.036604837,0.04043663,0.04212967,0.0,0.0,0.023109406,0.080873,0.052741833,0.0,0.0,0.0,0.12570786,0.0,0.0,0.07366769,0.0179786,0.029486705,0.0,0.051693156,0.070777215,0.09869515,0.037124142,0.057022393,0.0,0.0,0.09448053,0.0,0.030849578,0.097903535,0.0,0.0,0.0,0.057990164,0.05908848,0.096371934,0.0,0.015216144,0.0,0.0,0.068048865,0.044537704,0.0,0.0,0.017210545,0.0066208467,0.11171837,0.0,0.04976747,0.120263435,0.032636035,0.0804843,0.007859105,0.052383028,0.0,0.0,0.026557963,0.074155495,0.0,0.04529932,0.0748531,0.0,0.06715281,0.0,0.0473002,0.057617508,0.060583465,0.003986868,0.0,0.109707706,0.0,0.07936421,0.0,0.07440847,0.0,0.04302679,0.03367213,0.0,0.048282105,0.08702905,0.0,0.03404779,0.0128002735,0.0,0.04202477,0.0,0.052754134,0.0,0.06558371,0.07178481,0.0,0.0,0.0,0.0,0.12196189,0.0865097,0.09280998,0.0,0.0,0.0,0.0,0.0,0.0,0.029012278,0.022956805,0.04985065,0.0,0.0,0.0,0.042723276,0.115881614,0.06765869,0.0,0.103227265,0.0,0.0,0.0,0.0,0.0,0.0,0.059504345,0.07336296,0.053843524,0.0,0.08202198,0.05020511,0.0,0.0
MFSD1,0.09870223,0.00068153534,0.0071955174,0.06502617,0.0,0.0,0.05584704,0.0,0.06383875,0.0,0.0,0.0,0.122635975,0.0,0.0,0.0,0.02914978,0.059602696,0.07996913,0.11194979,0.083787456,0.13276783,0.05568493,0.13878337,0.0,0.0,0.115017116,0.0,0.039147887,0.14040315,0.0,0.09350555,0.0,0.04580476,0.055980407,0.0,0.0,0.009469608,0.0,0.088225804,0.020252421,0.12752603,0.0,0.0,0.046474338,0.052930206,0.14200057,0.030410312,0.10966471,0.0,0.09118326,0.0046928674,0.058470674,0.13791558,0.037841357,0.0,0.0031897798,0.06671454,0.0,0.085074775,0.014036644,0.0,0.0,0.0,0.08123092,0.010923998,0.0,0.0,0.011516403,0.078002416,0.0,0.11709543,0.0,0.0,0.03082107,0.027633073,0.03964723,0.026508167,0.0,0.12830363,0.0,0.095076814,0.03162372,0.0,0.016700631,0.0,0.0,0.0,0.10620756,0.11216836,0.0,0.0042091534,0.0,0.0,0.0,0.0,0.112837955,0.0,0.0,0.0,0.0,0.0,0.0,0.04059653,0.07255786,0.25271124,0.0,0.0,0.0,0.0,0.0,0.16749096,0.0,0.097725496,0.0,0.0,0.0,0.0,0.09149409,0.0,0.0,0.07643573,0.055880494,0.0,0.0,0.103983656,0.0,0.0
TSG101,0.17510241,0.0,0.0,0.71743494,0.3442241,0.01762946,0.0,0.19966933,0.0,0.0,0.18395309,0.0,0.50040156,0.0,0.0,0.0,1.0233579,0.7222515,0.6019173,0.41069484,1.0379261,0.41417283,0.30158934,0.34369645,0.0,0.0,0.27449435,0.0,0.0,0.18542553,0.0,0.2692777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24861014,0.03451421,0.0,0.0,0.0,0.0,0.53640276,0.8176479,0.29482254,0.0,0.0,0.53319955,0.327981,0.43942434,0.0,0.2581354,0.0,0.11260879,0.50196624,0.0,0.060202934,0.03623884,0.0,0.022897847,0.11540969,0.362662,0.53571963,0.0,0.052408163,0.39773622,0.42251784,0.0,0.6871141,0.08686748,0.05739673,0.032388084,0.33613753,0.0,0.036202222,0.006627757,0.22447115,0.0,0.36883798,0.0,0.0,0.12119214,0.0,0.0,0.08934972,0.5308342,0.4157848,0.0,0.34505314,0.0,0.0,0.0,0.0,0.0,0.2516329,0.0,0.0,0.0,0.0,0.0,0.13190642,0.40122035,0.44849938,0.0,0.0,0.0,0.15177836,0.0,0.0,0.24538267,0.68456584,0.0,0.0,0.0,0.0,0.13524053,0.2730408,0.0,0.6154852,0.5190218,0.0,0.3437873,0.12076957,0.0,0.060628723
CTCF,0.24693957,0.0,0.0,0.9112664,0.3677835,0.14566489,0.0,0.0,0.0,0.0,0.3206994,0.0,0.5886535,0.0,0.041874304,0.0,1.1390705,0.73398477,0.637843,0.30736706,1.1955113,0.27671397,0.38754648,0.2775943,0.0,0.0,0.3558637,0.0,0.0,0.33345503,0.071856365,0.26863244,0.0,0.0,0.0,0.0,0.05471502,0.0,0.0,0.30556414,0.0017232448,0.0,0.0,0.0,0.0,0.66029674,0.87749213,0.31649727,0.057756595,0.0,0.43480614,0.3186738,0.31242824,0.0,0.3857576,0.027174339,0.0,0.6087207,0.0,0.0,0.0,0.0,0.0,0.23201339,0.29765278,0.70296663,0.0,0.0,0.44188827,0.57561576,0.0,0.8572948,0.17532429,0.10334255,0.11249029,0.28770092,0.0,0.025918871,0.035988737,0.15156788,0.0,0.2578079,0.0,0.0,0.2721643,0.0,0.020529762,0.06369504,0.7829285,0.34814814,0.0,0.21016315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14354245,0.43696466,0.4323367,0.0,0.0,0.0,0.019821132,0.0,0.0,0.3457362,0.719666,0.0,0.0,0.0,0.0,0.19249478,0.30698693,0.034486033,0.59645545,0.6273815,0.0,0.4201602,0.0,0.0,0.16699769
