,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
BRWD1,-0.18727148,-0.005577203,-0.23016128,0.3040794,0.57858294,0.15786983,-0.26915973,-0.034573354,-0.18487053,-0.10136112,0.09235791,0.017925989,-0.0351085,0.09517969,-0.025165118,-0.052490145,-0.040926978,0.066988595,0.15248153,0.037763692,0.01794019,0.10303247,-0.08790683,-0.117190406,0.06625208,-0.344601,-0.1345965,0.3256427,0.026722513,-0.15541762,-0.062299237,0.22849593,-0.11550801,0.008854136,0.12656336,0.2754248,0.036602527,-0.092217386,0.024342604,-0.17738281,-0.15979345,0.2361191,0.28141576,-0.06219989,0.070223644,0.12500621,-0.029791504,0.02184169,0.11140092,-0.18490887,-0.072278775,0.05001163,0.103512496,0.08593555,0.25093144,0.12825504,-0.037106924,0.17130464,0.42170092,0.062893406,0.24767351,-0.07341783,0.010705877,0.19897096
CNOT6,-0.12026553,0.12193196,-0.110251226,0.12418784,0.09353304,-0.034965225,-0.06283806,0.092474096,-0.14220604,-0.030555472,-0.049445853,-0.107328,-0.10312285,-0.093454026,-0.10471314,0.108813226,0.092939205,-0.07644203,0.10971211,0.12800038,-0.10108376,0.10284473,0.11097348,-0.09088647,-0.11406694,-0.11567205,0.10663836,0.13637121,0.13913885,0.082812816,0.10768869,0.12390221,0.099543,-0.12554643,0.114906654,0.14793964,-0.109379396,-0.1370633,0.13287377,-0.14569397,0.102921635,-0.078089476,-0.078412905,0.1114903,-0.119785614,-0.11193535,0.09559664,0.10552947,0.11155042,-0.11281465,0.1089788,-0.08758008,-0.08990741,-0.11024302,0.12993266,0.11121818,-0.12081003,0.14466318,0.14048237,-0.112512484,-0.09288711,-0.09858538,0.14427811,-0.069512114
CHD4,-0.15040578,0.1487478,-0.13433433,0.12911816,0.07678445,-0.071550876,-0.070640355,0.12752888,-0.16081092,-0.06667532,-0.08997148,-0.14841902,-0.13554011,-0.124451205,-0.13654631,0.14784645,0.13572529,-0.11080696,0.12497443,0.16751216,-0.14965622,0.11817425,0.14417458,-0.10853384,-0.14280331,-0.13057342,0.13765159,0.1521897,0.16600552,0.11966659,0.15101257,0.1394352,0.14192775,-0.15675086,0.12777023,0.16764642,-0.13002008,-0.1709507,0.1671677,-0.15291236,0.1398084,-0.09976521,-0.11937451,0.13288684,-0.15375236,-0.14657572,0.11815827,0.12305525,0.14341038,-0.14596155,0.13968202,-0.11015786,-0.11711475,-0.14701883,0.1495701,0.1357384,-0.1528668,0.16074127,0.14636898,-0.15579012,-0.12425781,-0.12521537,0.18067116,-0.10988866
SUN1,0.025439005,-0.02342552,0.036468536,-0.051725566,-0.08495575,-0.012730451,0.04556325,0.008855313,0.020545842,0.025252953,0.001854646,-0.0049008317,0.013035744,-0.01036736,0.016623534,0.0043280423,0.0013727099,-0.0026083328,-0.033618975,-0.0063578375,0.010196159,-0.007593952,0.0067634084,0.026408248,-0.011558767,0.06431527,0.010516464,-0.061205372,-0.018911388,0.004445456,-0.00029742718,-0.040845126,0.0059038494,0.0061911196,-0.038632926,-0.039651003,-0.0008049533,0.0059717037,-0.031073298,0.03713304,0.028307179,-0.028550966,-0.026164211,0.012180617,-0.009385179,0.00039098412,0.00082820654,-0.0066298023,-0.030656531,0.044178568,0.001451794,-0.0030882098,-0.0068240575,-0.015527602,-0.03012617,-0.028255982,0.013753371,-0.023506405,-0.059436817,0.0032935776,-0.038476244,0.0047819205,-0.021471987,-0.017845206
SGK1,-0.023013927,0.026018307,-0.0058697853,-0.016383968,-0.069784984,-0.035457842,0.038647644,0.05726186,-0.02860677,0.01877147,-0.047549695,-0.041350223,-0.022049174,-0.051363926,-0.026162721,0.054592945,0.044428103,-0.02850816,-0.012039501,0.03401436,-0.04356411,0.02664917,0.043925222,0.00077740336,-0.05744947,0.029618524,0.062546544,-0.018269047,0.03677191,0.051784012,0.045048274,-0.015911952,0.052141942,-0.039040938,0.013797831,0.0038750581,-0.042007163,-0.04429926,0.017737705,-0.00057816505,0.078042686,-0.07647118,-0.07643139,0.055091172,-0.062263597,-0.053317763,0.039378703,0.040539622,0.009096902,-0.00011412799,0.051488817,-0.04286129,-0.05007423,-0.063071005,0.0031596534,0.015366685,-0.03892634,0.01819488,-0.021540489,-0.043886285,-0.10216255,-0.041871116,0.03236205,-0.06326164
TUBB4B,-0.015757188,-0.0012146309,-0.018013535,-0.0101244645,0.0020774435,-0.012844354,-0.0054478142,-0.0027364828,-0.0145904925,-0.009731233,0.0011525806,-0.008909572,0.0019860566,-0.00472115,0.0039445646,-0.0015786067,0.009986732,0.01212357,-0.00808128,0.00735645,0.00592526,0.005792737,-0.008854082,0.0028398954,0.0009444803,-0.0022363067,0.003499209,-0.0016790926,0.00019585155,-0.0045742206,0.009654671,0.017741827,-0.0037345327,-0.005788952,-0.0069573857,0.009249486,0.016146116,0.004811216,-0.013388768,-0.00119498,0.016879106,-0.0011350587,-0.002354307,-0.0010737944,0.0031038905,-0.0059800968,-0.00608892,0.00836667,0.00772094,-0.00014795735,-0.007277727,-0.0027388483,0.010704836,-0.002779264,0.004828837,0.0018752827,-0.0021232758,0.010150939,0.011437111,0.008668318,0.0037399735,0.0024523847,0.00835073,0.017638009
CELF3,0.026646435,-0.037071668,0.047477603,-0.05634506,-0.06455037,-0.050041743,-0.012193292,-0.037431315,0.032222267,-0.0453537,0.00298684,0.0072180554,-0.010759078,0.021837033,0.01694832,-0.00022912025,0.0029031336,0.0027769394,0.0025198776,-0.0010851845,0.017830372,0.0048404858,-0.005714064,0.008285172,0.0132301375,0.030432798,-0.010836766,-0.04452413,-0.02829142,-0.013848323,-0.014640428,-0.0053469827,-0.00817529,0.0051430315,-0.049716774,-0.047728006,0.02474454,0.021928806,-0.019665102,0.02274197,-0.0024368074,0.0053856857,0.011917783,-0.018318048,0.008272852,0.019713134,-0.009115286,-0.036551062,-0.023975227,0.040032435,-0.020603567,0.016847406,0.021452058,0.019076213,-0.037831075,-0.031427164,0.025636854,-0.03559941,-0.059480682,0.02088555,0.036509674,0.040011864,-0.014142498,0.025483165
MFSD1,0.07546478,-0.077921934,0.09061719,-0.09985335,-0.09967456,-0.012970656,0.027203534,-0.062256362,0.080911666,0.009196788,0.0434365,0.05289529,0.04917589,0.05471556,0.07241178,-0.049061894,-0.058331072,0.042544685,-0.046602346,-0.06653248,0.07719961,-0.044312924,-0.05012339,0.04404658,0.05763893,0.10207193,-0.05767254,-0.10730712,-0.08723757,-0.057412922,-0.061304525,-0.07335661,-0.06507857,0.06293751,-0.087647706,-0.09217493,0.06275366,0.078343496,-0.082129434,0.064144835,-0.04817469,0.04248151,0.04911738,-0.056670867,0.053888638,0.056924544,-0.043445215,-0.06909607,-0.07351993,0.090377584,-0.07114566,0.045081016,0.06662324,0.06535711,-0.08905834,-0.080004774,0.07887446,-0.08705658,-0.10506821,0.06835974,0.062717564,0.07696842,-0.0684803,0.05875331
TSG101,0.011811443,0.011785299,0.030680202,-0.009265606,-0.06904121,0.01647104,0.057875246,0.05156984,0.0073749158,0.08290538,-0.014556228,0.0009573959,0.0055040494,-0.041412912,-0.02406495,0.024036497,0.011929318,-0.012916867,-0.045752667,-0.013627466,-0.0054835617,0.004625365,0.03146537,0.020255577,-0.049566343,0.05058098,0.02546424,-0.046406817,-0.004379956,0.025986616,0.022810817,-0.055356443,0.01726982,-0.003480345,-0.006491024,-0.01379849,-0.036661208,-0.034803297,-0.008059317,0.025879148,0.027560974,-0.046765447,-0.029440764,0.0406454,-0.048799288,-0.03469321,0.017624073,0.038021855,-0.0072843134,0.012192996,0.018760737,-0.015424907,-0.030050773,-0.039204642,-0.007180918,-0.01902207,0.006781785,0.015125585,-0.032186992,-0.03161377,-0.11513683,-0.039256077,-0.010473594,-0.071628794
CTCF,0.033656668,0.017086066,0.04433555,-0.043734055,-0.1695277,-0.0019715503,0.12878184,0.10436157,0.026869511,0.11971818,-0.0279667,-0.030789226,0.013376012,-0.085184045,0.0025718138,0.06838423,0.0015685856,-0.04187611,-0.05505161,-0.008959938,-0.027061528,0.0011097416,0.06572147,0.033659805,-0.094115846,0.13093835,0.06552432,-0.09649253,-0.0063191378,0.06650138,0.04170095,-0.11227018,0.055934153,-0.0059608817,-0.02003982,-0.024400573,-0.06621581,-0.057630345,-0.016384417,0.046004537,0.09071565,-0.11568676,-0.08971681,0.07041193,-0.07925733,-0.06972291,0.047659453,0.049890295,-0.026551474,0.0461255,0.051592093,-0.031702265,-0.0684192,-0.078517154,-0.03101892,-0.027318126,-0.001592461,-0.0063425843,-0.08963155,-0.06910232,-0.17822629,-0.053124733,-0.011364307,-0.12946029
TGFB1I1,-0.004123971,-0.005786564,0.013654929,-0.028653342,-0.05336822,-0.05759972,-0.009156069,-0.00028055348,0.00052726036,-0.04351058,-0.02511365,-0.02032106,-0.033743612,-0.009306904,-0.012786936,0.024464458,0.035769403,-0.018739488,0.012488006,0.035514057,-0.01999276,0.0216185,0.021495786,-0.007137395,-0.022941343,0.0077318177,0.022193037,-0.013625003,0.0108989235,0.019954447,0.016971625,0.017522588,0.029434051,-0.023329757,-0.0142758265,-0.018780094,-0.006914191,-0.011375558,0.011812616,0.0033286288,0.035595328,-0.025782743,-0.027604159,0.018227665,-0.028417226,-0.012017842,0.013310818,-0.003548786,0.00090160966,0.014147043,0.017883968,-0.006659638,-0.0134557225,-0.017730355,-0.0041507334,-0.0021696677,-0.010022862,-0.002873795,-0.03320434,-0.012491535,-0.010039034,0.005558919,0.01143606,-0.012052514
GM14519,0.11109415,-0.103766784,0.1224947,-0.12516965,-0.103473276,-0.0038881712,0.017893799,-0.107634775,0.11198375,0.0042709634,0.07863293,0.07997152,0.073642865,0.09788121,0.094454646,-0.0888385,-0.09775782,0.061379112,-0.052171826,-0.104222775,0.11002093,-0.0736417,-0.07905474,0.058143523,0.10272367,0.11924877,-0.10338282,-0.127076,-0.12746939,-0.095934615,-0.095709726,-0.08171387,-0.1054799,0.09313853,-0.121691644,-0.11354627,0.099422194,0.116824344,-0.10882666,0.079465315,-0.094966896,0.085344985,0.09456086,-0.10090601,0.091665745,0.092095435,-0.075985834,-0.10732048,-0.091266386,0.11446203,-0.114909425,0.07803501,0.11315043,0.10760988,-0.11724231,-0.10410582,0.11901254,-0.12185274,-0.123084195,0.109625295,0.13270417,0.1157898,-0.0948371,0.10616812
SPNS2,0.03013096,-0.023392364,0.03667991,-0.056339025,-0.094968356,-0.024729298,0.041794762,0.008078568,0.025136802,0.015895456,-0.00085825566,0.0010411218,0.0035705864,-0.0036354065,0.011694338,0.0015802607,0.00195501,-0.0067174695,-0.027895607,0.00062315166,0.002884624,-0.012704186,-0.0025905375,0.020945746,-0.014793772,0.06059666,0.010138472,-0.054922972,-0.021107566,0.0060975812,-0.003263399,-0.033876926,0.014767084,0.009923726,-0.032725595,-0.046752516,-0.0042474046,0.01576462,-0.026423123,0.03509127,0.029987665,-0.027156165,-0.022524428,0.009609884,-0.016234025,-0.0040587746,-0.0022510476,-0.0054154545,-0.033611253,0.04966052,0.0023529232,0.007742759,-0.0052301176,-0.00825347,-0.030802459,-0.02919715,0.019895146,-0.024964707,-0.062796175,0.00097250193,-0.034172438,0.008756053,-0.023247056,-0.018448345
HIST1H2BN,-0.06045279,0.069482945,-0.042721704,0.019831069,-0.048191853,-0.04863272,0.020263255,0.09295281,-0.05711764,2.8043985e-05,-0.07884278,-0.070521176,-0.05739802,-0.08040662,-0.07282643,0.09215328,0.08438504,-0.063564524,0.018832762,0.077780776,-0.09320728,0.05622217,0.0788866,-0.02644183,-0.09853612,-0.0025386699,0.09270931,0.030258887,0.078917585,0.085481346,0.08154362,0.014348539,0.09935311,-0.08304872,0.048649248,0.04971838,-0.08447543,-0.09463306,0.06694207,-0.03471601,0.11224628,-0.09935542,-0.099871546,0.08592654,-0.10201577,-0.08838182,0.06776307,0.07100706,0.044222824,-0.039471794,0.0848926,-0.069162965,-0.08998233,-0.096698225,0.04874693,0.049522776,-0.07965448,0.05444651,0.015538447,-0.086348966,-0.13460273,-0.078743786,0.07664337,-0.100870594
PRPS2,0.034949638,-0.03647875,0.042690203,-0.05918424,-0.05890181,-0.029347492,0.0020655394,-0.032451253,0.03406902,-0.011139847,0.017414484,0.014082771,0.016349226,0.026321292,0.028869491,-0.016476564,-0.016992912,0.01686782,-0.013266429,-0.015365366,0.031216662,-0.016289808,-0.02301212,0.01591931,0.026073337,0.044004872,-0.026783489,-0.05252084,-0.039092947,-0.02545445,-0.022489946,-0.017986605,-0.022681203,0.022144966,-0.052016817,-0.046263207,0.029329985,0.03658806,-0.039688937,0.028105889,-0.012742289,0.014131688,0.021611106,-0.028104281,0.022384845,0.025321275,-0.022565678,-0.033445455,-0.027507324,0.045716383,-0.029595293,0.018402796,0.03782711,0.030907772,-0.038462706,-0.03656682,0.03644234,-0.040855408,-0.054212563,0.03491336,0.0380439,0.04141542,-0.028937826,0.036436394
COL27A1,-0.0048064888,0.016311623,0.0005106777,-0.025375176,-0.08440435,-0.03899083,0.037419356,0.04762157,-0.009713082,0.008085847,-0.033605766,-0.03493202,-0.02931885,-0.038564146,-0.0252176,0.039878234,0.03995119,-0.034643803,-0.00948726,0.03699457,-0.046349242,0.01272865,0.031408075,-0.00069724163,-0.057665445,0.03309293,0.04996237,-0.01959312,0.023759622,0.04485746,0.0366346,-0.007441703,0.06019915,-0.028395787,0.0044292547,-0.010648284,-0.040303424,-0.024943732,0.013736699,0.008063126,0.07064117,-0.06436663,-0.064603984,0.048072573,-0.058349818,-0.045533158,0.028287267,0.028710425,-0.004925806,0.016029067,0.04239667,-0.019961376,-0.045798536,-0.049779456,0.005435638,0.004130756,-0.022027617,0.013444517,-0.034452736,-0.041150812,-0.08151734,-0.03066254,0.016692333,-0.062167093
RFX5,-0.037874073,0.014056489,-0.014872579,0.019008372,0.0031861681,-0.018553965,0.0019906983,0.048481196,-0.031510323,0.011514321,-0.03158932,-0.029929163,-0.019873798,-0.038909152,-0.020234078,0.043438666,0.04899106,-0.0156628,0.014174484,0.032533295,-0.034443524,0.04309417,0.035211198,-0.012304978,-0.047692996,-0.018830866,0.040187955,0.015103936,0.026159808,0.03106543,0.025937922,0.015973713,0.035983056,-0.024382662,0.013591442,0.018372005,-0.029897273,-0.05662375,0.028331548,-0.00835048,0.057124637,-0.05092877,-0.03670435,0.041363522,-0.04332971,-0.036045566,0.040722422,0.03608881,0.014347767,-0.014746215,0.03452656,-0.02457659,-0.04580981,-0.044652265,0.033025343,0.012350399,-0.03784252,0.037378896,0.014161833,-0.037096355,-0.058611892,-0.0412939,0.024461016,-0.051760748
ORC2,-0.093604594,0.10576046,-0.08446177,0.09427349,0.033604376,-0.029702066,-0.022128902,0.11751216,-0.10471401,0.0014161766,-0.065770306,-0.0928238,-0.0840364,-0.100562006,-0.09174828,0.11272058,0.102277696,-0.07218094,0.06309761,0.10425304,-0.10861017,0.08547662,0.10518661,-0.06716672,-0.12041202,-0.073309585,0.101135544,0.08694662,0.1094151,0.092414185,0.104202695,0.06536223,0.107616104,-0.10515109,0.08950445,0.107770726,-0.09823261,-0.1351477,0.10457731,-0.0836792,0.11066612,-0.08468491,-0.07943846,0.102059744,-0.11837384,-0.11352038,0.08943516,0.1025351,0.0904236,-0.09759739,0.103004426,-0.073801965,-0.10233356,-0.10476132,0.09972971,0.09038137,-0.093036555,0.10325974,0.10095159,-0.11843969,-0.13949078,-0.11044184,0.11089828,-0.10118635
NR5A2,-0.046660505,0.059835397,-0.014328038,-0.0010689804,-0.09932396,-0.016127616,0.1123326,0.16483808,-0.043704323,0.08571266,-0.086022586,-0.07148533,-0.036585003,-0.14270703,-0.04185787,0.102586806,0.085798256,-0.055496592,-0.028938651,0.039419554,-0.093047015,0.04067198,0.09964013,0.0135033205,-0.13478597,0.05194711,0.1281066,-0.044288304,0.044636063,0.11621189,0.08715696,-0.05240182,0.09156285,-0.04370875,0.02931847,0.016220158,-0.0901269,-0.12659678,0.054612346,0.008479685,0.14392222,-0.15219767,-0.1526253,0.111561574,-0.14022489,-0.10848757,0.08527802,0.08720824,0.021924475,-0.019831914,0.100267805,-0.061580207,-0.117078096,-0.14147983,0.03138196,0.0131104905,-0.081527375,0.053119436,-0.036728755,-0.13071758,-0.22886121,-0.11845797,0.03316383,-0.1796751
ARHGEF40,0.088654056,-0.0838446,0.09237071,-0.10311295,-0.081121765,0.0062785707,0.02247421,-0.08247723,0.08415898,0.011057511,0.06806538,0.06862067,0.0603607,0.07457258,0.07867609,-0.07518332,-0.07830863,0.056677543,-0.05221945,-0.08406985,0.09148227,-0.06106484,-0.06532274,0.051710635,0.07856323,0.10231521,-0.07821996,-0.101931505,-0.10306846,-0.07770204,-0.073629804,-0.06767649,-0.087259315,0.077829525,-0.09644851,-0.09588252,0.08385945,0.10026316,-0.09434059,0.06554127,-0.07264288,0.066846415,0.07552701,-0.07229016,0.079364136,0.07297821,-0.062219694,-0.08559252,-0.07760539,0.09213333,-0.09048766,0.05980364,0.09284983,0.07876368,-0.09438613,-0.08466002,0.09651985,-0.09884078,-0.09582551,0.09092642,0.10029216,0.095688716,-0.078523085,0.084566996
