TF_gene,Target_gene
MYCN,MFSD1
STAT3,MFSD1
E2F6,MFSD1
MEF2C,MFSD1
JUN,GOLPH3
AHCTF1,GOLPH3
VDR,TNFAIP8
GATA1,TNFAIP8
MEIS1,TNFAIP8
MYB,PITRM1
MCM6,PITRM1
AHCTF1,SERPINF1
AHR,TACC3
MCM4,TACC3
MYB,TACC3
GATA1,TACC3
HMGB2,TACC3
MYC,TIMM50
MYCN,TIMM50
MCM3,TIMM50
AHR,EIF4ENIF1
HOXA9,EIF4ENIF1
MEIS1,EIF4ENIF1
MYC,EIF4ENIF1
MYCN,EIF4ENIF1
SMAD2,EIF4ENIF1
NFE2,HIST1H2BC
HDAC7,HIST1H2BC
HDAC9,HIST1H2BC
HDAC10,HIST1H2BC
MYB,HIST1H2BC
HDAC11,HIST1H2BC
MCM6,HIST1H2BC
AHR,HIST1H2BC
HDAC2,HIST1H2BC
GATA1,SATB1
MECOM,SATB1
GFI1B,SATB1
NFATC1,SATB1
STAT3,SATB1
HOXA9,SATB1
NFATC2,SATB1
MEIS1,SATB1
MECOM,STARD10
AHR,STARD10
EGR1,STARD10
ETS1,CSGALNACT2
AHR,CSGALNACT2
MCM2,CSGALNACT2
MEF2C,CSGALNACT2
FOXO1,CSGALNACT2
JUN,CSGALNACT2
MCM3,WDR75
MCM7,WDR75
IKZF1,MARS
MYB,CEPT1
MIS18BP1,CEPT1
JUN,GFI1
ID2,GFI1
ETS1,GFI1
STAT3,GFI1
GFI1B,GFI1
EGR1,GFI1
VDR,GFI1
MYCN,SLC19A1
MYB,FAM91A1
IRF1,VPS11
SMARCA2,VPS11
MCM2,ADAMTS10
KLF1,PON2
MYB,PON2
ESR1,NOTCH1
IKZF1,NOTCH1
JUN,NOTCH1
JARID2,NOTCH1
FOS,NOTCH1
MYCN,NOTCH1
HDAC7,NOTCH1
MYC,NOTCH1
APBB1,NOTCH1
SRSF1,METTL27
MCM6,METTL27
MYCN,METTL27
POLR2B,METTL27
MYC,VKORC1L1
MECOM,VKORC1L1
MYCN,VKORC1L1
MYB,VKORC1L1
MCM7,CD48
GTF2F1,RPP40
MCM6,RPP40
GATA1,RPP40
MYCN,PTDSS1
SP4,PTDSS1
AHR,GSR
MYB,GSR
MCM4,TNFAIP2
MYB,TNFAIP2
ESR1,HNF4A
VDR,HNF4A
NR4A1,HNF4A
GTF2F1,HNF4A
PPARGC1A,HNF4A
RORC,HNF4A
THRB,HNF4A
MYC,HNF4A
FOXO1,HNF4A
MECOM,HEMGN
GATA1,HEMGN
HCFC1,HEMGN
MYCN,PADI4
MECOM,PADI4
MYCN,PRMT7
MYC,PRMT7
MYC,FTSJ1
STAT3,HEATR5A
RB1,HEATR5A
PWP1,TBL3
E2F4,TBL3
REL,TBL3
MCM4,KIF11
MCM7,KIF11
CENPK,KIF11
MCM2,KIF11
MCM6,KIF11
MIS18BP1,KIF11
MCM3,KIF11
MCM4,PBK
FOS,PBK
HMGB2,PBK
MCM3,PBK
MCM7,PBK
MCM6,PBK
CENPK,PBK
MCM2,PBK
IRF1,LLGL1
RB1,LLGL1
EGR1,VHL
MYCN,VHL
EPAS1,VHL
MECOM,VHL
CBFB,HSD3B7
REL,HSD3B7
STAT3,HSD3B7
AHCTF1,HSD3B7
CENPK,HNRNPLL
MYCN,HNRNPLL
HDAC10,HNRNPLL
GATA1,ASF1B
MCM3,ASF1B
MCM2,ASF1B
MCM6,ASF1B
MYB,ASF1B
STAT3,ASF1B
VDR,ASF1B
MCM7,ASF1B
IRF1,ASF1B
MCM4,ASF1B
IRF1,ANKFY1
ETS1,ANKFY1
MEIS1,ANKFY1
MYB,ANKFY1
MYC,ANKFY1
MECOM,SPIRE1
JUN,SPIRE1
MYCN,FZR1
REL,GMCL1
MYCN,FAR1
AHR,FAR1
MYC,PRSS50
GATA1,PRSS50
NCOA6,EXT2
ESR1,TIE1
RB1,TIE1
CBFB,TIE1
ETS1,TIE1
MYB,SLC38A5
ORC2,NUSAP1
CENPK,NUSAP1
MYB,PDZK1IP1
MYC,PDZK1IP1
ORC2,PDZK1IP1
GFI1,SPI1
MYCN,SPI1
FOS,SPI1
RB1,SPI1
IRF8,SPI1
JUN,SPI1
SATB1,SPI1
NOTCH1,SPI1
ID2,SPI1
STAT3,SPI1
MCM3,GT(ROSA)26SOR
REL,GT(ROSA)26SOR
JUN,ELMO1
GATA2,ELMO1
STAT3,ELMO1
MCM2,ELMO1
MCM6,MKI67
MCM2,MKI67
MCM4,MKI67
HMGB2,MKI67
MYCN,MKI67
MCM3,MKI67
MCM7,MKI67
NFATC2,MKI67
AHR,BTAF1
E2F4,SALL2
MYC,SALL2
MYB,SALL2
MECOM,SALL2
GATA1,SALL2
ESR1,FOS
MEIS1,FOS
MECOM,FOS
GATA2,FOS
JUN,FOS
IRF1,FOS
GATA1,FOS
CREB5,FOS
RB1,FOS
SMARCA2,FOS
STAT3,CISH
EPOR,CISH
ABL1,CISH
AHR,CISH
MYCN,CISH
CENPK,NDN
STAT3,NDN
E2F4,NDN
HCFC1,NDN
MEIS1,NDN
MYC,AMPD3
MCM7,AMPD3
MCM4,AMPD3
MYCN,CHCHD10
HNF4A,CHCHD10
PWP1,CHCHD10
AHR,CHCHD10
STAT3,CHCHD10
THRB,INKA1
MCM7,INKA1
HCFC1,INKA1
MYCN,MTMR6
MYC,HDGF
HMGB2,HDGF
MYCN,HDGF
MEF2C,HDGF
MYC,TM7SF3
AHR,TM7SF3
MYCN,ZFP451
EGR1,ZFP451
JUN,ZFP451
FOXO1,ZFP451
MYC,ZFP451
JUN,STXBP1
MCM2,MSH6
MCM3,MSH6
EPAS1,MSH6
MCM4,MSH6
MCM7,MSH6
XRCC6,MSH6
MCM6,MSH6
GTF2E1,MSH6
AHR,SLC6A6
PWP1,SLC6A6
ETS1,SELENOP
GATA1,MYO1G
MCM6,TYMS
MYC,TYMS
MYCN,TYMS
NFE2,TYMS
MCM7,TYMS
MCM2,TYMS
MCM3,TYMS
ETS1,TYMS
MCM4,TYMS
POLR1B,TYMS
GATA1,BCLAF3
MECOM,BCLAF3
MCM7,BCLAF3
MYCN,UGCG
AHR,SEPT8
REL,SEPT8
MYCN,GPR180
STAT3,RGS1
MECOM,RGS1
ORC2,ANAPC4
GATA1,ANAPC4
GATA2,ANAPC4
ETS1,ANAPC4
MYCN,ANAPC4
ORC2,CDC6
GATA1,CDC6
MYC,PRDM16
IRF1,PRDM16
SMAD2,PRDM16
GTF3C3,PRDM16
AHR,PRDM16
MEIS1,BTK
FOS,BTK
JUN,BTK
STAT3,BTK
MYCN,BTK
CENPK,RFC5
NFE2,RFC5
SNAPC3,RFC5
IRF1,GRINA
PGR,GRINA
MYCN,GRINA
PML,GRINA
REL,GRINA
AHR,GRINA
MYCN,PRKCQ
GATA2,PRKCQ
STAT3,PRKCQ
FOXO1,PRKCQ
GTF2F1,GARS
MYCN,AI506816
MYC,AI506816
RUVBL2,SKAP2
REL,SKAP2
JUN,SKAP2
MECOM,SKAP2
MYC,SGTA
NCOA6,ASNS
MYC,ASNS
MYB,ASNS
NDN,DPP8
MYCN,DPP8
ETS1,DPP8
MYCN,GPSM2
NFKBIA,GPSM2
ESR1,GPSM2
MYC,GPSM2
EGR1,GPSM2
JUN,EPAS1
MECOM,EPAS1
FOXO1,EPAS1
GATA2,EPAS1
GATA1,EPAS1
VHL,EPAS1
IRF1,EPAS1
MCM6,EPAS1
MCM3,GNAI3
MCM6,GNAI3
ETS1,GNAI3
MECOM,GNAI3
MYC,GNAI3
MYC,FOXRED1
FOXO1,FOXRED1
AHR,FOXRED1
NFATC2,CTSC
MYB,CTSC
HDAC2,CTSC
FOS,CTSC
MYC,WDR36
PA2G4,WDR36
JUN,WDR36
PWP1,WDR36
POLR1B,WDR36
MYCN,WDR36
MECOM,CKS1B
GATA1,CKS1B
AHR,CKS1B
MYC,CKS1B
MCM7,CKS1B
ETS1,CKS1B
MCM6,CKS1B
MCM3,CKS1B
REL,CKS1B
JUN,CKS1B
PGR,NDC1
AHR,NDC1
MYC,NDC1
MYCN,NDC1
GFI1,CDCA4
MYC,CDCA4
MCM4,CDCA4
AHCTF1,SPC25
MCM3,SPC25
MCM7,SPC25
CENPK,SPC25
ORC2,SPC25
MCM2,SPC25
MCM6,SPC25
HDAC11,OAT
CENPK,OAT
MYCN,OAT
GATA1,OAT
HOXA9,LPCAT1
ZFP143,LPCAT1
AHR,RASSF5
ESR1,RASSF5
MYC,RASSF5
ETS1,RASSF5
MYB,SLC14A1
MYC,SLC14A1
GATA1,SLC14A1
TAF1,PSEN1
NFKBIA,PSEN1
ETS1,PSEN1
ETS1,LCP2
MCM6,LCP2
MYCN,QARS
STAT3,QARS
MECOM,QARS
AHR,DNAJC11
IRF1,DNAJC11
CENPK,KLF3
AHR,KLF3
GATA1,NFKBIA
MYC,NFKBIA
RELB,NFKBIA
MYCN,NFKBIA
HOXA9,NFKBIA
REL,NFKBIA
PGR,NFKBIA
HDAC2,NFKBIA
JUN,KIDINS220
FOXO1,KIDINS220
AHR,NOLC1
NFKBIA,PIK3IP1
MYB,HPN
STAT3,HPN
MECOM,ST8SIA4
HMGB2,ST8SIA4
MEIS1,TOR3A
MYB,TOR3A
REL,TOR3A
NOTCH1,TOR3A
MYC,TOR3A
MECOM,SIGIRR
POLR1B,SIGIRR
E2F4,TRIM30A
NCOA6,LAPTM4B
MCM7,LAPTM4B
JUN,MRPL37
NFE2L2,LZTR1
ESR1,LZTR1
MCM2,CCNG1
MCM3,CCNG1
STAT3,CCNG1
MYB,CCNG1
HNF4A,FOXO1
PPARGC1A,FOXO1
MECOM,FOXO1
REL,FOXO1
MYB,FOXO1
STAT3,FOXO1
XRCC6,LMNA
JUN,LMNA
MYB,LMNA
GATA2,LMNA
FOS,LMNA
FOXO1,LMNA
HMGB2,CREB5
ESR1,CREB5
FOXO1,CREB5
MYC,HNRNPAB
EGR1,HNRNPAB
ESR1,HNRNPAB
MYCN,HNRNPAB
AHR,HNRNPAB
ETS1,IGHM
SPI1,IGHM
MCM4,IGHM
PA2G4,FTSJ3
PWP1,FTSJ3
POLR1B,FTSJ3
MYB,SESN1
HOXA9,SESN1
JUN,SESN1
EGR1,SESN1
FOXO1,SESN1
MEIS1,SESN1
MYCN,SESN1
EPAS1,CUL2
VHL,CUL2
MYCN,CUL2
IRF1,PIK3C3
FOS,GNA13
FOXO1,GNA13
CENPK,TARS
MYCN,TARS
GATA1,TARS
MYB,TARS
MYC,TARS
NDN,NCAPH
YBX1,NCAPH
MCM2,NCAPH
MCM6,NCAPH
ORC2,NCAPH
MEIS1,NCAPH
MYB,NCAPH
MCM4,NCAPH
MCM7,NCAPH
MCM3,NCAPH
MCM3,AFF4
JARID2,AFF4
MYCN,AFF4
MYB,MAN1A
CENPK,MAN1A
STAT3,MAN1A
AHCTF1,KLF1
MYCN,KLF1
JUN,KLF1
GATA2,KLF1
GATA1,KLF1
MYC,KLF1
AHR,KLF1
GATA2,ETS1
GFI1,ETS1
MYCN,ETS1
MYCN,CERS5
NFATC1,UBA3
STAT3,UBA3
CENPK,TMUB2
MYCN,TMUB2
SMAD2,TMUB2
MYCN,DTL
EGR1,ANK
HNF4A,NR4A1
VDR,NR4A1
THRB,NR4A1
RORC,NR4A1
EGR1,NR4A1
MEF2C,PHB2
NFE2,GTF2H1
MYCN,GTF2H1
MYC,GTF2H1
MYB,ALAD
MYCN,ALAD
MYC,ALAD
CENPK,ALAD
GATA1,CIPC
MCM4,CHUK
IRF8,CHUK
PPARGC1A,CHUK
RELB,CHUK
NFKBIA,CHUK
POLR3F,CTPS
POLR1B,CTPS
POLR2B,CTPS
JUN,ENDOD1
MYCN,ATG4B
EGR1,ATG4B
RB1,ATG4B
MYCN,PIGQ
GATA1,VAMP3
MECOM,VAMP3
FOXO1,VAMP3
MYCN,VAMP3
GATA2,VAMP3
ETS1,VAMP3
EGR1,FCHSD2
FOS,FCHSD2
MYCN,FCHSD2
GATA1,WDR5
MYC,WDR5
MYCN,WDR5
NFE2,WDR5
DCP1A,WDR5
MYB,UBR1
ETS1,UBR1
RB1,MPL
E2F4,MPL
REL,AHCTF1
CENPK,AHCTF1
MYCN,AHCTF1
MECOM,SLC16A1
JUN,SLC16A1
GATA1,SLC16A1
MYCN,SLC16A1
FOS,MAPK9
STAT3,MAPK9
MECOM,MAPK9
PGR,MAPK9
JUN,MAPK9
E2F4,MAPK9
NFATC2,MAPK9
MYCN,MAPK9
LZTS1,GTF3C3
POLR3F,GTF3C3
DDX20,HDAC7
HDAC10,HDAC7
HDAC2,HDAC7
HDAC11,HDAC7
GATA1,HDAC7
AHR,HDAC7
GATA2,HDAC7
MEF2C,HDAC7
ORC2,NDUFV1
ETS1,NDUFV1
VDR,NDUFV1
MYC,RGCC
SMAD2,RGCC
MCM7,RGCC
AHR,RGCC
GATA1,RGCC
ZEB2,AW112010
FOXO1,AW112010
NRF1,MT1
STAT3,MT1
NFE2L2,MT1
MIS18BP1,MT1
FOS,MT1
MYB,MT1
MYCN,MT1
MYB,GM8995
E2F4,GM8995
AHR,GM8995
MCM4,GM8995
MYCN,ATP6V1A
MCM7,ATP6V1A
TRPS1,ATP6V1A
ETS1,PSMD6
NFE2L2,PSMD6
MCM3,MORC3
HDAC2,MORC3
JARID2,MORC3
MYC,ABCB8
JUN,ABCB8
PML,ABCB8
MCM4,MAN2A2
ETS1,MAN2A2
GATA2,GATA1
MYB,GATA1
MCM4,GATA1
RB1,GATA1
HDAC2,GATA1
ETS1,GATA1
NR2C1,GATA1
MCM6,GATA1
GFI1B,GATA1
KLF1,GATA1
PA2G4,KPNA3
IRF1,PSMD9
REL,PSMD9
HMGB2,TLK1
GATA2,TLK1
MIS18BP1,TLK1
POLR2B,ELF4
GFI1B,ELF4
HOXA9,ELF4
FOS,ELF4
IKZF1,ELF4
JUN,ELF4
STAT3,ELF4
CENPK,CENPA
MYC,CENPA
ORC2,CENPA
MCM7,CENPA
HNF4A,CENPA
AHCTF1,CENPA
MIS18BP1,CENPA
MCM2,CENPA
MCM3,CENPA
STAT3,CENPA
EGR1,EPOR
GATA1,EPOR
IKZF1,EPOR
STAT3,EPOR
HMGB2,EPOR
AHR,LPIN2
PHB2,LPIN2
HDAC11,CSRP3
MCM3,CSRP3
MYC,CSRP3
GFI1,CSRP3
MCM2,RNASEL
RB1,RNASEL
JUN,TMEM129
MYC,TMEM129
MYB,TMEM129
AHR,TMEM129
MYC,STEAP3
STAT3,CNN2
MCM4,UROS
PBX1,UROS
HMGB2,UROS
PRDM16,METAP1D
MYCN,METAP1D
MYC,METAP1D
GATA1,METAP1D
MCM2,MCM10
JUN,MCM10
MCM6,MCM10
NDN,MCM10
MCM3,MCM10
MCM7,MCM10
ORC2,MCM10
MCM4,MCM10
MEIS1,MCM10
IKZF1,NCAPD2
GATA1,NCAPD2
MYC,KDM6A
PBX1,KDM6A
ESR1,HEBP1
GATA1,IKZF2
AHR,IKZF2
XRCC6,IKZF2
SMAD2,IKZF2
ESR1,RHOF
MCM3,RHOF
MYCN,RHOF
E2F4,RHOF
MCM3,CERS4
ERCC8,XPC
GATA1,RARB
ID2,RARB
MYB,RARB
GATA2,RARB
NFE2,HCLS1
ETS1,HCLS1
JUN,NDEL1
IRF6,NDEL1
AHCTF1,NDEL1
AHR,NDEL1
CENPK,NDEL1
MYCN,RCC1
GATA1,RCC1
CREB5,RCC1
MCM3,RCC1
MCM3,HARS
