,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
CDK19,0.6997206,0.010238598,0.0,0.0,0.05221107,0.0,0.0,0.0,0.72916746,0.10152646,0.0,0.55916595,0.0,0.011599584,0.0,0.0,0.0073723122,0.086192146,0.0,0.20063388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4854605,0.17304787,0.0,0.0,0.052006677,0.0,0.0,0.0,0.0,0.016114239,0.0,0.14207384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10144407,0.0,0.3619896,0.24779435,0.0,0.0,0.15024334,0.2471475,0.21065013,0.3220913,0.19229747,0.0,0.30414787,0.0,0.0,0.3911436,0.32038182,0.27117118,0.0,0.09651098,0.24148342,0.0,0.0,0.0,0.19619977,0.0,0.38105935,0.0,0.0,0.35861608,0.47337535,0.0,0.0,0.0,0.27846944,0.15506268,0.013941735,0.008524824,0.2345979,0.14238292,0.6361186,0.31670073,0.0,0.44344804,0.7419567,0.12507665,0.37613955,0.25669327,0.0,0.048534367,0.0,0.0,0.38636458,0.0,0.0,0.34490803,0.6018278,0.35753882,0.0,0.17426226,0.0,0.4325852,0.8292956,0.0,0.0,0.19040912,0.7863276,0.23394515,0.12762488,0.0,0.13223106,0.0,0.17916258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NXPE2,0.22293444,0.038150433,0.0,0.04298448,0.0,0.0,0.0,0.0,0.38526297,0.0,0.0,0.24958092,0.0,0.2077407,0.081520945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22378905,0.0,0.0,0.0,0.06685209,0.2821415,0.0,0.0,0.26293382,0.16473234,0.0,0.31910872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17001599,0.0,0.1895302,0.03752785,0.0,0.0,0.0,0.32860693,0.09308563,0.028119668,0.16174898,0.0,0.25891346,0.21839419,0.08612315,0.035744794,0.026702873,0.41703907,0.0,0.0,0.039255105,0.0,0.0,0.0,0.010801576,0.0,0.08740236,0.0,0.0,0.30735284,0.23195471,0.0,0.0,0.0,0.0,0.14311618,0.0,0.16147895,0.010388128,0.18385771,0.44853848,0.10243552,0.0,0.2095646,0.46788606,0.0,0.29148695,0.0,0.0,0.051072385,0.0,0.2380428,0.116591364,0.0,0.0,0.15302652,0.23132873,0.050656524,0.0,0.0,0.0,0.09126205,0.42338377,0.0,0.0,0.05286392,0.43139035,0.0,0.055014372,0.0,0.12309809,0.0,0.021477846,0.0,0.29594195,0.0,0.0,0.0,0.0,0.0
CNOT7,0.0,0.17682582,0.0,0.0,0.65136105,0.0,0.0,0.0,0.43023577,0.0,0.0,0.0,0.0,0.0,0.028398998,0.0,0.0,0.0,0.0061513335,0.64874667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1568812,0.0,0.1436212,0.0,0.0,0.30980504,0.0,0.0,0.0,0.46145308,0.0,0.11564508,0.0,0.22969638,0.12625311,0.0,0.0,0.0,0.0,0.0,0.15830855,0.0,0.41177016,0.08638023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29452366,0.0,0.0,0.18543863,0.0,0.0,0.0,0.2875218,0.0,0.30190873,0.5949676,0.44494912,0.19487487,0.14614877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52138656,0.0,0.0,0.0,0.0,0.31006694,0.2640037,0.0,0.0,0.07378439,0.0,0.41548678,0.0,0.0,0.0,0.0,0.0,0.0,0.28892776,0.0,0.0,0.42582634,0.0,0.0,0.0,0.0,0.0,0.26610368,0.10114772,0.0,0.02324944,0.0,0.0,0.59047496,0.0,0.13017114,0.0,0.0,0.4280807,0.0,0.4978557,0.0,0.0,0.18999854,0.2998076,0.0
EMILIN1,0.59475064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61273,0.0,0.0,0.4880526,0.0,0.09421727,0.0,0.0,0.0,0.03378441,0.029059041,0.00094121695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5460851,0.08779913,0.0,0.0,0.008838568,0.0,0.0,0.0,0.007657204,0.054734483,0.0,0.23335117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057998516,0.0,0.30804616,0.2881062,0.0,0.0,0.07867662,0.2790983,0.292614,0.14148803,0.18861195,0.0,0.37059027,0.08075877,0.0,0.20410427,0.17457199,0.2661826,0.0,0.057854988,0.15153974,0.0,0.0,0.0,0.12001902,0.0,0.29392654,0.0,0.0,0.32578617,0.30385998,0.0,0.0,0.0,0.061903015,0.1936405,0.0,0.13637605,0.27084154,0.13690218,0.6152257,0.28263357,0.0,0.4548227,0.64573026,0.020897537,0.30517912,0.03731121,0.0,0.0,0.0,0.0,0.3142201,0.0,0.0,0.2701733,0.5129796,0.29016632,0.0,0.0,0.0,0.30261293,0.73396033,0.0,0.0,0.21288052,0.7760147,0.09817335,0.09242378,0.0,0.1705036,0.0,0.089112796,0.0,0.027527688,0.0,0.0,0.0,0.0,0.0
ORC6,1.3015761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3311929,0.0,0.0,0.72844875,0.0,0.34914654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79197365,0.0,0.0,0.0,0.9878389,0.0,0.0,0.0,0.0,0.043245234,0.0,0.60389596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06944122,0.0,0.3959895,0.44448215,0.0,0.0,0.28915045,0.6887992,0.569031,0.79973173,0.6293026,0.0,0.635644,0.09988743,0.0,0.58450156,1.1444694,0.8128145,0.0,0.14113313,0.44645482,0.0,0.0,0.0,0.0021536052,0.0,0.6015262,0.0,0.0,0.47720113,1.0830648,0.0,0.0,0.0,0.0,0.60989726,0.0,0.12504125,0.5691638,0.53796864,1.0242277,0.685098,0.0,0.8548628,1.693766,0.0,0.83308876,0.28963733,0.0,0.5946644,0.0,0.0,1.2287743,0.0,0.0,0.37172735,1.05572,0.4744751,0.0,0.0,0.0,0.847231,1.789838,0.0,0.0,0.67524636,1.4177217,0.03546979,0.57714885,0.0,0.9763892,0.0,0.018999252,0.0,0.0108911265,0.0,0.0,0.0,0.0,0.0
ETF1,0.57286304,0.0,0.0,0.037563995,0.0,0.0,0.0,0.0,0.609477,0.0,0.0,0.42474067,0.0,0.34138426,0.34807855,0.0,0.0,0.0,0.19828737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4103312,0.0,0.0,0.0,0.0035014749,0.51973754,0.0,0.0,0.45587894,0.08878508,0.0,0.5004815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22619972,0.0,0.3178941,0.28640968,0.0,0.0,0.0,0.41753477,0.28593227,0.10799253,0.20000751,0.0,0.44737938,0.41564685,0.13064134,0.0,0.0,0.6104572,0.02993862,0.0,0.038490877,0.0,0.0,0.0,0.0,0.0,0.2887298,0.0,0.0,0.602995,0.38240013,0.0,0.0,0.0,0.0,0.23027694,0.0,0.46559978,0.0,0.25326374,0.6540653,0.21252027,0.0,0.45364058,0.639709,0.0,0.43989474,0.0,0.0,0.0,0.0,0.5132416,0.11796804,0.0,0.0,0.18135363,0.5099356,0.13763975,0.0,0.0,0.0,0.0705269,0.626769,0.0,0.0,0.06512994,0.7092825,0.0,0.06023384,0.0,0.120364144,0.0,0.0,0.0,0.35068065,0.0,0.0,0.0,0.0,0.0
NGLY1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6141115,1.0084522,0.0,0.0,0.0,0.09515363,0.0,0.010129683,0.0,0.0,0.0,0.0,0.019128505,0.40866137,0.0,0.0,0.0,0.0,0.0,0.0,1.118373,0.0,0.0,0.9229082,0.13007921,0.0,0.47133183,0.0,0.0,0.0,0.0,0.0,0.0,0.46348354,0.0,0.62530863,0.0,0.0,0.16907722,0.0,0.0,0.0,0.62576234,0.2953335,0.0,0.0,0.0,0.42766044,0.7769671,0.51984483,0.0,0.0,1.0106137,0.0,0.0,0.0,0.0,0.0,0.5088504,0.0,0.0,0.0,0.0,0.0,0.6683361,0.0,0.0,0.0,0.0,0.0,0.3603089,0.0,0.56234413,0.0,0.6563639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1295114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040390544,0.0,0.0,0.0,0.06899047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94758517,0.0,0.0,0.0,0.0,0.0
MCM3,0.65530425,0.21978776,0.0,0.0,0.0,0.0,0.0,0.0,1.435995,0.0,0.0,0.0,0.0,0.2471278,0.0,0.0,0.46805674,0.0,0.0,0.06720964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0168157,0.0,0.0,0.0,1.1502697,0.0,0.0,0.0,0.0,0.1239457,0.0,0.23990048,0.0,0.8594563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8762357,0.158083,0.0,0.0,0.4189503,0.8078678,0.1329177,0.57116044,1.0912215,0.0,0.9862382,0.0,0.0,1.0906541,1.236041,0.056795333,0.0,0.62248015,0.029362984,0.0,0.0,0.0,0.45011646,0.0,0.16677971,0.0,0.0,0.0,0.13194449,0.0,0.0,0.0,0.0,0.20777245,0.0,0.0,0.30328655,0.810625,0.8209372,0.09254261,0.0,0.91556036,1.749127,0.48960856,0.0,0.36158833,0.0,0.79473424,0.0,0.0,2.0091567,0.0,0.0,0.64028025,0.49358585,0.7899052,0.0,0.0,0.0,1.0467895,1.8196944,0.0,0.0,0.91682434,1.4852285,0.5465624,0.10752616,0.2568179,1.1292259,0.0,0.4901145,0.0,0.12082071,0.0,0.0,0.0,0.0,0.0
ZFP655,0.2513739,0.0031968136,0.0,0.07006308,0.0,0.0,0.0,0.0,0.37440017,0.0,0.0,0.20276938,0.0,0.10173296,0.13442785,0.0,0.0,0.0,0.10448967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22330713,0.0052421987,0.0,0.0,0.0,0.18976165,0.0,0.0,0.2081306,0.05692594,0.0,0.24420068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06546676,0.0,0.19420515,0.10114063,0.0,0.0,0.0,0.2010363,0.18239985,0.0,0.11281191,0.0,0.21136808,0.20259184,0.020247698,0.021960884,0.0,0.22525132,0.01148767,0.0,0.0,0.0,0.0,0.0,0.109922566,0.0,0.14387229,0.0,0.0,0.30592087,0.18189122,0.0,0.0,0.0,0.0108398665,0.13280606,0.0,0.2120666,0.0,0.15106699,0.4071368,0.15918389,0.0,0.22678636,0.33396247,0.0017597852,0.27737802,0.0,0.0,0.0,0.0,0.16307831,0.0,0.0,0.0,0.22699523,0.2935258,0.17637518,0.0,0.0,0.0081394985,0.11436913,0.368215,0.0,0.054133575,0.0,0.3789335,0.0,0.016821655,0.0,0.00266888,0.0,0.024827715,0.0,0.18711424,0.0,0.0,0.0,0.0,0.0
CCNB1,1.2859793,0.085522674,0.0,0.0,0.04409854,0.0,0.0,0.0,1.4541643,0.0,0.0,0.90799785,0.0,0.0,0.0,0.0,0.0329175,0.0,0.0,0.0,0.0,0.0,0.0028959736,0.0,0.0,0.0,0.0,0.0,0.67036706,0.03099437,0.0,0.0,0.7108032,0.0,0.0,0.0,0.0,0.05347749,0.0,0.45194635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4922775,0.43256372,0.0,0.0,0.44398186,0.49771264,0.41749465,0.8450334,0.72090924,0.0,0.38943166,0.0,0.0,0.89730155,1.2316965,0.47519934,0.0,0.12691537,0.5255479,0.0,0.0,0.0,0.40756544,0.0,0.7256756,0.0,0.0,0.27240378,1.1010587,0.0,0.0,0.0,0.27796096,0.60512817,0.0,0.0,0.6664907,0.40578902,1.1401821,0.7628755,0.0,0.990709,1.7429825,0.08908797,0.9846236,0.57314134,0.0,0.400024,0.0,0.0,1.1771832,0.0,0.0,0.6690645,1.166103,0.5531596,0.0,0.035293847,0.0,1.046874,1.7947563,0.0,0.0,0.7022926,1.4335579,0.16992907,0.5364535,0.0,0.73915845,0.0,0.14450297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
