,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
PLA2G12A,0.41206977,0.44776908,0.52897376,0.5716699,0.39027637,0.5330847,0.53217846,0.5213999,0.522705,0.50689316,0.4940224,0.5080495,0.39920744,0.4609884,0.45616034,0.40634644,0.51314116,0.4525177,0.47566155,0.5387769,0.54608476,0.48362738,0.47237685,0.4433636,0.5491858,0.4133984,0.49534032,0.49373737,0.3918347,0.5502417,0.48308697,0.45501626,0.4432015,0.45842645,0.48732126,0.5655343,0.48525807,0.4564601,0.4945066,0.54050505,0.42680168,0.6442682,0.50749063,0.45203772,0.5364574,0.45180154,0.4599193,0.46366534,0.44692582,0.47954667,0.5008691,0.5718303,0.40620762,0.5036367,0.46473756,0.49443185,0.52050877,0.45382762,0.47997454,0.40312782,0.5156811,0.48453158,0.49372017,0.60216427,0.4905414,0.44786316,0.4945845,0.480719,0.43986627,0.5394652,0.4823222,0.572341,0.51236427,0.44353262,0.52319854,0.51856893,0.4368343,0.50563174,0.43138725,0.56762683,0.455517,0.504739,0.44154462,0.38547677,0.4738007,0.49224055,0.51177734,0.5354111,0.5154425,0.47601238,0.5521824,0.44903034,0.47962025,0.46761683,0.55609554,0.39534295,0.5334397,0.47625592,0.48371646,0.5589031,0.34334457,0.45268956,0.4977313,0.4707057,0.46666464,0.6049186,0.50682485,0.49516103,0.46744636,0.5480474,0.5415999,0.53585345,0.4899427,0.5682657,0.5163785,0.489149,0.49101153,0.45552462,0.4608054,0.40207884,0.51701814,0.48161626,0.50838387,0.4944238,0.56093305,0.5155694,0.53053784,0.5552641
FTSJ1,0.46667945,0.45731184,0.50159925,0.53935087,0.40601668,0.56742203,0.5502787,0.5073996,0.5372907,0.4902067,0.49813813,0.49133664,0.38648853,0.44151363,0.45156193,0.461735,0.48150197,0.41680294,0.48929355,0.5479519,0.5347338,0.47944558,0.5155218,0.49894127,0.5561815,0.39217284,0.48840877,0.45543143,0.4269832,0.61153626,0.4918411,0.46402824,0.42672518,0.52497077,0.49053538,0.5968204,0.4479539,0.4644189,0.5136987,0.51324373,0.38964337,0.62765896,0.52572244,0.47527444,0.52377594,0.4931236,0.49024102,0.4415334,0.40999305,0.5575921,0.505688,0.5546162,0.4181406,0.51025534,0.47915035,0.5358755,0.509114,0.4938042,0.491518,0.38224614,0.5458112,0.4775543,0.5228034,0.60686624,0.5066993,0.46992886,0.5044747,0.523782,0.45138988,0.582581,0.5054853,0.57977146,0.52444583,0.43922523,0.54321694,0.48200384,0.46062824,0.503683,0.38492057,0.55255866,0.42125693,0.50234157,0.44537327,0.39522496,0.47191787,0.51535594,0.5645389,0.5287632,0.5179368,0.46215394,0.5509846,0.47416958,0.46633866,0.4537583,0.5531845,0.40665373,0.5439649,0.44687676,0.43977225,0.5163237,0.34939793,0.5149197,0.5251756,0.43920872,0.4863673,0.6205973,0.50640756,0.49202037,0.47587794,0.53327596,0.6092141,0.528395,0.49235815,0.5607669,0.5092588,0.5012577,0.48314974,0.43760204,0.47387525,0.41561463,0.5009842,0.5057522,0.5109155,0.52996755,0.54258215,0.52367306,0.5227015,0.5783276
SRSF1,0.28274372,0.49520627,0.59752613,0.63373977,0.4429866,0.56036484,0.55402243,0.53106564,0.5420429,0.56003,0.41491333,0.48261547,0.38859883,0.4780229,0.39399526,0.40694407,0.572376,0.4700505,0.5338959,0.54080445,0.58337647,0.45347366,0.41004908,0.34119397,0.63160676,0.3832004,0.5142484,0.5219676,0.31155977,0.5042119,0.42852202,0.40247238,0.45904973,0.41637465,0.4578045,0.6181294,0.5241191,0.4805341,0.53985876,0.59370786,0.45776752,0.68038625,0.51108736,0.42596272,0.544689,0.4545255,0.47266048,0.47344327,0.44716325,0.41480884,0.43418002,0.62523335,0.3737685,0.63565844,0.46301278,0.45963958,0.51571107,0.45878875,0.50496906,0.3737594,0.50459325,0.4772349,0.5203473,0.55322045,0.5151227,0.36379856,0.49926734,0.4687131,0.38259563,0.52733564,0.41816136,0.6534664,0.561988,0.39796907,0.5255561,0.5791141,0.41035756,0.5468926,0.46653306,0.636796,0.4697999,0.4131311,0.41122273,0.2936388,0.49435946,0.5505482,0.52798164,0.58112913,0.58062965,0.4277715,0.5542961,0.4229079,0.46036807,0.47474402,0.5912516,0.32294986,0.5491554,0.52018654,0.5920376,0.5868982,0.28210726,0.38840052,0.48203078,0.5006986,0.46604404,0.48142207,0.53586566,0.44298676,0.42281836,0.6167106,0.5100787,0.54075766,0.53219223,0.583183,0.5568027,0.5884262,0.46961108,0.49494886,0.4765117,0.38971907,0.48718995,0.43103746,0.564714,0.51089114,0.653011,0.5368452,0.5681437,0.47866425
CTLA2A,0.44604427,0.44483143,0.5008426,0.53953016,0.38343865,0.57919264,0.56322813,0.49473292,0.55748343,0.48120615,0.5065668,0.47499067,0.34736514,0.4313925,0.44822356,0.451952,0.49906132,0.39471897,0.47798553,0.5601012,0.53634137,0.47958136,0.53829247,0.5141694,0.5711877,0.36620256,0.46881562,0.44964883,0.41566637,0.6569201,0.50613534,0.45609388,0.41798422,0.53540325,0.48022485,0.63315034,0.41689846,0.46404633,0.51855433,0.5174971,0.34994915,0.669132,0.52490807,0.46791306,0.54467446,0.47897932,0.50508696,0.42785197,0.39168838,0.5708252,0.5230772,0.5588485,0.40871122,0.50592977,0.48304185,0.55976784,0.49402747,0.49897417,0.51205647,0.35473323,0.5465562,0.46797714,0.5166084,0.610917,0.51854813,0.48133188,0.50519395,0.5466073,0.4443593,0.6088363,0.52451587,0.5932197,0.5411872,0.39874336,0.5548179,0.46779194,0.4453409,0.50550383,0.3526676,0.55322266,0.40297794,0.51233566,0.4454312,0.37879968,0.45964453,0.53021574,0.59496343,0.53307045,0.5049715,0.46417132,0.5797167,0.45268828,0.44478172,0.4319182,0.5870057,0.38410792,0.54646593,0.42263457,0.44224215,0.50727534,0.31858513,0.53302544,0.5388921,0.41200697,0.5072915,0.6494818,0.5092599,0.48349962,0.46940294,0.5492164,0.6482533,0.54448795,0.48878172,0.6018213,0.48119894,0.51754445,0.4884158,0.41604328,0.45636255,0.3952779,0.4971518,0.502058,0.5087803,0.53622866,0.55651706,0.5206297,0.5327235,0.6120426
RAD51AP1,0.44928455,0.4585368,0.5106634,0.5503324,0.40728745,0.5420632,0.5344513,0.5146778,0.5284431,0.4926477,0.4936379,0.49988088,0.40569463,0.456177,0.45489955,0.44915918,0.48678172,0.44157988,0.48567885,0.54347074,0.5393696,0.4836846,0.49523914,0.4733208,0.54398894,0.41352376,0.49459133,0.47464633,0.4175616,0.57171685,0.48641437,0.46177396,0.44568962,0.49444228,0.49843848,0.568918,0.47451463,0.4624129,0.50758475,0.5232442,0.41697854,0.61900955,0.51956993,0.46902418,0.5233617,0.4744516,0.4770006,0.45765254,0.428207,0.52126527,0.4979412,0.5542767,0.41877234,0.50601685,0.4780967,0.51049644,0.516301,0.47205383,0.4836285,0.4092431,0.5303463,0.48530436,0.5095508,0.60180765,0.50032,0.45384866,0.49902093,0.49997008,0.45380336,0.5583748,0.48813036,0.573815,0.5200328,0.4523804,0.5306431,0.5017221,0.45540148,0.5071499,0.41424015,0.55148673,0.4391842,0.49883398,0.4492321,0.39565617,0.47707185,0.50898635,0.53204536,0.5257588,0.51462644,0.46377334,0.5415815,0.46582818,0.4820402,0.46502328,0.5459913,0.40901327,0.5363796,0.46914473,0.46014217,0.5353027,0.36535794,0.48539028,0.51294947,0.45885566,0.47410056,0.60101277,0.5092161,0.4937576,0.4754442,0.53403753,0.5675895,0.5281495,0.49324414,0.5502542,0.5156161,0.49515027,0.48712018,0.45255762,0.47794333,0.41846484,0.51220834,0.49974144,0.5065676,0.5122205,0.54709077,0.51768595,0.5164691,0.5572812
HSPH1,0.40540916,0.44163957,0.5284574,0.58131874,0.38722456,0.55233264,0.5391848,0.5127003,0.5283524,0.5132187,0.49917772,0.5117826,0.37346014,0.45019674,0.4491592,0.40665865,0.52188903,0.43492404,0.47363028,0.547788,0.55435205,0.48076826,0.47975212,0.46280596,0.5685374,0.39879006,0.4921113,0.49116367,0.3882856,0.56641054,0.4806272,0.45029652,0.43661386,0.46902826,0.480973,0.5891386,0.47770506,0.46567,0.49769762,0.5441896,0.40972996,0.6530962,0.50702316,0.45177174,0.5379948,0.45594156,0.4623459,0.45984688,0.44064435,0.49233902,0.4979653,0.58152896,0.4021979,0.50497496,0.47036913,0.5064912,0.5219671,0.46288422,0.48146245,0.38965338,0.5249026,0.4743,0.49693072,0.6053079,0.4902951,0.44864357,0.49796495,0.49764508,0.42633793,0.55380875,0.49041677,0.57625157,0.51418793,0.43044505,0.5252053,0.51584107,0.43482944,0.501589,0.40748164,0.5668502,0.4481958,0.50156695,0.43559363,0.36939868,0.47265083,0.4978172,0.5160851,0.53976184,0.52587336,0.46896836,0.5594091,0.4534116,0.47584793,0.46210557,0.56621724,0.38815877,0.54004806,0.47510922,0.4851421,0.56185687,0.33112797,0.4621691,0.50776625,0.46319726,0.47943264,0.6152699,0.5045347,0.4928681,0.45909336,0.55397624,0.5624136,0.5382993,0.48789006,0.5766009,0.5160832,0.49887255,0.4854592,0.4460313,0.45732528,0.39728087,0.5154876,0.48694023,0.50829786,0.4966971,0.5656382,0.52255744,0.54025733,0.56147194
PICALM,0.38124704,0.44475576,0.5414717,0.58634144,0.37634528,0.5216354,0.5293766,0.5250645,0.51272106,0.51567185,0.49848753,0.5084683,0.39633256,0.46683565,0.4620965,0.38110486,0.5352716,0.46319306,0.4628265,0.5440942,0.55284375,0.48698053,0.4558689,0.42134458,0.550182,0.41416368,0.49358433,0.5110215,0.3752542,0.52918994,0.48200816,0.44745657,0.45054188,0.4324623,0.47809303,0.56089294,0.48783195,0.45868173,0.47939038,0.5577384,0.42964604,0.664127,0.49144718,0.44464508,0.53581774,0.43313935,0.4429134,0.46739295,0.45759583,0.4433764,0.49827257,0.58290774,0.38917357,0.5006715,0.45093864,0.48467693,0.5244687,0.43420276,0.4817584,0.39855164,0.5021308,0.48478538,0.46858487,0.60121566,0.49165168,0.43701655,0.4944898,0.4699439,0.42595926,0.52430224,0.4827188,0.5719515,0.5046016,0.4349973,0.51907504,0.5300898,0.4212441,0.50321746,0.44116342,0.57178193,0.47599372,0.5053107,0.44405243,0.3651594,0.47548655,0.48186293,0.49262318,0.5446566,0.51702166,0.48582712,0.5564775,0.4296457,0.478222,0.46098316,0.5639788,0.3857756,0.5263811,0.48038656,0.5038653,0.5797021,0.3324463,0.42596272,0.48480555,0.4747956,0.45779568,0.60529107,0.50819415,0.49166745,0.45764813,0.5553424,0.5200064,0.53503716,0.47805297,0.57865787,0.512949,0.48289075,0.49675685,0.46455464,0.45331547,0.38654622,0.51778257,0.47049,0.51157856,0.480035,0.56740034,0.5091468,0.5367528,0.55500466
ACAA2,0.48599792,0.4540327,0.48496273,0.52518815,0.39156842,0.5945296,0.57516575,0.49054465,0.55564946,0.47570917,0.49804845,0.4707202,0.35180014,0.41393352,0.4447151,0.48166195,0.46894017,0.37799034,0.4918161,0.5555038,0.5250284,0.4770931,0.55261165,0.53999436,0.5753418,0.36687565,0.4741937,0.42327398,0.43818426,0.6836916,0.5040075,0.46611404,0.40666446,0.5717894,0.47791877,0.6420207,0.40188915,0.47049117,0.5240876,0.5078088,0.34014764,0.65300584,0.5401197,0.4833964,0.52799135,0.5086767,0.5137571,0.41457906,0.38303053,0.61114293,0.5232575,0.5525308,0.41262287,0.50942045,0.48247924,0.5775806,0.4971951,0.5158304,0.50376284,0.3516822,0.56245035,0.4661588,0.54155415,0.6219372,0.5219537,0.48477265,0.5084513,0.5551172,0.45330065,0.630836,0.5311106,0.5912181,0.53552514,0.40059903,0.56269675,0.45116702,0.46311992,0.49779332,0.33782798,0.55579704,0.395114,0.50320715,0.4361725,0.38757995,0.46195737,0.5350834,0.6174735,0.52502143,0.5127921,0.45444414,0.5678054,0.46940735,0.44151887,0.43169942,0.5717477,0.39151162,0.5500649,0.40875608,0.41206044,0.48941246,0.32291633,0.56166196,0.54803306,0.39881557,0.5006183,0.64439136,0.5057327,0.4851081,0.4882931,0.53130436,0.6728418,0.53305256,0.4884098,0.5876073,0.48981208,0.51004714,0.4800636,0.4055065,0.4579652,0.4124543,0.48319504,0.51618725,0.510763,0.5604206,0.5486321,0.5298494,0.52484137,0.6136058
PHB2,0.25710055,0.49933195,0.6093522,0.6569946,0.44732705,0.58648735,0.5607404,0.53341305,0.5286948,0.5676004,0.40027225,0.4820455,0.37604114,0.48242563,0.38267633,0.41683948,0.58403784,0.4761435,0.5472666,0.52723706,0.5967144,0.4417149,0.4024927,0.328888,0.64754045,0.38069734,0.5251912,0.51311517,0.31257612,0.48875907,0.4083436,0.39430726,0.4662579,0.41295204,0.45833138,0.631456,0.54318494,0.48802158,0.54519594,0.59876496,0.46717831,0.6867137,0.5027429,0.43402204,0.5475452,0.45946616,0.47292092,0.47481093,0.44409573,0.4075645,0.4241489,0.63854843,0.3612637,0.6686951,0.47084603,0.44961637,0.5356565,0.46259332,0.512488,0.37967363,0.51623446,0.47332722,0.5286762,0.5485439,0.5196618,0.35273936,0.5075925,0.47916734,0.361823,0.53233033,0.41692266,0.66689306,0.5637995,0.38865072,0.5196706,0.5888039,0.4002967,0.5533997,0.45929766,0.64078,0.47329882,0.39022902,0.39008236,0.27632692,0.49145892,0.5603573,0.51767236,0.5904101,0.60948724,0.40166909,0.54380655,0.4243484,0.46541318,0.47806084,0.5968634,0.315333,0.54967624,0.52945346,0.60463667,0.5906726,0.28041074,0.3783596,0.48076352,0.5115313,0.46313047,0.4437362,0.5355556,0.43647355,0.4118545,0.62856036,0.5074046,0.5376993,0.5407203,0.5672982,0.56789964,0.60368943,0.45654628,0.48765033,0.4993957,0.38406092,0.48564172,0.43183675,0.5663713,0.5171969,0.6680989,0.5375588,0.5697739,0.45444363
ZFP110,0.27253035,0.49372447,0.6015366,0.6511976,0.44406602,0.5966882,0.5687301,0.5333367,0.5135252,0.56492376,0.4193951,0.4731933,0.401091,0.46143064,0.35911652,0.4385278,0.5677341,0.46603498,0.54582924,0.5275692,0.5761638,0.4470528,0.43259937,0.34137046,0.6166684,0.35281885,0.50806063,0.47032744,0.3139915,0.49041492,0.40931424,0.4013016,0.4860205,0.42565626,0.43040222,0.6220395,0.5596201,0.45880684,0.53410804,0.5839066,0.49096152,0.6850403,0.49999034,0.42443353,0.5811572,0.48018417,0.47273085,0.4573548,0.43796366,0.42329082,0.42851,0.60079587,0.38057142,0.67879754,0.48316833,0.46972904,0.5485208,0.45876545,0.5042615,0.37922618,0.5290759,0.48180276,0.5503058,0.56565636,0.5327257,0.38264608,0.49415842,0.5132276,0.37590826,0.5400901,0.4102783,0.6701692,0.5350238,0.3948395,0.5344465,0.5732765,0.38423708,0.55254304,0.48237947,0.63916284,0.4695835,0.39217246,0.39576256,0.29560798,0.48944205,0.5604705,0.5200376,0.57402694,0.5726863,0.4173427,0.5526904,0.42738372,0.4640143,0.47811016,0.5705906,0.32117063,0.54684985,0.5215521,0.6126555,0.5693141,0.27766025,0.38048708,0.49660984,0.4965351,0.43847796,0.40764403,0.54682475,0.44847277,0.42778322,0.62021667,0.51850355,0.5277602,0.5425101,0.54394585,0.5770419,0.59613055,0.45147336,0.45576203,0.51209915,0.39774895,0.4643053,0.4293586,0.5478402,0.5184946,0.66179174,0.53715813,0.54828995,0.48185423
