,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
PLA2G12A,-0.105305865,-0.07736088,-0.10116361,0.06102702,-0.16308838,0.02301174,0.11225816,-0.12304129,0.072659954,-0.022706747,-0.10524434,-0.07992354,0.11131332,-0.044944007,0.037296213,0.10976276,0.059117883,0.08970092,-0.13521445,0.08440373,0.10413322,-0.16081613,0.123656854,0.06385319,0.07123985,-0.10444215,0.008723341,-0.07731934,0.06900926,-0.095710784,0.027733184,0.11184684,-0.08391616,-0.11640544,0.08340438,-0.12904856,-0.037171394,-0.13262211,0.13257074,-0.10765768,0.074216574,0.13670796,-0.15092225,-0.11872679,0.04744163,-0.06426918,-0.022975545,-0.06489802,0.06087591,0.08554999,-0.06998987,-0.1150435,0.082103364,0.1637688,-0.08741161,0.09634824,0.03418273,-0.072298385,0.041072033,0.10057837,-0.08116731,0.090058856,0.043903857,-0.039123397
FTSJ1,0.03964378,0.04191581,0.032388978,0.022135407,0.041938808,-0.02938502,-0.05097506,0.05060737,-0.049456608,0.03155438,0.025081737,0.043624256,-0.03832846,0.041923705,-0.045605615,-0.03826442,-0.042368013,-0.0569119,0.0039260313,-0.011213111,-0.038236503,0.027813237,-0.036146894,-0.067064546,-0.028544955,0.014752377,0.034623884,0.05689741,-0.04992099,0.024180748,-0.012636247,-0.02614281,0.013819717,0.058178652,-0.014482312,0.019214466,-0.04428246,0.04459242,-0.029734023,0.06092897,-0.036582585,-0.04328579,0.046026647,0.02446704,-0.030823497,-0.0013669245,0.020149715,0.018166896,-0.037479438,-0.0231677,0.030696832,0.032059126,-0.052923895,-0.044429965,0.04854749,-0.03685393,0.0034891814,0.04605366,-0.034456402,-0.033337556,0.030887768,-0.035019282,-0.023544773,0.05884029
SRSF1,-0.23398195,-0.22977164,-0.22527468,0.15355992,-0.28301117,0.1720076,0.27430257,-0.2272233,0.2539382,-0.13781317,-0.17936955,-0.24714918,0.21949783,-0.16754243,0.048033193,0.15760309,0.21424983,0.14882308,-0.15989712,0.18580066,0.21037775,-0.24853256,0.22707562,0.22276714,0.20346555,-0.22624925,0.048328962,-0.19207034,0.22729456,-0.004597053,0.046609666,0.26492637,-0.20336407,-0.25136,0.21401696,-0.20596534,-0.09484555,-0.26387158,0.22691333,-0.2497187,0.24274202,0.23115927,-0.2825284,-0.18760821,0.20685641,-0.23334128,-0.17914395,-0.18049522,0.21516299,0.20126268,-0.20508105,-0.15875776,0.17475444,0.22659498,-0.17386015,0.2384038,0.13037482,-0.24298234,0.16053906,0.24099475,-0.16989699,0.1568723,0.20324573,-0.0864753
CTLA2A,0.04352195,0.0313496,0.035264738,0.042972058,0.05381532,-0.0654785,-0.06524575,0.10502237,-0.061416492,0.014258459,0.092663266,0.027472632,-0.034267485,0.053142436,-0.064724356,-0.088046394,-0.04365071,-0.078715324,0.047067307,-0.013722194,-0.05108403,0.05466455,-0.043752715,-0.13247511,-0.029831504,0.03203075,0.028071366,0.051413413,-0.04919448,0.072281785,-0.06576507,-0.06387044,0.026368234,0.071589634,-0.027110435,0.07798897,-0.053577796,0.055154536,-0.034506984,0.083630145,-0.083986536,-0.06798742,0.080529585,0.06367503,-0.062068447,0.048765153,0.06801864,0.031269494,-0.067116596,-0.048258655,0.06768614,0.083641306,-0.053813417,-0.07304721,0.065791816,-0.06618696,-0.006679766,0.08360387,-0.072294325,-0.060147397,0.076109506,-0.06623715,-0.048849404,0.056135572
RAD51AP1,-0.017974477,-0.012170713,-0.023396665,0.037702184,-0.041574016,0.003383208,0.023787938,-0.04571154,0.012266781,0.0034362376,-0.05476193,-0.0071968194,0.025133751,0.0029142369,-0.0037885606,0.040719435,0.0051174387,0.000107707456,-0.07007342,0.028709333,0.020740107,-0.04844458,0.026607063,0.01287869,0.006834954,-0.037858665,0.028958805,-0.0009254925,-0.00460279,-0.042194813,0.024058327,0.0361857,-0.032823667,-0.018544871,0.024256192,-0.056258667,-0.035894528,-0.021196324,0.04359854,-0.011015553,0.03341934,0.03965054,-0.056360148,-0.044187218,0.01745071,-0.04373727,-0.015537529,-0.015080098,0.01119329,0.031499658,-0.01582409,-0.045122206,0.0064780624,0.054322634,-0.0146521395,0.027423281,0.015880466,-0.019785192,0.0016817264,0.03450256,-0.029021427,0.026986234,0.009990022,0.020200728
HSPH1,-0.10790105,-0.07841261,-0.091494925,0.06327275,-0.1338223,0.021901641,0.09953377,-0.09774828,0.06759977,-0.02075909,-0.08489249,-0.07111438,0.098135486,-0.033765953,0.028231502,0.093486436,0.0546337,0.07160398,-0.11982017,0.0743314,0.07987272,-0.1393459,0.11487096,0.045618903,0.06274397,-0.09612399,0.022390068,-0.06596714,0.05946,-0.059472397,0.01912487,0.094678365,-0.06059654,-0.09454873,0.074440956,-0.10871458,-0.037433654,-0.12595078,0.12832673,-0.09432834,0.058777805,0.1095877,-0.122786805,-0.10777733,0.04683266,-0.05664135,-0.025711924,-0.06325656,0.0642876,0.07955519,-0.05666087,-0.08941398,0.0702095,0.14009789,-0.07550362,0.09802496,0.047715858,-0.056308508,0.031966098,0.090450436,-0.07075885,0.07192265,0.04079054,-0.04080028
PICALM,-0.18107079,-0.13408422,-0.17450808,0.071455926,-0.25802407,0.0379801,0.19883962,-0.20740671,0.1290183,-0.042984426,-0.15986834,-0.14051665,0.18683925,-0.087053224,0.0626626,0.1918147,0.113676324,0.1568073,-0.19718102,0.14230028,0.17982028,-0.25519198,0.20120466,0.12287294,0.13298953,-0.1775324,-0.010540716,-0.14429303,0.118542165,-0.14337313,0.048026647,0.18222198,-0.13512231,-0.2027265,0.13966763,-0.20905629,-0.028812205,-0.22386596,0.21673861,-0.19663808,0.1232861,0.22906303,-0.24907313,-0.19071457,0.078665905,-0.088628806,-0.03957462,-0.110761136,0.11593019,0.14561659,-0.11203149,-0.1824063,0.15039292,0.26921424,-0.16099747,0.16025749,0.05632435,-0.10998858,0.07350722,0.16565183,-0.13210398,0.15197438,0.08414653,-0.098481014
ACAA2,0.116399094,0.11413491,0.10363684,0.007514134,0.16198216,-0.08111455,-0.15588589,0.18089193,-0.1365404,0.05204972,0.13912065,0.11100398,-0.13199398,0.08942518,-0.1022607,-0.15956901,-0.102109976,-0.151498,0.123236984,-0.054653034,-0.13254309,0.14584798,-0.12821104,-0.19823505,-0.08218529,0.100752756,0.054848738,0.12550387,-0.10737994,0.108782135,-0.075391,-0.13078852,0.07648599,0.17303352,-0.0812992,0.14521189,-0.060680345,0.14652912,-0.13067925,0.17118633,-0.13066728,-0.15434813,0.19198297,0.13205342,-0.09114858,0.08106963,0.08093702,0.081228495,-0.12042367,-0.09352346,0.0998451,0.14926556,-0.123602025,-0.16922447,0.14216821,-0.13241315,-0.026350476,0.14547585,-0.10531287,-0.13117635,0.12824592,-0.13020492,-0.08053167,0.10641083
PHB2,-0.27892578,-0.25400317,-0.24851453,0.14482164,-0.22680178,0.25768536,0.29299462,-0.26333076,0.29916513,-0.16624726,-0.18653874,-0.243197,0.22706434,-0.1650326,0.03414067,0.18314709,0.24612276,0.13009244,-0.19355758,0.17414065,0.19448769,-0.25654274,0.21517098,0.27288526,0.2309542,-0.25378355,0.10619709,-0.1963643,0.23828161,0.03929252,0.098425075,0.29299605,-0.19631976,-0.22860873,0.23816,-0.24242651,-0.07734864,-0.2543962,0.24773759,-0.26297837,0.30395684,0.23355573,-0.2742135,-0.1806215,0.23845817,-0.29379243,-0.26973614,-0.21863641,0.28541455,0.2537443,-0.2533772,-0.17135915,0.18127854,0.21363366,-0.18531229,0.2732772,0.14778015,-0.27011144,0.19891363,0.24799293,-0.19247341,0.1505597,0.24308948,-0.11206518
ZFP110,-0.25413868,-0.2241784,-0.25377923,0.115923196,-0.17023061,0.26828167,0.2541707,-0.2265704,0.26187408,-0.16063416,-0.19099994,-0.21527879,0.18962371,-0.15764236,0.021380037,0.18171558,0.24236454,0.09618433,-0.18641567,0.16920115,0.17011827,-0.24160965,0.20545626,0.2618071,0.248238,-0.22816531,0.119537935,-0.19355367,0.22606367,0.06233447,0.101268,0.2704306,-0.14439467,-0.19466142,0.20518856,-0.23942505,-0.07776705,-0.19771595,0.19128451,-0.20828348,0.29402545,0.22888824,-0.22698624,-0.18268806,0.19187656,-0.27135456,-0.25535432,-0.23052703,0.27019,0.20847218,-0.23419458,-0.16888197,0.16948062,0.20072341,-0.13861383,0.2153309,0.13631524,-0.2709689,0.19253854,0.22131611,-0.2034123,0.15865237,0.22388692,-0.10301244
CUL4A,0.16524874,0.15429734,0.15320036,-0.01146435,0.21711278,-0.10862586,-0.20883468,0.25296536,-0.19069128,0.06036659,0.18138815,0.15697962,-0.19913149,0.119083986,-0.12583819,-0.22197206,-0.12814672,-0.20892961,0.2027612,-0.087362505,-0.18780817,0.21161917,-0.18456376,-0.27537605,-0.117044486,0.15284711,0.06099437,0.17310582,-0.13191402,0.14805996,-0.096708015,-0.18692979,0.104198635,0.22731464,-0.12115088,0.20598722,-0.07294226,0.20740612,-0.19021061,0.23376986,-0.18672346,-0.19952518,0.263224,0.19186243,-0.14176166,0.11773664,0.123205744,0.12054695,-0.16263098,-0.13280661,0.12948997,0.21127501,-0.16601124,-0.23321852,0.19595776,-0.18907908,-0.045545027,0.20327292,-0.14695998,-0.1854069,0.17749476,-0.16638955,-0.117809474,0.14868051
TSC22D3,-0.2130263,-0.2027218,-0.23080641,0.13157433,-0.2291956,0.21287562,0.24532996,-0.21035597,0.21967287,-0.1338571,-0.18783557,-0.22236413,0.21074027,-0.15831396,0.020806156,0.15339419,0.20022577,0.11131519,-0.16531599,0.15766065,0.17164966,-0.21700612,0.20779462,0.22851905,0.19872886,-0.22162484,0.06999358,-0.17731346,0.20530337,0.043477066,0.05902669,0.25803122,-0.16243853,-0.21266367,0.20594381,-0.19576395,-0.09138111,-0.20708878,0.18744227,-0.22059366,0.23856582,0.20906982,-0.23177998,-0.18023877,0.18506601,-0.25766307,-0.21398383,-0.19547853,0.21781895,0.18344548,-0.20248184,-0.16534808,0.14484155,0.1951997,-0.14267299,0.21488309,0.13763247,-0.26680052,0.16091251,0.22123295,-0.1664922,0.1438478,0.21032052,-0.07791741
PACSIN2,0.16177197,0.14512141,0.1442448,-0.00897564,0.19334376,-0.09537296,-0.19495612,0.22311592,-0.17310125,0.055187646,0.16303837,0.14508037,-0.177751,0.10676485,-0.12063797,-0.20318641,-0.12339741,-0.19107093,0.17690383,-0.086982116,-0.17001137,0.19096833,-0.17238614,-0.24605832,-0.11028479,0.13550262,0.054875266,0.16226222,-0.124679506,0.13052505,-0.08520425,-0.16878149,0.088983744,0.21209003,-0.10904808,0.18364945,-0.06998338,0.19266038,-0.17506552,0.21189669,-0.1648839,-0.18347353,0.2432429,0.17532112,-0.1293545,0.10139093,0.10614584,0.10962579,-0.14649001,-0.11719929,0.11702953,0.18157393,-0.1531783,-0.21461293,0.17859863,-0.1736862,-0.042268604,0.17704314,-0.1287703,-0.17106308,0.1647067,-0.1523208,-0.102441415,0.1420636
CRIP2,0.118712544,0.10276096,0.097224586,0.0019728243,0.11753602,-0.058699287,-0.11868097,0.109671906,-0.10770628,0.045546435,0.063324794,0.10126565,-0.10890993,0.070827544,-0.07846245,-0.10849541,-0.08427799,-0.13539664,0.07607129,-0.054315947,-0.10935458,0.1248399,-0.11055027,-0.13086967,-0.083645985,0.07249926,0.044440363,0.11871904,-0.09589316,0.060721748,-0.025028925,-0.098160796,0.04752131,0.14386398,-0.07058579,0.08846872,-0.050828293,0.144473,-0.10306621,0.13162446,-0.08137773,-0.11063766,0.13118249,0.094712436,-0.07752055,0.038839094,0.044961117,0.06668301,-0.09522886,-0.0662882,0.075443305,0.08529842,-0.1052117,-0.12422433,0.11638038,-0.10813812,-0.026184238,0.09840897,-0.07658056,-0.0970383,0.08991509,-0.079916745,-0.054621756,0.106458515
THUMPD3,0.052554872,0.05505176,0.04357109,0.0231282,0.08376446,-0.041701064,-0.08197527,0.08491799,-0.070385404,0.0308436,0.06491423,0.054892655,-0.05586338,0.053367417,-0.06268492,-0.070168726,-0.0626264,-0.0793494,0.027550653,-0.01692251,-0.057459224,0.058480058,-0.055739895,-0.09852369,-0.034416895,0.039472613,0.039171576,0.067924485,-0.06803374,0.048184015,-0.035475593,-0.05214156,0.030965917,0.087283105,-0.024354205,0.05852347,-0.045491166,0.06345898,-0.05547189,0.08445718,-0.060071897,-0.08088447,0.08332368,0.051779818,-0.039667137,0.02322936,0.03716195,0.030941319,-0.05868932,-0.041585788,0.048758887,0.06538546,-0.068774916,-0.077205114,0.065546244,-0.055133224,-0.0032788068,0.074040316,-0.05208537,-0.05223027,0.06344088,-0.06957474,-0.037817784,0.065293744
MCM6,-0.14994337,-0.17545304,-0.15423703,0.11539568,-0.45114425,-0.0010609291,0.17744862,-0.1847898,0.12608741,-0.07344107,-0.19761765,-0.25147483,0.15467542,-0.13706023,0.08230731,0.10884964,0.12676667,0.21181099,-0.09496794,0.22117785,0.28689528,-0.25680515,0.27751875,0.030433983,0.15355137,-0.17977643,-0.13614753,-0.14365733,0.20693755,-0.12193155,-0.087128036,0.23698744,-0.21402842,-0.3363838,0.14380895,-0.12366859,-0.17274664,-0.2943008,0.13689142,-0.21590796,0.037609596,0.27828902,-0.31241512,-0.23308116,0.030837333,-0.08975069,0.068190984,-0.055826645,0.04686435,0.08875579,-0.0772844,-0.19108146,0.12708807,0.2967374,-0.11078279,0.062508896,0.12115412,-0.1453944,0.058822557,0.21869838,-0.10746507,0.20270294,0.07707505,0.013655832
