TF_gene,Target_gene
MECOM,TMEM123
BTG2,MAML3
GFI1B,MAML3
FOXO1,MAML3
PBX1,MAML3
CTR9,MAML3
MEF2C,MAML3
NUPR1,MAML3
ESR1,MAML3
VDR,MAML3
XPC,MAML3
HMGB2,PRIM1
MCM7,PRIM1
MCM4,PRIM1
MECOM,GNG11
MYCN,ZFP62
ESR1,CASP12
HNF4A,MCM4
NOTCH1,MCM4
MAML3,MCM4
MEIS1,MCM4
BTG2,MCM4
KLF3,MCM4
GFI1B,MCM4
IKZF1,MCM4
MYCN,MCM4
ELL2,MCM4
RARB,NPDC1
HDAC7,REL
SOX18,REL
MYC,REL
IKZF1,REL
KLF6,REL
HOXA9,REL
HNF4A,REL
RARB,REL
MEIS1,REL
SPI1,REL
MYC,EMP1
MCM5,MCM7
GFI1B,MCM7
GATA2,MCM7
SOX18,MCM7
TEAD2,MCM7
ZBTB20,MCM7
RARB,MCM7
TSC22D3,MCM7
KLF3,MCM7
HDAC7,MCM7
NFE2,HMGB2
HOXA9,HMGB2
XRCC6,HMGB2
NFIA,HMGB2
HDAC7,HMGB2
MYC,HMGB2
PGR,HMGB2
ZBTB20,HMGB2
CBX7,HMGB2
ESR1,HMGB2
MYCN,DTL
MECOM,MGAT1
IKZF1,MPZL1
MYCN,CHRNB1
IKZF1,SLC43A2
MYCN,ITSN1
REL,HSD3B7
MECOM,ERP29
IKZF1,NCAPD2
FOXO1,SELL
MECOM,PRDM16
HMGB2,PRDM16
ELL2,PRDM16
NOTCH1,PRDM16
EYA2,PRDM16
HNRNPAB,PRDM16
CBFB,PRDM16
CBX7,PRDM16
XPC,PRDM16
RARB,PRDM16
MYCN,NT5C3
GATA2,CCNG2
FOXO1,CCNG2
MEIS1,SYK
HOXA9,SYK
MECOM,YBX1
PRDM16,YBX1
BTG2,YBX1
YBX1,YBX1
TEAD2,YBX1
VDR,YBX1
RORA,YBX1
NOTCH1,YBX1
CBFB,YBX1
RUNX2,YBX1
HMGB2,TIPIN
MCM4,TIPIN
MCM7,TIPIN
GFI1B,BTG2
MEIS1,BTG2
TSC22D3,BTG2
H1F0,BTG2
XPC,BTG2
HMGB2,BTG2
IKZF1,BTG2
MYC,BTG2
XRCC6,BTG2
HLF,BTG2
MYCN,SGMS1
MYCN,AMPD2
MYC,AMPD2
SPI1,NCF1
REL,NCF1
MECOM,WLS
HOXA9,ANGPT1
MEIS1,ANGPT1
MYC,ANGPT1
MAML3,XPC
NDN,XPC
NOTCH1,XPC
CD7,XPC
SATB1,XPC
CBFB,XPC
HOXA9,XPC
NUPR1,XPC
MECOM,XPC
ESR1,XPC
CBFB,TIE1
FOXO1,IPCEF1
MECOM,ARHGAP27
HOXA9,SPI1
ELL2,SPI1
CD7,SPI1
VDR,SPI1
MCM5,SPI1
XRCC6,SPI1
HMGB2,SPI1
PBX1,SPI1
SOX18,SPI1
CBX7,SPI1
SPI1,PIRB
MYCN,MYO5A
FOXO1,CCDC112
NDN,NUCB2
MYCN,MLLT3
NOTCH1,MLLT3
REL,MLLT3
MAML3,MLLT3
PBX1,MLLT3
RARB,MLLT3
H1F0,MLLT3
GATA2,MLLT3
TSC22D3,MLLT3
HOXA9,MLLT3
MECOM,PYGL
MYC,PYGL
MYCN,H2-DMA
MYC,H2-DMA
FOXO1,H2-DMA
VDR,KLF6
MEIS1,KLF6
MCM5,KLF6
ELL2,KLF6
RUNX2,KLF6
IRF6,KLF6
YBX1,KLF6
TSC22D3,KLF6
MYCN,KLF6
GATA2,KLF6
GATA2,TEK
RARB,NDN
RORA,NDN
MLLT3,NDN
IKZF1,NDN
CBFB,NDN
EYA2,NDN
YBX1,NDN
VDR,NDN
MYC,NDN
CTR9,NDN
ESR1,KCTD12
MECOM,KCTD12
MYC,SPNS2
MYCN,RHOF
ZBTB20,DACH1
HNRNPAB,DACH1
NDN,DACH1
KLF6,DACH1
MYC,DACH1
CBX7,DACH1
RORA,DACH1
PBX1,DACH1
KLF3,DACH1
MCM7,DACH1
MYCN,ME2
MECOM,ST8SIA4
MYC,UNC93B1
MYC,CKS1B
MCM4,CKS1B
MCM7,CKS1B
ESR1,APOE
YBX1,SLC2A3
MECOM,FUT8
MLLT3,ELF1
FOXO1,ELF1
MEF2C,ELF1
MCM4,ELF1
XRCC6,ELF1
ESR1,ELF1
TSC22D3,ELF1
GFI1B,ELF1
IKZF1,ELF1
CBFB,ELF1
MCM4,TOP2A
MCM7,TOP2A
HMGB2,TOP2A
TRIB3,GATA2
MECOM,GATA2
DACH1,GATA2
MAML3,GATA2
ELL2,GATA2
MEIS1,GATA2
HNF4A,GATA2
ZBTB20,GATA2
CD7,GATA2
SPI1,GATA2
EYA2,NFE2
HNRNPAB,NFE2
BTG2,NFE2
PBX1,NFE2
KLF6,NFE2
RORA,NFE2
FOXO1,NFE2
MECOM,NFE2
TRIB3,NFE2
VDR,NFE2
IRF8,GFI1B
XRCC6,GFI1B
CBFB,GFI1B
EYA2,GFI1B
MCM4,GFI1B
DACH1,GFI1B
KLF3,GFI1B
MECOM,GFI1B
HDAC7,GFI1B
NUPR1,GFI1B
MECOM,CAV2
HNF4A,NOTCH1
PGR,NOTCH1
PRDM16,NOTCH1
PBX1,NOTCH1
CTR9,NOTCH1
DACH1,NOTCH1
KLF6,NOTCH1
MLLT3,NOTCH1
EYA2,NOTCH1
CD7,NOTCH1
NDN,TSC22D3
REL,TSC22D3
NFIA,TSC22D3
MAML3,TSC22D3
HOXA9,TSC22D3
HDAC7,TSC22D3
KLF3,TSC22D3
RORA,TSC22D3
NFE2,TSC22D3
SATB1,TSC22D3
MCM5,NUPR1
HLF,NUPR1
MEF2C,NUPR1
SOX18,NUPR1
CD7,NUPR1
CBFB,NUPR1
RUNX2,NUPR1
HNRNPAB,NUPR1
ELL2,NUPR1
VDR,NUPR1
MEIS1,FLT3
HOXA9,FLT3
MYC,FLT3
SPI1,FLT3
MYCN,SLC29A1
MYC,SLC29A1
FOXO1,ICA1
ESR1,ICA1
MYC,POLA2
MCM4,POLA2
MCM7,POLA2
ESR1,MOGS
REL,MOGS
MYCN,ENPP5
IRF6,MEF2C
RUNX1T1,MEF2C
MAML3,MEF2C
DACH1,MEF2C
MYCN,MEF2C
TRIB3,MEF2C
ELL2,MEF2C
SATB1,MEF2C
NDN,MEF2C
ELF1,MEF2C
IKZF1,HNF4A
MCM4,HNF4A
HOXA9,HNF4A
CBFB,HNF4A
NFE2,HNF4A
BTG2,HNF4A
IRF8,HNF4A
HNRNPAB,HNF4A
TSC22D3,HNF4A
MYCN,HNF4A
H1F0,IRF6
GFI1B,IRF6
PGR,IRF6
KLF3,IRF6
NUPR1,IRF6
ZBTB20,IRF6
RORA,IRF6
PBX1,IRF6
RUNX2,IRF6
NDN,IRF6
FOXO1,CCR7
MEIS1,RNF38
SOX18,TEAD2
H1F0,TEAD2
TEAD2,TEAD2
MCM7,TEAD2
RUNX2,TEAD2
PGR,TEAD2
ESR1,TEAD2
ELF1,TEAD2
MECOM,TEAD2
NDN,TEAD2
HNF4A,MEIS1
FOXO1,MEIS1
IKZF1,MEIS1
NUPR1,MEIS1
H1F0,MEIS1
ELL2,MEIS1
TRIB3,MEIS1
ZBTB20,MEIS1
HNRNPAB,MEIS1
GATA2,MEIS1
GATA2,OSGIN1
FOXO1,ANKRD44
NFIA,CD7
RARB,CD7
NDN,CD7
MCM4,CD7
SOX18,CD7
FOXO1,CD7
ZBTB20,CD7
HNF4A,CD7
MLLT3,CD7
GFI1B,CD7
RUNX1T1,RUNX2
MAML3,RUNX2
MYC,RUNX2
VDR,RUNX2
NFIA,RUNX2
TRIB3,RUNX2
IRF8,RUNX2
SATB1,RUNX2
GATA2,RUNX2
EYA2,RUNX2
MYCN,TAPT1
MYCN,UHRF1
MYC,UHRF1
MCM4,UHRF1
MCM7,UHRF1
HMGB2,UHRF1
MECOM,GP9
MCM7,IRF8
GFI1B,IRF8
H1F0,IRF8
ELF1,IRF8
CBFB,IRF8
REL,IRF8
HOXA9,IRF8
SOX18,IRF8
TRIB3,IRF8
XRCC6,IRF8
MEIS1,ARPP21
HOXA9,ARPP21
NUPR1,FOXO1
MECOM,FOXO1
MCM5,FOXO1
NR3C2,FOXO1
SPI1,FOXO1
DACH1,FOXO1
GFI1B,FOXO1
MCM4,FOXO1
VDR,FOXO1
IKZF1,FOXO1
XPC,ZBTB20
TEAD2,ZBTB20
SATB1,ZBTB20
TRIB3,ZBTB20
HNRNPAB,ZBTB20
IRF6,ZBTB20
PGR,ZBTB20
XRCC6,ZBTB20
CD7,ZBTB20
MCM4,ZBTB20
GATA2,VDR
NUPR1,VDR
ELF1,VDR
CD7,VDR
BTG2,VDR
ESR1,VDR
ELL2,VDR
HNF4A,VDR
DACH1,VDR
TRIB3,VDR
MECOM,2810468N07RIK
MYC,2810468N07RIK
GATA2,CRIP1
MECOM,RAG2
GFI1B,RAG2
XRCC6,MYCN
RARB,MYCN
NUPR1,MYCN
RUNX1T1,MYCN
MYCN,MYCN
MLLT3,MYCN
RUNX2,MYCN
NOTCH1,MYCN
DACH1,MYCN
EYA2,MYCN
NR3C2,XRCC6
RORA,XRCC6
XRCC6,XRCC6
PRDM16,XRCC6
NDN,XRCC6
NUPR1,XRCC6
PGR,XRCC6
FOXO1,XRCC6
MEIS1,XRCC6
ZBTB20,XRCC6
MYC,ARRDC4
MEIS1,ARRDC4
ESR1,NDRG2
CTR9,NFIA
DACH1,NFIA
HNRNPAB,NFIA
BTG2,NFIA
HMGB2,NFIA
YBX1,NFIA
RORA,NFIA
KLF3,NFIA
MAML3,NFIA
RUNX2,NFIA
MYC,PDGFRB
FOXO1,CTSL
MYC,CTSL
MYCN,CTSL
ESR1,NEAT1
MCM7,ESR1
MYCN,ESR1
NFE2,ESR1
NDN,ESR1
H1F0,ESR1
HLF,ESR1
TSC22D3,ESR1
CTR9,ESR1
CBX7,ESR1
HMGB2,ESR1
MYC,AP1S2
MYCN,N4BP3
REL,N4BP3
MECOM,MCM5
NOTCH1,MCM5
NDN,MCM5
PGR,MCM5
H1F0,MCM5
MYC,MCM5
IKZF1,MCM5
NFIA,MCM5
XRCC6,MCM5
HOXA9,MCM5
IRF6,FDFT1
ESR1,PRR5
MYCN,NUDT19
ESR1,NUDT19
SPI1,IGHM
RUNX2,H1F0
MYCN,H1F0
XRCC6,H1F0
MEIS1,H1F0
NOTCH1,H1F0
GATA2,H1F0
SOX18,H1F0
PBX1,H1F0
FOXO1,H1F0
IKZF1,H1F0
MLLT3,HLF
MCM5,HLF
MCM4,HLF
NR3C2,HLF
XPC,HLF
HMGB2,HLF
MCM7,HLF
DACH1,HLF
NFIA,HLF
MEIS1,HLF
NOTCH1,MECOM
BTG2,MECOM
HDAC7,MECOM
RUNX1T1,MECOM
FOXO1,MECOM
MLLT3,MECOM
MEF2C,MECOM
HNRNPAB,MECOM
CD7,MECOM
ZBTB20,MECOM
MEIS1,IL1R1
HOXA9,IL1R1
NDN,ITGB5
IKZF1,NR3C2
RUNX2,NR3C2
HMGB2,NR3C2
SATB1,NR3C2
BTG2,NR3C2
KLF3,NR3C2
CTR9,NR3C2
NFIA,NR3C2
HOXA9,NR3C2
MLLT3,NR3C2
MYCN,SOCS2
MYC,SOCS2
ESR1,SOCS2
MEF2C,SOCS2
MYCN,CD63
MYC,CD63
REL,HOXA9
EYA2,HOXA9
HOXA9,HOXA9
SATB1,HOXA9
NDN,HOXA9
CBFB,HOXA9
NUPR1,HOXA9
RORA,HOXA9
XPC,HOXA9
PGR,HOXA9
PGR,TRIB3
KLF6,TRIB3
ESR1,TRIB3
EYA2,TRIB3
HLF,TRIB3
MCM4,TRIB3
IRF6,TRIB3
RORA,TRIB3
ELL2,TRIB3
NFE2,TRIB3
HNRNPAB,PGR
GATA2,PGR
TRIB3,PGR
CBFB,PGR
IRF8,PGR
MCM5,PGR
TEAD2,PGR
MAML3,PGR
NOTCH1,PGR
MECOM,PGR
MYC,RASAL3
FOXO1,EFNA1
MYCN,RANBP1
MYC,RANBP1
HMGB2,PBX1
ZBTB20,PBX1
NFE2,PBX1
IKZF1,PBX1
FOXO1,PBX1
TRIB3,PBX1
YBX1,PBX1
VDR,PBX1
H1F0,PBX1
GATA2,PBX1
NFIA,RORA
ELL2,RORA
DACH1,RORA
ELF1,RORA
KLF6,RORA
SPI1,RORA
CBX7,RORA
HMGB2,RORA
IKZF1,RORA
RUNX1T1,RORA
HOXA9,FCHO2
MEIS1,FCHO2
FOXO1,CD44
IRF6,CD44
IRF8,CD44
PBX1,PF4
MEIS1,PF4
MYC,DUSP1
GATA2,DUSP1
MYCN,DENND2D
IKZF1,DENND2D
ESR1,PTGS1
MYCN,CTSF
MECOM,FHL1
MYCN,RGS19
XRCC6,ELL2
NFIA,ELL2
NFE2,ELL2
VDR,ELL2
MLLT3,ELL2
MAML3,ELL2
ELF1,ELL2
MYCN,ELL2
CBX7,ELL2
KLF6,ELL2
HMGB2,CDT1
MCM4,CDT1
MCM7,CDT1
MYCN,CDT1
ESR1,GGTA1
MYC,TRIM16
MCM7,MKI67
MCM4,MKI67
HMGB2,MKI67
XRCC6,HNRNPAB
H1F0,HNRNPAB
IKZF1,HNRNPAB
RUNX1T1,HNRNPAB
IRF6,HNRNPAB
IRF8,HNRNPAB
CTR9,HNRNPAB
HDAC7,HNRNPAB
GATA2,HNRNPAB
BTG2,HNRNPAB
MAML3,SOX18
HNF4A,SOX18
MEIS1,SOX18
MYC,SOX18
ELF1,SOX18
MECOM,SOX18
XPC,SOX18
VDR,SOX18
CBX7,SOX18
SOX18,SOX18
HNF4A,CBX7
MYCN,CBX7
MCM7,CBX7
EYA2,CBX7
RUNX2,CBX7
HDAC7,CBX7
YBX1,CBX7
HNRNPAB,CBX7
IRF8,CBX7
CD7,CBX7
HLF,MYC
NR3C2,MYC
MLLT3,MYC
MEIS1,MYC
XPC,MYC
MCM4,MYC
ELL2,MYC
IRF8,MYC
H1F0,MYC
TRIB3,MYC
IRF8,CTR9
SOX18,CTR9
MCM7,CTR9
DACH1,CTR9
TSC22D3,CTR9
MYC,CTR9
KLF6,CTR9
HOXA9,CTR9
MCM4,CTR9
EYA2,CTR9
MYC,VEGFC
FOXO1,VEGFC
ESR1,VEGFC
PBX1,HDAC7
MCM7,HDAC7
IRF8,HDAC7
MAML3,HDAC7
HDAC7,HDAC7
CBX7,HDAC7
DACH1,HDAC7
MECOM,HDAC7
MLLT3,HDAC7
MCM4,HDAC7
MYC,ZNRF2
MYCN,ZNRF2
IKZF1,TUBB4B
SOX18,RARB
SPI1,RARB
TSC22D3,RARB
MLLT3,RARB
CTR9,RARB
MCM5,RARB
VDR,RARB
GATA2,RARB
XRCC6,RARB
DACH1,RARB
REL,CD74
MYCN,PTP4A3
IKZF1,PTP4A3
MYC,TMEM246
NDN,EYA2
BTG2,EYA2
CD7,EYA2
TEAD2,EYA2
MECOM,EYA2
MAML3,EYA2
RARB,EYA2
VDR,EYA2
NFE2,EYA2
RORA,EYA2
MYC,OBSCN
SPI1,IL7R
IKZF1,IL7R
FOXO1,IL7R
MECOM,IL7R
MYCN,PKN3
IRF8,IL12A
REL,IL12A
MYCN,KCNK5
MECOM,KCNK5
RARB,TGM2
GATA2,TMEM14C
FOXO1,VAMP5
EYA2,CBFB
XRCC6,CBFB
SATB1,CBFB
NOTCH1,CBFB
SOX18,CBFB
VDR,CBFB
MEIS1,CBFB
SPI1,CBFB
HMGB2,CBFB
ELL2,CBFB
MCM7,SLBP
MCM4,SLBP
GATA2,CDK6
MYC,CDK6
ELF1,DNTT
MYC,DNTT
MYCN,CADPS2
MYC,CCT2
MYCN,CCT2
EYA2,KLF3
REL,KLF3
H1F0,KLF3
MYCN,KLF3
BTG2,KLF3
GFI1B,KLF3
CBFB,KLF3
XPC,KLF3
ELL2,KLF3
GATA2,KLF3
NDN,MAGED1
HNF4A,SATB1
PRDM16,SATB1
NOTCH1,SATB1
XRCC6,SATB1
TSC22D3,SATB1
ELF1,SATB1
MCM7,SATB1
CD7,SATB1
PGR,SATB1
TEAD2,SATB1
MYCN,CPXM1
REL,FKBP9
RUNX1T1,BCL2
SATB1,BCL2
IKZF1,BCL2
MYC,BCL2
GATA2,RUNX1T1
IKZF1,RUNX1T1
CBFB,RUNX1T1
HDAC7,RUNX1T1
IRF8,RUNX1T1
RUNX1T1,RUNX1T1
PBX1,RUNX1T1
REL,RUNX1T1
ZBTB20,RUNX1T1
PRDM16,RUNX1T1
XPC,IKZF1
