,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
DUSP1,0.55451864,0.5557307,0.49218428,0.47129562,0.52100986,0.43186066,0.5216985,0.42549223,0.49941477,0.58979017,0.54673237,0.51957023,0.41152734,0.34566113,0.5312419,0.43017536,0.54892844,0.50537837,0.44155124,0.48468342,0.50657684,0.50583595,0.47688282,0.43549204,0.56181705,0.55862814,0.3635829,0.54397976,0.4565436,0.49921998,0.5266537,0.58740485,0.53646666,0.46972665,0.4622231,0.47023824,0.44319436,0.4690868,0.38034603,0.5238251,0.48097378,0.45878342,0.4621208,0.44347003,0.60066193,0.5827541,0.47157684,0.43651822,0.47258347,0.45212993,0.47632223,0.4484187,0.46607205,0.5352294,0.4053757,0.5641207,0.5173573,0.4654595,0.5172054,0.57597685,0.49385214,0.47569817,0.4858834,0.49561387,0.46895158,0.5713873,0.43216947,0.5700749,0.4641518,0.5130359,0.5726736,0.38667202,0.5281406,0.5644624,0.50061244,0.4416298,0.5010412,0.56549567,0.5966752,0.64373916,0.43311965,0.53346616,0.44987622,0.52673036,0.45877033,0.42250806,0.5256586,0.46378854,0.47756648,0.48583648,0.484864,0.51037574,0.5270227,0.53174174,0.49545348,0.5458038,0.47506922,0.49958217,0.44978407,0.3702949,0.47245806,0.47415683,0.49239752,0.47283942,0.52460414,0.51223993,0.5031594,0.5039475,0.44620788,0.5320575,0.51334834,0.49747038,0.4538345,0.54877913,0.4939652,0.47772443,0.49095923,0.53732556,0.55400646,0.48173404,0.46283937,0.5379236,0.577878,0.46775857,0.46526867,0.4837673,0.47628438,0.43136594
TFEC,0.5344989,0.5365505,0.4668515,0.4775831,0.51096684,0.48142907,0.51185596,0.4623299,0.4937324,0.56331617,0.51818395,0.51366127,0.39727414,0.368084,0.50961554,0.4461438,0.53291845,0.48165438,0.45859185,0.47834304,0.5108796,0.49894425,0.47012976,0.47534317,0.5354798,0.5504044,0.38045692,0.5242392,0.4710218,0.4739711,0.5189793,0.5277662,0.52161556,0.49976718,0.48224735,0.48050323,0.44352743,0.4979855,0.41775742,0.49476653,0.49278963,0.468103,0.48802528,0.4509298,0.5725859,0.5413801,0.46938735,0.45797405,0.4796457,0.44106704,0.49221918,0.45856372,0.47369522,0.5095347,0.41154677,0.52848023,0.5086906,0.46448144,0.50069815,0.5185545,0.4738601,0.47111768,0.5035414,0.51468366,0.45526218,0.55014443,0.44632852,0.5355026,0.46168104,0.46839365,0.5576652,0.43954864,0.55460167,0.5160517,0.49477598,0.50116146,0.5128633,0.5481447,0.5507338,0.5944379,0.45695958,0.51206833,0.44656968,0.5308815,0.4451577,0.4358848,0.51374316,0.48432115,0.44654992,0.46676365,0.5096178,0.50250655,0.4903508,0.51750803,0.46082285,0.5225291,0.478632,0.5040546,0.48785964,0.4082918,0.49206373,0.4725554,0.49176005,0.4540614,0.51145405,0.49627078,0.48800802,0.51669586,0.4339854,0.5372839,0.50565475,0.48181936,0.44875294,0.5454169,0.51307285,0.49316058,0.4799827,0.52071095,0.5471772,0.4755346,0.47412735,0.5392279,0.5720088,0.47112992,0.47225198,0.46240208,0.4897314,0.42806917
GIMAP8,0.5612616,0.55053765,0.41048262,0.4405103,0.53183514,0.47629854,0.5022652,0.4609102,0.48793194,0.58953583,0.4962957,0.53538996,0.38348764,0.3312577,0.54372466,0.43558303,0.59272087,0.43822518,0.4437952,0.49839938,0.52241826,0.49589193,0.4587212,0.47273767,0.5360093,0.5733991,0.34866732,0.54812306,0.47750238,0.42684507,0.55553395,0.51267356,0.52885026,0.5636318,0.51805556,0.48143283,0.43680397,0.5157171,0.44659674,0.48755008,0.49769557,0.44095352,0.48665926,0.43692687,0.5994333,0.52785516,0.45379263,0.47386825,0.46336055,0.41960058,0.49903792,0.4141428,0.49552572,0.490171,0.34810525,0.55159694,0.47536752,0.42657554,0.49632493,0.5391947,0.43530622,0.4376868,0.53642905,0.54819477,0.4351711,0.57825714,0.44398427,0.5538801,0.43923616,0.42372456,0.57427424,0.44719484,0.60417336,0.5262423,0.5029528,0.5499971,0.51792586,0.57906115,0.5768094,0.61906517,0.44582057,0.502241,0.413579,0.564992,0.41229156,0.45580214,0.49832407,0.48117766,0.41472584,0.48569295,0.54343617,0.5105739,0.4879365,0.5245482,0.42838064,0.51728433,0.49657091,0.49719816,0.5425023,0.41366848,0.517515,0.4349318,0.48977455,0.44244796,0.5168291,0.49681547,0.4700323,0.5314902,0.40555805,0.57467496,0.51430655,0.4921597,0.46502858,0.5804937,0.5193267,0.48884353,0.45547485,0.5309996,0.5590422,0.45342043,0.44078168,0.55991256,0.6224125,0.42888597,0.49039394,0.44028485,0.47256893,0.38195044
F2R,0.53662705,0.53938574,0.46247223,0.47362262,0.5132561,0.48312056,0.50903815,0.4600364,0.49482074,0.5674182,0.51925796,0.5171148,0.39985612,0.36544865,0.5147034,0.44855133,0.538638,0.47998333,0.4573937,0.48083678,0.50786674,0.5015362,0.46941638,0.47316948,0.5374035,0.55053043,0.3760511,0.5262391,0.4716067,0.47653988,0.5240494,0.5273399,0.5227772,0.50539446,0.48455888,0.4799707,0.4436905,0.4973604,0.41674414,0.49622265,0.495102,0.4650816,0.48708183,0.45097658,0.5730631,0.5406992,0.46709144,0.45909703,0.4792786,0.4378149,0.49024892,0.4565986,0.47531056,0.50988823,0.40825474,0.53494406,0.508594,0.4629631,0.5023241,0.5222688,0.4711561,0.47012106,0.5040092,0.5185215,0.45364562,0.552061,0.44301245,0.5422573,0.45935726,0.46763784,0.5595338,0.4380929,0.55366796,0.5226704,0.4959783,0.49918583,0.5136135,0.55215216,0.55564743,0.60005605,0.45956674,0.51098406,0.44466543,0.53186965,0.4442994,0.4378045,0.51415706,0.47738972,0.4494652,0.4700892,0.5105176,0.5056971,0.4903091,0.51908094,0.4589431,0.52343583,0.481411,0.5002328,0.48740882,0.40677285,0.49328527,0.47012627,0.49093246,0.4548326,0.5150104,0.4988887,0.4874896,0.5155947,0.435567,0.5350535,0.5071392,0.48509577,0.45048615,0.5477927,0.5122098,0.49286932,0.47640762,0.52383846,0.55089206,0.47444335,0.4719167,0.5400803,0.5726337,0.4653246,0.47241724,0.46246183,0.4860601,0.4275782
PLXNC1,0.55298084,0.55550283,0.45675495,0.46897858,0.5234,0.45731792,0.513231,0.45370087,0.49997532,0.58795196,0.5260556,0.5254873,0.3976691,0.35127354,0.5289825,0.43637848,0.55493,0.47111338,0.44955012,0.4889883,0.5143759,0.50681615,0.47014356,0.45746276,0.54669654,0.5671955,0.37144518,0.5410543,0.45925176,0.47163522,0.52653074,0.5455548,0.53518766,0.5029645,0.48491114,0.4819086,0.4491866,0.49980932,0.41382462,0.4976837,0.49199885,0.45636225,0.47997174,0.44804573,0.6012449,0.559831,0.4690866,0.45236295,0.47288322,0.4461564,0.485912,0.44707283,0.48466468,0.52029777,0.39673817,0.5556861,0.5050794,0.45431483,0.50664663,0.5495799,0.46872783,0.46117008,0.5054525,0.5252562,0.46040508,0.56456155,0.44535854,0.5575576,0.46033275,0.48004204,0.57775176,0.41435575,0.5631747,0.5374231,0.50306624,0.49325567,0.50480103,0.5649108,0.5705217,0.62317485,0.44774175,0.5239111,0.43860114,0.5416853,0.4442443,0.44266108,0.521853,0.47821742,0.4529367,0.4789441,0.5114072,0.50318485,0.5015996,0.52611125,0.46822506,0.5316101,0.4820446,0.49651,0.4920983,0.3939301,0.4941164,0.4679824,0.489581,0.45843175,0.51784956,0.50359774,0.48711067,0.5206621,0.43403894,0.5435602,0.51354325,0.4845934,0.45333722,0.56693786,0.5162888,0.48817194,0.47446468,0.5334419,0.5540972,0.46417975,0.46225628,0.5497512,0.597508,0.45841974,0.48179278,0.46411717,0.48336977,0.41392225
ITGAM,0.5277475,0.5241804,0.49482712,0.48059914,0.5000715,0.48225135,0.5156243,0.4510819,0.49664676,0.5442457,0.52485853,0.5068262,0.40280086,0.3729792,0.49952468,0.46317497,0.5154243,0.5052667,0.4665803,0.47336578,0.5042705,0.49323156,0.47397977,0.4656721,0.53751904,0.5319349,0.38143143,0.51087344,0.46809182,0.49700645,0.5022253,0.5490196,0.51449776,0.46806893,0.45524576,0.46605253,0.43179786,0.47728616,0.39631367,0.50657856,0.48643276,0.4757125,0.47682208,0.45457593,0.55367523,0.54603904,0.4773533,0.44570157,0.48802325,0.44848952,0.48234662,0.47475708,0.44960278,0.5230361,0.43297374,0.51850945,0.5234046,0.47920495,0.5115861,0.5166394,0.49466798,0.48417434,0.48408398,0.49212214,0.45662165,0.5399092,0.44323093,0.5300616,0.47432905,0.48584414,0.5433475,0.4328614,0.5209972,0.5203592,0.48633885,0.46600562,0.5167852,0.54111093,0.5486549,0.5846723,0.46407673,0.5081304,0.46134588,0.5112674,0.45590013,0.42656896,0.5101831,0.47709462,0.460767,0.4611259,0.48140317,0.5006603,0.49418688,0.5171065,0.47222623,0.52609783,0.46703812,0.50832343,0.45424893,0.4043041,0.47405627,0.4857087,0.49473956,0.4551433,0.51105285,0.5008748,0.49805027,0.4957883,0.44977704,0.52086693,0.5005392,0.48878852,0.4388022,0.52636606,0.5007863,0.48688686,0.49125007,0.51451176,0.5422984,0.48773336,0.4880264,0.5259663,0.5375947,0.48036698,0.45714822,0.4753706,0.48744106,0.44766954
SOCS2,0.5432035,0.5467715,0.47693443,0.47329992,0.5158181,0.4627694,0.5174863,0.45173505,0.50133604,0.5622142,0.5249384,0.52127296,0.39678374,0.36021438,0.5126847,0.44633693,0.5435578,0.479995,0.4489569,0.48334187,0.5052454,0.5043363,0.4708721,0.45812437,0.5416229,0.554277,0.37340716,0.53578943,0.46341702,0.4823624,0.5188702,0.5466925,0.5292291,0.49074015,0.47536653,0.475936,0.44765306,0.4919277,0.41432714,0.4972435,0.4915476,0.46764007,0.47951937,0.45290408,0.58611953,0.5553472,0.47734115,0.4554771,0.47335067,0.44608092,0.48580137,0.45790756,0.4713574,0.52113146,0.4066517,0.5455453,0.5108042,0.46525928,0.50821507,0.53805524,0.47967434,0.46922418,0.50083023,0.5073095,0.45733306,0.5543026,0.44385123,0.54367703,0.4662029,0.4808329,0.5682979,0.42254165,0.54817003,0.5295915,0.50063986,0.48390666,0.510686,0.552538,0.55528635,0.6082528,0.45526138,0.5182286,0.44771144,0.52947,0.4542148,0.43927193,0.51913035,0.47734314,0.45528203,0.4715332,0.4972004,0.5035029,0.4954995,0.518439,0.46718878,0.5298101,0.47523215,0.5058479,0.47950906,0.39551792,0.49171963,0.4769232,0.4928605,0.45051455,0.51225376,0.5024217,0.49031672,0.5136467,0.4410161,0.5395834,0.5147794,0.48097742,0.4525256,0.5542603,0.5133425,0.48659343,0.47903457,0.52518415,0.54200095,0.4696454,0.47076368,0.54583454,0.573078,0.4643248,0.4743224,0.4658884,0.4881019,0.41945952
IGHV1-82,0.5262677,0.52461004,0.46935683,0.47366628,0.50381565,0.5001013,0.5065922,0.4634499,0.49301374,0.5473533,0.5088877,0.51158017,0.39545158,0.37885633,0.5001943,0.46114975,0.52946985,0.48173407,0.46676758,0.4764365,0.5080764,0.4922611,0.46675664,0.48446897,0.528581,0.5381936,0.3803459,0.5144458,0.47752044,0.47976628,0.51456755,0.52047473,0.50930035,0.5026495,0.4812854,0.47992006,0.43595693,0.4907715,0.42498827,0.49505326,0.49530447,0.47365418,0.4908326,0.45228532,0.55263644,0.52595717,0.46836624,0.46198672,0.48245004,0.4370843,0.49168396,0.4628639,0.46495086,0.50549984,0.41532245,0.51532304,0.5057424,0.46617067,0.5002307,0.5033349,0.47507185,0.4731866,0.50039,0.51301986,0.4488503,0.5425174,0.4450561,0.5269962,0.4639303,0.4560958,0.54681563,0.45469883,0.54891247,0.505221,0.48976266,0.508275,0.5220551,0.54249483,0.5394123,0.57324725,0.46465313,0.497155,0.44777602,0.52400166,0.44065046,0.43482584,0.504138,0.4791734,0.44226667,0.45888135,0.50908506,0.5034265,0.4819643,0.5162529,0.45294073,0.5145556,0.47591785,0.5022262,0.48323807,0.42090794,0.49013618,0.47293058,0.4875455,0.45002258,0.50206584,0.49452093,0.48647064,0.5126322,0.43462294,0.5315792,0.50050694,0.4824694,0.4461157,0.53517866,0.50865763,0.49526253,0.47702372,0.51029867,0.54469144,0.47416657,0.47946575,0.53342485,0.5551166,0.4717601,0.46656993,0.45944378,0.48879716,0.43149358
TINAGL1,0.5503418,0.5476259,0.4373618,0.46372485,0.5210745,0.47979352,0.5086651,0.4573989,0.49004993,0.5707199,0.5086188,0.52028763,0.38991708,0.34813678,0.53055155,0.44382015,0.56253093,0.45966738,0.44631308,0.4910669,0.51570976,0.50048447,0.4672829,0.47345373,0.5345498,0.5616288,0.3650753,0.54029953,0.47140348,0.44910973,0.5335024,0.523072,0.52661294,0.5260553,0.49640512,0.4859365,0.44230103,0.5101268,0.43505362,0.48378944,0.49906632,0.45511076,0.48850068,0.4472851,0.59133047,0.5357358,0.4649984,0.46503848,0.47130844,0.43450412,0.4948263,0.4446622,0.48814195,0.49943358,0.38232765,0.54349697,0.49032286,0.44588473,0.502902,0.525513,0.45865375,0.45377362,0.5201014,0.5274323,0.44297683,0.5626222,0.45167834,0.54737806,0.45044586,0.44796038,0.56873953,0.4383054,0.5832354,0.5192559,0.5006497,0.52599853,0.5074645,0.55989987,0.5571772,0.6077898,0.45406798,0.5135441,0.43069002,0.5490977,0.4284011,0.44211376,0.50567573,0.4799843,0.42803448,0.4750859,0.52315295,0.50919956,0.49257597,0.52314013,0.444887,0.523826,0.48656306,0.50111413,0.5135405,0.4104272,0.50080055,0.4524848,0.4947486,0.44576257,0.51520413,0.49469754,0.48034886,0.5231944,0.42384475,0.5574563,0.5110893,0.48130915,0.4572856,0.56493264,0.5216503,0.4897153,0.46788055,0.52752495,0.5500747,0.46319255,0.45871457,0.5521382,0.5956017,0.45037213,0.48468006,0.45419955,0.48425433,0.40464836
EPSTI1,0.5567449,0.5661208,0.4593121,0.46169844,0.53101176,0.4462476,0.51272905,0.44772413,0.50355315,0.5997975,0.5297407,0.53794855,0.4009808,0.3453778,0.5352048,0.43076533,0.5739948,0.4714853,0.44057196,0.4956249,0.50807655,0.50950223,0.4672104,0.44584942,0.54857624,0.5721124,0.36790022,0.55469924,0.45876288,0.4881891,0.54438245,0.55500525,0.5405489,0.5072708,0.49242687,0.48308173,0.4518201,0.48931792,0.41066942,0.5065428,0.49731818,0.45060226,0.4775294,0.44813502,0.6067238,0.57111746,0.46471965,0.4528879,0.45820948,0.4433084,0.47886392,0.43586516,0.48138326,0.5269383,0.38413444,0.57317823,0.5051811,0.44347864,0.5073213,0.5722523,0.46378627,0.4575711,0.5092292,0.53192705,0.45824274,0.5744905,0.4370472,0.5681389,0.45951,0.4880856,0.58531404,0.39865178,0.5563361,0.5563353,0.5126321,0.48800835,0.50220096,0.5738111,0.58552897,0.64212227,0.44585672,0.5295658,0.431978,0.54284006,0.446765,0.44303796,0.5331885,0.46549112,0.46510696,0.4846712,0.51382595,0.513107,0.5149777,0.5214408,0.47243527,0.5345769,0.48647887,0.49046078,0.48258528,0.3874902,0.49861056,0.4670451,0.48832038,0.4623688,0.5161119,0.51189333,0.48367658,0.5258648,0.4385235,0.54375374,0.5182734,0.48844334,0.45785707,0.5721759,0.508478,0.48246005,0.46947291,0.5386629,0.5513317,0.46148425,0.4542114,0.5547926,0.60079205,0.45216376,0.48267245,0.46516278,0.47946903,0.4046738
