,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
DUSP1,0.79809886,0.0,0.47204638,0.0,0.35218024,0.0,0.0,0.0,0.8834716,0.0,0.0,0.0,0.0,0.03798212,0.25027996,0.0,0.16070803,0.061435677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2692101,0.37414396,0.0,0.0,0.0,0.0,0.046970524,0.025311515,0.0,0.0,0.21201642,0.6853239,0.0,0.5050211,0.0,0.0,0.0,0.25368395,0.0,0.09656937,0.0,0.0,0.0,0.0,0.08628431,0.0,0.0,0.0,0.0,0.51120234,0.0,0.2569248,0.038499057,0.0,0.44987214,0.0,0.0,0.0,0.0,0.0,0.20522904,0.0,0.0,0.46737856,0.0,0.27619156,0.01711907,0.0,0.210814,0.5602025,0.0,0.0,0.0,0.48827428,0.7492855,0.0,0.39210495,0.0,0.31180513,0.60355425,0.0,0.37274367,0.0,0.15611497,0.0,0.05483014,0.17369992,0.5592647,0.12070287,0.526588,0.38333082,0.0,0.0,0.0,0.23860548,0.0,0.58318627,0.0,0.0,0.0,0.0,0.044686597,0.23078682,0.0,0.0,0.0,0.14082181,0.0,0.0,0.0,0.0,0.0,0.49169824,0.24251798,0.0,0.0,0.045435566,0.0,0.0,0.31881374,0.19006835,0.0,0.0
TFEC,0.20916371,0.0,0.11985155,0.0,0.030513767,0.0,0.0,0.0,0.23790324,0.0,0.0,0.0,0.0,0.024910588,0.053362295,0.0,0.0,0.0,0.0,0.03244847,0.0,0.0,0.0,0.0,0.0,0.021438846,0.31493655,0.0,0.0,0.0,0.0,0.039439738,0.0,0.0,0.0,0.024452556,0.4858128,0.0,0.327561,0.0,0.0,0.0,0.0,0.0,0.008405767,0.0,0.0,0.0,0.048245274,0.12262708,0.0,0.0,0.0,0.0,0.13221107,0.0,0.11141738,0.09091617,0.0,0.13779767,0.0,0.0,0.00039689057,0.0,0.0,0.0,0.0,0.0,0.1942977,0.0,0.05465705,0.0,0.0,0.17534237,0.15832125,0.0,0.0,0.0,0.17067207,0.22843924,0.0,0.044999294,0.0,0.14431244,0.34769833,0.0,0.3101043,0.0,0.1812292,0.0,0.040912036,0.1287692,0.1522496,0.16639963,0.3748108,0.040211815,0.0,0.0,0.0,0.048873413,0.0,0.12442141,0.0,0.0,0.0,0.0,0.18363889,0.07980339,0.0,0.0,0.0,0.019440021,0.0,0.0,0.0,0.0,0.0,0.1399843,0.008075684,0.0,0.0,0.0,0.0,0.0,0.14118475,0.11553915,0.0,0.114527486
GIMAP8,0.0,0.0,0.003036743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32171258,0.0,0.0,0.0,0.0,0.0,0.0,0.2724724,0.0,0.0,0.0,0.0,0.0,0.0,0.5838081,0.0,0.0,0.0,0.0,0.12955457,0.0,0.0,0.0,0.0,0.844566,0.0,0.51025003,0.0,0.0,0.0,0.0,0.0,0.0,0.026644794,0.0,0.0,0.18622789,0.3353847,0.0,0.0,0.0,0.0,0.0,0.007846184,0.2732147,0.14972085,0.0,0.059237786,0.0,0.0,0.12631449,0.0,0.0,0.0,0.0,0.15676042,0.36456996,0.0,0.0,0.0,0.0,0.41973835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7090715,0.0,0.56288105,0.0,0.37719136,0.0,0.0,0.27988398,0.1443426,0.31232592,0.5521581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16551751,0.0,0.0,0.31615555,0.0,0.13528669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16925697,0.19380254,0.0,0.0,0.0,0.34199935,0.18927164,0.0,0.45351648
F2R,0.23226795,0.0,0.14680196,0.0,0.0557629,0.0,0.0,0.0,0.24304584,0.0,0.0,0.0,0.0,0.0155355055,0.105780415,0.0,0.0,0.0,0.0,0.07883006,0.0,0.0,0.0,0.0,0.0,0.04040321,0.28118324,0.0,0.0,0.0,0.0,0.0451603,0.0,0.0,0.0,0.0024268366,0.45527056,0.0,0.32623953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034787655,0.16234119,0.0,0.0,0.0,0.0,0.12087372,0.0,0.16893864,0.10078284,0.0,0.17840311,0.0,0.0,0.0,0.0,0.0,0.023339741,0.0,0.0,0.23939353,0.0,0.07824993,0.0,0.0,0.24051571,0.18930091,0.0,0.0,0.0,0.17050143,0.24604899,0.0,0.08252203,0.0,0.07942096,0.38467664,0.0,0.35521442,0.0,0.16016397,0.0,0.07678905,0.13998593,0.22363912,0.21990728,0.4018781,0.021502543,0.0,0.0,0.0,0.035150107,0.0,0.17525712,0.0,0.0,0.0,0.0,0.2124129,0.020535208,0.0,0.0,0.0,0.035654996,0.0,0.0,0.0,0.0,0.0,0.1834693,0.0,0.0,0.06343025,0.0,0.0,0.0,0.17133327,0.11990373,0.0,0.11557292
PLXNC1,0.38040993,0.0,0.20910753,0.0,0.11471492,0.0,0.0,0.0,0.4501114,0.0,0.0,0.0,0.0,0.03932268,0.06291436,0.0,0.022641223,0.0,0.0,0.05376222,0.0,0.0,0.0,0.0,0.0,0.067413144,0.5132064,0.0,0.0,0.0,0.0,0.06703623,0.0,0.0,0.0,0.07814328,0.76450676,0.0,0.46117324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15418732,0.0,0.0,0.0,0.0,0.24632883,0.0,0.19439751,0.14374954,0.0,0.25749823,0.0,0.0,0.0,0.0,0.0,0.058462597,0.0,0.058647342,0.37182242,0.0,0.1390126,0.0,0.0,0.30210686,0.30359867,0.0,0.0,0.0,0.31152686,0.43357792,0.0,0.08422146,0.0,0.20439494,0.5988575,0.0,0.46427846,0.0,0.2569671,0.0,0.09881255,0.211589,0.2937176,0.20896631,0.56553096,0.08284734,0.0,0.0,0.0,0.11185044,0.0,0.22305772,0.0,0.0,0.0,0.0,0.25147623,0.16781437,0.0,0.0,0.0,0.07761808,0.0,0.0,0.0,0.0,0.0,0.29782546,0.0806645,0.0,0.0,0.0,0.0,0.0,0.2907539,0.08176033,0.0,0.088173896
ITGAM,0.3692808,0.0,0.20596254,0.0,0.16269694,0.0,0.020207118,0.0,0.4098427,0.0,0.0,0.0,0.0,0.19557062,0.12152745,0.0148410555,0.104724154,0.06023393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15807545,0.15343124,0.0,0.0,0.0,0.0,0.0,0.07812713,0.0,0.0,0.06671195,0.19402272,0.0,0.14333494,0.0,0.0,0.0,0.13454562,0.0,0.08667505,0.0,0.0,0.0,0.0,0.037663467,0.0,0.0,0.0,0.0,0.2757333,0.0,0.07523376,0.070443995,0.0,0.18908234,0.0,0.0,0.0,0.0,0.0,0.091137625,0.0,0.0,0.16834378,0.0,0.09963295,0.07976066,0.0,0.045921344,0.31425735,0.0,0.0,0.0,0.20080066,0.363111,0.0,0.0850826,0.0,0.2486487,0.16930734,0.035093274,0.17700508,0.0,0.09194844,0.0,0.120675564,0.09509225,0.22142665,0.05268702,0.17451026,0.23366655,0.0,0.016135417,0.0,0.17183468,0.0,0.3433878,0.0,0.0,0.0,0.0,0.14755003,0.104332834,0.0,0.0,0.0,0.038089942,0.0,0.0,0.0,0.0,0.0,0.29562634,0.09087536,0.0,0.0,0.008557443,0.0,0.0,0.044867054,0.012687076,0.0,0.0
SOCS2,0.372462,0.0,0.24712244,0.0,0.05252966,0.0,0.0,0.0,0.4116631,0.0,0.0,0.0,0.0,0.18269926,0.09738125,0.05499611,0.10621551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111029476,0.41158745,0.0,0.0,0.0,0.0,0.0,0.016549453,0.0,0.0,0.05800176,0.64594877,0.0,0.39927635,0.0,0.0,0.0,0.03731561,0.0,0.011237688,0.0,0.0,0.0,0.0,0.11959036,0.0,0.0,0.0,0.0,0.23477015,0.0,0.091157496,0.115533814,0.0,0.21442975,0.0,0.0,0.0,0.0,0.0,0.010577969,0.0,0.038148247,0.34908032,0.0,0.06695164,0.0,0.0,0.12032466,0.2895165,0.0,0.0,0.0,0.14326112,0.45982954,0.0,0.023489125,0.0,0.13552307,0.4651438,0.0,0.39116365,0.0,0.19920385,0.0,0.0,0.14555645,0.2697345,0.082629286,0.39196572,0.19448389,0.0,0.0,0.0,0.17389196,0.0,0.31013644,0.0,0.0,0.0,0.0,0.22024582,0.21392624,0.0,0.0,0.0,0.060848307,0.0,0.0,0.0,0.0,0.0,0.25686702,0.06897646,0.0,0.0,0.0,0.0,0.0,0.28373927,0.0,0.0,0.0
IGHV1-82,0.06152301,0.0,0.112981,0.0,0.0,0.0,0.0,0.0,0.09329801,0.0,0.0,0.0,0.0,0.09280264,0.019745957,0.0,0.0,0.0,0.008994129,0.11328432,0.0,0.0,0.0,0.0,0.0,0.03215988,0.1905013,0.0,0.0,0.0,0.0,0.004703868,0.0,0.0,0.0,0.0,0.27003494,0.0,0.15790062,0.0,0.0,0.0,0.0,0.0,0.0,0.02740837,0.0,0.0,0.09735584,0.1459789,0.0,0.0,0.0,0.0,0.041256294,0.0,0.09983787,0.0611832,0.0,0.14223439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1652304,0.0,0.0017310157,0.0,0.0,0.112235546,0.07958634,0.0,0.040547155,0.0,0.06726934,0.06942905,0.0,0.0,0.0,0.10128747,0.2335067,0.0,0.24471407,0.0,0.16673866,0.0,0.09216251,0.14306884,0.12594846,0.14143938,0.16127354,0.0,0.0,0.0,0.0,0.060198843,0.0,0.11054316,0.0,0.011210281,0.0,0.0,0.19890909,0.0,0.035378624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096402854,0.0,0.07716572,0.05924193,0.0,0.0,0.0,0.07230756,0.0659574,0.0,0.12729988
TINAGL1,0.09890866,0.0,0.04673323,0.0,0.0,0.0,0.0,0.0,0.1402846,0.0,0.0,0.0,0.18271767,0.0,0.0,0.0,0.0,0.0,0.0,0.1053923,0.0,0.0,0.0,0.0,0.0,0.0,0.4963781,0.0,0.0,0.0,0.0,0.151698,0.020948369,0.0,0.0,0.0,0.69429624,0.0,0.4369775,0.0,0.0,0.0,0.0,0.0,0.0,0.08135532,0.0,0.0,0.15616281,0.16630125,0.0,0.0,0.0,0.0,0.10088762,0.0,0.112439886,0.15712577,0.0,0.06603669,0.0,0.0,0.10457869,0.0,0.0,0.0,0.0,0.11556684,0.26106146,0.0,0.0,0.0,0.0,0.28119853,0.07191286,0.0,0.035785615,0.0,0.099152565,0.20493606,0.0,0.0,0.0,0.041709866,0.5668737,0.0,0.48158926,0.0,0.25275257,0.0,0.001871191,0.19199672,0.1217559,0.23009068,0.40859154,0.0,0.0,0.0,0.0,0.053938534,0.0,0.04923051,0.0,0.053439405,0.0,0.0,0.2748877,0.03507133,0.021138087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06938368,0.0,0.0,0.0,0.0,0.0,0.0,0.29977453,0.07193354,0.0,0.19489434
EPSTI1,0.5082798,0.0,0.45042595,0.0,0.13070148,0.0,0.0,0.0,0.61540943,0.0,0.0,0.0,0.0,0.053906485,0.08624658,0.0,0.062411267,0.0,0.0,0.096623875,0.0,0.0,0.0,0.0,0.0,0.17759967,0.49427685,0.0,0.0,0.0,0.0,0.02996824,0.0,0.0,0.0,0.021842998,0.88834304,0.0,0.49685237,0.0,0.0,0.0,0.07174115,0.0,0.0,0.0,0.0,0.0,0.0,0.27713904,0.0,0.0,0.0,0.0,0.15607986,0.0,0.2464423,0.13366622,0.0,0.43215135,0.0,0.0,0.0,0.0,0.0,0.10189249,0.0,0.0,0.5705376,0.0,0.2559818,0.0,0.0,0.3402165,0.37270078,0.0,0.0,0.0,0.27997792,0.51706135,0.0,0.28321865,0.0,0.11709198,0.71617717,0.0,0.56102544,0.0,0.31411412,0.0,0.06640862,0.22558805,0.5179537,0.26099753,0.6908917,0.17657472,0.0,0.0,0.0,0.102287546,0.0,0.42029357,0.0,0.0,0.0,0.0,0.25257027,0.20980145,0.0,0.0,0.0,0.07042575,0.0,0.0,0.0,0.0,0.0,0.34653592,0.0076010525,0.0,0.036215734,0.0,0.0,0.0,0.41805512,0.12844352,0.0,0.014070317
