,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
DUSP1,-0.029444281,-0.044323515,0.065210715,0.028999642,-0.06325651,0.046478547,0.068125986,-0.003422439,-0.10770275,0.071600005,0.051440965,-0.0263009,0.0053430535,-0.045322,0.0715279,0.04502349,0.07098233,0.03203547,-0.055400968,0.041772738,0.03825549,-0.049729947,0.040503908,-0.061716564,-0.019769613,-0.04249901,0.047890723,0.042175025,0.054621954,-0.023659421,-0.008924667,-0.05107143,-0.05143491,0.05156058,-0.025078334,0.05456625,0.020279326,-0.04523597,-0.010558154,-0.035395928,-0.00044298172,-0.043485187,0.05722007,-0.041849297,-0.05679279,0.03797821,-0.04101952,-0.026482705,-0.033796012,0.04678362,-0.041172855,0.03837245,0.070800535,0.061773505,-0.0630524,0.031217968,-0.03428212,0.003806416,0.047612607,0.07622831,0.0489798,0.032756366,-0.061216608,0.014288997
TFEC,-0.025460493,0.008517534,0.021830564,-0.013401084,-0.0032560527,0.0030034482,-0.012425603,0.019072194,-0.030568624,0.0026458874,-0.0011772886,0.0050947145,-0.001076363,0.020693034,0.02886485,0.0064417385,0.0062743723,-0.016356478,0.003415238,-0.02599828,-0.018192602,0.0009390395,-0.01141325,0.007861696,-0.0056186616,-0.0073660836,-0.016477212,-0.013558704,-0.006241638,-0.021604229,0.029551288,0.00466178,-4.0662475e-05,-0.0035294145,-0.0051442403,0.019058367,-0.023735423,0.0010251421,0.012242732,-0.01643401,-0.008647598,-0.013404574,0.011050859,0.0069507435,0.00019763038,-0.004208546,-0.0097960755,0.027850576,0.021877322,-0.0005714856,0.016982771,-0.0051345266,0.016182281,-0.0015675137,-0.031712748,-0.019669626,-0.01644189,0.011382289,0.0019014627,-0.0053099478,0.0054949797,0.0087996125,-0.04944903,0.026564222
GIMAP8,0.07098538,0.10685864,-0.10543938,-0.12888806,0.10480763,-0.1268728,-0.16962235,0.06344416,0.12886111,-0.119850054,-0.13980076,0.09849639,-0.045523476,0.15211155,-0.08363665,-0.14649582,-0.14479613,-0.13811374,0.14078021,-0.15913329,-0.09795128,0.1250978,-0.12507266,0.1321531,0.044174023,0.13250455,-0.1301525,-0.07052629,-0.16994654,-0.00988506,0.115351945,0.08858144,0.11335177,-0.09566121,0.045490723,-0.07458111,-0.09420997,0.11880504,0.08281218,0.09013939,-0.048761748,0.09999681,-0.09262002,0.1734393,0.15073343,-0.15575479,0.108877204,0.1352197,0.13154867,-0.14944556,0.14429735,-0.12067933,-0.10989037,-0.12884997,0.09826512,-0.113253236,0.06342768,0.025983188,-0.12654832,-0.16227005,-0.073321246,-0.07256373,0.038465016,0.06288391
F2R,-0.017828433,0.012848247,0.02032296,-0.017262636,-0.000603199,-0.00078091025,-0.015356412,0.019648336,-0.03517722,0.0013981815,-0.002190344,0.0028326511,-0.0052959807,0.018548544,0.029090926,-0.0008147545,-0.002601713,-0.01741562,0.008102249,-0.030116014,-0.020828236,0.0058962833,-0.011800136,0.007312078,-0.0047399104,-0.0011375621,-0.020004228,-0.010064609,-0.0059667304,-0.022775682,0.029838886,-0.002382949,0.0032312209,-0.0020259172,-0.004526779,0.01065103,-0.022438176,-0.00061350875,0.017277332,-0.011145819,-0.011909179,-0.011093319,0.008250361,0.011069648,0.0066439714,-0.008561097,-0.007355405,0.027653845,0.029068727,-0.007847872,0.024847075,-0.007363841,0.010711029,-0.0028939554,-0.026818775,-0.018332586,-0.013662353,0.008922271,-0.0015033782,-0.011418146,0.0045310645,0.007599458,-0.042433344,0.026117252
PLXNC1,-0.00047723204,0.016007151,0.0023447946,-0.02464775,0.0041698962,-0.018279832,-0.02818723,0.028131483,-0.011448685,-0.0125714205,-0.00821095,0.018360985,-0.00809972,0.038713068,0.016142793,-0.02203973,-0.016158238,-0.032275468,0.01530711,-0.038694095,-0.020000607,0.010463728,-0.02390382,0.011999562,0.0048917457,0.016501073,-0.032661296,-0.008218236,-0.020953037,-0.013799332,0.047861774,0.01016264,0.021149611,-0.014832355,-0.0014818124,0.00036871433,-0.022141814,0.005772358,0.021334399,0.0076663755,-0.014114298,0.012235387,-0.009698769,0.034336917,0.028291514,-0.029673602,0.009868279,0.035548076,0.026724407,-0.016939767,0.031946883,-0.019558385,-0.0019261837,-0.025430191,-0.009545691,-0.022589948,-0.009864499,0.017743055,-0.013014697,-0.021017212,-0.0005029659,-0.0027444288,-0.027259748,0.025088135
ITGAM,-0.08104517,-0.07374291,0.09790896,0.05038768,-0.050455138,0.07402097,0.084224455,-0.0019427277,-0.12151608,0.090884,0.08347137,-0.06619847,0.026627436,-0.06472092,0.09669931,0.08783273,0.0991729,0.06779436,-0.076472014,0.05723942,0.031891935,-0.07374102,0.060872484,-0.06435201,-0.019686613,-0.09292455,0.06045641,0.027454637,0.09357108,-0.028281294,-0.035031173,-0.06298147,-0.0724028,0.064873,-0.045787178,0.07018888,0.019076101,-0.062129274,-0.03638772,-0.07293525,0.0077972934,-0.09815144,0.08319572,-0.08761285,-0.09396431,0.07942559,-0.070844814,-0.029314395,-0.047184087,0.0847801,-0.060489893,0.05491873,0.08854397,0.0831395,-0.09909044,0.044916738,-0.06416569,-0.0128978975,0.069474384,0.0896394,0.05075846,0.06005057,-0.084008485,-0.0011251997
SOCS2,-0.02852973,-0.035661537,0.03129572,-0.0027698716,0.0042555034,0.015340881,0.017410079,0.030387094,-0.034919977,0.018483486,0.030047107,-0.017964732,0.0136965215,0.0012171362,0.03738551,0.00959903,0.010931976,0.0010347907,-0.017463708,-0.00018871576,-0.015461961,-0.024124118,0.009872727,-0.009649493,0.014085982,-0.019269371,-0.00044433773,-0.008706402,0.013558179,-0.02748296,0.01978353,-0.0122083295,-0.011181982,0.016694576,-0.012276223,0.019187393,-0.012835804,-0.009175038,0.0016379021,-0.020670488,-0.018008865,-0.021357257,0.02724652,-0.0050838366,-0.026597025,0.008226097,-0.012688944,0.018186502,-0.0034981184,0.013341218,0.0068058223,0.00467903,0.025324993,0.009717575,-0.026841566,0.0015214658,-0.023039473,0.0049857013,0.015407417,0.017950956,0.0060805003,0.0067312345,-0.03965783,0.023236632
IGHV1-82,-0.038627982,-0.0077300332,0.033822507,-0.0019448027,0.005962938,0.018759735,0.003257372,0.018625516,-0.044138588,0.013052532,0.0069343485,-0.017811667,0.0042748973,0.00059863366,0.041401513,0.023944978,0.019849166,0.0011668224,-0.009667481,-0.02056972,-0.025482874,-0.009288937,0.0019491203,-0.00024678186,-0.0040194914,-0.023104878,-0.005723059,-0.013773609,0.011698632,-0.02884689,0.014485393,-0.0122635905,-0.00907805,0.0074222162,-0.016991705,0.019287843,-0.02630027,-0.0016445182,0.00030948687,-0.029785968,-0.012370825,-0.043249965,0.029770939,-0.018485665,-0.022398151,0.013774082,-0.016992021,0.02804761,0.019076832,0.014640549,0.002242284,0.0035199076,0.01963336,0.010465371,-0.0408898,-0.014743598,-0.024519298,-0.0020456314,0.011796549,0.005712104,0.007208957,0.01665996,-0.050649114,0.025831832
TINAGL1,0.022670608,0.046350148,-0.04659249,-0.06815964,0.05280514,-0.060137037,-0.08781317,0.049693957,0.043900054,-0.06961903,-0.06200249,0.044263802,-0.01650193,0.08482799,-0.023881346,-0.075755894,-0.06664313,-0.08264059,0.06438804,-0.087918095,-0.059237972,0.049477756,-0.061893135,0.06599561,0.01913615,0.06008754,-0.07447794,-0.046134476,-0.084946886,-0.010089062,0.07390652,0.051442202,0.059520416,-0.0500938,0.016029622,-0.025934987,-0.05468883,0.061714776,0.044453017,0.040295336,-0.026115917,0.0441745,-0.038184196,0.086628005,0.069181144,-0.07950844,0.047355734,0.07972065,0.07314052,-0.07105989,0.074193284,-0.062120177,-0.038832515,-0.060778473,0.027565114,-0.061790157,0.03219942,0.0144862905,-0.054615185,-0.08170575,-0.027233195,-0.02972553,-0.004173778,0.042946294
EPSTI1,0.015972774,0.017501421,0.0020853989,-0.034120165,0.013028197,-0.016630944,-0.016558368,0.026421672,-0.0059418418,-0.0072426163,-0.014270881,0.014107041,-0.012659594,0.032162268,0.010507092,-0.03477752,-0.033595167,-0.037076198,0.019170817,-0.04103324,-0.029450387,0.01737388,-0.024027927,0.017026879,0.017681882,0.02347485,-0.025936874,-0.0016996376,-0.025525311,-0.023950119,0.053085543,0.0020932183,0.018433444,-0.005093366,0.008440342,-0.022441354,-0.01845406,0.0052906964,0.028763808,0.024348546,-0.027517416,0.012999061,-0.012791047,0.046541415,0.02506891,-0.03300846,0.02486533,0.034100078,0.029309575,-0.025594875,0.046428833,-0.028430406,-0.012273461,-0.028880343,0.011844054,-0.025419569,-0.010495095,0.018227365,-0.015402742,-0.01463203,-0.009871883,-0.012495957,-0.0050730333,0.027687455
