TF_gene,Target_gene
SIRT1,SOX17
GATAD2A,SOX17
PLAGL2,SOX17
HNRNPD,SOX17
CDCA7L,SOX17
NFIC,SOX17
ALYREF,SOX17
POLR1B,SOX17
KLF5,SOX17
BMP2,SOX17
AR,TPD52
NFKBIA,ZIC2
RNF14,ZIC2
TP53,ZIC2
ISL1,ZIC2
H1F0,ZIC2
PGR,ZIC2
ZNF219,ZIC2
ALYREF,ZIC2
RORB,ZIC2
ENO1,ZIC2
POLR1A,WDR12
PA2G4,WDR12
CEBPZ,WDR12
PDCD11,WDR12
POLR1B,WDR12
POLR1C,WDR12
MYBBP1A,WDR12
DDX54,WDR12
RFXANK,GRHL2
ZNF239,GRHL2
SOX17,GRHL2
PPARA,GRHL2
RNF19A,GRHL2
NFATC1,GRHL2
ANKZF1,GRHL2
RORB,GRHL2
PGR,GRHL2
RAI14,GRHL2
IFI16,MCM5
NFKBIA,MCM5
POU2AF1,MCM5
BCL11B,MCM5
SPIB,MCM5
ETV4,MCM5
TCF19,MCM5
HNRNPD,MCM5
ZNF239,MCM5
E2F3,MCM5
BMP4,GPC3
ZBTB38,PLAGL2
GRHL2,PLAGL2
BMP2,PLAGL2
MED16,PLAGL2
TRIM22,PLAGL2
CALCOCO1,PLAGL2
NANOG,PLAGL2
DNMT3A,PLAGL2
TBX3,PLAGL2
POLR2H,PLAGL2
ZNF146,LZTS1
HELZ,LZTS1
KAT7,LZTS1
CUX1,LZTS1
MAFG,LZTS1
HOXB7,LZTS1
TRAF6,LZTS1
TFE3,LZTS1
TBX20,LZTS1
HAND2,LZTS1
ILF3,FOXJ2
UHRF1,FOXJ2
CNTRL,FOXJ2
TP53,FOXJ2
NKX3-1,FOXJ2
SP110,FOXJ2
MEIS1,FOXJ2
MCM6,FOXJ2
AIRE,FOXJ2
DACH1,FOXJ2
DAB2,WDR5
OTX2,WDR5
DNAJC2,WDR5
FOXP1,WDR5
NRIP1,WDR5
KLF6,WDR5
CITED2,WDR5
TFDP1,WDR5
ZEB2,WDR5
SNAI2,WDR5
SUPT7L,KLF8
PSIP1,KLF8
TRERF1,KLF8
PDCD11,KLF8
CTBP1,KLF8
HIF1A,KLF8
ZNF589,KLF8
ZHX3,KLF8
TRIM22,KLF8
TFAP4,KLF8
ASB9,GLMN
ASB4,GLMN
WWP1,GLMN
RNF19A,GLMN
VHL,GLMN
RNF14,GLMN
RNF14,RNF138
ASB9,RNF138
VHL,RNF138
ASB4,RNF138
WWP1,RNF138
RNF19A,RNF138
HOXB4,LIN28A
NFATC1,LIN28A
KLF6,LIN28A
DPF2,LIN28A
HCFC1,LIN28A
TRIP13,LIN28A
MITF,LIN28A
IFI16,LIN28A
YAF2,LIN28A
TBX20,LIN28A
POLR2F,CXXC1
MEF2D,CXXC1
POLR1B,CXXC1
PTMA,CXXC1
MEIS2,CXXC1
POLR2D,CXXC1
UPF2,CXXC1
ATF6,CXXC1
ZFPM2,CXXC1
VHL,CXXC1
HOXB7,SHOX2
ZIC2,SHOX2
DAXX,SHOX2
DEDD2,SHOX2
NHLH2,SHOX2
ARID3A,SHOX2
TRIM25,SHOX2
SP100,SHOX2
