,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
BTG2,0.5195162,0.5166322,0.40388063,0.3750807,0.50983965,0.5298198,0.5209802,0.56572086,0.42776236,0.645854,0.55825204,0.5557227,0.41228104,0.5456501,0.5845834,0.44398904,0.52536523,0.5378557,0.5955406,0.48705214,0.42711863,0.37260062,0.4947615,0.42655486,0.57074594,0.4031433,0.46486455,0.42873585,0.588415,0.6572696,0.5128486,0.41655177,0.4824168,0.3984267,0.57640773,0.707282,0.5263043,0.41295514,0.42303196,0.5175663,0.49999946,0.54329765,0.47130188,0.6157106,0.52194387,0.50722146,0.45033023,0.36842978,0.600169,0.5124141,0.629066,0.5559497,0.50697297,0.60120046,0.3876011,0.4286943,0.62980974,0.5288299,0.585924,0.54207855,0.5843192,0.4918829,0.4917471,0.389446,0.45745862,0.2841834,0.5400544,0.41330987,0.43656996,0.4036441,0.44108513,0.51760304,0.34679076,0.57990545,0.523482,0.4176611,0.28908017,0.53779143,0.5681878,0.49175254,0.4995598,0.58824784,0.50281113,0.55967945,0.43427607,0.56601614,0.5277661,0.48012954,0.56560594,0.37380823,0.506943,0.5033655,0.48551738,0.43392265,0.4839976,0.6236813,0.5093136,0.45913672,0.5059704,0.5289301,0.48550078,0.6383278,0.4946895,0.51401377,0.4990523,0.3856345,0.47451591,0.3282643,0.48181686,0.43914637,0.7090298,0.36078703,0.2388268,0.45430237,0.6336332,0.56572783,0.5861475,0.55179304,0.5988989,0.45921484,0.6780019,0.4450374,0.46893057,0.5089161,0.5299237,0.53949034,0.46503696,0.42745346
MIA3,0.5424937,0.3684972,0.42611983,0.5736174,0.4711961,0.45969146,0.53832763,0.49089178,0.44116306,0.5941097,0.39844373,0.5199282,0.5178388,0.48207283,0.5344244,0.51385945,0.56888616,0.5833096,0.50827444,0.44430545,0.37464923,0.50149286,0.54593235,0.50217456,0.59157956,0.46396425,0.4955058,0.45641986,0.55661756,0.6399417,0.50361526,0.39033788,0.38567933,0.5280626,0.52626836,0.5122973,0.5616571,0.51630855,0.50381315,0.4722459,0.49152255,0.5477814,0.40748465,0.58847934,0.51735884,0.4603762,0.55047524,0.52493465,0.5625536,0.45391923,0.4112226,0.42131934,0.57333624,0.54743475,0.5332219,0.54171467,0.56610894,0.55609846,0.5129718,0.43214837,0.5040346,0.54532987,0.31464052,0.45360884,0.5378336,0.44024816,0.5191818,0.5015937,0.508831,0.5471879,0.52700263,0.50043625,0.4861392,0.48034754,0.46478882,0.37950325,0.47783515,0.40184176,0.53966486,0.5040901,0.49920726,0.47498706,0.48088467,0.4717944,0.62295467,0.47470152,0.53302234,0.52932566,0.46696797,0.49690434,0.47378582,0.48674577,0.4668102,0.52639663,0.3908127,0.5742122,0.5278277,0.540018,0.5087155,0.43864214,0.49118006,0.45583135,0.38875312,0.5525983,0.5304904,0.4232532,0.4511581,0.42492348,0.58987737,0.50646716,0.5706046,0.460714,0.4740475,0.54144514,0.5203597,0.5056215,0.5530472,0.5225196,0.50709844,0.46237582,0.6625409,0.36849824,0.49751496,0.43730366,0.4562051,0.51779324,0.5387528,0.520803
GINS2,0.54070175,0.41239843,0.44648537,0.5309761,0.5155024,0.4673276,0.5269317,0.517564,0.43971345,0.6016601,0.46034595,0.546554,0.47285038,0.51108366,0.526837,0.49522218,0.52557445,0.5532922,0.5231655,0.43989635,0.41015708,0.46039668,0.5051492,0.48895252,0.5798867,0.49306527,0.50180954,0.4822589,0.5603266,0.59476787,0.48427704,0.41645136,0.40865123,0.5055059,0.54529935,0.588788,0.5286821,0.50066775,0.48294112,0.45303753,0.48710847,0.5287976,0.4331885,0.5802725,0.5557518,0.4700993,0.5143482,0.5119607,0.5550207,0.46052366,0.45695496,0.4493646,0.5651141,0.5235604,0.5090444,0.50944775,0.5555159,0.53943574,0.5123561,0.4559255,0.5345391,0.5371289,0.38015252,0.4732467,0.5132263,0.40115583,0.49415445,0.5113714,0.5102685,0.53630745,0.474121,0.47784603,0.44641247,0.5295116,0.48984835,0.39238137,0.4215864,0.42067418,0.54692614,0.48495668,0.49376494,0.51385397,0.49913496,0.47232184,0.57166195,0.48825288,0.49687868,0.4951425,0.4688544,0.47386038,0.47276202,0.5004565,0.46377632,0.5224768,0.42087442,0.59351563,0.5078066,0.49704054,0.4965475,0.48947713,0.5063054,0.51084155,0.4189143,0.5284669,0.49694255,0.43757594,0.45071197,0.41179502,0.5274216,0.49359572,0.57491106,0.46748662,0.45591494,0.49325868,0.5098274,0.5163733,0.52915996,0.54994535,0.5238742,0.44014078,0.67753315,0.38427573,0.49320713,0.4781742,0.45696774,0.5198388,0.5210185,0.51290244
GYPB,0.5092249,0.45049673,0.45208657,0.49032593,0.52842337,0.49809292,0.51717365,0.5253031,0.45459425,0.57829,0.47592747,0.5395645,0.4368133,0.52425885,0.5307908,0.46879938,0.5202816,0.52473146,0.52384347,0.48638588,0.42322642,0.46393397,0.48716345,0.47638574,0.5436451,0.48765716,0.46877623,0.44548458,0.52371955,0.5732254,0.4827989,0.43551347,0.47160617,0.47958982,0.5562245,0.60709226,0.52705187,0.49151617,0.47438127,0.44536975,0.47376356,0.5172921,0.43420798,0.5604008,0.5283699,0.4743298,0.512932,0.47790405,0.546783,0.4746869,0.50761867,0.46854383,0.55866766,0.5344831,0.48540285,0.49211326,0.5554003,0.51478094,0.50842124,0.4727169,0.5425278,0.50870764,0.41511202,0.4782333,0.49045035,0.39948735,0.48531514,0.4775854,0.4890347,0.50527525,0.4869698,0.4860695,0.43330294,0.5355285,0.4897127,0.4270406,0.4100314,0.44724596,0.53219384,0.48576444,0.4878912,0.5267899,0.48833296,0.49698713,0.5275039,0.51956487,0.51044714,0.4853325,0.47963068,0.46216342,0.4866884,0.50303173,0.4585696,0.5084974,0.44078845,0.5931717,0.4887672,0.48804152,0.4880647,0.503459,0.50715625,0.5401454,0.4518648,0.52898043,0.47656506,0.45157233,0.47661787,0.41666964,0.4891562,0.5026084,0.56444925,0.46380043,0.41390625,0.48193607,0.51808125,0.48427263,0.53969836,0.5476763,0.5398762,0.46705627,0.6553301,0.4020044,0.50055504,0.4981096,0.48868585,0.51113325,0.50290895,0.49707702
MAN1A1,0.50920737,0.45910722,0.45732683,0.4768394,0.5326714,0.4963369,0.51785606,0.5328027,0.45543936,0.5758199,0.4922544,0.54747725,0.42565805,0.5300065,0.52859503,0.4700595,0.5095993,0.51771075,0.5326006,0.47917604,0.43281713,0.45905358,0.47571716,0.4739983,0.54728496,0.49156016,0.47799593,0.4559515,0.5294441,0.5641024,0.4787274,0.44160852,0.4724805,0.4694406,0.5591568,0.6241375,0.51948065,0.4964953,0.46255162,0.44025648,0.47384003,0.51190734,0.44532776,0.5593701,0.5361516,0.4716765,0.50518185,0.47863454,0.5419509,0.47535765,0.5189187,0.47561488,0.5602911,0.525537,0.47963795,0.48457927,0.55416924,0.5068281,0.5068691,0.47523662,0.54740775,0.50593007,0.43236637,0.4747661,0.48362717,0.3919886,0.48457682,0.4886103,0.4905824,0.50576544,0.4753097,0.48095483,0.42887986,0.5445798,0.48806924,0.43137565,0.40158865,0.45792198,0.52912533,0.48244756,0.48742172,0.53422135,0.49165398,0.4949732,0.5144047,0.51973194,0.50080276,0.47863096,0.48483896,0.45503023,0.4815536,0.5057772,0.45705253,0.5114115,0.44975737,0.5970231,0.48464692,0.47645903,0.483743,0.50845873,0.51719165,0.551595,0.45762408,0.5204001,0.4723095,0.45755696,0.47588646,0.4170736,0.47309852,0.49850672,0.5677408,0.46584693,0.4074793,0.4684402,0.5170983,0.48863813,0.5286206,0.55609,0.53817,0.46446913,0.65621823,0.40461463,0.49851045,0.50814456,0.4822896,0.5063779,0.49826375,0.4900728
FOXP1,0.53113544,0.50029147,0.41471934,0.39409444,0.5163351,0.5148219,0.51792496,0.5615809,0.45442438,0.6257187,0.54615194,0.5419856,0.410876,0.5254182,0.5655077,0.4507519,0.52588,0.5518609,0.5973628,0.47934115,0.43168953,0.38812405,0.49343115,0.45029265,0.5735107,0.41383317,0.47398525,0.42147815,0.58262414,0.6419373,0.497489,0.41748795,0.48106316,0.41044196,0.5646146,0.70591277,0.51690745,0.42314416,0.41660053,0.52337515,0.48828366,0.5357808,0.47450238,0.59027576,0.52811897,0.49437672,0.45269707,0.38340247,0.6011938,0.48477238,0.631095,0.55330074,0.49231797,0.60898685,0.4017899,0.42430198,0.62091696,0.5323558,0.5675911,0.5481318,0.57272774,0.47517315,0.47480577,0.3949348,0.465643,0.32192957,0.53455573,0.4285701,0.43522668,0.40238807,0.43853813,0.5100981,0.35233667,0.5719781,0.54089403,0.424895,0.30576995,0.5549966,0.5670824,0.4878155,0.5111265,0.56755847,0.50605524,0.5568275,0.43936923,0.5603865,0.52578634,0.4934045,0.55380386,0.39121437,0.5149537,0.5023911,0.4813362,0.4440887,0.46425968,0.6287537,0.51014805,0.47186807,0.48966685,0.5242201,0.49427408,0.63218844,0.49829316,0.5139866,0.5205823,0.41430676,0.46892193,0.3487129,0.48579055,0.44372422,0.6782505,0.37573168,0.26158375,0.455041,0.6229948,0.5696771,0.5704183,0.55998045,0.57486624,0.46507615,0.66679686,0.44452673,0.46206394,0.5012835,0.53827906,0.5385231,0.47932875,0.42862666
PRMT6,0.5326603,0.40885317,0.4542763,0.53915334,0.49571815,0.4682484,0.53053135,0.4993282,0.45575568,0.5756689,0.43717998,0.5325209,0.48593768,0.4984874,0.5169038,0.49942297,0.5302662,0.55249965,0.51714385,0.46313456,0.41231447,0.4853706,0.5205982,0.4971271,0.5785535,0.48706543,0.5036017,0.46661797,0.54102695,0.59114885,0.49093786,0.4162196,0.42492467,0.5014097,0.52976984,0.544649,0.5435294,0.51498276,0.49478355,0.4609218,0.49546096,0.52360284,0.42888588,0.56778234,0.5283624,0.47639376,0.5311589,0.5158249,0.55140144,0.45047015,0.44811913,0.44558713,0.5547367,0.52576464,0.51290774,0.52004606,0.5449314,0.52559847,0.51056623,0.45259678,0.5221515,0.5327284,0.37053707,0.4677629,0.5244221,0.43787116,0.5019477,0.5073808,0.5021046,0.53143394,0.49875155,0.48869795,0.4671585,0.49901333,0.48190084,0.4040062,0.46170208,0.42635986,0.5289827,0.4927476,0.4941874,0.49950197,0.4875523,0.48513544,0.57657814,0.4918913,0.51212835,0.501936,0.47623214,0.4799827,0.4745689,0.49731642,0.45933786,0.5159625,0.42285877,0.5763889,0.50978506,0.510753,0.5013644,0.4708583,0.49836776,0.48554918,0.4193202,0.53345317,0.50981104,0.45023435,0.45878413,0.43521035,0.54304737,0.50338566,0.5457888,0.47463158,0.46564162,0.49720004,0.51865536,0.5015273,0.534494,0.53474045,0.5049574,0.46944234,0.6380835,0.40177158,0.4921345,0.47265568,0.46900237,0.51726305,0.5309919,0.5084845
ETV3,0.53009313,0.50825745,0.41202796,0.39038795,0.5206975,0.51689607,0.5170096,0.5601992,0.4546848,0.62911105,0.55594325,0.54106843,0.40573332,0.52402186,0.5649558,0.4469529,0.52908957,0.55346996,0.61073667,0.48105785,0.42346457,0.38013437,0.49192736,0.44485587,0.57301694,0.40745798,0.46988732,0.42286402,0.59050417,0.64538556,0.4985743,0.42028603,0.48462754,0.39972702,0.5667167,0.715535,0.5215699,0.42682302,0.41223466,0.5291074,0.48402303,0.53136873,0.4725115,0.59801453,0.5318292,0.49360317,0.45089892,0.37440473,0.605522,0.48566377,0.64275,0.55321085,0.4978098,0.6159508,0.3941464,0.41965944,0.62537843,0.5335827,0.5719323,0.5496949,0.5727705,0.47065932,0.47588977,0.38572398,0.4615384,0.31629667,0.53922236,0.42552653,0.44209948,0.3938113,0.43475193,0.5053995,0.34399694,0.57497615,0.54687524,0.41506505,0.2982301,0.55875367,0.5726802,0.48845166,0.514539,0.5704275,0.50828445,0.56181693,0.43666035,0.56176114,0.5295119,0.49502578,0.54954493,0.38811582,0.5184981,0.49926645,0.4815273,0.44133416,0.4668088,0.62900746,0.5150919,0.46827766,0.48877928,0.5276641,0.49700928,0.6409456,0.49979421,0.5127313,0.5211098,0.41876623,0.47063464,0.34487042,0.48934567,0.44430345,0.6872052,0.37331253,0.2571114,0.4551517,0.6326957,0.5774459,0.57349974,0.56353104,0.5800217,0.4577667,0.6775094,0.44622496,0.46848485,0.4938258,0.5287976,0.53159106,0.4810896,0.42823422
RGPD2,0.5330689,0.42429253,0.454264,0.5227798,0.50297457,0.47041965,0.5286243,0.504094,0.46257588,0.5716588,0.4409158,0.52465916,0.47626987,0.49897736,0.5226859,0.49341747,0.5361118,0.5442736,0.5142939,0.47698206,0.4140733,0.48302844,0.5140927,0.49107328,0.5626452,0.48341033,0.49234387,0.464527,0.5366336,0.58215755,0.48972723,0.42356968,0.43831265,0.4937268,0.53342336,0.55860865,0.5405178,0.5088684,0.48738447,0.45773184,0.48839948,0.52672,0.43121287,0.5634878,0.52482635,0.4728601,0.53080463,0.5062541,0.5420668,0.45950714,0.46641293,0.4549478,0.552079,0.5313641,0.5038717,0.51576066,0.5486329,0.52349585,0.5117103,0.46289515,0.5242647,0.5206828,0.38183486,0.46135914,0.51594865,0.43238345,0.49797535,0.5003468,0.494059,0.518113,0.49888146,0.4904857,0.4662098,0.50534856,0.47825804,0.41817963,0.44837013,0.43539593,0.52720886,0.49217564,0.49045092,0.49964264,0.4842838,0.48719707,0.5498967,0.49477446,0.51583475,0.50145537,0.4819899,0.47602695,0.4799256,0.50295407,0.4638597,0.5157756,0.4236284,0.5721626,0.50963765,0.50800544,0.49422094,0.4771983,0.50073993,0.5034484,0.43546394,0.5285489,0.5044475,0.45548818,0.46849358,0.4328186,0.5281637,0.50888443,0.5446001,0.46923527,0.4455087,0.4993344,0.5179241,0.49589598,0.5364136,0.54198146,0.5112988,0.48088527,0.6355932,0.4017303,0.49710023,0.4789488,0.47824135,0.51285756,0.5251412,0.5019946
PLOD2,0.5412063,0.40520895,0.4319908,0.53528553,0.500971,0.46260473,0.52381784,0.5113476,0.44281295,0.59585136,0.44360313,0.53444386,0.48325276,0.5019019,0.5295129,0.4999714,0.548538,0.55586445,0.5136836,0.45262468,0.39857236,0.4782487,0.5189523,0.48684952,0.57199734,0.48605672,0.4882765,0.47055784,0.55316085,0.6036412,0.48840865,0.41523856,0.40858164,0.5038062,0.5454564,0.57356966,0.540327,0.5092431,0.48681012,0.45983037,0.48398015,0.5361835,0.42644817,0.5746175,0.5296738,0.46411082,0.5260608,0.51025414,0.55168134,0.46694124,0.45221865,0.4473668,0.5620056,0.5341774,0.5101752,0.5172591,0.5641933,0.54095906,0.51020575,0.4580901,0.53022933,0.52619743,0.36695105,0.46003446,0.5174512,0.41175723,0.50505006,0.5027114,0.5003737,0.5228026,0.4963986,0.48491126,0.45818552,0.51789373,0.48471305,0.39542055,0.4278096,0.41736478,0.5426655,0.49369228,0.49569672,0.49409288,0.4884421,0.47519758,0.5708463,0.48972407,0.513965,0.50130683,0.47086337,0.47649804,0.4756684,0.49823576,0.46704602,0.5250441,0.39943707,0.5865256,0.5175238,0.51325876,0.49261975,0.47837865,0.5032657,0.5034059,0.41954258,0.53228104,0.5058325,0.43502185,0.4550336,0.41565287,0.53878146,0.5009181,0.5718627,0.4606481,0.44646263,0.5058219,0.5178618,0.504791,0.54244363,0.54556036,0.5217007,0.463557,0.67743504,0.38267982,0.50077885,0.47163343,0.4610917,0.51925105,0.5210506,0.5090534
