,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
BTG2,0.41139364,0.0,0.0,0.0,0.30506223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3144805,0.0,0.0,0.0,0.39469784,1.3410187,0.0,0.0,0.0,0.0,0.08007717,0.0,0.83603853,0.0,0.0,1.0445412,0.0,0.0,0.0,0.0,0.0,0.0,0.30104792,0.33151186,0.0,0.0,0.9417123,0.0,0.0,0.0,0.0,0.0,0.5844529,0.0,0.7244233,1.0604724,1.8093936,0.0,0.035307165,0.757794,0.51893276,0.0,0.0,0.77577895,0.0,1.6163669,0.0,0.42821327,0.0,0.0,1.4165537,0.0,0.0,0.46276402,0.0,0.0,0.2751562,0.09834087,0.0,0.0,0.0,0.7872482,0.0,0.0,0.24704567,0.019503761,0.16414206,0.8260104,0.0,1.8714294,0.0,0.0,0.79571223,0.0,0.0,0.29447585,1.8469689,0.0,0.5591469,0.0,0.0,0.0,0.0,0.49882495,0.30409145,0.2935795,0.016775683,0.0,0.6557707,0.0,0.6968722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41738448,0.5681328,0.0,0.055208046,0.48009092,0.0,0.0,1.4140339,0.0,0.0,1.6509537,0.0,0.0
MIA3,0.0,0.75490695,0.0,0.0,0.0,0.19195804,0.0,0.43949398,0.0,0.0,0.6820238,0.15877283,0.6294109,0.0,0.0,0.24056742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.675896,0.0,0.0,0.0,0.40739152,0.0,0.0,0.0,0.0,0.0,0.5169007,0.0,0.0,0.0,0.106110394,0.70957017,0.0,0.011167243,0.18723974,0.008159712,0.0,0.0,0.0,0.05722624,0.6793961,0.35628664,0.0,0.027570013,0.0,0.0,0.0,0.0,0.13320945,0.37660256,0.0,0.84052736,0.36310983,0.03458705,0.6733227,0.0,0.0654243,0.11458261,0.4477385,0.0,0.39997944,0.0,0.27380213,0.0,0.0,0.11814735,0.09395016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21039763,0.0,0.0,0.0,0.04126405,0.0,0.2787425,0.0,0.0,0.0,0.0,0.0,0.5543686,0.0,0.0,0.20034608,0.0,1.0097756,0.6044027,0.011305859,0.0,0.6719142,0.0,0.0,0.0,0.0,0.0,0.630081,0.3926075,0.0,0.0,0.0,0.46649462,0.14825957,0.0,0.0,0.1932299,0.04417802,0.0
GINS2,0.0,0.4000028,0.0,0.0,0.0,0.104488544,0.0,0.26307073,0.0,0.0,0.22557569,0.0,0.36679623,0.0,0.0,0.28902715,0.0,0.0,0.00230675,0.41643772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4152062,0.0,0.0,0.0,0.39887735,0.0,0.0,0.0,0.0,0.0,0.41795304,0.3069093,0.0,0.0,0.14839059,0.28908783,0.07245082,0.0,0.0,0.21261072,0.0,0.15555519,0.0,0.35900357,0.18088567,0.35810864,0.0,0.5154322,0.0,0.0,0.0,0.0,0.47942895,0.44324127,0.0,0.6166839,0.26354682,0.38156193,0.17996201,0.0,0.6690784,0.1911866,0.33564314,0.0,0.21898714,0.0,0.14311765,0.0,0.0,0.22534053,0.0,0.3344005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39026496,0.0,0.3550867,0.0,0.0,0.3609317,0.0,0.0,0.46882695,0.0,0.0,0.5872137,0.0,0.39863122,0.22163613,0.18465136,0.0,0.43140677,0.0,0.0,0.0,0.0,0.34015408,0.8109258,0.18540087,0.0,0.0,0.19740732,0.15877071,0.25828987,0.0,0.0,0.265409,0.44363493,0.0
GYPB,0.14069739,0.18024227,0.0,0.14518347,0.0,0.13640982,0.0,0.22425094,0.0,0.0,0.19725469,0.0,0.09375753,0.0,0.0,0.19562599,0.0,0.0,0.16620895,0.33258983,0.2450751,0.0,0.1061334,0.0,0.0,0.0,0.005954804,0.015185896,0.0,0.28689566,0.0,0.16366059,0.0,0.128407,0.0,0.13750623,0.16123313,0.5641179,0.18032312,0.0,0.17225614,0.0,0.13359335,0.08146387,0.0,0.022958405,0.3250586,0.0,0.0,0.34915105,0.20866191,0.022690393,0.19600306,0.08259635,0.22067748,0.0,0.0,0.3267457,0.0,0.53239745,0.23185503,0.01235855,0.070117705,0.021275785,0.34216988,0.15693153,0.0,0.43668684,0.030111343,0.24706085,0.0,0.107905686,0.0,0.07383853,0.0,0.11871636,0.0,0.0,0.15837562,0.11468516,0.0,0.10922652,0.08711574,0.17102778,0.0,0.0,0.31690377,0.0,0.0,0.0,0.15932192,0.0,0.14669968,0.0,0.0,0.13886957,0.0,0.0,0.24138254,0.052706473,0.0728603,0.09588649,0.0,0.0,0.40344784,0.0,0.26402056,0.12170383,0.0027287658,0.0,0.11682077,0.0,0.0,0.0,0.0,0.21397929,0.5790519,0.261201,0.0,0.30352604,0.102322534,0.13109356,0.34815097,0.0,0.0,0.20173587,0.38760737,0.0
MAN1A1,0.19645268,0.08515706,0.0,0.012358569,0.0,0.017657485,0.0,0.21814832,0.0,0.0,0.048954204,0.0,0.06273723,0.0,0.0,0.20937699,0.0,0.0,0.119905226,0.4151486,0.21146053,0.0,0.08847183,0.0,0.0,0.0,0.057435915,0.0,0.0,0.25490874,0.0,0.15594703,0.0,0.14471902,0.0,0.18609144,0.12635362,0.43141904,0.27208015,0.0,0.17446989,0.0,0.09651244,0.19722813,0.0,0.0,0.2754056,0.0,0.04542444,0.2851456,0.30400836,0.0,0.21807306,0.09553009,0.3226003,0.0,0.0,0.28079864,0.0,0.5581734,0.2600186,0.0,0.06749144,0.02285852,0.42809808,0.032716535,0.0,0.5701841,0.002861619,0.21774128,0.0,0.037484337,0.0,0.074796796,0.0,0.07847482,0.01901108,0.0,0.2009952,0.14247313,0.0,0.1567847,0.12344089,0.13293923,0.0,0.0,0.24309824,0.0,0.0,0.0,0.20925836,0.0,0.23698948,0.09690224,0.0,0.14139993,0.0,0.0,0.34849253,0.039247885,0.11156611,0.08010457,0.0,0.0,0.46982697,0.0,0.12205611,0.015241999,0.05026055,0.0,0.08817642,0.0,0.0,0.0,0.0,0.27994552,0.55933553,0.18686013,0.0,0.2274289,0.17262834,0.0051542297,0.38159335,0.0,0.0,0.17515269,0.44887432,0.0
FOXP1,0.15854828,0.0,0.0,0.0,0.5061361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40173775,0.0,0.0037914831,0.0,0.5503764,1.111089,0.0,0.0,0.0,0.0,0.3117621,0.0,1.1186376,0.0,0.0,0.8511487,0.0,0.0,0.0,0.0,0.0,0.0,0.40094963,0.21545392,0.0,0.0,0.86488295,0.0,0.0,0.0,0.0,0.0,0.50342566,0.0,0.39865854,0.9551852,1.3674324,0.0,0.0,0.51710594,0.3136978,0.0,0.0,0.85065114,0.0,1.2821251,0.0,0.51574475,0.0,0.0,1.4069978,0.0,0.0,0.6242584,0.0,0.0,0.25075555,0.013343636,0.0,0.0,0.0,0.9722266,0.0,0.0,0.3125727,0.12421207,0.31379622,0.7881766,0.0,1.7092775,0.0,0.0,0.6617491,0.0,0.0,0.04606441,1.7732273,0.0,0.57727194,0.0,0.0,0.0,0.0,0.38587064,0.18580824,0.0,0.010448568,0.0,0.47997895,0.0,0.76837677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46869618,0.44645154,0.0,0.01908027,0.60397893,0.0,0.0,1.235676,0.0,0.0,1.5822937,0.0,0.0
PRMT6,0.0,0.3652848,0.0,0.0,0.0,0.1922318,0.0,0.23675969,0.0,0.0,0.35558748,0.0,0.33497238,0.0,0.0,0.22715658,0.0,0.0,0.0,0.10617067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4004469,0.0,0.0,0.0,0.33560902,0.0,0.0,0.0,0.0,0.0,0.35428587,0.07227951,0.0,0.0,0.14090067,0.3849733,0.0,0.0,0.00013395399,0.08927457,0.0,0.0,0.0,0.13433775,0.3540074,0.2272134,0.0,0.19870774,0.0,0.0,0.0,0.0,0.15784921,0.24802339,0.0,0.5683295,0.23537584,0.09197883,0.23483026,0.0,0.24499658,0.12901069,0.31029683,0.0,0.17110333,0.0,0.23851371,0.0,0.0,0.15450937,0.0,0.117942646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060092695,0.0,0.0,0.0,0.12810616,0.0,0.24178143,0.0,0.0,0.11455463,0.0,0.0,0.29420048,0.0,0.0,0.26643726,0.0,0.44993657,0.24420683,0.07202875,0.021676034,0.40883714,0.0,0.0,0.0,0.0,0.11308026,0.44558293,0.18196717,0.0,0.0,0.037406642,0.21653372,0.13118173,0.0,0.0,0.15115087,0.13843346,0.0
ETV3,0.15303928,0.0,0.0,0.0,0.575158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48151946,0.0,0.0,0.0,0.6254222,1.278986,0.0,0.0,0.0,0.0,0.36105627,0.0,1.1016444,0.0,0.0,0.9500179,0.0,0.0,0.0,0.0,0.0,0.0,0.33258647,0.1883457,0.0,0.0,0.86312175,0.0,0.0,0.0,0.0,0.0,0.46279657,0.0,0.3330992,1.0460963,1.4037682,0.0,0.0,0.6607907,0.27355218,0.0,0.0010507964,0.99828005,0.0,1.352288,0.0,0.60934025,0.0,0.0,1.4452883,0.0,0.0,0.72390926,0.0,0.0,0.34517092,0.0,0.0,0.0,0.0,0.9021398,0.0,0.0,0.29455778,0.12879483,0.2651792,0.8375192,0.0,1.6748089,0.0,0.0,0.67924535,0.0,0.0,0.0,1.9257195,0.0,0.7008778,0.0,0.0,0.0,0.0,0.47579557,0.20879205,0.0,0.0,0.0,0.60331917,0.0,0.7868194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5014786,0.5397316,0.0,0.0,0.63717365,0.0,0.0,1.2860564,0.0,0.0,1.6893425,0.0,0.0
RGPD2,0.040364638,0.26418966,0.0,0.0,0.0,0.10251926,0.0,0.29631114,0.0,0.0,0.2932002,0.0,0.26129127,0.0,0.0,0.16978733,0.0,0.0,0.0,0.12464365,0.06967989,0.0,0.0,0.0,0.0,0.0,0.0,0.2047824,0.0,0.028748384,0.0,0.23589715,0.0,0.0,0.0,0.0,0.0,0.40154204,0.045382023,0.0,0.07249684,0.0,0.35437962,0.016844265,0.011940278,0.028121702,0.10073127,0.0,0.0,0.10806042,0.08296496,0.28282905,0.1901398,0.062277675,0.062335063,0.0,0.0,0.124145195,0.0,0.2817805,0.28672105,0.0,0.3403299,0.17712875,0.20356669,0.24628875,0.0,0.22221634,0.05803325,0.31497452,0.0,0.17752191,0.0,0.1635983,0.0,0.028310958,0.0,0.0,0.059931256,0.030905273,0.0,0.11286945,0.0,0.027504344,0.0,0.0,0.082442075,0.0,0.0,0.055734213,0.0,0.0,0.004177086,0.065102845,0.0,0.11694858,0.0,0.0,0.09888184,0.0,0.0,0.1871657,0.0,0.0,0.25114253,0.0,0.5080636,0.2228143,0.0153170135,0.0,0.24009241,0.0,0.0,0.0,0.0,0.09220016,0.43365923,0.22377275,0.0,0.06231636,0.021665607,0.22368851,0.15338022,0.0,0.0,0.16097218,0.2015179,0.0
PLOD2,0.0,0.40751538,0.0,0.0,0.0,0.11851945,0.0,0.37176666,0.0,0.0,0.3825154,0.0,0.35633045,0.0,0.0,0.24913567,0.0,0.0,0.0,0.2534651,0.037703983,0.0,0.0,0.0,0.0,0.0,0.0,0.36928773,0.0,0.0,0.0,0.3036457,0.0,0.0,0.0,0.0,0.0,0.47839418,0.21788901,0.0,0.067495875,0.0,0.47146976,0.11869845,0.0,0.0,0.18793783,0.0,0.040717945,0.068436846,0.28094822,0.29570234,0.39106947,0.100237936,0.21195297,0.0,0.0,0.09464413,0.0,0.47480744,0.43907607,0.0,0.5125233,0.24590833,0.26857936,0.36758876,0.0,0.4586272,0.10777421,0.43234575,0.0,0.24125633,0.0,0.17016672,0.0,0.0,0.02451858,0.0,0.11831862,0.0,0.0,0.19054507,0.0,0.070315465,0.0,0.0,0.051258948,0.0,0.0,0.010408107,0.0,0.0,0.004437208,0.19328015,0.0,0.24664716,0.0,0.0,0.18347937,0.0,0.0,0.35786015,0.0,0.0,0.45903334,0.0,0.6729535,0.33621588,0.045796447,0.0,0.40000218,0.0,0.0,0.0,0.0,0.19219175,0.7583976,0.38560265,0.0,0.06823462,0.02155349,0.31587678,0.31841424,0.0,0.0,0.24006702,0.34845585,0.0
