,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
BTG2,-0.053006273,0.25941524,-0.24214979,-0.16362631,-0.25446495,-0.05458623,0.25008875,-0.007260196,-0.21728787,-0.1566586,0.24898967,0.22887644,0.15485403,0.25522387,0.2260024,-0.1315361,0.18049541,-0.23154585,-0.2793261,0.21285863,0.19705065,0.26166692,-0.07807891,-0.13668133,0.17564325,-0.2408154,0.19219619,-0.20754261,-0.24087834,0.2568987,0.09439884,0.16569133,-0.26706693,-0.13391083,0.26398626,0.25298277,-0.2314812,0.24702188,0.21739182,0.18777573,-0.20980392,-0.20303254,0.16390261,0.053319078,0.24825947,0.1426352,0.23382384,0.17069405,-0.24873146,0.26821882,-0.24162108,-0.21752721,-0.16898394,-0.17867754,-0.2724741,0.20249903,-0.17896174,0.18203487,-0.24246508,0.03889034,0.25367934,0.23874429,-0.22556664,-0.24242094
MIA3,0.005572006,-0.15284915,0.1711722,0.11418652,0.1552487,0.028292991,-0.14540768,-0.047549814,0.11862057,0.100740105,-0.19788083,-0.18440947,-0.11728864,-0.19630268,-0.18668896,0.09544423,-0.1518227,0.123714276,0.13583556,-0.16561471,-0.12994558,-0.194032,0.01168196,0.13467567,-0.14022359,0.17582916,-0.11498172,0.15095945,0.12720528,-0.13539587,0.08556857,-0.11106665,0.17109352,0.12793174,-0.17051205,-0.19374481,0.13560578,-0.197471,-0.17816278,-0.15419325,0.13300534,0.13971399,-0.11867537,-0.025223352,-0.1823794,-0.12964433,-0.15214366,-0.028448008,0.18405971,-0.17281534,0.13048771,0.13922188,0.12765259,0.104855046,0.1754985,-0.1317564,0.10611765,-0.15064602,0.18642104,0.0087790005,-0.2017668,-0.14890453,0.14432353,0.17873457
GINS2,-0.017394684,-0.014561936,0.028738905,-0.0020885095,0.06329717,-0.0051103234,-0.05672036,0.0027273074,0.008138305,0.0152779,-0.025967393,-0.022410512,-0.022900127,-0.051496472,-0.05582233,0.04608534,-0.031475186,0.0051348824,0.013657805,-0.030820973,-0.004345499,-0.034191325,0.004798594,-0.010265019,-0.034238584,0.035049252,-0.00523407,0.035233863,0.027076907,-0.02148135,0.016382799,-0.037731223,0.019008867,0.061164115,-0.047924053,-0.009791613,0.04719965,-0.026781224,-0.024199054,-0.011969008,0.028932031,0.023035344,-0.04189516,-0.01634578,-0.049981847,-0.02045589,-0.018427975,0.02444279,0.043621063,-0.011629833,0.0533158,0.042006247,0.013746515,0.021365609,0.05669212,-0.0044675507,0.04993348,-0.076368146,0.04825396,0.013653558,-0.04849066,-0.028283563,0.05024203,0.024326101
GYPB,-0.026377592,0.0061417,-0.041517682,-0.046576656,-0.049874224,-0.04352931,0.036709882,-0.013365485,-0.010677418,-0.05652479,0.03901264,0.042064033,0.011178359,0.052344933,0.03921585,0.019667612,0.019726578,-0.041023917,-0.046249412,0.040627908,0.028664492,0.040480986,-0.0035860268,-0.028064817,0.024560615,-0.033219032,0.042696226,-0.042473514,-0.0436276,0.04485733,0.01670543,0.017570391,-0.040788,-0.006852641,-0.0023167953,0.098214686,-0.027353961,0.045194358,0.055534925,0.03781014,-0.022185812,-0.052627176,0.030851677,-0.012077149,0.020050827,0.0148421,0.049850598,0.04103116,-0.0516254,0.062084306,-0.005732909,-0.013567187,-0.021663316,-0.01963025,-0.029126123,0.04129527,-0.04190237,0.025670957,-0.051962122,0.0131912995,0.040812723,0.045968253,-0.012673117,-0.012956198
MAN1A1,-0.0289291,0.033482417,-0.061379705,-0.070803255,-0.055389784,-0.05085619,0.04786622,0.0005936548,-0.032324992,-0.06635904,0.06380885,0.069282115,0.033614375,0.075210005,0.056243654,-0.00044680573,0.04441815,-0.05835315,-0.06376038,0.07192175,0.05753448,0.07448184,-0.001843675,-0.05926622,0.03369587,-0.054862253,0.06699027,-0.060042497,-0.05829949,0.058566265,0.01050313,0.027324095,-0.06861346,-0.012653171,0.018517323,0.12803853,-0.04097814,0.08078571,0.079051785,0.06127264,-0.037083797,-0.07967351,0.046557784,-0.011410501,0.045746576,0.030238047,0.062423434,0.0434227,-0.06847676,0.089282766,-0.024033919,-0.028592981,-0.051233277,-0.034909174,-0.05224465,0.060432706,-0.04034869,0.028367879,-0.07017841,0.010934377,0.074243784,0.057065275,-0.018565793,-0.0397612
FOXP1,-0.06518605,0.23101583,-0.2162609,-0.16048747,-0.2596966,-0.060088243,0.2517128,0.01981137,-0.20598474,-0.1568464,0.22344682,0.23965104,0.14463183,0.24317212,0.19687837,-0.12004067,0.15397313,-0.24616352,-0.27982467,0.20008717,0.19473995,0.25550506,-0.061798304,-0.15133463,0.19872636,-0.21602178,0.18989182,-0.23125327,-0.24365988,0.25615352,0.11524041,0.14603448,-0.24864209,-0.14224507,0.24862108,0.24243689,-0.21812877,0.23464844,0.2094675,0.22033687,-0.2028228,-0.228098,0.19377875,0.08163735,0.2213523,0.15476164,0.21259224,0.17879501,-0.2532437,0.22342007,-0.21961191,-0.23959166,-0.18939635,-0.17222048,-0.2582611,0.20281932,-0.19691624,0.21074249,-0.20268646,0.039522354,0.23062682,0.24322611,-0.193164,-0.25718752
PRMT6,-0.023878857,-0.07765326,0.07646291,0.029908426,0.085640416,-0.008526109,-0.067376345,-0.0076330155,0.06028247,0.04244595,-0.09045532,-0.06283972,-0.040256925,-0.08998098,-0.09447959,0.052626915,-0.06817781,0.057150967,0.06586529,-0.08080513,-0.06269396,-0.07602358,0.0153116705,0.03790231,-0.07503463,0.09314731,-0.027534865,0.07489739,0.060414933,-0.05924937,0.0429344,-0.063547075,0.086264126,0.069226444,-0.10254708,-0.060677063,0.07448118,-0.07479855,-0.06525178,-0.06384322,0.06684907,0.04478139,-0.05992747,-0.022029808,-0.088009134,-0.06357368,-0.072048105,-0.013426933,0.08163868,-0.072714664,0.08306912,0.06274647,0.045827523,0.051798236,0.09658588,-0.050191574,0.0494783,-0.085585415,0.091411345,-0.004252977,-0.09475809,-0.07264756,0.089694396,0.07480977
ETV3,-0.068608314,0.24426273,-0.23108137,-0.16993353,-0.28105918,-0.07225925,0.26797488,0.026512891,-0.22413532,-0.16580266,0.24208656,0.2621455,0.15291429,0.26412553,0.20893043,-0.12458296,0.18280102,-0.26569822,-0.29817322,0.2168145,0.20987408,0.28030196,-0.05895304,-0.17818666,0.21028681,-0.23733822,0.1941839,-0.25561398,-0.2579093,0.28101295,0.11238619,0.14168347,-0.2691983,-0.14490357,0.27705333,0.264871,-0.22864255,0.25074777,0.2228636,0.22640103,-0.2205216,-0.25878498,0.20764071,0.107173115,0.2370869,0.16864228,0.230326,0.18681163,-0.2735829,0.24382295,-0.2331317,-0.26670194,-0.20327218,-0.17907046,-0.2798257,0.21392176,-0.20957525,0.23236279,-0.20405659,0.04481521,0.23964883,0.26424664,-0.20920756,-0.274838
RGPD2,-0.02155447,-0.060884222,0.04675333,0.009249993,0.038611468,-0.023919169,-0.039164282,-0.0106267035,0.043239854,0.01192721,-0.059353746,-0.036460355,-0.02731748,-0.04333791,-0.058447268,0.045290988,-0.046658155,0.04163953,0.04441424,-0.051000677,-0.038683087,-0.05423268,0.012188387,0.024037078,-0.055947363,0.06433633,-0.011140935,0.043147843,0.024517938,-0.03578765,0.036818914,-0.040521678,0.060714755,0.04405526,-0.08746748,-0.029398661,0.035186984,-0.05263608,-0.04079123,-0.039823323,0.04866248,0.018551018,-0.0247946,-0.022675276,-0.06339767,-0.04879398,-0.03738422,-0.0021875761,0.050222255,-0.039628927,0.059137497,0.04445248,0.034731254,0.032391522,0.06222358,-0.030280165,0.02461829,-0.052818168,0.05295816,0.0024172026,-0.06067545,-0.04307817,0.07175967,0.05803486
PLOD2,-0.0034635663,-0.0444927,0.047497354,0.015604481,0.055811916,-0.012456238,-0.061148286,-0.008470498,0.039895147,0.017432787,-0.05486001,-0.059135616,-0.042372882,-0.06349043,-0.07276432,0.06460337,-0.058426365,0.036700003,0.036207408,-0.052094508,-0.02975249,-0.0687707,0.013083716,0.017402738,-0.048008025,0.051665373,-0.024546124,0.060033817,0.026704706,-0.043764025,0.033451505,-0.049838874,0.056209166,0.057837814,-0.09096598,-0.04684819,0.04007921,-0.059420414,-0.06284702,-0.046846345,0.050719816,0.038053777,-0.034845866,-0.027786952,-0.07987261,-0.053456526,-0.045847096,0.009255629,0.05670321,-0.04886737,0.060180463,0.059315927,0.04426802,0.045728568,0.07012594,-0.037299924,0.04370796,-0.07980556,0.073564164,0.013246542,-0.080588244,-0.051515494,0.06582937,0.052223496
