TF_gene,Target_gene
MCM2,CD9
POLR1E,CD9
AATF,CD9
DDB2,CD9
HNRNPR,RAD54B
HNRNPUL1,RAD54B
SNRPB,RAD54B
XRCC5,RAD54B
RAD51,RAD54B
HMGB2,RAD54B
XRCC6,RAD54B
POLR2D,RAD54B
RBPJ,RAD54B
HNRNPK,RAD54B
MEF2C,SH3BGR
HMGN1,SH3BGR
CREB1,SH3BGR
DAXX,SH3BGR
BRCA2,SH3BGR
DDX5,SH3BGR
EGFR,SH3BGR
RAD51,SH3BGR
FOXO1,HPX
RAD51,HPX
MYBL2,HPX
ZNF143,HPX
ASXL1,HPX
YEATS4,HPX
MAPK1,HPX
DDX54,HPX
POLR1C,HPX
PLRG1,CDK2AP1
PTTG1,CDK2AP1
MCM3,CDK2AP1
SRSF10,CDK2AP1
HDAC1,CDK2AP1
POLR2B,CDK2AP1
DNMT3A,CDK2AP1
RBBP7,CDK2AP1
DEK,CDK2AP1
GATAD2B,CDK2AP1
TBPL1,CMC2
SMARCA5,CMC2
CHAF1A,CMC2
ZBTB16,CMC2
PAPOLA,CMC2
MYC,CMC2
POLR2L,LRR1
POLR2B,LRR1
PWP1,LRR1
E2F3,LRR1
ZBTB16,LRR1
COPS2,LRR1
RNF19A,LRR1
MYBL2,LRR1
RNF4,LRR1
TCEB2,LRR1
TP53,ELF1
POLR2B,ELF1
CHAF1A,ELF1
DAB2,ELF1
POLR2F,ELF1
POLR2L,ELF1
TFDP1,ELF1
E2F3,ELF1
POLR2D,RCAN1
ERCC8,RCAN1
POLR2L,RCAN1
WBP11,RCAN1
POLR2F,RCAN1
MCM4,MRPS12
EIF5B,MRPS12
POLR1C,MRPS12
POLR2I,MRPS12
PDCD11,MRPS12
RBBP7,MRPS12
POLR2F,MRPS12
MCM6,MRPS12
BRIP1,BRCA2
E2F8,BRCA2
RAD54B,BRCA2
RAD51,BRCA2
NFYB,BRCA2
RFC1,BRCA2
TAF11,BRCA2
MCM3,BRCA2
TP53,BRCA2
BRCA1,BRCA2
JUN,UBL7
POLR2L,UBL7
EGF,UBL7
MCM4,UBL7
MCM5,UBL7
ZRANB2,UBL7
POLR3D,UBL7
DDB2,UBL7
TBL1X,UBL7
POLR1B,HIF1AN
SMAD2,HIF1AN
SRSF2,HIF1AN
EPAS1,HIF1AN
KLF5,HIF1AN
SRSF6,HIF1AN
GTF2F2,HIF1AN
COPS2,HIF1AN
MCM2,HIF1AN
EGF,HIF1AN
