,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
MYBL2,0.44918582,0.48324955,0.59481466,0.465827,0.4769118,0.5063048,0.40668312,0.41547886,0.48011792,0.3724668,0.48150074,0.3976011,0.44614774,0.4680095,0.47794056,0.37217543,0.4873071,0.45561913,0.4888902,0.5284081,0.52464104,0.4161913,0.52118313,0.5360044,0.53999287,0.46837598,0.4794902,0.46423015,0.44779092,0.54537314,0.5313355,0.5363508,0.4560924,0.45676932,0.5646321,0.4928151,0.4975106,0.5016152,0.4568133,0.49597836,0.4811128,0.53850883,0.45699573,0.46990517,0.46173513,0.51585066,0.59583133,0.46487,0.40124762,0.5272412,0.47041163,0.5309045,0.4268116,0.47827375,0.37543452,0.41796336,0.5393483,0.6107895,0.49242848,0.498698,0.51143855,0.4710164,0.4734671,0.56971735,0.4697758,0.5077653,0.3602403,0.49638003,0.521431,0.46773425,0.28640273,0.5140429,0.4378942,0.28510666,0.49710754,0.5016014,0.55222166,0.48748225,0.47356033,0.51865995,0.38797444,0.4936558,0.4534927,0.5885088,0.40372896,0.5049008,0.55343,0.4627815,0.5046665,0.510062,0.44818592,0.49764034,0.5003769,0.42778984,0.5522324,0.4460954,0.5027216,0.47337878,0.46489617,0.5345509,0.5330277,0.536159,0.4832632,0.43463466,0.43748423,0.45136636,0.5592526,0.61614984,0.4759872,0.6185977,0.49975085,0.44863987,0.33493778,0.47579032,0.43776184,0.40956873,0.48064315,0.61768645,0.47102603,0.3365778,0.41690952,0.5503469,0.52902937,0.52603334,0.51703864,0.48084596,0.48133233,0.45107841
IQGAP2,0.4209388,0.54603153,0.5281635,0.5096891,0.516152,0.47272855,0.46689826,0.50604516,0.46636263,0.52367234,0.576549,0.48574677,0.3293342,0.40412477,0.54460704,0.4610444,0.54557705,0.510622,0.54159534,0.54242367,0.5005155,0.39471713,0.5145083,0.55180925,0.60208964,0.4998735,0.4604358,0.49718708,0.3739976,0.4900703,0.53275716,0.539478,0.5249714,0.4413102,0.61073476,0.44750106,0.5969926,0.5449255,0.51722133,0.560609,0.5950742,0.48444125,0.49845827,0.37905738,0.40251592,0.5489661,0.54812014,0.3839197,0.50826025,0.4792098,0.44597548,0.5670177,0.49861315,0.5359448,0.3826803,0.46204433,0.51768416,0.5533185,0.36973563,0.44537804,0.48986357,0.35110125,0.620091,0.5465959,0.55341506,0.547871,0.47666228,0.49383166,0.47557595,0.54271144,0.35198063,0.5029787,0.45727503,0.32891294,0.5310307,0.52400404,0.5276439,0.4315457,0.5648945,0.59155583,0.36937174,0.4789456,0.39578158,0.48026752,0.4971058,0.53344303,0.5682197,0.50901246,0.49778634,0.438627,0.39547226,0.49614656,0.51094985,0.3959727,0.5733541,0.45289454,0.42063677,0.5327265,0.43106705,0.48164994,0.5584806,0.50226986,0.5127398,0.47741014,0.528453,0.5197257,0.5579178,0.52961725,0.5042925,0.4770217,0.47734928,0.57069194,0.40515554,0.49740124,0.3798993,0.43024027,0.50986826,0.5587181,0.44731122,0.4168727,0.42389476,0.49662054,0.5041178,0.48892972,0.41635346,0.56745476,0.5663481,0.48270634
GLI1,0.449588,0.4448743,0.56581056,0.4449378,0.45161453,0.4957928,0.40316558,0.39733732,0.49083248,0.38245127,0.47361338,0.36598483,0.4722109,0.49370274,0.47485414,0.35586882,0.48518035,0.458045,0.49065816,0.5217281,0.531095,0.42325878,0.52037126,0.52742946,0.5043719,0.4816383,0.49791482,0.4476933,0.47107014,0.5493672,0.52620304,0.5683334,0.44678798,0.46589193,0.53469366,0.46731296,0.47930434,0.5063283,0.4538612,0.44798142,0.47639662,0.51649,0.49541813,0.4548658,0.42934403,0.51861763,0.5822094,0.48666728,0.3847943,0.5081555,0.46287012,0.5407374,0.4551601,0.4440742,0.3997571,0.4362093,0.52726156,0.6079409,0.5420922,0.5095332,0.53098464,0.48322806,0.47762418,0.55233383,0.4686347,0.50687474,0.3546595,0.51892596,0.514086,0.44707,0.29566455,0.50026923,0.44285655,0.27150756,0.4908217,0.5091214,0.5358746,0.46806508,0.47450164,0.48380485,0.4119541,0.4812518,0.47797203,0.5622215,0.39774612,0.5056542,0.5388953,0.4423216,0.5000438,0.51572657,0.44793105,0.47475955,0.49122027,0.4480624,0.54984534,0.43431306,0.47625852,0.4883357,0.48134205,0.53919107,0.5369734,0.53962135,0.45945278,0.40747836,0.43639472,0.43781948,0.54348946,0.637159,0.46903387,0.6130848,0.5098278,0.4378576,0.340249,0.4538573,0.45267236,0.3778662,0.47709095,0.5973906,0.45917252,0.33637157,0.45652696,0.58112144,0.52453065,0.5293171,0.5312263,0.50079596,0.44071758,0.44935742
NFATC2,0.44839042,0.47834435,0.5278089,0.45351604,0.48479047,0.49294648,0.44475144,0.4275645,0.4644208,0.44366518,0.5088823,0.39809024,0.43483874,0.48762405,0.508097,0.40403405,0.5172191,0.49461168,0.50435007,0.5099577,0.5168205,0.44103527,0.47747105,0.5374519,0.5188783,0.49343756,0.48852378,0.4716776,0.43224463,0.47171903,0.52425855,0.60357654,0.48695952,0.48820966,0.55282664,0.47293174,0.5147066,0.5350749,0.46272218,0.47621754,0.53203565,0.467965,0.5163946,0.41188273,0.40473264,0.5545195,0.5735007,0.48899838,0.41955695,0.49039742,0.47774643,0.5579372,0.4861813,0.48236182,0.42197874,0.43900916,0.5484427,0.56564784,0.51189214,0.4877978,0.49477515,0.45876926,0.54164094,0.5486767,0.45948705,0.5378134,0.42346218,0.53850734,0.49913484,0.49526078,0.3405731,0.50985616,0.45748442,0.29076183,0.4861775,0.50931716,0.5077637,0.47154424,0.47119224,0.5141836,0.42712784,0.4561887,0.45741686,0.53903866,0.41852647,0.53019685,0.5642699,0.47151327,0.49423632,0.47494167,0.45720264,0.4874679,0.49149123,0.41911697,0.5724888,0.44765663,0.4907425,0.5189924,0.47861192,0.5244945,0.53074086,0.5488829,0.48004094,0.39758018,0.45377412,0.4729021,0.5493709,0.61758465,0.46469325,0.5939665,0.4970597,0.4655033,0.32572463,0.45583296,0.45062676,0.4124243,0.5049353,0.5846981,0.4743104,0.37584668,0.4430721,0.56095606,0.5178725,0.50859004,0.476575,0.4930808,0.4478988,0.4536229
MT1E,0.42421642,0.550249,0.53065556,0.51932526,0.5133933,0.48174122,0.4605714,0.51101273,0.47248158,0.51212424,0.5674158,0.473983,0.33579078,0.39258072,0.5286226,0.4627154,0.53840363,0.5104105,0.5366755,0.54901797,0.51136094,0.39824185,0.53226423,0.55410594,0.5952507,0.48890644,0.45494094,0.51111484,0.38028976,0.4803827,0.5359552,0.5334396,0.5216743,0.4427743,0.60930645,0.46898782,0.59347284,0.5238582,0.5191865,0.5594731,0.5917728,0.4890269,0.49772516,0.40300372,0.4137666,0.5634763,0.54384255,0.39481032,0.50001657,0.49539942,0.45399106,0.56772906,0.50269157,0.5401768,0.37864444,0.46165034,0.5237309,0.5450944,0.36986822,0.44379914,0.49430373,0.35358083,0.61099595,0.55985665,0.54789823,0.54379267,0.47015214,0.48648652,0.4788404,0.5406231,0.35472548,0.5107179,0.46153113,0.335074,0.53263223,0.5259348,0.51637155,0.4518095,0.5429869,0.5927492,0.3734753,0.48111513,0.40666464,0.49862775,0.48665214,0.5375893,0.55615413,0.50712496,0.503108,0.441479,0.40092567,0.5001285,0.51934975,0.3969334,0.574751,0.4523037,0.43675354,0.52012986,0.42692873,0.50211334,0.55438054,0.5119401,0.5239373,0.4788904,0.52406055,0.5158939,0.57555556,0.5397826,0.5124572,0.48779988,0.47393945,0.5546316,0.40489584,0.5068896,0.37989396,0.4417944,0.5068457,0.57549495,0.4600675,0.42154875,0.41854706,0.50044703,0.5063481,0.48919487,0.42637458,0.5480117,0.573361,0.4726006
SNRPD1,0.40966442,0.4678279,0.6374623,0.45044303,0.41755682,0.544616,0.34556946,0.3544132,0.49459305,0.30935887,0.4466222,0.3399597,0.5157624,0.44789764,0.47468045,0.30078423,0.47818094,0.39351496,0.48940858,0.53382224,0.54152447,0.37594554,0.54859173,0.5883776,0.53635055,0.45502916,0.4829715,0.44216093,0.45432293,0.61618704,0.5815499,0.54282814,0.37787473,0.4306032,0.5720479,0.51446456,0.47042537,0.4975551,0.43684784,0.4575957,0.41942734,0.5199793,0.4421761,0.46566874,0.44028744,0.49719733,0.63265145,0.43809938,0.3571749,0.5548453,0.43697426,0.54131305,0.3911589,0.45621094,0.3221632,0.36316702,0.5327276,0.6555662,0.5147185,0.51681274,0.5458296,0.47336954,0.42381477,0.5969166,0.4684085,0.49491644,0.27215412,0.49111918,0.5329517,0.42115062,0.20784274,0.5133903,0.42279908,0.2181804,0.456141,0.51846284,0.5795816,0.5076477,0.45888618,0.49300662,0.36884806,0.49548706,0.44583535,0.6084141,0.37030566,0.51650983,0.5773093,0.42544612,0.51339746,0.532667,0.46236253,0.48015812,0.49908128,0.41864347,0.56903785,0.41130522,0.5154159,0.43288887,0.47175023,0.5742141,0.5147777,0.57070476,0.45833948,0.40540192,0.41551816,0.4108064,0.5591254,0.66104895,0.44639117,0.6859228,0.500621,0.42903522,0.28983885,0.46168023,0.42579725,0.35198689,0.46750912,0.64602566,0.4844498,0.26910886,0.40574133,0.57493454,0.5589374,0.5552392,0.57912266,0.5077491,0.44816208,0.43387622
DPPA4,0.43861032,0.47368023,0.5536539,0.46523672,0.49294692,0.48395807,0.39832824,0.42449823,0.4844529,0.44369352,0.4959787,0.44391432,0.4724968,0.47790146,0.49324048,0.4100824,0.5193822,0.44835317,0.5041295,0.51797986,0.51429063,0.42810646,0.5036022,0.53953767,0.54609245,0.49665523,0.50559145,0.4526282,0.4623199,0.5410725,0.5304493,0.55714077,0.4775878,0.45518035,0.53493476,0.4798552,0.49200588,0.52084523,0.47909534,0.45569357,0.4742693,0.48132935,0.5015795,0.43267947,0.44554257,0.52261937,0.58498895,0.48447818,0.4649707,0.50900966,0.44810203,0.5231223,0.4539293,0.4464434,0.4062827,0.42076546,0.51152796,0.57127845,0.5063861,0.5055885,0.51264924,0.45548287,0.5144912,0.5510123,0.4917408,0.5119762,0.40098462,0.5335093,0.5055558,0.47456616,0.31737757,0.48889118,0.439669,0.28971475,0.5146302,0.5187608,0.5413585,0.49645406,0.5008926,0.49404457,0.41285694,0.4925652,0.48548108,0.55907995,0.46379703,0.5141986,0.5409823,0.46550888,0.50979924,0.5023622,0.4545122,0.49364927,0.49070844,0.43737653,0.5510875,0.44267258,0.47974962,0.48611,0.49670273,0.5177609,0.51478666,0.5137183,0.4766616,0.43894985,0.48747998,0.4712743,0.5555758,0.57148415,0.47750655,0.5850374,0.51492834,0.49556464,0.3757162,0.4721162,0.40766802,0.40879643,0.4942252,0.5897559,0.46911976,0.3810164,0.44096807,0.555691,0.52247024,0.53185374,0.5067679,0.5153615,0.4977235,0.47180697
TAF1B,0.43705544,0.44323263,0.5805001,0.4427219,0.44614777,0.5029749,0.39222178,0.37489668,0.48933503,0.36391217,0.46088567,0.35391447,0.49771783,0.48953563,0.4741383,0.34596285,0.4860712,0.4404559,0.49167368,0.5197045,0.5363051,0.41738454,0.5224089,0.54556584,0.50059265,0.4757471,0.50170785,0.44586,0.47663575,0.56076634,0.5385895,0.56813896,0.42523995,0.46164578,0.5374629,0.47027513,0.47175497,0.5019962,0.44884396,0.44401073,0.45798326,0.51033515,0.4882893,0.4494045,0.43262592,0.50735503,0.594547,0.48598406,0.3733128,0.52162087,0.45256642,0.54437417,0.4420773,0.43681744,0.38567802,0.4192196,0.5206721,0.61609346,0.55604094,0.5194641,0.53415495,0.48826638,0.46184933,0.5648982,0.45746565,0.5043286,0.32862395,0.5205373,0.5234917,0.43630347,0.27317852,0.4928682,0.44202322,0.25611445,0.47710067,0.51734024,0.5402409,0.47920954,0.4658851,0.4785847,0.413777,0.48136052,0.48277903,0.57474935,0.3904866,0.5177139,0.54907984,0.4344412,0.49996525,0.51530373,0.45574358,0.46949777,0.4850131,0.44517136,0.55179346,0.42887288,0.48414096,0.48019603,0.49378422,0.5526645,0.53010356,0.5459408,0.45758614,0.4041583,0.4265021,0.42711315,0.54693264,0.64531,0.45309597,0.6365796,0.5043441,0.43260977,0.32406762,0.45508525,0.44904202,0.36605152,0.47955665,0.6083176,0.46433926,0.3174066,0.4500205,0.59129095,0.5344111,0.5353479,0.55037403,0.50368595,0.4339255,0.44443065
HSD17B2,0.41406003,0.5564185,0.52592725,0.5147408,0.5235609,0.4707713,0.46342188,0.49598476,0.43989497,0.5479491,0.5969593,0.49706677,0.3209579,0.40083325,0.558632,0.4831843,0.5740952,0.5174539,0.57222944,0.5498205,0.4916899,0.3903148,0.4909323,0.5638878,0.6291435,0.5254065,0.46619087,0.5006773,0.35401955,0.47082648,0.5322078,0.5573148,0.5520722,0.4546423,0.6211795,0.44705367,0.61033636,0.57591456,0.5170584,0.56209046,0.6087692,0.4481269,0.5070639,0.34640628,0.38270783,0.55933523,0.5627287,0.36653513,0.5374379,0.48234797,0.43937615,0.56994224,0.50535303,0.5510538,0.37422627,0.45588946,0.5319215,0.5583979,0.35012248,0.4426931,0.47322991,0.33339396,0.6666158,0.5488224,0.56487274,0.54950875,0.49583045,0.504347,0.480916,0.5675928,0.34152457,0.50071764,0.46251518,0.30776882,0.53002095,0.53016615,0.5390272,0.42786035,0.57204,0.6030763,0.3586973,0.47825,0.38640463,0.46673805,0.50874066,0.5430321,0.59584117,0.5154479,0.5040582,0.42174333,0.39019775,0.49887887,0.5143156,0.37270272,0.5839608,0.44083396,0.41250128,0.5581536,0.42931417,0.49200445,0.5743646,0.49747887,0.51211756,0.4893596,0.5620298,0.52889705,0.57188314,0.51610035,0.504019,0.4698715,0.47174588,0.5864302,0.39590257,0.4922802,0.37042657,0.42147964,0.5396122,0.559968,0.4485804,0.42755514,0.39617193,0.49928898,0.4985945,0.48850727,0.40118352,0.577371,0.5696987,0.48970756
EEF1E1,0.43752968,0.51540715,0.5183445,0.48914975,0.51247513,0.47761706,0.43902856,0.47959918,0.45672303,0.50130594,0.54961723,0.47768167,0.38291913,0.442186,0.5269659,0.45410466,0.537395,0.49310005,0.5359539,0.5213214,0.50570244,0.42304963,0.49335802,0.541247,0.5823833,0.50209296,0.48397875,0.47650445,0.40942594,0.48841205,0.5205927,0.54807144,0.52343935,0.45881715,0.56740206,0.47153416,0.5548838,0.5428561,0.49680853,0.51408166,0.5387749,0.47661775,0.49145943,0.39515164,0.42898366,0.5452206,0.5677622,0.44551915,0.51084715,0.5003317,0.4466686,0.54657745,0.4834761,0.50825953,0.41401696,0.44083774,0.5340631,0.5552252,0.41838413,0.47527772,0.4952589,0.40250313,0.5884783,0.5505974,0.53354037,0.5285673,0.4677501,0.5198767,0.48847485,0.5270412,0.34992296,0.507419,0.45169604,0.31883186,0.5343868,0.5160731,0.53990257,0.46218053,0.5349014,0.5505367,0.39756128,0.48443833,0.44345555,0.5064675,0.5050044,0.51729286,0.556318,0.50267076,0.5044613,0.47256345,0.42338333,0.49895665,0.49685127,0.4138573,0.56348354,0.44728264,0.45374742,0.5171917,0.46536618,0.49562097,0.5361098,0.50209737,0.49929932,0.466732,0.5191031,0.5043272,0.55641013,0.5420054,0.497421,0.51436543,0.49606267,0.5370238,0.4134839,0.4906677,0.3953452,0.42847446,0.5157648,0.57125264,0.47042677,0.42095858,0.42741808,0.51773596,0.51502573,0.50186086,0.45090994,0.5433689,0.5450444,0.48735943
