,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
MYBL2,0.42479235,0.0,0.0,0.0,0.0,0.0,0.030999213,0.08979884,0.0,0.0,0.12810972,0.0,0.0,0.0,0.0,0.0,0.0,0.23245618,0.042502932,0.38407916,0.50085413,0.44779533,0.1709749,0.30553645,0.0,0.0,0.0,0.2152564,0.0,0.07941389,0.10075867,0.0,0.24582016,0.18269071,0.0,0.39238673,0.0,0.0,0.0,0.08920115,0.0,0.0,0.0,0.012499791,0.0,0.07958621,0.4962478,0.0,0.0,0.4730263,0.4003163,0.2850583,0.0,0.056072406,0.09075869,0.0,0.2622974,0.0,0.0,0.062246863,0.0,0.0,0.0,0.35546142,0.0,0.0,0.5211395,0.0,0.0,0.0,0.34556273,0.22913978,0.0,0.21444908,0.09035281,0.16561478,0.0,0.17275375,0.12042776,0.43207884,0.0,0.0,0.0,0.24195705,0.18361548,0.27489817,0.0,0.0,0.102954544,0.0,4.287809e-06,0.0,0.080799416,0.0,0.28224042,0.0,0.13921532,0.39369947,0.0,0.29595485,0.07191776,0.0,0.2947396,0.053594165,0.0,0.24405871,0.0,0.0,0.0,0.12582229,0.0,0.31569052,0.0,0.0,0.0,0.0,0.10320963,0.7445463,0.14364377,0.08585444,0.0,0.11449617,0.28353816,0.0,0.0,0.18056919,0.0,0.36909664
IQGAP2,0.053333618,0.0,0.0,0.0,0.0,0.0023406148,0.0,0.0,0.0,0.4074007,0.17094277,0.5368005,0.0,0.0,0.17144763,0.3306725,0.6390618,0.12515858,0.0,0.0,0.0,0.056949865,0.0,0.0,0.5680732,0.40288225,0.0,0.0,0.0,0.0,0.0628998,0.103492685,0.5850776,0.3985433,0.0,0.0,0.1619921,0.47659197,0.0,0.14612696,0.27342921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4330163,0.0,0.0,0.050202902,0.0,0.1550259,0.19959067,0.00036662817,0.0,0.059578408,0.0016115839,0.18577582,0.0,0.0,0.24036664,0.0,0.0,0.0,0.30637795,0.0,0.09376164,0.19848475,0.0,0.0,0.0,0.10097678,0.15286449,0.026073817,0.20240398,0.0,0.011687607,0.0,0.0,0.0,0.016890619,0.0,0.6643115,0.0,0.42265925,0.0,0.19931537,0.0,0.0,0.0,0.08821355,0.0,0.0,0.0,0.0,0.053133447,0.0,0.0,0.0,0.0,0.0,0.046361268,0.4090951,0.41248792,0.0,0.046598352,0.0,0.0,0.31476912,0.0,0.0,0.02842921,0.2675406,0.0,0.45778978,0.0,0.0,0.0,0.16943932,0.0,0.0,0.0,0.29161558,0.19714172,0.0,0.35380644
GLI1,0.27624518,0.030921292,0.0,0.0,0.0,0.12680295,0.18344454,0.0,0.045225173,0.0,0.05995648,0.0,0.0,0.0,0.0,0.0,0.0,0.1080082,0.06237536,0.12392574,0.42527312,0.18894708,0.15418321,0.51262325,0.0,0.0,0.0,0.14583975,0.0,0.0,0.16153197,0.0,0.055843167,0.18981145,0.2643604,0.43887812,0.0,0.0,0.0,0.35115424,0.0,0.0,0.0,0.21680096,0.0,0.18809898,0.46900398,0.0,0.0,0.3704174,0.14676274,0.24392438,0.0,0.23299578,0.0,0.0,0.36279157,0.0,0.0,0.10536893,0.0,0.0,0.0,0.34141648,0.0,0.032238804,0.0866014,0.0,0.0,0.0,0.17142308,0.33755487,0.0,0.25660947,0.0,0.060547184,0.0,0.2985484,0.2471143,0.58738375,0.0,0.0,0.0,0.07669473,0.0,0.38304228,0.0,0.0,0.0,0.0,0.3453038,0.0,0.054905728,0.0,0.38812348,0.0,0.35366118,0.07653493,0.0,0.30365545,0.035063885,0.0,0.23985182,0.0067332983,0.0,0.133623,0.13253115,0.0,0.0,0.068158485,0.043365505,0.42136627,0.0,0.0,0.0,0.0,0.02215679,0.60141695,0.084009334,0.011352315,0.102261975,0.13229625,0.33941653,0.0,0.0,0.21543078,0.0,0.14303157
NFATC2,0.45919603,0.0,0.0,0.0,0.0,0.075174734,0.36519575,0.060017377,0.018016485,0.27904144,0.15164296,0.0,0.0,0.0,0.0,0.0,0.04474369,0.004823137,0.07145227,0.0,0.0926228,0.34234896,0.061628003,0.5587258,0.0,0.0,0.0,0.17731923,0.0,0.0,0.0,0.0,0.25045666,0.5089302,0.13101427,0.030461505,0.063593194,0.0,0.0,0.5257007,0.30983007,0.0,0.0,0.0,0.001954265,0.08188501,0.25330758,0.0,0.0,0.0,0.0,0.039588466,0.0,0.52275085,0.12451923,0.0,0.07043428,0.0,0.0,0.065160215,0.0,0.14050508,0.114367016,0.2081584,0.0,0.0,0.0,0.0,0.0,0.38869277,0.10782685,0.0,0.0,0.4755988,0.3989443,0.0,0.0,0.08637135,0.054404914,0.18543951,0.0,0.0,0.0,0.0,0.05685012,0.16882703,0.0,0.0,0.0,0.0,0.21537384,0.0,0.033475943,0.26824045,0.13748915,0.0,0.37698826,0.2166706,0.0,0.0,0.38037854,0.0,0.0,0.0,0.0,0.17645511,0.0,0.0,0.13003719,0.003385082,0.0,0.26345706,0.087739356,0.0,0.0,0.0,0.0,0.23151445,0.0,0.0,0.0,0.062755406,0.30177727,0.0,0.0,0.22563155,0.0,0.0
MT1E,0.09572482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42563838,0.26728028,0.3856854,0.028956726,0.0,0.0,0.4107017,0.5087979,0.2081253,0.0,0.0,0.0,0.35291344,0.0,0.0,0.44044855,0.4054679,0.0,0.0,0.0,0.041835397,0.0,0.09192461,0.61278206,0.26773039,0.0,0.0,0.099730015,0.3105361,0.0,0.1128043,0.1848986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30415994,0.0,0.0,0.0,0.17267868,0.11276416,0.27591679,0.11293891,0.0,0.0,0.0,0.22299679,0.0,0.0,0.2125014,0.06927136,0.0,0.0,0.3562688,0.0,0.0,0.2411859,0.0,0.0,0.0,0.0002611596,0.12521194,0.0002455525,0.20982254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5130159,0.0,0.4890622,0.0,0.38238183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15660907,0.0,0.0,0.0,0.0,0.0,0.1866248,0.37654203,0.36160457,0.0,0.0,0.0,0.0,0.18351737,0.0,0.0,0.0,0.2634106,0.0,0.43587184,0.0,0.0,0.0,0.043122783,0.0,0.0,0.0,0.35109836,0.117740944,0.0,0.46251315
SNRPD1,0.338619,0.39788935,0.0,0.0,0.0,0.27193832,0.0756914,0.0,0.055281788,0.0,0.20057808,0.0,0.0,0.0,0.0,0.0,0.0,0.26319414,0.2421227,0.53971726,0.8254793,0.4471002,0.4329794,0.7776565,0.0,0.0,0.0,0.29105008,0.0,0.09285116,0.41205627,0.0,0.07302918,0.21005163,0.21764852,0.71624637,0.0,0.0,0.0,0.13950622,0.0,0.0,0.0,0.12001532,0.0,0.54351026,0.7498051,0.0,0.0,0.7370051,0.51978326,0.49626616,0.0,0.057768174,0.29565996,0.0,0.5646489,0.0,0.0,0.05180413,0.0,0.0,0.0,0.5813887,0.0,0.0488187,0.4020885,0.0,0.009487066,0.0,0.4690934,0.5588816,0.0,0.0,0.0,0.10375358,0.0,0.45625848,0.15970525,0.95834184,0.0,0.0,0.0,0.19963121,0.23149277,0.4744821,0.0,0.0,0.19896275,0.0,0.28931308,0.0,0.26193184,0.0,0.7378672,0.0,0.28972998,0.2085456,0.0,0.672181,0.12741975,0.018191062,0.69952565,0.0,0.0,0.14942591,0.3342183,0.0,0.0,0.22119431,0.44551617,0.38525343,0.010784052,0.0,0.0,0.0,0.123445675,0.892332,0.4932592,0.30991498,0.036468115,0.13807432,0.46882954,0.0,0.0,0.23701595,0.0,0.22377563
DPPA4,0.0,0.15119112,0.0,0.0,0.0,0.20260343,0.0,0.0,0.11423685,0.13741268,0.2271257,0.0,0.0,0.0,0.0,0.0,0.15393081,0.06585051,0.172712,0.15507993,0.27836436,0.18455836,0.0,0.20268592,0.20878053,0.03731544,0.0,0.17895952,0.0,0.0,0.0824575,0.0,0.2939054,0.13600972,0.0,0.32403743,0.0932612,0.0,0.0,0.17794868,0.08026694,0.0,0.0,0.24913007,0.04142545,0.1662512,0.2801939,0.0,0.073866986,0.28671193,0.06011276,0.19458975,0.0,0.07076522,0.04228057,0.029599879,0.17113608,0.20029366,0.0,0.0,0.0,0.07199103,0.1977655,0.119429,0.0,0.32205445,0.084591046,0.0,0.035578128,0.042830475,0.18102646,0.31450212,0.0,0.0,0.0,0.008057591,0.0,0.40370467,0.0,0.17134555,0.0,0.0,0.0,0.0,0.18731733,0.019802215,0.0,0.0,0.009342641,0.0,0.055703994,0.01911057,0.11004835,0.0,0.05991875,0.0,0.13194054,0.10753982,0.0,0.16675124,0.0,0.06105908,0.1667779,0.16331542,0.06315589,0.14316127,0.2380708,0.0,0.0,0.2177556,0.16922647,0.2606625,0.0,0.07514666,0.0,0.0,0.08035001,0.1950987,0.20504095,0.0,0.0,0.0,0.19934788,0.1437923,0.0053880326,0.08210623,0.0,0.121100575
TAF1B,0.2860897,0.23913184,0.0,0.0,0.0,0.17898282,0.29496244,0.0,0.10464756,0.0,0.095252156,0.0,0.0,0.0,0.0,0.0,0.0,0.23000169,0.13907506,0.19159913,0.5507335,0.30622968,0.20032376,0.6508575,0.0,0.0,0.0,0.225387,0.0,0.0,0.1527203,0.0,0.020281948,0.17409506,0.262075,0.5207654,0.0,0.0,0.0,0.28770143,0.0,0.0,0.0,0.2483333,0.0,0.32656085,0.6153584,0.0,0.0,0.49640638,0.213173,0.2632271,0.0,0.21897024,0.003068043,0.0,0.42533952,0.0,0.0,0.0,0.0,0.0,0.0,0.361454,0.0,0.06422263,0.0,0.0,0.0275006,0.0,0.16132073,0.43813336,0.0,0.16371173,0.006233396,0.0014739074,0.0,0.31350684,0.21497113,0.6632185,0.0,0.0,0.0,0.07597065,0.012646081,0.35660133,0.0,0.0,0.016943432,0.0,0.35202423,0.0,0.17379439,0.0,0.44565976,0.0,0.44104967,0.040243294,0.0,0.35801822,0.06844994,0.0,0.37690446,0.015441306,0.0,0.0,0.2320869,0.0,0.0,0.08361546,0.062272053,0.41077894,0.0076175407,0.0,0.0,0.0,0.0,0.610483,0.17678338,0.083367676,0.039598424,0.11821979,0.43825933,0.0,0.0,0.12604372,0.0,0.06465697
HSD17B2,0.0,0.0,0.0,0.0,0.0,0.004375994,0.0,0.0,0.0,0.5796722,0.29702288,0.55427843,0.012624666,0.0,0.18058175,0.4074902,0.8189129,0.11167984,0.0,0.0,0.0,0.07112638,0.0,0.0,0.6391091,0.48106456,0.0,0.0,0.0,0.0,0.0,0.27327532,0.69495183,0.41277653,0.0,0.0,0.32338825,0.5351167,0.0,0.24105254,0.45657337,0.0,0.0,0.0,0.0,0.0,0.0,0.06913939,0.4559914,0.0,0.0,0.0,0.0,0.19820368,0.19632427,0.010075074,0.0,0.1214768,0.0,0.18619116,0.0,0.124113515,0.47293195,0.0,0.0,0.0,0.29847875,0.0,0.09822501,0.3589651,0.0,0.0,0.0,0.22000661,0.23431224,0.0,0.22449452,0.0,0.0,0.0,0.0,0.0,0.11092335,0.0,0.6656382,0.0,0.5586966,0.0,0.23359042,0.11239717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16112562,0.0,0.0,0.0,0.0,0.0,0.0,0.51459926,0.47102547,0.0,0.025770271,0.030819975,0.0,0.15373002,0.0,0.0,0.032421336,0.262162,0.0,0.41306627,0.0,0.0,0.0,0.2541072,0.0,0.0,0.04267437,0.28229696,0.27371204,0.0,0.3742019
EEF1E1,0.0,0.0,0.0,0.0,0.0,0.17228654,0.0,0.0,0.0,0.24292077,0.34860653,0.28411853,0.0,0.0,0.002630137,0.14928146,0.41399428,0.0,0.072074756,0.0,0.02339793,0.12529361,0.0,0.0,0.43340918,0.21976644,0.0,0.059219144,0.0,0.0,0.0,0.09694285,0.3904214,0.34336928,0.0,0.17029126,0.17065457,0.1645282,0.0,0.07137975,0.28355342,0.0,0.0,0.022987917,0.0,0.040212408,0.0,0.022905812,0.3162732,0.09336185,0.0,0.08277145,0.0,0.06767743,0.12168593,0.07855805,0.014398639,0.20898865,0.0,0.031105075,0.0,0.072967336,0.36228576,0.0682312,0.0,0.063905105,0.23591697,0.0,0.0,0.20645073,0.061948493,0.11586071,0.0,0.0128566045,0.06673511,0.0,0.14946398,0.24110848,0.0,0.0,0.0,0.0,0.037026133,0.0,0.40727317,0.0,0.15887529,0.0,0.16131043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12065107,0.117244944,0.0,0.0,0.0,0.023099411,0.036699712,0.0,0.28055173,0.3431998,0.0,0.0,0.0,0.03844471,0.17431957,0.06507312,0.0,0.014294386,0.03502298,0.0,0.2931353,0.0055538826,0.007788554,0.0,0.059615113,0.0,0.10975625,0.034925036,0.2970666,0.15132515,0.0,0.23004884
CDK2AP1,0.036501832,0.15319891,0.0,0.0,0.0,0.09744132,0.0,0.043811165,0.032640293,0.09420664,0.18748519,0.045943737,0.0,0.0,0.0,0.08062826,0.0101741925,0.033806,0.12268874,0.16862966,0.20022318,0.08178848,0.02814424,0.063356176,0.11204013,0.054844785,0.0,0.19883975,0.0,0.014727868,0.0034473129,0.017614566,0.11113826,0.06010301,0.0,0.14604352,0.0,0.025485035,0.0,0.0,0.0,0.0,0.0,0.010085307,0.0,0.112881094,0.16862404,0.0,0.078029364,0.1902676,0.10727407,0.15128417,0.0,0.0,0.08841197,0.0,0.091395736,0.061558962,0.0,0.0,0.0,0.0,0.000710845,0.1668782,0.0,0.057465874,0.17220616,0.0,0.07790509,0.0,0.18614832,0.12812258,0.0,0.0,0.0,0.03900285,0.0,0.15105484,0.0,0.17883793,0.0,0.0,0.0,0.035841696,0.13861069,0.08634572,0.0,0.0,0.06284941,0.0,0.027548172,0.0,0.012730181,0.0,0.09020623,0.0,0.023584902,0.04811188,0.0,0.20346135,0.0,0.0,0.12633099,0.058243472,0.007206142,0.169052,0.08551742,0.0,0.0,0.092990234,0.13211413,0.082226835,0.0,0.0,0.034366064,0.0,0.116656356,0.13373601,0.1500504,0.03129469,0.010334894,0.0,0.09777729,0.035985876,0.08931011,0.025841836,0.0,0.068941966
ZIC2,0.0021288153,0.0,0.0,0.0,0.0,0.07953236,0.0,0.0,0.0,0.15021005,0.25800028,0.1530748,0.0,0.0,0.0,0.035218053,0.31708118,0.07854316,0.0,0.0,0.0,0.17160092,0.0,0.0,0.35111406,0.25173697,0.0,0.0,0.0,0.0,0.0,0.10052255,0.34352803,0.2685003,0.0,0.09286927,0.10520314,0.173942,0.0,0.36315075,0.40247548,0.0,0.023228787,0.23096803,0.0,0.0,0.0,0.0,0.13251357,0.0,0.0,0.011992544,0.0,0.19356573,0.030585706,0.05837991,0.0,0.012130234,0.0,0.0,0.0,0.087013364,0.46392712,0.0,0.0,0.0060014585,0.0235514,0.0,0.0,0.19687432,0.0,0.0,0.0,0.15918778,0.19254814,0.0,0.03966436,0.13130675,0.1001703,0.0,0.0,0.0,0.0,0.0,0.31072274,0.0,0.26336324,0.0,0.1711694,0.0,0.07255012,0.0,0.0,0.0,0.0,0.0,0.13593319,0.22575659,0.0,0.0,0.0,0.0,0.0,0.13507682,0.22746976,0.18162273,0.0,0.0,0.0,0.0,0.0,0.08473793,0.0,0.0,0.03868179,0.0,0.19769351,0.0,0.0,0.0,0.062521555,0.0,0.025492601,0.06930883,0.17169338,0.18701331,0.0,0.22967342
CREB3L3,0.32039392,0.0,0.0,0.0,0.0,0.049564254,0.39181292,0.055796355,0.0,0.34564844,0.0,0.0,0.0,0.0,0.0,0.0,0.43893602,0.0,0.022327561,0.0,0.0,0.053687166,0.0,0.16753641,0.0,0.16426931,0.0,0.0,0.0,0.0,0.0,0.0,0.45321554,0.6704982,0.23962592,0.07429755,0.057481628,0.0,0.0,0.6036966,0.37146425,0.0,0.0,0.118095964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7589383,0.0,0.0,0.0,0.0,0.0,0.0823106,0.0,0.26192102,0.36815313,0.0,0.0,0.0,0.0,0.0,0.0,0.4142232,0.0,0.0,0.0,0.8089903,0.15711008,0.032453403,0.080429494,0.10449059,0.42064852,0.0,0.0,0.0,0.0052016713,0.0,0.009729268,0.18519309,0.0,0.0,0.0,0.0,0.42329887,0.0,0.0,0.24339342,0.0,0.0,0.51629615,0.23178408,0.0,0.0,0.10412402,0.0,0.0,0.0,0.0,0.36099607,0.0,0.0,0.20284426,0.0,0.0,0.32243562,0.0,0.0,0.0,0.0,0.037998818,0.17790622,0.0,0.0,0.0,0.1456972,0.22227728,0.03578232,0.0,0.3924374,0.0,0.05600022
DHPS,0.0,0.0,0.0,0.0,0.0,0.1441992,0.0,0.0,0.0,0.29151705,0.29829276,0.31335714,0.0,0.0,0.00038879365,0.16080096,0.45894268,0.0,0.0,0.0,0.0,0.1046666,0.0,0.0,0.43495724,0.27316198,0.0,0.0,0.0,0.0011222288,0.0,0.11205542,0.5043521,0.25182885,0.0,0.108991235,0.11851743,0.12781332,0.0,0.21310364,0.34511524,0.0,0.011181422,0.13408887,0.0,0.07096736,0.0,0.0,0.23519902,0.012943238,0.0,0.059249964,0.0,0.07406894,0.11557613,0.089926675,0.0,0.08543013,0.0,0.071696,0.0,0.10403505,0.44169196,0.0,0.0,0.013843694,0.1765081,0.0,0.0,0.20986128,0.0,0.067064546,0.0,0.05539746,0.11604408,0.010879811,0.20356557,0.12724128,0.0,0.0,0.0,0.0,0.009973597,0.0,0.36783442,0.0019763876,0.17823148,0.0,0.14336035,0.0,0.04235903,0.0,0.0,0.0,0.0,0.0,0.08175807,0.08821207,0.0,0.0,0.0,0.02986192,0.0,0.044967584,0.22158028,0.25383782,0.0,0.0,0.0,0.0,0.16979122,0.0,0.0,0.008675925,0.05156661,0.0,0.3431766,0.0,0.0,0.0,0.042801335,0.0,0.107727386,0.055723794,0.21817288,0.13354051,0.0,0.33670413
HIST1H2BC,0.0,0.10333519,0.0,0.0,0.025424343,0.16792725,0.0,0.1224902,0.0,0.27207726,0.1828063,0.016121924,0.05361577,0.0,0.016301557,0.16957745,0.11827854,0.0,0.22435683,0.0,0.013240442,0.0,0.0046346704,0.0,0.13417497,0.13306206,0.0,0.17741734,0.0,0.039218053,0.0,0.07666668,0.18440655,0.01988729,0.0,0.23142804,0.035447914,0.0,0.0,0.081773706,0.16560583,0.0,0.038776293,0.036652755,0.0,0.12524547,0.045929812,0.0,0.0797303,0.19276324,0.0,0.0003453195,0.022266027,0.0,0.04859063,0.027656406,0.14188078,0.10842678,0.0,0.018858373,0.0,0.081217736,0.08064508,0.036797035,0.0,0.14833659,0.026313104,0.0,0.14474586,0.06738488,0.13897982,0.2129282,0.0,0.04088387,0.04690089,0.036953535,0.050604727,0.12133941,0.0,0.038305417,0.0,0.0,0.067221686,0.0,0.0,0.052820146,0.0,0.0153350495,0.0,0.0,0.135442,0.0,0.0,0.0,0.0,0.0,0.014631006,0.0010315925,0.0,0.0,0.0,0.036250748,0.0,0.0,0.12592185,0.08832669,0.13895144,0.0,0.07662038,0.022490866,0.07673226,0.0,0.0,0.09602372,0.0,0.0,0.07809153,0.0,0.08170809,0.0,0.05286139,0.0,0.16980061,0.1031404,0.05465337,0.014825914,0.0,0.055166718
