,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
MYBL2,0.08311703,-0.032694377,0.06473778,-0.08505824,0.057133093,-0.14962274,0.086110815,-0.04346405,0.09174517,0.09718365,-0.031157715,-0.039872535,-0.07428485,-0.079340056,0.08266327,0.033335943,0.09493954,0.07590005,-0.13760568,-0.08221782,0.08957972,0.021878771,0.15810344,0.050164446,-0.099029444,-0.10166539,-0.07672729,-0.09713161,0.009148307,0.043807514,-0.09430644,0.120961815,0.17942318,-0.112632036,-0.06548291,-0.04023099,0.06513243,0.05491196,-0.10833284,0.073520795,-0.13216941,-0.17763595,-0.061531205,-0.083458394,0.15050147,0.13442442,-0.08298919,0.0032399558,0.012465879,-0.029561646,0.13510975,0.07127025,0.093318716,0.044984773,-0.02008386,-0.043191865,0.06272453,0.06336218,-0.105197616,0.08941341,-0.13340463,0.024172055,-0.10862476,0.04350662
IQGAP2,-0.17281394,-0.22250196,-0.17622523,-0.23252684,-0.18647979,0.008301094,-0.16529885,0.20426711,-0.1610387,-0.16289374,0.2280422,0.15817569,0.15054892,0.14729577,0.23483062,-0.22159542,-0.13801062,-0.23462884,0.063360944,0.116965935,-0.1219316,-0.26323307,0.21126032,-0.22047551,0.12534279,0.030799929,0.14223377,-0.08780604,-0.21463078,-0.26358876,0.13476041,0.057252824,0.055823043,0.032294758,0.20089969,0.19435668,-0.20461233,-0.18865103,0.09649414,-0.14555366,-0.1473528,-0.21499021,0.22170268,0.19617788,-0.055712763,0.21718249,0.15864962,-0.23451146,-0.2174073,0.21969363,0.01741752,-0.14491586,-0.15781108,-0.18027261,-0.117326945,0.18981482,-0.17221758,-0.18667962,0.1007632,-0.15860187,-0.06893453,-0.19371006,0.13377795,-0.21330027
GLI1,0.121070124,0.1253188,0.08661735,0.07103959,0.11155839,0.009665802,0.12184876,-0.117709465,0.06243326,0.054396845,-0.13296703,-0.08722778,-0.0629526,-0.1198902,-0.15771133,0.14774258,0.07900678,0.13927364,-0.05742307,-0.040840566,0.030381856,0.1352857,-0.10659548,0.13615827,-0.09515154,0.0064266752,-0.068938114,0.07673318,0.16816923,0.12871185,-0.07742497,-0.042263117,-0.06946227,0.050765924,-0.14741653,-0.16259454,0.13821936,0.10252342,-0.053593814,0.0845308,0.07179868,0.13405663,-0.11739482,-0.08600034,0.0067812605,-0.105387144,-0.07715646,0.12810677,0.14825115,-0.16779593,-0.13626307,0.09188458,0.06119306,0.10502223,0.18282002,-0.102228105,0.09574881,0.100405045,-0.06448118,0.11350439,0.01943748,0.064364746,-0.041611183,0.15713881
NFATC2,-0.024175039,0.08701165,-0.040347874,0.11000845,-0.01521666,0.11697611,-0.04042519,0.0037929192,-0.06655665,-0.08062689,-0.018262671,-0.00590349,0.048899423,0.010387056,-0.1462439,0.012193713,-0.08072394,-0.027705569,0.11350275,0.065341435,-0.0948369,0.034986727,-0.17786893,0.009829249,0.036901534,0.09106558,0.06830475,0.11683423,0.10216438,0.017692545,0.08375181,-0.14396203,-0.18617003,0.15084295,-0.029757246,-0.06702353,0.002879601,-0.039403223,0.09462056,-0.038616467,0.12733991,0.20258272,-0.0008087754,0.014599327,-0.14717562,-0.16333938,0.028675802,0.021004077,0.031475376,-0.062269922,-0.20715564,5.948171e-05,-0.08832685,0.0030740518,0.14924349,0.012154859,-0.029178523,-0.014849303,0.090340085,-0.021796169,0.15351026,0.013115125,0.09593455,0.008849084
MT1E,-0.191544,-0.21129687,-0.18106687,-0.23610356,-0.20371516,0.018116355,-0.1757066,0.2208592,-0.18938255,-0.18743268,0.24976858,0.1504341,0.15296505,0.14776906,0.2339415,-0.226414,-0.16962212,-0.244613,0.0831215,0.13310584,-0.10939984,-0.25797555,0.1893189,-0.24171327,0.13098294,0.055428326,0.16234082,-0.09132704,-0.23048815,-0.2539292,0.13536263,0.04799149,0.049586132,0.05741002,0.20663318,0.21285784,-0.23246942,-0.19939966,0.10191505,-0.15563135,-0.1684645,-0.21734951,0.24285443,0.21762732,-0.06656519,0.23507604,0.15859827,-0.25498065,-0.22782287,0.21951324,0.023624167,-0.16833793,-0.18675864,-0.18667081,-0.121319994,0.19632617,-0.1748536,-0.2110975,0.12739132,-0.16628045,-0.073892266,-0.20600992,0.15425965,-0.21624845
SNRPD1,0.2258362,0.0026777796,0.23901486,-0.090958096,0.24013226,-0.30392346,0.23833308,-0.11916729,0.28341463,0.28347728,-0.14814803,-0.13126975,-0.20012201,-0.20760062,0.118138865,0.131885,0.26187626,0.2314771,-0.29559854,-0.24912322,0.23042239,0.114509754,0.25945532,0.16304673,-0.24000937,-0.26415494,-0.21908346,-0.16744398,0.06111078,0.16400078,-0.25691143,0.28448626,0.3616101,-0.31000796,-0.1832699,-0.14813046,0.20457931,0.19650362,-0.2738249,0.1804696,-0.2437343,-0.2952613,-0.21399577,-0.2145294,0.3558648,0.23070398,-0.25217065,0.14892441,0.13389212,-0.10411318,0.27004945,0.20714119,0.24966219,0.14997672,-0.049818132,-0.17848907,0.18804274,0.182143,-0.30964103,0.25369447,-0.30865374,0.10937998,-0.2664342,0.18435064
DPPA4,0.04053384,0.018191393,0.04439609,-0.02776301,0.063329026,-0.052873235,0.06745301,-0.058775462,0.07755968,0.06169905,-0.045913354,-0.059899464,-0.060487494,-0.062075272,-0.013574034,0.069334716,0.039908774,0.07200076,-0.068240225,-0.06702847,0.052122526,0.047301732,0.03044544,0.0743738,-0.05980421,-0.06119611,-0.058315165,-0.039345466,0.041399196,0.06536352,-0.06857921,0.05285446,0.045580048,-0.04811729,-0.06234714,-0.056264333,0.07521029,0.06816687,-0.0817938,0.046922006,-0.04202318,-0.014217411,-0.06968273,-0.060320757,0.070283584,0.024133854,-0.07656868,0.06289444,0.084004775,-0.052620485,0.014920369,0.05997552,0.06938634,0.042368792,0.032029696,-0.039860252,0.06541595,0.058891654,-0.0811374,0.07427948,-0.060845137,0.026845174,-0.06101175,0.04788072
TAF1B,0.17146088,0.14289138,0.14247474,0.06285545,0.15707497,-0.0475785,0.17390719,-0.15414092,0.13771622,0.12020835,-0.17303157,-0.13744709,-0.11988889,-0.16327685,-0.14611325,0.18499143,0.12737787,0.19814904,-0.1118523,-0.092905745,0.08503353,0.17847145,-0.07366004,0.17060192,-0.14643586,-0.053136878,-0.12143711,0.03618589,0.17653222,0.17091456,-0.12748188,0.019904695,-0.0069997204,-0.030780684,-0.18513711,-0.18647482,0.18545102,0.15644458,-0.11057618,0.12559783,0.036295746,0.09130232,-0.17329769,-0.13233998,0.07808825,-0.06526234,-0.1378429,0.17733464,0.18809013,-0.19381288,-0.07185225,0.14424662,0.11813023,0.14837189,0.1785602,-0.14116298,0.1424138,0.1364288,-0.12417977,0.17461479,-0.043637615,0.107310556,-0.10016993,0.19657119
HSD17B2,-0.18838964,-0.21187289,-0.17925018,-0.2219781,-0.20007181,0.03382419,-0.17996716,0.20618,-0.17065619,-0.1714797,0.22161491,0.16293284,0.15803565,0.15528041,0.21633375,-0.2217791,-0.14389963,-0.24185655,0.094303146,0.12956712,-0.13045436,-0.25067785,0.1820701,-0.22121769,0.14301828,0.045230668,0.13821071,-0.07469962,-0.2118257,-0.26830167,0.14395078,0.04298465,0.0162784,0.056923386,0.20195949,0.19954078,-0.20919444,-0.19862762,0.110977836,-0.14480756,-0.12031759,-0.17637989,0.22958824,0.19720021,-0.071350574,0.19946477,0.17512923,-0.24195835,-0.20513317,0.21811983,-0.012967914,-0.15229328,-0.15985525,-0.17654593,-0.10614964,0.20161285,-0.16494647,-0.18851396,0.11819426,-0.1789253,-0.04871707,-0.1939319,0.13450305,-0.2084588
EEF1E1,-0.10833574,-0.101659566,-0.099705234,-0.11084068,-0.09068581,0.0049939603,-0.073831365,0.0860692,-0.0759338,-0.078135446,0.11163374,0.059353225,0.06833308,0.06419751,0.09770596,-0.101956815,-0.07313969,-0.12866409,0.034419373,0.053332984,-0.04557112,-0.11822919,0.096238874,-0.09593277,0.057516955,0.011630233,0.074529454,-0.053947005,-0.1151078,-0.12375184,0.069940604,0.028404243,0.01172,0.031540036,0.0892234,0.09314892,-0.10191859,-0.09085657,0.03711263,-0.07211165,-0.07007891,-0.101914436,0.10729471,0.09359422,-0.025651062,0.117209926,0.07165266,-0.12055116,-0.08577606,0.09810966,-0.0013576522,-0.061641954,-0.07844844,-0.08702583,-0.045041263,0.093276374,-0.069329925,-0.08814465,0.038388684,-0.07996844,-0.033145215,-0.09864109,0.073224425,-0.10214271
