TF_gene,Target_gene
TAX1BP3,PCBP2
MAPK1,PCBP2
MED15,PCBP2
BTG1,PCBP2
BIN1,PCBP2
MATR3,PCBP2
ILK,PCBP2
GTF2B,PCBP2
PARP1,PCBP2
TNF,PCBP2
POLR2C,TNF
BAZ1A,TNF
SP1,TNF
MED27,TNF
FUBP3,TNF
ZFP91,TNF
NME2,TNF
TCEA1,TNF
SMAD4,TNF
HHEX,TNF
BUB3,DNMT1
IRF4,DNMT1
RFX7,DNMT1
CREM,DNMT1
LASS5,DNMT1
CNOT6L,DNMT1
AGAP3,DNMT1
MYEF2,DNMT1
MED8,DNMT1
ZFHX3,DNMT1
POLR2D,CNOT6
ID2,CNOT6
BIN1,CNOT6
CBX3,CNOT6
SFPI1,CNOT6
SIRT7,CNOT6
RBM39,CNOT6
PCBD2,CNOT6
HNRNPK,CNOT6
CTCF,CNOT6
AHR,HSP90AB1
CDC5L,HSP90AB1
TRP53,HSP90AB1
AKT1,HSP90AB1
MAPK3,HSP90AB1
STAT3,HSP90AB1
MAPK1,HSP90AB1
EDF1,HSP90AB1
NR3C1,HSP90AB1
KLF4,RBM39
CBFB,RBM39
CIITA,RBM39
ZFP410,RBM39
POLR1D,RBM39
IRF1,RBM39
FOXJ3,RBM39
RNPS1,RBM39
MCM3,RBM39
CIC,RBM39
BTF3,RPS17
POLR2E,RPS17
NME2,RPS17
ID2,NCOR2
NR3C1,NCOR2
TOB1,NCOR2
SNAPC5,NCOR2
CHD4,NCOR2
FOSB,NCOR2
ATF6,NCOR2
TCF7L2,NCOR2
CCRN4L,NCOR2
CNOT2,NCOR2
ZMYM2,NFKBIZ
AES,NFKBIZ
WBP11,NFKBIZ
NFX1,NFKBIZ
BATF3,NFKBIZ
NONO,NFKBIZ
IRF5,NFKBIZ
POLR1D,NFKBIZ
NR4A1,NFKBIZ
SMARCA4,NFKBIZ
SRRT,DNAJC2
RBBP7,DNAJC2
CIC,DNAJC2
STAT1,DNAJC2
DAB2,DNAJC2
SNRPD1,DNAJC2
H1F0,DNAJC2
MCM4,DNAJC2
EWSR1,DNAJC2
HNRNPK,DNAJC2
MAPK14,CYBB
TLR4,CYBB
SUZ12,RBL2
RUVBL2,RBL2
SUPT16H,RBL2
BACH1,RBL2
SUB1,RBL2
NCOA3,RBL2
MCM3,RBL2
ZFP148,RBL2
GTF2A1,RBL2
MCM5,RBL2
NFKB1,RPS27A
MDM2,RPS27A
RBL2,RPS27A
POLR2B,RPS27A
RNPS1,RPS27A
TSG101,RPS27A
POLR2G,RPS27A
MCM3,RPS27A
EIF5B,RPS27A
RNF4,RPS27A
HNRNPAB,NOTCH2
