,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
IL1B,0.55464315,0.47470087,0.5557418,0.49215618,0.47396785,0.46478444,0.4772576,0.44419226,0.41982362,0.51703763,0.48611405,0.47999316,0.41229692,0.48978445,0.4708296,0.51766604,0.46275112,0.57154685,0.47594085,0.51753336,0.48444986,0.49934825,0.46717182,0.538184,0.5511747,0.49730015,0.5342032,0.5214721,0.53584075,0.5171732,0.46192622,0.5092165,0.48837548,0.5017269,0.5882221,0.54283816,0.4835713,0.51067907,0.48301765,0.5596763,0.5431896,0.5098868,0.48035383,0.47891062,0.43215734,0.47710907,0.48491126,0.4707842,0.5442448,0.5113148,0.47931725,0.45547438,0.5057229,0.46224266,0.49683535,0.5009597,0.5115253,0.47143728,0.52546895,0.53926325,0.58557284,0.51298946,0.47427788,0.47340244,0.5696584,0.52315724,0.45400852,0.4688522,0.4968098,0.5315403,0.5165553,0.46347263,0.54435974,0.5285444,0.46306646,0.4877354,0.4617331,0.5264644,0.52163243,0.5052164,0.5630449,0.48740134,0.5054985,0.47322884,0.5358877,0.54173636,0.46468073,0.55855644,0.50141406,0.47236633,0.47875637,0.5119818,0.5237746,0.54401445,0.4760115,0.50063014,0.49181938,0.46561596,0.45409206,0.50761175,0.5470173,0.50721145,0.45168573,0.5041808,0.5174973,0.5012803,0.4743046,0.46200174,0.5435129,0.49272272,0.5032247,0.52700174,0.5012279,0.5395161,0.4729141,0.49144706,0.4990561,0.45496213,0.5010388,0.51491356,0.49379912,0.50697786,0.4918916,0.47008145,0.48856577,0.48563364,0.55454266,0.5439538
CLEC4E,0.54908305,0.4872463,0.5356933,0.5058313,0.48890114,0.47473633,0.48694554,0.448096,0.4245381,0.5254129,0.4932456,0.49326542,0.4090978,0.49485466,0.47154328,0.5184571,0.47104147,0.562091,0.481855,0.52254766,0.4921645,0.51275545,0.47171322,0.52772635,0.5414504,0.5042844,0.52885634,0.5313067,0.5408079,0.51624864,0.45848757,0.5202994,0.49513057,0.51024723,0.57572144,0.5344181,0.48546296,0.49486962,0.49231902,0.5701493,0.5538033,0.5125973,0.4894092,0.4861565,0.44772884,0.46414337,0.48928556,0.47832525,0.53619874,0.50950825,0.4887208,0.45709065,0.50004745,0.4756768,0.49917743,0.5098505,0.5175592,0.47556216,0.5197586,0.5444419,0.57114613,0.5162048,0.48667327,0.48326993,0.5576798,0.5312214,0.4658286,0.48163837,0.49299872,0.52749246,0.51355857,0.4778397,0.5422546,0.5249209,0.4872568,0.48233032,0.47339514,0.53725994,0.53317297,0.50079226,0.5600987,0.5021507,0.5036902,0.47607893,0.53193396,0.53025925,0.47051445,0.55840373,0.5021056,0.4903412,0.47877285,0.5064695,0.52664185,0.5376384,0.48555502,0.50026184,0.496273,0.48282638,0.463917,0.49873114,0.538383,0.5168461,0.47004777,0.5099597,0.52629685,0.508645,0.46915868,0.46731198,0.5454983,0.493861,0.50938797,0.52347344,0.50511485,0.5304003,0.47738335,0.49541545,0.49573994,0.4810487,0.5006447,0.51114154,0.50135314,0.5069087,0.50408196,0.47518307,0.48703122,0.48530704,0.54478586,0.5397004
DBI,0.5493417,0.48006946,0.54828995,0.49756593,0.48799166,0.4713624,0.4860645,0.4446549,0.42132503,0.52235067,0.49344724,0.4857443,0.40497893,0.49020687,0.47139552,0.5249668,0.46558934,0.5665918,0.48393038,0.5203102,0.48667994,0.50752276,0.466374,0.532877,0.5465787,0.50197434,0.532872,0.53680044,0.5433244,0.5201889,0.4644972,0.51762426,0.49080056,0.51272786,0.58149314,0.5407116,0.48023474,0.50297886,0.49258637,0.5668933,0.54796106,0.51647294,0.4847587,0.4786827,0.44474164,0.4677693,0.48412657,0.47493383,0.54186875,0.5141022,0.48810622,0.45960942,0.5017896,0.4737988,0.49646512,0.51146495,0.51532364,0.47360525,0.52609146,0.5480782,0.57815796,0.5126003,0.4797707,0.47999793,0.56273645,0.5236622,0.45283207,0.474306,0.49876347,0.5296591,0.5200584,0.47720352,0.54637074,0.5282195,0.4832006,0.4853473,0.46487093,0.53107303,0.5348554,0.508199,0.5591911,0.4905357,0.5059288,0.47412005,0.53356165,0.53920704,0.47087532,0.5602821,0.50799024,0.48081553,0.47959813,0.5074461,0.5210063,0.54272693,0.48294157,0.5018738,0.5006664,0.48316175,0.45235473,0.49918035,0.5381535,0.5161729,0.46686375,0.50849855,0.52961487,0.5019458,0.47340128,0.4633211,0.5452914,0.49323863,0.50511163,0.52712834,0.49314386,0.53828883,0.4771116,0.500471,0.49235427,0.4694642,0.49862668,0.51823264,0.50165844,0.50788313,0.49921784,0.47226515,0.48971155,0.4906956,0.5526446,0.54131544
RBL2,0.39259365,0.5577864,0.35214618,0.6854478,0.7245741,0.6728278,0.408251,0.47233436,0.34393355,0.7079957,0.6625137,0.5544811,0.18234451,0.36953723,0.36658058,0.5083162,0.46105075,0.49981123,0.4688,0.69088376,0.55337065,0.7961227,0.55467564,0.32827184,0.62106895,0.6512955,0.4431596,0.75597936,0.78070194,0.57055193,0.31962484,0.776034,0.6162335,0.5870016,0.65637183,0.4666293,0.48775345,0.3023122,0.6792895,0.7812294,0.7877586,0.6185375,0.33229855,0.4513379,0.516715,0.4889411,0.4662509,0.59105754,0.5082638,0.5917824,0.59688723,0.4202333,0.70283324,0.58834296,0.4877338,0.7340573,0.6664713,0.51017916,0.79530406,0.7432802,0.44947183,0.651106,0.3584667,0.5806793,0.79873353,0.51462996,0.38400102,0.6338815,0.5526096,0.49431223,0.6296036,0.42716587,0.6935688,0.7070611,0.6772981,0.43979782,0.4519802,0.6328273,0.64305484,0.55246985,0.50248015,0.49435622,0.5560427,0.6053655,0.56553686,0.5913914,0.5464938,0.62940294,0.37257507,0.42535046,0.39396143,0.3988421,0.6550664,0.5897216,0.47979906,0.7547254,0.7227994,0.6865559,0.2802267,0.29617852,0.4346692,0.5819711,0.5228571,0.6641175,0.602898,0.6325272,0.43564168,0.4649287,0.5214983,0.46014324,0.49942946,0.69181347,0.29376295,0.6492043,0.32815152,0.5272667,0.42815897,0.7686141,0.5969085,0.44468084,0.8143505,0.6840717,0.7645613,0.5955836,0.4756713,0.73304516,0.5035837,0.6476675
EGR1,0.38817337,0.55689365,0.34415832,0.68941003,0.7253882,0.6745208,0.4082237,0.47394475,0.34069714,0.704808,0.66489714,0.55144805,0.18390651,0.3664566,0.36433882,0.5067742,0.4627082,0.49851787,0.4726208,0.6936679,0.5469783,0.79828966,0.55779964,0.32580236,0.6198168,0.65512794,0.44185665,0.75944376,0.7813709,0.57503176,0.3184376,0.7795724,0.6136928,0.58642405,0.6555811,0.4701344,0.49077412,0.3009073,0.67701876,0.7834338,0.79272854,0.61655134,0.33613688,0.44625968,0.5135105,0.49038208,0.46635887,0.5946784,0.5049964,0.59004694,0.5918874,0.41776586,0.70604813,0.5912612,0.4838577,0.7342431,0.66587555,0.51032,0.7967721,0.74584615,0.44784132,0.6553756,0.35749865,0.5865241,0.80066323,0.5139814,0.3839616,0.63444483,0.5501775,0.49091098,0.6291575,0.42440984,0.6938235,0.7074684,0.6797676,0.43804106,0.4574422,0.6288558,0.6461871,0.551423,0.5010146,0.49359235,0.55791056,0.6050741,0.56581736,0.59276354,0.54433924,0.62725806,0.37396368,0.42403054,0.39318478,0.39326778,0.65638113,0.5964842,0.47664768,0.75137633,0.7263306,0.6890608,0.2835316,0.2891311,0.43524218,0.58239365,0.52557737,0.6668742,0.6027095,0.63609713,0.43761176,0.46454507,0.51684326,0.45397523,0.503475,0.6871932,0.29064086,0.6531542,0.33073765,0.52557117,0.43041912,0.7699009,0.5938605,0.44420788,0.81608146,0.685194,0.76779723,0.5967464,0.4717018,0.734909,0.50017446,0.64627767
CLEC4B1,0.55870664,0.47612947,0.5586172,0.49509907,0.4796094,0.46332088,0.4899272,0.44317472,0.42536086,0.5195162,0.4841207,0.4851299,0.41334227,0.49730334,0.47122374,0.5290598,0.46306613,0.5773887,0.4807231,0.5178383,0.48954523,0.4969485,0.46319032,0.5418054,0.5442846,0.5008265,0.5390655,0.5314108,0.5351298,0.5136624,0.47063023,0.5130195,0.4880385,0.51278865,0.58263296,0.54180974,0.47869208,0.50775003,0.48864627,0.5692037,0.5372914,0.52146864,0.48727587,0.47961378,0.43870902,0.4614797,0.4873694,0.47390276,0.54398793,0.5191568,0.4825026,0.45935097,0.49273834,0.4667732,0.49624613,0.5094655,0.5133164,0.4686791,0.5185587,0.54009557,0.5856818,0.50364715,0.4789185,0.47859028,0.55475014,0.5254824,0.4615452,0.47386524,0.48870018,0.5323453,0.5206178,0.47984347,0.5469834,0.5249116,0.47631997,0.48250312,0.46336612,0.534297,0.5332667,0.5023666,0.56149536,0.48824003,0.5044249,0.46875757,0.53118986,0.5446444,0.4718946,0.5631742,0.514019,0.48529527,0.48160923,0.5125712,0.5253415,0.53768146,0.4803431,0.50026524,0.49503258,0.47639528,0.4585695,0.51019347,0.5450385,0.5157678,0.46223462,0.5058896,0.5347118,0.49887967,0.47151592,0.4625625,0.54752755,0.4931959,0.50087464,0.5226537,0.5048738,0.5324979,0.4805235,0.49745455,0.4946748,0.46494332,0.49153855,0.5185537,0.49428245,0.5006658,0.49771217,0.47132853,0.48853686,0.4828618,0.554843,0.5348063
SQSTM1,0.56261504,0.47718787,0.5563736,0.4992191,0.4799959,0.4644602,0.48474416,0.443487,0.42431483,0.51804495,0.48384407,0.4900687,0.41136774,0.5029519,0.47311002,0.5328159,0.46265507,0.5783039,0.48117727,0.5170514,0.4897947,0.4985437,0.46343243,0.5439468,0.54627377,0.4986945,0.54099643,0.5281965,0.5329455,0.51463497,0.46837994,0.51024306,0.48815632,0.5114874,0.58153754,0.5422872,0.48094046,0.5098442,0.4900971,0.5666891,0.53954464,0.5147532,0.4866901,0.47943807,0.44016272,0.45701316,0.4894537,0.47192854,0.54330945,0.5199724,0.48581904,0.4562839,0.4933101,0.46996498,0.49669147,0.5062235,0.5131905,0.46979895,0.5149782,0.5359523,0.588065,0.504335,0.48668084,0.4766313,0.558275,0.53466034,0.4659245,0.47857484,0.4847757,0.5369046,0.5172172,0.48209682,0.5475079,0.5220442,0.47613022,0.48406142,0.46472958,0.5368869,0.53362757,0.50308305,0.565337,0.49177355,0.49735075,0.46569672,0.5349024,0.54028654,0.4702024,0.56818444,0.5136611,0.4866222,0.48385122,0.5104968,0.5258423,0.5370044,0.48116755,0.49488258,0.49055704,0.47870335,0.4653253,0.5159004,0.5480817,0.51916534,0.46312547,0.5075434,0.5302742,0.49902907,0.46933874,0.46318528,0.54897493,0.49556646,0.5093762,0.51289284,0.5095576,0.52782714,0.48391566,0.4927844,0.4980662,0.4654875,0.48862702,0.5192108,0.48529676,0.49670392,0.49651134,0.4683539,0.4819971,0.47715563,0.5554473,0.53682274
3110003A17RIK,0.54257184,0.48533383,0.53303206,0.5081279,0.49760795,0.48190194,0.48739612,0.44698083,0.42481905,0.5292762,0.5004144,0.49379492,0.40268072,0.49204573,0.46993443,0.5226756,0.4706161,0.5576508,0.4858783,0.52487093,0.4928789,0.51837987,0.47072977,0.52598846,0.5415707,0.50657785,0.528268,0.5401208,0.5507723,0.51770866,0.4592318,0.5264094,0.49914625,0.51662195,0.57527137,0.5359162,0.48411012,0.49445447,0.49915648,0.57223827,0.5589229,0.51713717,0.48722097,0.48338506,0.4527881,0.46102783,0.48773983,0.48288152,0.5363099,0.5117583,0.49594146,0.46110603,0.5000895,0.48218334,0.49870148,0.5169253,0.52045774,0.47821966,0.5249563,0.5517867,0.567046,0.5162493,0.4858798,0.48879045,0.56057996,0.53022933,0.4602085,0.48404232,0.49672258,0.5284046,0.518201,0.4840146,0.54536253,0.5283522,0.4970272,0.48448837,0.47256675,0.53839386,0.54004425,0.50365245,0.55732524,0.49950576,0.5037571,0.47698557,0.5290606,0.53067166,0.47241676,0.5584623,0.50179094,0.48875877,0.47845054,0.50333905,0.5243919,0.53650564,0.4859995,0.50256455,0.5047988,0.49269307,0.46013853,0.49302247,0.5346339,0.52109873,0.4766494,0.514023,0.53255916,0.50941324,0.46935955,0.46609002,0.5459649,0.49268305,0.5097118,0.52630323,0.49441147,0.53294855,0.4780944,0.50277126,0.49197254,0.4866195,0.50042635,0.5138163,0.5086531,0.51085764,0.5086551,0.47765535,0.48878232,0.4951912,0.5457675,0.5412757
SERTAD2,0.4213126,0.5931178,0.32632366,0.6718992,0.70485157,0.6106003,0.41939655,0.4799011,0.36999914,0.65601957,0.6378042,0.5591761,0.2659389,0.43947926,0.43187886,0.5242454,0.5187249,0.47511885,0.49869925,0.64908105,0.516475,0.76233494,0.55849516,0.38635772,0.5774168,0.60195196,0.48343256,0.6939128,0.72840416,0.5603034,0.31958833,0.7406072,0.61338377,0.5607478,0.61609286,0.48084062,0.5212987,0.3347594,0.6587703,0.7236119,0.764167,0.5934818,0.4024411,0.47913393,0.5195785,0.47475636,0.47541767,0.58551985,0.49216223,0.5613139,0.5873942,0.42119968,0.67152673,0.5938028,0.48082247,0.68560904,0.6417126,0.52811724,0.7173787,0.7124797,0.47230536,0.62500376,0.4378374,0.6004895,0.7207147,0.55263406,0.43924683,0.64725935,0.5046522,0.5001,0.5702516,0.45859656,0.6409074,0.64507556,0.67201936,0.47394755,0.4895971,0.637888,0.6103907,0.5132612,0.50061107,0.55009145,0.51893026,0.5449874,0.5588248,0.5560271,0.52660584,0.57412577,0.40710887,0.47001848,0.40836,0.43479744,0.6241755,0.5875819,0.5143564,0.6617643,0.6587024,0.6530598,0.3731442,0.3176831,0.42981473,0.5510092,0.5127943,0.58972573,0.5840245,0.60866994,0.42190933,0.48877245,0.4864802,0.49745804,0.53453946,0.6082334,0.34927833,0.57636875,0.3851539,0.5006882,0.4613707,0.75444925,0.6021563,0.47576606,0.73633784,0.6382981,0.7182894,0.5972569,0.4682163,0.6509185,0.475375,0.6456391
GNG5,0.5332326,0.4873257,0.5282881,0.5040098,0.50417477,0.48794636,0.48360604,0.4485426,0.41826227,0.532926,0.506981,0.4861105,0.39315373,0.47886774,0.4700238,0.51596844,0.47040194,0.5499996,0.48597282,0.52636504,0.48925662,0.52440983,0.4748643,0.51783293,0.54482234,0.50724024,0.5224068,0.54679596,0.5619598,0.52375054,0.45324522,0.53082997,0.5038996,0.51700073,0.58029866,0.5331942,0.48453802,0.4904159,0.5018524,0.57009506,0.56582093,0.5159912,0.48056787,0.48101884,0.45503926,0.47502714,0.4811617,0.48347253,0.5363526,0.5060119,0.49984783,0.46287748,0.51156753,0.4838552,0.49661964,0.51803946,0.52137136,0.4782978,0.5387605,0.56357867,0.5587053,0.52551675,0.48033968,0.48971263,0.5708502,0.5194862,0.4445144,0.47901136,0.5102552,0.5217345,0.523737,0.47455114,0.5479758,0.5331409,0.49709797,0.48872346,0.46868885,0.5317597,0.5385919,0.51068664,0.55156034,0.4970497,0.5111312,0.48469716,0.5314771,0.5319276,0.47010258,0.5528678,0.49590042,0.47896695,0.4723839,0.4995568,0.51977605,0.54525465,0.48498237,0.51213455,0.51337427,0.49496037,0.44419116,0.4784441,0.5262356,0.51632607,0.47687668,0.5154153,0.52776545,0.51282346,0.4770087,0.46631792,0.5424488,0.49042737,0.50661546,0.54147446,0.47831428,0.5465593,0.46928865,0.5068296,0.4864485,0.48940802,0.5125612,0.5141021,0.52251357,0.5224323,0.50813323,0.47906864,0.49548614,0.5070371,0.5444716,0.54950863
