,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
IL1B,0.0,0.39462197,0.0,0.2425547,0.020363305,0.0,0.0,0.16567987,0.0,0.0,0.0,0.0,0.0,0.14104,0.0,0.0,0.0,0.0,0.0,0.0008950401,0.0,0.055284858,0.15825112,0.0,0.04106752,0.0049522556,0.039990816,0.095635064,0.0,0.20754604,0.0,0.04287558,0.0,0.0,0.032817066,0.0,0.0041533373,0.0,0.0,0.0,0.098446585,0.0,0.0,0.0,0.0,0.12858476,0.0,0.09739079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2261196,0.0,0.0,0.2398133,0.16701098,0.0,0.3521089,0.0,0.09162931,0.11041875,0.0,0.0,0.0,0.30836156,0.0,0.05282548,0.054022063,0.0,0.0,0.0,0.0,0.0,0.038080037,0.0,0.0,0.0,0.03212473,0.20492935,0.011364244,0.0,0.049704675,0.0,0.0,0.0,0.0,0.05895234,0.0,0.18884012,0.28148064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06577083,0.25087106,0.0,0.18996942,0.0,0.20831081,0.28645697,0.16450551,0.07196398,0.0,0.18471363,0.0,0.006744278,0.0,0.0,0.0,0.0,0.29950842,0.0,0.3908944,0.40856698,0.0,0.02157569
CLEC4E,0.0,0.19614026,0.0,0.22512946,0.017332884,0.0,0.0,0.23357397,0.08671475,0.0,0.0,0.0,0.0,0.05663176,0.0,0.0,0.0,0.0,0.0,0.07883394,0.04999953,0.04573732,0.13739888,0.0,0.028507888,0.0,0.0,0.20023131,0.007988455,0.117886014,0.0,0.0,0.024849553,0.0,0.044468664,0.0,0.0,0.0,0.0,0.0,0.15265441,0.0,0.0,0.0,0.107034445,0.04076817,0.0,0.0037165731,0.0,0.0,0.0,0.0,0.11562051,0.0,0.0,0.2466028,0.0,0.0,0.26577783,0.15074287,0.0,0.2330691,0.0,0.2210949,0.19176948,0.09422994,0.0,0.0,0.17620037,0.0,0.0028156806,0.0,0.12969735,0.0,0.0532546,0.0,0.0,0.0,0.0,0.0,0.0,0.018882178,0.07882171,0.10462542,0.0,0.022236314,0.0,0.0,0.0,0.0,0.058085628,0.0,0.22189295,0.21181327,0.0,0.021841083,0.109421976,0.17208111,0.0,0.0,0.0,0.0,0.0,0.10020554,0.0,0.16357574,0.15756705,0.0,0.12835601,0.0,0.13069786,0.16939276,0.17796054,0.11897097,0.0,0.14732909,0.0,0.11566213,0.0,0.0,0.0,0.0,0.26849952,0.0,0.15891384,0.17671788,0.0,0.0
DBI,0.0,0.22587141,0.0,0.23306027,0.07405062,0.0,0.0,0.19916946,0.0,0.0,0.0,0.0,0.0,0.061622635,0.0,0.0,0.0,0.0,0.0,0.15550359,0.024688248,0.0,0.17148976,0.0,0.0,0.0,0.0,0.11262099,0.0,0.21211149,0.0,0.0,0.007354956,0.0,0.07883167,0.0,0.0,0.0,0.0,0.0,0.1223237,0.0,0.0,0.0,0.023731269,0.065458484,0.0,0.11855985,0.0,0.0,0.0,0.0,0.03354626,0.0,0.0,0.28122798,0.0,0.0,0.2843976,0.13554189,0.0,0.23394442,0.0,0.19121745,0.099956155,0.040880345,0.0,0.0,0.2129112,0.0,0.06460185,0.0,0.1658856,0.0,0.10163765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15848672,0.042812027,0.0,0.0,0.0,0.0,0.0,0.0,0.061539307,0.0,0.2426885,0.17141238,0.0,0.050982654,0.059560455,0.1284355,0.0,0.0,0.0,0.0,0.0,0.12117628,0.0,0.0030842498,0.2444933,0.0,0.14359766,0.0,0.18822114,0.19676705,0.105022974,0.03643167,0.0,0.17480528,0.0,0.22240318,0.0,0.0,0.0,0.0,0.26852384,0.0,0.32670772,0.27749318,0.0,0.0
RBL2,0.0,0.0,0.0,2.0215902,0.0,0.3888891,0.0,0.8057035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.163107,0.77643806,1.3032558,1.0017122,0.0,0.0,0.0,0.22647503,1.0625516,2.0524383,1.4232649,0.0,0.0,0.0,0.0,0.29516026,0.0,0.0,0.0,0.10449779,0.8316209,0.773266,0.0,0.0,0.0,0.55980694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0382382,0.0,0.6176085,2.9612813,0.0,0.0,2.30466,1.5840809,0.0,0.0,0.0,2.012784,0.7491309,1.0221115,0.0,0.0,1.0353068,0.0,0.0,0.0,1.3020447,0.17357002,1.2610761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75653845,0.94030744,0.0,0.0,0.0,0.0,0.0,0.0,0.89034796,0.0,1.8902626,0.6659254,0.0,1.3076868,2.6813958,2.9789748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24118352,0.92928773,0.0,0.69504184,0.0,0.12324598,0.046189044,0.0,0.0,0.0,0.23706168,0.0,3.1485188,0.0,0.0,0.0,0.0,2.2881193,0.0,1.3212302,0.0,0.0,0.0
EGR1,0.0,0.0,0.0,2.0345592,0.0,0.4314997,0.0,0.7657559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2065966,0.88695955,1.272242,0.97787887,0.0,0.0,0.0,0.25767872,1.0841005,2.0688703,1.388698,0.0,0.0,0.0,0.0,0.3053996,0.0,0.0,0.0,0.109471455,0.83624274,0.8186101,0.0,0.0,0.0,0.5366269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9805025,0.0,0.54481304,2.9054806,0.0,0.0,2.344752,1.6392611,0.0,0.0,0.0,2.0030837,0.7379953,1.0989976,0.0,0.0,1.0490063,0.0,0.0,0.0,1.4046113,0.18896793,1.1901449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80958635,0.9955181,0.0,0.0,0.0,0.0,0.0,0.0,0.86191654,0.0,1.9711332,0.7222067,0.0,1.3569552,2.7060685,2.9862278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15545607,0.93859226,0.0,0.7149772,0.0,0.124741815,0.0,0.0,0.0,0.0,0.24101263,0.0,3.1459162,0.0,0.0,0.0,0.0,2.2812686,0.0,1.2275256,0.0,0.0,0.0
CLEC4B1,0.0,0.14173648,0.0,0.20856729,0.05215292,0.0,0.0,0.17911024,0.0,0.0,0.0,0.0,0.0,0.077827126,0.0,0.0,0.0,0.0,0.0,0.14055572,0.006420169,0.0,0.10641463,0.0,0.0,0.0,0.0,0.12605506,0.09283606,0.20027715,0.0,0.0,0.0,0.0,0.02670076,0.0,0.0,0.0,0.0,0.0,0.13331378,0.0,0.0,0.0,0.0,0.062026307,0.0,0.1343765,0.0,0.0,0.0,0.0,0.056091085,0.0,0.0,0.22966526,0.0,0.0,0.2332902,0.09508051,0.0,0.1798469,0.0,0.12225947,0.096292734,0.0049182884,0.0,0.0,0.22120167,0.0,0.043936677,0.0,0.14262518,0.0,0.08000168,0.0,0.0,0.0,0.0,0.0,0.0,0.031061318,0.12516299,0.034383833,0.0,0.0,0.0,0.0,0.0,0.0,0.048909694,0.0,0.162054,0.091021016,0.0,0.049563654,0.035885107,0.1413613,0.0,0.0,0.0,0.0,0.0,0.07908736,0.0,0.014549501,0.18366101,0.0,0.10486871,0.0,0.15636702,0.15713575,0.092597306,0.027662024,0.0,0.14702523,0.0,0.18508844,0.0,0.0,0.0,0.0,0.15311474,0.0,0.3086387,0.26180318,0.0,0.0
SQSTM1,0.0,0.25162113,0.0,0.17731711,0.035110254,0.0,0.0,0.15562955,0.02834946,0.0,0.0,0.0,0.0,0.0181626,0.0,0.0,0.0,0.0,0.0,0.06185694,0.05363257,0.0,0.15172976,0.0,0.0,0.0,0.0017447879,0.10859858,0.0,0.11669161,0.0,0.0,0.0,0.0,0.045390397,0.0,0.0,0.0,0.0,0.0,0.057214737,0.0,0.0,0.0,0.04245075,0.044583306,0.0,0.099566326,0.0,0.0,0.0,0.0,0.0329509,0.0,0.0,0.22219619,0.0,0.0,0.24578986,0.13367267,0.0,0.18665172,0.0,0.1380122,0.11134184,0.012192866,0.0,0.0,0.13577966,0.0,0.03612841,0.0,0.10422378,0.0,0.07372015,0.0,0.0,0.0,0.0,0.0,0.0,0.0035132207,0.10021695,0.04972467,0.0,0.0003845021,0.0,0.0,0.0,0.0,0.05762302,0.0,0.21326828,0.16343972,0.0,0.00963149,0.081377245,0.10394017,0.0,0.0,0.0,0.0,0.0,0.076983534,0.0,0.06358202,0.15473992,0.0,0.12495501,0.0,0.11216243,0.16713229,0.089092396,0.038314596,0.0,0.1343514,0.0,0.10791175,0.0,0.0,0.0,0.0,0.20461395,0.0,0.2245224,0.2275553,0.0,0.0
3110003A17RIK,0.0,0.15865429,0.0,0.24858814,0.03216847,0.0,0.0,0.23259312,0.031175174,0.0,0.0,0.0,0.0,0.04417172,0.0,0.0,0.0,0.0,0.0,0.16291821,0.09772296,0.0,0.19077359,0.0,0.0,0.0,0.0,0.16746223,0.029035645,0.12527426,0.0,0.0,0.031800166,0.0,0.040984243,0.0,0.0,0.0,0.0,0.0,0.14544886,0.0,0.0,0.0,0.10246646,0.04186572,0.0,0.05734796,0.0,0.0,0.0,0.0,0.1125613,0.0,0.0,0.30344027,0.0,0.0,0.28901717,0.13339524,0.0,0.1654358,0.0,0.27156678,0.17525497,0.065818086,0.0,0.0,0.149017,0.0,0.048638165,0.0,0.20599212,0.0,0.16026227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09021879,0.094113074,0.0,0.0,0.0,0.0,0.0,0.0,0.067569144,0.0,0.2781868,0.2100829,0.0,0.08499672,0.17532943,0.20611459,0.0,0.0,0.0,0.0,0.0,0.1712633,0.0,0.113711156,0.18100333,0.0,0.14336723,0.0,0.12301532,0.13139202,0.12083974,0.05853703,0.0,0.1438719,0.0,0.26077345,0.0,0.0,0.0,0.0,0.29764992,0.0,0.1876546,0.16916466,0.0,0.0
SERTAD2,0.0,0.0,0.0,1.2898214,0.0,0.99146926,0.0,0.5801705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18257362,0.0,0.0,0.0,0.85630417,1.022353,0.7020319,0.6862127,0.0,0.0,0.0,0.02963736,0.84058994,1.1444035,0.48272264,0.0,0.0,0.0,0.0,0.15091239,0.0,0.0,0.0,0.15756898,0.8299041,0.4452492,0.0,0.0,0.0,0.8492538,0.0,0.0,0.0,0.0,0.0,0.0,0.76943594,0.8790496,0.0,0.19039258,1.9057314,0.0,0.0,1.6770029,1.5653969,0.0,0.0,0.0,1.3456678,0.8275073,1.142371,0.0,0.0,0.24464126,0.0,0.0,0.0,1.0343362,0.24205682,0.94956005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12910193,0.95528996,0.48431215,0.0,0.0,0.0,0.0,0.0,0.51924497,0.0,1.3858283,0.41107732,0.0,1.1424998,2.1899877,2.5749445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40503848,0.46733153,0.0,0.2452513,0.0,0.00802999,0.0,0.0,0.0,0.0,0.0,0.0,2.260474,0.0,0.0,0.0,0.42935202,1.8359239,0.0,0.3208683,0.0,0.0,0.0
GNG5,0.0,0.22424792,0.0,0.33018467,0.05255028,0.0,0.0,0.27701834,0.0,0.0,0.0,0.0,0.0,0.083152205,0.0,0.0,0.0,0.0,0.0,0.20810945,0.05958757,0.0,0.2453308,0.0,0.011630289,0.0,0.0,0.16839701,0.0027946811,0.23947595,0.0,0.0,0.029199142,0.0,0.08882853,0.0,0.0,0.0,0.0,0.0,0.16208705,0.0,0.0,0.0,0.052539043,0.07133397,0.0,0.08631933,0.0,0.0,0.0,0.0,0.109500304,0.0,0.0,0.3963134,0.0,0.0,0.39071268,0.1853413,0.0,0.23944864,0.0,0.3040808,0.17146993,0.06027215,0.0,0.0,0.21265955,0.0,0.09397662,0.0,0.24173163,0.0,0.16469476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17888728,0.060228728,0.0,0.0,0.0,0.0,0.0,0.0,0.073238395,0.0,0.36291015,0.22620381,0.0,0.08239662,0.13176537,0.21613356,0.0,0.0,0.0,0.0,0.0,0.1949045,0.0,0.08327619,0.284239,0.0,0.21153066,0.0,0.23018384,0.21107581,0.13324574,0.04802692,0.0,0.23634988,0.0,0.30189246,0.0,0.0,0.0,0.0,0.39547983,0.0,0.34514672,0.2719492,0.0,0.0
