,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
IL1B,-0.053876966,0.089926824,0.08154432,-0.07324497,0.063764244,0.081027105,0.043283,0.08584781,-0.084337406,-0.04749327,-0.08927477,0.079917915,0.02992601,-0.10211745,-0.09295763,-0.032644898,-0.013633508,-0.08232138,0.061732814,0.06802124,-0.070626475,-0.07324477,-0.09249618,-0.07656495,-0.03242266,-0.07780853,-0.050107095,-0.06848726,0.07846804,0.06547743,0.06992385,0.06956843,-0.07454511,-0.08828182,0.07898446,0.048652172,0.088956594,0.09314889,0.048525468,0.057609264,0.08648862,-0.07784491,0.07383995,-0.09306371,-0.014835313,-0.08486171,0.037159227,0.10218049,0.060512662,-0.08755885,0.027416937,-0.07669804,0.07268239,-0.04901468,-0.09417106,0.09650738,0.072834305,-0.09438589,-0.082769156,-0.08779403,0.057683587,0.10607168,0.0073506776,0.06447153
CLEC4E,-0.031577848,0.038887486,0.028662287,-0.040931843,0.031493973,0.039707083,0.02484907,0.036245227,-0.0436737,-0.009975858,-0.05393444,0.039451055,0.0058834106,-0.07574938,-0.07472937,-0.03233978,-0.015728131,-0.046394654,0.036609627,0.037239984,-0.023540296,-0.046618424,-0.062680624,-0.04270859,-0.028554633,-0.035804216,-0.0077774636,-0.039846577,0.04103303,0.009443102,0.054238826,0.04631588,-0.028649136,-0.05730988,0.055239618,0.009685233,0.040418863,0.056699846,0.01923643,0.02158225,0.04908225,-0.040226094,0.042952247,-0.05964564,0.004724037,-0.059405163,0.026517946,0.056565024,0.038858935,-0.04515681,0.022605367,-0.041961648,0.046228338,-0.02505964,-0.060003243,0.064855434,0.042316794,-0.058775723,-0.048710946,-0.052363824,0.015534788,0.049941838,0.0048131207,0.02180627
DBI,-0.047323786,0.058331188,0.043796115,-0.056595057,0.037376445,0.056761183,0.03223101,0.055826664,-0.06036857,-0.027782291,-0.0648144,0.052339584,0.024709664,-0.084347904,-0.080159836,-0.03157401,-0.01772336,-0.050701283,0.04665544,0.048735194,-0.045587346,-0.0604883,-0.066192016,-0.057820044,-0.029007569,-0.05037692,-0.028666172,-0.045621797,0.05368936,0.027582219,0.056851767,0.054565385,-0.05219064,-0.06680139,0.06355387,0.029898956,0.05551158,0.07433596,0.03935156,0.03813872,0.059846126,-0.055081308,0.052606046,-0.062828936,-0.0005284883,-0.064475164,0.025191376,0.06889049,0.050986845,-0.063683584,0.015835188,-0.05310688,0.055392664,-0.031718522,-0.077405974,0.07675579,0.053590953,-0.06969741,-0.057563625,-0.061483506,0.03193129,0.07370735,-0.00096651725,0.04379714
RBL2,0.062345993,-0.09368406,-0.12067586,0.116280414,-0.073190704,-0.047779713,-0.0848049,-0.123736575,0.1533154,0.087037034,0.120025486,-0.18376663,-0.03250506,0.18604837,0.15022378,0.109230705,0.07575924,0.15781648,-0.10428051,-0.13801418,0.1266189,0.065996885,0.107634574,0.14481652,0.06267427,0.08999829,0.031803664,0.16200085,-0.13886288,-0.08901813,-0.08796618,-0.14278743,0.13546377,0.0759314,-0.11994613,-0.07824023,-0.11840523,-0.10829727,-0.11071035,-0.12643254,-0.15407765,0.098503694,-0.08728357,0.15273315,0.07238126,0.11347828,-0.10210262,-0.16146138,-0.109466314,0.1338005,-0.103005886,0.14873627,-0.11242381,0.046940666,0.13093424,-0.12150069,-0.1232473,0.1165871,0.070561,0.15502456,-0.09128544,-0.109477855,-0.07043172,-0.108789325
EGR1,0.060394943,-0.09633973,-0.12315011,0.117830716,-0.08083907,-0.044580664,-0.08738177,-0.122476235,0.1538787,0.08802376,0.11950029,-0.18302825,-0.036129057,0.19233193,0.14949602,0.10547628,0.07387423,0.15424164,-0.1063744,-0.1403836,0.12955311,0.064850524,0.10903123,0.14880612,0.06126033,0.09128906,0.031036612,0.16391051,-0.14084819,-0.09100397,-0.090408176,-0.14736983,0.13904534,0.07659867,-0.12214517,-0.08374738,-0.121876806,-0.11550487,-0.11237237,-0.12864898,-0.15344721,0.10210945,-0.092153504,0.15568204,0.0781886,0.11346043,-0.105703786,-0.1697362,-0.114642575,0.13309647,-0.09370208,0.15092126,-0.11553812,0.05473207,0.12876159,-0.12098541,-0.12023247,0.12097085,0.07212866,0.15622751,-0.09248154,-0.112590805,-0.06521215,-0.11149618
CLEC4B1,-0.05878775,0.073730856,0.055616327,-0.07771473,0.058179583,0.078518,0.04302521,0.07110344,-0.07144814,-0.04629209,-0.069443285,0.07263542,0.029780418,-0.09506556,-0.08965282,-0.033153344,-0.028939346,-0.06363973,0.054825783,0.05890134,-0.060311142,-0.077659905,-0.071741566,-0.07493987,-0.033075303,-0.06055928,-0.038770434,-0.050094493,0.06727581,0.040832415,0.069506735,0.06851249,-0.074587665,-0.0817464,0.083693646,0.037753552,0.07863784,0.098974004,0.048309974,0.047818515,0.07643195,-0.07603329,0.066590756,-0.07149752,-0.009800084,-0.07223989,0.037116982,0.08195538,0.0677437,-0.073794454,0.008567154,-0.061583325,0.063395455,-0.04133323,-0.093640596,0.09069768,0.07228373,-0.08707532,-0.06394934,-0.07010826,0.046236455,0.080780625,-0.0028676782,0.05946086
SQSTM1,-0.058982626,0.07586807,0.060938008,-0.07956143,0.05459484,0.07547635,0.039567083,0.08021496,-0.08054211,-0.04399047,-0.08202088,0.06970961,0.028480567,-0.1012236,-0.09546235,-0.039980724,-0.026699945,-0.07314686,0.05912745,0.0671248,-0.06695992,-0.07727115,-0.081334636,-0.07611251,-0.0396925,-0.0682023,-0.043171655,-0.060441874,0.07716158,0.053866103,0.07799239,0.0769962,-0.06785037,-0.084691055,0.088377275,0.049069896,0.075692296,0.09895624,0.05198034,0.051281486,0.083917916,-0.074311994,0.07120564,-0.084387615,-0.012355536,-0.080533236,0.04213207,0.09454801,0.066872366,-0.07724686,0.01622368,-0.06968331,0.0681507,-0.04820025,-0.09818771,0.099097624,0.07179749,-0.095984414,-0.06868498,-0.07846105,0.05015561,0.10089259,0.0025775041,0.05910855
3110003A17RIK,-0.029076237,0.024642099,0.011639439,-0.03049124,0.02012144,0.030325145,0.014138371,0.025932238,-0.03186356,0.0016931891,-0.04648751,0.022792056,0.0049068183,-0.063868664,-0.06493777,-0.02922605,-0.009904813,-0.027674241,0.027293455,0.02455493,-0.016396675,-0.04110518,-0.04892705,-0.034001626,-0.020098835,-0.028640237,-0.00018849596,-0.030183358,0.032271758,-0.002286708,0.04188008,0.037982427,-0.016975619,-0.044231404,0.04258702,0.004147589,0.018760487,0.039928433,0.020743191,0.013571419,0.036786467,-0.025601208,0.02948007,-0.04251283,0.00998665,-0.04639571,0.018660573,0.03682723,0.029340968,-0.036399145,0.016472615,-0.029796667,0.042123448,-0.015437789,-0.051420152,0.056687627,0.03195992,-0.047203146,-0.036179565,-0.037543178,0.00980885,0.038153037,8.668378e-05,0.009514879
SERTAD2,0.14542049,-0.21785866,-0.22532788,0.2084113,-0.15369512,-0.13225563,-0.074653655,-0.20187947,0.20566937,0.18665466,0.1710261,-0.16938025,-0.12632169,0.18748796,0.09764537,0.038766228,0.092465095,0.20053786,-0.15424894,-0.20716679,0.19703194,0.1628426,0.099089086,0.16776237,0.04117799,0.19666316,0.17872965,0.1677152,-0.13722974,-0.21107695,-0.14838341,-0.14367703,0.23898125,0.113253705,-0.15244035,-0.17593192,-0.21781313,-0.14428243,-0.18340556,-0.19928353,-0.17810613,0.19225386,-0.18089804,0.11245694,0.14083077,0.10313407,-0.12332764,-0.22076127,-0.16723332,0.17154816,0.022135645,0.20014244,-0.089824766,0.18438724,0.17103389,-0.17474452,-0.1369468,0.18160376,0.15059978,0.17303804,-0.13860996,-0.17324506,-0.04943066,-0.23608567
GNG5,-0.023043126,0.01930319,0.010115586,-0.012471363,0.009061411,0.019797627,0.008982144,0.014842145,-0.022338014,0.008889116,-0.040530607,0.010834798,0.0067559406,-0.051451076,-0.054395225,-0.022070058,0.0010553673,-0.017466595,0.021193948,0.015075576,-0.004438647,-0.026224226,-0.044426538,-0.019079149,-0.012981892,-0.02227287,0.00063805655,-0.023196718,0.019181877,-0.011323275,0.029789498,0.022142546,-0.006260231,-0.033901013,0.02229703,-0.0037487745,0.006701261,0.023241546,0.010492109,0.008802377,0.019050919,-0.010278955,0.021621421,-0.0331386,0.014563601,-0.04041944,0.0055082105,0.025426462,0.018726584,-0.03168181,0.018970355,-0.02559334,0.034412734,-0.0058642775,-0.03975295,0.042337067,0.015080273,-0.027936129,-0.033965692,-0.03404622,0.0013147406,0.031078547,-0.00018657558,0.004628744
