,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
TFAP4,0.45912948,0.5809591,0.57594895,0.5677445,0.6123449,0.5312736,0.4461007,0.5826922,0.34886068,0.5591725,0.5905677,0.5572883,0.5706777,0.55187356,0.4566021,0.608042,0.55157864,0.51921284,0.51670396,0.48292217,0.5555857,0.56681377,0.425081,0.49797818,0.48602828,0.54843676,0.54742897,0.541155,0.5145264,0.542041,0.49850008,0.46320617,0.47571588,0.4712243,0.5283029,0.4385064,0.4672148,0.55940926,0.520548,0.59516335,0.49544,0.48640874,0.45803955,0.4435082,0.56459886,0.45022136,0.5484402,0.47495368,0.65635765,0.58793104,0.3899926,0.48311046,0.51522344,0.48465475,0.39806965,0.5440763,0.6204956,0.4655152,0.4542883,0.5232352,0.5371372,0.40512598,0.43016517,0.51708573,0.5471673,0.4936995,0.4238242,0.56667304,0.46167842,0.4587928,0.5134246,0.4731667,0.3901504,0.503344,0.5716609,0.5623449,0.52939194,0.4487721,0.44877788,0.41895136,0.54562,0.4408359,0.53351635,0.4394156,0.48954967,0.47521558,0.58605987,0.43625864,0.43475315,0.49588388,0.59621507,0.5273688,0.4547096,0.57735705,0.4653299,0.57733107,0.41666424,0.5207226,0.4099743,0.52417743,0.5252535,0.5630294,0.45486107,0.54295415,0.36051357,0.5416241,0.43969688,0.46818367,0.473014,0.47331676,0.6292247,0.47934625,0.60073185,0.5687959,0.40947825,0.5475023,0.56302714,0.42865774,0.4775279,0.42278865,0.50360376,0.49726075,0.45086876,0.5001964,0.5435235,0.44440833,0.5802481,0.58067167
SERPINB6C,0.4845177,0.5478778,0.5139153,0.5343775,0.58365226,0.5139197,0.49623087,0.57864255,0.40889618,0.55297905,0.53282255,0.5559802,0.53684515,0.5351187,0.47376296,0.54318666,0.53139555,0.5224055,0.46318448,0.4644967,0.5209759,0.52210414,0.46915805,0.49536243,0.506678,0.5197877,0.55365175,0.48665598,0.5004595,0.48169774,0.45249644,0.47139257,0.48233804,0.48665047,0.53304833,0.4749776,0.46862873,0.52116513,0.48801723,0.5350088,0.52198035,0.5068647,0.48596948,0.44239813,0.53547186,0.47377703,0.5223381,0.45629233,0.5690875,0.5349464,0.48297182,0.47376937,0.51224434,0.4954255,0.4611995,0.5659954,0.55388296,0.48633683,0.46048942,0.5057401,0.5148328,0.45205346,0.4746697,0.48999304,0.48791593,0.48241708,0.52563304,0.5050001,0.45555392,0.48660642,0.5017488,0.48173714,0.42005366,0.5242361,0.51159066,0.5443605,0.5073884,0.4785385,0.4861734,0.43977705,0.5037438,0.50422674,0.5219869,0.51380706,0.49348712,0.49659058,0.51820713,0.5026374,0.43423954,0.5001503,0.5403459,0.51394874,0.48043975,0.5324856,0.4768703,0.5805969,0.4895458,0.4766027,0.4576623,0.47987223,0.4920492,0.54106146,0.45978364,0.5272067,0.43041715,0.5116767,0.47348848,0.49910206,0.49686354,0.50420713,0.60840225,0.5295496,0.5685024,0.5053006,0.4527177,0.54309636,0.510527,0.50085855,0.48040923,0.4637951,0.51358235,0.49502322,0.48851582,0.5129381,0.5339466,0.4461736,0.5378223,0.5502027
TSPAN4,0.49571317,0.53566754,0.4948859,0.5037439,0.5744059,0.49924678,0.5180858,0.5984342,0.44225445,0.56132185,0.4926728,0.5741982,0.50796455,0.5330382,0.48458186,0.5347382,0.5176994,0.5242045,0.44145527,0.4474663,0.5061555,0.51710796,0.47287545,0.49073762,0.5154379,0.51015854,0.5823361,0.46774322,0.50972646,0.46249038,0.44891447,0.46004763,0.4906142,0.50555557,0.5531977,0.4961289,0.47523794,0.49224553,0.4997517,0.5182568,0.52201307,0.489358,0.49280196,0.43103808,0.55044293,0.46567976,0.5024655,0.4544097,0.5479341,0.4966203,0.49152538,0.47989747,0.513213,0.5041552,0.4456842,0.57695735,0.535048,0.49588096,0.4561908,0.4932822,0.5069478,0.45775527,0.49356818,0.47969496,0.4623077,0.47577775,0.5645137,0.49095407,0.4625605,0.49857417,0.5287574,0.49537405,0.42400554,0.52000046,0.50902647,0.53930724,0.47361177,0.49691507,0.505248,0.44405332,0.48560834,0.5121694,0.5150621,0.5417711,0.4977632,0.48917216,0.50944245,0.5305292,0.42854345,0.5037428,0.49578273,0.49840897,0.46005198,0.5040675,0.4977948,0.58293813,0.509916,0.46845517,0.4654281,0.45438012,0.48277736,0.5557287,0.44341704,0.51890326,0.41388026,0.50549805,0.47468856,0.5086084,0.516496,0.52773106,0.588892,0.53705704,0.5689624,0.46765602,0.47394785,0.54467994,0.50298584,0.52471906,0.49625987,0.47518122,0.5497483,0.50355333,0.49877355,0.5292702,0.5176471,0.44812232,0.5280305,0.5422867
HTT,0.44923687,0.674108,0.70071745,0.7406955,0.7557856,0.547273,0.32853737,0.5631251,0.16428469,0.6248181,0.77418876,0.6292526,0.7027933,0.5571633,0.35234815,0.73207223,0.7044143,0.4659821,0.5415534,0.42384413,0.6634452,0.65843254,0.3070257,0.5481145,0.43045682,0.62146914,0.55314714,0.6509901,0.5014796,0.57061315,0.49780342,0.42403474,0.40342644,0.40070108,0.4923077,0.32897222,0.42076832,0.68972063,0.56976044,0.71846753,0.47162664,0.54200953,0.36214873,0.39459592,0.5243066,0.39145812,0.6705376,0.49423388,0.83044565,0.70638853,0.27859643,0.49048707,0.50923955,0.39172,0.2847543,0.5937822,0.75974894,0.36002973,0.40147683,0.6164257,0.58873016,0.29936004,0.27306113,0.61277026,0.66836196,0.5351313,0.2230776,0.67938346,0.46174365,0.37936252,0.5019712,0.43277693,0.23986268,0.53827286,0.69143414,0.70266575,0.7242454,0.38528433,0.3324554,0.35124665,0.6525652,0.3413822,0.61912197,0.2569979,0.44784787,0.4856794,0.67634517,0.318748,0.35703465,0.46573696,0.7669027,0.64215904,0.3831022,0.6894519,0.38489747,0.64448357,0.2781732,0.622989,0.2609309,0.654143,0.59621626,0.68918,0.42320672,0.6036898,0.24667187,0.58101946,0.35681224,0.38300866,0.38922513,0.3844845,0.80818003,0.37663314,0.7156056,0.70117193,0.2659018,0.63891816,0.663449,0.30597633,0.45962337,0.30197722,0.38230175,0.45396498,0.36423233,0.45035994,0.63781434,0.41805258,0.7022638,0.66158056
TCEA3,0.4622659,0.71354204,0.72181875,0.8027222,0.81014425,0.5346871,0.30280122,0.53173715,0.1108894,0.6656967,0.82297033,0.67833364,0.7321159,0.57286376,0.32712823,0.79866815,0.78004915,0.48502672,0.5495086,0.39011526,0.69001263,0.6877459,0.25902575,0.58700347,0.40975037,0.65751296,0.56876,0.7036314,0.48781982,0.56297415,0.51428926,0.4043908,0.3467172,0.3834004,0.51665694,0.29600152,0.40323034,0.7506678,0.57617575,0.75327104,0.48747554,0.55077606,0.31286743,0.33477512,0.51000136,0.3904442,0.722118,0.48711878,0.89262354,0.7567329,0.24195637,0.490787,0.5073624,0.34579495,0.23846546,0.621938,0.8241064,0.3104377,0.36963958,0.65792054,0.59868526,0.25941303,0.21926585,0.6535066,0.7045929,0.58365864,0.15167284,0.7168474,0.44759357,0.33612934,0.5142604,0.3967808,0.1791691,0.5488312,0.76092213,0.7712557,0.80027604,0.37017524,0.28742862,0.31719962,0.7026021,0.31532842,0.6558583,0.19446881,0.40773308,0.5165622,0.70839727,0.26424733,0.3149073,0.44961676,0.8419896,0.70803154,0.32404974,0.7593282,0.334009,0.7096199,0.2365401,0.6734492,0.21198064,0.722241,0.64709705,0.74710363,0.38120943,0.62442285,0.20868535,0.59516346,0.3096478,0.34991747,0.39077377,0.36179563,0.8828753,0.3115759,0.7652453,0.74153155,0.216127,0.67427266,0.716183,0.29571486,0.48614755,0.24173498,0.32659554,0.4636818,0.3165965,0.44330016,0.6850853,0.42414528,0.73942876,0.7165479
SH3PXD2B,0.4834128,0.5457725,0.5087369,0.5253385,0.57770735,0.5116899,0.5036085,0.5820983,0.42111993,0.5543668,0.5218217,0.55950296,0.52800024,0.53588986,0.4846272,0.5433242,0.52266353,0.5271388,0.4644955,0.463922,0.51850116,0.5228419,0.4718928,0.4967912,0.5103148,0.51623887,0.5638828,0.48040164,0.5088769,0.47477388,0.45687318,0.46890646,0.48612443,0.49566132,0.5416165,0.48268214,0.47185937,0.5153363,0.49650413,0.53402585,0.52173847,0.49634302,0.48834518,0.44067013,0.5401089,0.47317296,0.5205708,0.45596227,0.56619096,0.5227272,0.48423085,0.4764036,0.51685214,0.49910706,0.45567265,0.5639186,0.54831254,0.48933688,0.45589918,0.5012406,0.51372254,0.45448846,0.48257694,0.48664618,0.48404622,0.47912627,0.5342619,0.4989807,0.4612082,0.4886514,0.5090025,0.48606247,0.42196006,0.515645,0.51442605,0.54637593,0.49750265,0.48487905,0.49152815,0.44377998,0.4994388,0.5007428,0.51688206,0.5203003,0.49279565,0.49570006,0.51776314,0.5082741,0.43268016,0.4998751,0.53062934,0.50345093,0.47291675,0.52895546,0.48387054,0.5806807,0.4926175,0.4746731,0.46156207,0.47437122,0.49265116,0.542629,0.4582015,0.5292408,0.42153215,0.5087657,0.47305432,0.5034152,0.50459856,0.5124417,0.59687126,0.5249907,0.5664128,0.5000068,0.4611586,0.54463494,0.50872594,0.51047856,0.48366845,0.4644471,0.52069944,0.49752986,0.49559018,0.5179186,0.52773213,0.44930226,0.530248,0.55029416
MCFD2,0.48895535,0.55208963,0.5221794,0.5371172,0.59667766,0.5128849,0.49367636,0.5835283,0.39305595,0.5601114,0.5360729,0.56998104,0.5448213,0.538697,0.46310654,0.5503332,0.54269344,0.5255555,0.45503646,0.4530837,0.523886,0.52066404,0.46604383,0.48869118,0.50093925,0.5243158,0.5544735,0.48514393,0.500457,0.48382723,0.44642016,0.4716714,0.47774288,0.47918922,0.52852726,0.4681656,0.47223133,0.52282166,0.4794292,0.53734815,0.53408736,0.50886935,0.47997916,0.4419331,0.54002386,0.46728164,0.5176447,0.4530263,0.56727064,0.5399783,0.48133156,0.47202164,0.5171882,0.499623,0.465208,0.5785191,0.558431,0.49162367,0.4598984,0.51185083,0.51227933,0.44477257,0.47072318,0.49124584,0.4887664,0.4829164,0.53437316,0.50740665,0.44224116,0.48931426,0.5080559,0.48213118,0.4156603,0.5329487,0.5116939,0.5484181,0.51304275,0.47702107,0.48731267,0.43942735,0.5044487,0.5109398,0.52323437,0.5251814,0.49596503,0.49412417,0.52129453,0.5055728,0.42807993,0.5063474,0.5423199,0.5277738,0.48494053,0.53646886,0.4740589,0.58642745,0.50185424,0.48114455,0.45321515,0.4789991,0.48980007,0.5485983,0.4531035,0.530592,0.43910834,0.5132135,0.47536346,0.49940693,0.49606758,0.5112118,0.6266661,0.5424641,0.58341193,0.50190413,0.45084298,0.5466625,0.51876575,0.50927526,0.4839076,0.47079557,0.51566595,0.49648732,0.48538843,0.5124149,0.5367571,0.44223547,0.5500309,0.55837625
PDLIM1,0.497466,0.5588349,0.54392534,0.5428752,0.614553,0.50536764,0.48462322,0.57850546,0.36633798,0.5701011,0.5444774,0.5932843,0.5654438,0.56167233,0.4601078,0.5726976,0.56091624,0.5312873,0.45278466,0.4477641,0.5371327,0.52897114,0.469798,0.4890655,0.49919063,0.52625066,0.5586768,0.4927137,0.5069205,0.47934946,0.44233403,0.47572243,0.4716872,0.47716042,0.52631414,0.46201634,0.4783222,0.53998435,0.47971272,0.54675364,0.5620288,0.5062444,0.47855577,0.44992852,0.550621,0.46332744,0.510715,0.46104822,0.5716418,0.553122,0.4766527,0.476596,0.53005767,0.5164387,0.46340013,0.59214026,0.5745411,0.5043304,0.44936627,0.52285314,0.5132038,0.4268871,0.45453387,0.50556356,0.4931436,0.48995593,0.5351432,0.52382386,0.43109757,0.48678905,0.5178517,0.48545814,0.40767354,0.5377641,0.5301268,0.56275654,0.52325135,0.48346272,0.48593733,0.4461439,0.5061666,0.5151358,0.52374464,0.5343846,0.4936602,0.4951707,0.53062063,0.50064427,0.42458966,0.5094453,0.5626665,0.5341161,0.48371062,0.54986423,0.47442177,0.59696645,0.51003325,0.49338588,0.44846407,0.49009827,0.49961883,0.56428033,0.44961533,0.53433746,0.44271788,0.51742667,0.47162262,0.50447524,0.50048745,0.5121163,0.6437571,0.54157877,0.59636885,0.51404446,0.45270258,0.5558575,0.53261256,0.5186004,0.49125335,0.47802442,0.51264375,0.5009667,0.47974586,0.5240828,0.5429952,0.438902,0.5607955,0.5750285
ME1,0.4797649,0.5645203,0.5335979,0.56539094,0.60177356,0.52410614,0.47082403,0.5798001,0.37540635,0.5609421,0.56797963,0.56318057,0.566427,0.5427683,0.4550526,0.5586316,0.56264687,0.52483994,0.46880946,0.45535237,0.5369987,0.52789146,0.45931572,0.49474108,0.4961327,0.5326475,0.5374154,0.49254912,0.49760565,0.49136254,0.44980568,0.47156048,0.4717411,0.46734807,0.51683545,0.45380485,0.46897188,0.54346645,0.4754662,0.54701895,0.53396916,0.5279857,0.4673513,0.4496079,0.53342116,0.46847317,0.5358241,0.44788316,0.5919438,0.5608181,0.47637773,0.47238517,0.516948,0.49426103,0.46872997,0.57334566,0.57074887,0.46922922,0.45384443,0.52801985,0.5174765,0.44230872,0.45624143,0.50653154,0.50123245,0.4862208,0.5043071,0.5149945,0.44144255,0.47151795,0.49230215,0.46980348,0.40695003,0.534541,0.52262276,0.56282204,0.5455815,0.46311134,0.4648753,0.42769104,0.51278925,0.49870554,0.5261062,0.5061072,0.48564455,0.50518906,0.5329849,0.4825855,0.421085,0.49973574,0.57543623,0.53639615,0.4911498,0.56294644,0.4558293,0.59356236,0.48187062,0.48113534,0.4442235,0.49638638,0.4957703,0.54622525,0.46179715,0.541815,0.44135326,0.5178142,0.47887957,0.490179,0.482679,0.49040914,0.6446549,0.53084534,0.59114045,0.52821445,0.43346342,0.555874,0.5292284,0.4883305,0.46945122,0.45495877,0.4887369,0.49034354,0.4758995,0.5061576,0.5555185,0.4345592,0.56149006,0.5685119
SRRT,0.45610383,0.6899604,0.7329296,0.787718,0.7687122,0.56613773,0.27016082,0.5705338,0.11500197,0.63386434,0.82819843,0.6281253,0.72686213,0.55223453,0.29889256,0.7426168,0.7803985,0.43877786,0.5134667,0.38713735,0.6779316,0.6408715,0.29260153,0.55902517,0.3912095,0.62736255,0.51535416,0.6412309,0.475157,0.597647,0.44011852,0.3896311,0.38356242,0.3573489,0.49630055,0.3032937,0.38572064,0.71527904,0.51642525,0.7152556,0.4496204,0.59085816,0.32327247,0.35701415,0.4580132,0.39717636,0.7140627,0.45595822,0.8389539,0.7711815,0.3094017,0.4620789,0.48514235,0.31181997,0.3029249,0.62075704,0.76034176,0.30721882,0.42137954,0.6530151,0.60656244,0.2878398,0.24850775,0.63412875,0.66076434,0.50443184,0.17441061,0.6805208,0.4350754,0.36923787,0.455358,0.3789609,0.21088748,0.5941103,0.6930909,0.7354401,0.8117592,0.33315724,0.3088943,0.29127887,0.6815184,0.3240521,0.65018153,0.23716828,0.42960745,0.5025989,0.67194337,0.28653568,0.3106034,0.44620526,0.8142311,0.7027039,0.40895557,0.7637152,0.31584644,0.6977846,0.24791832,0.6481744,0.21536954,0.67451274,0.60052085,0.7040999,0.41678274,0.6254195,0.2464533,0.56929094,0.37121677,0.35960516,0.35169935,0.35026628,0.8660771,0.37250385,0.7481559,0.7102261,0.22533695,0.68456954,0.68562055,0.25407577,0.41259974,0.26099035,0.32586142,0.40619716,0.337167,0.38199413,0.67020494,0.38045886,0.7441681,0.64761174
