,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
TFAP4,0.0,0.1161657,0.0,1.0105932,0.5208557,0.1552563,0.0,0.0,0.08653827,0.31013492,0.0125506185,0.0,0.46524078,0.0,0.0,0.9837582,0.448716,0.0,0.0,0.0,0.2510582,0.0,0.0,0.0,0.20622283,0.0,0.34746963,0.3057022,0.22878698,0.0,0.0,0.0,0.566924,0.0,0.5174324,0.06505939,0.18753186,0.31553504,0.1857268,0.07082506,0.0,0.069463834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4885765,0.0,0.0,0.0,0.0,0.0,0.0,0.45818943,0.0,0.041393377,0.17878078,0.29071838,0.0,0.0,0.0,0.019047868,0.0,0.0,0.0,0.0,0.0,0.161982,0.0,0.0,0.12730545,0.0,0.13053782,0.33207834,0.0,0.10023826,0.058433726,0.0,0.0,0.0,0.0,0.0,0.0,0.11767881,0.039649278,0.0,0.0,0.90335715,0.5446083,0.0,0.92587143,0.0,0.0,0.0,0.0,0.009989385,0.0,0.0,0.0,0.0,0.0,0.0,0.35065255,0.0,0.0,0.0,0.0,0.28454563,0.0,0.75734764,0.34630683,0.0,0.38878497,0.06004052,0.0,0.740982,0.0,0.26712495,0.0,0.0,0.48161227,0.0,0.0,0.054824114,0.03548038
SERPINB6C,0.11073661,0.1397789,0.12516779,0.36066422,0.13778968,0.0,0.0,0.0,0.15601274,0.10742934,0.041619096,0.14630817,0.0,0.0,0.019313138,0.343841,0.1014424,0.0,0.0,0.0,0.07770918,0.0,0.10001391,0.0,0.22976148,0.03351747,0.08148691,0.1246347,0.07211691,0.0,0.0,0.0,0.0,0.0,0.045840457,0.16130862,0.0,0.13794228,0.041361637,0.3099852,0.12713811,0.076869294,0.0,0.0,0.030460477,0.0,0.0,0.0,0.0,0.15775026,0.0,0.0,0.22590823,0.09495446,0.0,0.09144233,0.25790513,0.17106843,0.0,0.16159303,0.070267394,0.0,0.0,0.0174524,0.0,0.19241054,0.0,0.28457886,0.0,0.0,0.0,0.14786366,0.0,0.19581777,0.16742443,0.12734942,0.03629388,0.15954718,0.0,0.0,0.0,0.0,0.021717962,0.0,0.0,0.0,0.022369966,0.064609274,0.0,0.0,0.26910737,0.17129502,0.0,0.23725535,0.0,0.0,0.0,0.0,0.06305453,0.022718914,0.0,0.0,0.0,0.0,0.06082985,0.16851342,0.0808727,0.0,0.0,0.0,0.2889603,0.0,0.36419648,0.05691652,0.0,0.20868102,0.102989234,0.066930495,0.19378687,0.0,0.22379076,0.072904035,0.05071695,0.0,0.12617664,0.080234036,0.12480131,0.08723766
TSPAN4,0.19473268,0.015335972,0.0,0.2815376,0.0,0.0,0.0,0.0,0.16650067,0.14368352,0.069345534,0.024027083,0.0,0.0,0.0,0.11347611,0.10502878,0.0,0.0,0.0,0.0,0.0,0.012120463,0.07900781,0.19004261,0.1006327,0.021773554,0.0,0.056184277,0.0,0.0,0.0,0.0,0.0,0.0,0.17966186,0.0,0.0,0.0,0.18277586,0.15053484,0.18909092,0.0,0.07594751,0.0,0.0,0.0,0.0,0.0,0.08654708,0.0,0.0,0.08766459,0.20097126,0.0,0.0,0.094819576,0.23014131,0.0,0.16969764,0.08196697,0.0,0.0,0.0,0.0,0.18059056,0.0,0.27249533,0.0,0.0,0.0,0.11112845,0.0,0.10593388,0.033090092,0.017318428,0.004897408,0.24313524,0.011334568,0.0,0.0,0.0,0.093314186,0.0,0.0,0.0,0.0,0.13776541,0.07017281,0.0,0.114989206,0.0,0.0,0.123156585,0.0,0.0,0.0,0.0,0.07094097,0.0,0.0,0.0,0.0,0.0,0.08365291,0.21359068,0.09140789,0.0,0.0,0.0,0.17172238,0.0,0.19395432,0.0,0.0,0.16355416,0.0,0.14369604,0.21870196,0.02981387,0.18309626,0.11741082,0.0,0.0,0.20137553,0.042798996,0.09903088,0.0
HTT,0.0,0.224201,0.8824903,2.1291392,1.2210152,0.059722833,0.0,0.0,0.24710871,0.46317786,0.5870624,0.0,0.6828699,0.56248295,0.16288404,2.7171156,0.63834983,0.0,0.0,0.0,0.3607806,0.0,0.23018955,0.13319223,0.16460389,0.0,1.0229278,0.77099276,0.48714742,0.0,0.0,0.0,1.0492057,0.0,1.2550417,0.009413924,0.0,1.3742138,0.2168115,0.4902411,0.0,0.0,0.0,0.0,0.31681648,0.0,0.20893759,0.0,0.0,1.7378548,0.0,0.0,0.29548725,0.0,0.0,0.0,1.8511698,0.0,0.0,0.0,0.93012494,0.0,0.0,0.39376077,0.29618475,0.2126308,0.0,0.59886366,0.0,0.0,0.092391044,0.0,0.0,0.09326074,0.4294433,0.5216418,0.8826072,0.19934154,0.0,0.4538275,0.0006460026,0.0,0.0,0.0,0.0,0.0,0.15854856,0.1798484,0.0,0.0,2.8039072,1.2920332,0.0,2.0413375,0.0,0.0,0.0,0.02771227,0.030535702,0.0,0.0,0.0,0.0,0.0,0.0,0.2488169,0.0,0.0,0.0,0.0,1.5680944,0.0,1.943144,1.064487,0.0,0.3639748,0.24261075,0.0,0.7588154,0.0,0.96218044,0.0,0.16714048,0.8033301,0.0,0.0,0.5822457,0.5558453
TCEA3,0.0,0.23469941,1.2513826,2.2028515,1.3364621,0.0,0.0,0.0,0.6662453,0.25965607,0.8662897,0.0,0.283374,0.8405808,0.33581316,3.063225,0.78863865,0.0,0.0,0.0,0.3087397,0.0,0.6415317,0.66811436,0.0,0.0,1.4540875,0.5808295,0.72408533,0.0,0.0,0.0,1.4513867,0.0,1.635139,0.0,0.0,1.6915175,0.61938065,0.391834,0.0,0.0,0.0,0.0,0.8308223,0.0,0.5662646,0.0,0.0,2.389517,0.0,0.0,0.20325394,0.0,0.0,0.01375021,2.2812238,0.0,0.0,0.0,1.247453,0.0,0.0,0.15149398,0.2165783,0.46355727,0.0,1.0414286,0.0,0.0,0.37491015,0.0,0.0,0.0,0.74841726,0.6478247,0.8696856,0.5122027,0.0,0.07584786,0.08702495,0.0,0.0,0.0,0.0,0.0,0.3652788,0.24424723,0.0,0.0,3.5964792,1.3839712,0.0,2.227543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5248718,0.0,0.0,0.0,0.0,1.9780747,0.0,2.4435477,1.7364585,0.0,0.60705966,0.39871845,0.0,0.36446163,0.0,1.6081781,0.0,0.5858996,0.7545833,0.0,0.0,0.8363457,0.96337706
SH3PXD2B,0.16522688,0.08342844,0.08112386,0.3128355,0.06961376,0.0,0.0,0.0,0.10618563,0.1151931,0.06411393,0.10462703,0.0,0.0,0.021679038,0.22909477,0.11931169,0.0,0.0,0.0,0.047430675,0.0,0.062630504,0.0,0.17398411,0.0,0.1206883,0.13980325,0.098924175,0.0,0.0,0.0,0.0,0.0,0.07624728,0.09787318,0.0,0.07125562,0.04052955,0.23301184,0.10076591,0.081228584,0.0,0.0,0.017434178,0.0,0.04752828,0.0,0.0,0.124453664,0.0,0.0,0.18179446,0.1300319,0.0,0.06534282,0.18957935,0.18248597,0.031770855,0.18958528,0.07565202,0.0,0.0,0.015099797,0.0,0.20789586,0.0,0.1924192,0.0,0.0,0.0,0.152964,0.0,0.110001914,0.099502645,0.081929445,0.08135766,0.21119153,0.036743075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06503437,0.0,0.0,0.22616984,0.060591627,0.0,0.16300775,0.0,0.0,0.0,0.0,0.037611645,0.03440371,0.0,0.0,0.0,0.0,0.088856,0.21246353,0.101839095,0.0,0.0,0.0,0.2502084,0.0,0.3583563,0.00955707,0.0,0.26852995,0.08155349,0.08556946,0.22726132,0.0,0.24495614,0.08271532,0.034201406,0.0,0.14186817,0.10076408,0.028544918,0.024527915
MCFD2,0.08960005,0.16525169,0.0970259,0.4195528,0.15489452,0.0,0.0,0.0,0.24748783,0.16963068,0.027385093,0.11810024,0.0,0.0,0.014141031,0.38997638,0.16413346,0.0,0.0,0.0,0.03204928,0.0,0.13514736,0.0,0.3273214,0.123796865,0.033579722,0.07018591,0.021474622,0.0,0.0,0.0,0.0,0.0,0.0,0.27699912,0.0,0.102324985,0.0,0.41139275,0.17065987,0.09047145,0.0,0.0,0.026632378,0.0,0.0,0.0,0.0,0.2380477,0.0,0.0,0.28068346,0.13589416,0.0,0.114536196,0.31229055,0.19611576,0.0,0.20036547,0.10376908,0.0,0.0,0.005746324,0.0,0.21106823,0.0,0.41992554,0.0,0.0,0.0,0.11152522,0.0,0.31742588,0.19694664,0.1305534,0.0,0.19015849,0.0,0.0,0.0,0.0,0.0810013,0.0,0.0,0.0,0.07502023,0.060508847,0.0,0.0,0.29062954,0.14544623,0.0,0.32473472,0.0,0.0,0.0,0.0,0.124453485,0.022834025,0.0,0.0,0.0,0.0,0.08919829,0.17385271,0.09337741,0.0,0.0,0.0,0.3803263,0.0,0.34432483,0.08663759,0.0,0.20080972,0.10126403,0.09501242,0.22757342,0.0,0.24557778,0.116264775,0.039471805,0.0,0.14615647,0.05768569,0.2309562,0.15524411
PDLIM1,0.11993749,0.18189515,0.026299372,0.5321198,0.111805566,0.0,0.0,0.0,0.23100877,0.2383136,0.10280034,0.194277,0.0,0.0,0.0,0.41561753,0.24386662,0.0,0.0,0.0,0.014356356,0.0,0.15005417,0.06628801,0.41292492,0.13046661,0.030038476,0.0013975352,0.092255905,0.0,0.0,0.0,0.0,0.0,0.0,0.36966938,0.0,0.10760466,0.060166985,0.45614842,0.24205527,0.22383673,0.0,0.0,0.002477345,0.0,0.0,0.0,0.0,0.2749325,0.0,0.0,0.28180048,0.19065434,0.0,0.11083327,0.4250883,0.25712937,0.0,0.27715707,0.17708379,0.0,0.0,0.0,0.0,0.38033172,0.0,0.47508243,0.0,0.0,0.0,0.20558813,0.0,0.36452875,0.21187475,0.09872873,0.0,0.22047816,0.0,0.0,0.0,0.0,0.1481156,0.0,0.0,0.0,0.10052741,0.08976969,0.0,0.0,0.3603888,0.16112241,0.0,0.38709244,0.0,0.0,0.0,0.0,0.15799381,0.0,0.0,0.0,0.0,0.0,0.070819065,0.24811786,0.12399195,0.0,0.0,0.0,0.4806513,0.0,0.42373836,0.0907014,0.0,0.23729518,0.041747168,0.13139017,0.3310009,0.0,0.41644108,0.16937178,0.100150466,0.0,0.25417164,0.030841798,0.28675354,0.1380195
ME1,0.064928904,0.27835265,0.2525306,0.4826493,0.25529733,0.0,0.0,0.0,0.31648237,0.16757883,0.0979425,0.2565656,0.040215235,0.0,0.136173,0.5273529,0.18160914,0.0,0.0,0.0,0.0953303,0.0,0.19597314,0.0,0.36603642,0.071223915,0.12916507,0.27817458,0.040562496,0.0,0.0,0.0,0.0,0.0,0.03270174,0.2540511,0.0,0.22196737,0.010926366,0.41177446,0.08414832,0.04404633,0.0,0.0,0.06475658,0.0,0.013292015,0.0,0.0,0.33708856,0.0,0.0,0.3209278,0.15070717,0.0,0.16259529,0.37505782,0.17667775,0.0,0.24356984,0.13613005,0.0,0.0,0.11304838,0.0,0.20486806,0.0,0.4610787,0.0,0.0,0.0,0.14756991,0.0,0.3068295,0.31557077,0.24404822,0.021221362,0.2025127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050348766,0.05160924,0.0,0.0,0.41675806,0.20840648,0.0,0.28539613,0.0,0.0,0.0,0.0,0.05666108,0.12056956,0.0,0.0,0.0,0.0,0.076870695,0.17413124,0.11503057,0.0,0.0,0.0,0.45875826,0.0,0.5629245,0.128247,0.0,0.3435646,0.15517993,0.10544634,0.17425372,0.0,0.33186024,0.098442286,0.06991035,0.0,0.18770884,0.14843366,0.26096022,0.18281868
SRRT,0.0,0.42120224,1.4506993,2.03002,1.3981408,0.08995487,0.0,0.0,0.7312207,0.22307365,0.37952304,0.0,0.69781995,1.3139418,0.5693217,3.1218681,0.4161112,0.0,0.0,0.0,0.19246742,0.0,0.68375754,0.2765398,0.3358973,0.0,0.8881298,0.8534877,0.54507244,0.0,0.0,0.0,0.743729,0.0,0.8355706,0.19644924,0.0,1.5584364,0.21502711,1.1643347,0.0,0.0,0.0,0.0,0.6028053,0.0,0.17375427,0.0,0.0,2.2133613,0.0,0.0,0.25637212,0.0,0.0,0.039563343,1.864161,0.0,0.0,0.0,0.8751548,0.0,0.0,0.57242364,0.7919633,0.13522242,0.0,1.2778605,0.0,0.0,0.1186541,0.0,0.0,0.2453582,1.0394531,0.8463868,0.4572296,0.20698445,0.0,0.69598335,0.60314673,0.0,0.0,0.0,0.0,0.0,0.49090275,0.0,0.0,0.0,2.7524912,1.5903314,0.0,2.173855,0.0,0.0,0.0,0.7533423,0.0,0.42638555,0.0,0.0,0.0,0.0,0.0,0.3637245,0.0,0.0,0.0,0.0,2.031903,0.0,2.3361204,1.6030234,0.0,0.34744126,0.5556925,0.0,0.34919414,0.0,1.1163743,0.0,0.27291864,0.95740664,0.0,0.0,1.2124544,0.9859679
