,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
TFAP4,-0.015170172,-0.012498271,-0.12865281,-0.007333398,-0.0054491386,-0.0013937205,-0.048236135,-0.011252813,0.013185918,0.050401296,0.038981248,0.016598405,0.0920361,-0.017361093,-0.090897016,-0.04356563,0.16535565,0.033973254,0.027710889,0.034818303,-0.0025429484,-0.113017835,-0.08405158,0.03394714,0.05731494,-0.00036475994,0.047925737,-0.048442274,-0.0677639,-0.017760124,0.026951484,0.009557281,-0.056660812,-0.0660013,0.038010836,-0.15923057,0.12950622,-0.05999838,0.03284893,0.006209664,0.02150555,0.0117026195,0.017553497,0.05546668,0.019282242,0.035572704,0.00885652,-0.013535326,0.008398065,-0.04444685,0.023919305,0.045865677,0.050301008,0.023918625,-0.04074327,0.020516464,0.04042108,-0.024109956,-0.06095351,0.019578893,-0.04482523,-0.03262218,0.08743961,-0.030665925
SERPINB6C,0.015684202,-0.024608832,-0.01715986,-0.020168275,-0.010963887,-0.016068835,-0.0599137,0.033248503,0.046709903,0.02625763,-0.002532132,-0.0010279287,0.022365201,0.028170867,-0.015062988,-0.008370563,0.07594807,0.016665012,0.023653504,-0.018553622,0.014406331,-0.03691058,-0.023110807,-0.004484538,-0.0053178817,-0.013494501,-0.013719391,-0.019279815,0.011790402,0.00083576515,-0.017918095,0.021668024,0.019045334,-0.012816988,-0.031612065,-0.044590957,0.0174951,0.008839913,0.01895951,-0.01760685,0.007999562,-0.004208602,-0.005736623,-0.004597828,3.7642196e-05,0.011303488,0.009374716,0.0046025836,0.0004928373,-0.045523413,0.010597363,-0.013250845,-0.021448929,0.036052454,-0.012294441,-0.004743081,-0.011196412,-0.018668074,0.012736778,0.029363254,-0.00510798,-0.038457386,0.003907703,-0.013037473
TSPAN4,0.069290936,-0.09186962,-0.00796816,-0.086461544,-0.098229714,-0.07846317,-0.09014112,0.11698589,0.10527271,0.086354956,-0.07270271,0.071968764,0.07955989,0.07426845,-0.02503685,0.08422132,0.13573322,0.09954597,0.091071635,-0.09536913,0.08221043,-0.116076104,-0.09692675,-0.03407119,-0.06612921,-0.09264846,-0.084519714,0.06050813,0.020821314,0.069293365,-0.10710322,0.0952888,0.0846084,-0.08312646,-0.084551245,-0.103930324,0.0065791877,0.014497798,0.09934111,0.01786068,-0.05614402,0.079097286,0.07522377,-0.08025998,0.062094927,0.09071506,0.09865458,0.09337691,-0.080134325,-0.05151293,0.06396698,-0.074106455,-0.05866105,0.09495059,0.06626697,-0.053135227,-0.07239777,-0.07899873,0.07316809,0.1135607,-0.06730032,-0.11204571,-0.043537002,-0.10280584
HTT,-0.12411669,0.12386994,-0.0783696,0.1119538,0.13519752,0.09033962,0.009821303,-0.14507319,-0.10311882,-0.0789277,0.1449138,-0.09312808,-0.05418031,-0.067032896,-0.005309835,-0.15504377,-0.009975016,-0.12290549,-0.07670385,0.13912445,-0.12486552,0.062059127,0.06680934,0.017844394,0.13783798,0.10768569,0.12547526,-0.14554547,-0.051554583,-0.089219555,0.16425622,-0.1103646,-0.13875708,0.09041752,0.0739983,0.004425125,0.081962675,-0.031941626,-0.09711522,-0.045145214,0.08649727,-0.11763857,-0.11756228,0.14836827,-0.084931724,-0.12285255,-0.13225935,-0.14382581,0.1192392,-0.020042956,-0.100603074,0.14932583,0.06842651,-0.110477425,-0.1336703,0.10171954,0.16488364,0.11766082,-0.15724993,-0.10735341,0.06491225,0.10139326,0.18658116,0.12098184
TCEA3,-0.0714328,0.10893147,0.13800697,0.06521874,0.1318824,0.04009939,0.058708422,-0.11293435,-0.0887769,-0.068282664,0.05304252,-0.050338954,-0.14940864,-0.0747127,0.08808063,-0.052543674,-0.116772175,-0.10605301,-0.10300429,0.08790335,-0.11715208,0.1280652,0.10955018,-0.023950782,0.058958404,0.07769547,0.010609586,-0.053094063,0.051096343,-0.073314324,0.10710103,-0.064462915,-0.06463775,0.18626806,0.059407204,0.16477354,-0.055682197,0.01776389,-0.09485614,-0.059943788,0.024009861,-0.080126986,-0.040634148,0.027587324,-0.06339113,-0.104765624,-0.017217048,-0.13493675,0.08477243,0.09492648,-0.07911898,0.01828675,0.035301633,-0.092447214,-0.03226942,0.030944455,0.021121975,0.12598534,-0.09730923,-0.109866135,0.08360779,0.08062985,0.059001412,0.116206616
SH3PXD2B,0.043686323,-0.05102131,-0.027348518,-0.054025073,-0.050301626,-0.04238504,-0.07968076,0.0741951,0.08082175,0.059458006,-0.03800691,0.03113543,0.053614747,0.048505038,-0.024688192,0.020725243,0.12019168,0.051203474,0.057357933,-0.060807534,0.040578313,-0.080438055,-0.06286913,-0.015845813,-0.03402614,-0.049551785,-0.046476442,0.014139198,0.009965877,0.03216959,-0.06072637,0.058624633,0.04667322,-0.051655494,-0.055578113,-0.08188413,0.015997082,0.014575224,0.052848198,-0.0058940873,-0.014447875,0.033632576,0.029355463,-0.038386248,0.032509215,0.055730484,0.04866864,0.049360998,-0.034884803,-0.05831638,0.035382666,-0.03848301,-0.043301508,0.06257856,0.024856431,-0.021608168,-0.040241998,-0.047562823,0.03914125,0.06978958,-0.032683436,-0.06662938,-0.01764891,-0.04878737
MCFD2,0.0053399727,-0.012952611,-0.0037844228,-0.0060932785,0.008825541,-0.009545915,-0.037198715,0.013751145,0.025017738,0.0116614215,0.0077488273,-0.0031596124,0.009283658,0.009748835,-0.012749523,-0.009309012,0.040645853,0.005240619,0.010504838,-0.0006552227,0.0064167473,-0.019004887,-0.0005518049,-0.0026194379,0.0059058443,0.0025600214,-0.00082947686,-0.028345611,0.011399938,-0.01019403,0.0007381253,0.0060020015,0.010845419,0.0077332407,-0.018330116,-0.020861965,0.015040624,0.005906943,0.005006157,-0.011944769,0.011185333,-0.018685497,-0.0133670345,-0.0019000992,-0.0111094285,-0.007190169,0.00200128,-0.019370146,0.010316338,-0.024536144,-0.0013368465,-0.0034031486,-0.0016928539,0.027330782,-0.019839555,-0.0008791904,0.0039435774,-0.00016994774,0.0016693231,0.0112289395,0.00070921704,-0.025733065,0.0055377744,-0.0040738466
PDLIM1,-9.335205e-05,-0.01755621,-0.013958319,-0.0012969822,0.007398121,-0.013554458,-0.01844392,0.012606576,0.015125588,0.020714667,0.011494849,0.0041478034,0.012559731,-0.008933629,-0.025312543,-0.0024935342,0.031636506,-0.0008762218,0.014422562,-0.006118361,0.011813362,-0.019342976,-0.0016360246,0.011251792,0.028522857,-0.0021167565,-0.0038977228,-0.034778006,-0.0074873082,-0.01667409,0.0018570907,0.0032487698,0.00718341,0.0015033819,0.0025341716,-0.025617331,0.0325688,-0.0092332475,0.008844545,-0.0038615018,-0.0025693104,-0.016369224,-0.015130352,-0.0015161633,-0.005410131,-0.0003033029,0.0022360454,-0.021974882,0.010981003,-0.005502321,-0.0010304414,0.010701437,0.02125322,0.023005709,-0.023544885,-0.005788272,-0.0011301227,-0.002192784,0.0009062756,0.011946825,-0.010629561,-0.025140204,0.0018132366,-0.008596566
ME1,-0.019415215,0.038139913,0.007082143,0.041083656,0.061823666,0.023215003,-0.022151388,-0.03082674,-0.014265746,-0.028446762,0.038487393,-0.05457793,-0.037661314,-0.013160262,0.0146367885,-0.06047982,-0.008654758,-0.048152126,-0.023226531,0.03358121,-0.043990314,0.038970485,0.052136097,-0.0020605735,0.03028801,0.04073202,0.022943381,-0.0776221,0.024973195,-0.040257175,0.05472243,-0.025980711,-0.017437413,0.06391972,0.0025646966,0.030434778,0.006164401,0.016753826,-0.042912353,-0.032927383,0.051802307,-0.068475604,-0.06377919,0.035295084,-0.05307298,-0.055914495,-0.040846568,-0.07029108,0.04682844,-0.017186232,-0.047226343,0.014929801,0.0032752082,-0.019641407,-0.057298534,0.026359487,0.037033837,0.03695847,-0.027162973,-0.038598098,0.042164244,0.018840268,0.03345297,0.054477837
SRRT,-0.19570059,0.22895558,0.23695752,0.22682482,0.3033277,0.12868902,0.121633194,-0.25059518,-0.27114457,-0.2818231,0.20330657,-0.23341322,-0.32684812,-0.15037513,0.15623552,-0.19909228,-0.2844709,-0.30277666,-0.23764092,0.22260624,-0.28794995,0.30890432,0.3000574,-0.05795313,0.16083989,0.2270185,0.12283249,-0.20444776,0.10232981,-0.19621105,0.29329002,-0.23209305,-0.14505844,0.37656865,0.11012633,0.32315907,-0.09681532,0.06278473,-0.22328278,-0.12481742,0.18647778,-0.2843719,-0.21641989,0.13639182,-0.26739636,-0.33436024,-0.2404938,-0.31773442,0.2184463,0.07534465,-0.23304547,0.1311144,0.03587707,-0.23332107,-0.20720664,0.12916547,0.2069841,0.22568211,-0.18118124,-0.30840814,0.23910566,0.21568635,0.17003432,0.26864776
