TF_gene,Target_gene
EHMT2,PLOD2
MEF2C,MYD88
SMARCA2,MYD88
ILK,MYD88
CDC5L,MYD88
JARID2,MYD88
HDAC1,MYD88
EP400,MYD88
NR5A2,MYD88
KLF9,MYD88
MATR3,MYD88
POLR2B,RCOR2
ETV6,RCOR2
RBPJ,RCOR2
RNF14,RCOR2
CBX8,RCOR2
KAT2B,RCOR2
CSF1,RCOR2
ELF4,RCOR2
XAB2,RCOR2
FOXH1,RCOR2
TADA3,TULP3
TFAP2C,TULP3
BACH2,TULP3
NPAS2,TULP3
THRAP3,TULP3
KLF9,TULP3
ETV6,TULP3
POU4F1,TULP3
NR1D2,TULP3
TMF1,TULP3
POU5F1,DPPA4
SALL4,DPPA4
ZFP42,DPPA4
NANOG,DPPA4
UTF1,DPPA4
RAI14,RBFOX2
MEF2A,RBFOX2
TOX4,RBFOX2
TCEA3,RBFOX2
H1F0,RBFOX2
ZBTB7A,RBFOX2
POLR2E,RBFOX2
EMX2,RBFOX2
ZBTB32,RBFOX2
ZEB1,RBFOX2
NANOG,TOPORS
PRRX2,TOPORS
DDX54,TOPORS
ZFP276,TOPORS
ZFP446,TOPORS
BIN1,TOPORS
MYCN,TOPORS
RLIM,TOPORS
KNTC1,TOPORS
SMAD2,TOPORS
CELF3,TAX1BP3
EBF1,TAX1BP3
EPAS1,TAX1BP3
ESPL1,TAX1BP3
SMURF2,TAX1BP3
BARD1,TAX1BP3
BRWD1,TAX1BP3
ZBTB3,TAX1BP3
KLF9,TAX1BP3
ZSWIM4,TAX1BP3
PIAS2,POU6F1
CSF1,POU6F1
RFXAP,POU6F1
ELAVL2,POU6F1
MYD88,POU6F1
TRIM24,POU6F1
EP300,POU6F1
UTF1,POU6F1
CNOT8,POU6F1
ZFP768,POU6F1
EHMT2,TCF20
ID3,TCF20
MKX,TCF20
NFATC3,TCF20
ANKRD49,TCF20
TRIP6,TCF20
ZFP462,TCF20
BRCA1,TCF20
E2F2,TCF20
EBF1,TCF20
CDC5L,SLC25A4
GLI2,ZFP36L1
RBMX,ZFP36L1
MDM2,ZFP36L1
KLF13,ZFP36L1
MAPK11,ZFP36L1
ZBTB43,ZFP36L1
BRD7,ZFP36L1
PML,ZFP36L1
TCF7L2,ZFP36L1
ZFHX3,ZFP36L1
RAD51,ECT2
MCM4,ECT2
MIS18BP1,ECT2
KNTC1,ECT2
IKBKB,TFE3
ESRRA,TFE3
RNF2,TFE3
HOXD13,TFE3
PKNOX2,TFE3
ANKS1,TFE3
TCF20,TFE3
BIN1,TFE3
SIX5,TFE3
SNAPC3,TFE3
HIST1H2BB,HIST1H2BF
TRP53BP1,HIST1H2BF
H1F0,HIST1H2BF
OVOL1,ING3
ESRRA,ING3
ATF1,ING3
TEAD1,ING3
ID2,ING3
ORC2,ING3
FOXA2,ING3
RARG,ING3
DDX5,ING3
PRDM14,ING3
PAX8,MSC
CEBPZ,MSC
NFIA,MSC
PLRG1,MSC
CUX2,MSC
ELAVL2,MSC
ATF7,MSC
KLF9,MSC
MPHOSPH8,MSC
FOXJ2,MSC
SOX15,PSIP1
UBP1,PSIP1
MYD88,PSIP1
GRIN1,PSIP1
SP8,PSIP1
VEZF1,PSIP1
ASH2L,PSIP1
TBL1X,PSIP1
HEY2,PSIP1
KHDRBS1,PSIP1
POLR1C,HMGXB3
NFXL1,HMGXB3
NFATC3,HMGXB3
FOXO1,HMGXB3
DNAJC2,HMGXB3
SOX2,HMGXB3
HDAC10,HMGXB3
NFIC,HMGXB3
PHF2,HMGXB3
NANOG,HMGXB3
SALL1,ZDHHC15
RUVBL1,ZDHHC15
XAB2,ZDHHC15
RNF14,ZDHHC15
NR5A2,ZDHHC15
GRHL1,ZDHHC15
EYA1,ZDHHC15
TEAD4,ZDHHC15
JUND,ZDHHC15
XRCC5,ZDHHC15
EBF4,POLR1C
E2F2,POLR1C
ZBTB10,POLR1C
ZBTB7A,POLR1C
TCF12,POLR1C
ETV5,POLR1C
MAZ,POLR1C
HDAC5,POLR1C
POLR1B,POLR1C
CCND1,POLR1C
TSG101,ARID5B
PAX1,ARID5B
ZFP148,ARID5B
GLI2,ARID5B
HNF1B,ARID5B
AES,ARID5B
POU4F2,ARID5B
ZFP446,ARID5B
FOXO3,ARID5B
ZBTB20,ARID5B
UTF1,ID2
TRIP11,ID2
EED,ID2
SMAD7,ID2
NRIP1,ID2
BTBD11,ID2
RUVBL2,ID2
GATAD2B,ID2
TCERG1,ID2
H1F0,ID2
BCL3,ZDHHC16
L3MBTL2,ZDHHC16
FXR1,ZDHHC16
PITX2,ZDHHC16
PHF1,ZDHHC16
BTF3,ZDHHC16
RNF6,ZDHHC16
TFEB,ZDHHC16
NR1H2,ZDHHC16
PARP1,ZDHHC16
SMARCC2,NAA15
FOSL2,NAA15
TAF1A,NAA15
RHOX6,NAA15
RBPJ,NAA15
IRF4,NAA15
E2F1,NAA15
PRDM5,NAA15
IRF6,NAA15
TRPS1,NAA15
MIS18BP1,PER1
E2F1,PER1
SMAD3,PER1
DDX5,PER1
SIRT2,PER1
MEIS1,PER1
PITX1,PER1
TAF9,PER1
SIN3B,PER1
MAML1,PER1
BCLAF1,CREB3L2
MED15,CREB3L2
POLR2J,CREB3L2
GTF3C1,CREB3L2
CBX8,CREB3L2
RNF19A,CREB3L2
BTG1,CREB3L2
SMARCA2,CREB3L2
TRIM24,CREB3L2
EZH2,CREB3L2
ID2,TCEA3
MYBBP1A,TCEA3
ZBTB32,TCEA3
DDX54,TCEA3
TRIM25,TCEA3
NKRF,TCEA3
POLR2J,TCEA3
SIRT3,TCEA3
REST,TCEA3
KEAP1,TCEA3
NFKBIA,MAPK13
PMS1,MAPK13
SMARCD1,MAPK13
MIS18BP1,MAPK13
SP8,MAPK13
SND1,MAPK13
GLI1,MAPK13
MAML3,MAPK13
TRRAP,MAPK13
ATF3,MAPK13
NFATC3,HDAC2
RARA,HDAC2
BTAF1,HDAC2
HIVEP2,HDAC2
TCERG1,HDAC2
TBX18,HDAC2
ZFAND3,HDAC2
TBL1X,HDAC2
APEX1,HDAC2
PCBP2,HDAC2
ANKS1,ATF2
UTF1,ATF2
KLF8,ATF2
ELL3,ATF2
ZFP768,ATF2
CBX4,ATF2
MSC,ATF2
ZBTB20,ATF2
GTF2H3,ATF2
SRSF6,ATF2
HMGA2,NFKBIA
EHMT2,NFKBIA
MLXIPL,NFKBIA
SFPQ,NFKBIA
ORC2,NFKBIA
CUX1,NFKBIA
POU4F1,NFKBIA
JMJD1C,NFKBIA
PMS1,NFKBIA
GTF2I,NFKBIA
ELF2,TFAP2C
PHF2,TFAP2C
MITF,TFAP2C
SMARCAD1,TFAP2C
KLF10,TFAP2C
ZFP768,TFAP2C
IRF6,TFAP2C
NFATC1,TFAP2C
STAT4,TFAP2C
ATF2,TFAP2C
BAZ1A,FXR2
CITED1,FXR2
EWSR1,FXR2
TCEA1,FXR2
ID4,FXR2
SIN3B,FXR2
PAX1,FXR2
TRIM25,FXR2
RFX7,FXR2
CREBZF,FXR2
RAD54B,XAB2
MCM6,XAB2
HCFC1,XAB2
SMAD4,XAB2
NRIP1,XAB2
TRIB3,XAB2
SOS2,XAB2
MIS18BP1,XAB2
CITED2,XAB2
MTA3,XAB2
TGIF1,GRHL1
USF1,GRHL1
NANOG,GRHL1
BCLAF1,GRHL1
HDAC4,GRHL1
SP8,GRHL1
TFAP2C,GRHL1
BIN1,GRHL1
UTF1,GRHL1
MCM4,GRHL1
RERE,NR1H2
XRCC6,NR1H2
ZDHHC16,NR1H2
GTF3C5,NR1H2
UTF1,NR1H2
SFPQ,NR1H2
TFEB,NR1H2
BMP4,NR1H2
SNAI1,NR1H2
CTCF,NR1H2
ELF3,DNMT3A
ASXL1,DNMT3A
SRSF6,DNMT3A
E2F4,DNMT3A
ELL2,DNMT3A
BRPF1,DNMT3A
HEXIM1,DNMT3A
MAFK,DNMT3A
RUVBL2,DNMT3A
POLR2I,DNMT3A
CNOT8,SNAPC3
TRIM25,SNAPC3
BTG1,SNAPC3
SIN3A,SNAPC3
ATM,SNAPC3
PAWR,SNAPC3
HDGF,SNAPC3
TBX3,SNAPC3
CTNNB1,SNAPC3
MED4,SNAPC3
CRAMP1L,PHF12
DMRT1,PHF12
PLRG1,PHF12
WWTR1,PHF12
TOX3,PHF12
DDX54,PHF12
FXR1,PHF12
BCL3,PHF12
SFPQ,PHF12
SOX7,PHF12
BTG1,IRF2
SNAPC3,IRF2
TRIB3,IRF2
HSPB1,IRF2
ZFP236,IRF2
TADA3,IRF2
ING1,IRF2
TCF20,IRF2
SSBP4,IRF2
DAZAP2,IRF2
ATM,RARG
TFCP2L1,RARG
SIX5,RARG
NOTCH1,RARG
MAML1,RARG
ELP2,RARG
PHF2,RARG
ZFP42,RARG
JUND,RARG
TFEB,RARG
POU5F1,ELK4
POLR2A,ELK4
CBX8,ELK4
HNF4A,ELK4
ZBTB38,ELK4
FOXP1,ELK4
POLR2I,ELK4
EHMT2,ELK4
SRSF1,ELK4
BCLAF1,ELK4
COPS2,SOCS2
KEAP1,SOCS2
STAT5A,SOCS2
STAT5B,SOCS2
TCOF1,ZFP446
NR2F6,ZFP446
DTX1,ZFP446
CEBPZ,ZFP446
EZH2,ZFP446
RNF19A,ZFP446
ATF6,ZFP446
GTF2H3,ZFP446
ELF1,ZFP446
RBL1,ZFP446
ATF6,GZF1
MEIS1,GZF1
PBX4,GZF1
HES1,GZF1
ZFP277,GZF1
NR1D2,GZF1
TAF1A,GZF1
MSX2,GZF1
SNAI1,GZF1
DDB1,GZF1
POLR2K,FUS
NR2F6,FUS
POU4F2,FUS
RBMX,FUS
PURA,FUS
COIL,FUS
ZFP236,FUS
NDN,FUS
ABTB1,FUS
HDAC11,FUS
MCM2,SIRT2
MAFK,SIRT2
TRP53BP1,SIRT2
FIZ1,SIRT2
RBL1,SIRT2
PATZ1,SIRT2
CEBPZ,SIRT2
ID2,SIRT2
HDAC3,SIRT2
RBBP7,SIRT2
ZFP42,TDGF1
UTF1,TDGF1
FOXH1,TDGF1
NANOG,TDGF1
SMAD2,TDGF1
POU5F1,TDGF1
SALL1,NKRF
H1F0,NKRF
MED31,NKRF
ELF1,NKRF
POLR1C,NKRF
HMGA2,NKRF
PELP1,NKRF
POLR2K,NKRF
TCF4,NKRF
CHD5,NKRF
RBMXL2,NFYA
E2F1,NFYA
MLXIP,NFYA
JUND,NFYA
TSG101,NFYA
TCF7L2,NFYA
CBX6,NFYA
CNOT8,NFYA
KLF13,NFYA
