TF_gene,Target_gene
GLIS2,VDR
SPO11,VDR
HDAC7,VDR
JARID2,VDR
CREB5,VDR
ZKSCAN17,VDR
ZBTB20,VDR
YBX1,VDR
HDGF,VDR
MYC,VDR
ZFP143,AHCTF1
ZZZ3,AHCTF1
TTF2,AHCTF1
ABTB1,AHCTF1
GTF2H1,AHCTF1
BUB3,AHCTF1
NUPR1,AHCTF1
CNOT7,AHCTF1
MCM2,AHCTF1
NFATC1,AHCTF1
STAT3,IL21R
RARB,MYC
EPAS1,MYC
NFAT5,MYC
CITED4,MYC
GTF3C3,MYC
ERCC8,MYC
PHF10,MYC
HDAC2,MYC
CBX7,MYC
ZFP143,MYC
MCM6,UHRF1
MCM7,UHRF1
MCM4,UHRF1
MCM3,UHRF1
RAD51,UHRF1
MCM2,UHRF1
TCF19,UHRF1
MCM5,UHRF1
XRCC3,MCM4
ZFP467,MCM4
NFKBIA,MCM4
CENPK,MCM4
KLF6,MCM4
HLF,MCM4
ABTB1,MCM4
ZDHHC13,MCM4
ZKSCAN17,MCM4
TRIB3,MCM4
MCM3,KIF22
MCM2,KIF22
MCM5,KIF22
VHL,PSMF1
RELB,PSMF1
NFKBIA,PSMF1
REL,PSMF1
BUB3,PSMF1
EPAS1,PSMF1
NFE2,E2F8
MYC,E2F8
MCM7,E2F8
MAPK12,E2F8
NDN,E2F8
RAD51,E2F8
ZDHHC13,E2F8
GTF2E1,E2F8
EYA2,E2F8
SPI1,E2F8
IRF1,RAD51
AHCTF1,RAD51
PPARGC1A,RAD51
SOX6,RAD51
TTF2,RAD51
ZFP30,RAD51
TLE2,RAD51
MCM3,RAD51
IKZF2,RAD51
MAPK12,RAD51
POLR1B,ELAC2
ABL1,ZFP275
CSRP3,ZFP275
TRIB3,ZFP275
NRF1,ZFP275
CITED4,ZFP275
CBFB,ZFP275
XPC,ZFP275
ZFP592,ZFP275
BLZF1,ZFP275
DCP1A,ZFP275
RNF19A,CITED4
NRF1,CITED4
E2F8,CITED4
SNRPB,CITED4
ZKSCAN17,CITED4
EYA2,CITED4
MCM5,CITED4
DEK,CITED4
TTF2,CITED4
GATA2,CITED4
DDX58,NR3C2
IRF1,NR3C2
E2F4,NR3C2
MAPK1,NR3C2
PA2G4,NR3C2
GLIS2,NR3C2
SPO11,NR3C2
JUN,NR3C2
THRB,NR3C2
HDGF,NR3C2
PWP1,CTPS
POLR1B,CTPS
POLR2B,CTPS
EYA1,GFI1
DDX20,GFI1
SLA2,GFI1
TEAD3,GFI1
LMO4,GFI1
IRF8,GFI1
FOS,GFI1
MCM5,GFI1
CNOT7,GFI1
DDX58,GFI1
POLR3F,WDR4
POLR1B,WDR4
PA2G4,WDR4
MCM2,RFC5
MCM5,RFC5
MCM6,RFC5
ERCC8,RFC5
MCM4,RFC5
MCM3,RFC5
GTF2H1,RFC5
XAB2,RFC5
MCM7,RFC5
XRCC3,RFC5
KLF3,TAF12
HLF,TAF12
VHL,TAF12
MECOM,TAF12
NUPR1,TAF12
ORC2,TAF12
EPOR,TAF12
TSHZ3,TAF12
MCM3,TAF12
NR3C2,TAF12
IRF1,VHL
SNAPC3,VHL
TCF19,VHL
NR3C2,VHL
PGR,VHL
EBF1,VHL
ZFP110,VHL
TEAD3,VHL
SP4,VHL
RELB,VHL
NUPR1,NFXL1
EYA2,NFXL1
KLF6,NFXL1
ZDHHC6,NFXL1
SALL2,NFXL1
RAD51,NFXL1
MCM5,NFXL1
SPO11,NFXL1
STAT3,NFXL1
EGR1,NFXL1
TCF12,IRF1
EPOR,IRF1
TLE2,IRF1
CREB5,IRF1
TOPORS,IRF1
KLF1,IRF1
MYC,IRF1
TEAD3,IRF1
EBF1,IRF1
TAF12,IRF1
HCLS1,MECOM
RORC,MECOM
RUNX1T1,MECOM
ZDHHC13,MECOM
EPAS1,MECOM
TOX4,MECOM
EYA2,MECOM
ZFP275,MECOM
CITED4,MECOM
RORA,MECOM
NRF1,ZFP110
ZKSCAN17,ZFP110
AFF4,ZFP110
BMI1,ZFP110
MYNN,ZFP110
ERCC8,ZFP110
BLZF1,ZFP110
ZFP592,ZFP110
SLA2,ZFP110
HDAC9,ZFP110
CBFB,ZFP143
ORC2,ZFP143
JUN,ZFP143
MECOM,ZFP143
FOXO1,ZFP143
XAB2,ZFP143
MCM5,ZFP143
ZZZ3,ZFP143
NFAT5,ZFP143
PRDM5,ZFP143
ZBTB10,KLF3
MCM6,KLF3
GTF2E1,KLF3
RARB,KLF3
SNAPC3,KLF3
NR3C2,KLF3
MED16,KLF3
MYC,KLF3
XRCC5,KLF3
BTG2,KLF3
ORC2,CENPA
MIS18BP1,CENPA
CENPK,CENPA
AHCTF1,CENPA
BUB3,CENPA
MCM5,CENPA
MIS18BP1,SMC2
MCM7,SMC2
MCM3,SMC2
MCM2,SMC2
MCM6,SMC2
MCM5,SMC2
RB1,SMC2
MCM4,SMC2
RAD51,SMC2
MYC,PKM
POLR1B,PKM
STAT3,PKM
POLR2B,PKM
RB1,FEM1B
ERCC8,FEM1B
