,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
DRAM2,0.44542968,0.47690976,0.4683022,0.5467334,0.5120642,0.5183058,0.4871448,0.53073096,0.41206515,0.55617034,0.40235123,0.55765885,0.57117856,0.5282775,0.5364506,0.5288049,0.5284534,0.51837367,0.53553087,0.5510747,0.4652536,0.48999664,0.45780298,0.44333002,0.5092779,0.4880179,0.51867175,0.43612927,0.5113749,0.5098481,0.5012789,0.51331705,0.53092235,0.50273234,0.47540087,0.5454846,0.45987064,0.48557517,0.47230813,0.50157946,0.46404386,0.51928914,0.48444158,0.5287222,0.4687449,0.4337453,0.45866323,0.51403403,0.5164573,0.4775171,0.5157929,0.52422637,0.5602565,0.42806578,0.5245142,0.5088086,0.43431005,0.50341576,0.49798316,0.49541813,0.56431085,0.5576537,0.5031513,0.53844446,0.46168068,0.5216016,0.48039982,0.5283395,0.5010932,0.49074325,0.5461496,0.44992226,0.49298275,0.55458266,0.52914196,0.49850413,0.4776259,0.47633964,0.50568396,0.47114503,0.5427342,0.45120198,0.53084064,0.5211487,0.49025694,0.44304988,0.4494002,0.4827798,0.48383883,0.48870945,0.5491915,0.5065728,0.48574314,0.55498403,0.5402879,0.4796423,0.51200545,0.48825905,0.53843594,0.5049255,0.45457184,0.53671145,0.49378493,0.502391,0.4525001,0.475908,0.37099686,0.48766202,0.52308595,0.4501922,0.5541709,0.55406654,0.5071274,0.554691,0.56129307,0.4785183,0.4826276,0.47670996,0.5287505,0.45041397,0.50911593,0.48372963,0.49671015,0.45081332,0.48090214,0.51745844,0.4673519,0.492059
MKI67,0.44971338,0.47046304,0.47024697,0.5733937,0.5225765,0.49163646,0.48176998,0.5287474,0.39655873,0.5756794,0.39114034,0.57694554,0.57331175,0.53268886,0.5430061,0.54336065,0.527043,0.5019218,0.52821314,0.5542361,0.46838582,0.4799133,0.45900097,0.44048885,0.5139662,0.47915342,0.53317267,0.42796427,0.5047387,0.51698875,0.4855401,0.5175566,0.5379415,0.5044016,0.4738805,0.55244255,0.4617363,0.4996965,0.4781378,0.49159428,0.4558614,0.510877,0.48794556,0.5384358,0.47072524,0.40856135,0.44291058,0.5132214,0.54599243,0.47131544,0.5277167,0.53800136,0.5390698,0.43055132,0.51657283,0.5032328,0.44243088,0.5071346,0.50039995,0.502141,0.5728647,0.56997985,0.47884813,0.5366765,0.44532904,0.5471021,0.46770558,0.52687985,0.5054117,0.49464318,0.5670726,0.45014805,0.48188102,0.56298625,0.5440001,0.5095952,0.47200963,0.482445,0.49193838,0.46732995,0.5469212,0.44693235,0.5209701,0.5209855,0.5081506,0.4338324,0.4377884,0.47397712,0.49401337,0.46990338,0.5560259,0.49886414,0.4953747,0.5607299,0.54777193,0.47366333,0.5004617,0.48441553,0.5472183,0.49635077,0.44027394,0.5327773,0.5176864,0.47820428,0.423123,0.46385366,0.3624783,0.4890939,0.5435646,0.4359176,0.5750639,0.5430285,0.5136015,0.5972723,0.5691552,0.49398738,0.4748613,0.5000592,0.5368116,0.44230878,0.5001541,0.46715266,0.49996,0.43290433,0.4654926,0.52312297,0.45578906,0.51576644
TSHZ3,0.4112628,0.3198415,0.50208324,0.45070142,0.49679133,0.8283211,0.58198786,0.71233565,0.32918632,0.52172846,0.39212912,0.6507838,0.68411326,0.66381025,0.6585095,0.4597475,0.81280005,0.79620373,0.515281,0.7930219,0.25266114,0.67910284,0.38400453,0.2236765,0.6458487,0.72397923,0.42357615,0.28704953,0.68157166,0.43482837,0.61966926,0.5147163,0.60955244,0.49310306,0.42937684,0.61815673,0.344743,0.44543868,0.51055485,0.44760576,0.28705996,0.69346446,0.4658311,0.6157808,0.2557703,0.31079444,0.47360894,0.6942239,0.56436425,0.5861458,0.5295956,0.34995723,0.84278125,0.24881734,0.6718293,0.65994257,0.42008194,0.7324998,0.36731482,0.6093273,0.46124473,0.5889525,0.57383335,0.6395821,0.52532816,0.47327322,0.53037006,0.6944533,0.56868964,0.19497229,0.6932981,0.24990872,0.711534,0.7638699,0.31254536,0.5580043,0.41423538,0.5349347,0.6967498,0.5242108,0.613563,0.35265782,0.61983514,0.6118858,0.4199534,0.30416805,0.3091369,0.427011,0.5659387,0.70944476,0.58507913,0.4548889,0.5671646,0.65368193,0.60420096,0.63752186,0.7101457,0.5011461,0.6792723,0.6463047,0.49176985,0.6011318,0.32776004,0.7673336,0.30168903,0.5799591,0.15754072,0.55831516,0.4639018,0.6169241,0.7296277,0.7705895,0.5035523,0.49165398,0.6918219,0.50885004,0.5215642,0.16707091,0.54817057,0.34811193,0.55879694,0.6545445,0.660505,0.33557126,0.46105105,0.6048547,0.50140923,0.36902934
NUDT19,0.4501972,0.4715389,0.46806768,0.5656567,0.51113,0.5067209,0.4892469,0.52476937,0.4038289,0.5643647,0.38791838,0.5689276,0.57752526,0.53683686,0.53855854,0.5377322,0.5304626,0.5129549,0.53288805,0.552196,0.47221157,0.49407488,0.45102003,0.42808062,0.51133245,0.47962135,0.5199095,0.4296967,0.5139371,0.5033782,0.49555358,0.51639616,0.53368586,0.50994974,0.47098097,0.55117786,0.45773214,0.4923101,0.46927533,0.4953735,0.45414802,0.51816624,0.4876069,0.53985,0.4564013,0.40928385,0.4542387,0.5117077,0.5337791,0.47204554,0.51820564,0.5285506,0.5580045,0.42692873,0.5205621,0.509007,0.43557277,0.5044575,0.49692902,0.5021858,0.5619175,0.56005746,0.4864699,0.5386047,0.4565569,0.53030616,0.47690812,0.5270993,0.5056277,0.4811577,0.56016016,0.44267285,0.49241954,0.5655634,0.54070336,0.50544614,0.47112146,0.47803098,0.49184892,0.47334892,0.54440737,0.43766612,0.52061605,0.5226869,0.4956201,0.43731466,0.44322684,0.47599876,0.4906312,0.48567292,0.54941416,0.50920886,0.4896306,0.5584919,0.5542727,0.47981393,0.5094758,0.48910964,0.5435392,0.5036091,0.4438743,0.5383466,0.5005893,0.49167058,0.4319899,0.46612787,0.37031963,0.49398202,0.5359579,0.43799397,0.57027155,0.5515867,0.5087935,0.58003676,0.5727771,0.48887694,0.47347102,0.48486766,0.532094,0.4500558,0.50594,0.4727781,0.50647384,0.43631828,0.46951067,0.5291696,0.46090534,0.49672532
ASB8,0.45168895,0.45949113,0.4643263,0.5336396,0.49388528,0.55058926,0.50005794,0.53757155,0.43119007,0.54054344,0.40815428,0.5513835,0.5856966,0.54946417,0.536085,0.5196218,0.5413521,0.54100525,0.53489876,0.55296624,0.44793382,0.5229017,0.44210216,0.41364884,0.5119242,0.48447907,0.48961797,0.43092355,0.531873,0.49745598,0.51635337,0.50897986,0.52897006,0.5052467,0.4680381,0.5437222,0.45516223,0.47852805,0.4745733,0.50779665,0.45296147,0.5394965,0.4880057,0.5305963,0.43403816,0.4272374,0.47602168,0.51901203,0.49884158,0.48128974,0.5044041,0.49369907,0.6115039,0.41240773,0.54111135,0.5259988,0.41880244,0.5135572,0.4954976,0.49575272,0.5488482,0.5473725,0.5115866,0.54339665,0.46568364,0.4948173,0.48171598,0.54756033,0.5075178,0.45482054,0.541288,0.42359245,0.51784986,0.57467127,0.5213866,0.4982045,0.47096944,0.46923026,0.5060004,0.48346663,0.53875065,0.42966494,0.5311629,0.52900386,0.4752243,0.43559787,0.44027993,0.48292515,0.4873676,0.5126081,0.5412959,0.51332253,0.48921633,0.55693257,0.55403227,0.4928818,0.52826744,0.49863568,0.5353549,0.5133328,0.4644456,0.55165607,0.46392107,0.5434967,0.46504396,0.49286282,0.3664087,0.49975145,0.5121418,0.47040963,0.55838484,0.57954943,0.50999904,0.5336232,0.5761643,0.47065562,0.47962794,0.433995,0.52499205,0.458615,0.52219474,0.50056225,0.5108621,0.4606493,0.48597765,0.52737397,0.46356174,0.4671767
VKORC1L1,0.41869542,0.48258677,0.47608623,0.5680644,0.5493187,0.46995202,0.45954168,0.5332422,0.37667614,0.58717024,0.39623278,0.58078575,0.57038146,0.5141567,0.5504838,0.5402304,0.51264656,0.48736265,0.5374818,0.5686361,0.4732968,0.4367053,0.4752685,0.4808645,0.51826465,0.48729137,0.55855083,0.42848086,0.47726157,0.5469497,0.4741042,0.517501,0.54373777,0.49866048,0.484146,0.5600333,0.46423534,0.49464107,0.47553885,0.49074197,0.47648835,0.49540573,0.47992724,0.5317944,0.5075875,0.42664194,0.4232851,0.51413006,0.547684,0.4718924,0.53638524,0.5635681,0.48860386,0.43260318,0.51616454,0.49218804,0.45651132,0.49880707,0.50290936,0.49561223,0.6019738,0.57794404,0.4869005,0.53344405,0.44008482,0.5699852,0.4574186,0.5112461,0.49698323,0.5360318,0.57254153,0.4674313,0.46311507,0.5375313,0.54374,0.49595508,0.48737448,0.4876928,0.49857742,0.44766042,0.55799466,0.47979218,0.5321261,0.52101773,0.52268577,0.4415466,0.45347807,0.48243195,0.47834587,0.43869114,0.5696502,0.50179464,0.48558983,0.5597518,0.5328616,0.4615977,0.49528182,0.48188812,0.5545477,0.48735943,0.42718297,0.5254509,0.5382636,0.45697716,0.42889968,0.46558693,0.34136373,0.46238506,0.5491607,0.42274174,0.5613976,0.5325538,0.49374098,0.595642,0.55385286,0.48907155,0.4828156,0.5249935,0.5345857,0.43342814,0.50281733,0.46346536,0.4758758,0.4294951,0.46731833,0.49630913,0.4660856,0.53490245
SOX18,0.38245073,0.28960365,0.49723294,0.40694255,0.5150432,0.85056984,0.5788232,0.7364804,0.31008375,0.5291853,0.3985105,0.6540824,0.666554,0.6606529,0.6731809,0.45312172,0.8384684,0.8247433,0.48217568,0.8103867,0.22867611,0.69708264,0.3679749,0.22048327,0.6595253,0.77893525,0.41698527,0.25398445,0.6887722,0.42208284,0.6087857,0.5267063,0.6351412,0.49086362,0.43293512,0.6260089,0.3360761,0.46266007,0.48806554,0.42850068,0.26348814,0.6918021,0.45353436,0.62414974,0.24393992,0.2901185,0.48683238,0.71118796,0.5682009,0.58720875,0.5003925,0.3425985,0.8459023,0.2344037,0.66679835,0.6697405,0.45342728,0.7194467,0.35948986,0.6112346,0.4269549,0.5806294,0.58495003,0.67111063,0.51277506,0.49834776,0.5508209,0.7054422,0.60275,0.178738,0.7136158,0.23665838,0.7364105,0.7775675,0.29477572,0.52580065,0.42253458,0.5513393,0.7250755,0.5187618,0.6088509,0.3655406,0.6441677,0.6054387,0.41553938,0.31684554,0.2806567,0.44432783,0.5593521,0.72820204,0.56939375,0.4218867,0.57795274,0.66727996,0.57343674,0.6739925,0.69740677,0.46924457,0.68896747,0.6720321,0.48839033,0.59936756,0.34046847,0.765938,0.28159344,0.57799846,0.15479454,0.54206514,0.47408205,0.6264542,0.7477915,0.79069936,0.49354553,0.4864128,0.7150576,0.4879488,0.5527051,0.14568917,0.5379108,0.31688455,0.56627566,0.7019351,0.68931246,0.32507822,0.4786041,0.5690368,0.5146932,0.37715778
PDZK1IP1,0.4365378,0.47530368,0.4669517,0.5628692,0.5250741,0.48989883,0.47084466,0.52989537,0.39017195,0.5755996,0.3971629,0.5751119,0.5660602,0.51851773,0.54255277,0.5402388,0.5233356,0.5060186,0.53953344,0.5628535,0.47324905,0.46075547,0.4618379,0.46256322,0.5055102,0.49042732,0.5367693,0.43315974,0.50000936,0.52321184,0.49032548,0.5160171,0.5423525,0.49829623,0.47373593,0.5508771,0.4604159,0.4977059,0.47225645,0.4999286,0.4657928,0.50613093,0.48539382,0.5401567,0.4943871,0.4303958,0.43892375,0.5063291,0.53257376,0.47502956,0.53304315,0.5482088,0.5298263,0.42771927,0.5186627,0.5001047,0.44099852,0.50742334,0.500228,0.49457002,0.57865983,0.56317806,0.48683652,0.543138,0.45099884,0.54472625,0.47277427,0.52057934,0.49947378,0.5128221,0.56623065,0.4663878,0.48143578,0.55093026,0.5364062,0.5053029,0.47726977,0.48407337,0.49577394,0.46249244,0.5534501,0.4639195,0.53315127,0.52280474,0.5101693,0.4321701,0.44967827,0.4782564,0.47924232,0.4679599,0.5672388,0.50223535,0.48071614,0.5574676,0.536409,0.47524744,0.5048545,0.48809263,0.53645575,0.49430984,0.442505,0.52757865,0.5132534,0.48263225,0.42797148,0.46629044,0.35219455,0.4858843,0.5405584,0.43577102,0.55905163,0.54020053,0.5014869,0.5815844,0.55066824,0.4889011,0.4804264,0.5072615,0.53508925,0.4357554,0.5030353,0.47989222,0.49285993,0.43563637,0.46916676,0.5075208,0.46291214,0.5177971
PSMD9,0.3914173,0.47045717,0.4659802,0.5910017,0.5806379,0.43967092,0.43806946,0.54559934,0.33803448,0.6172509,0.37731022,0.6119914,0.573219,0.5127664,0.56349033,0.5627737,0.5178557,0.47469196,0.54517174,0.60534436,0.47847116,0.39568207,0.4723502,0.49067104,0.52467656,0.489661,0.5877489,0.40970758,0.44747728,0.57354987,0.45882943,0.52497965,0.5530066,0.49495476,0.4835529,0.57591724,0.4600421,0.5100744,0.482112,0.48844242,0.46256435,0.48282582,0.47985983,0.5534255,0.5370438,0.40613064,0.39388588,0.51130533,0.58183265,0.46968815,0.5608901,0.6064376,0.45151427,0.41700575,0.51443386,0.48700628,0.4634849,0.49698594,0.492139,0.49803868,0.6378083,0.6018867,0.4641369,0.53864765,0.42637286,0.6001354,0.4466201,0.4999746,0.4965033,0.5504181,0.6067469,0.4714639,0.445097,0.53227437,0.5574325,0.5048287,0.4885938,0.49077654,0.48606974,0.42954665,0.58884853,0.48626223,0.54270506,0.5308176,0.54889166,0.42576784,0.44002572,0.47803995,0.4788225,0.4017407,0.6019536,0.501031,0.48217,0.5687934,0.5392921,0.4536273,0.50103265,0.47523174,0.56913006,0.4797915,0.40355366,0.5138176,0.5648056,0.43619332,0.38883498,0.45634267,0.2905849,0.44540527,0.56415427,0.39275092,0.5842339,0.5201642,0.49142793,0.6390347,0.55107754,0.5046319,0.47948045,0.5639138,0.54498494,0.4035104,0.4934852,0.44681564,0.4707843,0.40624923,0.4490828,0.49425364,0.45961872,0.57685244
GRINA,0.44395384,0.47755054,0.46768564,0.5579227,0.519222,0.50250417,0.48030922,0.5261506,0.40529877,0.5655303,0.39636475,0.5681545,0.57024384,0.5333353,0.5398204,0.5350876,0.5244597,0.5074546,0.5360777,0.5518718,0.46848443,0.47923276,0.4565523,0.4432624,0.51063395,0.48169586,0.5266205,0.43472695,0.5069858,0.51208365,0.49320903,0.5145232,0.53272194,0.5010601,0.47216696,0.5477856,0.45987645,0.49501508,0.47611395,0.49776024,0.46084917,0.51367927,0.48865804,0.5319518,0.47214055,0.4242024,0.45339897,0.5105192,0.52988976,0.47631705,0.52258694,0.533597,0.54544437,0.42923823,0.5171283,0.5066704,0.43692723,0.5027266,0.49872094,0.5002599,0.5717445,0.55903035,0.49311534,0.53885937,0.4581795,0.5330262,0.4764646,0.5243959,0.504883,0.49560428,0.5599071,0.45350397,0.48599076,0.558142,0.53630626,0.5035399,0.47677392,0.48004633,0.49782097,0.47021136,0.54923815,0.4523176,0.52575415,0.5198773,0.500688,0.43705016,0.4440472,0.47995922,0.48349494,0.48156577,0.55577964,0.5065029,0.48876828,0.5534615,0.5461278,0.47901657,0.5092733,0.48683143,0.5413751,0.4995604,0.44790766,0.5350607,0.5042344,0.49066448,0.43936914,0.47168744,0.3647245,0.48826572,0.5302986,0.4402294,0.5609481,0.5453382,0.5074366,0.57224905,0.5579072,0.48644558,0.47888526,0.49036035,0.52893174,0.44341105,0.5049145,0.47968656,0.5007896,0.44155133,0.4729572,0.5188539,0.45999214,0.50617427
