,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
DRAM2,0.2214135,0.0,0.12344867,0.0,0.0,0.0,0.0,0.3169253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17520833,0.3869572,0.0,0.16267571,0.0,0.15487528,0.0,0.0,0.0,0.0,0.0,0.05405413,0.0,0.0,0.0,0.016481735,0.21114638,0.0,0.15523906,0.4972299,0.0,0.0,0.0,0.0,0.0,0.11245059,0.0,0.0,0.08300447,0.021545216,0.0,0.24490395,0.0,0.40637818,0.020554766,0.0,0.0,0.26901242,0.0,0.24123605,0.0,0.0,0.01760296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42021653,0.0,0.14658074,0.0,0.06697267,0.0,0.017072003,0.5053903,0.0,0.0,0.0,0.025926571,0.36844403,0.0,0.20617294,0.50058013,0.0,0.0,0.0,0.0,0.2834401,0.0,0.23553279,0.0,0.0,0.0,0.0,0.07699621,0.0,0.4082989,0.14662157,0.24471419,0.15009901,0.0,0.15579456,0.0,0.32979262,0.0,0.2845776,0.08102366,0.26090443,0.22287561,0.0,0.48690414,0.5222517,0.121027544,0.0,0.23200871,0.0,0.0,0.0,0.31384432,0.0,0.0,0.30035886,0.0,0.27510527,0.0,0.045522735,0.0,0.0
MKI67,0.35816538,0.0,0.0,0.0,0.0,0.0,0.0,0.38657895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21566415,0.4264114,0.0,0.28326687,0.0,0.3743367,0.0,0.0,0.0,0.0,0.0,0.011044111,0.0,0.0,0.0,0.0,0.20656148,0.0,0.066936746,0.586658,0.0,0.0,0.017913328,0.0,0.0,0.2447178,0.0,0.0,0.0,0.0,0.0,0.48958397,0.0,0.47104183,0.0,0.0,0.0,0.597175,0.0,0.3670096,0.0,0.0,0.31415996,0.0,0.0,0.0,0.0,0.0089875385,0.0,0.0,0.0,0.8299382,0.0,0.18491924,0.0,0.15777403,0.0,0.0033408366,0.47274798,0.0,0.0,0.0,0.0,0.5570999,0.0,0.39753175,0.4959388,0.0,0.0,0.0,0.0,0.5968346,0.0,0.21750776,0.0,0.0,0.0,0.0,0.0,0.0,0.3988183,0.30882162,0.32058877,0.0,0.0,0.0,0.0,0.6330465,0.0,0.19084826,0.35644272,0.2639635,0.28493744,0.0,0.4357353,0.50411093,0.0,0.0,0.10927241,0.0,0.0,0.0,0.24183753,0.0,0.0,0.29089752,0.0,0.56907344,0.0,0.07831451,0.0,0.0
TSHZ3,0.0,0.0,1.7392126,0.0,0.0,2.9306462,0.0,1.3017462,0.0,0.0,0.0,0.0,0.0,0.0,1.839844,0.0,4.0782833,2.370854,0.9785573,0.16660008,0.0,0.0,0.0,0.0,2.0407963,0.0,0.0,0.64227283,0.0,0.0,0.0,0.0,0.0,0.0,0.47714967,2.3897529,0.0,0.0,0.0,0.0,0.0,1.3485737,0.0,0.0,0.91085416,0.0,0.0,0.0,0.0,1.8682605,0.6146107,0.0,0.0,0.0,1.7884033,0.97308314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8494394,0.0,0.24010673,0.0,0.0,0.68424255,0.0,0.0,0.6218666,0.0,0.0,0.0,0.783657,2.1120625,0.0,0.2509475,0.0,0.6476186,0.0,0.0,0.0,0.28120115,0.8778176,0.0,2.6741178,1.543584,1.2300767,0.09228489,0.0,2.829736,0.0,3.4476469,0.0,0.0,2.97108,0.0,2.0340557,0.92353314,0.2695185,0.0,2.9753637,0.0,0.90708804,1.1411415,0.0,2.7822502,2.0482411,1.5379288,0.0,0.0,0.7290979,0.0,0.0,2.4950173,0.0,0.0,2.405651,0.0,0.0,0.06994761,0.0,0.0,0.0
NUDT19,0.34067288,0.0,0.0,0.0,0.0,0.0,0.0,0.42547002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23357579,0.43322936,0.0,0.26314187,0.0,0.26926634,0.0,0.0,0.0,0.0,0.0,0.015547384,0.0,0.0,0.0,0.0,0.2301377,0.0,0.12943995,0.6349377,0.0,0.0,0.0,0.0,0.0,0.23283619,0.0,0.0,0.0,0.03986942,0.0,0.4482321,0.0,0.505806,0.061390273,0.0,0.0,0.46487108,0.0,0.36260128,0.0,0.0,0.1495774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7423576,0.0,0.21911925,0.0,0.1027087,0.0,0.0,0.5680512,0.0,0.0,0.0,0.0,0.51246816,0.0,0.27559608,0.6228841,0.0,0.0,0.0,0.0,0.55697656,0.0,0.25097,0.0,0.0,0.0,0.0,0.0073646903,0.0,0.4988694,0.23416011,0.3696374,0.0,0.0,0.05095818,0.0,0.5503636,0.0,0.25296748,0.2807471,0.26454246,0.38822484,0.0,0.5316009,0.6415924,0.06316711,0.0,0.2318762,0.0,0.0,0.0,0.37962794,0.0,0.0,0.34735385,0.0,0.48316428,0.0,0.08984794,0.0,0.0
ASB8,0.06304017,0.0,0.25864336,0.0,0.0,0.10428953,0.0,0.4657869,0.0,0.0,0.0,0.0,0.0,0.0,0.11075483,0.0,0.35801464,0.6664227,0.0,0.31297353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057392646,0.0,0.0,0.0,0.08797193,0.30046165,0.0,0.2672211,0.7950154,0.0,0.0,0.0,0.0,0.0,0.13969183,0.0,0.0,0.16332836,0.0,0.0,0.13137914,0.0,0.5987357,0.11555446,0.0,0.0,0.08975482,0.070967175,0.29775402,0.10296249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36139813,0.0,0.24267338,0.0,0.0,0.0,0.08119747,0.6153459,0.0,0.0,0.0,0.22702426,0.44412243,0.0,0.06883936,0.5994197,0.0,0.0,0.0,0.0,0.20197515,0.0,0.37501574,0.0,0.0,0.017897919,0.0,0.25531018,0.0,0.5757049,0.041334003,0.33822644,0.3144583,0.0,0.21872398,0.0,0.30847126,0.0,0.5031958,0.0,0.39918315,0.2243822,0.0,0.7235534,0.72565633,0.36495525,0.0,0.29137176,0.0,0.0,0.0,0.5709552,0.0,0.0,0.4499524,0.0,0.12173268,0.0,0.09464422,0.0,0.108307794
VKORC1L1,0.33323863,0.0,0.0,0.0,0.0,0.0,0.0,0.14355402,0.0672442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052444115,0.14521047,0.05568724,0.07835232,0.0,0.38552597,0.0,0.0,0.0,0.0,0.0,0.019599546,0.002464082,0.0,0.0,0.0,0.082374275,0.0,0.03821545,0.26986608,0.0,0.0,0.0,0.0,0.0,0.1323094,0.0,0.0,0.0,0.07997214,0.0,0.36145344,0.0,0.22253302,0.0,0.0,0.0,0.4697914,0.0,0.1916069,0.0,0.0,0.17990933,0.0,0.0,0.0,0.0,0.0,0.0,0.038947884,0.0,0.5347964,0.0,0.0860976,0.0,0.15246554,0.0,0.0,0.2775005,0.0,0.0,0.0,0.0,0.3206262,0.0,0.2710422,0.26164266,0.072373755,0.0,0.0,0.0,0.4207939,0.0,0.10980284,0.0,0.0,0.0,0.0,0.0,0.0,0.22593814,0.20669965,0.20088716,0.0,0.0,0.0,0.0,0.43910834,0.0,0.06339447,0.36433783,0.087026484,0.172638,0.0,0.19255123,0.26387757,0.0,0.0,0.06570736,0.0,0.0,0.0,0.057043687,0.0,0.0,0.09543398,0.0,0.45533854,0.0,0.0,0.0,0.0
SOX18,0.0,0.0,2.1606038,0.0,0.0,2.9471323,0.0,1.3087072,0.0,0.0,0.0,0.0,0.0,0.0,2.3239205,0.0,5.0213223,1.6686836,1.1427107,0.12757266,0.0,0.0,0.0,0.0,2.1144273,0.0,0.0,1.195733,0.0,0.0,0.0,0.0,0.0,0.0,0.7129505,2.2812812,0.0,0.0,0.0,0.0,0.0,1.5588794,0.0,0.0,1.3142871,0.0,0.0,0.0,0.0,2.1664732,0.6747211,0.0,0.0,0.0,1.7054073,1.2084154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0447316,0.0,0.12295974,0.0,0.0,1.3802007,0.0,0.0,0.29920238,0.019808859,0.0,0.0,0.6269795,2.3852339,0.0,0.4604927,0.0,0.8851051,0.0,0.0,0.0,0.37056246,0.7876805,0.0,3.0510283,1.8804414,1.4794912,0.0,0.0,3.0308716,0.0,3.88851,0.0,0.0,2.9613519,0.0,2.2962494,1.22992,0.033181198,0.0,3.2632036,0.0,0.40204644,0.95239764,0.0,2.893686,1.7859542,1.687618,0.0,0.0,0.9765262,0.0,0.0,2.7074857,0.0,0.0,2.1865063,0.17271633,0.0,0.42535183,0.0,0.0,0.009535731
PDZK1IP1,0.3916523,0.093498275,0.07427033,0.0,0.0,0.0,0.0,0.31876323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10071266,0.32084274,0.0,0.09301445,0.0,0.29185593,0.0,0.0,0.0,0.0,0.0,0.0,0.03570671,0.0,0.0,0.0,0.15912804,0.0,0.080268726,0.36715013,0.0,0.0,0.0,0.0,0.0,0.084145926,0.0,0.0,0.05531107,0.116935246,0.0,0.41246983,0.0,0.35384557,0.0,0.0,0.0,0.34880778,0.0,0.23804079,0.0,0.0,0.023109699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6060311,0.0,0.092097744,0.0,0.27363917,0.0,0.015249755,0.5278002,0.0,0.0,0.0,0.0,0.34310594,0.0,0.2958521,0.3334349,0.009184085,0.0,0.0,0.0028785244,0.4194938,0.0,0.24630462,0.0,0.0,0.0,0.0,0.064707495,0.0,0.20563519,0.25776535,0.16547829,0.10791328,0.0,0.18189004,0.0,0.43949237,0.0,0.17907208,0.35147226,0.30563936,0.186155,0.0,0.3188238,0.47073182,0.0,0.0,0.1969001,0.0,0.0,0.0,0.14640152,0.0,0.0,0.18022242,0.0,0.42479253,0.0,0.03600222,0.0,0.0
PSMD9,0.6416902,0.09081097,0.0,0.0,0.0,0.0,0.0,0.25091177,0.20685741,0.0,0.113778725,0.06846355,0.0,0.0,0.0,0.0,0.005358234,0.10492884,0.16703409,0.0,0.0,0.5229566,0.0,0.14252926,0.0,0.0,0.0,0.032854114,0.09735252,0.0,0.0,0.0,0.11330106,0.0,0.0,0.15191153,0.0,0.0,0.0,0.0,0.0,0.18469411,0.0,0.0,0.0,0.111923255,0.0,0.5874523,0.0,0.14310433,0.0,0.0,0.1080862,0.77428806,0.0,0.16993192,0.0,0.0,0.30028054,0.0,0.0,0.0,0.0,0.047455892,0.026079811,0.042097952,0.0,0.81460506,0.0,0.0,0.0,0.38106802,0.0,0.0,0.29650158,0.0,0.0,0.0,0.0,0.36485586,0.03312232,0.5112425,0.16935582,0.05324126,0.0,0.041621953,0.0,0.61220187,0.0,0.12839809,0.0,0.0,0.0,0.0,0.0,0.0,0.17834623,0.29377195,0.1444087,0.0,0.0,0.0,0.0,0.6355955,0.0,0.0,0.639689,0.10707782,0.23664255,0.09051533,0.19510457,0.22242615,0.0,0.0,0.030233413,0.0,0.0,0.0,0.0,0.11555528,0.0,0.035894316,0.0,0.6896292,0.0,0.0,0.0,0.0
GRINA,0.33805954,0.0,0.0125234425,0.0,0.0,0.0,0.0,0.3772963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13034977,0.36669993,0.0,0.16236214,0.0,0.22910842,0.0,0.0,0.0,0.0,0.0,0.019479189,0.0,0.0,0.0,0.0,0.24937552,0.0,0.14816755,0.488677,0.0,0.0,0.0,0.0,0.0,0.1726,0.0,0.0,0.057010986,0.05042734,0.0,0.3509669,0.0,0.37729368,0.0,0.0,0.0,0.3850449,0.0,0.23532444,0.0,0.0,0.13691236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6212483,0.0,0.109526485,0.0,0.12629023,0.0,0.026122358,0.5403779,0.0,0.0,0.0,0.0,0.40073264,0.0,0.27880704,0.47460788,0.0,0.0,0.0,0.0,0.3813213,0.0,0.29613262,0.0,0.0,0.0,0.0,0.017498527,0.0,0.33237696,0.14661075,0.2562371,0.09393447,0.0,0.12400259,0.0,0.43245742,0.0,0.23891409,0.2738263,0.2863198,0.2682677,0.0,0.45742938,0.5766932,0.084024616,0.0,0.19047117,0.0,0.0,0.0,0.287862,0.0,0.0,0.2390472,0.0,0.44913554,0.0,0.0200366,0.0,0.0
