,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
DRAM2,0.018268745,0.021915551,-0.020834506,-0.0008209348,-0.025830247,0.0008969195,0.008478589,0.015247563,-0.022931807,0.012130082,-0.028787598,-0.010106223,-0.0044771507,0.014833821,0.013252582,-0.016151164,-0.030624561,-0.018585077,-0.017303865,0.013297126,-0.000954533,0.004567355,-0.0073573897,0.0047273226,-0.014234513,-0.013762391,0.0019449443,0.01782699,0.010277323,-0.003773762,0.01593272,-0.007690154,-0.0045741834,0.0066851526,0.02101674,0.026981644,-0.0048364517,0.011795933,0.0010467279,0.0065366738,0.0012333989,0.02973463,-0.013094546,0.0099549,-0.00068185106,0.0073350593,4.810095e-05,0.021609291,0.026300637,-0.015575504,-0.022800842,-0.024349265,0.0029581212,-0.0032655736,0.010796685,-0.012837492,-0.00847102,-0.0045670047,0.004928101,-0.004556544,0.0012160055,0.019107148,0.0028375126,-0.016756037
MKI67,0.027768753,0.048003457,-0.0020247288,0.036755115,0.019426994,-0.04907557,-0.023545332,-0.025178649,0.038749926,0.0473513,-0.060327098,-0.0057528093,0.04603567,0.048083767,-0.017459579,-0.042014368,-0.038191274,-0.041156147,-0.027862683,-0.037053663,-0.03261003,0.029734898,0.019040707,0.04803233,0.031941563,-0.057047267,-0.04245723,-0.019292586,-0.018902525,0.021444451,-0.027508229,-0.029466812,-0.025787666,-0.024285056,0.068382196,0.050606765,-0.007830471,0.022827202,0.04036545,-0.015193323,-0.02188544,0.04748859,-0.016923739,0.013339482,0.023164205,-0.01898013,0.03738614,-0.020857792,0.046678774,-0.04812604,0.017561551,0.034534693,0.029666295,0.03137521,0.031376824,-0.0410994,0.023528256,0.056572504,0.036159653,0.038227968,-0.041209027,0.025429748,0.029295756,-4.965067e-05
TSHZ3,-0.23833008,-0.25450304,-0.14867082,-0.23996498,-0.23493862,0.27126747,0.24024591,0.1696159,-0.32833132,-0.2083585,0.22810434,0.0077181365,-0.33195424,-0.27356675,0.22162017,0.2597656,0.20161377,0.2054301,0.23573366,0.29210544,0.1822096,-0.29656914,-0.24809472,-0.29098675,-0.3456108,0.23217075,0.23194051,0.3159611,0.29059854,-0.26298457,0.3337044,0.25840244,0.20766814,0.27171883,-0.21077602,-0.15894106,0.0003435295,-0.26960555,-0.32404175,0.2051996,0.28193575,-0.29500586,0.2294191,0.08882473,-0.1440107,0.23861133,-0.2539034,0.31511712,-0.082799695,0.17420597,-0.35016006,-0.32670087,-0.25732148,-0.27017242,-0.29964897,0.27699384,-0.18149087,-0.2731094,-0.23726267,-0.24431682,0.24332073,-0.21669945,-0.31502196,-0.07012203
NUDT19,0.019414656,0.03287842,-0.015969634,0.019182429,-0.008464746,-0.018196207,-0.010067314,-0.00924772,0.0032262728,0.030838799,-0.040305823,-0.0020118877,0.016671652,0.025934473,-0.0046786964,-0.022437813,-0.027691485,-0.029363573,-0.018761467,-0.012040596,-0.021023458,0.017412096,-0.0010429071,0.018568795,0.0084916055,-0.031212766,-0.015638575,0.0072752684,0.01023601,0.0060537662,-0.0010137605,-0.01589562,-0.008878741,-0.0054778904,0.04510893,0.03515506,-0.0013262946,0.005221594,0.015430549,0.0016437918,0.013962511,0.027790677,-0.0061745327,0.014892131,0.0053930692,-0.0006204471,0.018300332,0.002222927,0.03500758,-0.032494474,-0.013682071,-0.00045341253,0.0061013275,0.0063399887,0.005070351,-0.011908393,-0.0027652904,0.023649007,0.01394511,0.015487552,-0.015283158,0.01176171,0.01816461,-0.009532087
ASB8,-0.019298762,-0.036146253,-0.056974486,-0.05484393,-0.069618925,0.06710045,0.06030417,0.052240774,-0.093988985,-0.035406448,0.014681903,0.004381965,-0.048195496,-0.049123265,0.05001217,0.025972713,0.016524695,0.024432242,0.00664898,0.048391707,0.023759123,-0.04623487,-0.078553975,-0.050027736,-0.06196422,0.039037503,0.053901967,0.089933425,0.076016925,-0.039186157,0.07431978,0.031636365,0.046467703,0.06336277,-0.045385174,-0.02667132,0.009844815,-0.038267717,-0.02517824,0.03803996,0.068381615,-0.028948378,0.048656017,0.01627981,-0.058935344,0.047201514,-0.027348056,0.08567605,-0.00430128,0.033096254,-0.07479734,-0.08665422,-0.057675857,-0.05641047,-0.04677666,0.05116529,-0.06850869,-0.07441011,-0.05866307,-0.06191208,0.06906123,-0.039010376,-0.059021518,-0.040614184
VKORC1L1,0.050412662,0.08696362,0.049214613,0.07369757,0.05279004,-0.113340035,-0.077273384,-0.0560574,0.085797094,0.08379225,-0.081869155,-0.047365792,0.059660498,0.110996656,-0.02052246,-0.06307028,-0.081135765,-0.09282478,-0.038768593,-0.06521663,-0.04787489,0.08078721,0.09233121,0.09213776,0.07620701,-0.10556826,-0.068168886,-0.07975703,-0.08976096,0.050186925,-0.09098826,-0.06733045,-0.07673374,-0.082512386,0.11352783,0.09238773,-0.031064862,0.07515399,0.04866315,-0.05967912,-0.11368917,0.118119106,-0.08686022,0.012366369,0.09241864,-0.057268456,0.035340436,-0.07842887,0.06568535,-0.07964767,0.06650173,0.08918086,0.081570245,0.08864195,0.09913126,-0.110444896,0.09853096,0.10239057,0.100117266,0.08779452,-0.10161578,0.08867487,0.08625224,0.02751226
SOX18,-0.2850415,-0.26265952,-0.17680252,-0.24962305,-0.2904654,0.31337196,0.25666976,0.16547832,-0.37851042,-0.20591596,0.2570594,0.008093808,-0.35542846,-0.25460675,0.25856888,0.31995904,0.21214399,0.22776964,0.287523,0.34740642,0.26687387,-0.34923777,-0.29269895,-0.33111945,-0.4324552,0.24005127,0.29466572,0.3438058,0.33419287,-0.31437084,0.37123415,0.29015628,0.22274476,0.3060802,-0.18229829,-0.15364178,0.031374976,-0.29498816,-0.38809457,0.20485184,0.30101538,-0.34737697,0.248413,0.08813492,-0.12833725,0.27686352,-0.32489225,0.34059632,-0.09158064,0.17550744,-0.45165274,-0.32992858,-0.3069613,-0.285083,-0.36094078,0.31132564,-0.18066132,-0.3107202,-0.27020502,-0.25754106,0.24749921,-0.24952817,-0.36787033,-0.09016933
PDZK1IP1,0.041202486,0.054694884,0.021950062,0.05333761,0.017758608,-0.05130865,-0.035398424,-0.018410914,0.03799189,0.043460924,-0.06848732,-0.016264385,0.02651072,0.057477646,-0.011886835,-0.040676486,-0.05796937,-0.05080185,-0.026616564,-0.031134263,-0.03597033,0.0438491,0.054334212,0.04321023,0.025940754,-0.062631,-0.03957513,-0.017824925,-0.045745827,0.02994892,-0.04013623,-0.04295149,-0.048400123,-0.03199541,0.067136206,0.062622525,-0.0150882155,0.0381746,0.021025281,-0.028986594,-0.056551896,0.073844954,-0.059524544,0.013079334,0.042194437,-0.022395499,0.034699596,-0.040751304,0.05154155,-0.048723515,0.01469553,0.033819377,0.048775163,0.03450522,0.05299289,-0.06784138,0.02842623,0.054805413,0.051156793,0.04011848,-0.059035532,0.058429852,0.047281668,0.003724508
PSMD9,0.06455067,0.1345573,0.10487589,0.14640991,0.13283503,-0.22556166,-0.13533704,-0.12651475,0.18624607,0.13492492,-0.12034948,-0.06509341,0.106178544,0.18235889,-0.05496861,-0.09469721,-0.10320596,-0.14851372,-0.03539627,-0.1565926,-0.09223356,0.14715728,0.18958676,0.15422085,0.145262,-0.18176651,-0.13270202,-0.16797465,-0.17065485,0.11317067,-0.17967664,-0.11125545,-0.15107737,-0.17123222,0.18962656,0.13031438,-0.06051708,0.10243006,0.07724656,-0.11576528,-0.19894098,0.1753233,-0.15265334,0.02182597,0.15923423,-0.09950191,0.0919861,-0.18029301,0.105024494,-0.121020585,0.12648588,0.18009423,0.15792727,0.14534444,0.15456784,-0.1879256,0.16138889,0.20421398,0.16380566,0.15105814,-0.18481548,0.13851449,0.15860933,0.07420233
GRINA,0.026448611,0.03481264,-0.0035036802,0.027960904,-0.0075459704,-0.031813364,-0.018157616,-0.009037569,0.006603487,0.032852493,-0.046374865,-0.010668706,0.017904576,0.031151168,-0.011041656,-0.03280481,-0.03765117,-0.03522426,-0.021947287,-0.013266284,-0.017447958,0.02659424,0.015793927,0.023936145,0.0036852881,-0.03478064,-0.022000305,-0.00032758713,-0.016114414,0.01083098,-0.01478403,-0.021638907,-0.026524346,-0.009035051,0.042422954,0.043732654,-0.008694954,0.017494604,0.016660826,-0.007026,-0.015091851,0.041962147,-0.023496663,0.010450974,0.015011713,-0.004750222,0.017529838,-0.009974488,0.03916225,-0.027753877,-0.0022090953,0.0076313764,0.024369152,0.014235923,0.02227515,-0.03561399,0.007927395,0.027501948,0.025840525,0.017612584,-0.026171664,0.025256723,0.016863612,-0.008912111
