,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
FGFR1OP,0.48013237,0.45490253,0.4752184,0.42242447,0.51051587,0.5284681,0.5064904,0.53870595,0.45725518,0.41109952,0.6417758,0.47729453,0.49138442,0.45840842,0.4692811,0.4404377,0.42420053,0.5387012,0.5417356,0.5103418,0.5288672,0.46872965,0.48791698,0.38342828,0.5243944,0.5527103,0.40737858,0.49102896,0.5202321,0.5095787,0.48805067,0.54358083,0.48298484,0.4848602,0.48021924,0.47512192,0.5037983,0.5216472,0.48994747,0.53735125,0.5088602,0.4787925,0.52527446,0.4858079,0.43615803,0.542118,0.5061903,0.5446252,0.49242836,0.51122206,0.47468734,0.55816007,0.56437606,0.49657938,0.46708888,0.4513897,0.4593078,0.48852083,0.4735457,0.52040505,0.5472867,0.3769523,0.5349158,0.4620538,0.5151439,0.6360725,0.32866305,0.50342333,0.49862793,0.45421693,0.5372126,0.41508362,0.5033943,0.4753399,0.5256262,0.56700236,0.4294674,0.5164411,0.5060605,0.5324909,0.5080135,0.43246713,0.37985802,0.48792377,0.5445405,0.5017566,0.5084598,0.5319171,0.55470157,0.41760164,0.38770404,0.55376834,0.47668916,0.44301492,0.51262325,0.59840655,0.4761807,0.50473875,0.4564729,0.4608293,0.45754653,0.43928465,0.533066,0.45484006,0.5118771,0.40989953,0.37947083,0.46900928,0.4619644,0.4774934,0.51635647,0.4864792,0.5035776,0.5316866,0.50306875,0.49492472,0.4114647,0.48009256,0.4783079,0.45313793,0.5102265,0.42754477,0.5095012,0.43323025,0.4359987,0.46451235,0.5004244,0.44942078
NUP155,0.47277704,0.45482704,0.4598702,0.38023564,0.5216042,0.56291175,0.50721085,0.5632723,0.35968825,0.38069707,0.7133855,0.501873,0.4813716,0.4921068,0.46283007,0.39821595,0.45525318,0.56022745,0.575805,0.53154516,0.5356893,0.49364412,0.46612132,0.40757042,0.5452433,0.59156233,0.35463247,0.53005344,0.52940506,0.49229395,0.49026942,0.5939592,0.50576305,0.43782756,0.5052165,0.53724307,0.50981456,0.557949,0.47907072,0.5023771,0.5152443,0.49695426,0.52029467,0.5101192,0.41751766,0.58600914,0.50569844,0.5474018,0.5247888,0.4934887,0.4530531,0.5864555,0.61465263,0.4935632,0.43481764,0.46544495,0.38571423,0.4996268,0.46720055,0.5370453,0.59578335,0.3169827,0.5339224,0.45224318,0.49015203,0.73446375,0.23131217,0.49029016,0.5201082,0.3947241,0.56046253,0.36412132,0.50434625,0.40261233,0.52972984,0.5882764,0.425636,0.51869166,0.5163752,0.53399026,0.5501299,0.43036133,0.339415,0.49048352,0.60247946,0.46180573,0.5493026,0.5486074,0.6051579,0.32254428,0.34314513,0.5970317,0.42246348,0.42547962,0.55865866,0.66868347,0.4862764,0.49994898,0.451633,0.45455742,0.42213237,0.45493764,0.5234593,0.46568716,0.4586417,0.35785404,0.36181897,0.44269466,0.4417382,0.4483396,0.54430777,0.44837153,0.46822047,0.5212044,0.50300324,0.49898842,0.3787391,0.4911903,0.47307235,0.40537253,0.5047161,0.422974,0.48984036,0.4130671,0.4055647,0.44097808,0.53704107,0.42628288
IDH1,0.4962891,0.45554274,0.47620142,0.41733935,0.5367333,0.55737025,0.5030668,0.57485914,0.4751499,0.42093483,0.69043124,0.46610913,0.4862987,0.46102813,0.455517,0.45311195,0.3932523,0.5624467,0.5579702,0.5060861,0.5292418,0.48286682,0.48987707,0.3700632,0.52081716,0.58269244,0.39316347,0.51852787,0.52963006,0.5466644,0.46196795,0.5543573,0.51400775,0.4876909,0.504013,0.4694928,0.5399333,0.53381014,0.48333174,0.54792684,0.5515393,0.45609656,0.5243673,0.5013408,0.42380252,0.5348058,0.5241451,0.5586579,0.50572395,0.5301474,0.49895447,0.6176507,0.5891715,0.51283085,0.47375792,0.4773152,0.4485761,0.496829,0.48797283,0.55276537,0.5454076,0.40119636,0.55613774,0.44861698,0.5437747,0.68270093,0.33786547,0.5092763,0.51385516,0.45478344,0.5366269,0.38865435,0.5342894,0.50031245,0.5568575,0.5808088,0.44309533,0.56857115,0.53688794,0.5110365,0.53975874,0.43660778,0.38578147,0.47982556,0.5331563,0.48451298,0.48901874,0.5667955,0.5762378,0.37834343,0.37696114,0.56696105,0.43936878,0.44669363,0.52186936,0.6306532,0.4425898,0.5225363,0.4661355,0.4632162,0.477563,0.4261354,0.57570857,0.4638118,0.5431106,0.40451878,0.34917644,0.44946653,0.46522585,0.4654587,0.54880875,0.5131868,0.517421,0.5509214,0.52087086,0.5073948,0.39667425,0.47834042,0.4858686,0.45646358,0.5271784,0.41072342,0.49961096,0.4201863,0.43899968,0.46540207,0.523218,0.48172256
ST8SIA4,0.5071384,0.46544066,0.46343237,0.3909901,0.5268997,0.5675554,0.50691485,0.60380685,0.4170483,0.40836143,0.7270337,0.5071386,0.47297692,0.4664675,0.444214,0.44174898,0.4000079,0.5699607,0.5882228,0.5261782,0.5209092,0.50429755,0.4900749,0.3916488,0.53682685,0.60499316,0.3705609,0.52333206,0.5332878,0.5156694,0.4732577,0.58741504,0.5183211,0.45057166,0.5218717,0.530312,0.5186547,0.5232286,0.4738731,0.521601,0.53423893,0.46864432,0.515617,0.51261336,0.41933894,0.5756868,0.54219407,0.546357,0.514235,0.5327539,0.48417273,0.6303938,0.63521993,0.49943534,0.47399306,0.49261755,0.40067497,0.50021696,0.45619974,0.53786486,0.5681136,0.3841152,0.53904855,0.43685225,0.5350716,0.72482604,0.3179363,0.4803778,0.5228901,0.44171822,0.51264375,0.35745636,0.5386489,0.4620542,0.5616898,0.5677019,0.42447194,0.58796823,0.5191848,0.5027061,0.5454527,0.4524956,0.35885558,0.4787326,0.54652095,0.46673968,0.48234463,0.5608685,0.5809419,0.33763018,0.33974952,0.5878459,0.4080839,0.43610135,0.5319152,0.6755977,0.43589866,0.5056453,0.467999,0.4567612,0.4497127,0.43876007,0.57822424,0.45838326,0.51159286,0.3866613,0.36471003,0.4422008,0.4354452,0.47807804,0.532867,0.49435458,0.51872116,0.57026017,0.53710246,0.50585836,0.40025148,0.4748635,0.49804986,0.4383601,0.54174584,0.4043021,0.48622948,0.42151967,0.43324193,0.45827147,0.52563596,0.4815964
PLAC8,0.45029062,0.40820453,0.4439161,0.44944564,0.5731122,0.60631996,0.50338584,0.51802635,0.46787784,0.43717763,0.7435553,0.36641163,0.49686268,0.42680696,0.50694525,0.3874641,0.40662324,0.59454477,0.56143117,0.50646526,0.5535832,0.48940858,0.47763336,0.3193066,0.5333026,0.5884537,0.3463886,0.5526798,0.63746214,0.665977,0.441713,0.5472885,0.52646554,0.50327665,0.44113114,0.3185616,0.5400326,0.6253481,0.528968,0.5960826,0.6021672,0.4798101,0.5494482,0.46743858,0.42514423,0.5724865,0.6207709,0.65353525,0.5024031,0.6048556,0.52269423,0.5980276,0.5714063,0.54564065,0.44685033,0.3920947,0.55863214,0.47785142,0.52746326,0.6535355,0.6307258,0.35651827,0.6564012,0.41265777,0.592847,0.75007194,0.2864842,0.584897,0.5649035,0.47849026,0.5807114,0.43426624,0.54036105,0.48541364,0.5762422,0.63676924,0.5311859,0.5769143,0.55013466,0.5745558,0.55124724,0.4130571,0.35884318,0.5267123,0.53346026,0.5346213,0.5895876,0.5779959,0.5938894,0.4442835,0.42527816,0.549502,0.51739216,0.47223252,0.5566372,0.68823767,0.45985633,0.61977327,0.44449386,0.47679222,0.59441423,0.38347256,0.6150095,0.49238214,0.6281059,0.36879614,0.285904,0.56516856,0.49093384,0.4432442,0.61929697,0.5570101,0.49451905,0.468435,0.44819674,0.54832625,0.37903446,0.49625248,0.50536495,0.47959194,0.5427065,0.40881455,0.5860533,0.3667958,0.43738943,0.39187187,0.5040754,0.46942848
NDUFS1,0.46076453,0.43711767,0.46988705,0.40529394,0.5281143,0.5475278,0.51348424,0.5169603,0.42157376,0.40373033,0.69869655,0.45784408,0.4860005,0.46029937,0.48799962,0.4106297,0.4353082,0.56493664,0.55222017,0.51568425,0.5272407,0.48300514,0.47302124,0.37688988,0.53413874,0.5696474,0.36820325,0.5041594,0.573108,0.5522886,0.48252776,0.5608792,0.49211973,0.47250026,0.4760462,0.43821743,0.5107134,0.55277425,0.49715874,0.5506076,0.5432145,0.46901903,0.5358659,0.4803404,0.42697123,0.5689784,0.55687165,0.57510495,0.49831027,0.5444886,0.47363067,0.57197505,0.58772796,0.5052178,0.4550966,0.4323482,0.47338215,0.4887471,0.4957902,0.567216,0.6045027,0.35220847,0.5823506,0.44837058,0.54242593,0.7029228,0.3027104,0.5135758,0.5261283,0.46215752,0.54034007,0.41392845,0.5216603,0.44603315,0.5328832,0.5890897,0.46180207,0.5340176,0.52351254,0.5381919,0.5403026,0.42485973,0.36042684,0.5107807,0.5538631,0.5030193,0.53497255,0.55330265,0.5704343,0.41023606,0.4004427,0.55092716,0.475468,0.44548163,0.53471345,0.65009475,0.48567823,0.5412288,0.45304924,0.46157023,0.4926182,0.43835643,0.560012,0.45525432,0.5374799,0.3885703,0.35276666,0.5012948,0.45174974,0.47331455,0.5465214,0.49090374,0.48906013,0.51557654,0.49477935,0.5095725,0.40122482,0.49493816,0.49429435,0.44862637,0.5221301,0.4416643,0.5373002,0.396883,0.43080494,0.44038507,0.5041252,0.46685976
RAP1B,0.4228299,0.39953676,0.4400522,0.4561404,0.5612846,0.5410464,0.49644747,0.4571037,0.47573394,0.4322817,0.6797142,0.3285487,0.5077554,0.42264232,0.53311455,0.37670007,0.42567348,0.55289143,0.552354,0.49813196,0.5417497,0.46878493,0.44892284,0.2831343,0.52547604,0.55600375,0.37056956,0.5241762,0.61322385,0.6408889,0.45762578,0.47908905,0.4969479,0.5408248,0.40712717,0.29267427,0.5084973,0.63267654,0.54227525,0.6045481,0.5730142,0.49559268,0.5786036,0.44237646,0.4487122,0.53308064,0.56533736,0.6526359,0.4916517,0.59398973,0.5025733,0.5397032,0.4989744,0.5626817,0.457489,0.3440329,0.5824941,0.46106535,0.55134064,0.6274819,0.5797905,0.35682184,0.64949846,0.41546232,0.5769434,0.66811734,0.296098,0.5699285,0.5344377,0.48777884,0.5956127,0.4894158,0.499847,0.49725452,0.5329949,0.6261897,0.5232832,0.5041542,0.5523143,0.5869096,0.52377677,0.39847007,0.36288175,0.52173066,0.5474327,0.5891981,0.6034116,0.5688037,0.59858906,0.49762487,0.46504304,0.549181,0.5439084,0.45119876,0.55612093,0.6264693,0.4847189,0.61840963,0.42508954,0.47697023,0.58274287,0.41392592,0.56657046,0.48079792,0.5944978,0.40898675,0.28524035,0.56002474,0.50985557,0.4258776,0.6228971,0.51803285,0.46314564,0.4540118,0.4004985,0.51579344,0.38648316,0.49506983,0.49639612,0.5012774,0.5250119,0.4063484,0.5798686,0.39014727,0.4188324,0.3878496,0.49062636,0.43773454
IGTP,0.4899376,0.4606707,0.4857648,0.5213344,0.5410365,0.5235778,0.47486022,0.51536685,0.56969506,0.44295177,0.5810567,0.37189227,0.5389419,0.4627002,0.5408192,0.41217384,0.354567,0.5189318,0.5179117,0.499403,0.55356187,0.46155658,0.47974104,0.26646894,0.5118258,0.53038037,0.426694,0.5035151,0.48855588,0.56322604,0.43131799,0.43871918,0.48162526,0.587112,0.4150328,0.33844838,0.53025305,0.5961796,0.5475419,0.5788815,0.5316478,0.51314074,0.5458447,0.485903,0.4843392,0.439387,0.43544272,0.56060135,0.47513568,0.5084714,0.5015703,0.5328297,0.4478855,0.5509292,0.47067362,0.366963,0.54243326,0.47642222,0.52982455,0.562869,0.46435714,0.40687308,0.54308295,0.4255138,0.5135491,0.56270665,0.35663575,0.56488836,0.52109563,0.46386096,0.57203573,0.46860078,0.48722306,0.5610345,0.49695086,0.6155563,0.4797024,0.49658808,0.5116794,0.5502727,0.51115346,0.42226958,0.42958176,0.46376514,0.53357995,0.5579843,0.55053043,0.5315623,0.5532964,0.49906674,0.43453473,0.56842774,0.5348173,0.4570268,0.48377958,0.5166951,0.4527878,0.55211765,0.42114022,0.47973633,0.53306085,0.3828386,0.52258784,0.4961123,0.5760364,0.40508208,0.27250773,0.47802624,0.5038813,0.3916469,0.5547159,0.51385957,0.47208953,0.47979823,0.41016728,0.5073803,0.3891583,0.5036368,0.42915106,0.47960132,0.51252455,0.38411874,0.52285874,0.43799078,0.4314838,0.44522232,0.4847864,0.40670848
H2-Q6,0.49728292,0.46874887,0.4730745,0.3880572,0.530081,0.5755559,0.5143335,0.57299197,0.43570852,0.39375615,0.71416736,0.49480984,0.46046957,0.46515504,0.4597418,0.4452029,0.39575306,0.5765375,0.5677048,0.51535136,0.50174713,0.49867877,0.5055611,0.38386908,0.5208068,0.5854269,0.3618725,0.5051279,0.5418173,0.5331857,0.47552434,0.585218,0.50657773,0.4569525,0.5229782,0.5081295,0.5186724,0.5146979,0.47793248,0.5405646,0.53816974,0.45177734,0.4994174,0.5108281,0.4239616,0.5568173,0.55023384,0.55910033,0.50167686,0.5253295,0.48871475,0.6119503,0.62364995,0.50694174,0.4645557,0.48724,0.4345445,0.51752,0.48857284,0.54590815,0.5894855,0.3880527,0.56463724,0.4416365,0.5321159,0.7158877,0.3301128,0.47244453,0.5180214,0.48048425,0.51338977,0.3658131,0.5521924,0.46098158,0.556122,0.5593912,0.4330425,0.5733001,0.5197029,0.49722126,0.5543098,0.45554996,0.37631518,0.48509085,0.5484296,0.46758658,0.47794604,0.5466031,0.56767195,0.3555911,0.36136734,0.5637347,0.4219339,0.4335924,0.5425309,0.6652579,0.446785,0.53172857,0.47137827,0.46105835,0.46210515,0.4171028,0.57198876,0.4546128,0.53443146,0.37296036,0.36548948,0.44032493,0.43626344,0.47701812,0.5301997,0.48958915,0.5227669,0.5731066,0.5290098,0.50064135,0.3990656,0.48942173,0.5044814,0.43648785,0.5420518,0.41756883,0.5120105,0.39830062,0.4390641,0.45701942,0.5273471,0.50840443
PSMD6,0.42596912,0.40705246,0.44723815,0.49013996,0.561319,0.5315002,0.48679098,0.45932454,0.5106737,0.43761122,0.6420273,0.30478615,0.51161426,0.4180532,0.5384836,0.37595996,0.40773633,0.5410811,0.5467079,0.49861553,0.5508331,0.4581006,0.4466906,0.2582062,0.5203239,0.5522646,0.3902928,0.52231395,0.59449637,0.63494813,0.449921,0.43240756,0.4888301,0.5696152,0.39411557,0.2747375,0.5085434,0.64128655,0.55099535,0.610655,0.56897146,0.5035035,0.5857507,0.4370557,0.46422032,0.50184065,0.52689767,0.6479496,0.4862704,0.581812,0.50685734,0.53644496,0.46241686,0.56896436,0.4599129,0.32761976,0.5978114,0.45080498,0.5527335,0.6189489,0.53890896,0.372444,0.63835603,0.41172943,0.56761074,0.62478536,0.2952108,0.57679397,0.52995723,0.47773245,0.60516775,0.50935054,0.49081814,0.5298213,0.51498586,0.6269853,0.5203671,0.49066275,0.54558855,0.5896712,0.51056135,0.39662626,0.3808583,0.5042363,0.5375783,0.5968053,0.604459,0.5680593,0.5985825,0.5194489,0.47051078,0.55802673,0.5599375,0.45200253,0.5445469,0.5836402,0.47808143,0.61592335,0.41794935,0.47955698,0.5812026,0.40281245,0.55960876,0.49681228,0.59618354,0.41698727,0.26733008,0.54957056,0.5281698,0.40835094,0.62186664,0.5266167,0.45958126,0.44062766,0.38075277,0.51131296,0.38778347,0.49670216,0.4786337,0.51464194,0.5121677,0.39644724,0.56997424,0.40601242,0.42447984,0.3968306,0.48408628,0.4191469
