,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
FGFR1OP,0.047782015,0.000793051,0.052811503,0.04489284,-0.06980202,0.05919181,0.049037203,0.058886353,-0.052603398,-0.025116637,0.051439743,-0.046459936,-0.08605212,-0.068768635,-0.058740746,0.029200427,-0.052234646,0.041571196,-0.051730763,-0.012815703,0.08206011,0.05577635,-0.05784955,0.06651343,-0.041130625,0.08794675,-0.067815095,0.063963056,0.042976096,-0.05632112,-0.0011456758,0.06573939,-0.046346992,0.039086908,0.07505111,0.07507399,-0.039807815,-0.06139282,-0.04705911,-0.06305211,0.034532405,0.010226958,-0.06779431,0.06664024,0.042413548,-0.079182014,-0.0614688,-0.06645891,0.060087346,0.048215464,-0.021146014,0.046478506,0.013245221,0.035254907,0.014518084,0.061880015,0.050221533,-0.075114325,-0.023285959,-0.058091305,-0.06942481,0.07188988,0.011772312,0.059232254
NUP155,0.030306932,0.10645132,0.1295528,0.11964177,-0.07461777,0.012866877,-0.31849366,-0.16123483,0.16523972,-0.1717912,-0.075898126,-0.23104504,0.10584391,-0.17173448,0.05406408,0.02597063,-0.07987395,0.10217872,0.26013932,-0.31389284,-0.025416449,0.029163102,-0.08525951,0.13077888,-0.08264931,0.0042669177,-0.0008504316,0.16533157,0.08021638,0.09048671,-0.17477198,-0.16097133,-0.06796784,0.18250883,0.03498111,-0.16658668,-0.11493917,0.04967408,0.3212654,-0.05454828,0.009431418,0.2323176,0.063959084,-0.037310153,0.20381363,0.09466039,-0.10613826,0.13775897,-0.17412765,0.06621692,-0.17920533,0.05905145,-0.3055321,0.20564613,-0.26609847,0.05999253,0.14812104,-0.2592597,-0.14837432,0.039561562,-0.0642107,0.12931821,0.06241209,0.11437081
IDH1,0.072453886,0.0026803054,0.09434049,0.05529823,-0.077364944,0.090787165,0.19515347,0.1325742,-0.16832283,0.0076897666,0.114960045,-0.0358736,-0.12950855,-0.06993884,-0.13551494,0.1151778,-0.11273657,0.039614197,-0.14215486,0.028296124,0.1446037,0.076518305,-0.100954115,0.069613256,-0.07194497,0.17651148,-0.11525425,0.08391732,0.07295987,-0.16174817,-0.0010582879,0.16434556,-0.09770535,0.050185114,0.11660039,0.20031838,-0.028592963,-0.14637972,-0.15590721,-0.090845875,0.062257554,-0.036836974,-0.1507882,0.14866287,-0.0047588907,-0.1855162,-0.06278618,-0.18850692,0.14584175,0.07422068,-0.02625743,0.11540988,0.108366214,0.013557982,0.082126275,0.09115645,0.04982032,-0.037872538,-0.0056631137,-0.15942888,-0.12630016,0.10187102,0.016462632,0.06992548
ST8SIA4,0.09845802,0.073674664,0.17390731,0.12895069,-0.13340603,0.090622835,-0.016484577,0.051095553,-0.07996609,-0.08893146,0.07628458,-0.15524876,-0.088604346,-0.15839222,-0.089645095,0.123794265,-0.14544682,0.10640198,0.01252798,-0.11237779,0.12676798,0.09719002,-0.13520172,0.13673207,-0.12125187,0.16349316,-0.12325695,0.16373204,0.15126021,-0.11618371,-0.09724493,0.09935252,-0.14249708,0.15803449,0.13723691,0.09016036,-0.103743315,-0.14044711,-0.006639086,-0.12877615,0.07195097,0.089015245,-0.12290402,0.12967892,0.11904459,-0.14891304,-0.13464776,-0.09824373,0.04849946,0.114733405,-0.12682699,0.1464768,-0.06366837,0.11527072,-0.04403416,0.10971324,0.14287232,-0.17189243,-0.07792439,-0.11631352,-0.15757902,0.15722634,0.06613898,0.13327242
PLAC8,-0.08427137,-0.17875542,-0.091160506,-0.12241,0.062661335,-0.010390744,0.3008955,0.11360844,-0.047540255,0.21328124,0.007018544,0.18882468,-0.039472062,0.12898505,-0.010318957,-0.029383846,0.09776284,-0.12717919,-0.29198423,0.1316549,-0.032390088,-0.0898982,0.084824264,-0.11689988,0.120506555,-0.031120814,0.009814918,-0.12226585,-0.13487223,-0.08310909,0.15262914,0.074071154,0.05758903,-0.1299655,-0.052063644,0.109412625,0.12453243,0.008301793,-0.20284648,0.08912556,-0.07446831,-0.21680939,-0.05473246,0.069624245,-0.1502382,-0.1162892,0.11518384,-0.13808785,0.14943689,-0.07987931,0.15975633,-0.05661386,0.28407896,-0.11641465,0.15472344,-0.042291816,-0.07738332,0.17862976,0.16574761,-0.004946381,0.10446456,-0.06253657,-0.17856947,-0.082339525
NDUFS1,-0.00718347,-0.025888633,0.013730612,0.009500932,-0.015172109,0.011598643,-0.016397815,-1.9446015e-06,0.014292967,-0.002624873,-0.011567738,-0.031717405,0.006400168,-0.015219845,0.01700297,-0.012231309,0.018525753,0.008640941,0.0014806539,-0.05201041,0.0053673983,9.073736e-05,0.007273525,0.025577936,0.0056554973,0.004394062,-0.014156166,0.036695316,-0.0019466281,0.0043464266,0.0012737811,-0.021455966,0.0009050667,-0.001386553,0.015530845,-0.014077205,-0.008462965,0.0054584276,0.030158132,-0.005947102,-0.0016204491,0.007863788,0.016817989,0.010103244,0.040947065,-0.018864533,-0.0073638894,0.041340433,-0.0002354011,0.008197613,-0.011278313,0.005009746,-0.021438785,0.031411868,-0.028195273,0.006262075,0.041617244,-0.05252482,-0.015804585,0.012975815,0.0018210262,0.014212914,-0.004723862,0.011757437
RAP1B,-0.1276412,-0.21094562,-0.17981546,-0.18127757,0.10753818,-0.056306634,0.3287506,0.099807315,-0.031740848,0.25873148,-0.013680432,0.21617022,-0.0133717805,0.1803925,0.01820781,-0.09298359,0.14466272,-0.18102881,-0.29343027,0.17525738,-0.056428403,-0.12565261,0.13585107,-0.12952411,0.13307275,-0.08378673,0.0489006,-0.20671673,-0.20011373,-0.03823491,0.23822984,0.041823063,0.11036788,-0.21051821,-0.10481556,0.08690956,0.18945812,0.039835975,-0.1832619,0.13224597,-0.087912895,-0.24892083,0.0066974126,-0.010321993,-0.232895,-0.061826784,0.18648231,-0.07072668,0.13864899,-0.1433742,0.2344127,-0.12763068,0.28466752,-0.16891767,0.18807167,-0.079758435,-0.14968778,0.23043558,0.18571435,0.037246197,0.1617465,-0.11390364,-0.18911904,-0.12482388
IGTP,0.033995237,-0.18562828,-0.09737213,-0.09028768,-0.03901811,0.11375612,0.62463355,0.34407163,-0.36398423,0.22914445,0.24461058,0.27396274,-0.34963194,0.044319432,-0.21965201,0.091665216,-0.06268388,-0.04847926,-0.568839,0.44279563,0.124658324,0.043731056,-0.04247132,-0.054127097,0.012523256,0.20506635,-0.20841971,-0.17530437,-0.13955207,-0.3216876,0.3272584,0.4297841,-0.04578515,-0.1876627,0.09182661,0.41063023,0.07452138,-0.1837198,-0.6097824,-0.05026144,0.064270206,-0.342847,-0.35047382,0.29142523,-0.28194976,-0.3526486,0.05782609,-0.41368663,0.48185927,0.022804037,0.26859158,0.028445862,0.4874944,-0.1646492,0.48437837,0.11170004,-0.16855595,0.1914199,0.16124606,-0.18513939,-0.007237211,0.045865793,-0.1498161,-0.013415467
H2-Q6,0.08088355,0.05581175,0.14354177,0.08204778,-0.114701934,0.08612042,0.02998521,0.069746464,-0.093418546,-0.09069163,0.08026204,-0.1167065,-0.067760214,-0.1298866,-0.08174128,0.116104536,-0.12953307,0.091513634,-0.018660039,-0.08729255,0.121044785,0.084872335,-0.10575001,0.124148265,-0.08715048,0.1571171,-0.12992626,0.15640138,0.103662,-0.11383841,-0.085823864,0.10237987,-0.11154699,0.1195842,0.12924692,0.103833854,-0.06348528,-0.12999031,0.024326269,-0.104295224,0.06786604,0.054099552,-0.12036851,0.13419393,0.104858875,-0.15898944,-0.101052396,-0.093257904,0.043290593,0.09912238,-0.06273471,0.12619992,-0.022696033,0.093277305,0.018674497,0.10978486,0.10997206,-0.14102653,-0.060898796,-0.08600006,-0.15535073,0.15854616,0.037388556,0.113777876
PSMD6,-0.123074934,-0.24209556,-0.20503925,-0.19874275,0.09976342,-0.042155486,0.44666418,0.1677674,-0.090095535,0.3104397,0.039746035,0.27890974,-0.089834794,0.18601677,-0.0244833,-0.0683029,0.13524035,-0.19871372,-0.3983152,0.25528282,-0.029184595,-0.122062325,0.1285822,-0.13906522,0.13713595,-0.05407536,0.020327017,-0.258027,-0.22277974,-0.09655139,0.3155012,0.12150155,0.103872776,-0.2482754,-0.1042715,0.16996652,0.21291523,0.005253447,-0.3145983,0.124431476,-0.07869179,-0.31171665,-0.06485817,0.03269766,-0.3069604,-0.11588207,0.19232288,-0.15549085,0.23249231,-0.14357299,0.29318905,-0.12742767,0.38493583,-0.20981966,0.28480598,-0.057851862,-0.1890515,0.27650428,0.2269805,0.002351107,0.16706184,-0.10564017,-0.2183255,-0.12857504
