TF_gene,Target_gene
SLA2,IRF7
CSRP3,IRF7
BATF2,IRF7
NFKBIA,IRF7
RB1,IRF7
YBX1,IRF7
PLAG1,IRF7
EYA2,IRF7
STAT2,IRF7
RARB,IRF7
MCM3,CDCA8
MCM2,CDCA8
MCM4,CDCA8
TCF19,CDCA8
RAD51,CDCA8
CENPK,CDCA8
MIS18BP1,CDCA8
MCM7,CDCA8
MCM5,CDCA8
EYA2,HDGF
ARID3B,HDGF
EPAS1,HDGF
MYC,HDGF
HDAC7,HDGF
HMGB2,HDGF
PRDM16,HDGF
PLAG1,HDGF
SPI1,HDGF
MECOM,HDGF
ORC2,GMNN
MCM5,GMNN
MCM4,GMNN
MCM6,GMNN
MCM2,GMNN
MCM7,GMNN
MCM3,GMNN
ATF7,RNF4
SMARCA2,RNF4
REXO4,RNF4
EPAS1,RNF4
RNF4,RNF4
ZBTB38,RNF4
MCM2,RNF4
ZBTB16,RNF4
TSC22D3,RNF4
IRF8,RNF4
ARID3B,REXO4
TRPS1,REXO4
GTF2H1,REXO4
NR3C2,REXO4
TCF19,REXO4
MCM2,REXO4
E2F4,REXO4
NFKBIA,REXO4
HIF3A,REXO4
SRSF1,REXO4
MCM6,POLR1B
DDX20,POLR1B
LZTS1,POLR1B
PLAG1,POLR1B
XRCC6,POLR1B
STAT2,POLR1B
SATB1,POLR1B
YBX1,POLR1B
MECOM,POLR1B
RORC,POLR1B
HCFC1,HCFC1
CSRP3,HCFC1
IKZF1,HCFC1
EYA2,HCFC1
REXO4,HCFC1
NR3C2,HCFC1
CBFB,HCFC1
MCM2,HCFC1
GFI1B,HCFC1
PA2G4,HCFC1
DDX58,ATG12
HDAC2,RORA
POLR2B,RORA
ORC2,RORA
MAML3,RORA
BATF2,RORA
MYCN,RORA
NUPR1,RORA
REXO4,RORA
CBX7,RORA
EYA2,RORA
RUNX1T1,NFKBIA
TCF19,NFKBIA
ZFP467,NFKBIA
TEAD2,NFKBIA
TAF12,NFKBIA
PLAG1,NFKBIA
SPO11,NFKBIA
MYCN,NFKBIA
POLR1B,NFKBIA
RELB,NFKBIA
MCM5,TK1
MCM4,CDC45
MCM5,CDC45
MCM3,CDC45
RAD51,CDC45
MCM2,CDC45
MCM6,CDC45
ORC2,CDC45
MCM7,CDC45
MCM6,LIG1
RAD51,LIG1
POLR2B,LIG1
XRCC6,LIG1
MCM7,LIG1
MCM2,LIG1
MCM5,LIG1
GTF2H1,LIG1
MCM4,LIG1
ERCC8,LIG1
IRF9,RTP4
IRF7,RTP4
DDX58,RTP4
