,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
MUC13,0.0,0.0,0.6826041,0.66361254,0.0,0.0,0.7492153,0.0,0.0,0.0,0.0,0.0,0.75360465,0.0,0.7353815,0.44421557,0.0,0.0,0.0,0.07194263,0.11147333,0.0,0.0,0.0,0.0,0.26765817,0.0,0.0,0.0,0.698712,0.0,0.3416772,0.0,0.0,0.0,0.0,0.0,0.0,0.1784489,0.5440478,0.9296795,0.08761574,0.0,0.0,0.0018800497,0.3713673,0.0,0.046504963,0.0,0.0,0.23816487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0184784,0.0,0.0,0.8268118,0.0,0.0,0.0,0.0,0.07003486,0.0,0.0,0.0,0.32074958,0.0,0.076589726,0.0,0.0,0.86374044,0.0,0.0,0.21521983,0.038786262,0.27488348,0.0,0.0,0.73404247,0.0,0.0,0.0,0.0,0.0,0.12664819,0.0,0.0,0.0,0.60686684,0.0,0.0,0.30790365,0.0,0.1307655,0.054256715,0.0,0.0,0.0,0.8725852,0.0,0.0,0.0,0.0,0.05325882,0.0,0.0,0.34132376,0.0,0.051211428,0.0,0.21854666,0.0,0.0,0.2622526,0.0,0.0,0.0,0.11950359,0.0,0.16895165,0.29071605,0.0,0.40826416
GOLT1B,0.0,0.0,0.14335294,0.1435225,0.0,0.08662654,0.31923515,0.0,0.04544854,0.0,0.0,0.0,0.16741487,0.0,0.16921213,0.0,0.0,0.0,0.0,0.16364397,0.0,0.10941939,0.0,0.0,0.0,0.39112484,0.004701853,0.0,0.0,0.16717677,0.0,0.0,0.0,0.0,0.0,0.072209574,0.0,0.0,0.17358533,0.16504988,0.1549827,0.17671153,0.0,0.0,0.0,0.44094098,0.0,0.0,0.0,0.0,0.47959593,0.0,0.0,0.0,0.0,0.0,0.088891,0.0,0.21258292,0.0,0.0,0.23985276,0.0,0.07019846,0.0,0.014546058,0.0,0.0,0.0,0.0,0.0,0.0,0.20857888,0.0,0.0,0.17214255,0.0,0.0,0.413762,0.0,0.39779645,0.0,0.0,0.17805637,0.008215904,0.0,0.0,0.0,0.0,0.30311593,0.0,0.0,0.0,0.12509105,0.0,0.0,0.17038514,0.0,0.30918446,0.23444656,0.0,0.0,0.19412032,0.17320961,0.0,0.0,0.0,0.0,0.0,0.039102674,0.0,0.44834805,0.077191114,0.3937598,0.0,0.3433751,0.18267483,0.0,0.0258969,0.0,0.0,0.0,0.09963773,0.0,0.29818815,0.25811106,0.0,0.21501791
PHF10,0.0,0.0,0.0,0.0,0.20791163,2.3532953,0.0,0.0,1.2389121,0.0,0.0,0.27778205,0.0,0.5595466,0.0,0.0,0.0,0.96570754,0.0,0.21892317,0.0,1.615701,0.0,0.43503094,0.0,1.7400486,0.0,0.7316217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.508214,0.0,0.0,0.4757442,0.0,0.0,0.0,0.0,0.11421645,0.0,0.0,0.3836664,0.0,0.0,0.0,1.5209262,0.0,0.0,0.0,0.89087427,0.0,1.2225881,0.0,0.0,1.5452567,0.0,0.0,0.0,0.17700285,0.5806377,0.25834498,0.0,0.0,1.1143059,0.40382612,0.0,0.0,1.5833135,0.0,0.0,0.0,0.0,0.08516455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4920763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18805489,0.0,0.0,0.0,0.0,1.0600339,0.0,0.0,0.45532313,0.6085638,0.2810987,0.0,1.4158832,0.0,1.5412657,1.8346932,1.7383783,0.1454215,1.0600718,1.1490171,0.0,0.0,0.5762745,0.0,0.0,0.0,0.6584582,0.0,1.8898697,0.0,0.69745183
EBI3,0.0,0.0,0.08478594,0.09776065,0.0,0.13192275,0.255302,0.0,0.10995025,0.0,0.0,0.0,0.0401672,0.0,0.11525622,0.0,0.0,0.0,0.0,0.21483779,0.0,0.20896344,0.0,0.0,0.0,0.40102577,0.21321036,0.0,0.0,0.11148971,0.0,0.0,0.0,0.0,0.0,0.2103177,0.0,0.0,0.15250736,0.11095376,0.1395481,0.07774964,0.0,0.0,0.0,0.36146337,0.0,0.0,0.0,0.0,0.30995902,0.0,0.0,0.0,0.0,0.0,0.12911288,0.0,0.0465149,0.0,0.0,0.145658,0.0,0.095346704,0.0,0.12791309,0.0,0.0,0.0,0.0,0.0,0.0,0.06513905,0.0,0.0,0.095393315,0.0,0.0,0.32688677,0.0,0.3351341,0.0,0.0,0.090339914,0.0,0.0,0.0,0.0,0.0,0.2705316,0.0,0.0,0.0,0.11296451,0.0,0.0,0.0488727,0.0,0.22233267,0.32976052,0.0,0.0,0.18033785,0.14405775,0.0,0.0,0.0,0.0,0.0,0.032887653,0.0,0.37307245,0.1850864,0.37022507,0.0,0.28812942,0.01637049,0.0,0.028190143,0.0,0.0,0.0,0.03865583,0.0,0.22971103,0.16645405,0.0,0.1187881
TMEM97,0.0,0.0,0.3563659,0.25298756,0.0,0.0,0.40051463,0.0,0.0,0.0,0.0,0.0,0.29585078,0.0,0.31569555,0.026848316,0.0,0.0,0.0,0.07812455,0.0,0.0,0.0,0.0,0.0,0.2009564,0.0,0.0,0.0,0.30553734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10676982,0.2644619,0.3762666,0.13517857,0.0,0.0,0.0,0.3280375,0.0,0.0,0.0,0.0,0.24878731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4279216,0.0,0.0,0.44286755,0.0,0.031592146,0.0,0.0,0.0,0.0,0.0,0.0,0.050652385,0.0,0.13111538,0.0,0.0,0.39128026,0.0,0.0,0.29652557,0.0,0.27006197,0.0,0.0,0.33787352,0.0,0.0,0.0,0.0,0.0,0.15297323,0.0,0.0,0.0,0.285285,0.0,0.0,0.21328942,0.0,0.17975102,0.10236113,0.0,0.004098706,0.0,0.38443732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28924942,0.0,0.20487909,0.0,0.2313525,0.10687308,0.0,0.12452422,0.0,0.0,0.0,0.11633134,0.0,0.20489842,0.22641684,0.0,0.26068032
NAP1L3,0.0,0.0,0.0,0.0,0.0,2.008865,0.0,0.0,1.1718135,0.0,0.0,0.20384967,0.0,0.63865304,0.0,0.0,0.0,0.79123366,0.0,0.15483865,0.0,1.5319133,0.0,0.44352013,0.0,1.39421,0.0,0.72792923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3929806,0.0,0.0,0.11040294,0.0,0.0,0.0,0.0,0.036331147,0.0,0.0,0.26922116,0.0,0.0,0.0,1.3510412,0.0,0.0,0.0,1.0099871,0.0,1.2473586,0.0,0.0,1.6029878,0.0,0.0,0.0,0.15615183,0.5923901,0.18019244,0.0,0.0,0.8478128,0.20549351,0.0,0.0,1.5761504,0.0,0.0,0.0,0.0,0.064379334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2846217,0.0,0.0,0.06089297,0.0,0.0,0.0,0.10052672,0.3943528,0.0,0.0,0.0,0.0,1.0071989,0.0,0.0,0.4332477,0.5578811,0.12614273,0.0,0.9668634,0.0,1.3047519,1.7239151,1.5262038,8.374831e-05,1.0330508,0.8231064,0.0,0.0,0.5542715,0.0,0.0,0.0,0.65155566,0.0,1.5206202,0.0,0.6213673
CTSL,0.0,0.0,0.20493345,0.25413465,0.0,0.044712663,0.28810033,0.0,0.020793818,0.0,0.0,0.0,0.21565889,0.0,0.24463138,0.04204031,0.0,0.0,0.0,0.08714391,0.036166165,0.016785674,0.0,0.0,0.0,0.2192821,0.1205636,0.0,0.0,0.24142832,0.0,0.0005305372,0.0,0.0,0.0,0.0,0.0,0.0,0.11740508,0.18953088,0.29730058,0.01049016,0.0,0.0,0.0,0.24471825,0.0,0.0,0.0,0.0,0.15868455,0.0,0.0,0.0,0.0,0.0,0.011310462,0.0,0.31050107,0.0,0.0,0.31431183,0.0,0.040667064,0.0,0.04063327,0.067740574,0.0,0.0,0.0,0.0920619,0.0,0.0,0.0,0.0,0.29874593,0.0,0.0,0.15526335,0.0,0.17628385,0.0,0.0,0.23455569,0.0,0.0,0.0,0.0,0.0,0.14471933,0.0,0.0,0.0,0.18143015,0.0,0.0,0.06784415,0.0,0.106157884,0.17461556,0.0,0.0,0.0034085065,0.35500124,0.0,0.0,0.0,0.0,0.055960834,0.0,0.0,0.22945076,0.10547849,0.113817014,0.0,0.12774421,0.0,0.0,0.07175156,0.0,0.0,0.0,0.0,0.0,0.14574687,0.10485645,0.0,0.11241722
PRKCH,0.0,0.0,0.08221434,0.10124342,0.0,0.11379652,0.18881872,0.0,0.11708669,0.0,0.0,0.0,0.10225496,0.0,0.1002725,0.0,0.0,0.0,0.0,0.16496933,0.0,0.05413757,0.0,0.0,0.0,0.21185555,0.089168444,0.0,0.0,0.15457834,0.0,0.0,0.0,0.0,0.0,0.12026037,0.0,0.0,0.09704118,0.049232014,0.14444174,0.052144907,0.0,0.0,0.0,0.27080262,0.0,0.0,0.0,0.0,0.15734424,0.0,0.0,0.0,0.0,0.0,0.08846109,0.0,0.08310629,0.0,0.0,0.14997466,0.0,0.08009002,0.0,0.07027027,0.0,0.0,0.0,0.0,0.0,0.0,0.03442,0.0,0.0,0.12606679,0.0,0.0,0.18514809,0.0,0.15521905,0.0,0.0,0.10023099,0.0074029267,0.0,0.0,0.0,0.0,0.1718238,0.0,0.0,0.0,0.07949477,0.0,0.0,0.045294933,0.0,0.16011682,0.20399737,0.0,0.0017469703,0.11058778,0.14448595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25691792,0.117622495,0.21179466,0.0,0.17898974,0.029280279,0.0,0.06960022,0.0,0.0,0.0,0.0163261,0.0,0.17436948,0.13139012,0.0,0.12805045
SLCO3A1,0.0,0.0,0.18339404,0.23736036,0.0,0.016324796,0.28071442,0.0,0.018618122,0.0,0.0,0.0,0.27221859,0.0,0.13928056,0.0,0.0,0.0,0.0,0.19689864,0.0,0.055812735,0.0,0.0,0.0,0.2938696,0.0797648,0.0,0.0,0.24777853,0.0,0.0,0.0,0.0,0.0,0.03661637,0.0,0.0,0.08001551,0.20746063,0.26156116,0.20945536,0.0,0.0,0.0,0.42428446,0.0,0.0,0.0,0.0,0.4340803,0.0,0.0,0.0,0.0,0.0,0.09078309,0.0,0.24334572,0.0,0.0,0.27995276,0.0,0.09053691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18900806,0.0,0.0,0.26321462,0.0,0.0,0.37062007,0.017695613,0.31195128,0.0,0.0,0.23146635,0.01500757,0.0,0.0,0.0,0.0,0.2993133,0.0,0.0,0.0,0.17112288,0.0,0.0,0.24370128,0.0,0.23273768,0.2678799,0.0,0.0,0.058525063,0.2422419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39179605,0.04134634,0.31002572,0.0,0.3466944,0.1437445,0.0,0.09462268,0.0,0.0,0.0,0.03616161,0.0,0.29708597,0.27139738,0.0,0.21833305
FCER1G,0.0,0.0,0.16193071,0.19582656,0.0,0.074892625,0.2953479,0.0,0.08189556,0.0,0.0,0.0,0.19658326,0.0,0.1446257,0.0,0.0,0.0,0.0,0.15711416,0.0,0.12738681,0.0,0.0,0.0,0.44846362,0.11716434,0.0,0.0,0.1983316,0.0,0.0,0.0,0.0,0.0,0.074300855,0.0,0.0,0.24754861,0.19476917,0.16041312,0.14560223,0.0,0.0,0.0,0.45666927,0.0,0.0,0.0,0.0,0.5202266,0.0,0.0,0.0,0.0,0.0,0.15830925,0.0,0.25821757,0.0,0.0,0.23445097,0.0,0.09595517,0.0,0.059080582,0.0,0.0,0.0,0.0,0.0,0.0,0.20295748,0.0,0.0,0.21480092,0.0,0.0,0.47904128,0.0,0.48554546,0.0,0.0,0.146593,0.0,0.0,0.0,0.0,0.0,0.36726797,0.0,0.0,0.0,0.18908197,0.0,0.0,0.13814448,0.0,0.3513068,0.28320387,0.0,0.0,0.1629727,0.2548848,0.0,0.0,0.0,0.0,0.0,0.012762159,0.0,0.47496724,0.10406536,0.39605653,0.0,0.38694286,0.22337425,0.0,0.0,0.0,0.0,0.0,0.12475426,0.0,0.27047884,0.25760353,0.0,0.11610233
