TF_gene,Target_gene
MCM5,MAN1A
GATA2,EFNA1
H1F0,NLRC3
KLF6,BTG2
RUNX2,IL17RE
BTG2,ANKRD33B
SPI1,CCL9
MYC,ESR1
RUNX2,ESR1
PGR,ESR1
CBFB,ESR1
BTG2,KLF6
GFI1B,PPCDC
NOTCH1,SULT1A1
RUNX2,GOLM1
MAML3,GOLM1
SPI1,REL
MCM5,AP1S2
MYC,FCGRT
MLLT3,STK10
PGR,CCNG2
MCM4,RARB
SOX18,RARB
MCM7,DUSP1
BTG2,DUSP1
TSC22D3,DUSP1
DACH1,CDK18
MCM7,NCAPD2
MCM4,NCAPD2
MCM5,NCAPD2
MYC,SLC16A11
SPI1,SLC16A11
MCM7,MCM5
MCM4,MCM5
FOXO1,TRPC6
IRF8,H2-OB
CD7,PTGS1
MCM4,DCK
XPC,DCK
HMGB2,TEK
ESR1,IL10RA
PGR,NR3C2
MYC,ANXA5
SPI1,PSTPIP1
CBFB,PLPPR3
IKZF1,CCT2
PBX1,LCP1
SPI1,LCP1
MCM7,TTC39B
MYC,CD44
CBFB,CD44
GATA2,ELL2
ESR1,OTUB2
MCM5,AFDN
HOXA9,RAG2
BTG2,CTSB
MCM7,SLBP
MCM4,SLBP
YBX1,SLBP
MCM5,SLBP
PBX1,HOXA9
MLLT3,HOXA9
MEIS1,HOXA9
SPI1,LCK
MCM5,ALDH1A1
MCM4,GMNN
MCM5,GMNN
MCM7,GMNN
FOXO1,SHROOM4
MCM4,ARL11
MCM5,RASIP1
IRF8,LY86
MCM7,NDRG2
SPI1,LAPTM5
PGR,METTL7A1
MCM4,CDK19
HMGB2,CCR7
RARB,FGD5
FOXO1,CDK6
CBFB,CDK6
MYC,CDK6
SPI1,MPEG1
IRF8,VAV3
ELF1,VAV3
CBFB,BGN
MYC,GFI1B
MEIS1,GFI1B
MCM5,GFI1B
GATA2,GFI1B
IRF8,GNG2
GATA2,KIT
ESR1,KIT
MCM5,KRT18
SPI1,NFIA
TSC22D3,ARHGAP27
CBFB,CRIP1
MCM4,SLC18A2
SPI1,RANBP1
MLLT3,RANBP1
RUNX1T1,SPI1
GATA2,SPI1
IRF8,SPI1
IKZF1,SPI1
MCM7,SLC16A2
GATA2,CTSW
PGR,SNAP47
ESR1,WFDC18
FOXO1,WFDC18
MCM7,UHRF1
MCM4,UHRF1
MCM5,UHRF1
SPI1,ITGAM
MYC,CD69
MCM7,CES2G
MCM4,FDFT1
CD7,CD38
GATA2,AMIGO2
SPI1,RPS27L
GFI1B,RPS27L
MCM7,POLA2
MCM4,POLA2
MCM5,POLA2
SPI1,POLA2
ESR1,TLR7
CD7,CD34
NR3C2,LY9
FOXO1,MN1
SPI1,CD53
CBFB,FCHO2
MYC,RUSC2
MCM5,RUSC2
MEIS1,HLF
XPC,HLF
SPI1,TYROBP
HOXA9,MEIS1
MLLT3,MEIS1
PBX1,MEIS1
GFI1B,MEIS1
MCM4,MCM7
MCM5,MCM7
IRF8,PDGFD
MYC,GATA2
SPI1,GATA2
GFI1B,GATA2
CBFB,GATA2
RUNX2,PLD4
PGR,PGRMC1
HOXA9,BC035044
SPI1,ITPR2
SPI1,MPO
CBFB,ELF1
NOTCH1,RASAL3
ESR1,PRKCH
CD7,CD33
MCM7,PLK2
MAML3,NOTCH1
MYC,NOTCH1
RUNX2,MIR6240
HMGB2,H1F0
FOXO1,SELL
MCM5,DTL
MCM4,DTL
NOTCH1,APP
RUNX1T1,MYC
NOTCH1,MYC
FOXO1,MYC
ESR1,MYC
GATA2,MYC
NOTCH1,ADAM17
HMGB2,VWF
YBX1,PTP4A3
MCM4,PRSS57
SPI1,COX6A2
XRCC6,XPC
MCM4,CCDC112
MCM4,ARHGAP29
NOTCH1,MAML3
NOTCH1,TRAF1
SPI1,PLEK
MYC,MKI67
MCM7,MKI67
MCM5,MKI67
PGR,MKI67
HMGB2,MKI67
ESR1,MKI67
H1F0,GPX3
KLF6,SPNS2
FOXO1,NDN
PGR,CAMK1D
CBFB,SAT1
ESR1,PGR
NR3C2,PGR
SPI1,PROCR
FOXO1,HNF4A
HOXA9,PBX1
MEIS1,PBX1
SOX18,VEGFC
SPI1,CHIL5
VDR,ZFP422
SPI1,TM4SF1
FOXO1,IL7R
MEIS1,VDR
RUNX2,VDR
MCM5,FGD2
EYA2,DACH1
MCM7,PBLD2
FOXO1,RUNX2
ESR1,RUNX2
CBFB,RUNX2
VDR,RUNX2
NOTCH1,COX6A1
GATA2,PDZK1IP1
MLLT3,CTR9
SPI1,ENPP5
HOXA9,ENPP5
MYC,IL12A
ESR1,TBXA2R
XPC,USP11
SPI1,SERPINA3N
SPI1,RUNX1T1
SPI1,C230085N15RIK
PBX1,H2AFY
RARB,H2AFY
MEIS1,H2AFY
H1F0,H2AFY
SPI1,IKZF1
CTR9,IKZF1
IRF8,IKZF1
PBX1,IKZF1
GATA2,CBFB
ELF1,CBFB
ESR1,CBFB
RUNX2,CBFB
MEIS1,COQ8A
MLLT3,EVI2A
H1F0,HMGB2
MCM7,PRIM1
MCM5,PRIM1
MCM4,PRIM1
HNF4A,PRIM1
MCM7,MCM4
MCM5,MCM4
MCM5,CDT1
MCM7,CDT1
MCM4,CDT1
MYC,CCL3
MCM5,NUDT19
MCM7,TOP2A
MCM4,TOP2A
MCM5,TOP2A
FOXO1,TOP2A
HMGB2,TOP2A
DACH1,EYA2
FOXO1,2610307P16RIK
MCM7,UBASH3A
NDN,CNN3
MCM7,ESAM
IKZF1,RAB38
EYA2,ANKRD44
SPI1,CSF1R
IRF8,CSF1R
HOXA9,MLLT3
MEIS1,MLLT3
