,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
SLC22A3,0.5035119,0.52364707,0.48769864,0.44436288,0.49299496,0.47405115,0.4708969,0.49332362,0.53451073,0.64881355,0.52918696,0.5305567,0.5215881,0.49322128,0.6001346,0.49072316,0.4612652,0.46542883,0.49290732,0.5071409,0.52757126,0.5159145,0.4373356,0.5027055,0.50006866,0.44621557,0.47238472,0.5506031,0.52699465,0.4986648,0.4477188,0.4579468,0.5461545,0.3622263,0.4696527,0.53926057,0.45396486,0.47253332,0.49488163,0.4968706,0.43134278,0.4852679,0.45578825,0.53116417,0.49756244,0.49722233,0.47198924,0.5379464,0.5172735,0.5133192,0.49868423,0.49611828,0.5042814,0.46820605,0.46579513,0.46028805,0.474663,0.50658494,0.43219352,0.48253518,0.5031237,0.478231,0.49866822,0.5490257,0.48282477,0.5151044,0.45895988,0.54117316,0.4591534,0.4606903,0.4144321,0.5151335,0.4104455,0.5580112,0.39780042,0.5093124,0.5261742,0.5112978,0.40235224,0.4283515,0.4941879,0.5074705,0.48401728,0.54320824,0.48614708,0.49861732,0.5367342,0.3756662,0.5555512,0.4763602,0.454682,0.5085031,0.49829578,0.47401738,0.52098286,0.5221411,0.51306534,0.47017956,0.4989677,0.5172569,0.48789892,0.53589153,0.49133524,0.5418436,0.5443455,0.47796652,0.48208472,0.5382439,0.49530908,0.48362684,0.5077166,0.4952355,0.49361023,0.55471337,0.4630466,0.50121737,0.52491945,0.47740084,0.51390857,0.5613299,0.43079528,0.44368014,0.38393956,0.5237263,0.50253654,0.4538342,0.51896685,0.5370104
CREG1,0.49839523,0.50535053,0.51720595,0.46105683,0.47062394,0.45751804,0.5069788,0.48234564,0.5689445,0.6793213,0.499209,0.57572424,0.5716679,0.46040443,0.62847877,0.5161053,0.43982878,0.44573566,0.48019984,0.4976118,0.5406834,0.50597596,0.4409144,0.5117553,0.5426366,0.48359165,0.4519434,0.56581324,0.5472226,0.48229632,0.42388928,0.46659088,0.55387366,0.3629904,0.48015448,0.5503038,0.399814,0.48540765,0.5209012,0.52545583,0.41436848,0.5247086,0.45865583,0.55037814,0.5128075,0.4515032,0.53835374,0.52735585,0.5158358,0.519175,0.5293452,0.5390638,0.5155548,0.48418838,0.43489984,0.41567412,0.4360255,0.50174284,0.38958678,0.47677326,0.48723483,0.47654107,0.5011788,0.5661869,0.47285476,0.5264295,0.42819753,0.5643079,0.40951398,0.46932605,0.43446785,0.50798094,0.42011023,0.558614,0.39408535,0.52708393,0.542963,0.49788302,0.4213168,0.41599092,0.46664795,0.52863526,0.51708305,0.56560516,0.50814444,0.49178046,0.56296426,0.3642412,0.5715715,0.49039575,0.4311838,0.52816,0.5078909,0.44752467,0.53993994,0.5431501,0.5002177,0.48894402,0.49135482,0.48795578,0.4998912,0.5542087,0.4798957,0.5444496,0.594349,0.47891614,0.47983062,0.5337406,0.52495974,0.5191921,0.5418989,0.50804883,0.57458407,0.5504823,0.4572857,0.50257707,0.5485062,0.45646715,0.5373195,0.59471005,0.467848,0.39876983,0.40232924,0.52176166,0.48852026,0.423654,0.529499,0.52983683
ENG,0.48560417,0.51214564,0.4636081,0.43828452,0.5001956,0.45930627,0.5017709,0.49579796,0.5661872,0.6943599,0.517942,0.549009,0.5650202,0.49609986,0.64216554,0.50243527,0.42511278,0.45178396,0.47280264,0.49063405,0.55345684,0.53355926,0.42218152,0.5243543,0.4972074,0.44321856,0.46581566,0.5853479,0.53057474,0.48468757,0.43566358,0.44441006,0.5772552,0.34672135,0.45493734,0.55595195,0.4558927,0.5091327,0.51577777,0.51085925,0.4211824,0.5235584,0.4330409,0.5759884,0.5179624,0.4930062,0.49552184,0.54302216,0.52392966,0.5300398,0.526572,0.499262,0.50230485,0.48114327,0.44321415,0.43697894,0.47061685,0.5297466,0.40796393,0.4579961,0.50865793,0.4798013,0.50623584,0.57432854,0.49158645,0.53234196,0.45577243,0.5618245,0.4530084,0.47853187,0.4194538,0.528735,0.37505502,0.5755491,0.39314607,0.5179719,0.5540957,0.502663,0.38425514,0.4133276,0.49918297,0.5107957,0.4865047,0.56204677,0.50711524,0.48672077,0.5444324,0.3799362,0.5721603,0.4865098,0.41744536,0.5195427,0.49338984,0.45331025,0.52036375,0.5476807,0.4868429,0.48690513,0.468928,0.5191665,0.49679765,0.5491373,0.46769294,0.54108596,0.58117026,0.46925098,0.49739155,0.53687125,0.49612427,0.49753162,0.535211,0.52222854,0.49373057,0.56013393,0.4589312,0.4925228,0.5460239,0.45885685,0.51769173,0.6087534,0.41470033,0.42014495,0.34415,0.5306848,0.50894356,0.41604668,0.5272576,0.54650784
ACAP1,0.49248192,0.5071372,0.47824037,0.449994,0.4881957,0.45339856,0.4968489,0.4958016,0.5655536,0.6830235,0.5142076,0.5556427,0.5567944,0.4846422,0.6286922,0.50266457,0.43236026,0.45088872,0.47739318,0.4978238,0.54799914,0.5176634,0.4272686,0.5169182,0.5139626,0.45184115,0.46405423,0.5731876,0.53568286,0.48750126,0.4265366,0.45240882,0.5704795,0.353397,0.46483225,0.54478556,0.4370517,0.49707064,0.50479454,0.52017343,0.4170148,0.5177254,0.44334355,0.5581293,0.50709236,0.48117298,0.5030259,0.5333777,0.5215361,0.5307568,0.5227748,0.5053006,0.5078382,0.4825433,0.44669762,0.4384381,0.46432865,0.523879,0.40725976,0.46904925,0.5029778,0.4847017,0.5045819,0.56659496,0.48503295,0.53124917,0.4503912,0.5573823,0.43984327,0.47055128,0.4181438,0.5271604,0.39323786,0.57197785,0.39123014,0.51329356,0.54674304,0.50247276,0.39343533,0.4112865,0.4915384,0.5104206,0.49536875,0.558693,0.5025835,0.48861057,0.5503488,0.37432054,0.57437164,0.49413052,0.42696723,0.5180667,0.49481028,0.45088276,0.52829194,0.55081034,0.49473822,0.4822706,0.4888507,0.50487703,0.4976543,0.548052,0.47367477,0.5489156,0.5803607,0.4727019,0.49215385,0.5376801,0.50542235,0.50359374,0.53069097,0.51616865,0.51514053,0.55505174,0.45569912,0.49322367,0.5385836,0.46409407,0.51698875,0.5947245,0.4262884,0.41801712,0.36704007,0.5331054,0.509127,0.4222466,0.52573425,0.54052645
VLDLR,0.5029235,0.5120555,0.50111455,0.44824195,0.48461992,0.46829617,0.48093078,0.48918575,0.54222393,0.6507232,0.51622003,0.5426877,0.5292152,0.48147073,0.6029232,0.49908152,0.45665878,0.46478114,0.49234167,0.50916755,0.53082794,0.5018124,0.44448268,0.504366,0.5196813,0.45493448,0.46314126,0.5444669,0.5415289,0.4960433,0.43377706,0.46711093,0.5463327,0.36927694,0.47789857,0.54042506,0.42971715,0.47560194,0.50007224,0.5033797,0.4319559,0.48922476,0.45784247,0.5267644,0.49869063,0.4827778,0.49633878,0.53248334,0.5152444,0.5126343,0.5015754,0.50446695,0.5189931,0.47294918,0.4534444,0.44583148,0.45668632,0.5041523,0.42564836,0.48311535,0.4939559,0.4786375,0.50117195,0.54877037,0.48134604,0.51478434,0.44934675,0.54439384,0.433493,0.46234152,0.42171168,0.50779086,0.4191375,0.55316204,0.40065265,0.5157386,0.52526754,0.50608414,0.41575846,0.42899084,0.48454815,0.50153184,0.49337026,0.54546314,0.49340853,0.50023997,0.54266566,0.37386078,0.55712605,0.47977012,0.44475067,0.5119574,0.50115377,0.47191158,0.5222785,0.5224884,0.5064235,0.47391066,0.5058571,0.5031801,0.48534036,0.53945726,0.49462253,0.5422161,0.5621177,0.47769898,0.48515278,0.53808475,0.5022234,0.49329153,0.5191998,0.49928167,0.52001005,0.54674304,0.46319884,0.507226,0.5320993,0.4722821,0.51700115,0.55958885,0.44850385,0.42483413,0.39846393,0.5297831,0.49319726,0.44496164,0.5223551,0.5361896
HAAO,0.5205498,0.5247257,0.5508207,0.46095604,0.457856,0.46709335,0.47518575,0.45987085,0.55452543,0.6549867,0.48439136,0.5893603,0.53802085,0.4731522,0.58778536,0.5290814,0.49408135,0.4660679,0.50145143,0.5328146,0.50834244,0.4681161,0.48882484,0.493132,0.5624009,0.50933236,0.40856206,0.5182789,0.56159514,0.48171395,0.40193406,0.48507136,0.4924777,0.33910602,0.5101903,0.5745087,0.38381553,0.4430982,0.5122275,0.49089453,0.47772118,0.46934292,0.47243443,0.4999826,0.50929976,0.44953427,0.5283258,0.54403824,0.48440132,0.49054688,0.5064195,0.5192378,0.53116065,0.43320847,0.4294783,0.39357084,0.39591607,0.46538368,0.40880117,0.49494657,0.46440944,0.44282117,0.4894193,0.54277664,0.47270554,0.48171023,0.39145228,0.5378444,0.36182463,0.46001092,0.4254299,0.46459776,0.48790845,0.5046989,0.4073437,0.5289186,0.5072746,0.4933615,0.45972487,0.4349343,0.44933826,0.5209446,0.51541185,0.5504994,0.49027953,0.51208365,0.566213,0.36201683,0.5762462,0.4438112,0.47786453,0.50793636,0.53944796,0.49322948,0.5388261,0.49042708,0.5313599,0.47055286,0.5267579,0.4563706,0.48225024,0.54605484,0.53767926,0.5348825,0.5862451,0.4844026,0.4727415,0.5468628,0.52264667,0.50604963,0.52727765,0.48316053,0.58745825,0.56175655,0.43940794,0.5265735,0.4965876,0.45740968,0.52993095,0.5633933,0.50688,0.38336167,0.48651487,0.52670085,0.44357103,0.45014024,0.5426756,0.53043145
C230085N15RIK,0.5018371,0.521945,0.4806951,0.44456005,0.4921307,0.47180882,0.4729162,0.49789354,0.54050225,0.65447015,0.5265233,0.5298524,0.523982,0.49570033,0.6020249,0.49274203,0.4594524,0.4655031,0.48803586,0.50495946,0.5293326,0.51532125,0.42708617,0.5039084,0.4972172,0.44266686,0.46978775,0.55378073,0.52553153,0.49482974,0.44728738,0.44851795,0.54571944,0.359737,0.4673767,0.54047304,0.46242222,0.4783018,0.4895051,0.50130117,0.43198457,0.4899604,0.45077232,0.53406334,0.4951296,0.5010738,0.4704588,0.53530514,0.5163241,0.5146369,0.50057936,0.48534715,0.5019494,0.47103184,0.46123073,0.4601192,0.47165325,0.5080186,0.43433604,0.4812791,0.50687265,0.47594735,0.5007284,0.5520136,0.48241898,0.51540303,0.4609952,0.53679794,0.46443546,0.463572,0.41457212,0.5192702,0.40390122,0.5518923,0.3954931,0.5113076,0.526849,0.51092017,0.39772376,0.42935777,0.49892598,0.5021343,0.48343498,0.5433989,0.48740202,0.5026298,0.5434528,0.37406632,0.5614011,0.47860098,0.45053303,0.50815916,0.5029395,0.4761734,0.5211446,0.52928823,0.51352084,0.47709367,0.50429136,0.5174167,0.48334527,0.53836644,0.49504945,0.5374754,0.5493924,0.47711405,0.48785624,0.5441611,0.49087304,0.48569053,0.505522,0.4961846,0.4834041,0.55120444,0.45737636,0.50402516,0.52079237,0.47507277,0.51305974,0.56321275,0.42380813,0.4387966,0.3791069,0.5299659,0.51385784,0.45014206,0.5164972,0.545318
4833407H14RIK,0.49304166,0.51331514,0.4789729,0.4395317,0.49414784,0.4776708,0.47556943,0.49323097,0.5297898,0.6407433,0.5164246,0.52427006,0.52452296,0.4931894,0.6062076,0.4863825,0.46124437,0.467128,0.47665545,0.5037386,0.5253482,0.5174752,0.42873493,0.50851333,0.49153516,0.4355004,0.47584388,0.54514384,0.5224161,0.4918597,0.4492732,0.45199803,0.5425734,0.3630974,0.47209123,0.534712,0.46890736,0.4788917,0.49258053,0.4951197,0.42351148,0.49063912,0.45153004,0.5291818,0.50222796,0.49944368,0.46837676,0.52947706,0.51199096,0.50435996,0.4924974,0.48666266,0.50344324,0.47102603,0.46308628,0.46780464,0.47781825,0.5085266,0.42968667,0.48027363,0.5040716,0.4714588,0.49828216,0.5452488,0.4823788,0.5126381,0.46261567,0.5431532,0.46752742,0.45934138,0.42483747,0.51162803,0.39821842,0.55545175,0.3981415,0.50766325,0.5243195,0.5144912,0.40121612,0.4341081,0.4987219,0.4985162,0.47906366,0.54324716,0.48858514,0.5042058,0.54032314,0.3903609,0.5594875,0.46897477,0.45116276,0.5122632,0.50560045,0.47470012,0.51435643,0.5177623,0.49675792,0.47092772,0.4953561,0.5204964,0.47839224,0.5319989,0.49666658,0.53147024,0.5401533,0.4799084,0.49732968,0.5329514,0.48704094,0.48528948,0.50454843,0.49789253,0.47008497,0.54541826,0.46509966,0.49979863,0.5260334,0.4826217,0.51388043,0.5610066,0.43020567,0.44532982,0.37243897,0.52563727,0.5032364,0.447349,0.5212001,0.54265106
XPC,0.6821088,0.6211567,0.7716253,0.47240537,0.2861122,0.33526587,0.41731802,0.24893418,0.74828297,0.9043175,0.47585705,0.85107213,0.66624355,0.4918958,0.7396773,0.7331184,0.5450808,0.4199778,0.521741,0.71479386,0.5352019,0.24198663,0.7458174,0.5036146,0.8348547,0.71654993,0.10403862,0.52997994,0.72810215,0.36590347,0.22189577,0.51011944,0.34439278,0.06551935,0.55020887,0.7889441,0.086454384,0.27030814,0.53792065,0.45697054,0.7076637,0.3130648,0.45464295,0.38937205,0.46518502,0.21590824,0.77166367,0.7120889,0.39473373,0.51417917,0.56636643,0.5442981,0.64767206,0.24731255,0.17506038,0.056345686,0.10029566,0.3997562,0.26341388,0.43088877,0.40474427,0.21035066,0.46483076,0.59646744,0.5455455,0.39030963,0.15510046,0.4279959,0.067477725,0.40876436,0.41632682,0.37506342,0.75156903,0.28942132,0.33161873,0.6422008,0.47650877,0.37207633,0.6302151,0.22314581,0.24034992,0.5431629,0.6968289,0.45203784,0.7048727,0.64141124,0.6880439,0.111413196,0.6878053,0.4344802,0.58800703,0.47816405,0.7863741,0.55411017,0.67893904,0.48116603,0.8148708,0.45916557,0.75972044,0.18532409,0.5483514,0.686775,0.7555982,0.5218909,0.89705473,0.46585873,0.4035835,0.62802285,0.72878784,0.6479419,0.59677434,0.5405499,0.8976953,0.73398006,0.22910605,0.61557126,0.37173522,0.2516743,0.5921278,0.6393072,0.62345403,0.084650256,0.8266744,0.6541281,0.2087624,0.35349002,0.59640336,0.52327937
CTNNAL1,0.50217944,0.5192652,0.49726567,0.44486976,0.49636322,0.48406374,0.471739,0.49119014,0.52491665,0.6283883,0.5128603,0.5277433,0.51350296,0.49412036,0.5977153,0.49131897,0.476069,0.48052603,0.48780972,0.5119281,0.5126992,0.51035035,0.4377645,0.49810427,0.49968144,0.44726577,0.46780926,0.5308297,0.5211435,0.49480656,0.4585399,0.46546316,0.52747095,0.37178016,0.48228317,0.5362111,0.45469725,0.4644444,0.49496982,0.49245185,0.4325441,0.48394266,0.46492237,0.51987284,0.4976414,0.49251488,0.47074044,0.52040356,0.5072207,0.49276572,0.48384452,0.49882331,0.51172596,0.45998135,0.4673364,0.47337446,0.47123963,0.49367124,0.43330127,0.48606303,0.49871382,0.46745265,0.49717695,0.5368082,0.481315,0.5027895,0.45816025,0.5290363,0.45890987,0.45954227,0.4235519,0.49850354,0.42293552,0.5451986,0.4080136,0.51838624,0.520288,0.5086621,0.41925213,0.44605052,0.4942938,0.49879983,0.48280165,0.53754264,0.48405465,0.50755304,0.5441154,0.38654885,0.5440454,0.46737254,0.4597626,0.5127527,0.50895876,0.48415428,0.513517,0.5001279,0.5075622,0.47220254,0.5070402,0.5144418,0.46680638,0.5310932,0.50147915,0.5367492,0.5372052,0.48702198,0.48471916,0.538946,0.48668242,0.48900813,0.5013475,0.49042565,0.4840855,0.5436868,0.46499607,0.5016944,0.5269816,0.4791116,0.51739466,0.5447928,0.44835356,0.4396899,0.3955857,0.52397364,0.48525786,0.45170143,0.5253632,0.5379567
