,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
SLC22A3,0.062014632,0.048697464,0.0,0.051606834,0.047222175,0.20884642,0.40451133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22385854,0.0541905,0.0,0.003771239,0.0,0.06773869,0.0,0.0,0.0,0.059639942,0.10139151,0.0,0.0,0.0,0.107264355,0.0,0.0,0.0,0.0,0.12960623,0.037070706,0.0,0.101805136,0.0,0.021871444,0.0,0.035438806,0.13220024,0.0,0.0,0.0,0.0836657,0.33575878,0.120979145,0.21694447,0.089614116,0.114518486,0.0,0.0,0.40120843,0.0,0.08382973,0.0,0.1524039,0.0,0.0,0.20677567,0.23733559,0.080722764,0.0,0.0,0.17247483,0.0023832321,0.0,0.18112397,0.0,0.0,0.009082809,0.07993378,0.247841,0.0,0.0,0.0,0.0,0.0,0.14751291,0.050480243,0.0,0.13534123,0.0,0.0,0.11482038,0.0,0.0,0.0,0.007187452,0.0,0.0,0.18230106,0.28235546,0.0,0.0,0.016732275,0.0,0.0,0.0,0.0,0.0,0.07423396,0.0,0.33966795,0.0073278695,0.0,0.0,0.0,0.13839771,0.0,0.14202628,0.49780884,0.0,0.0,0.08590239,0.28151023,0.0,0.0,0.0,0.20619237,0.15412179,0.0,0.0,0.21328299,0.060019076,0.0,0.0
CREG1,0.12934496,0.0062516853,0.0,0.11581995,0.00030802935,0.0,0.53078014,0.0,0.12395845,0.0,0.0,0.0,0.0,0.055031035,0.23664404,0.1476909,0.0,0.034501247,0.10251325,0.54038465,0.0,0.04676047,0.0,0.17351466,0.4084677,0.0,0.0,0.0,0.12582237,0.0,0.52146965,0.0,0.0,0.0,0.0,0.0,0.23045123,0.0,0.077563085,0.0,0.41223183,0.17503375,0.0,0.0,0.0,0.0,0.2532542,0.11293845,0.32856652,0.060446262,0.3382179,0.0,0.0,0.4810563,0.0,0.2991668,0.0,0.33142155,0.0,0.16958314,0.06646909,0.21251392,0.31227627,0.0,0.0,0.15462649,0.23994358,0.0,0.6802304,0.0,0.0,0.0,0.31239364,0.60331213,0.0,0.0,0.0,0.0,0.0,0.6607646,0.06386917,0.0,0.4139847,0.0,0.26174492,0.21565309,0.0,0.0,0.0,0.09687176,0.0,0.0,0.5308547,0.44296277,0.0,0.0,0.051628776,0.0,0.0,0.0,0.0,0.0,0.37948862,0.0,0.6712027,0.07796563,0.0,0.3517139,0.0,0.55081236,0.0,0.5401164,1.0096118,0.12566139,0.0,0.12403189,0.8028852,0.0,0.0,0.0,0.08111797,0.43324283,0.0,0.110010915,0.0,0.32951796,0.04620294,0.0
ENG,0.049402773,0.0,0.0,0.0,0.12076657,0.116983905,0.82087725,0.0,0.0,0.0,0.0,0.0064605996,0.0,0.0,0.6628324,0.0,0.0,0.0,0.0,0.24490723,0.0,0.014925018,0.0,0.0,0.0,0.0,0.0,0.0,0.16252969,0.0,0.07222744,0.0,0.0,0.104855195,0.0,0.0,0.05453547,0.0,0.0,0.0,0.082685776,0.27049747,0.0,0.0,0.0,0.0,0.31182006,0.0,0.4605215,0.0,0.5387721,0.0,0.0,0.66175574,0.0,0.07087734,0.0,0.34709197,0.0,0.0,0.088439256,0.55908406,0.3448084,0.0,0.0,0.40773967,0.016319498,0.0,0.38992283,0.0,0.0,0.0,0.0,0.68939453,0.02793014,0.0,0.0,0.0,0.0,0.36251673,0.0,0.0,0.41466898,0.0,0.0,0.08756205,0.0,0.0,0.0,0.005382467,0.0,0.0,0.1821,0.3124946,0.0,0.0,0.0,0.0,0.0,0.13443033,0.0,0.0,0.02413904,0.0,0.7424796,0.0,0.0,0.14666909,0.0,0.6316527,0.0,0.29743308,1.1235701,0.0,0.0,0.0,0.6559941,0.0,0.0,0.0,0.48648635,0.105734676,0.0,0.04504124,0.0985477,0.22993468,0.18140864,0.0
ACAP1,0.089146376,0.0,0.0,0.017343363,0.059076346,0.12700455,0.70584184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42722812,0.10780355,0.0,0.0,0.03304809,0.24143037,0.0,0.0,0.0,0.012839008,0.19368966,0.0,0.0,0.0,0.17368953,0.0,0.16554987,0.0,0.0,0.046966247,0.0,0.0,0.18550539,0.0,0.008363041,0.0,0.17116183,0.22266594,0.0,0.0,0.0,0.0,0.44368184,0.028924186,0.3121497,0.0,0.43205446,0.0,0.0,0.4964894,0.0,0.17913462,0.0,0.34012914,0.0,0.0014363304,0.057670183,0.40768915,0.28586975,0.0,0.0,0.253703,0.0056428164,0.0,0.4964467,0.0,0.0,0.0,0.101011686,0.54399294,0.0,0.0,0.0,0.0,0.0,0.43843108,0.0,0.0,0.43148813,0.0,0.01189819,0.09374278,0.0,0.0,0.0,0.057197604,0.0,0.0,0.38228735,0.4325143,0.0,0.0,0.044736393,0.0,0.0,0.02140218,0.0,0.0,0.06437687,0.0,0.69876695,0.0004994124,0.0,0.088087015,0.0,0.46286443,0.0,0.36439553,1.0408461,0.0,0.0,0.019563392,0.63234836,0.0,0.0,0.0,0.30399776,0.26207736,0.0,0.017219365,0.16868454,0.19269495,0.05890235,0.0
VLDLR,0.06562107,0.010704823,0.012154292,0.0319176,0.0,0.07495498,0.4946346,0.0,0.013941423,0.0,0.0,0.0,0.0,0.001895424,0.11669435,0.16030264,0.0,0.0,0.034815665,0.25357017,0.0,0.0073022586,0.0,0.13197476,0.20927513,0.0,0.0,0.0,0.19029902,0.0,0.15745822,0.0,0.0,0.03825745,0.0,0.061581444,0.12435329,0.0,0.0,0.0,0.25902683,0.11039986,0.0,0.0,0.0,0.0,0.32268196,0.10428934,0.2333565,0.09486291,0.18739748,0.0,0.0,0.31407866,0.0,0.118890494,0.0,0.18962178,0.0,0.013206735,0.07748236,0.21773435,0.12550645,0.0,0.0,0.13996938,0.11694488,0.0,0.35650566,0.0,0.0,0.018950742,0.23815995,0.24001995,0.0,0.0,0.0,0.0,0.0,0.2868176,0.09242286,0.0,0.2666481,0.0,0.04312241,0.14040369,0.0,0.0,0.0,0.038913753,0.0,0.0,0.4427214,0.31587684,0.0,0.0,0.016303696,0.030449439,0.06017352,0.0,0.0,0.0,0.12019088,0.0,0.34212536,0.0,0.0,0.11379194,0.0,0.20564969,0.0,0.2231516,0.52440494,0.038600046,0.0,0.14431277,0.41083807,0.0,0.0,0.0,0.107712954,0.2362847,0.0,0.0,0.20640053,0.03667815,0.0,0.0
HAAO,0.26400918,0.0,0.22744133,0.1348409,0.08968807,0.16407165,0.30652496,0.0,0.38785604,0.0,0.0,0.0,0.0,0.3677543,0.0,0.15259504,0.0,0.1423997,0.37329385,0.5231038,0.0,0.0,0.18557079,0.46521428,0.4806819,0.0,0.0,0.0,0.22627671,0.02645687,0.54869324,0.0,0.0,0.105556816,0.0,0.329097,0.3587507,0.026696429,0.22703701,0.0,0.84807867,0.10273599,0.0,0.0,0.26315624,0.0,0.00080332905,0.16858535,0.26898363,0.24780759,0.0,0.0,0.0,0.06651023,0.0,0.38149107,0.041724127,0.10429187,0.26949796,0.10952478,0.15497848,0.17482291,0.0,0.0,0.0,0.0,0.4591751,0.0,0.51119477,0.14916167,0.0,0.05456373,0.6771524,0.03277082,0.0,0.0,0.0,0.0,0.20778841,0.44426507,0.45287976,0.0,0.40480748,0.0,0.4088801,0.32933834,0.09546243,0.13697223,0.0,0.1382176,0.0,0.0,0.571242,0.20332268,0.0,0.0,0.22887164,0.42192316,0.35671803,0.0,0.24801011,0.0,0.42247665,0.0033355542,0.12236399,0.11056906,0.0,0.35127866,0.0,0.120457664,0.0,0.3592865,0.15300797,0.18488452,0.0,0.2178754,0.15284865,0.0,0.050200045,0.0,0.0,0.4762019,0.0,0.0,0.20724556,0.20346467,0.0,0.0
C230085N15RIK,0.0075278804,0.0,0.0,0.027682846,0.015030783,0.28382778,0.47689405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29914156,0.028127804,0.0,0.0,0.0,0.0335771,0.0,0.0,0.0,0.060389794,0.09555133,0.0,0.0,0.0,0.10870212,0.0,0.0,0.0,0.0,0.12817591,0.0,0.0071078767,0.0503852,0.0,0.031205174,0.0,0.0,0.24756181,0.0,0.0,0.0,0.029595017,0.37835744,0.064447,0.20797849,0.0,0.1534357,0.0,0.0,0.3073303,0.0,0.107962295,0.05177119,0.29303148,0.0,0.0,0.16451178,0.28919756,0.072565615,0.0,0.078084,0.1677463,0.0,0.0,0.1410768,0.0,0.03717201,0.0,0.12953728,0.22656588,0.0,0.0,0.0,0.0,0.0,0.1481771,0.039477263,0.0,0.25506228,0.0,0.0,0.042335473,0.0,0.0,0.0,0.0,0.0,0.0,0.1762102,0.23597524,0.0,0.0,0.0,0.0,0.0001277551,0.0,0.0,0.0,0.035134204,0.0,0.43373936,0.0,0.0,0.0,0.0,0.18482794,0.0,0.1674163,0.4550483,0.0,0.0,0.053091045,0.2783552,0.0,0.0,0.0,0.3230638,0.1761204,0.0,0.0,0.29640564,0.0,0.0,0.0
4833407H14RIK,0.044395044,0.0,0.0,0.0,0.113835566,0.24600571,0.41742346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2718343,0.0,0.0,0.0,0.0,0.07873563,0.0,0.0,0.0,0.051658887,0.0,0.0,0.0,0.039278414,0.03428022,0.0,0.0,0.0,0.051322866,0.11412772,0.0,0.0,0.009889701,0.0,0.00039358786,0.0,0.0,0.26805538,0.0,0.0,0.0,0.0,0.2430748,0.0,0.27237567,0.0,0.25069565,0.0,0.0,0.26532847,0.0,0.11042333,0.0,0.22228488,0.0,0.0,0.0,0.2985244,0.120251015,0.0,0.03401266,0.14945036,0.0,0.0,0.19363138,0.0,0.0,0.0,0.0,0.22029027,0.085689425,0.0,0.0,0.0,0.0,0.17397627,0.0,0.0,0.114155896,0.0,0.0,0.0,0.0,0.0,0.0,0.029430535,0.0,0.0,0.14742278,0.18003121,0.0,0.0,0.016868465,0.0,0.0,0.029441357,0.0,0.0,0.0,0.0,0.3869717,0.0,0.0,0.10829406,0.0,0.20333745,0.0,0.11268225,0.50264496,0.0,0.0,0.017761301,0.15319964,0.0,0.0,0.0,0.35619646,0.0,0.0,0.0,0.17998657,0.0,0.003999103,0.0
XPC,0.62530166,0.61488914,1.777612,1.4301436,0.643988,0.6005694,1.6379522,0.0,2.1779156,0.0,0.0,0.0,0.0,1.664177,0.0,0.2254734,0.0,1.4246267,2.0303683,1.7248889,0.0,0.0,2.4224484,1.6421239,2.6903596,0.0,0.0,0.27751082,1.67648,0.8398181,2.5545807,0.0,0.0,1.3470627,0.0,0.983235,1.6837053,0.0,1.2855039,0.0,5.0296288,0.7573479,0.0,0.0,1.3296301,0.63165957,0.0,1.554982,0.8718366,1.5509043,0.0,0.0,0.0,0.42948654,0.0,2.64733,0.3872256,0.31915703,1.2949872,0.10269054,0.7354276,2.0107937,0.0,0.0,0.0,0.0,3.0078833,0.0,1.5262403,1.0921421,0.0,0.063840985,5.870995,0.0,0.0,0.0,0.0,0.0,1.0541441,0.88697726,0.5492672,0.0,2.9831765,0.0,2.9623086,3.1451762,2.1758995,1.8317267,0.0,0.91740656,0.0,0.0,5.045893,0.0,0.0,0.0,1.8624552,3.2087893,2.0264628,0.0,0.45400298,0.0,1.6845554,1.6540403,0.0,1.4256384,0.0,1.3724566,0.0,0.0,0.0,0.97231203,0.0,2.2273238,0.0,1.7759291,1.1579877,0.89019006,0.0,0.0,0.0,1.240053,0.0,0.0,1.0490406,0.57656574,0.0,0.0
CTNNAL1,0.020429336,0.0,0.0,0.0,0.023163155,0.22072712,0.31181723,0.0,0.11911529,0.0,0.0,0.0,0.00081958156,0.0,0.13718337,0.009840459,0.0,0.0,0.005266101,0.20347273,0.0,0.0,0.0,0.096766956,0.046275772,0.011809513,0.0,0.0,0.031350534,0.02239165,0.09358851,0.0,0.027310628,0.08483776,0.0,0.0,0.07312413,0.0,0.04147278,0.0,0.23830754,0.07260586,0.0,0.0,0.0,0.0,0.10996596,0.0,0.14700219,0.0,0.043659903,0.022597652,0.0,0.22965099,0.0,0.14949855,0.0,0.12524536,0.0,0.12458084,0.06283011,0.25707304,0.034180492,0.0,0.021830779,0.13455072,0.18339512,0.0,0.11946255,0.08275847,0.0,0.029278293,0.09784528,0.1749121,0.056588024,0.0,0.0,0.0,0.102308184,0.1353306,0.019557118,0.0,0.16428772,0.0,0.0,0.0,0.0,0.0,0.0,0.019850235,0.0,0.0,0.0982123,0.14217412,0.0,0.0,0.0,0.047423393,0.022050254,0.016342543,0.0,0.0,0.0,0.0,0.18740976,0.0,0.0,0.07130982,0.0,0.13125424,0.0,0.10895777,0.24126692,0.034593735,0.0,0.06827773,0.12162392,0.0,0.045043424,0.0,0.21739206,0.016375817,0.0,0.0,0.13920128,0.0,0.0018230081,0.09156802
