,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
SLC22A3,0.03950385,0.11947612,-0.12562926,-0.13456455,-0.1269644,0.12235351,0.12495109,0.10835284,-0.044135176,-0.0020898506,-0.11151617,0.1539686,-0.11773717,0.086591735,-0.0986817,0.09118526,-0.11174148,-0.070791274,0.016538491,0.09307808,0.155514,0.015437227,-0.12361227,-0.1467736,0.1438325,-0.12690854,0.13074508,0.11530359,0.11836395,0.13783696,0.10810574,0.11497795,-0.14820902,0.113063246,-0.0736033,-0.08940418,-0.122532845,-0.11271788,-0.096947804,-0.13135473,0.109554835,-0.12910858,-0.11410088,-0.14705256,0.1294594,0.11112903,0.12950215,-0.11715759,0.1038839,0.106240556,-0.11903699,0.069906615,0.088656545,-0.05717994,0.102488905,-0.12531449,-0.13182679,-0.093005456,0.16281565,-0.05262213,-0.10503874,-0.123353004,0.12310355,-0.048496332
CREG1,0.012664521,-0.019214932,-0.020539993,-0.011529826,-0.047699235,-0.004317723,0.033259958,0.03769261,-0.0031524822,0.025239512,-0.026913792,0.035208695,-0.0151109025,0.017678592,-0.039906617,0.024015456,-0.07060164,-0.019161716,0.022566782,0.04323575,0.0053705424,0.008427717,-0.038642764,-0.033147488,0.040561907,-0.01293692,0.014798097,0.022379976,0.014571108,0.028903197,0.03343594,0.03126496,-0.04543365,0.054035693,-0.0040057395,-0.010841038,-0.022596795,-0.060918458,-0.016320284,-0.025773667,0.032795064,-0.0014213833,-0.02467563,-0.01992441,0.03280087,0.040004432,0.023166552,0.002411902,0.025098039,0.029778797,-0.033780176,0.048208393,0.030852923,-0.03139433,0.05048903,-0.05075151,-0.038620494,-0.023474691,0.05781074,-0.01228652,-0.03886976,-0.031885028,0.012909036,-0.008395429
ENG,0.06663898,0.12642501,-0.16463721,-0.12691052,-0.22108032,0.16463831,0.15758187,0.16908577,-0.049169257,0.037396282,-0.15129659,0.15136519,-0.1461354,0.12913571,-0.15456726,0.15180129,-0.16723898,-0.115992695,0.037890665,0.13104849,0.20237628,0.037916765,-0.15142027,-0.17651004,0.18373667,-0.16687578,0.19359566,0.15561312,0.18422727,0.21995722,0.12486669,0.13957909,-0.22701243,0.20110244,-0.08584435,-0.13506126,-0.15527181,-0.15060465,-0.10051756,-0.18248986,0.1954315,-0.17638487,-0.151149,-0.1990432,0.19075628,0.16605414,0.15457237,-0.15648864,0.18540438,0.14946784,-0.14689521,0.07819895,0.16090342,-0.08922373,0.098607324,-0.19337055,-0.18383607,-0.14441514,0.22194262,-0.056840062,-0.12163698,-0.16803491,0.13713156,-0.036739614
ACAP1,0.055220526,0.10100654,-0.11175206,-0.09080554,-0.15314732,0.113767326,0.13309607,0.1243398,-0.0436676,0.035269484,-0.11368987,0.12746656,-0.103064716,0.08525604,-0.112543136,0.10497098,-0.14074947,-0.08389181,0.0312642,0.09279442,0.14729565,0.028527424,-0.12816195,-0.13713852,0.13987872,-0.10925154,0.1251487,0.11706141,0.12400998,0.15844782,0.098729394,0.10517271,-0.17036214,0.15520933,-0.06389125,-0.09768534,-0.11686671,-0.12949823,-0.073679134,-0.12907948,0.14126474,-0.121474825,-0.106717534,-0.12472464,0.13720185,0.12673818,0.11735048,-0.10233239,0.11975739,0.10381211,-0.10576545,0.06939885,0.10452286,-0.06934734,0.101077095,-0.14650245,-0.1352593,-0.107063666,0.1692902,-0.04588317,-0.09799192,-0.12853703,0.111781836,-0.042849932
VLDLR,0.022211507,0.08070026,-0.0721449,-0.08617417,-0.07807164,0.069747046,0.0785956,0.071905464,-0.016972654,0.0018925034,-0.07095842,0.096264675,-0.070571795,0.04972136,-0.0720848,0.06504514,-0.08598249,-0.048547238,0.009469219,0.051872432,0.09205468,0.014136337,-0.08136263,-0.09466606,0.08810375,-0.066176765,0.07720333,0.06916884,0.06992697,0.078254834,0.06024088,0.07350216,-0.09480357,0.08151567,-0.03619886,-0.04961497,-0.06592496,-0.085437015,-0.051853914,-0.07180716,0.06274811,-0.07378385,-0.06433288,-0.08332866,0.08553079,0.0681205,0.0731372,-0.06981238,0.05156403,0.077221766,-0.077144384,0.048849776,0.051325943,-0.05184983,0.07270159,-0.082204,-0.08859237,-0.061526462,0.10364835,-0.023449572,-0.07351222,-0.077173635,0.06794212,-0.02952499
HAAO,-0.057581544,-0.051565286,0.075026914,0.053506687,0.12164359,-0.11290535,-0.09434964,-0.06328113,0.08188842,-0.01993503,0.048489884,-0.0744658,0.056406908,-0.056850545,0.04159575,-0.06450059,0.081223615,0.0398752,0.015433304,-0.12004674,-0.14171019,-0.00844048,0.084210165,0.07450087,-0.10207677,0.113192365,-0.09022319,-0.07843709,-0.11178282,-0.10177234,-0.097857,-0.073692486,0.102970175,-0.11485615,0.08242551,0.07004641,0.11359641,0.069147736,0.05936221,0.11397357,-0.12852518,0.11652882,0.09076349,0.095450625,-0.09699911,-0.07908284,-0.10769697,0.09036635,-0.09294668,-0.037670843,0.067332774,-0.07104367,-0.084258795,0.022589074,-0.0730757,0.09638819,0.08414169,0.0671913,-0.11573221,0.081842825,0.06351619,0.112587065,-0.09201791,0.053907488
C230085N15RIK,0.04860937,0.14193916,-0.13510397,-0.13702546,-0.13942741,0.1480771,0.14348415,0.121621735,-0.054619387,0.0073123425,-0.117506415,0.16397151,-0.1298241,0.09509939,-0.11432016,0.10666913,-0.12083155,-0.081048414,0.021859046,0.08580139,0.18059552,0.018458351,-0.13506022,-0.1647571,0.1578259,-0.13478488,0.14706874,0.11790882,0.12988526,0.15285625,0.12773453,0.13991025,-0.17588142,0.1363743,-0.080390126,-0.10949138,-0.13607603,-0.11822969,-0.10376546,-0.14738153,0.13380519,-0.14126693,-0.12004656,-0.16190568,0.1383198,0.13613942,0.1347457,-0.14177302,0.118938066,0.117165,-0.12212442,0.06369377,0.106057584,-0.06323601,0.10474931,-0.14329633,-0.14531448,-0.11209799,0.17080088,-0.044861898,-0.11024932,-0.13897477,0.1383694,-0.0436144
4833407H14RIK,0.044111006,0.12759914,-0.12674385,-0.122985184,-0.15296127,0.1451549,0.12758675,0.11092453,-0.056612357,0.00238771,-0.103829145,0.1498706,-0.13049716,0.09951539,-0.11612043,0.11509677,-0.11234638,-0.07898866,0.030040774,0.08110491,0.17581844,0.030853244,-0.13389221,-0.14587574,0.15626796,-0.13157827,0.14075305,0.11998433,0.12228705,0.15699641,0.12031135,0.1292153,-0.16174302,0.12112439,-0.075354025,-0.1133703,-0.121609926,-0.11122119,-0.09650291,-0.13122158,0.12377455,-0.14586818,-0.118154325,-0.16386415,0.13309814,0.12931973,0.1224958,-0.13104169,0.13313407,0.11791441,-0.11954713,0.06087219,0.10853278,-0.03819036,0.10192712,-0.13618116,-0.14080149,-0.08950627,0.17024423,-0.048195884,-0.09749878,-0.14275044,0.12477233,-0.052794028
XPC,0.06962328,-0.24517354,0.47856802,0.6642835,0.5477393,-0.49567056,-0.47855452,-0.38315046,0.20476641,0.18604128,0.30216458,-0.5285853,0.4003352,-0.04920458,0.3527497,-0.4937485,0.47619483,0.4118438,0.037511043,-0.5504255,-0.60298645,-0.4821771,0.49586532,0.3569404,-0.6010324,0.60767424,-0.48848367,-0.5730685,-0.3967065,-0.5930488,-0.62908673,-0.65371114,0.082244575,-0.5150012,0.5609417,0.19960767,0.36281067,0.6013045,0.41759446,0.5170646,-0.3174907,0.66648173,0.6458991,0.6506414,-0.51042765,-0.34456146,-0.6189354,0.52108157,-0.56202704,-0.4168934,0.5821316,-0.49354205,-0.43170983,0.3434701,-0.74600863,0.5590344,0.54685265,0.45974886,-0.6345292,0.5433305,0.52705514,0.6558232,-0.7083858,0.5406817
CTNNAL1,0.0061230846,0.06748383,-0.07776929,-0.091575414,-0.09088425,0.092121035,0.06281965,0.06451574,-0.035177745,-0.0116206445,-0.063546725,0.10753353,-0.08811338,0.06171587,-0.06496777,0.057710823,-0.07339853,-0.05502734,0.016379036,0.061662473,0.117902026,0.019793987,-0.08071409,-0.09009364,0.10355905,-0.08123652,0.08855903,0.068104744,0.07375233,0.08565579,0.08031562,0.09048775,-0.08985623,0.06576736,-0.042062327,-0.06061216,-0.06505954,-0.065203026,-0.06618648,-0.07475138,0.051888682,-0.08656225,-0.08427552,-0.10921687,0.068136185,0.06934932,0.08226108,-0.08418822,0.06369044,0.0714723,-0.09084739,0.0480164,0.06856207,-0.018669903,0.07347951,-0.07722323,-0.08509456,-0.04676181,0.101322874,-0.033779062,-0.07047981,-0.09425843,0.075013585,-0.032495905
