TF_gene,Target_gene
MXI1,NOC3L
NANOG,NOC3L
EOMES,NOC3L
EGR1,NOC3L
JUND,NOC3L
TFAP2A,NOC3L
KLF5,NOC3L
OTX2,NOC3L
POU5F1,NOC3L
GATA4,NOC3L
OTX2,COL1A2
NANOG,COL1A2
TEAD4,COL1A2
JUND,COL1A2
TFAP2A,COL1A2
EGR1,LIFR
SOX2,LIFR
TFAP2A,LIFR
SERTAD2,UHRF1
ZNF142,UHRF1
TBX3,UHRF1
ZNF165,UHRF1
ZIC3,UHRF1
EWSR1,UHRF1
PTMA,UHRF1
RNF14,UHRF1
DNMT1,UHRF1
ZNF107,UHRF1
TRAF6,PARP1
LMX1B,PARP1
AIRE,PARP1
FOXD3,PARP1
LIMD1,PARP1
CBX3,PARP1
RNPS1,PARP1
BCLAF1,PARP1
TLR7,PARP1
CCND1,PARP1
AES,ARID4B
DNAJC2,ARID4B
RBMX,ARID4B
ARID3A,ARID4B
BMPR1A,ARID4B
SUPT16H,ARID4B
MAPK10,ARID4B
SNRPB,ARID4B
TEAD1,ARID4B
FUBP1,ARID4B
EZH2,GLIPR2
TFAP2A,GLIPR2
MXI1,PHLDA1
EOMES,PHLDA1
NANOG,PHLDA1
JUND,PHLDA1
TFAP2A,PHLDA1
NKX3-1,PATZ1
STAT3,PATZ1
EWSR1,PATZ1
HOXB2,PATZ1
SUPT7L,PATZ1
DEK,PATZ1
EOMES,PATZ1
HNRNPD,PATZ1
ILF3,PATZ1
APBB2,PATZ1
FOXN3,MIF
SLA2,MIF
SP100,MIF
EZH2,MIF
FUBP1,MIF
MYBBP1A,MIF
SPIB,MIF
ETV4,MIF
MXI1,MIF
ZNF165,MIF
TEAD4,FBXO28
CTNNB1,FBXO28
JUND,FBXO28
TFAP2A,FBXO28
SOX17,FBXO28
OTX2,FBXO28
EGR1,FBXO28
TEAD4,HLA-DRB1
JUND,STT3B
NANOG,STT3B
TFAP2A,STT3B
TP53,TIPIN
EOMES,TIPIN
MXI1,TIPIN
NANOG,TIPIN
JUND,TIPIN
TFAP2A,TIPIN
OTX2,TIPIN
KLF5,TIPIN
TFAP2A,PRPS2
CTBP1,ZNF160
RFXANK,ZNF160
HDAC9,ZNF160
MEIS1,ZNF160
DDX54,ZNF160
KHDRBS2,ZNF160
RUVBL1,ZNF160
GATAD2A,ZNF160
SNAPC3,ZNF160
ETS1,ZNF160
TFAP2A,GABRB2
SNAI2,GABRB2
EZH2,GABRB2
JUND,TIMP3
TFAP2A,TIMP3
OTX2,CA14
EOMES,CA14
FOXH1,CA14
SOX2,CA14
SMAD2,CA14
NANOG,NUP35
SOX17,NUP35
OTX2,NUP35
EGR1,NUP35
TFAP2A,NUP35
MXI1,NUP35
TEAD4,NUP35
JUND,NUP35
XRCC5,XRCC6
MXI1,XRCC6
POU2F1,XRCC6
MKI67IP,XRCC6
SATB2,XRCC6
ANKRD6,XRCC6
PPARGC1B,XRCC6
CXXC1,XRCC6
SALL3,XRCC6
CHAF1A,XRCC6
FLI1,BRWD1
EGF,BRWD1
RUNX1,BRWD1
ALYREF,BRWD1
NFKBIB,BRWD1
PER3,BRWD1
TRIM22,BRWD1
NHLH2,BRWD1
PDGFA,BRWD1
SRSF6,BRWD1
OTX2,CAP2
EOMES,CAP2
TEAD4,CAP2
JUND,CAP2
SOX2,CAP2
TFAP2A,CAP2
EZH2,ARHGAP29
SMAD2,ARHGAP29
NANOG,ARHGAP29
EGR1,ARHGAP29
TFAP2A,ARHGAP29
SNAI2,ARHGAP29
HNRNPK,TRIM28
HAND1,TRIM28
RBM14,TRIM28
ZHX3,TRIM28
