,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
KIF21A,0.44635946,0.46899712,0.48811832,0.46002886,0.49964002,0.45968825,0.5222026,0.4985949,0.40732992,0.39749783,0.40763524,0.5983103,0.5528136,0.47448844,0.51999736,0.35429275,0.49213678,0.4702704,0.4830034,0.33550024,0.47361264,0.51226646,0.44750187,0.49278024,0.4982581,0.50764614,0.51856095,0.5226371,0.44267473,0.5840684,0.5349825,0.4543731,0.44296485,0.5352158,0.51333356,0.5472198,0.44979778,0.4983548,0.4699869,0.4607064,0.42410824,0.42568707,0.5437106,0.44536778,0.5081335,0.46726653,0.45692632,0.42370126,0.43974504,0.4521952,0.5152117,0.48312178,0.41266504,0.3638468,0.49380237,0.43343145,0.4858912,0.38100788,0.45636195,0.48724416,0.41269636,0.40712738,0.39908612,0.56256145,0.56054753,0.51144874,0.4761777,0.47844768,0.52081084,0.49776283,0.5108137,0.38829464,0.5213778,0.42576832,0.4638234,0.42005688,0.31637272,0.38991815,0.44410497,0.518704,0.6029168,0.5431072,0.48518467,0.47420186,0.51691115,0.51176655,0.42783976,0.46605256,0.45839208,0.49077907,0.5350079,0.42032224,0.4701993,0.41161337,0.4609758,0.49715433,0.54090583,0.45523787,0.4802066,0.56922716,0.37267032,0.42446703,0.4785839,0.44108254,0.47519463,0.376112,0.4234853,0.5232973,0.48777464,0.48143288,0.4847697,0.49036893,0.50673074,0.347369,0.47949743,0.57316524,0.5147733,0.40720174,0.36222348,0.4238046,0.4428025,0.4104565,0.5302628,0.4927946,0.44699764,0.5530779,0.4671687,0.4665311
DPH2,0.4511446,0.48059693,0.49255663,0.4773597,0.4883055,0.47380894,0.52594966,0.5133965,0.41656157,0.415112,0.4150177,0.5725346,0.54010636,0.4873505,0.51310533,0.3667763,0.48704207,0.48794085,0.47606295,0.36017165,0.47159356,0.5005252,0.4505698,0.49180076,0.49769232,0.5044309,0.50395626,0.51918817,0.44551566,0.5760433,0.5155383,0.46667862,0.45085993,0.5228956,0.505358,0.5365276,0.46048787,0.505332,0.47554538,0.47370553,0.43662655,0.4376625,0.5271529,0.44959673,0.5011541,0.47344893,0.4610447,0.43546465,0.4605489,0.47930905,0.51559466,0.49812397,0.40839928,0.3894315,0.48795488,0.45342794,0.47094795,0.40155047,0.4694229,0.48467872,0.4332701,0.42709905,0.40416172,0.5454667,0.5337342,0.50622654,0.4839553,0.484129,0.50847197,0.5055578,0.51253885,0.41857743,0.53375703,0.43894893,0.45372778,0.4299113,0.34919742,0.40931696,0.45696077,0.51604563,0.578071,0.5284415,0.49101362,0.47355285,0.51884365,0.51347494,0.43401307,0.47772858,0.47180054,0.49113366,0.51304823,0.42203537,0.4755665,0.42201674,0.47266617,0.5127946,0.5411304,0.44133264,0.4819788,0.5423562,0.39460522,0.43336686,0.4791381,0.45178288,0.476341,0.39277738,0.41306284,0.51253,0.49197808,0.4842276,0.48921862,0.49794474,0.48965576,0.36785045,0.482923,0.5570567,0.5056746,0.42453706,0.39579716,0.4283603,0.45035774,0.4236454,0.52343225,0.4829381,0.44370252,0.5391035,0.47588706,0.47542292
FUS,0.477995,0.57704806,0.46872562,0.3622883,0.42838484,0.50333786,0.5927024,0.5054244,0.40099367,0.5009208,0.3762291,0.6165589,0.7313736,0.37998623,0.54369116,0.28622782,0.44329885,0.26485494,0.4187786,0.3315976,0.42536312,0.50540775,0.41001746,0.51190466,0.5157136,0.44226238,0.5568986,0.6148599,0.49533078,0.56095475,0.45642263,0.5191989,0.5311654,0.47171012,0.5360041,0.498513,0.5202376,0.4246164,0.47320354,0.52892715,0.47019586,0.44348958,0.6259491,0.56548935,0.55680734,0.4978936,0.42315468,0.44623262,0.34293082,0.4466814,0.5594164,0.6291066,0.43501982,0.24529496,0.5567806,0.3580586,0.53431696,0.3700211,0.44589716,0.49416915,0.4403772,0.53315854,0.44235313,0.6336226,0.57749104,0.3895702,0.41934344,0.40560457,0.4748479,0.52166045,0.5330197,0.45629635,0.6683826,0.43036646,0.47849244,0.3775491,0.44426104,0.3402924,0.4294945,0.5715923,0.59608364,0.5909326,0.5542872,0.4530389,0.60638374,0.4595459,0.44830066,0.4200392,0.39888805,0.506096,0.4682019,0.35623136,0.52320683,0.35218227,0.50267935,0.5833159,0.62907714,0.36610037,0.45958003,0.41288552,0.3746123,0.51217127,0.4926705,0.46279076,0.46406505,0.35160178,0.6716817,0.5706306,0.48288295,0.47795624,0.42750058,0.5366145,0.56941384,0.32511654,0.3943537,0.54352546,0.4601493,0.37189293,0.34418038,0.47997266,0.50629056,0.37810388,0.5567912,0.503364,0.43433908,0.58330977,0.52417934,0.44547084
NKX3-1,0.4720746,0.57772267,0.472301,0.37005448,0.4311819,0.5033963,0.59325325,0.49925742,0.40699404,0.50063527,0.38147455,0.60430765,0.7356132,0.38902608,0.5343574,0.29334053,0.45974043,0.27647308,0.4206165,0.3398257,0.42295173,0.4962978,0.42073047,0.51064724,0.52390075,0.43543807,0.54244363,0.60569483,0.49749485,0.5497428,0.46936056,0.5099982,0.5246672,0.4634087,0.5292603,0.50755996,0.51410663,0.43532237,0.476109,0.52405995,0.47543147,0.44811425,0.6179353,0.5685153,0.55727464,0.5041118,0.4298586,0.43632782,0.35634318,0.46226174,0.55025685,0.62869185,0.44050467,0.25804764,0.54730797,0.36020094,0.53187,0.37608615,0.43750167,0.49757865,0.42531338,0.530386,0.44601205,0.6232969,0.5607014,0.387033,0.42884502,0.4031173,0.48134515,0.53007346,0.5287713,0.45721087,0.66079676,0.42717913,0.47514614,0.37670666,0.43933317,0.34491944,0.4287652,0.5735502,0.60087776,0.587923,0.54778045,0.4479976,0.592845,0.45543748,0.44641,0.4318916,0.3989509,0.5058067,0.47065666,0.36526012,0.53308105,0.34658742,0.49917352,0.5717609,0.608926,0.35927856,0.46920466,0.40860948,0.39109144,0.50793725,0.49813905,0.45524675,0.45637605,0.34454727,0.6607981,0.5685174,0.4853457,0.46745923,0.43804398,0.52351,0.56496465,0.33282027,0.3898305,0.55385315,0.46036565,0.37576944,0.34478363,0.4836824,0.49134266,0.39504647,0.55941975,0.49963376,0.4406434,0.5890685,0.51523304,0.45036894
TRIM33,0.47295138,0.58626384,0.46939301,0.36684033,0.42375216,0.50257295,0.5921465,0.5080613,0.3977224,0.50571203,0.37249756,0.6121929,0.7305558,0.37407482,0.5425359,0.2901602,0.44576538,0.26544565,0.41575158,0.33897868,0.42645895,0.50815666,0.41181326,0.5137696,0.519023,0.44425154,0.54980254,0.61489934,0.49566343,0.5628265,0.45278352,0.52523756,0.533941,0.4687817,0.5380081,0.49420965,0.5199028,0.4257294,0.46827593,0.53153473,0.48054022,0.43736008,0.62077206,0.56392646,0.5517812,0.4952282,0.42131108,0.44765505,0.339648,0.4484437,0.55975884,0.6304289,0.43698204,0.24229288,0.5595342,0.36134937,0.5310249,0.37046286,0.44553757,0.4883488,0.4374883,0.5340432,0.43925017,0.6285836,0.58075786,0.39021006,0.42512685,0.4054329,0.47472042,0.5176975,0.5260772,0.4609107,0.66552866,0.42505437,0.48054352,0.37817833,0.4460835,0.33608863,0.433136,0.57455164,0.5962224,0.59574825,0.556125,0.45313993,0.60615665,0.46203333,0.44884968,0.41726574,0.4004221,0.5092717,0.47113067,0.3639509,0.52567273,0.34928998,0.5012173,0.5873905,0.6289068,0.36148873,0.46159646,0.41132677,0.36830994,0.5124122,0.49330428,0.46498024,0.45646405,0.35986063,0.6792102,0.5821538,0.48676488,0.48036972,0.42123675,0.5417973,0.5676963,0.32826847,0.39092588,0.54782146,0.45480782,0.3717794,0.34473857,0.4853181,0.5031548,0.37745315,0.55493116,0.49448806,0.42687607,0.58600104,0.5183353,0.4431683
HOXB4,0.47878465,0.5705804,0.47251225,0.3552047,0.4323249,0.5026102,0.60286134,0.4870182,0.40684694,0.5004076,0.37611893,0.6180047,0.7606225,0.38150683,0.5371603,0.27525094,0.46347252,0.25062558,0.41749576,0.32431394,0.41356757,0.4898303,0.41896108,0.50794935,0.5252159,0.42450085,0.5501506,0.61206055,0.5000943,0.53976035,0.47391382,0.5014769,0.52485275,0.46377048,0.5287119,0.5176035,0.5171802,0.42845517,0.47671187,0.51917773,0.4683474,0.44812107,0.63778734,0.58111423,0.5745863,0.5088626,0.42549792,0.4270907,0.34658936,0.4563455,0.548214,0.63576907,0.44635594,0.24438076,0.5507266,0.34346902,0.5414018,0.36641857,0.42645016,0.50841165,0.41995138,0.53494465,0.45444912,0.6390155,0.56813896,0.37462077,0.4211805,0.39435184,0.48130384,0.5376509,0.53575987,0.4477298,0.67462337,0.4274415,0.47741818,0.36564988,0.43660295,0.33712128,0.41438887,0.5803487,0.61333495,0.59834766,0.5479753,0.44128332,0.59992886,0.44608644,0.44280848,0.42080358,0.39059678,0.5051982,0.47365087,0.3532322,0.5417396,0.33458313,0.5011824,0.5632177,0.6146637,0.3546591,0.4690311,0.40082452,0.39186823,0.51546544,0.49368903,0.45039293,0.46095923,0.3205798,0.67905504,0.5702061,0.4783879,0.46100387,0.4407775,0.5110432,0.57856905,0.31767258,0.3815113,0.56068563,0.46163258,0.36605182,0.32947603,0.49100637,0.49527597,0.39065135,0.5642584,0.51310515,0.4487405,0.6002393,0.52046585,0.44693276
NONO,0.47900048,0.5743323,0.46929505,0.3724574,0.42734003,0.49937564,0.5880517,0.50513875,0.3996229,0.5023439,0.37670127,0.61425537,0.72289044,0.38129053,0.5428926,0.29164886,0.44363737,0.27353904,0.41797623,0.33482826,0.4277558,0.5068257,0.41216168,0.5121678,0.5169187,0.4508984,0.5496744,0.6158161,0.49274656,0.56168115,0.45486915,0.52478653,0.52836835,0.47366536,0.537678,0.4963945,0.5197232,0.42408207,0.46635908,0.5219026,0.4730292,0.43996584,0.6188303,0.56148285,0.54990745,0.49719787,0.42442107,0.44618005,0.34078223,0.44803527,0.55706555,0.6260537,0.43381736,0.24858311,0.55523586,0.36503482,0.53086954,0.36986458,0.44540992,0.4920661,0.43822682,0.5304447,0.43648538,0.63055646,0.5796554,0.39213908,0.4231924,0.4083383,0.47419044,0.51833546,0.52800804,0.45755768,0.6643562,0.4274147,0.47955257,0.38009062,0.44197536,0.33732703,0.4324096,0.5701096,0.59467113,0.593772,0.5541302,0.45429683,0.6020684,0.46193355,0.45007613,0.4223569,0.40062147,0.50573164,0.46999916,0.3630746,0.5244809,0.35142872,0.502666,0.58572966,0.6241395,0.37026453,0.45771575,0.41728202,0.3674904,0.5099599,0.49314237,0.46545744,0.4632256,0.36166412,0.6652097,0.57831615,0.4873507,0.4787499,0.4240332,0.5367976,0.5690381,0.32952964,0.395282,0.5452544,0.45980117,0.37089846,0.34632117,0.4827749,0.50552005,0.37806278,0.5561499,0.4969963,0.42922777,0.5832219,0.5211476,0.4441726
PHLDB2,0.44608387,0.48061356,0.46275613,0.49192396,0.4708433,0.47349542,0.5055649,0.54691064,0.41529933,0.37774515,0.41910928,0.59257203,0.54599315,0.5128962,0.5209743,0.36313176,0.49530965,0.52692914,0.48801824,0.3490891,0.48609504,0.48556086,0.45597696,0.47713828,0.49311012,0.51106757,0.5305472,0.5098617,0.44753066,0.59426636,0.49949422,0.47028986,0.42147914,0.504721,0.49411884,0.5430563,0.44907126,0.5201391,0.49009666,0.46238932,0.44214568,0.4324558,0.54630506,0.4464273,0.5054083,0.47907764,0.477629,0.41278878,0.47407323,0.484833,0.51103246,0.5049327,0.39366895,0.3833937,0.46151158,0.45232478,0.4634715,0.38291365,0.47796038,0.4733847,0.423413,0.41938075,0.40737736,0.5392604,0.52261776,0.5095862,0.49594805,0.48599184,0.51939553,0.50653493,0.5273401,0.41611737,0.52777463,0.41905326,0.44105136,0.43617553,0.3401903,0.4149228,0.44870222,0.5170157,0.590827,0.52324927,0.46853402,0.47427204,0.5032183,0.54040164,0.4115792,0.47934717,0.4561523,0.5162819,0.5165494,0.42825925,0.48109674,0.42919496,0.48417848,0.52719605,0.5587371,0.42900968,0.48875663,0.5573362,0.36229903,0.45121047,0.43355232,0.46268976,0.5039329,0.3830633,0.38058838,0.50354826,0.45971793,0.4991529,0.4969193,0.49179742,0.51088643,0.34408742,0.49243197,0.5780737,0.5016882,0.42141506,0.38117078,0.41509777,0.4550285,0.4197617,0.5168214,0.47546262,0.42008787,0.54052436,0.4767214,0.4778839
SMARCD1,0.48176932,0.5590688,0.47288078,0.3725149,0.42873353,0.5037334,0.5930257,0.508048,0.41396695,0.4941289,0.38726294,0.6070871,0.72255665,0.4041393,0.5342837,0.2919199,0.45163107,0.2883186,0.42634937,0.33432117,0.42321587,0.49456337,0.41533354,0.50675774,0.5129807,0.43720216,0.5484076,0.60542953,0.4915738,0.5511829,0.45975018,0.5085942,0.52293795,0.47001797,0.5327262,0.50727093,0.5172708,0.43441612,0.47725892,0.5191305,0.471018,0.44568053,0.6190444,0.56240416,0.55727994,0.5054861,0.42388937,0.44176257,0.36643296,0.4618665,0.5502963,0.6152704,0.4285721,0.270268,0.5455647,0.3687996,0.52972966,0.37943986,0.43895012,0.49678418,0.43950993,0.5348126,0.44138083,0.6253962,0.55631113,0.39090002,0.4222027,0.41290787,0.4714566,0.52827364,0.53376263,0.46415633,0.66157854,0.44037008,0.46761253,0.38452047,0.44468278,0.35000804,0.42849934,0.57244456,0.58946353,0.58195883,0.5467665,0.45887724,0.6048153,0.45960462,0.4494963,0.42663938,0.4110779,0.5072825,0.4731065,0.35822073,0.53182274,0.35650674,0.50132877,0.57389367,0.61783254,0.36686823,0.46875286,0.41114056,0.38858598,0.5137238,0.4929512,0.46149483,0.46738172,0.34616494,0.63918066,0.5558257,0.48775434,0.47043875,0.4460697,0.5223258,0.55427504,0.33628324,0.3975432,0.5480496,0.46282536,0.38031065,0.35053384,0.47895026,0.5005942,0.38653338,0.5537415,0.5045725,0.44022208,0.5726565,0.521378,0.4491866
CHEK2,0.45656717,0.5023586,0.46410084,0.5251772,0.44886085,0.49457934,0.5115616,0.56923735,0.4339317,0.40484193,0.43557507,0.5454671,0.5297024,0.53740656,0.5166319,0.37942168,0.4856093,0.56146604,0.47906828,0.38502604,0.48220944,0.4692818,0.45964715,0.47561112,0.50098604,0.5134163,0.5088381,0.50720614,0.4517478,0.5835158,0.47170308,0.49121115,0.43366638,0.4861473,0.48384348,0.5267165,0.46395725,0.5275778,0.5017255,0.47876006,0.4693353,0.45379385,0.52280945,0.45707497,0.49358702,0.49234584,0.48130435,0.43343943,0.5054907,0.52682,0.5089707,0.52282494,0.38395286,0.4293667,0.45375133,0.48107535,0.44608742,0.41326067,0.5005229,0.47161716,0.46185756,0.4521867,0.41423875,0.51623833,0.47672313,0.50057405,0.51205075,0.4943024,0.5003418,0.52335775,0.5293615,0.46341026,0.5466203,0.43370807,0.42501622,0.44458926,0.39192635,0.44876862,0.4653229,0.51331335,0.5484013,0.4963194,0.47481415,0.4750195,0.50379276,0.541504,0.42461103,0.5047608,0.4792824,0.5138104,0.48419687,0.43299738,0.48379284,0.44744885,0.5017116,0.5609321,0.5604592,0.40991476,0.4888998,0.5143038,0.39631468,0.45465624,0.43724215,0.47474277,0.5054967,0.41142273,0.3639507,0.48232895,0.46939245,0.50652444,0.5041839,0.49685568,0.48023957,0.3772882,0.48947826,0.54536927,0.48496923,0.44417575,0.43279842,0.41752726,0.4610038,0.43948305,0.51254845,0.46172658,0.41253954,0.5228058,0.48412722,0.49188766
